Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0628,152,219,371,1675,22.15%,200,161,361
"Judge, County Criminal Court No. 15",0629,37,53,90,696,12.93%,15,74,89
"Judge, County Criminal Court No. 15",0630,974,600,1574,3905,40.31%,129,1402,1531
"Judge, County Criminal Court No. 15",0631,822,404,1226,2846,43.08%,906,270,1176
"Judge, County Criminal Court No. 15",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Criminal Court No. 15",0633,943,731,1674,3559,47.04%,1201,403,1604
"Judge, County Criminal Court No. 15",0634,458,442,900,3029,29.71%,598,270,868
"Judge, County Criminal Court No. 15",0635,743,485,1228,3393,36.19%,935,250,1185
"Judge, County Criminal Court No. 15",0636,836,874,1710,4140,41.30%,1481,172,1653
"Judge, County Criminal Court No. 15",0637,409,362,771,2512,30.69%,181,543,724
"Judge, County Criminal Court No. 15",0638,304,245,549,2204,24.91%,47,475,522
"Judge, County Criminal Court No. 15",0639,549,547,1096,2526,43.39%,887,164,1051
"Judge, County Criminal Court No. 15",0640,641,459,1100,3733,29.47%,703,357,1060
"Judge, County Criminal Court No. 15",0641,649,596,1245,3650,34.11%,836,360,1196
"Judge, County Criminal Court No. 15",0642,471,394,865,1764,49.04%,697,125,822
"Judge, County Criminal Court No. 15",0643,934,653,1587,5945,26.69%,639,895,1534
"Judge, County Criminal Court No. 15",0644,1019,823,1842,5523,33.35%,1236,524,1760
"Judge, County Criminal Court No. 15",0645,654,594,1248,4185,29.82%,690,504,1194
"Judge, County Criminal Court No. 15",0646,364,287,651,2220,29.32%,215,398,613
"Judge, County Criminal Court No. 15",0647,904,470,1374,6084,22.58%,397,862,1259
"Judge, County Criminal Court No. 15",0648,838,579,1417,3367,42.08%,1034,334,1368
"Judge, County Criminal Court No. 15",0649,687,434,1121,4576,24.50%,364,682,1046
"Judge, County Criminal Court No. 15",0650,906,766,1672,3888,43.00%,1232,360,1592
"Judge, County Criminal Court No. 15",0651,963,766,1729,5128,33.72%,1120,533,1653
"Judge, County Criminal Court No. 15",0652,467,515,982,2815,34.88%,177,766,943
"Judge, County Criminal Court No. 15",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Criminal Court No. 15",0654,950,1005,1955,6208,31.49%,1065,813,1878
"Judge, County Criminal Court No. 15",0655,1116,1079,2195,6855,32.02%,1377,729,2106
"Judge, County Criminal Court No. 15",0656,579,393,972,2674,36.35%,39,904,943
"Judge, County Criminal Court No. 15",0657,246,172,418,1292,32.35%,171,229,400
"Judge, County Criminal Court No. 15",0658,540,426,966,2807,34.41%,641,300,941
"Judge, County Criminal Court No. 15",0659,1149,788,1937,4856,39.89%,1408,465,1873
"Judge, County Criminal Court No. 15",0660,950,825,1775,5372,33.04%,168,1558,1726
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0661,675,765,1440,4567,31.53%,859,527,1386
"Judge, County Criminal Court No. 15",0662,1148,890,2038,4874,41.81%,1649,319,1968
"Judge, County Criminal Court No. 15",0663,717,797,1514,3346,45.25%,787,613,1400
"Judge, County Criminal Court No. 15",0664,352,250,602,2869,20.98%,130,442,572
"Judge, County Criminal Court No. 15",0665,482,348,830,2154,38.53%,705,95,800
"Judge, County Criminal Court No. 15",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0667,488,502,990,2149,46.07%,785,162,947
"Judge, County Criminal Court No. 15",0668,399,509,908,2775,32.72%,600,282,882
"Judge, County Criminal Court No. 15",0669,850,738,1,588,3425,46.36%,1160,357,1517
"Judge, County Criminal Court No. 15",0670,955,471,1427,2983,47.84%,1152,213,1365
"Judge, County Criminal Court No. 15",0671,403,565,968,3037,31.87%,598,327,925
"Judge, County Criminal Court No. 15",0672,959,862,1821,5706,31.91%,1250,512,1762
"Judge, County Criminal Court No. 15",0673,729,516,1245,2995,41.57%,1001,188,1189
"Judge, County Criminal Court No. 15",0674,1071,618,1689,4091,41.29%,1285,340,1625
"Judge, County Criminal Court No. 15",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 15",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0677,127,127,254,1266,20.06%,92,148,240
"Judge, County Criminal Court No. 15",0678,166,108,274,735,37.28%,185,68,253
"Judge, County Criminal Court No. 15",0679,635,520,1155,3381,34.16%,891,213,1104
"Judge, County Criminal Court No. 15",0680,21,14,35,162,21.60%,14,21,35
"Judge, County Criminal Court No. 15",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 15",0682,711,654,1365,4216,32.38%,1016,299,1315
"Judge, County Criminal Court No. 15",0683,29,20,49,276,17.75%,8,38,46
"Judge, County Criminal Court No. 15",0684,27,22,49,223,21.97%,26,20,46
"Judge, County Criminal Court No. 15",0685,110,29,139,307,45.28%,62,66,128
"Judge, County Criminal Court No. 15",0686,17,12,29,208,13.94%,12,16,28
"Judge, County Criminal Court No. 15",0687,549,537,1085,2609,41.63%,742,278,1020
"Judge, County Criminal Court No. 15",0688,999,617,1616,3504,46.12%,1303,242,1545
"Judge, County Criminal Court No. 15",0689,211,387,598,2346,25.49%,310,259,569
"Judge, County Criminal Court No. 15",0690,926,1104,2030,5102,39.79%,1660,301,1961
"Judge, County Criminal Court No. 15",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Criminal Court No. 15",0692,444,548,992,2847,34.84%,762,187,949
"Judge, County Criminal Court No. 15",0693,167,91,258,666,38.74%,72,174,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0694,260,120,380,845,44.97%,263,91,354
"Judge, County Criminal Court No. 15",0695,232,193,425,1724,24.65%,277,132,409
"Judge, County Criminal Court No. 15",0696,261,207,468,1982,23.61%,304,140,444
"Judge, County Criminal Court No. 15",0697,605,613,1218,4413,27.60%,301,868,1169
"Judge, County Criminal Court No. 15",0698,448,489,937,3189,29.38%,97,810,907
"Judge, County Criminal Court No. 15",0699,568,414,982,2343,41.91%,680,237,917
"Judge, County Criminal Court No. 15",0700,255,251,506,1371,36.91%,425,56,481
"Judge, County Criminal Court No. 15",0701,56,43,99,588,16.84%,63,32,95
"Judge, County Criminal Court No. 15",0702,54,70,134,539,24.86%,17,115,132
"Judge, County Criminal Court No. 15",0703,372,490,862,1882,45.80%,647,173,820
"Judge, County Criminal Court No. 15",0704,569,599,1168,3064,38.12%,953,165,1118
"Judge, County Criminal Court No. 15",0705,114,113,227,1523,14.90%,33,183,216
"Judge, County Criminal Court No. 15",0706,115,71,186,610,30.49%,97,77,174
"Judge, County Criminal Court No. 15",0707,153,86,239,707,33.80%,155,70,225
"Judge, County Criminal Court No. 15",0708,54,52,106,563,18.83%,47,48,95
"Judge, County Criminal Court No. 15",0709,1375,947,2322,6848,33.91%,1418,830,2248
"Judge, County Criminal Court No. 15",0710,371,462,833,2082,40.01%,460,308,768
"Judge, County Criminal Court No. 15",0711,702,506,1208,3484,34.67%,759,378,1137
"Judge, County Criminal Court No. 15",0712,491,463,954,3670,25.99%,412,526,938
"Judge, County Criminal Court No. 15",0713,228,262,490,1907,25.69%,253,213,466
"Judge, County Criminal Court No. 15",0714,35,19,55,296,18.58%,33,20,53
"Judge, County Criminal Court No. 15",0715,176,187,363,1408,25.78%,210,134,344
"Judge, County Criminal Court No. 15",0716,449,407,856,2680,31.94%,615,217,832
"Judge, County Criminal Court No. 15",0717,373,250,623,2002,31.12%,70,537,607
"Judge, County Criminal Court No. 15",0718,1017,806,1823,4229,43.11%,1302,412,1714
"Judge, County Criminal Court No. 15",0719,247,137,384,1589,24.17%,234,132,366
"Judge, County Criminal Court No. 15",0720,994,780,1774,4282,41.43%,1347,360,1707
"Judge, County Criminal Court No. 15",0721,754,532,1286,2870,44.81%,867,348,1215
"Judge, County Criminal Court No. 15",0722,871,494,1365,4479,30.48%,100,1212,1312
"Judge, County Criminal Court No. 15",0723,401,202,603,1858,32.45%,133,446,579
"Judge, County Criminal Court No. 15",0724,151,128,279,766,36.42%,217,49,266
"Judge, County Criminal Court No. 15",0725,423,237,660,2237,29.50%,311,329,640
"Judge, County Criminal Court No. 15",0726,592,402,994,2087,47.63%,877,91,968
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0727,338,290,628,2488,25.24%,212,378,590
"Judge, County Criminal Court No. 15",0728,209,151,360,880,40.91%,231,105,336
"Judge, County Criminal Court No. 15",0729,136,59,195,464,42.03%,121,67,188
"Judge, County Criminal Court No. 15",0730,428,359,787,1747,45.05%,526,212,738
"Judge, County Criminal Court No. 15",0731,58,27,85,352,24.15%,25,57,82
"Judge, County Criminal Court No. 15",0732,441,324,765,1924,39.76%,483,238,721
"Judge, County Criminal Court No. 15",0733,13,7,20,215,9.30%,7,11,18
"Judge, County Criminal Court No. 15",0734,1558,962,2520,7005,35.97%,1737,700,2437
"Judge, County Criminal Court No. 15",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Criminal Court No. 15",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Criminal Court No. 15",0737,11,7,18,51,35.29%,13,5,18
"Judge, County Criminal Court No. 15",0738,139,100,239,1361,17.56%,47,184,231
"Judge, County Criminal Court No. 15",0739,353,301,654,2955,22.13%,343,286,629
"Judge, County Criminal Court No. 15",0740,96,98,194,939,20.66%,128,56,184
"Judge, County Criminal Court No. 15",0741,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 15",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Criminal Court No. 15",0743,15,18,33,210,15.71%,18,13,31
"Judge, County Criminal Court No. 15",0744,456,392,848,2027,41.84%,566,228,794
"Judge, County Criminal Court No. 15",0745,683,372,1055,2494,42.30%,663,333,996
"Judge, County Criminal Court No. 15",0746,114,77,191,691,27.64%,94,93,187
"Judge, County Criminal Court No. 15",0747,550,467,1017,3743,27.17%,503,482,985
"Judge, County Criminal Court No. 15",0748,170,140,310,1403,22.10%,161,135,296
"Judge, County Criminal Court No. 15",0749,30,17,47,377,12.47%,9,36,45
"Judge, County Criminal Court No. 15",0750,111,96,207,767,26.99%,128,75,203
"Judge, County Criminal Court No. 15",0751,925,964,1889,5084,37.16%,1264,543,1807
"Judge, County Criminal Court No. 15",0752,286,200,486,1483,32.77%,376,89,465
"Judge, County Criminal Court No. 15",0753,55,73,128,259,49.42%,79,42,121
"Judge, County Criminal Court No. 15",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0755,442,584,1026,4294,23.89%,453,532,985
"Judge, County Criminal Court No. 15",0756,251,177,428,1600,26.75%,177,233,410
"Judge, County Criminal Court No. 15",0757,520,508,1028,4035,25.48%,192,801,993
"Judge, County Criminal Court No. 15",0758,1114,692,1806,4096,44.09%,1468,273,1741
"Judge, County Criminal Court No. 15",0759,465,413,878,2730,32.16%,568,274,842
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0760,1432,639,2071,4367,47.42%,1739,236,1975
"Judge, County Criminal Court No. 15",0761,548,253,801,1550,51.68%,569,173,742
"Judge, County Criminal Court No. 15",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0763,108,146,254,1212,20.96%,100,143,243
"Judge, County Criminal Court No. 15",0764,1133,774,1907,5217,36.55%,1218,621,1839
"Judge, County Criminal Court No. 15",0765,647,426,1073,4055,26.46%,465,556,1021
"Judge, County Criminal Court No. 15",0766,40,25,65,392,16.58%,16,42,58
"Judge, County Criminal Court No. 15",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Criminal Court No. 15",0768,1359,1015,2374,5857,40.53%,1953,353,2306
"Judge, County Criminal Court No. 15",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Criminal Court No. 15",0770,31,25,56,323,17.34%,26,26,52
"Judge, County Criminal Court No. 15",0771,324,254,578,2426,23.83%,347,208,555
"Judge, County Criminal Court No. 15",0772,1792,851,2643,5709,46.30%,2046,464,2510
"Judge, County Criminal Court No. 15",0773,473,312,785,2918,26.90%,221,499,720
"Judge, County Criminal Court No. 15",0774,30,41,71,378,18.78%,15,54,69
"Judge, County Criminal Court No. 15",0775,18,3,21,92,22.83%,0,20,20
"Judge, County Criminal Court No. 15",0776,551,496,1047,3053,34.29%,626,375,1001
"Judge, County Criminal Court No. 15",0777,46,40,86,652,13.19%,31,54,85
"Judge, County Criminal Court No. 15",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0779,64,51,115,940,12.23%,40,71,111
"Judge, County Criminal Court No. 15",0780,63,59,122,595,20.50%,73,45,118
"Judge, County Criminal Court No. 15",0781,666,273,939,3603,26.06%,428,416,844
"Judge, County Criminal Court No. 15",0782,368,370,738,2236,33.01%,466,240,706
"Judge, County Criminal Court No. 15",0783,49,13,62,294,21.09%,46,13,59
"Judge, County Criminal Court No. 15",0784,208,128,336,1079,31.14%,8,312,320
"Judge, County Criminal Court No. 15",0785,28,25,53,296,17.91%,31,22,53
"Judge, County Criminal Court No. 15",0786,100,98,198,1251,15.83%,73,119,192
"Judge, County Criminal Court No. 15",0787,46,52,98,488,20.08%,34,61,95
"Judge, County Criminal Court No. 15",0788,74,32,106,454,23.35%,52,51,103
"Judge, County Criminal Court No. 15",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Criminal Court No. 15",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0792,269,239,508,1865,27.24%,122,362,484
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0793,448,247,695,2484,27.98%,411,261,672
"Judge, County Criminal Court No. 15",0794,124,144,268,2710,9.89%,34,226,260
"Judge, County Criminal Court No. 15",0795,90,125,215,1217,17.67%,76,128,204
"Judge, County Criminal Court No. 15",0796,83,51,134,476,28.15%,77,52,129
"Judge, County Criminal Court No. 15",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0798,99,111,210,500,42.00%,83,115,198
"Judge, County Criminal Court No. 15",0799,28,15,43,161,26.71%,8,35,43
"Judge, County Criminal Court No. 15",0800,588,642,1230,2932,41.95%,844,325,1169
"Judge, County Criminal Court No. 15",0801,32,14,46,258,17.83%,16,26,42
"Judge, County Criminal Court No. 15",0802,51,27,78,312,25.00%,14,62,76
"Judge, County Criminal Court No. 15",0803,725,511,1236,2893,42.72%,928,268,1196
"Judge, County Criminal Court No. 15",0804,932,591,1523,4768,31.94%,970,506,1476
"Judge, County Criminal Court No. 15",0805,765,533,1298,2866,45.29%,1064,184,1248
"Judge, County Criminal Court No. 15",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0807,211,204,415,2028,20.46%,92,305,397
"Judge, County Criminal Court No. 15",0808,12,17,29,131,22.14%,8,19,27
"Judge, County Criminal Court No. 15",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Criminal Court No. 15",0810,9,16,25,211,11.85%,7,17,24
"Judge, County Criminal Court No. 15",0811,29,50,79,270,29.26%,25,53,78
"Judge, County Criminal Court No. 15",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0813,938,761,1699,5807,29.26%,847,798,1645
"Judge, County Criminal Court No. 15",0814,673,533,1206,5102,23.64%,308,856,1164
"Judge, County Criminal Court No. 15",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Criminal Court No. 15",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0818,86,39,125,616,20.29%,29,91,120
"Judge, County Criminal Court No. 15",0819,64,30,94,240,39.17%,52,30,82
"Judge, County Criminal Court No. 15",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0821,124,120,244,1242,19.65%,30,205,235
"Judge, County Criminal Court No. 15",0822,332,167,499,1535,32.51%,15,467,482
"Judge, County Criminal Court No. 15",0823,821,564,1385,5087,27.23%,811,529,1340
"Judge, County Criminal Court No. 15",0824,428,282,710,2700,26.30%,162,527,689
"Judge, County Criminal Court No. 15",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0828,73,50,123,358,34.38%,88,45,113
"Judge, County Criminal Court No. 15",0827,80,98,158,979,18.14%,72,81,153
"Judge, County Criminal Court No. 15",0828,541,388,929,1918,48.49%,757,128,883
"Judge, County Criminal Court No. 15",0829,54,22,78,284,28.79%,19,58,75
"Judge, County Criminal Court No. 15",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0832,34,28,82,352,17.81%,19,41,80
"Judge, County Criminal Court No. 15",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Criminal Court No. 15",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0835,38,19,57,290,19.88%,14,37,51
"Judge, County Criminal Court No. 15",0838,3,0,3,19,15.79%,0,3,3
"Judge, County Criminal Court No. 15",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0839,138,118,254,1128,22.52%,53,190,243
"Judge, County Criminal Court No. 15",0840,381,174,555,1705,32.55%,198,344,540
"Judge, County Criminal Court No. 15",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0842,421,434,855,3259,28.24%,398,425,821
"Judge, County Criminal Court No. 15",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 15",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Criminal Court No. 15",0845,54,9,83,134,47.01%,39,21,80
"Judge, County Criminal Court No. 15",0848,23,24,47,229,20.52%,4,42,48
"Judge, County Criminal Court No. 15",0847,305,211,518,2015,25.81%,145,358,501
"Judge, County Criminal Court No. 15",0848,489,288,755,1858,40.88%,227,489,718
"Judge, County Criminal Court No. 15",0849,201,291,492,2124,23.18%,185,291,478
"Judge, County Criminal Court No. 15",0850,48,41,87,210,41.43%,28,57,85
"Judge, County Criminal Court No. 15",0851,1029,857,1888,4709,35.80%,1143,489,1812
"Judge, County Criminal Court No. 15",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0853,575,820,1298,2882,44.97%,1002,233,1235
"Judge, County Criminal Court No. 15",0854,15,28,41,172,23.84%,5,35,40
"Judge, County Criminal Court No. 15",0855,5,9,14,18,87.50%,5,8,13
"Judge, County Criminal Court No. 15",0858,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 15",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0858,83,34,97,343,28.28%,3,90,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0859,157,106,263,890,29.55%,69,187,256
"Judge, County Criminal Court No. 15",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0861,315,199,514,1842,27.90%,87,411,498
"Judge, County Criminal Court No. 15",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0863,101,54,155,584,26.54%,9,145,154
"Judge, County Criminal Court No. 15",0864,193,299,492,2569,19.15%,138,332,470
"Judge, County Criminal Court No. 15",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Criminal Court No. 15",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0868,236,271,507,2326,21.80%,162,329,491
"Judge, County Criminal Court No. 15",0869,53,39,92,470,19.57%,26,65,91
"Judge, County Criminal Court No. 15",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Criminal Court No. 15",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Criminal Court No. 15",0873,98,75,173,737,23.47%,46,124,170
"Judge, County Criminal Court No. 15",0874,763,707,1470,3223,45.61%,1117,293,1410
"Judge, County Criminal Court No. 15",0875,904,527,1431,5147,27.80%,707,674,1381
"Judge, County Criminal Court No. 15",0876,698,641,1339,3265,41.01,%,1035,260,1295
"Judge, County Criminal Court No. 15",0877,476,382,858,3032,28.30%,350,486,836
"Judge, County Criminal Court No. 15",0878,427,354,781,1666,46.88%,660,101,761
"Judge, County Criminal Court No. 15",0879,407,294,701,2667,26.28%,358,311,669
"Judge, County Criminal Court No. 15",0880,543,447,990,2352,42.09%,806,151,957
"Judge, County Criminal Court No. 15",0881,593,540,1133,4479,25.30%,398,706,1104
"Judge, County Criminal Court No. 15",0882,426,291,717,2422,29.60%,434,255,689
"Judge, County Criminal Court No. 15",0883,643,702,1345,5408,24.87%,249,1059,1308
"Judge, County Criminal Court No. 15",0884,57,25,82,377,21.75%,9,71,80
"Judge, County Criminal Court No. 15",0885,562,368,930,2619,35.51%,554,352,906
"Judge, County Criminal Court No. 15",0886,128,108,236,675,34.96%,141,80,221
"Judge, County Criminal Court No. 15",0887,50,67,117,418,27.99%,56,52,108
"Judge, County Criminal Court No. 15",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 15",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Criminal Court No. 15",0890,164,103,267,1095,24.38%,95,153,248
"Judge, County Criminal Court No. 15",0891,317,243,560,1331,42.07%,221,295,516
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0892,115,86,201,808,24.88%,74,116,190
"Judge, County Criminal Court No. 15",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Criminal Court No. 15",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 15",0895,156,286,442,793,55.74%,185,203,388
"Judge, County Criminal Court No. 15",0896,370,297,667,1459,45.72%,263,349,612
"Judge, County Criminal Court No. 15",0897,252,297,549,1701,32.28%,323,205,528
"Judge, County Criminal Court No. 15",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Criminal Court No. 15",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Criminal Court No. 15",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0902,394,486,880,2139,41.14%,500,320,820
"Judge, County Criminal Court No. 15",0903,3,7,10,50,20.00%,2,6,8
"Judge, County Criminal Court No. 15",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Criminal Court No. 15",0905,123,100,223,904,24.67%,98,114,212
"Judge, County Criminal Court No. 15",0906,8,6,14,25,56.00%,7,5,12
"Judge, County Criminal Court No. 15",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Criminal Court No. 15",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 15",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Criminal Court No. 15",0910,25,24,49,217,22.58%,19,26,45
"Judge, County Criminal Court No. 15",0911,118,60,178,551,32.30%,121,50,171
"Judge, County Criminal Court No. 15",0912,316,201,517,1273,40.61%,339,152,491
"Judge, County Criminal Court No. 15",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0914,169,179,348,701,49.64%,283,52,335
"Judge, County Criminal Court No. 15",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0916,417,240,657,1491,44.06%,528,105,633
"Judge, County Criminal Court No. 15",0917,177,62,239,483,49.48%,159,64,223
"Judge, County Criminal Court No. 15",0918,304,168,472,883,53.45%,373,75,448
"Judge, County Criminal Court No. 15",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Criminal Court No. 15",0921,32,15,47,119,39.50%,33,13,46
"Judge, County Criminal Court No. 15",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0923,470,137,607,1511,40.17%,458,132,590
"Judge, County Criminal Court No. 15",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0926,171,128,299,796,37.56%,224,64,288
"Judge, County Criminal Court No. 15",0927,44,30,74,270,27.41%,30,39,69
"Judge, County Criminal Court No. 15",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Criminal Court No. 15",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0930,109,54,163,584,27.91%,5,154,159
"Judge, County Criminal Court No. 15",0931,30,40,70,130,53.85%,35,24,59
"Judge, County Criminal Court No. 15",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0933,115,85,200,627,31.90%,60,134,194
"Judge, County Criminal Court No. 15",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Criminal Court No. 15",0935,3,2,5,54,9.26%,2,1,3
"Judge, County Criminal Court No. 15",0936,8,2,10,81,12.35%,3,7,10
"Judge, County Criminal Court No. 15",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0938,30,14,44,231,19.05%,15,28,43
"Judge, County Criminal Court No. 15",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Criminal Court No. 15",0942,53,27,80,156,51.28%,68,7,75
"Judge, County Criminal Court No. 15",0943,164,80,244,547,44.61%,172,56,228
"Judge, County Criminal Court No. 15",0944,20,4,24,45,53.33%,20,0,20
"Judge, County Criminal Court No. 15",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Criminal Court No. 15",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Criminal Court No. 15",0947,177,246,423,799,52.94%,222,177,399
"Judge, County Criminal Court No. 15",0948,0,14,14,1,1400.00%,10,3,13
"Judge, County Criminal Court No. 15",0949,34,27,61,193,31.61%,32,29,61
"Judge, County Criminal Court No. 15",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Criminal Court No. 15",0952,15,15,31,71,43.66%,17,12,29
"Judge, County Criminal Court No. 15",0953,18,9,27,275,9.82%,4,22,26
