Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0609,667,680,1347,3384,39.80%,806,488,22,1316
"State Senator, District 15",0610,231,188,419,1927,21.74%,199,186,12,397
"State Senator, District 15",0613,185,204,390,1554,25.10%,60,319,6,385
"State Senator, District 15",0614,737,566,1303,4207,30.97%,459,787,23,1269
"State Senator, District 15",0628,152,219,371,1675,22.15%,177,180,7,364
"State Senator, District 15",0629,37,53,90,696,12.93%,14,74,1,89
"State Senator, District 15",0657,246,172,418,1292,32.35%,159,241,10,410
"State Senator, District 15",0660,950,825,1775,5372,33.04%,149,1574,25,1748
"State Senator, District 15",0661,675,765,1440,4567,31.53%,798,564,48,1410
"State Senator, District 15",0663,717,797,1514,3346,45.25%,656,792,29,1477
"State Senator, District 15",0666,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0678,166,108,274,735,37.28%,175,85,7,267
"State Senator, District 15",0680,21,14,35,162,21.60%,12,23,0,35
"State Senator, District 15",0689,211,387,598,2346,25.49%,290,274,22,586
"State Senator, District 15",0694,260,120,380,845,44.97%,244,119,5,368
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0697,605,613,1218,4413,27.60%,282,886,23,1191
"State Senator, District 15",0698,448,489,937,3189,29.38%,91,815,9,915
"State Senator, District 15",0701,56,43,99,588,16.84%,60,33,3,96
"State Senator, District 15",0705,114,113,227,1523,14.90%,28,192,3,223
"State Senator, District 15",0707,153,86,239,707,33.80%,143,82,6,231
"State Senator, District 15",0710,371,462,833,2082,40.01%,419,372,19,810
"State Senator, District 15",0717,373,250,623,2002,31.12%,71,534,6,611
"State Senator, District 15",0723,401,202,603,1858,32.45%,117,462,10,589
"State Senator, District 15",0725,423,237,660,2237,29.50%,288,349,13,650
"State Senator, District 15",0729,136,59,195,464,42.03%,114,79,1,194
"State Senator, District 15",0737,11,7,18,51,35.29%,14,4,0,18
"State Senator, District 15",0738,139,100,239,1361,17.56%,45,182,3,230
"State Senator, District 15",0739,353,301,654,2955,22.13%,326,298,14,638
"State Senator, District 15",0741,0,1,1,0,0.00%,0,1,0,1
"State Senator, District 15",0753,55,73,128,259,49.42%,78,43,4,125
"State Senator, District 15",0756,251,177,428,1600,26.75%,164,248,5,417
"State Senator, District 15",0757,520,508,1028,4035,25.48%,167,819,19,1005
"State Senator, District 15",0764,1133,774,1907,5217,36.55%,1181,658,38,1877
"State Senator, District 15",0767,10,2,12,86,13.95%,6,6,0,12
"State Senator, District 15",0769,54,16,70,183,38.25%,3,66,0,69
"State Senator, District 15",0776,551,496,1047,3053,34.29%,597,395,30,1022
"State Senator, District 15",0789,0,3,3,3,100.00%,0,3,0,3
"State Senator, District 15",0799,28,15,43,161,26.71%,8,34,1,43
"State Senator, District 15",0802,51,27,78,312,25.00%,13,62,2,77
"State Senator, District 15",0808,12,17,29,131,22.14%,6,23,0,29
"State Senator, District 15",0809,7,6,13,92,14.13%,5,7,0,12
"State Senator, District 15",0818,86,39,125,616,20.29%,25,92,3,120
"State Senator, District 15",0834,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0840,381,174,555,1705,32.55%,185,352,11,548
"State Senator, District 15",0841,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0847,305,211,516,2015,25.61%,134,359,14,507
"State Senator, District 15",0848,489,266,755,1856,40.68%,200,529,12,741
"State Senator, District 15",0855,5,9,14,16,87.50%,4,9,1,14
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0859,157,106,263,890,29.55%,61,193,5,259
"State Senator, District 15",0861,315,199,514,1842,27.90%,81,422,3,506
"State Senator, District 15",0868,236,271,507,2326,21.80%,151,326,14,491
"State Senator, District 15",0870,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0873,98,75,173,737,23.47%,36,129,6,171
"State Senator, District 15",0883,643,702,1345,5408,24.87%,223,1067,27,1317
"State Senator, District 15",0884,57,25,82,377,21.75%,8,71,0,79
"State Senator, District 15",0885,562,368,930,2619,35.51%,521,375,24,920
"State Senator, District 15",0886,128,108,236,675,34.96%,116,110,4,230
"State Senator, District 15",0887,50,67,117,418,27.99%,51,59,3,113
"State Senator, District 15",0894,0,3,3,0,0.00%,2,1,0,3
"State Senator, District 15",0895,156,286,442,793,55.74%,136,286,3,425
"State Senator, District 15",0896,370,297,667,1459,45.72%,206,426,15,647
"State Senator, District 15",0902,394,486,880,2139,41.14%,422,411,24,857
"State Senator, District 15",0903,3,7,10,50,20.00%,3,6,0,9
"State Senator, District 15",0905,123,100,223,904,24.67%,93,116,8,217
"State Senator, District 15",0911,118,60,178,551,32.30%,117,54,4,175
"State Senator, District 15",0922,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0927,44,30,74,270,27.41%,26,43,2,71
"State Senator, District 15",0935,3,2,5,54,9.26%,2,1,0,3
"State Senator, District 15",0940,0,0,0,10,0.00%,0,0,0,0
"State Senator, District 15",0953,18,9,27,275,9.82%,4,22,1,27
"State Senator, District 15",0954,0,0,0,1,0.00%,0,0,0,0
"State Senator, District 15",0955,3,2,5,19,26.32%,4,1,0,5
"State Senator, District 15",0960,196,157,353,976,36.17%,65,273,8,346
"State Senator, District 15",0961,16,0,16,56,28.57%,0,14,2,16
"State Senator, District 15",0963,64,41,105,426,24.65%,54,43,5,102
"State Senator, District 15",0964,568,437,1005,2372,42.37%,608,368,13,989
"State Senator, District 15",0965,31,21,52,343,15.16%,26,25,1,52
"State Senator, District 15",0966,129,83,212,1148,18.47%,67,131,10,208
