Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0900,0,2,2,10,20.00%,2,0,2
County Judge,0901,0,0,0,0,0.00%,0,0,0
County Judge,0902,394,486,880,2139,41.14%,580,140,720
County Judge,0903,3,7,10,50,20.00%,3,3,6
County Judge,0904,1,0,1,7,14.29%,1,0,1
County Judge,0905,123,100,223,904,24.67%,124,20,144
County Judge,0906,8,6,14,25,56.00%,9,3,12
County Judge,0907,12,19,31,181,17.13%,7,5,12
County Judge,0908,0,1,1,0,0.00%,0,1,1
County Judge,0909,2,1,3,18,16.67%,2,0,2
County Judge,0910,25,24,49,217,22.58%,21,8,29
County Judge,0911,118,60,178,551,32.30%,138,15,153
County Judge,0912,31,e,201,517,1273,40.61%,369,49,418
County Judge,0913,0,0,0,0,0.00%,0,0,0
County Judge,0914,169,179,348,701,49.64%,290,24,314
County Judge,0915,0,0,0,0,0.00%,0,0,0
County Judge,0916,417,240,657,1491,44.06%,541,48,589
County Judge,0917,177,62,239,483,49.48%,179,21,200
County Judge,0918,304,168,472,883,53.45%,397,34,431
County Judge,0919,0,0,0,3,0.00%,0,0,0
County Judge,0920,22,12,34,71,47.89%,26,4,30
County Judge,0921,32,15,47,119,39.50%,37,2,39
County Judge,0922,0,0,0,0,0.00%,0,0,0
County Judge,0923,470,137,607,1511,40.17%,485,40,525
County Judge,0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0925,0,0,0,0,0.00%,0,0,0
County Judge,0926,171,128,299,796,37.56%,242,22,264
County Judge,0927,44,30,74,270,27.41%,36,12,48
County Judge,0928,3,0,3,8,37.50%,0,1,1
County Judge,0929,0,0,0,0,0.00%,0,0,0
County Judge,0930,109,54,163,584,27.91%,9,22,31
County Judge,0931,30,40,70,130,53.85%,49,9,58
County Judge,0932,0,0,0,0,0.00%,0,0,0
County Judge,0933,115,85,200,627,31.90%,74,43,117
County Judge,0934,2,0,2,63,3.17%,1,0,1
County Judge,0935,3,2,5,54,9.26%,2,1,3
County Judge,0936,8,2,10,81,12.35%,3,3,6
County Judge,0937,0,0,0,0,0.00%,0,0,0
County Judge,0938,30,14,44,231,19.05%,18,3,21
County Judge,0939,0,0,0,2,0.00%,0,0,0
County Judge,0940,0,0,0,10,0.00%,0,0,0
County Judge,0941,9,10,19,25,76.00%,19,0,19
County Judge,0942,53,27,80,156,51.28%,74,4,78
County Judge,0943,164,80,244,547,44.61%,192,21,213
County Judge,0944,20,4,24,45,53.33%,22,0,22
County Judge,0945,1,2,3,17,17.65%,1,0,1
County Judge,0946,0,1,1,13,7.69%,0,0,0
County Judge,0947,177,246,423,799,52.94%,270,72,342
County Judge,0948,0,14,14,1,1400.00%,11,0,11
County Judge,0949,34,27,61,193,31.61%,38,10,48
County Judge,0950,0,0,0,1,0.00%,0,0,0
County Judge,0951,33,30,63,277,22.74%,21,11,32
County Judge,0952,16,15,31,71,43.66%,20,7,27
County Judge,0953,18,9,27,275,9.82%,6,4,10
County Judge,0954,0,0,0,1,0.00%,0,0,0
County Judge,0955,3,2,5,19,26.32%,4,0,4
County Judge,0956,2,4,6,11,54.55%,2,3,5
County Judge,0957,97,95,192,562,34.16%,42,33,75
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0958,81,129,210,1081,19.43%,66,22,88
County Judge,0959,0,0,0,0,0.00%,0,0,0
County Judge,0960,196,157,353,976,36.17%,100,69,169
County Judge,0961,15,0,16,56,28.57%,3,2,5
County Judge,0962,10,17,27,88,30.68%,9,9,18
County Judge,0963,64,41,105,426,24.65%,62,12,74
County Judge,0964,568,437,1005,2372,42.37%,667,117,784
County Judge,0965,31,21,52,343,15.16%,33,6,39
County Judge,0966,129,83,212,1148,18.47%,88,44,132
County Judge,0967,15,48,63,165,38.18%,21,11,32
County Judge,0968,119,30,149,692,21.53%,41,28,69
County Judge,0969,156,73,229,604,37.91%,8,28,36
County Judge,0970,83,36,119,731,16.28%,23,17,40
County Judge,0971,11,8,19,147,12.93%,2,5,7
County Judge,0972,e,8,14,31,45.16%,13,0,13
County Judge,0973,24,19,43,111,38.74%,22,11,33
County Judge,0974,57,36,93,299,31.10%,67,18,85
County Judge,0975,55,30,85,193,44.04%,44,15,59
County Judge,0976,58,62,130,683,19.03%,93,11,104
County Judge,0977,50,43,93,572,16.26%,41,18,59
County Judge,0978,77,79,156,546,28.57%,42,27,69
County Judge,0979,2,6,8,27,29.63%,4,1,5
County Judge,0980,280,321,601,1389,43.27%,487,28,515
County Judge,0981,0,0,0,0,0.00%,0,0,0
County Judge,0982,312,312,624,1567,39.82%,529,39,568
County Judge,0983,11,21,32,161,19.88%,20,7,27
County Judge,0984,18,9,27,192,14.06%,6,5,11
County Judge,0985,117,63,180,351,51.28%,114,26,140
County Judge,0986,43,30,73,463,15.77%,16,8,24
County Judge,0987,231,90,321,1155,27.79%,49,39,88
County Judge,0988,24,12,36,123,29.27%,34,1,35
County Judge,0989,e,6,12,43,27.91%,10,1,11
County Judge,0990,16,1,17,140,12.14%,10,0,10
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0991,0,0,0,1,0.00%,0,0,0
County Judge,0992,157,107,264,1048,25.19%,159,33,192
County Judge,0993,169,101,270,568,47.54%,233,14,247
County Judge,0994,e,5,11,25,44.00%,2,2,4
County Judge,0995,295,156,451,1393,32.38%,57,55,112
County Judge,0996,135,140,275,694,39.63%,182,24,206
County Judge,0997,101,163,264,1656,15.94%,83,45,128
County Judge,0998,5,1,6,57,10.53%,3,0,3
County Judge,0999,17,10,27,68,39.71%,23,0,23
County Judge,1000,42,6,48,405,11.85%,17,7,24
County Judge,1001,228,136,364,1565,23.26%,120,53,173
County Judge,1002,170,139,309,1744,17.72%,73,46,119
County Judge,1003,1,0,1,0,0.00%,1,0,1
County Judge,1004,111,139,250,654,38.23%,151,36,187
County Judge,1005,0,8,8,0,0.00%,3,3,6
County Judge,1006,1,0,1,5,20.00%,1,0,1
County Judge,1007,208,188,396,1547,25.60%,121,56,177
County Judge,1008,32,12,44,151,29.14%,36,2,38
County Judge,1009,0,0,0,9,0.00%,0,0,0
County Judge,1010,59,35,94,459,20.48%,24,24,48
County Judge,1011,8,1,9,26,34.62%,5,2,7
County Judge,1012,134,201,335,1365,24.54%,129,26,155
County Judge,1013,0,6,6,58,10.34%,4,0,4
County Judge,1014,4,6,10,31,32.26%,1,1,2
County Judge,1015,5,4,9,25,36.00%,4,0,4
County Judge,1016,252,212,464,1691,27.44%,260,76,336
County Judge,1017,61,44,105,330,31.82%,39,20,59
County Judge,1018,93,64,157,494,31.78%,83,17,100
County Judge,1019,130,107,237,1456,16.28%,25,35,60
County Judge,1020,0,0,0,1,0.00%,0,0,0
County Judge,1021,0,0,0,2,0.00%,0,0,0
County Judge,1022,97,79,176,441,39.91%,139,18,157
County Judge,1023,430,315,745,2026,36.77%,563,76,639
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,1024,55,61,116,249,46.59%,73,25,98
County Judge,1025,0,1,1,14,7.14%,1,0,1
County Judge,1026,0,0,0,0,0.00%,0,0,0
County Judge,1027,1,0,1,8,12.50%,1,0,1
County Judge,1028,0,0,0,0,0.00%,0,0,0
County Judge,1029,537,719,1256,2927,42.91%,1046,80,1126
County Judge,1030,231,151,382,785,48.66%,339,15,354
County Judge,1031,59,71,130,792,16.41%,40,15,55
County Judge,1032,31,25,56,244,22.95%,43,4,47
County Judge,1033,0,0,0,0,0.00%,0,0,0
County Judge,1034,0,0,0,0,0.00%,0,0,0
County Judge,1035,2,4,6,138,4.35%,1,2,3
County Judge,1036,65,24,89,449,19.82%,74,6,80
County Judge,1037,19,11,30,76,39.47%,18,3,21
County Judge,1038,62,6,68,327,20.80%,12,6,18
County Judge,1039,2,0,2,25,8.00%,0,0,0
County Judge,1040,91,66,157,771,20.36%,79,42,121
County Judge,1041,0,2,2,0,0.00%,0,2,2
County Judge,1042,105,67,172,521,33.01%,63,29,92
County Judge,1043,6,6,12,33,36.36%,4,0,4
County Judge,1044,16,6,22,55,40.00%,8,3,11
County Judge,1045,197,173,370,1788,20.69%,77,52,129
County Judge,1046,11,5,16,62,25.81%,1,1,2
County Judge,1047,255,186,441,1568,28.13%,194,72,266
County Judge,1048,1,0,1,17,5.88%,1,0,1
County Judge,1049,14,45,59,290,20.34%,23,4,27
County Judge,1050,60,63,123,537,22.91%,44,16,60
County Judge,1051,0,31,31,0,0.00%,21,6,27
County Judge,1052,0,0,0,0,0.00%,0,0,0
County Judge,1053,0,0,0,0,0.00%,0,0,0
County Judge,1054,0,0,0,1,0.00%,0,0,0
County Judge,1055,0,0,0,0,0.00%,0,0,0
County Judge,1056,4,2,6,8,75.00%,2,2,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,1057,7,9,16,118,13.56%,3,2,5
County Judge,1058,241,285,526,1243,42.32%,140,58,198
County Judge,1059,3,3,6,28,21.43%,1,1,2
County Judge,1060,5,2,7,42,16.67%,5,0,5
County Judge,1061,332,184,516,1716,30.07%,300,68,368
County Judge,1062,17,6,23,201,11.44%,6,6,12
County Judge,1063,66,59,125,857,14.59%,23,19,42
County Judge,1064,25,11,36,119,30.25%,28,6,34
County Judge,1065,1,0,1,28,3.57%,0,0,0
County Judge,1066,72,0,72,229,31.44%,8,4,12
County Judge,1067,0,0,0,0,0.00%,0,0,0
County Judge,1068,22,8,30,121,24.79%,11,6,17
County Judge,1069,434,256,690,2580,26.74%,376,108,484
County Judge,Totals:,378846,308736,687582,2044361,,403763,80486,484249
