Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0325,289,193,482,2112,22.82%,131,70,201
County Judge,0326,87,74,161,698,23.07%,92,15,107
County Judge,0327,380,129,509,1729,29.44%,38,60,98
County Judge,0328,151,140,291,1434,20.29%,149,41,190
County Judge,0329,189,184,373,1397,26.70%,178,59,237
County Judge,0330,334,253,587,1936,30.32%,366,83,449
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0331,0,0,0,0,0.00%,0,0,0
County Judge,0332,18,7,25,138,18.12%,14,4,18
County Judge,0333,524,714,1238,3021,40.98%,936,132,1068
County Judge,0334,83,42,125,742,16.85%,26,23,49
County Judge,0335,121,98,219,1300,16.85%,100,33,133
County Judge,0336,866,624,1490,4051,36.78%,246,311,557
County Judge,0337,124,103,227,1029,22.06%,61,38,99
County Judge,0338,730,391,1121,4934,22.72%,441,147,588
County Judge,0339,202,222,424,1757,24.13%,132,63,195
County Judge,0340,1038,594,1632,3765,43.35%,1289,133,1422
County Judge,0341,91,167,258,1290,20.00%,107,44,151
County Judge,0342,675,605,1280,6526,19.61%,307,210,517
County Judge,0343,189,271,460,1964,23.42%,180,62,242
County Judge,0344,154,172,326,1160,28.10%,26,34,60
County Judge,0345,156,165,321,1804,17.79%,125,61,186
County Judge,0346,0,1,1,3,33.33%,1,0,1
County Judge,0347,592,436,1028,3387,30.35%,756,76,832
County Judge,0348,438,208,646,1708,37.82%,533,36,569
County Judge,0349,188,267,455,1349,33.73%,303,58,361
County Judge,0350,524,526,1050,2909,36.09%,536,228,764
County Judge,0351,1491,710,2201,4712,46.71%,1820,125,1945
County Judge,0352,520,339,859,3205,26.80%,660,68,728
County Judge,0353,665,451,1116,3862,28.90%,281,154,435
County Judge,0354,715,338,1053,3388,31.08%,341,161,502
County Judge,0355,301,264,565,1560,36.22%,88,94,182
County Judge,0356,594,538,1132,2972,38.09%,818,112,930
County Judge,0357,837,575,1412,3517,40.15%,1076,147,1223
County Judge,0358,212,254,466,2492,18.70%,85,63,148
County Judge,0359,234,224,458,3061,14.96%,78,80,158
County Judge,0360,522,380,902,2146,42.03%,577,131,708
County Judge,0361,41,295,336,1673,20.08%,83,134,217
County Judge,0362,1138,887,2025,5086,39.82%,1614,147,1761
County Judge,0363,620,412,1032,3677,28.07%,531,132,663
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0364,488,405,893,2658,33.60%,584,110,694
County Judge,0365,478,231,709,1305,54.33%,116,92,208
County Judge,0366,252,270,522,2454,21.27%,163,88,251
County Judge,0367,170,138,308,1130,27.26%,87,49,136
County Judge,0368,178,88,266,958,27.77%,99,28,127
County Judge,0369,32,29,61,559,10.91%,26,15,41
County Judge,0370,1532,1105,2637,6593,40.00%,2103,179,2282
County Judge,0371,122,52,174,502,34.66%,13,18,31
County Judge,0372,221,170,391,1224,31.94%,87,67,154
County Judge,0373,21,12,33,157,21.02%,4,3,7
County Judge,0374,65,93,158,738,21.41%,65,23,88
County Judge,0375,254,220,474,2645,17.92%,274,44,318
County Judge,0376,278,205,483,1910,25.29%,248,45,293
County Judge,0377,525,583,1109,2920,37.98%,861,93,954
County Judge,0378,232,354,586,1829,32.04%,418,66,484
County Judge,0379,431,289,720,2027,35.52%,136,87,223
County Judge,0380,1299,995,2294,5666,40.49%,1394,298,1692
County Judge,0381,412,248,660,2855,23.12%,343,84,427
County Judge,0382,132,157,289,922,31.34%,224,21,245
County Judge,0383,289,263,552,2173,25.40%,266,60,326
County Judge,0384,573,373,946,2657,35.60%,267,150,417
County Judge,0385,583,670,1253,2207,56.77%,1036,70,1106
County Judge,0386,662,469,1131,2922,38.71%,877,68,945
County Judge,0387,555,672,1227,3935,31.18%,946,84,1030
County Judge,0388,1430,1010,2440,6888,35.42%,1523,262,1785
County Judge,0389,91,208,299,1026,29.14%,59,79,138
County Judge,0390,356,263,619,1480,41.82%,139,141,280
County Judge,0391,508,260,768,1883,40.79%,537,86,623
County Judge,0392,387,155,542,1446,37.48%,35,61,96
County Judge,0393,165,185,350,1292,27.09%,194,51,245
County Judge,0394,69,73,142,834,17.03%,77,13,90
County Judge,0395,469,404,873,1846,47.29%,688,81,769
County Judge,0396,622,216,838,2082,40.25%,53,76,129
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0397,86,78,164,760,21.58%,87,23,110
County Judge,0398,615,521,1136,4022,28.24%,681,141,822
County Judge,0399,402,366,768,2791,27.52%,473,83,556
County Judge,0400,520,359,979,2411,40.61%,772,71,843
County Judge,0401,330,205,535,1913,27.97%,45,68,113
County Judge,0402,466,266,732,1794,40.80%,68,99,167
County Judge,0403,475,498,973,1715,56.73%,685,97,782
County Judge,0404,419,330,749,2585,28.97%,484,62,546
County Judge,0405,0,0,0,0,0.00%,0,0,0
County Judge,0406,137,67,204,628,32.48%,11,32,43
County Judge,0407,688,793,1481,3769,39.29%,1104,157,1261
County Judge,0408,146,153,299,1691,17.68%,160,41,201
County Judge,0409,122,149,271,1459,18.57%,128,24,152
County Judge,0410,132,80,212,899,23.58%,53,21,74
County Judge,0411,235,200,435,2339,18.60%,194,47,241
County Judge,0412,74,44,118,468,25.21%,14,17,31
County Judge,0413,767,386,1153,2992,38.54%,541,138,679
County Judge,0414,654,480,1134,3453,32.84%,921,62,983
County Judge,0415,539,598,1137,2203,51.61%,832,111,943
County Judge,0416,538,558,1096,3791,28.91%,686,157,843
County Judge,0417,353,385,738,2448,30.15%,408,99,507
County Judge,0418,403,469,872,3584,24.33%,435,105,540
County Judge,0419,571,324,895,2658,33.67%,661,68,729
County Judge,0420,1036,874,1910,4762,40.11%,1638,95,1733
County Judge,0421,36,37,73,410,17.80%,35,15,50
