Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0227,558,423,981,1785,54.96%,743,149,892
"Judge, County Probate Court No. 1",0228,362,195,557,1050,53.05%,27,509,536
"Judge, County Probate Court No. 1",0229,31,96,127,815,15.58%,59,62,121
"Judge, County Probate Court No. 1",0230,185,116,301,1089,27.64%,8,282,290
"Judge, County Probate Court No. 1",0231,233,264,497,2232,22.27%,131,335,466
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0232,351,474,835,1760,47.44%,482,293,775
"Judge, County Probate Court No. 1",0233,890,801,1691,4445,38.04%,827,716,1543
"Judge, County Probate Court No. 1",0234,1192,913,2105,3993,52.72%,1624,314,1938
"Judge, County Probate Court No. 1",0235,240,158,398,1356,29.35%,14,372,386
"Judge, County Probate Court No. 1",0236,354,235,589,2079,28.33%,14,560,574
"Judge, County Probate Court No. 1",0237,415,253,669,2161,30.96%,11,641,652
"Judge, County Probate Court No. 1",0238,339,245,584,1925,30.34%,13,557,570
"Judge, County Probate Court No. 1",0239,383,236,619,1964,31.52%,25,582,607
"Judge, County Probate Court No. 1",0240,585,243,828,2649,31.26%,20,787,807
"Judge, County Probate Court No. 1",0241,222,229,451,2372,19.01%,188,239,427
"Judge, County Probate Court No. 1",0242,173,162,335,1596,20.99%,196,120,316
"Judge, County Probate Court No. 1",0243,138,43,181,457,39.61%,0,180,180
"Judge, County Probate Court No. 1",0244,480,425,905,3117,29.03%,501,358,859
"Judge, County Probate Court No. 1",0245,945,799,1745,5828,29.94%,1225,478,1703
"Judge, County Probate Court No. 1",0246,584,513,1197,3315,36.11%,852,302,1154
"Judge, County Probate Court No. 1",0247,173,254,427,1582,26.99%,13,407,420
"Judge, County Probate Court No. 1",0248,161,167,328,2100,15.62%,97,218,315
"Judge, County Probate Court No. 1",0249,461,348,809,2719,29.75%,567,215,782
"Judge, County Probate Court No. 1",0250,109,164,273,964,28.32%,7,261,268
"Judge, County Probate Court No. 1",0251,278,436,714,2089,34.18%,31,668,699
