Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0655,1116,1079,2195,6855,32.02%,1380,727,2107
"Judge, County Probate Court No. 1",0656,579,393,972,2674,36.35%,42,904,946
"Judge, County Probate Court No. 1",0657,246,172,418,1292,32.35%,172,228,400
"Judge, County Probate Court No. 1",0658,540,426,966,2807,34.41%,638,304,942
"Judge, County Probate Court No. 1",0659,1149,788,1937,4856,39.89%,1399,479,1878
"Judge, County Probate Court No. 1",0660,950,825,1775,5372,33.04%,164,1566,1730
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0661,675,765,1440,4567,31.53%,859,520,1379
"Judge, County Probate Court No. 1",0662,1148,890,2038,4874,41.81%,1643,323,1966
"Judge, County Probate Court No. 1",0663,717,797,1514,3346,45.25%,768,626,1394
"Judge, County Probate Court No. 1",0664,352,250,602,2869,20.98%,138,432,570
"Judge, County Probate Court No. 1",0665,482,348,830,2154,38.53%,697,103,800
"Judge, County Probate Court No. 1",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0667,488,502,990,2149,46.07%,783,165,948
"Judge, County Probate Court No. 1",0668,399,509,908,2775,32.72%,599,284,883
"Judge, County Probate Court No. 1",0669,850,738,1,588,3425,46.36%,1160,357,1517
"Judge, County Probate Court No. 1",0670,955,471,1427,2983,47.84%,1141,222,1363
"Judge, County Probate Court No. 1",0671,403,565,968,3037,31.87%,599,324,923
"Judge, County Probate Court No. 1",0672,959,862,1821,5706,31.91%,1251,509,1760
"Judge, County Probate Court No. 1",0673,729,516,1245,2995,41.57%,998,191,1189
"Judge, County Probate Court No. 1",0674,1071,618,1689,4091,41.29%,1274,352,1626
"Judge, County Probate Court No. 1",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Probate Court No. 1",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0677,127,127,254,1266,20.06%,96,143,239
"Judge, County Probate Court No. 1",0678,166,108,274,735,37.28%,174,78,252
"Judge, County Probate Court No. 1",0679,635,520,1155,3381,34.16%,886,218,1104
"Judge, County Probate Court No. 1",0680,21,14,35,162,21.60%,13,21,34
"Judge, County Probate Court No. 1",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Probate Court No. 1",0682,711,654,1365,4216,32.38%,1016,304,1320
"Judge, County Probate Court No. 1",0683,29,20,49,276,17.75%,8,35,43
"Judge, County Probate Court No. 1",0684,27,22,49,223,21.97%,26,20,46
"Judge, County Probate Court No. 1",0685,110,29,139,307,45.28%,63,67,130
"Judge, County Probate Court No. 1",0686,17,12,29,208,13.94%,12,16,28
"Judge, County Probate Court No. 1",0687,549,537,1085,2609,41.63%,740,276,1016
"Judge, County Probate Court No. 1",0688,999,617,1616,3504,46.12%,1297,252,1549
"Judge, County Probate Court No. 1",0689,211,387,598,2346,25.49%,310,258,568
"Judge, County Probate Court No. 1",0690,926,1104,2030,5102,39.79%,1646,314,1960
"Judge, County Probate Court No. 1",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Probate Court No. 1",0692,444,548,992,2847,34.84%,757,195,952
"Judge, County Probate Court No. 1",0693,167,91,258,666,38.74%,74,172,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0694,260,120,380,845,44.97%,264,93,357
"Judge, County Probate Court No. 1",0695,232,193,425,1724,24.65%,273,135,408
"Judge, County Probate Court No. 1",0696,261,207,468,1982,23.61%,301,145,446
"Judge, County Probate Court No. 1",0697,605,613,1218,4413,27.60%,321,846,1167
"Judge, County Probate Court No. 1",0698,448,489,937,3189,29.38%,100,810,910
"Judge, County Probate Court No. 1",0699,568,414,982,2343,41.91%,665,251,916
"Judge, County Probate Court No. 1",0700,255,251,506,1371,36.91%,425,56,481
"Judge, County Probate Court No. 1",0701,56,43,99,588,16.84%,62,31,93
"Judge, County Probate Court No. 1",0702,54,70,134,539,24.86%,19,113,132
"Judge, County Probate Court No. 1",0703,372,490,862,1882,45.80%,637,183,820
"Judge, County Probate Court No. 1",0704,569,599,1168,3064,38.12%,946,169,1115
"Judge, County Probate Court No. 1",0705,114,113,227,1523,14.90%,33,185,218
"Judge, County Probate Court No. 1",0706,115,71,186,610,30.49%,93,81,174
"Judge, County Probate Court No. 1",0707,153,86,239,707,33.80%,160,67,227
"Judge, County Probate Court No. 1",0708,54,52,106,563,18.83%,51,47,98
"Judge, County Probate Court No. 1",0709,1375,947,2322,6848,33.91%,1419,829,2248
"Judge, County Probate Court No. 1",0710,371,462,833,2082,40.01%,462,306,768
"Judge, County Probate Court No. 1",0711,702,506,1208,3484,34.67%,756,384,1140
"Judge, County Probate Court No. 1",0712,491,463,954,3670,25.99%,415,521,936
"Judge, County Probate Court No. 1",0713,228,262,490,1907,25.69%,249,219,468
"Judge, County Probate Court No. 1",0714,35,19,55,296,18.58%,34,19,53
"Judge, County Probate Court No. 1",0715,176,187,363,1408,25.78%,209,134,343
"Judge, County Probate Court No. 1",0716,449,407,856,2680,31.94%,610,222,832
"Judge, County Probate Court No. 1",0717,373,250,623,2002,31.12%,76,529,605
"Judge, County Probate Court No. 1",0718,1017,806,1823,4229,43.11%,1300,419,1719
"Judge, County Probate Court No. 1",0719,247,137,384,1589,24.17%,233,134,367
"Judge, County Probate Court No. 1",0720,994,780,1774,4282,41.43%,1350,357,1707
"Judge, County Probate Court No. 1",0721,754,532,1286,2870,44.81%,852,365,1217
"Judge, County Probate Court No. 1",0722,871,494,1365,4479,30.48%,104,1211,1315
"Judge, County Probate Court No. 1",0723,401,202,603,1858,32.45%,131,448,579
"Judge, County Probate Court No. 1",0724,151,128,279,766,36.42%,216,50,266
"Judge, County Probate Court No. 1",0725,423,237,660,2237,29.50%,317,321,638
"Judge, County Probate Court No. 1",0726,592,402,994,2087,47.63%,871,98,969
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0727,338,290,628,2488,25.24%,209,382,591
"Judge, County Probate Court No. 1",0728,209,151,360,880,40.91%,225,110,335
"Judge, County Probate Court No. 1",0729,136,59,195,464,42.03%,123,66,189
"Judge, County Probate Court No. 1",0730,428,359,787,1747,45.05%,515,226,741
"Judge, County Probate Court No. 1",0731,58,27,85,352,24.15%,26,56,82
"Judge, County Probate Court No. 1",0732,441,324,765,1924,39.76%,484,239,723
"Judge, County Probate Court No. 1",0733,13,7,20,215,9.30%,8,10,18
"Judge, County Probate Court No. 1",0734,1558,962,2520,7005,35.97%,1753,689,2442
"Judge, County Probate Court No. 1",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Probate Court No. 1",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Probate Court No. 1",0737,11,7,18,51,35.29%,13,5,18
"Judge, County Probate Court No. 1",0738,139,100,239,1361,17.56%,50,182,232
"Judge, County Probate Court No. 1",0739,353,301,654,2955,22.13%,344,284,628
"Judge, County Probate Court No. 1",0740,98,98,194,939,20.66%,131,54,185
"Judge, County Probate Court No. 1",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Probate Court No. 1",0743,15,18,33,210,15.71%,17,14,31
"Judge, County Probate Court No. 1",0744,456,392,848,2027,41.84%,562,234,796
"Judge, County Probate Court No. 1",0745,683,372,1055,2494,42.30%,655,343,998
"Judge, County Probate Court No. 1",0746,114,77,191,691,27.64%,95,93,188
"Judge, County Probate Court No. 1",0747,550,467,1017,3743,27.17%,508,475,983
"Judge, County Probate Court No. 1",0748,170,140,310,1403,22.10%,161,135,296
"Judge, County Probate Court No. 1",0749,30,17,47,377,12.47%,9,36,45
"Judge, County Probate Court No. 1",0750,111,96,207,767,26.99%,128,75,203
"Judge, County Probate Court No. 1",0751,925,964,1889,5084,37.16%,1261,548,1809
"Judge, County Probate Court No. 1",0752,286,200,486,1483,32.77%,368,95,463
"Judge, County Probate Court No. 1",0753,55,73,128,259,49.42%,81,40,121
"Judge, County Probate Court No. 1",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0755,442,584,1026,4294,23.89%,466,512,978
"Judge, County Probate Court No. 1",0756,251,177,428,1600,26.75%,175,235,410
"Judge, County Probate Court No. 1",0757,520,508,1028,4035,25.48%,186,808,994
"Judge, County Probate Court No. 1",0758,1114,692,1806,4096,44.09%,1463,278,1741
"Judge, County Probate Court No. 1",0759,465,413,878,2730,32.16%,565,279,844
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0760,1432,639,2071,4367,47.42%,1724,251,1975
"Judge, County Probate Court No. 1",0761,548,253,801,1550,51.68%,568,178,746
"Judge, County Probate Court No. 1",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0763,108,146,254,1212,20.96%,107,135,242
"Judge, County Probate Court No. 1",0764,1133,774,1907,5217,36.55%,1206,633,1839
"Judge, County Probate Court No. 1",0765,647,426,1073,4055,26.46%,463,553,1016
"Judge, County Probate Court No. 1",0766,40,25,65,392,16.58%,17,40,57
"Judge, County Probate Court No. 1",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Probate Court No. 1",0768,1359,1015,2374,5857,40.53%,1949,360,2309
"Judge, County Probate Court No. 1",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Probate Court No. 1",0770,31,25,56,323,17.34%,28,24,52
"Judge, County Probate Court No. 1",0771,324,254,578,2426,23.83%,342,215,557
"Judge, County Probate Court No. 1",0772,1792,851,2643,5709,46.30%,2025,488,2513
"Judge, County Probate Court No. 1",0773,473,312,785,2918,26.90%,226,496,722
"Judge, County Probate Court No. 1",0774,30,41,71,378,18.78%,16,53,69
"Judge, County Probate Court No. 1",0775,18,3,21,92,22.83%,0,20,20
"Judge, County Probate Court No. 1",0776,551,496,1047,3053,34.29%,624,375,999
"Judge, County Probate Court No. 1",0777,46,40,86,652,13.19%,32,51,83
"Judge, County Probate Court No. 1",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0779,64,51,115,940,12.23%,42,68,110
"Judge, County Probate Court No. 1",0780,63,59,122,595,20.50%,71,46,117
"Judge, County Probate Court No. 1",0781,666,273,939,3603,26.06%,444,403,847
"Judge, County Probate Court No. 1",0782,368,370,738,2236,33.01%,462,245,707
"Judge, County Probate Court No. 1",0783,49,13,62,294,21.09%,46,14,60
"Judge, County Probate Court No. 1",0784,208,128,336,1079,31.14%,9,309,318
"Judge, County Probate Court No. 1",0785,28,25,53,296,17.91%,30,23,53
"Judge, County Probate Court No. 1",0786,100,98,198,1251,15.83%,79,113,192
"Judge, County Probate Court No. 1",0787,46,52,98,488,20.08%,37,58,95
"Judge, County Probate Court No. 1",0788,74,32,106,454,23.35%,52,51,103
"Judge, County Probate Court No. 1",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Probate Court No. 1",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 1",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0792,269,239,508,1865,27.24%,126,356,482
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0793,448,247,695,2484,27.98%,422,249,671
"Judge, County Probate Court No. 1",0794,124,144,268,2710,9.89%,32,231,263
"Judge, County Probate Court No. 1",0795,90,125,215,1217,17.67%,78,125,203
"Judge, County Probate Court No. 1",0796,83,51,134,476,28.15%,75,54,129
"Judge, County Probate Court No. 1",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0798,99,111,210,500,42.00%,79,119,198
"Judge, County Probate Court No. 1",0799,28,15,43,161,26.71%,9,33,42
"Judge, County Probate Court No. 1",0800,588,642,1230,2932,41.95%,848,317,1165
"Judge, County Probate Court No. 1",0801,32,14,46,258,17.83%,16,27,43
"Judge, County Probate Court No. 1",0802,51,27,78,312,25.00%,15,61,76
"Judge, County Probate Court No. 1",0803,725,511,1236,2893,42.72%,911,283,1194
"Judge, County Probate Court No. 1",0804,932,591,1523,4768,31.94%,970,503,1473
"Judge, County Probate Court No. 1",0805,765,533,1298,2866,45.29%,1054,198,1252
"Judge, County Probate Court No. 1",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0807,211,204,415,2028,20.46%,96,303,399
"Judge, County Probate Court No. 1",0808,12,17,29,131,22.14%,8,19,27
"Judge, County Probate Court No. 1",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Probate Court No. 1",0810,9,16,25,211,11.85%,9,15,24
"Judge, County Probate Court No. 1",0811,29,50,79,270,29.26%,27,50,77
"Judge, County Probate Court No. 1",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0813,938,761,1699,5807,29.26%,858,788,1646
"Judge, County Probate Court No. 1",0814,673,533,1206,5102,23.64%,310,856,1166
"Judge, County Probate Court No. 1",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Probate Court No. 1",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0818,86,39,125,616,20.29%,29,90,119
"Judge, County Probate Court No. 1",0819,64,30,94,240,39.17%,48,32,80
"Judge, County Probate Court No. 1",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0821,124,120,244,1242,19.65%,30,204,234
"Judge, County Probate Court No. 1",0822,332,167,499,1535,32.51%,16,465,481
"Judge, County Probate Court No. 1",0823,821,564,1385,5087,27.23%,813,528,1341
"Judge, County Probate Court No. 1",0824,428,282,710,2700,26.30%,164,523,687
"Judge, County Probate Court No. 1",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0826,73,50,123,358,34.36%,68,46,114
"Judge, County Probate Court No. 1",0827,60,98,158,979,16.14%,80,73,153
"Judge, County Probate Court No. 1",0828,541,388,929,1916,48.49%,753,131,884
"Judge, County Probate Court No. 1",0829,54,22,76,264,28.79%,19,55,74
"Judge, County Probate Court No. 1",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 1",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0832,34,28,62,352,17.61%,19,39,58
"Judge, County Probate Court No. 1",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Probate Court No. 1",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0835,38,19,57,290,19.66%,13,38,51
"Judge, County Probate Court No. 1",0836,3,0,3,19,15.79%,1,2,3
"Judge, County Probate Court No. 1",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0839,136,118,254,1128,22.52%,54,188,242
"Judge, County Probate Court No. 1",0840,381,174,555,1705,32.55%,196,346,542
"Judge, County Probate Court No. 1",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0842,421,434,855,3259,26.24%,405,412,817
"Judge, County Probate Court No. 1",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 1",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Probate Court No. 1",0845,54,9,63,134,47.01%,39,20,59
"Judge, County Probate Court No. 1",0845,23,24,47,229,20.52%,4,42,46
"Judge, County Probate Court No. 1",0847,305,211,516,2015,25.61%,147,350,497
"Judge, County Probate Court No. 1",0848,489,266,755,1856,40.68%,231,488,719
"Judge, County Probate Court No. 1",0849,201,291,492,2124,23.16%,194,277,471
"Judge, County Probate Court No. 1",0850,46,41,87,210,41.43%,33,52,85
"Judge, County Probate Court No. 1",0851,1029,657,1686,4709,35.80%,1148,469,1617
"Judge, County Probate Court No. 1",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 1",0853,575,620,1296,2882,44.97%,998,237,1235
"Judge, County Probate Court No. 1",0854,15,26,41,172,23.84%,7,32,39
"Judge, County Probate Court No. 1",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Probate Court No. 1",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 1",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 1",0858,63,34,97,343,28.28%,3,90,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0859,157,106,263,890,29.55%,70,186,256
"Judge, County Probate Court No. 1",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0861,315,199,514,1842,27.90%,87,410,497
"Judge, County Probate Court No. 1",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0863,101,54,155,584,26.54%,10,144,154
"Judge, County Probate Court No. 1",0864,193,299,492,2569,19.15%,142,329,471
"Judge, County Probate Court No. 1",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Probate Court No. 1",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0868,236,271,507,2326,21.80%,167,321,488
"Judge, County Probate Court No. 1",0869,53,39,92,470,19.57%,25,65,90
"Judge, County Probate Court No. 1",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Probate Court No. 1",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Probate Court No. 1",0873,98,75,173,737,23.47%,46,124,170
"Judge, County Probate Court No. 1",0874,763,707,1470,3223,45.61%,1109,297,1406
"Judge, County Probate Court No. 1",0875,904,527,1431,5147,27.80%,702,679,1381
"Judge, County Probate Court No. 1",0876,698,641,1339,3265,41.01%,1037,256,1293
"Judge, County Probate Court No. 1",0877,476,382,858,3032,28.30%,352,483,835
"Judge, County Probate Court No. 1",0878,427,354,781,1666,46.88%,659,102,761
"Judge, County Probate Court No. 1",0879,407,294,701,2667,26.28%,360,308,668
"Judge, County Probate Court No. 1",0880,543,447,990,2352,42.09%,804,152,956
"Judge, County Probate Court No. 1",0881,593,540,1133,4479,25.30%,400,706,1106
"Judge, County Probate Court No. 1",0882,426,291,717,2422,29.60%,435,254,689
"Judge, County Probate Court No. 1",0883,643,702,1345,5408,24.87%,249,1059,1308
"Judge, County Probate Court No. 1",0884,57,25,82,377,21.75%,9,70,79
"Judge, County Probate Court No. 1",0885,562,368,930,2619,35.51%,554,351,905
"Judge, County Probate Court No. 1",0886,128,108,236,675,34.96%,138,84,222
"Judge, County Probate Court No. 1",0887,50,67,117,418,27.99%,55,52,107
"Judge, County Probate Court No. 1",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Probate Court No. 1",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Probate Court No. 1",0890,164,103,267,1095,24.38%,88,157,245
"Judge, County Probate Court No. 1",0891,317,243,560,1331,42.07%,217,299,516
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0892,115,86,201,808,24.88%,73,114,187
"Judge, County Probate Court No. 1",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Probate Court No. 1",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Probate Court No. 1",0895,156,286,442,793,55.74%,182,208,390
"Judge, County Probate Court No. 1",0896,370,297,667,1459,45.72%,260,356,616
"Judge, County Probate Court No. 1",0897,252,297,549,1701,32.28%,318,210,528
"Judge, County Probate Court No. 1",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 1",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Probate Court No. 1",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Probate Court No. 1",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0902,394,486,880,2139,41.14%,493,328,821
"Judge, County Probate Court No. 1",0903,3,7,10,50,20.00%,2,6,8
"Judge, County Probate Court No. 1",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Probate Court No. 1",0905,123,100,223,904,24.67%,103,107,210
"Judge, County Probate Court No. 1",0906,8,6,14,25,56.00%,8,4,12
"Judge, County Probate Court No. 1",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Probate Court No. 1",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 1",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Probate Court No. 1",0910,25,24,49,217,22.58%,20,25,45
"Judge, County Probate Court No. 1",0911,118,60,178,551,32.30%,121,51,172
"Judge, County Probate Court No. 1",0912,316,201,517,1273,40.61%,344,144,488
"Judge, County Probate Court No. 1",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0914,169,179,348,701,49.64%,280,55,335
"Judge, County Probate Court No. 1",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0916,417,240,657,1491,44.06%,529,104,633
"Judge, County Probate Court No. 1",0917,177,62,239,483,49.48%,160,62,222
"Judge, County Probate Court No. 1",0918,304,168,472,883,53.45%,369,80,449
"Judge, County Probate Court No. 1",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 1",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Probate Court No. 1",0921,32,15,47,119,39.50%,34,12,46
"Judge, County Probate Court No. 1",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0923,470,137,607,1511,40.17%,456,132,588
"Judge, County Probate Court No. 1",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0926,171,128,299,796,37.56%,228,60,288
"Judge, County Probate Court No. 1",0927,44,30,74,270,27.41%,30,38,68
"Judge, County Probate Court No. 1",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Probate Court No. 1",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0930,109,54,163,584,27.91%,9,151,160
"Judge, County Probate Court No. 1",0931,30,40,70,130,53.85%,36,25,61
"Judge, County Probate Court No. 1",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0933,115,85,200,627,31.90%,58,133,191
"Judge, County Probate Court No. 1",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Probate Court No. 1",0935,3,2,5,54,9.26%,1,3,4
"Judge, County Probate Court No. 1",0936,8,2,10,81,12.35%,3,6,9
"Judge, County Probate Court No. 1",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0938,30,14,44,231,19.05%,17,26,43
"Judge, County Probate Court No. 1",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 1",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Probate Court No. 1",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Probate Court No. 1",0942,53,27,80,156,51.28%,68,8,76
"Judge, County Probate Court No. 1",0943,164,80,244,547,44.61%,172,55,227
"Judge, County Probate Court No. 1",0944,20,4,24,45,53.33%,20,0,20
"Judge, County Probate Court No. 1",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Probate Court No. 1",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Probate Court No. 1",0947,177,246,423,799,52.94%,226,172,398
"Judge, County Probate Court No. 1",0948,0,14,14,1,1400.00%,9,3,12
"Judge, County Probate Court No. 1",0949,34,27,61,193,31.61%,32,29,61
"Judge, County Probate Court No. 1",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 1",0951,33,30,63,277,22.74%,17,45,62
"Judge, County Probate Court No. 1",0952,15,15,31,71,43.66%,17,12,29
"Judge, County Probate Court No. 1",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Probate Court No. 1",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 1",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Probate Court No. 1",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Probate Court No. 1",0957,97,95,192,562,34.16%,24,166,190
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0958,81,129,210,1081,19.43%,55,148,203
"Judge, County Probate Court No. 1",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0960,196,157,353,976,36.17%,71,270,341
"Judge, County Probate Court No. 1",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Probate Court No. 1",0962,10,17,27,88,30.68%,4,23,27
"Judge, County Probate Court No. 1",0963,54,41,105,426,24.65%,58,42,100
"Judge, County Probate Court No. 1",0964,568,437,1005,2372,42.37%,619,347,966
"Judge, County Probate Court No. 1",0965,31,21,52,343,15.16%,29,22,51
"Judge, County Probate Court No. 1",0966,129,83,212,1148,18.47%,78,129,207
"Judge, County Probate Court No. 1",0967,15,48,63,165,38.18%,19,43,62
"Judge, County Probate Court No. 1",0968,119,30,149,692,21.53%,31,115,146
"Judge, County Probate Court No. 1",0969,156,73,229,604,37.91%,2,224,226
"Judge, County Probate Court No. 1",0970,83,36,119,731,16.28%,17,99,116
"Judge, County Probate Court No. 1",0971,11,8,19,147,12.93%,1,16,17
"Judge, County Probate Court No. 1",0972,e,8,14,31,45.16%,13,0,13
"Judge, County Probate Court No. 1",0973,24,19,43,111,38.74%,20,19,39
"Judge, County Probate Court No. 1",0974,57,36,93,299,31.10%,57,34,91
"Judge, County Probate Court No. 1",0975,55,30,85,193,44.04%,40,39,79
"Judge, County Probate Court No. 1",0976,58,62,130,683,19.03%,87,41,128
"Judge, County Probate Court No. 1",0977,50,43,93,572,16.26%,40,52,92
"Judge, County Probate Court No. 1",0978,77,79,156,546,28.57%,28,125,153
"Judge, County Probate Court No. 1",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Probate Court No. 1",0980,280,321,601,1389,43.27%,452,119,571
"Judge, County Probate Court No. 1",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0982,312,312,624,1567,39.82%,508,86,594
"Judge, County Probate Court No. 1",0983,11,21,32,161,19.88%,20,10,30
"Judge, County Probate Court No. 1",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Probate Court No. 1",0985,117,63,180,351,51.28%,96,72,168
"Judge, County Probate Court No. 1",0986,43,30,73,463,15.77%,11,61,72
"Judge, County Probate Court No. 1",0987,231,90,321,1155,27.79%,31,282,313
"Judge, County Probate Court No. 1",0988,24,12,36,123,29.27%,33,3,36
"Judge, County Probate Court No. 1",0989,e,6,12,43,27.91%,9,3,12
"Judge, County Probate Court No. 1",0990,16,1,17,140,12.14%,8,8,16
