Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0095,917,576,1493,3177,46.99%,1114,313,1427
"District Judge, 180th Judicial District",0096,83,83,166,1296,12.81%,22,143,165
"District Judge, 180th Judicial District",0097,1024,725,1749,4828,36.23%,1312,378,1690
"District Judge, 180th Judicial District",0098,403,488,891,2651,33.61%,743,120,863
"District Judge, 180th Judicial District",0099,254,184,438,2092,20.94%,219,207,426
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0100,155,173,338,1730,19.54%,187,145,332
"District Judge, 180th Judicial District",0101,72,58,130,946,13.74%,46,82,128
"District Judge, 180th Judicial District",0102,207,121,328,1872,17.52%,97,219,316
"District Judge, 180th Judicial District",0103,700,714,1414,5371,26.33%,822,559,1381
"District Judge, 180th Judicial District",0104,530,231,761,1905,39.95%,25,727,752
"District Judge, 180th Judicial District",0105,195,210,406,2165,18.75%,142,236,378
"District Judge, 180th Judicial District",0106,18,7,25,294,8.50%,16,9,25
"District Judge, 180th Judicial District",0107,154,197,351,2032,17.27%,58,280,338
"District Judge, 180th Judicial District",0108,558,272,940,3365,27.93%,580,328,908
"District Judge, 180th Judicial District",0109,529,245,774,2824,27.41%,13,749,762
"District Judge, 180th Judicial District",0110,554,494,1148,3042,37.74%,746,363,1109
"District Judge, 180th Judicial District",0111,816,795,1611,4102,39.27%,1206,350,1556
"District Judge, 180th Judicial District",0112,542,485,1027,2976,34.51%,771,221,992
"District Judge, 180th Judicial District",0113,552,429,991,2647,37.44%,627,321,948
"District Judge, 180th Judicial District",0114,707,547,1254,3311,37.87%,1018,202,1220
"District Judge, 180th Judicial District",0115,238,150,388,1800,21.56%,51,326,377
"District Judge, 180th Judicial District",0116,982,776,1758,3147,55.86%,1380,284,1664
"District Judge, 180th Judicial District",0117,215,226,441,1880,23.46%,226,194,420
"District Judge, 180th Judicial District",0118,304,123,427,759,56.26%,362,52,414
"District Judge, 180th Judicial District",0119,1288,1024,2312,5500,42.04%,1897,335,2232
"District Judge, 180th Judicial District",0120,712,422,1134,3191,35.54%,758,329,1087
"District Judge, 180th Judicial District",0121,92,178,270,848,31.84%,190,68,258
"District Judge, 180th Judicial District",0122,352,225,577,1890,30.53%,25,535,560
"District Judge, 180th Judicial District",0123,284,288,572,1392,41.09%,152,386,538
"District Judge, 180th Judicial District",0124,1734,1292,3026,7254,41.71%,2429,520,2949
"District Judge, 180th Judicial District",0125,415,332,747,2405,31.06%,467,256,723
"District Judge, 180th Judicial District",0126,893,467,1360,3100,43.87%,1211,115,1326
"District Judge, 180th Judicial District",0127,435,154,589,1836,32.08%,422,134,556
"District Judge, 180th Judicial District",0128,445,707,1152,2290,50.31%,743,309,1052
"District Judge, 180th Judicial District",0129,1030,1200,2230,5746,38.81%,1425,689,2114
"District Judge, 180th Judicial District",0130,727,523,1250,2333,53.58%,932,248,1180
"District Judge, 180th Judicial District",0131,251,259,510,1935,26.36%,129,357,486
"District Judge, 180th Judicial District",0132,593,323,916,2387,38.37%,20,877,897
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0133,513,858,1371,2662,51.50%,814,456,1270
"District Judge, 180th Judicial District",0134,192,265,457,1437,31.80%,214,225,439
"District Judge, 180th Judicial District",0135,727,579,1306,2671,48.90%,936,298,1234
"District Judge, 180th Judicial District",0136,503,371,874,2013,43.42%,40,808,848
"District Judge, 180th Judicial District",0137,166,141,307,716,42.88%,161,123,284
"District Judge, 180th Judicial District",0138,296,199,495,1699,29.13%,15,469,484
"District Judge, 180th Judicial District",0139,699,551,1250,3037,41.16%,562,609,1171
"District Judge, 180th Judicial District",0140,699,480,1179,3214,36.68%,153,977,1130
"District Judge, 180th Judicial District",0141,80,80,160,855,18.71%,100,52,152
"District Judge, 180th Judicial District",0142,87,103,190,902,21.06%,62,118,180
"District Judge, 180th Judicial District",0143,1962,580,2542,6386,39.81%,1857,628,2485
"District Judge, 180th Judicial District",0144,216,158,374,1093,34.22%,10,356,366
"District Judge, 180th Judicial District",0145,264,213,477,1538,31.01%,10,455,465
"District Judge, 180th Judicial District",0146,426,519,945,2008,47.06%,433,463,896
"District Judge, 180th Judicial District",0147,689,329,1018,3008,33.84%,136,857,993
"District Judge, 180th Judicial District",0148,500,780,1280,2540,50.39%,538,642,1180
"District Judge, 180th Judicial District",0149,1621,737,2358,7993,29.50%,1253,1045,2298
"District Judge, 180th Judicial District",0150,236,169,405,1256,32.25%,16,386,402
"District Judge, 180th Judicial District",0151,137,79,216,826,26.15%,11,196,207
"District Judge, 180th Judicial District",0152,213,299,512,2788,18.36%,146,347,493
"District Judge, 180th Judicial District",0153,125,206,331,1808,18.31%,111,202,313
"District Judge, 180th Judicial District",0154,249,183,432,2190,19.73%,123,286,409
"District Judge, 180th Judicial District",0155,1022,619,1641,4109,39.94%,1171,420,1591
"District Judge, 180th Judicial District",0156,799,326,1125,3071,36.63%,51,1046,1097
"District Judge, 180th Judicial District",0157,448,214,662,2236,29.61%,30,614,644
"District Judge, 180th Judicial District",0158,600,315,915,3035,30.15%,24,874,898
"District Judge, 180th Judicial District",0159,116,127,243,998,24.35%,41,194,235
"District Judge, 180th Judicial District",0160,122,73,195,696,28.02%,7,186,193
"District Judge, 180th Judicial District",0161,163,141,304,991,30.68%,4,293,297
"District Judge, 180th Judicial District",0162,101,83,184,1265,14.55%,72,100,172
"District Judge, 180th Judicial District",0163,230,320,550,3037,18.11%,246,277,523
"District Judge, 180th Judicial District",0164,182,205,387,1420,27.25%,12,365,377
"District Judge, 180th Judicial District",0165,535,483,1018,2334,43.62%,686,285,971
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0166,158,233,391,1028,38.04%,121,247,368
"District Judge, 180th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 180th Judicial District",0168,92,58,150,503,29.82%,3,144,147
"District Judge, 180th Judicial District",0169,518,251,767,2513,30.52%,17,734,751
"District Judge, 180th Judicial District",0170,271,141,412,1869,22.04%,220,171,391
"District Judge, 180th Judicial District",0171,202,198,400,1604,24.94%,11,382,393
"District Judge, 180th Judicial District",0172,88,80,166,621,26.73%,69,85,154
"District Judge, 180th Judicial District",0173,817,739,1556,3599,43.23%,1264,245,1509
"District Judge, 180th Judicial District",0174,829,733,1562,3296,47.39%,1101,376,1477
"District Judge, 180th Judicial District",0175,557,749,1306,2618,49.89%,684,525,1209
"District Judge, 180th Judicial District",0176,344,451,795,1602,49.63%,432,287,719
"District Judge, 180th Judicial District",0177,278,326,604,1496,40.37%,350,217,567
"District Judge, 180th Judicial District",0178,504,365,869,1765,49.24%,611,194,805
"District Judge, 180th Judicial District",0179,256,188,444,1575,28.19%,242,181,423
