Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Lone Star College System, Proposition 1",0671,403,565,968,3037,31.87%,514,259,773
"Lone Star College System, Proposition 1",0672,959,862,1821,5706,31.91,%,978,498,1476
"Lone Star College System, Proposition 1",0674,1071,618,1689,4091,41.29%,894,477,1371
"Lone Star College System, Proposition 1",0687,549,537,1086,2609,41.63%,566,294,860
"Lone Star College System, Proposition 1",0688,999,617,1616,3504,46.12%,812,495,1307
"Lone Star College System, Proposition 1",0689,211,387,598,2346,25.49%,274,154,428
"Lone Star College System, Proposition 1",0690,926,1104,2030,5102,39.79%,989,627,1616
"Lone Star College System, Proposition 1",0691,2,5,7,25,28.00%,5,2,7
"Lone Star College System, Proposition 1",0697,605,613,1218,4413,27.60%,707,178,885
"Lone Star College System, Proposition 1",0698,448,489,937,3189,29.38%,557,108,665
"Lone Star College System, Proposition 1",0701,55,43,99,588,16.84%,48,26,74
"Lone Star College System, Proposition 1",0705,114,113,227,1523,14.90%,123,26,149
"Lone Star College System, Proposition 1",0709,1375,947,2322,6848,33.91%,1233,695,1928
"Lone Star College System, Proposition 1",0712,491,463,954,3670,25.99%,535,241,776
"Lone Star College System, Proposition 1",0713,228,262,490,1907,25.69%,280,126,406
"Lone Star College System, Proposition 1",0717,373,250,623,2002,31.12%,334,74,408
"Lone Star College System, Proposition 1",0723,401,202,603,1858,32.45%,345,88,433
"Lone Star College System, Proposition 1",0726,592,402,994,2087,47.63%,408,336,744
"Lone Star College System, Proposition 1",0729,136,59,195,464,42.03%,106,57,163
"Lone Star College System, Proposition 1",0733,13,7,20,215,9.30%,11,4,15
"Lone Star College System, Proposition 1",0734,1558,962,2520,7005,35.97%,1246,722,1968
"Lone Star College System, Proposition 1",0735,e,0,6,18,33.33%,2,1,3
"Lone Star College System, Proposition 1",0737,11,7,18,51,35.29%,7,5,12
"Lone Star College System, Proposition 1",0738,139,100,239,1361,17.56%,140,31,171
"Lone Star College System, Proposition 1",0742,0,10,10,0,0.00%,7,2,9
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Lone Star College System, Proposition 1",0743,15,18,33,210,15.71%,17,10,27
"Lone Star College System, Proposition 1",0747,550,467,1017,3743,27.17%,572,242,814
