Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Devlin,DEM Tracy D. Good,Totals
"Family District Judge, 313th Judicial District",0137,166,141,307,716,42.88%,147,131,278
"Family District Judge, 313th Judicial District",0138,296,199,495,1699,29.13%,15,468,483
"Family District Judge, 313th Judicial District",0139,699,551,1250,3037,41.16%,552,614,1166
"Family District Judge, 313th Judicial District",0140,699,480,1179,3214,36.68%,137,999,1136
"Family District Judge, 313th Judicial District",0141,80,80,160,855,18.71%,97,54,151
"Family District Judge, 313th Judicial District",0142,87,103,190,902,21.06%,65,117,182
"Family District Judge, 313th Judicial District",0143,1962,580,2542,6386,39.81%,1824,651,2475
"Family District Judge, 313th Judicial District",0144,216,158,374,1093,34.22%,8,357,365
"Family District Judge, 313th Judicial District",0145,264,213,477,1538,31.01%,9,456,465
"Family District Judge, 313th Judicial District",0146,426,519,945,2008,47.06%,407,474,881
"Family District Judge, 313th Judicial District",0147,589,329,1018,3008,33.84%,126,863,989
"Family District Judge, 313th Judicial District",0148,500,780,1280,2540,50.39%,494,667,1161
"Family District Judge, 313th Judicial District",0149,1621,737,2358,7993,29.50%,1219,1077,2296
"Family District Judge, 313th Judicial District",0150,236,169,405,1256,32.25%,11,389,400
"Family District Judge, 313th Judicial District",0151,137,79,216,826,26.15%,10,198,208
"Family District Judge, 313th Judicial District",0152,213,299,512,2788,18.36%,142,350,492
"Family District Judge, 313th Judicial District",0153,125,206,331,1808,18.31%,106,211,317
"Family District Judge, 313th Judicial District",0154,249,183,432,2190,19.73%,111,299,410
"Family District Judge, 313th Judicial District",0155,1022,619,1641,4109,39.94%,1141,440,1581
"Family District Judge, 313th Judicial District",0156,799,326,1125,3071,36.63%,40,1049,1089
"Family District Judge, 313th Judicial District",0157,448,214,662,2236,29.61%,25,618,643
"Family District Judge, 313th Judicial District",0158,600,315,915,3035,30.15%,24,870,894
"Family District Judge, 313th Judicial District",0159,116,127,243,998,24.35%,34,201,235
"Family District Judge, 313th Judicial District",0160,122,73,195,696,28.02%,7,184,191
"Family District Judge, 313th Judicial District",0161,163,141,304,991,30.68%,4,292,296
"Family District Judge, 313th Judicial District",0162,101,83,184,1265,14.55%,69,101,170
"Family District Judge, 313th Judicial District",0163,230,320,550,3037,18.11%,229,293,522
"Family District Judge, 313th Judicial District",0164,182,205,387,1420,27.25%,11,369,380
"Family District Judge, 313th Judicial District",0165,535,483,1018,2334,43.62%,666,303,969
"Family District Judge, 313th Judicial District",0166,158,233,391,1028,38.04%,115,254,369
"Family District Judge, 313th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"Family District Judge, 313th Judicial District",0168,92,58,150,503,29.82%,3,142,145
"Family District Judge, 313th Judicial District",0169,518,251,767,2513,30.52%,15,734,749
"Family District Judge, 313th Judicial District",0170,271,141,412,1869,22.04%,215,178,393
"Family District Judge, 313th Judicial District",0171,202,198,400,1604,24.94%,9,377,386
"Family District Judge, 313th Judicial District",0172,88,80,166,621,26.73%,60,91,151
"Family District Judge, 313th Judicial District",0173,817,739,1556,3599,43.23%,1249,255,1504
"Family District Judge, 313th Judicial District",0174,829,733,1562,3296,47.39%,1068,406,1474
"Family District Judge, 313th Judicial District",0175,557,749,1306,2618,49.89%,660,539,1199
"Family District Judge, 313th Judicial District",0176,344,451,795,1602,49.63%,404,314,718
"Family District Judge, 313th Judicial District",0177,278,326,604,1496,40.37%,343,218,561
"Family District Judge, 313th Judicial District",0178,504,365,869,1765,49.24%,590,206,796
"Family District Judge, 313th Judicial District",0179,256,188,444,1575,28.19%,235,183,418
"Family District Judge, 313th Judicial District",0180,470,343,813,2834,28.69%,23,753,776
