Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0651,963,766,1729,5128,33.72%,1217,1217
"Justice of the Peace, Precinct 5, Place 2",0667,488,502,990,2149,46.07%,809,809
"Justice of the Peace, Precinct 5, Place 2",0678,166,108,274,735,37.28%,194,194
"Justice of the Peace, Precinct 5, Place 2",0684,27,22,49,223,21.97%,31,31
"Justice of the Peace, Precinct 5, Place 2",0685,110,29,139,307,45.28%,70,70
"Justice of the Peace, Precinct 5, Place 2",0686,17,12,29,208,13.94%,14,14
"Justice of the Peace, Precinct 5, Place 2",0689,211,387,598,2346,25.49%,339,339
"Justice of the Peace, Precinct 5, Place 2",0706,115,71,186,610,30.49%,106,106
"Justice of the Peace, Precinct 5, Place 2",0709,1375,947,2322,6848,33.91%,1534,1534
"Justice of the Peace, Precinct 5, Place 2",0711,702,506,1208,3484,34.67%,818,818
"Justice of the Peace, Precinct 5, Place 2",0712,491,463,954,3670,25.99%,496,496
"Justice of the Peace, Precinct 5, Place 2",0720,994,780,1774,4282,41.43%,1425,1425
"Justice of the Peace, Precinct 5, Place 2",0727,338,290,628,2488,25.24%,267,267
"Justice of the Peace, Precinct 5, Place 2",0730,428,359,787,1747,45.05%,549,549
"Justice of the Peace, Precinct 5, Place 2",0731,58,27,85,352,24.15%,31,31
"Justice of the Peace, Precinct 5, Place 2",0751,925,964,1889,5084,37.16%,1371,1371
"Justice of the Peace, Precinct 5, Place 2",0761,548,253,801,1550,51.68%,595,595
"Justice of the Peace, Precinct 5, Place 2",0765,647,426,1073,4055,26.46%,524,524
"Justice of the Peace, Precinct 5, Place 2",0771,324,254,578,2426,23.83%,374,374
"Justice of the Peace, Precinct 5, Place 2",0772,1792,851,2643,5709,46.30%,2121,2121
"Justice of the Peace, Precinct 5, Place 2",0773,473,312,785,2918,26.90%,280,280
"Justice of the Peace, Precinct 5, Place 2",0781,666,273,939,3603,26.06%,497,497
"Justice of the Peace, Precinct 5, Place 2",0788,74,32,106,454,23.35%,53,53
"Justice of the Peace, Precinct 5, Place 2",0800,588,642,1230,2932,41.95%,909,909
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0803,725,511,1236,2893,42.72%,963,963
"Justice of the Peace, Precinct 5, Place 2",0804,932,591,1523,4768,31.94%,1071,1071
"Justice of the Peace, Precinct 5, Place 2",0807,211,204,415,2028,20.46%,134,134
"Justice of the Peace, Precinct 5, Place 2",0813,938,761,1699,5807,29.26%,973,973
"Justice of the Peace, Precinct 5, Place 2",0814,673,533,1206,5102,23.64%,418,418
"Justice of the Peace, Precinct 5, Place 2",0826,73,50,123,358,34.36%,70,70
"Justice of the Peace, Precinct 5, Place 2",0829,54,22,76,264,28.79%,28,28
"Justice of the Peace, Precinct 5, Place 2",0835,38,19,57,290,19.66%,14,14
"Justice of the Peace, Precinct 5, Place 2",0836,3,0,3,19,15.79%,2,2
"Justice of the Peace, Precinct 5, Place 2",0839,135,118,254,1128,22.52%,78,78
"Justice of the Peace, Precinct 5, Place 2",0869,53,39,92,470,19.57%,27,27
"Justice of the Peace, Precinct 5, Place 2",0875,904,527,1431,5147,27.80%,805,805
"Justice of the Peace, Precinct 5, Place 2",0877,476,382,858,3032,28.30%,421,421
"Justice of the Peace, Precinct 5, Place 2",0879,407,294,701,2667,26.28%,417,417
"Justice of the Peace, Precinct 5, Place 2",0881,593,540,1133,4479,25.30%,493,493
"Justice of the Peace, Precinct 5, Place 2",0882,426,291,717,2422,29.60%,475,475
"Justice of the Peace, Precinct 5, Place 2",0917,177,62,239,483,49.48%,159,159
"Justice of the Peace, Precinct 5, Place 2",0918,304,168,472,883,53.45%,378,378
"Justice of the Peace, Precinct 5, Place 2",0919,0,0,0,3,0.00%,0,0
"Justice of the Peace, Precinct 5, Place 2",0920,22,12,34,71,47.89%,25,25
"Justice of the Peace, Precinct 5, Place 2",0921,32,15,47,119,39.50%,37,37
"Justice of the Peace, Precinct 5, Place 2",0923,470,137,607,1511,40.17%,479,479
