Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Diane Bull,Totals
"Judge, County Criminal Court No.11",0115,238,150,388,1800,21.56%,78,78
"Judge, County Criminal Court No.11",0116,982,776,1758,3147,55.86%,1368,1368
"Judge, County Criminal Court No.11",0117,215,226,441,1880,23.46%,253,253
"Judge, County Criminal Court No.11",0118,304,123,427,759,56.26%,360,360
"Judge, County Criminal Court No.11",0119,1288,1024,2312,5500,42.04%,1938,1938
"Judge, County Criminal Court No.11",0120,712,422,1134,3191,35.54%,795,795
"Judge, County Criminal Court No.11",0121,92,178,270,848,31.84%,195,195
"Judge, County Criminal Court No.11",0122,352,225,577,1890,30.53%,44,44
"Judge, County Criminal Court No.11",0123,284,288,572,1392,41.09%,190,190
"Judge, County Criminal Court No.11",0124,1734,1292,3026,7254,41.71%,2487,2487
"Judge, County Criminal Court No.11",0125,415,332,747,2405,31.06%,507,507
"Judge, County Criminal Court No.11",0126,893,467,1360,3100,43.87%,1214,1214
"Judge, County Criminal Court No.11",0127,435,154,589,1836,32.08%,440,440
"Judge, County Criminal Court No.11",0128,445,707,1152,2290,50.31%,753,753
"Judge, County Criminal Court No.11",0129,1030,1200,2230,5746,38.81%,1510,1510
"Judge, County Criminal Court No.11",0130,727,523,1250,2333,53.58%,937,937
"Judge, County Criminal Court No.11",0131,251,259,510,1935,26.36%,158,158
"Judge, County Criminal Court No.11",0132,593,323,916,2387,38.37%,55,55
"Judge, County Criminal Court No.11",0133,513,858,1371,2662,51.50%,858,858
"Judge, County Criminal Court No.11",0134,192,265,457,1437,31.80%,234,234
"Judge, County Criminal Court No.11",0135,727,579,1306,2671,48.90%,933,933
"Judge, County Criminal Court No.11",0136,503,371,874,2013,43.42%,106,106
"Judge, County Criminal Court No.11",0137,166,141,307,716,42.88%,162,162
"Judge, County Criminal Court No.11",0138,296,199,495,1699,29.13%,32,32
"Judge, County Criminal Court No.11",0139,699,551,1250,3037,41.16%,623,623
"Judge, County Criminal Court No.11",0140,699,480,1179,3214,36.68%,262,262
"Judge, County Criminal Court No.11",0141,80,80,160,855,18.71%,102,102
"Judge, County Criminal Court No.11",0142,87,103,190,902,21.06%,82,82
"Judge, County Criminal Court No.11",0143,1962,580,2542,6386,39.81%,1936,1936
"Judge, County Criminal Court No.11",0144,216,158,374,1093,34.22%,24,24
"Judge, County Criminal Court No.11",0145,264,213,477,1538,31.01%,27,27
"Judge, County Criminal Court No.11",0146,426,519,945,2008,47.06%,484,484
"Judge, County Criminal Court No.11",0147,689,329,1018,3008,33.84%,198,198
"Judge, County Criminal Court No.11",0148,500,780,1280,2540,50.39%,558,558
"Judge, County Criminal Court No.11",0149,1621,737,2358,7993,29.50%,1380,1380
"Judge, County Criminal Court No.11",0150,236,169,405,1256,32.25%,30,30
"Judge, County Criminal Court No.11",0151,137,79,216,826,26.15%,22,22
"Judge, County Criminal Court No.11",0152,213,299,512,2788,18.36%,199,199
"Judge, County Criminal Court No.11",0153,125,206,331,1808,18.31%,147,147
"Judge, County Criminal Court No.11",0154,249,183,432,2190,19.73%,160,160
"Judge, County Criminal Court No.11",0155,1022,619,1641,4109,39.94%,1204,1204
"Judge, County Criminal Court No.11",0156,799,326,1125,3071,36.63%,118,118
"Judge, County Criminal Court No.11",0157,448,214,662,2236,29.61%,49,49
"Judge, County Criminal Court No.11",0158,600,315,915,3035,30.15%,58,58
"Judge, County Criminal Court No.11",0159,116,127,243,998,24.35%,63,63
"Judge, County Criminal Court No.11",0160,122,73,195,696,28.02%,13,13
"Judge, County Criminal Court No.11",0161,163,141,304,991,30.68%,18,18
"Judge, County Criminal Court No.11",0162,101,83,184,1265,14.55%,80,80
"Judge, County Criminal Court No.11",0163,230,320,550,3037,18.11%,283,283
"Judge, County Criminal Court No.11",0164,182,205,387,1420,27.25%,26,26
"Judge, County Criminal Court No.11",0165,535,483,1018,2334,43.62%,704,704
"Judge, County Criminal Court No.11",0166,158,233,391,1028,38.04%,151,151
"Judge, County Criminal Court No.11",0167,3,0,3,24,12.50%,1,1
"Judge, County Criminal Court No.11",0168,92,58,150,503,29.82%,7,7
"Judge, County Criminal Court No.11",0169,518,251,767,2513,30.52%,52,52
"Judge, County Criminal Court No.11",0170,271,141,412,1869,22.04%,241,241
"Judge, County Criminal Court No.11",0171,202,198,400,1604,24.94%,21,21
"Judge, County Criminal Court No.11",0172,88,80,166,621,26.73%,74,74
"Judge, County Criminal Court No.11",0173,817,739,1556,3599,43.23%,1302,1302
"Judge, County Criminal Court No.11",0174,829,733,1562,3296,47.39%,1138,1138
"Judge, County Criminal Court No.11",0175,557,749,1306,2618,49.89%,734,734
"Judge, County Criminal Court No.11",0176,344,451,795,1602,49.63%,443,443
"Judge, County Criminal Court No.11",0177,278,326,604,1496,40.37%,367,367
"Judge, County Criminal Court No.11",0178,504,365,869,1765,49.24%,607,607
"Judge, County Criminal Court No.11",0179,256,188,444,1575,28.19%,260,260
"Judge, County Criminal Court No.11",0180,470,343,813,2834,28.69%,65,65
"Judge, County Criminal Court No.11",0181,175,262,437,2061,21.20%,194,194
"Judge, County Criminal Court No.11",0182,590,974,1564,3405,45.93%,1028,1028
"Judge, County Criminal Court No.11",0183,519,794,1313,2491,52.71%,910,910
"Judge, County Criminal Court No.11",0184,106,135,241,994,24.25%,107,107
"Judge, County Criminal Court No.11",0185,283,292,575,1933,29.75%,247,247
"Judge, County Criminal Court No.11",0186,97,106,203,798,25.44%,49,49
"Judge, County Criminal Court No.11",0187,21,25,46,311,14.79%,19,19
"Judge, County Criminal Court No.11",0188,153,146,299,1637,18.27%,159,159
"Judge, County Criminal Court No.11",0189,239,360,599,1465,40.89%,345,345
"Judge, County Criminal Court No.11",0190,120,177,297,1723,17.24%,148,148
"Judge, County Criminal Court No.11",0191,79,126,205,1366,15.01%,107,107
"Judge, County Criminal Court No.11",0192,380,225,805,1959,30.88%,64,64
"Judge, County Criminal Court No.11",0193,173,187,360,1074,33.52%,32,32
"Judge, County Criminal Court No.11",0194,350,431,781,1912,40.85%,308,308
"Judge, County Criminal Court No.11",0195,269,278,547,1694,32.29%,52,52
"Judge, County Criminal Court No.11",0196,52,32,84,316,26.58%,14,14
"Judge, County Criminal Court No.11",0197,543,309,852,2914,29.24%,70,70
