Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Diane Bull,Totals
"Judge, County Criminal Court No.11",0736,3,1,4,22,18.18%,0,0
"Judge, County Criminal Court No.11",0737,11,7,18,51,35.29%,14,14
"Judge, County Criminal Court No.11",0738,139,100,239,1361,17.56%,62,62
"Judge, County Criminal Court No.11",0739,353,301,654,2955,22.13%,371,371
"Judge, County Criminal Court No.11",0740,96,98,194,939,20.66%,130,130
"Judge, County Criminal Court No.11",0741,0,1,1,0,0.00%,0,0
"Judge, County Criminal Court No.11",0742,0,11,11,0,0.00%,6,6
"Judge, County Criminal Court No.11",0743,15,18,33,210,15.71%,22,22
"Judge, County Criminal Court No.11",0744,456,392,848,2027,41.84%,580,580
"Judge, County Criminal Court No.11",0745,683,372,1055,2494,42.30%,689,689
"Judge, County Criminal Court No.11",0746,114,77,191,691,27.64%,107,107
"Judge, County Criminal Court No.11",0747,550,467,1017,3743,27.17%,574,574
"Judge, County Criminal Court No.11",0748,170,140,310,1403,22.10%,192,192
"Judge, County Criminal Court No.11",0749,30,17,47,377,12.47%,10,10
"Judge, County Criminal Court No.11",0750,111,96,207,767,26.99%,139,139
"Judge, County Criminal Court No.11",0751,925,964,1889,5084,37.16%,1362,1362
"Judge, County Criminal Court No.11",0752,286,200,486,1483,32.77%,389,389
"Judge, County Criminal Court No.11",0753,55,73,128,259,49.42%,90,90
"Judge, County Criminal Court No.11",0754,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0755,442,584,1026,4294,23.89%,545,545
"Judge, County Criminal Court No.11",0756,251,177,428,1600,26.75%,195,195
"Judge, County Criminal Court No.11",0757,520,508,1028,4035,25.48%,278,278
"Judge, County Criminal Court No.11",0758,1114,692,1806,4096,44.09%,1522,1522
"Judge, County Criminal Court No.11",0759,465,413,878,2730,32.16%,612,612
"Judge, County Criminal Court No.11",0760,1432,639,2071,4367,47.42%,1773,1773
"Judge, County Criminal Court No.11",0761,548,253,801,1550,51.68%,594,594
"Judge, County Criminal Court No.11",0762,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0763,108,146,254,1212,20.96%,125,125
"Judge, County Criminal Court No.11",0764,1133,774,1907,5217,36.55%,1292,1292
"Judge, County Criminal Court No.11",0765,647,426,1073,4055,26.46%,520,520
"Judge, County Criminal Court No.11",0766,40,25,65,392,16.58%,22,22
"Judge, County Criminal Court No.11",0767,10,2,12,86,13.95%,8,8
"Judge, County Criminal Court No.11",0768,1359,1015,2374,5857,40.53%,2007,2007
"Judge, County Criminal Court No.11",0769,54,16,70,183,38.25%,5,5
"Judge, County Criminal Court No.11",0770,31,25,56,323,17.34%,36,36
"Judge, County Criminal Court No.11",0771,324,254,578,2426,23.83%,371,371
"Judge, County Criminal Court No.11",0772,1792,851,2643,5709,46.30%,2104,2104
"Judge, County Criminal Court No.11",0773,473,312,785,2918,26.90%,275,275
"Judge, County Criminal Court No.11",0774,30,41,71,378,18.78%,23,23
"Judge, County Criminal Court No.11",0775,18,3,21,92,22.83%,2,2
"Judge, County Criminal Court No.11",0776,551,496,1047,3053,34.29%,674,674
"Judge, County Criminal Court No.11",0777,46,40,86,652,13.19%,40,40
"Judge, County Criminal Court No.11",0778,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0779,64,51,115,940,12.23%,52,52
"Judge, County Criminal Court No.11",0780,63,59,122,595,20.50%,74,74
"Judge, County Criminal Court No.11",0781,666,273,939,3603,26.06%,486,486
"Judge, County Criminal Court No.11",0782,368,370,738,2236,33.01%,503,503
"Judge, County Criminal Court No.11",0783,49,13,62,294,21.09%,47,47
"Judge, County Criminal Court No.11",0784,208,128,336,1079,31.14%,14,14
"Judge, County Criminal Court No.11",0785,28,25,53,296,17.91%,33,33
"Judge, County Criminal Court No.11",0786,100,98,198,1251,15.83%,94,94
"Judge, County Criminal Court No.11",0787,46,52,98,488,20.08%,45,45
"Judge, County Criminal Court No.11",0788,74,32,106,454,23.35%,51,51
"Judge, County Criminal Court No.11",0789,0,3,3,3,100.00%,1,1
"Judge, County Criminal Court No.11",0790,0,0,0,3,0.00%,0,0
"Judge, County Criminal Court No.11",0791,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0792,269,239,508,1865,27.24%,166,166
"Judge, County Criminal Court No.11",0793,448,247,695,2484,27.98%,456,456
"Judge, County Criminal Court No.11",0794,124,144,268,2710,9.89%,64,64
"Judge, County Criminal Court No.11",0795,90,125,215,1217,17.67%,106,106
"Judge, County Criminal Court No.11",0796,83,51,134,476,28.15%,85,85
"Judge, County Criminal Court No.11",0797,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0798,99,111,210,500,42.00%,103,103
"Judge, County Criminal Court No.11",0799,28,15,43,161,26.71%,14,14
"Judge, County Criminal Court No.11",0800,588,642,1230,2932,41.95%,898,898
"Judge, County Criminal Court No.11",0801,32,14,46,258,17.83%,20,20
"Judge, County Criminal Court No.11",0802,51,27,78,312,25.00%,20,20
"Judge, County Criminal Court No.11",0803,725,511,1236,2893,42.72%,958,958
"Judge, County Criminal Court No.11",0804,932,591,1523,4768,31.94%,1059,1059
"Judge, County Criminal Court No.11",0805,765,533,1298,2866,45.29%,1076,1076
"Judge, County Criminal Court No.11",0806,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0807,211,204,415,2028,20.46%,131,131
"Judge, County Criminal Court No.11",0808,12,17,29,131,22.14%,12,12
"Judge, County Criminal Court No.11",0809,7,6,13,92,14.13%,5,5
"Judge, County Criminal Court No.11",0810,9,16,25,211,11.85%,10,10
"Judge, County Criminal Court No.11",0811,29,50,79,270,29.26%,32,32
"Judge, County Criminal Court No.11",0812,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0813,938,761,1699,5807,29.26%,970,970
"Judge, County Criminal Court No.11",0814,673,533,1206,5102,23.64%,411,411
"Judge, County Criminal Court No.11",0815,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0816,10,0,10,73,13.70%,3,3
"Judge, County Criminal Court No.11",0817,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0818,88,39,125,616,20.29%,41,41
"Judge, County Criminal Court No.11",0819,64,30,94,240,39.17%,57,57
"Judge, County Criminal Court No.11",0820,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0821,124,120,244,1242,19.65%,47,47
"Judge, County Criminal Court No.11",0822,332,167,499,1535,32.51%,36,36
"Judge, County Criminal Court No.11",0823,821,564,1385,5087,27.23%,879,879
"Judge, County Criminal Court No.11",0824,428,282,710,2700,26.30%,198,198
"Judge, County Criminal Court No.11",0825,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0826,73,50,123,358,34.36%,69,69
"Judge, County Criminal Court No.11",0827,60,98,158,979,16.14%,92,92
"Judge, County Criminal Court No.11",0828,541,388,929,1916,48.49%,767,767
"Judge, County Criminal Court No.11",0829,54,22,76,264,28.79%,27,27
"Judge, County Criminal Court No.11",0830,0,0,0,2,0.00%,0,0
"Judge, County Criminal Court No.11",0831,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0832,34,28,62,352,17.61%,23,23
"Judge, County Criminal Court No.11",0833,0,1,1,20,5.00%,0,0
"Judge, County Criminal Court No.11",0834,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0835,38,19,57,290,19.66%,14,14
"Judge, County Criminal Court No.11",0836,3,0,3,19,15.79%,2,2
"Judge, County Criminal Court No.11",0837,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0838,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0839,136,118,254,1128,22.52%,79,79
"Judge, County Criminal Court No.11",0840,381,174,555,1705,32.55%,225,225
"Judge, County Criminal Court No.11",0841,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0842,421,434,855,3259,26.24%,477,477
"Judge, County Criminal Court No.11",0843,0,1,1,0,0.00%,0,0
"Judge, County Criminal Court No.11",0844,1,0,1,11,9.09%,0,0
"Judge, County Criminal Court No.11",0845,54,9,63,134,47.01%,41,41
"Judge, County Criminal Court No.11",0846,23,24,47,229,20.52%,8,8
"Judge, County Criminal Court No.11",0847,305,211,516,2015,25.61%,182,182
"Judge, County Criminal Court No.11",0848,489,266,755,1856,40.68%,272,272
"Judge, County Criminal Court No.11",0849,201,291,492,2124,23.16%,228,228
"Judge, County Criminal Court No.11",0850,45,41,87,210,41.43%,36,36
"Judge, County Criminal Court No.11",0851,1029,657,1686,4709,35.80%,1224,1224
"Judge, County Criminal Court No.11",0852,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No.11",0853,575,620,1296,2882,44.97%,1034,1034
"Judge, County Criminal Court No.11",0854,15,26,41,172,23.84%,12,12
"Judge, County Criminal Court No.11",0855,5,9,14,16,87.50%,6,6
"Judge, County Criminal Court No.11",0856,0,1,1,0,0.00%,0,0
"Judge, County Criminal Court No.11",0857,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No.11",0858,63,34,97,343,28.28%,4,4
"Judge, County Criminal Court No.11",0859,157,106,263,890,29.55%,83,83
"Judge, County Criminal Court No.11",0860,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0861,315,199,514,1842,27.90%,120,120
"Judge, County Criminal Court No.11",0862,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0863,101,54,155,584,26.54%,16,16
"Judge, County Criminal Court No.11",0864,193,299,492,2569,19.15%,189,189
"Judge, County Criminal Court No.11",0865,2,3,5,21,23.81%,0,0
"Judge, County Criminal Court No.11",0866,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0867,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0868,236,271,507,2326,21.80%,204,204
"Judge, County Criminal Court No.11",0869,53,39,92,470,19.57%,27,27
"Judge, County Criminal Court No.11",0870,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0871,1,0,1,3,33.33%,0,0
"Judge, County Criminal Court No.11",0872,5,3,8,59,13.56%,5,5
"Judge, County Criminal Court No.11",0873,98,75,173,737,23.47%,55,55
"Judge, County Criminal Court No.11",0874,763,707,1470,3223,45.61%,1170,1170
"Judge, County Criminal Court No.11",0875,904,527,1431,5147,27.80%,800,800
"Judge, County Criminal Court No.11",0876,698,641,1339,3265,41.01%,1066,1066
"Judge, County Criminal Court No.11",0877,476,382,858,3032,28.30%,421,421
"Judge, County Criminal Court No.11",0878,427,354,781,1666,46.88%,669,669
"Judge, County Criminal Court No.11",0879,407,294,701,2667,26.28%,419,419
"Judge, County Criminal Court No.11",0880,543,447,990,2352,42.09%,827,827
"Judge, County Criminal Court No.11",0881,593,540,1133,4479,25.30%,486,486
"Judge, County Criminal Court No.11",0882,426,291,717,2422,29.60%,472,472
"Judge, County Criminal Court No.11",0883,643,702,1345,5408,24.87%,365,365
"Judge, County Criminal Court No.11",0884,57,25,82,377,21.75%,11,11
"Judge, County Criminal Court No.11",0885,562,368,930,2619,35.51%,602,602
"Judge, County Criminal Court No.11",0886,128,108,236,675,34.96%,148,148
"Judge, County Criminal Court No.11",0887,50,67,117,418,27.99%,66,66
"Judge, County Criminal Court No.11",0888,0,3,3,0,0.00%,3,3
"Judge, County Criminal Court No.11",0889,14,0,14,57,24.56%,7,7
"Judge, County Criminal Court No.11",0890,164,103,267,1095,24.38%,110,110
"Judge, County Criminal Court No.11",0891,317,243,560,1331,42.07%,253,253
"Judge, County Criminal Court No.11",0892,115,86,201,808,24.88%,95,95
"Judge, County Criminal Court No.11",0893,0,2,2,6,33.33%,0,0
"Judge, County Criminal Court No.11",0894,0,3,3,0,0.00%,2,2
"Judge, County Criminal Court No.11",0895,156,286,442,793,55.74%,216,216
"Judge, County Criminal Court No.11",0896,370,297,667,1459,45.72%,282,282
"Judge, County Criminal Court No.11",0897,252,297,549,1701,32.28%,355,355
"Judge, County Criminal Court No.11",0898,0,0,0,3,0.00%,0,0
"Judge, County Criminal Court No.11",0899,2,0,2,8,25.00%,0,0
"Judge, County Criminal Court No.11",0900,0,2,2,10,20.00%,2,2
"Judge, County Criminal Court No.11",0901,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0902,394,486,880,2139,41.14%,539,539
"Judge, County Criminal Court No.11",0903,3,7,10,50,20.00%,2,2
"Judge, County Criminal Court No.11",0904,1,0,1,7,14.29%,1,1
"Judge, County Criminal Court No.11",0905,123,100,223,904,24.67%,116,116
"Judge, County Criminal Court No.11",0906,8,6,14,25,56.00%,8,8
"Judge, County Criminal Court No.11",0907,12,19,31,181,17.13%,9,9
"Judge, County Criminal Court No.11",0908,0,1,1,0,0.00%,1,1
"Judge, County Criminal Court No.11",0909,2,1,3,18,16.67%,1,1
"Judge, County Criminal Court No.11",0910,25,24,49,217,22.58%,23,23
"Judge, County Criminal Court No.11",0911,118,60,178,551,32.30%,125,125
"Judge, County Criminal Court No.11",0912,316,201,517,1273,40.61%,365,365
"Judge, County Criminal Court No.11",0913,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0914,169,179,348,701,49.64%,289,289
"Judge, County Criminal Court No.11",0915,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0916,417,240,657,1491,44.06%,538,538
"Judge, County Criminal Court No.11",0917,177,62,239,483,49.48%,158,158
"Judge, County Criminal Court No.11",0918,304,168,472,883,53.45%,375,375
"Judge, County Criminal Court No.11",0919,0,0,0,3,0.00%,0,0
"Judge, County Criminal Court No.11",0920,22,12,34,71,47.89%,26,26
"Judge, County Criminal Court No.11",0921,32,15,47,119,39.50%,36,36
"Judge, County Criminal Court No.11",0922,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0923,470,137,607,1511,40.17%,481,481
"Judge, County Criminal Court No.11",0924,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0925,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0926,171,128,299,796,37.56%,239,239
"Judge, County Criminal Court No.11",0927,44,30,74,270,27.41%,35,35
"Judge, County Criminal Court No.11",0928,3,0,3,8,37.50%,0,0
"Judge, County Criminal Court No.11",0929,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0930,109,54,163,584,27.91%,10,10
"Judge, County Criminal Court No.11",0931,30,40,70,130,53.85%,42,42
"Judge, County Criminal Court No.11",0932,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0933,115,85,200,627,31.90%,76,76
"Judge, County Criminal Court No.11",0934,2,0,2,63,3.17%,1,1
"Judge, County Criminal Court No.11",0935,3,2,5,54,9.26%,1,1
"Judge, County Criminal Court No.11",0936,8,2,10,81,12.35%,5,5
"Judge, County Criminal Court No.11",0937,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0938,30,14,44,231,19.05%,17,17
"Judge, County Criminal Court No.11",0939,0,0,0,2,0.00%,0,0
"Judge, County Criminal Court No.11",0940,0,0,0,10,0.00%,0,0
"Judge, County Criminal Court No.11",0941,9,10,19,25,76.00%,18,18
"Judge, County Criminal Court No.11",0942,53,27,80,156,51.28%,68,68
"Judge, County Criminal Court No.11",0943,164,80,244,547,44.61%,168,168
"Judge, County Criminal Court No.11",0944,20,4,24,45,53.33%,18,18
"Judge, County Criminal Court No.11",0945,1,2,3,17,17.65%,2,2
"Judge, County Criminal Court No.11",0946,0,1,1,13,7.69%,0,0
"Judge, County Criminal Court No.11",0947,177,246,423,799,52.94%,237,237
"Judge, County Criminal Court No.11",0948,0,14,14,1,1400.00%,9,9
"Judge, County Criminal Court No.11",0949,34,27,61,193,31.61%,38,38
"Judge, County Criminal Court No.11",0950,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No.11",0951,33,30,63,277,22.74%,20,20
"Judge, County Criminal Court No.11",0952,16,15,31,71,43.66%,21,21
"Judge, County Criminal Court No.11",0953,18,9,27,275,9.82%,6,6
"Judge, County Criminal Court No.11",0954,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No.11",0955,3,2,5,19,26.32%,4,4
"Judge, County Criminal Court No.11",0956,2,4,6,11,54.55%,4,4
"Judge, County Criminal Court No.11",0957,97,95,192,562,34.16%,43,43
"Judge, County Criminal Court No.11",0958,81,129,210,1081,19.43%,68,68
"Judge, County Criminal Court No.11",0959,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0960,196,157,353,976,36.17%,107,107
"Judge, County Criminal Court No.11",0961,16,0,16,56,28.57%,2,2
"Judge, County Criminal Court No.11",0962,10,17,27,88,30.68%,7,7
"Judge, County Criminal Court No.11",0963,64,41,105,426,24.65%,63,63
"Judge, County Criminal Court No.11",0964,568,437,1005,2372,42.37%,661,661
"Judge, County Criminal Court No.11",0965,31,21,52,343,15.16%,35,35
"Judge, County Criminal Court No.11",0966,129,83,212,1148,18.47%,89,89
"Judge, County Criminal Court No.11",0967,15,48,63,165,38.18%,24,24
"Judge, County Criminal Court No.11",0968,119,30,149,692,21.53%,42,42
"Judge, County Criminal Court No.11",0969,156,73,229,604,37.91%,15,15
"Judge, County Criminal Court No.11",0970,83,36,119,731,16.28%,23,23
"Judge, County Criminal Court No.11",0971,11,8,19,147,12.93%,3,3
"Judge, County Criminal Court No.11",0972,6,8,14,31,45.16%,13,13
"Judge, County Criminal Court No.11",0973,24,19,43,111,38.74%,22,22
"Judge, County Criminal Court No.11",0974,57,36,93,299,31.10%,65,65
"Judge, County Criminal Court No.11",0975,55,30,85,193,44.04%,43,43
"Judge, County Criminal Court No.11",0976,68,62,130,683,19.03%,95,95
"Judge, County Criminal Court No.11",0977,50,43,93,572,16.26%,47,47
"Judge, County Criminal Court No.11",0978,77,79,156,546,28.57%,44,44
"Judge, County Criminal Court No.11",0979,2,6,8,27,29.63%,4,4
"Judge, County Criminal Court No.11",0980,280,321,601,1389,43.27%,471,471
"Judge, County Criminal Court No.11",0981,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0982,312,312,624,1567,39.82%,525,525
"Judge, County Criminal Court No.11",0983,11,21,32,161,19.88%,21,21
"Judge, County Criminal Court No.11",0984,18,9,27,192,14.06%,6,6
"Judge, County Criminal Court No.11",0985,117,63,180,351,51.28%,110,110
"Judge, County Criminal Court No.11",0986,43,30,73,463,15.77%,16,16
"Judge, County Criminal Court No.11",0987,231,90,321,1155,27.79%,49,49
"Judge, County Criminal Court No.11",0988,24,12,36,123,29.27%,33,33
"Judge, County Criminal Court No.11",0989,6,6,12,43,27.91%,7,7
"Judge, County Criminal Court No.11",0990,16,1,17,140,12.14%,10,10
"Judge, County Criminal Court No.11",0991,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No.11",0992,157,107,264,1048,25.19%,159,159
"Judge, County Criminal Court No.11",0993,169,101,270,568,47.54%,222,222
"Judge, County Criminal Court No.11",0994,6,5,11,25,44.00%,2,2
"Judge, County Criminal Court No.11",0995,295,156,451,1393,32.38%,58,58
"Judge, County Criminal Court No.11",0996,135,140,275,694,39.63%,172,172
"Judge, County Criminal Court No.11",0997,101,163,264,1656,15.94%,93,93
"Judge, County Criminal Court No.11",0998,5,1,6,57,10.53%,3,3
"Judge, County Criminal Court No.11",0999,17,10,27,68,39.71%,21,21
"Judge, County Criminal Court No.11",1000,42,6,48,405,11.85%,16,16
"Judge, County Criminal Court No.11",1001,228,136,364,1565,23.26%,120,120
"Judge, County Criminal Court No.11",1002,170,139,309,1744,17.72%,81,81
"Judge, County Criminal Court No.11",1003,1,0,1,0,0.00%,1,1
"Judge, County Criminal Court No.11",1004,111,139,250,654,38.23%,131,131
"Judge, County Criminal Court No.11",1005,0,8,8,0,0.00%,4,4
"Judge, County Criminal Court No.11",1006,1,0,1,5,20.00%,1,1
"Judge, County Criminal Court No.11",1007,208,188,396,1547,25.60%,125,125
"Judge, County Criminal Court No.11",1008,32,12,44,151,29.14%,36,36
"Judge, County Criminal Court No.11",1009,0,0,0,9,0.00%,0,0
"Judge, County Criminal Court No.11",1010,59,35,94,459,20.48%,24,24
"Judge, County Criminal Court No.11",1011,8,1,9,26,34.62%,6,6
"Judge, County Criminal Court No.11",1012,134,201,335,1365,24.54%,120,120
"Judge, County Criminal Court No.11",1013,0,6,6,58,10.34%,4,4
"Judge, County Criminal Court No.11",1014,4,6,10,31,32.26%,1,1
"Judge, County Criminal Court No.11",1015,5,4,9,25,36.00%,3,3
"Judge, County Criminal Court No.11",1016,252,212,464,1691,27.44%,263,263
"Judge, County Criminal Court No.11",1017,51,44,105,330,31.82%,38,38
"Judge, County Criminal Court No.11",1018,93,64,157,494,31.78%,82,82
"Judge, County Criminal Court No.11",1019,130,107,237,1456,16.28%,26,26
"Judge, County Criminal Court No.11",1020,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No.11",1021,0,0,0,2,0.00%,0,0
"Judge, County Criminal Court No.11",1022,97,79,176,441,39.91%,140,140
"Judge, County Criminal Court No.11",1023,430,315,745,2026,36.77%,562,562
"Judge, County Criminal Court No.11",1024,55,61,116,249,46.59%,66,66
"Judge, County Criminal Court No.11",1025,0,1,1,14,7.14%,1,1
"Judge, County Criminal Court No.11",1026,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1027,1,0,1,8,12.50%,1,1
"Judge, County Criminal Court No.11",1028,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1029,537,719,1256,2927,42.91%,1041,1041
"Judge, County Criminal Court No.11",1030,231,151,382,785,48.66%,336,336
"Judge, County Criminal Court No.11",1031,59,71,130,792,16.41%,43,43
"Judge, County Criminal Court No.11",1032,31,25,56,244,22.95%,39,39
"Judge, County Criminal Court No.11",1033,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1034,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1035,2,4,6,138,4.35%,2,2
"Judge, County Criminal Court No.11",1036,65,24,89,449,19.82%,76,76
"Judge, County Criminal Court No.11",1037,19,11,30,76,39.47%,18,18
"Judge, County Criminal Court No.11",1038,62,6,68,327,20.80%,12,12
"Judge, County Criminal Court No.11",1039,2,0,2,25,8.00%,0,0
"Judge, County Criminal Court No.11",1040,91,66,157,771,20.36%,86,86
"Judge, County Criminal Court No.11",1041,0,2,2,0,0.00%,1,1
"Judge, County Criminal Court No.11",1042,105,67,172,521,33.01%,64,64
"Judge, County Criminal Court No.11",1043,5,6,12,33,36.36%,4,4
"Judge, County Criminal Court No.11",1044,16,6,22,55,40.00%,11,11
"Judge, County Criminal Court No.11",1045,197,173,370,1788,20.69%,69,69
"Judge, County Criminal Court No.11",1046,11,5,16,62,25.81%,1,1
"Judge, County Criminal Court No.11",1047,255,186,441,1568,28.13%,203,203
"Judge, County Criminal Court No.11",1048,1,0,1,17,5.88%,1,1
"Judge, County Criminal Court No.11",1049,14,45,59,290,20.34%,25,25
"Judge, County Criminal Court No.11",1050,60,63,123,537,22.91%,44,44
"Judge, County Criminal Court No.11",1051,0,31,31,0,0.00%,22,22
"Judge, County Criminal Court No.11",1052,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1053,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1054,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No.11",1055,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1056,4,2,6,8,75.00%,2,2
"Judge, County Criminal Court No.11",1057,7,9,16,118,13.56%,4,4
"Judge, County Criminal Court No.11",1058,241,285,526,1243,42.32%,141,141
"Judge, County Criminal Court No.11",1059,3,3,6,28,21.43%,2,2
"Judge, County Criminal Court No.11",1060,5,2,7,42,16.67%,5,5
"Judge, County Criminal Court No.11",1061,332,184,516,1716,30.07%,312,312
"Judge, County Criminal Court No.11",1062,17,6,23,201,11.44%,7,7
"Judge, County Criminal Court No.11",1063,66,59,125,857,14.59%,30,30
"Judge, County Criminal Court No.11",1064,25,11,36,119,30.25%,29,29
"Judge, County Criminal Court No.11",1065,1,0,1,28,3.57%,0,0
"Judge, County Criminal Court No.11",1066,72,0,72,229,31.44%,6,6
"Judge, County Criminal Court No.11",1067,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",1068,22,8,30,121,24.79%,16,16
"Judge, County Criminal Court No.11",1069,434,256,690,2580,26.74%,355,355
"Judge, County Criminal Court No.11",Totals:,378846,308736,687582,2044361,,393018,393018
