Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0321,262,191,453,2346,19.31%,167,261,428
"Judge, County Criminal Court No. 5",0322,181,129,310,1226,25.29%,104,193,297
"Judge, County Criminal Court No. 5",0323,278,211,489,1722,28.40%,238,218,456
"Judge, County Criminal Court No. 5",0324,532,646,1178,2336,50.43%,734,343,1077
"Judge, County Criminal Court No. 5",0325,289,193,482,2112,22.82%,108,350,458
"Judge, County Criminal Court No. 5",0326,87,74,161,698,23.07%,78,74,152
"Judge, County Criminal Court No. 5",0327,380,129,509,1729,29.44%,7,487,494
"Judge, County Criminal Court No. 5",0328,151,140,291,1434,20.29%,128,148,276
"Judge, County Criminal Court No. 5",0329,189,184,373,1397,26.70%,152,201,353
"Judge, County Criminal Court No. 5",0330,334,253,587,1936,30.32%,340,215,555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0332,18,7,25,138,18.12%,11,10,21
"Judge, County Criminal Court No. 5",0333,524,714,1238,3021,40.98%,870,300,1170
"Judge, County Criminal Court No. 5",0334,83,42,125,742,16.85%,21,100,121
"Judge, County Criminal Court No. 5",0335,121,98,219,1300,16.85%,88,117,205
"Judge, County Criminal Court No. 5",0336,866,624,1490,4051,36.78%,127,1327,1454
"Judge, County Criminal Court No. 5",0337,124,103,227,1029,22.06%,43,171,214
"Judge, County Criminal Court No. 5",0338,730,391,1121,4934,22.72%,392,651,1043
"Judge, County Criminal Court No. 5",0339,202,222,424,1757,24.13%,90,303,393
"Judge, County Criminal Court No. 5",0340,1038,594,1632,3765,43.35%,1239,307,1546
"Judge, County Criminal Court No. 5",0341,91,167,258,1290,20.00%,86,163,249
"Judge, County Criminal Court No. 5",0342,675,605,1280,6526,19.61%,220,1030,1250
"Judge, County Criminal Court No. 5",0343,189,271,460,1964,23.42%,137,293,430
"Judge, County Criminal Court No. 5",0344,154,172,326,1160,28.10%,15,297,312
"Judge, County Criminal Court No. 5",0345,156,165,321,1804,17.79%,100,202,302
"Judge, County Criminal Court No. 5",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Criminal Court No. 5",0347,592,436,1028,3387,30.35%,700,291,991
"Judge, County Criminal Court No. 5",0348,438,208,646,1708,37.82%,497,116,613
"Judge, County Criminal Court No. 5",0349,188,267,455,1349,33.73%,282,148,430
"Judge, County Criminal Court No. 5",0350,524,526,1050,2909,36.09%,442,514,956
"Judge, County Criminal Court No. 5",0351,1491,710,2201,4712,46.71%,1757,356,2113
"Judge, County Criminal Court No. 5",0352,520,339,859,3205,26.80%,638,188,826
"Judge, County Criminal Court No. 5",0353,665,451,1116,3862,28.90%,208,877,1085
"Judge, County Criminal Court No. 5",0354,715,338,1053,3388,31.08%,268,754,1022
"Judge, County Criminal Court No. 5",0355,301,264,565,1560,36.22%,51,496,547
"Judge, County Criminal Court No. 5",0356,594,538,1132,2972,38.09%,753,325,1078
"Judge, County Criminal Court No. 5",0357,837,575,1412,3517,40.15%,1046,311,1357
"Judge, County Criminal Court No. 5",0358,212,254,466,2492,18.70%,54,397,451
"Judge, County Criminal Court No. 5",0359,234,224,458,3061,14.96%,65,380,445
"Judge, County Criminal Court No. 5",0360,522,380,902,2146,42.03%,483,339,822
"Judge, County Criminal Court No. 5",0361,41,295,336,1673,20.08%,51,241,292
"Judge, County Criminal Court No. 5",0362,1138,887,2025,5086,39.82%,1511,408,1919
"Judge, County Criminal Court No. 5",0363,620,412,1032,3677,28.07%,469,531,1000
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0364,488,405,893,2658,33.60%,520,329,849
"Judge, County Criminal Court No. 5",0365,478,231,709,1305,54.33%,54,638,692
"Judge, County Criminal Court No. 5",0366,252,270,522,2454,21.27%,140,369,509
"Judge, County Criminal Court No. 5",0367,170,138,308,1130,27.26%,70,231,301
"Judge, County Criminal Court No. 5",0368,178,88,266,958,27.77%,70,185,255
"Judge, County Criminal Court No. 5",0369,32,29,61,559,10.91%,18,41,59
"Judge, County Criminal Court No. 5",0370,1532,1105,2637,6593,40.00%,2009,536,2545
"Judge, County Criminal Court No. 5",0371,122,52,174,502,34.66%,6,162,168
"Judge, County Criminal Court No. 5",0372,221,170,391,1224,31.94%,51,325,376
"Judge, County Criminal Court No. 5",0373,21,12,33,157,21.02%,2,29,31
"Judge, County Criminal Court No. 5",0374,65,93,158,738,21.41%,57,96,153
"Judge, County Criminal Court No. 5",0375,254,220,474,2645,17.92%,246,191,437
"Judge, County Criminal Court No. 5",0376,278,205,483,1910,25.29%,219,240,459
"Judge, County Criminal Court No. 5",0377,525,583,1109,2920,37.98%,813,235,1048
"Judge, County Criminal Court No. 5",0378,232,354,586,1829,32.04%,365,191,556
"Judge, County Criminal Court No. 5",0379,431,289,720,2027,35.52%,68,631,699
"Judge, County Criminal Court No. 5",0380,1299,995,2294,5666,40.49%,1261,957,2218
"Judge, County Criminal Court No. 5",0381,412,248,660,2855,23.12%,314,315,629
"Judge, County Criminal Court No. 5",0382,132,157,289,922,31.34%,216,64,280
"Judge, County Criminal Court No. 5",0383,289,263,552,2173,25.40%,234,298,532
"Judge, County Criminal Court No. 5",0384,573,373,946,2657,35.60%,190,717,907
"Judge, County Criminal Court No. 5",0385,583,670,1253,2207,56.77%,984,188,1172
"Judge, County Criminal Court No. 5",0386,662,469,1131,2922,38.71%,830,255,1085
"Judge, County Criminal Court No. 5",0387,555,672,1227,3935,31.18%,896,290,1186
"Judge, County Criminal Court No. 5",0388,1430,1010,2440,6888,35.42%,1413,950,2363
"Judge, County Criminal Court No. 5",0389,91,208,299,1026,29.14%,41,234,275
"Judge, County Criminal Court No. 5",0390,356,263,619,1480,41.82%,78,519,597
"Judge, County Criminal Court No. 5",0391,508,260,768,1883,40.79%,496,233,729
"Judge, County Criminal Court No. 5",0392,387,155,542,1446,37.48%,6,527,533
"Judge, County Criminal Court No. 5",0393,165,185,350,1292,27.09%,168,169,337
"Judge, County Criminal Court No. 5",0394,69,73,142,834,17.03%,71,64,135
"Judge, County Criminal Court No. 5",0395,469,404,873,1846,47.29%,641,180,821
"Judge, County Criminal Court No. 5",0396,622,216,838,2082,40.25%,19,800,819
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0397,86,78,164,760,21,58%,80,79,159
"Judge, County Criminal Court No. 5",0398,615,521,1136,4022,28.24%,616,486,1102
"Judge, County Criminal Court No. 5",0399,402,366,768,2791,27.52%,430,311,741
"Judge, County Criminal Court No. 5",0400,620,359,979,2411,40.61%,726,203,929
"Judge, County Criminal Court No. 5",0401,330,205,535,1913,27.97%,19,502,521
"Judge, County Criminal Court No. 5",0402,466,266,732,1794,40.80%,36,677,713
"Judge, County Criminal Court No. 5",0403,475,498,973,1715,56.73%,552,325,877
"Judge, County Criminal Court No. 5",0404,419,330,749,2585,28.97%,438,280,718
"Judge, County Criminal Court No. 5",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0406,137,67,204,628,32.48%,3,197,200
"Judge, County Criminal Court No. 5",0407,688,793,1481,3769,39.29%,1009,382,1391
"Judge, County Criminal Court No. 5",0408,146,153,299,1691,17.68%,145,136,281
"Judge, County Criminal Court No. 5",0409,122,149,271,1459,18.57%,118,145,263
"Judge, County Criminal Court No. 5",0410,132,80,212,899,23.58%,44,156,200
"Judge, County Criminal Court No. 5",0411,235,200,435,2339,18.60%,163,251,414
"Judge, County Criminal Court No. 5",0412,74,44,118,468,25.21%,5,106,111
"Judge, County Criminal Court No. 5",0413,767,386,1153,2992,38.54%,466,637,1103
"Judge, County Criminal Court No. 5",0414,654,480,1134,3453,32.84%,891,197,1088
"Judge, County Criminal Court No. 5",0415,539,598,1137,2203,51.61%,774,303,1077
"Judge, County Criminal Court No. 5",0416,538,558,1096,3791,28.91%,623,430,1053
"Judge, County Criminal Court No. 5",0417,353,385,738,2448,30.15%,372,329,701
"Judge, County Criminal Court No. 5",0418,403,469,872,3584,24.33%,367,462,829
"Judge, County Criminal Court No. 5",0419,571,324,895,2658,33.67%,599,253,852
"Judge, County Criminal Court No. 5",0420,1036,874,1910,4762,40.11%,1570,254,1824
"Judge, County Criminal Court No. 5",0421,36,37,73,410,17.80%,26,43,69
"Judge, County Criminal Court No. 5",0422,731,402,1133,3345,33.87%,30,1082,1112
"Judge, County Criminal Court No. 5",0423,108,120,228,1376,16.57%,76,140,216
"Judge, County Criminal Court No. 5",0424,240,111,351,967,36.30%,215,117,332
"Judge, County Criminal Court No. 5",0425,107,123,230,883,26.05%,89,130,219
"Judge, County Criminal Court No. 5",0426,260,183,443,1218,36.37%,267,152,419
"Judge, County Criminal Court No. 5",0427,179,134,313,1092,28.66%,140,146,286
"Judge, County Criminal Court No. 5",0428,619,421,1040,4538,22.92%,336,620,956
"Judge, County Criminal Court No. 5",0429,445,314,759,3197,23.74%,211,504,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0430,161,133,294,1657,17.74%,90,190,280
"Judge, County Criminal Court No. 5",0431,327,84,411,3417,12.03%,157,235,392
"Judge, County Criminal Court No. 5",0432,123,157,280,1455,19.24%,107,163,270
"Judge, County Criminal Court No. 5",0433,50,63,113,581,19.45%,27,80,107
"Judge, County Criminal Court No. 5",0434,370,289,659,1503,43.85%,427,192,619
"Judge, County Criminal Court No. 5",0435,855,636,1491,3252,45.85%,1006,395,1401
"Judge, County Criminal Court No. 5",0436,629,531,1160,2933,39.55%,745,339,1084
"Judge, County Criminal Court No. 5",0437,521,512,1033,2033,50.81%,740,227,967
"Judge, County Criminal Court No. 5",0438,517,389,1006,1861,54.06%,777,167,944
"Judge, County Criminal Court No. 5",0439,710,884,1594,3554,44.85%,1169,322,1491
"Judge, County Criminal Court No. 5",0440,664,858,1522,2930,51.95%,1227,195,1422
"Judge, County Criminal Court No. 5",0441,345,420,765,1669,45.84%,588,129,717
"Judge, County Criminal Court No. 5",0442,612,574,1186,2575,46.06%,991,148,1139
"Judge, County Criminal Court No. 5",0443,226,138,364,646,56.35%,257,78,335
"Judge, County Criminal Court No. 5",0444,587,583,1270,3262,38.93%,829,364,1193
"Judge, County Criminal Court No. 5",0445,499,348,847,2026,41.81%,586,222,808
"Judge, County Criminal Court No. 5",0446,31,22,53,291,18.21%,27,23,50
"Judge, County Criminal Court No. 5",0447,93,86,179,637,28.10%,53,115,168
"Judge, County Criminal Court No. 5",0448,590,778,1368,3138,43.59%,779,491,1270
"Judge, County Criminal Court No. 5",0449,12,23,35,198,17.68%,3,32,35
"Judge, County Criminal Court No. 5",0450,435,328,763,2635,28.96%,244,486,730
"Judge, County Criminal Court No. 5",0451,1002,510,1512,2687,56.27%,1246,181,1427
"Judge, County Criminal Court No. 5",0452,554,444,998,3048,32.74%,747,218,965
"Judge, County Criminal Court No. 5",0453,231,262,493,1937,25.45%,202,268,470
"Judge, County Criminal Court No. 5",0454,594,248,842,2561,32.88%,13,808,821
"Judge, County Criminal Court No. 5",0455,367,165,532,1689,31.50%,23,504,527
"Judge, County Criminal Court No. 5",0456,482,362,844,3513,24.03%,499,319,818
"Judge, County Criminal Court No. 5",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0458,471,237,708,1924,36.80%,33,652,685
"Judge, County Criminal Court No. 5",0459,951,474,1425,3021,47.17%,1135,233,1368
"Judge, County Criminal Court No. 5",0460,554,331,885,2837,31.19%,233,628,861
"Judge, County Criminal Court No. 5",0461,1155,735,1900,3871,49.08%,1339,431,1770
"Judge, County Criminal Court No. 5",0462,674,619,1293,3384,38.21%,488,741,1229
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0463,480,404,884,3326,26.58%,406,448,854
"Judge, County Criminal Court No. 5",0464,356,430,786,2257,34.82%,570,184,754
"Judge, County Criminal Court No. 5",0465,687,520,1207,3564,33.87%,697,468,1165
"Judge, County Criminal Court No. 5",0466,1058,614,1672,4184,39.96%,987,623,1610
"Judge, County Criminal Court No. 5",0467,213,189,402,1270,31.65%,100,292,392
"Judge, County Criminal Court No. 5",0468,352,443,795,3598,22.10%,261,503,764
"Judge, County Criminal Court No. 5",0469,1294,547,1841,3985,46.20%,1472,279,1751
"Judge, County Criminal Court No. 5",0470,185,176,361,1326,27.22%,271,70,341
"Judge, County Criminal Court No. 5",0471,375,380,755,2387,31.63%,611,119,730
"Judge, County Criminal Court No. 5",0472,198,278,476,1081,44.03%,212,219,431
"Judge, County Criminal Court No. 5",0473,599,391,990,1806,54.82%,702,233,935
"Judge, County Criminal Court No. 5",0474,559,588,1147,3037,37.77%,808,295,1103
"Judge, County Criminal Court No. 5",0475,189,267,456,1809,25.21%,226,207,433
"Judge, County Criminal Court No. 5",0476,404,473,877,2430,36.09%,495,344,839
"Judge, County Criminal Court No. 5",0477,737,567,1304,3505,37.20%,993,257,1250
"Judge, County Criminal Court No. 5",0478,958,657,1615,4461,36.20%,1106,428,1534
"Judge, County Criminal Court No. 5",0479,638,612,1250,2714,46.06%,940,257,1197
"Judge, County Criminal Court No. 5",0480,493,450,943,2415,39.05%,689,211,900
"Judge, County Criminal Court No. 5",0481,770,623,1393,3482,40.01%,1073,255,1328
"Judge, County Criminal Court No. 5",0482,878,630,1508,4373,34.48%,1108,352,1460
"Judge, County Criminal Court No. 5",0483,1042,478,1520,4308,35.28%,900,555,1455
"Judge, County Criminal Court No. 5",0484,1107,930,2037,4979,40.91%,1487,477,1964
"Judge, County Criminal Court No. 5",0485,1095,911,2006,5388,37.23%,1571,375,1946
"Judge, County Criminal Court No. 5",0486,873,855,1728,3866,44.70%,1364,284,1648
"Judge, County Criminal Court No. 5",0487,570,294,864,3860,22.38%,319,475,794
"Judge, County Criminal Court No. 5",0488,268,254,522,1719,30.37%,199,280,479
"Judge, County Criminal Court No. 5",0489,350,290,640,1893,33.81%,217,389,606
"Judge, County Criminal Court No. 5",0490,444,368,812,1975,41.11%,308,466,774
"Judge, County Criminal Court No. 5",0491,314,372,686,1888,36.33%,418,226,644
"Judge, County Criminal Court No. 5",0492,556,410,966,2335,41.37%,600,314,914
"Judge, County Criminal Court No. 5",0493,479,322,801,1853,43.23%,549,199,748
"Judge, County Criminal Court No. 5",0494,381,247,628,2467,25.46%,80,534,614
"Judge, County Criminal Court No. 5",0495,522,523,1045,2375,44.00%,764,214,978
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0496,190,315,505,2160,23.38%,199,287,486
"Judge, County Criminal Court No. 5",0497,526,243,769,2257,34.07%,26,719,745
"Judge, County Criminal Court No. 5",0498,363,323,686,2297,29.87%,316,352,668
"Judge, County Criminal Court No. 5",0499,750,518,1268,2326,54.51%,948,242,1190
"Judge, County Criminal Court No. 5",0500,729,715,1444,3507,41.17%,1010,375,1385
"Judge, County Criminal Court No. 5",0501,341,417,758,1801,42.09%,287,412,699
"Judge, County Criminal Court No. 5",0502,477,350,827,2501,33.07%,676,119,795
"Judge, County Criminal Court No. 5",0503,174,116,290,1374,21.11%,113,157,270
"Judge, County Criminal Court No. 5",0504,624,527,1151,2288,50.31%,770,312,1082
"Judge, County Criminal Court No. 5",0505,531,562,1193,3773,31.62%,562,547,1109
"Judge, County Criminal Court No. 5",0506,665,670,1335,3502,38.12%,246,1038,1284
"Judge, County Criminal Court No. 5",0507,221,149,370,2452,15.09%,77,226,303
"Judge, County Criminal Court No. 5",0508,492,412,904,3287,27.50%,351,483,834
"Judge, County Criminal Court No. 5",0509,753,596,1349,3732,36.15%,958,323,1281
"Judge, County Criminal Court No. 5",0510,687,514,1201,3590,33.45%,620,526,1146
"Judge, County Criminal Court No. 5",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0512,602,660,1262,5057,24.96%,621,606,1227
"Judge, County Criminal Court No. 5",0513,1019,487,1506,2894,52.04%,1166,259,1425
"Judge, County Criminal Court No. 5",0514,953,720,1673,4275,39.13%,1286,315,1601
"Judge, County Criminal Court No. 5",0515,942,683,1625,3455,47.03%,1325,223,1548
"Judge, County Criminal Court No. 5",0516,1000,800,1800,5356,33.61%,966,746,1712
"Judge, County Criminal Court No. 5",0517,481,256,737,2954,24.95%,428,283,711
"Judge, County Criminal Court No. 5",0518,635,693,1328,3943,33.68%,883,387,1270
"Judge, County Criminal Court No. 5",0519,623,493,1116,2966,37.63%,839,233,1072
"Judge, County Criminal Court No. 5",0520,473,457,930,4580,20.31%,176,735,911
"Judge, County Criminal Court No. 5",0521,471,464,935,2866,32.62%,501,396,897
"Judge, County Criminal Court No. 5",0522,715,572,1,288,2689,47.90%,1009,224,1233
"Judge, County Criminal Court No. 5",0523,751,415,1166,3052,38.20%,800,311,1111
"Judge, County Criminal Court No. 5",0524,567,459,1026,3410,30.09%,364,625,989
"Judge, County Criminal Court No. 5",0525,707,482,1189,3091,38.47%,277,854,1131
"Judge, County Criminal Court No. 5",0526,68,84,152,780,19.49%,43,98,141
"Judge, County Criminal Court No. 5",0527,37,40,77,574,13.41%,41,33,74
"Judge, County Criminal Court No. 5",0528,14,12,26,90,28.89%,3,22,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0529,1043,491,1534,3710,41.35%,1325,149,1474
"Judge, County Criminal Court No. 5",0530,114,107,221,1196,18.48%,56,150,206
"Judge, County Criminal Court No. 5",0531,363,174,537,1145,46.90%,420,93,513
"Judge, County Criminal Court No. 5",0532,205,146,351,1048,33.49%,257,82,339
"Judge, County Criminal Court No. 5",0533,124,108,232,1119,20.73%,134,84,218
"Judge, County Criminal Court No. 5",0534,783,524,1,307,3837,34.06%,1006,239,1245
"Judge, County Criminal Court No. 5",0535,33,29,62,416,14.90%,30,30,60
"Judge, County Criminal Court No. 5",0536,554,780,1334,5139,25.96%,535,752,1287
"Judge, County Criminal Court No. 5",0537,855,778,1633,3050,53.54%,1201,352,1553
"Judge, County Criminal Court No. 5",0538,204,160,364,1303,27.94%,6,351,357
"Judge, County Criminal Court No. 5",0539,15,241,256,64,400.00%,75,162,237
"Judge, County Criminal Court No. 5",0540,378,316,694,1567,44.29%,297,336,633
"Judge, County Criminal Court No. 5",0541,784,505,1289,4599,28.03%,185,1045,1230
"Judge, County Criminal Court No. 5",0542,360,382,742,2557,29.02%,47,670,717
"Judge, County Criminal Court No. 5",0543,141,213,354,1565,22.62%,114,217,331
"Judge, County Criminal Court No. 5",0544,35,41,77,310,24.84%,11,65,76
"Judge, County Criminal Court No. 5",0545,596,620,1216,3629,33.51%,628,539,1167
"Judge, County Criminal Court No. 5",0546,2,2,4,37,10.81%,2,1,3
"Judge, County Criminal Court No. 5",0547,501,466,967,2406,40.19%,691,235,926
"Judge, County Criminal Court No. 5",0548,286,293,579,2215,26.14%,310,251,561
"Judge, County Criminal Court No. 5",0549,343,418,761,2663,28.58%,113,633,746
"Judge, County Criminal Court No. 5",0550,501,431,932,3031,30.75%,544,352,896
"Judge, County Criminal Court No. 5",0551,1288,1394,2682,7034,38.13%,2059,541,2600
"Judge, County Criminal Court No. 5",0552,847,883,1730,3415,50.66%,1462,210,1672
"Judge, County Criminal Court No. 5",0553,578,529,1107,4686,23.62%,513,556,1069
"Judge, County Criminal Court No. 5",0554,261,199,460,1757,26.18%,108,318,426
"Judge, County Criminal Court No. 5",0555,225,277,502,2219,22.62%,109,372,481
"Judge, County Criminal Court No. 5",0556,276,186,462,2319,19.92%,140,302,442
"Judge, County Criminal Court No. 5",0557,455,183,638,2830,22.54%,269,288,557
"Judge, County Criminal Court No. 5",0558,693,463,1156,4380,26.39%,421,690,1111
"Judge, County Criminal Court No. 5",0559,640,494,1134,4969,22.82%,349,744,1093
"Judge, County Criminal Court No. 5",0560,72,131,203,1120,18.13%,58,129,187
"Judge, County Criminal Court No. 5",0561,362,436,798,3064,26.04%,488,272,760
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0562,113,68,181,694,26.08%,25,152,177
"Judge, County Criminal Court No. 5",0563,1107,376,1483,3105,47.76%,1177,237,1414
"Judge, County Criminal Court No. 5",0564,470,426,896,3155,28.40%,239,612,851
"Judge, County Criminal Court No. 5",0565,108,78,186,1354,13.74%,45,126,171
"Judge, County Criminal Court No. 5",0566,417,324,741,2882,25.71%,240,478,718
"Judge, County Criminal Court No. 5",0567,301,193,494,2238,22.07%,172,284,456
"Judge, County Criminal Court No. 5",0568,876,685,1561,3594,43.43%,1043,418,1461
"Judge, County Criminal Court No. 5",0569,572,667,1239,3525,35.15%,678,480,1158
"Judge, County Criminal Court No. 5",0570,238,210,448,1562,28.68%,159,256,415
"Judge, County Criminal Court No. 5",0571,155,149,304,1827,16.64%,125,168,293
"Judge, County Criminal Court No. 5",0572,555,375,930,3108,29.92%,494,391,885
"Judge, County Criminal Court No. 5",0573,290,151,441,1619,27.24%,9,429,438
"Judge, County Criminal Court No. 5",0574,31,42,73,402,18.16%,9,63,72
"Judge, County Criminal Court No. 5",0575,13,11,24,74,32.43%,20,3,23
"Judge, County Criminal Court No. 5",0576,485,318,803,2734,29.37%,24,762,786
"Judge, County Criminal Court No. 5",0577,147,88,235,608,38.65%,144,81,225
"Judge, County Criminal Court No. 5",0578,409,538,947,1799,52.64%,596,299,895
"Judge, County Criminal Court No. 5",0579,75,101,176,1056,16.67%,36,131,167
"Judge, County Criminal Court No. 5",0580,179,118,297,1031,28.81%,4,284,288
"Judge, County Criminal Court No. 5",0581,212,174,386,1032,37.40%,7,367,374
"Judge, County Criminal Court No. 5",0582,258,171,429,1588,27.02%,23,396,419
"Judge, County Criminal Court No. 5",0583,225,131,356,1262,28.21%,12,334,346
"Judge, County Criminal Court No. 5",0584,182,93,275,1014,27.12%,11,259,270
"Judge, County Criminal Court No. 5",0585,417,172,589,2511,23.46%,15,562,577
"Judge, County Criminal Court No. 5",0586,638,680,1318,4316,30.54%,803,464,1267
"Judge, County Criminal Court No. 5",0587,436,284,720,2598,27.71%,291,408,699
"Judge, County Criminal Court No. 5",0588,758,674,1432,3645,39.29%,1032,349,1381
"Judge, County Criminal Court No. 5",0589,500,386,886,3420,25.91%,494,363,857
"Judge, County Criminal Court No. 5",0590,772,399,1171,2162,54.16%,935,190,1125
"Judge, County Criminal Court No. 5",0591,183,231,414,2121,19.52%,128,269,397
"Judge, County Criminal Court No. 5",0592,133,157,290,1350,21.48%,82,194,276
"Judge, County Criminal Court No. 5",0593,543,564,1107,4380,25.27%,556,496,1052
"Judge, County Criminal Court No. 5",0594,561,326,887,2490,35.62%,260,596,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0595,201,178,379,1693,22.39%,69,300,369
"Judge, County Criminal Court No. 5",0596,441,348,789,3007,26.24%,445,315,760
"Judge, County Criminal Court No. 5",0597,367,394,761,3653,20.83%,336,414,750
"Judge, County Criminal Court No. 5",0598,195,57,252,728,34.62%,210,35,245
"Judge, County Criminal Court No. 5",0599,850,578,1428,4950,28.85%,521,859,1380
"Judge, County Criminal Court No. 5",0600,667,429,1096,3957,27.70%,451,594,1045
"Judge, County Criminal Court No. 5",0601,1073,756,1829,4057,45.08%,1400,359,1759
"Judge, County Criminal Court No. 5",0602,293,235,525,1326,39.82%,392,119,511
"Judge, County Criminal Court No. 5",0603,554,794,1678,4843,34.65%,1100,537,1637
"Judge, County Criminal Court No. 5",0604,702,518,1220,3005,40.60%,1016,159,1175
"Judge, County Criminal Court No. 5",0605,907,556,1463,5582,26.21%,371,1051,1422
"Judge, County Criminal Court No. 5",0606,176,70,246,937,26.25%,3,239,242
"Judge, County Criminal Court No. 5",0607,62,51,113,728,15.52%,13,94,107
"Judge, County Criminal Court No. 5",0608,31,47,78,537,14.53%,46,27,73
"Judge, County Criminal Court No. 5",0609,557,680,1347,3384,39.80%,856,415,1271
"Judge, County Criminal Court No. 5",0610,231,188,419,1927,21.74%,221,166,387
"Judge, County Criminal Court No. 5",0611,495,242,737,2488,29.62%,23,701,724
"Judge, County Criminal Court No. 5",0612,996,497,1493,3307,45.15%,1134,274,1408
"Judge, County Criminal Court No. 5",0613,186,204,390,1554,25.10%,65,313,378
"Judge, County Criminal Court No. 5",0614,737,566,1303,4207,30.97%,514,739,1253
"Judge, County Criminal Court No. 5",0615,450,299,779,1967,39.60%,504,251,755
"Judge, County Criminal Court No. 5",0616,739,663,1402,3436,40.80%,996,351,1347
"Judge, County Criminal Court No. 5",0617,541,393,934,3809,24.52%,393,517,910
"Judge, County Criminal Court No. 5",0618,946,567,1513,6003,25.20%,776,690,1466
"Judge, County Criminal Court No. 5",0619,1219,803,2022,4297,47.06%,1522,400,1922
"Judge, County Criminal Court No. 5",0620,689,264,953,2897,32.90%,615,291,906
"Judge, County Criminal Court No. 5",0621,154,101,255,1133,22.51%,138,103,241
"Judge, County Criminal Court No. 5",0622,881,524,1405,4403,31.91%,888,462,1350
"Judge, County Criminal Court No. 5",0623,887,487,1374,3691,37.23%,936,367,1303
"Judge, County Criminal Court No. 5",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Criminal Court No. 5",0625,477,362,839,1820,46.10%,495,290,785
"Judge, County Criminal Court No. 5",0626,551,440,1021,2861,35.69%,579,384,963
"Judge, County Criminal Court No. 5",0627,345,322,668,3049,21.91%,251,387,638
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0628,152,219,371,1675,22.15%,204,156,360
"Judge, County Criminal Court No. 5",0629,37,53,90,696,12.93%,15,74,89
"Judge, County Criminal Court No. 5",0630,974,600,1574,3905,40.31%,124,1409,1533
"Judge, County Criminal Court No. 5",0631,822,404,1226,2846,43.08%,913,265,1178
"Judge, County Criminal Court No. 5",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Criminal Court No. 5",0633,943,731,1674,3559,47.04%,1203,404,1607
"Judge, County Criminal Court No. 5",0634,458,442,900,3029,29.71%,600,268,868
"Judge, County Criminal Court No. 5",0635,743,485,1228,3393,36.19%,932,254,1186
"Judge, County Criminal Court No. 5",0636,835,874,1710,4140,41.30%,1483,170,1653
"Judge, County Criminal Court No. 5",0637,409,362,771,2512,30.69%,188,528,716
"Judge, County Criminal Court No. 5",0638,304,245,549,2204,24.91%,43,483,526
"Judge, County Criminal Court No. 5",0639,549,547,1096,2526,43.39%,884,165,1049
"Judge, County Criminal Court No. 5",0640,641,459,1100,3733,29.47%,708,355,1063
