Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0147,689,329,1018,3008,33.84%,125,853,14,992
"Judge, Court of Criminal Appeals, Place 3",0148,500,780,1280,2540,50.39%,502,645,55,1202
"Judge, Court of Criminal Appeals, Place 3",0149,1621,737,2358,7993,29.50%,1197,1041,67,2305
"Judge, Court of Criminal Appeals, Place 3",0150,236,169,405,1256,32.25%,11,386,3,400
"Judge, Court of Criminal Appeals, Place 3",0151,137,79,216,826,26.15%,9,197,3,209
"Judge, Court of Criminal Appeals, Place 3",0152,214,299,513,2788,18.40%,130,348,18,496
"Judge, Court of Criminal Appeals, Place 3",0153,125,206,331,1808,18.31%,105,200,11,316
"Judge, Court of Criminal Appeals, Place 3",0154,249,183,432,2190,19.73%,113,287,14,414
"Judge, Court of Criminal Appeals, Place 3",0155,1022,619,1641,4109,39.94%,1154,412,28,1594
"Judge, Court of Criminal Appeals, Place 3",0156,800,326,1126,3071,36.67%,37,1052,15,1104
"Judge, Court of Criminal Appeals, Place 3",0157,448,214,662,2236,29.61%,25,616,9,650
"Judge, Court of Criminal Appeals, Place 3",0158,600,315,915,3035,30.15%,21,870,6,897
"Judge, Court of Criminal Appeals, Place 3",0159,116,127,243,998,24.35%,38,190,10,238
"Judge, Court of Criminal Appeals, Place 3",0160,122,73,195,696,28.02%,6,187,0,193
"Judge, Court of Criminal Appeals, Place 3",0161,163,141,304,991,30.68%,6,290,3,299
"Judge, Court of Criminal Appeals, Place 3",0162,101,83,184,1265,14.55%,62,105,4,171
"Judge, Court of Criminal Appeals, Place 3",0163,230,320,550,3037,18.11%,238,276,12,526
"Judge, Court of Criminal Appeals, Place 3",0164,182,205,387,1420,27.25%,11,369,1,381
"Judge, Court of Criminal Appeals, Place 3",0165,535,483,1018,2334,43.62%,665,277,40,982
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0166,158,233,391,1028,38.04%,112,242,19,373
"Judge, Court of Criminal Appeals, Place 3",0167,3,0,3,24,12.50%,0,3,0,3
"Judge, Court of Criminal Appeals, Place 3",0168,92,58,150,503,29.82%,3,142,1,146
"Judge, Court of Criminal Appeals, Place 3",0169,518,251,767,2513,30.52%,12,736,5,753
"Judge, Court of Criminal Appeals, Place 3",0170,271,141,412,1869,22.04%,219,169,10,398
"Judge, Court of Criminal Appeals, Place 3",0171,202,198,400,1604,24.94%,10,378,4,392
"Judge, Court of Criminal Appeals, Place 3",0172,88,80,166,621,26.73%,67,88,2,157
"Judge, Court of Criminal Appeals, Place 3",0173,819,739,1558,3599,43.29%,1242,246,37,1525
"Judge, Court of Criminal Appeals, Place 3",0174,830,733,1563,3296,47.42%,1080,371,38,1489
"Judge, Court of Criminal Appeals, Place 3",0175,580,749,1309,2618,50.00%,661,518,46,1225
"Judge, Court of Criminal Appeals, Place 3",0176,344,451,795,1602,49.63%,417,290,25,732
"Judge, Court of Criminal Appeals, Place 3",0177,278,326,604,1496,40.37%,348,214,16,578
"Judge, Court of Criminal Appeals, Place 3",0178,504,365,869,1765,49.24%,580,205,38,823
"Judge, Court of Criminal Appeals, Place 3",0179,256,188,444,1575,28.19%,226,177,20,423
"Judge, Court of Criminal Appeals, Place 3",0180,470,343,813,2834,28.69%,22,756,7,785
"Judge, Court of Criminal Appeals, Place 3",0181,175,262,437,2061,21.20%,140,266,14,420
"Judge, Court of Criminal Appeals, Place 3",0182,590,974,1564,3405,45.93%,958,459,42,1459
"Judge, Court of Criminal Appeals, Place 3",0183,520,794,1314,2491,52.75%,852,343,46,1241
