Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0546,2,2,4,37,10.81%,2,2,0,4
"Judge, Court of Criminal Appeals, Place 3",0547,501,466,967,2406,40.19%,670,225,39,934
"Judge, Court of Criminal Appeals, Place 3",0548,286,293,579,2215,26.14%,297,254,17,568
"Judge, Court of Criminal Appeals, Place 3",0549,343,418,761,2663,28.58%,108,629,7,744
"Judge, Court of Criminal Appeals, Place 3",0550,501,431,932,3031,30.75%,529,355,21,905
"Judge, Court of Criminal Appeals, Place 3",0551,1288,1394,2682,7034,38.13%,2016,540,61,2617
"Judge, Court of Criminal Appeals, Place 3",0552,847,883,1730,3415,50.66%,1443,219,27,1689
"Judge, Court of Criminal Appeals, Place 3",0553,579,529,1108,4686,23.64%,497,554,33,1084
"Judge, Court of Criminal Appeals, Place 3",0554,261,199,460,1757,26.18%,99,324,10,433
"Judge, Court of Criminal Appeals, Place 3",0555,225,277,502,2219,22.62%,112,370,6,488
"Judge, Court of Criminal Appeals, Place 3",0556,276,186,462,2319,19.92%,138,296,10,444
"Judge, Court of Criminal Appeals, Place 3",0557,455,183,638,2830,22.54%,265,287,13,565
"Judge, Court of Criminal Appeals, Place 3",0558,694,463,1157,4380,26.42%,403,677,42,1122
"Judge, Court of Criminal Appeals, Place 3",0559,641,494,1135,4969,22.84%,330,732,36,1098
"Judge, Court of Criminal Appeals, Place 3",0560,72,131,203,1120,18.13%,53,133,6,192
"Judge, Court of Criminal Appeals, Place 3",0561,362,436,798,3064,26.04%,482,267,30,779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0562,113,68,181,694,26.08%,25,150,2,177
"Judge, Court of Criminal Appeals, Place 3",0563,1108,376,1484,3105,47.79%,1160,242,30,1432
"Judge, Court of Criminal Appeals, Place 3",0564,471,426,897,3155,28.43%,232,595,34,861
"Judge, Court of Criminal Appeals, Place 3",0565,108,78,186,1354,13.74%,43,125,6,174
"Judge, Court of Criminal Appeals, Place 3",0566,418,324,742,2882,25.75%,224,466,31,721
"Judge, Court of Criminal Appeals, Place 3",0567,301,193,494,2238,22.07%,162,278,15,455
"Judge, Court of Criminal Appeals, Place 3",0568,876,685,1561,3594,43.43%,1015,425,47,1487
"Judge, Court of Criminal Appeals, Place 3",0569,575,667,1242,3525,35.23%,663,481,41,1185
"Judge, Court of Criminal Appeals, Place 3",0570,239,210,449,1562,28.75%,148,248,21,417
"Judge, Court of Criminal Appeals, Place 3",0571,155,149,304,1827,16.64%,119,168,7,294
"Judge, Court of Criminal Appeals, Place 3",0572,556,375,931,3108,29.95%,479,400,30,909
"Judge, Court of Criminal Appeals, Place 3",0573,290,151,441,1619,27.24%,6,424,5,435
"Judge, Court of Criminal Appeals, Place 3",0574,31,42,73,402,18.16%,10,61,2,73
"Judge, Court of Criminal Appeals, Place 3",0575,13,11,24,74,32.43%,17,6,0,23
"Judge, Court of Criminal Appeals, Place 3",0576,485,318,804,2734,29.41%,23,758,9,790
"Judge, Court of Criminal Appeals, Place 3",0577,148,88,236,608,38.82%,142,86,4,232
"Judge, Court of Criminal Appeals, Place 3",0578,409,538,947,1799,52.64%,578,303,29,910
"Judge, Court of Criminal Appeals, Place 3",0579,75,101,177,1056,16.76%,33,134,3,170
"Judge, Court of Criminal Appeals, Place 3",0580,179,118,297,1031,28.81%,3,282,3,288
"Judge, Court of Criminal Appeals, Place 3",0581,212,174,386,1032,37.40%,7,366,3,376
"Judge, Court of Criminal Appeals, Place 3",0582,258,171,429,1588,27.02%,19,394,2,415
"Judge, Court of Criminal Appeals, Place 3",0583,225,131,356,1262,28.21%,13,333,3,349
"Judge, Court of Criminal Appeals, Place 3",0584,182,93,275,1014,27.12%,12,256,2,270
"Judge, Court of Criminal Appeals, Place 3",0585,417,172,589,2511,23.46%,14,561,8,583
"Judge, Court of Criminal Appeals, Place 3",0586,638,680,1318,4316,30.54%,784,454,44,1282
"Judge, Court of Criminal Appeals, Place 3",0587,439,284,723,2598,27.83%,278,410,17,705
"Judge, Court of Criminal Appeals, Place 3",0588,758,674,1432,3645,39.29%,1017,339,44,1400
"Judge, Court of Criminal Appeals, Place 3",0589,500,386,886,3420,25.91%,481,351,32,864
"Judge, Court of Criminal Appeals, Place 3",0590,773,399,1172,2162,54.21%,923,196,22,1141
"Judge, Court of Criminal Appeals, Place 3",0591,183,231,414,2121,19.52%,126,263,9,398
"Judge, Court of Criminal Appeals, Place 3",0592,133,157,290,1350,21.48%,79,198,5,282
"Judge, Court of Criminal Appeals, Place 3",0593,544,564,1108,4380,25.30%,530,504,37,1071
"Judge, Court of Criminal Appeals, Place 3",0594,561,326,887,2490,35.62%,248,600,16,864
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0595,201,178,379,1693,22.39%,71,295,4,370
"Judge, Court of Criminal Appeals, Place 3",0596,441,348,789,3007,26.24%,434,307,29,770
"Judge, Court of Criminal Appeals, Place 3",0597,367,394,761,3653,20.83%,322,411,21,754
"Judge, Court of Criminal Appeals, Place 3",0598,195,57,252,728,34.62%,201,34,10,245
"Judge, Court of Criminal Appeals, Place 3",0599,850,578,1428,4950,28.85%,513,855,25,1393
"Judge, Court of Criminal Appeals, Place 3",0600,667,429,1096,3957,27.70%,441,582,26,1049
"Judge, Court of Criminal Appeals, Place 3",0601,1074,756,1830,4057,45.11%,1376,350,54,1780
"Judge, Court of Criminal Appeals, Place 3",0602,293,235,528,1326,39.82%,384,123,12,519
"Judge, Court of Criminal Appeals, Place 3",0603,884,794,1678,4843,34.65%,1053,525,64,1642
"Judge, Court of Criminal Appeals, Place 3",0604,702,518,1220,3005,40.60%,997,157,33,1187
"Judge, Court of Criminal Appeals, Place 3",0605,907,556,1463,5582,26.21%,355,1043,29,1427
"Judge, Court of Criminal Appeals, Place 3",0606,176,70,246,937,26.25%,3,239,0,242
"Judge, Court of Criminal Appeals, Place 3",0607,52,51,113,728,15.52%,12,95,1,108
"Judge, Court of Criminal Appeals, Place 3",0608,31,47,78,537,14.53%,43,27,1,71
"Judge, Court of Criminal Appeals, Place 3",0609,557,680,1347,3384,39.80%,839,428,29,1296
"Judge, Court of Criminal Appeals, Place 3",0610,231,188,419,1927,21.74%,220,161,14,395
"Judge, Court of Criminal Appeals, Place 3",0611,495,242,737,2488,29.62%,20,693,7,720
"Judge, Court of Criminal Appeals, Place 3",0612,996,497,1493,3307,45.15%,1118,274,40,1432
"Judge, Court of Criminal Appeals, Place 3",0613,186,204,390,1554,25.10%,58,314,12,384
"Judge, Court of Criminal Appeals, Place 3",0614,737,566,1303,4207,30.97%,487,753,22,1262
"Judge, Court of Criminal Appeals, Place 3",0615,480,299,779,1967,39.60%,483,255,24,762
"Judge, Court of Criminal Appeals, Place 3",0616,739,663,1402,3436,40.80%,992,337,30,1359
"Judge, Court of Criminal Appeals, Place 3",0617,541,393,934,3809,24.52%,372,523,23,918
"Judge, Court of Criminal Appeals, Place 3",0618,946,567,1513,6003,25.20%,743,685,47,1475
"Judge, Court of Criminal Appeals, Place 3",0619,1219,803,2022,4297,47.06%,1490,404,64,1958
"Judge, Court of Criminal Appeals, Place 3",0620,689,264,953,2897,32.90%,609,287,19,915
"Judge, Court of Criminal Appeals, Place 3",0621,154,101,255,1133,22.51%,136,99,9,244
"Judge, Court of Criminal Appeals, Place 3",0622,881,524,1405,4403,31.91,%,861,472,29,1362
"Judge, Court of Criminal Appeals, Place 3",0623,887,487,1374,3691,37.23%,935,375,22,1332
"Judge, Court of Criminal Appeals, Place 3",0624,1,1,2,3,66.67%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 3",0625,477,362,839,1820,46.10%,482,298,25,805
"Judge, Court of Criminal Appeals, Place 3",0626,581,440,1021,2861,35.69%,569,373,30,972
"Judge, Court of Criminal Appeals, Place 3",0627,346,322,668,3049,21.91%,239,387,17,643
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0628,152,219,371,1675,22.15%,188,159,15,362
"Judge, Court of Criminal Appeals, Place 3",0629,37,53,90,696,12.93%,15,75,0,90
"Judge, Court of Criminal Appeals, Place 3",0630,975,600,1575,3905,40.36%,116,1402,26,1544
"Judge, Court of Criminal Appeals, Place 3",0631,822,404,1226,2846,43.08%,892,269,28,1189
"Judge, Court of Criminal Appeals, Place 3",0632,7,4,11,343,3.21%,3,7,1,11
"Judge, Court of Criminal Appeals, Place 3",0633,945,731,1676,3559,47.09%,1197,395,40,1632
"Judge, Court of Criminal Appeals, Place 3",0634,458,442,900,3029,29.71%,589,256,31,876
"Judge, Court of Criminal Appeals, Place 3",0635,743,485,1228,3393,36.19%,902,253,45,1200
"Judge, Court of Criminal Appeals, Place 3",0636,835,874,1710,4140,41.30%,1477,165,32,1674
"Judge, Court of Criminal Appeals, Place 3",0637,409,362,771,2512,30.69%,191,515,24,730
"Judge, Court of Criminal Appeals, Place 3",0638,304,245,549,2204,24.91%,48,481,6,535
"Judge, Court of Criminal Appeals, Place 3",0639,549,547,1096,2526,43.39%,869,157,37,1063
"Judge, Court of Criminal Appeals, Place 3",0640,641,459,1100,3733,29.47%,679,366,29,1074
"Judge, Court of Criminal Appeals, Place 3",0641,649,596,1245,3650,34.11%,830,352,34,1216
"Judge, Court of Criminal Appeals, Place 3",0642,472,394,866,1764,49.09%,691,125,22,838
"Judge, Court of Criminal Appeals, Place 3",0643,934,653,1587,5945,26.69%,620,889,39,1548
"Judge, Court of Criminal Appeals, Place 3",0644,1020,823,1843,5523,33.37%,1198,522,53,1773
"Judge, Court of Criminal Appeals, Place 3",0645,655,594,1249,4185,29.84%,672,497,43,1212
"Judge, Court of Criminal Appeals, Place 3",0646,364,287,651,2220,29.32%,206,394,13,613
"Judge, Court of Criminal Appeals, Place 3",0647,904,470,1374,6084,22.58%,379,868,11,1258
"Judge, Court of Criminal Appeals, Place 3",0648,838,579,1417,3367,42.08%,1007,336,38,1381
"Judge, Court of Criminal Appeals, Place 3",0649,687,434,1121,4576,24.50%,365,670,30,1065
"Judge, Court of Criminal Appeals, Place 3",0650,906,766,1672,3888,43.00%,1213,362,45,1620
"Judge, Court of Criminal Appeals, Place 3",0651,963,766,1729,5128,33.72%,1099,529,42,1670
"Judge, Court of Criminal Appeals, Place 3",0652,467,515,982,2815,34.88%,173,765,14,952
"Judge, Court of Criminal Appeals, Place 3",0653,0,4,4,0,0.00%,0,4,0,4
"Judge, Court of Criminal Appeals, Place 3",0654,950,1005,1955,6208,31.49%,1078,775,50,1903
"Judge, Court of Criminal Appeals, Place 3",0655,1115,1079,2195,6855,32.02%,1341,715,75,2131
"Judge, Court of Criminal Appeals, Place 3",0656,579,393,972,2674,36.35%,39,906,5,950
"Judge, Court of Criminal Appeals, Place 3",0657,247,172,419,1292,32.43%,171,229,9,409
"Judge, Court of Criminal Appeals, Place 3",0658,540,426,966,2807,34.41%,625,305,17,947
"Judge, Court of Criminal Appeals, Place 3",0659,1150,788,1938,4856,39.91%,1377,469,54,1900
"Judge, Court of Criminal Appeals, Place 3",0660,950,825,1775,5372,33.04%,165,1554,23,1742
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0661,675,765,1440,4567,31.53%,832,517,45,1394
"Judge, Court of Criminal Appeals, Place 3",0662,1148,890,2038,4874,41.81%,1627,325,39,1991
"Judge, Court of Criminal Appeals, Place 3",0663,719,797,1515,3346,45.31%,750,627,48,1425
"Judge, Court of Criminal Appeals, Place 3",0664,352,250,602,2869,20.98%,137,430,12,579
"Judge, Court of Criminal Appeals, Place 3",0665,484,348,832,2154,38.63%,692,97,25,814
"Judge, Court of Criminal Appeals, Place 3",0666,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0667,488,502,990,2149,46.07%,771,164,25,960
"Judge, Court of Criminal Appeals, Place 3",0668,399,509,908,2775,32.72%,580,269,39,888
"Judge, Court of Criminal Appeals, Place 3",0669,850,738,1,588,3425,46.36%,1149,350,36,1535
"Judge, Court of Criminal Appeals, Place 3",0670,957,471,1428,2983,47.87%,1138,210,38,1386
"Judge, Court of Criminal Appeals, Place 3",0671,403,565,968,3037,31.87%,598,314,29,941
"Judge, Court of Criminal Appeals, Place 3",0672,960,862,1822,5706,31.93%,1222,501,61,1784
"Judge, Court of Criminal Appeals, Place 3",0673,729,516,1245,2995,41.57%,978,189,35,1202
"Judge, Court of Criminal Appeals, Place 3",0674,1071,618,1689,4091,41.29%,1253,345,40,1638
"Judge, Court of Criminal Appeals, Place 3",0675,0,1,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",0676,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0677,127,127,254,1266,20.06%,97,141,6,244
"Judge, Court of Criminal Appeals, Place 3",0678,166,108,274,735,37.28%,175,75,9,259
"Judge, Court of Criminal Appeals, Place 3",0679,635,520,1155,3381,34.16%,867,223,27,1117
"Judge, Court of Criminal Appeals, Place 3",0680,21,14,35,162,21.60%,13,21,0,34
"Judge, Court of Criminal Appeals, Place 3",0681,1,0,1,5,20.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",0682,711,654,1365,4216,32.38%,998,295,34,1327
"Judge, Court of Criminal Appeals, Place 3",0683,29,20,49,276,17.75%,9,35,1,45
"Judge, Court of Criminal Appeals, Place 3",0684,28,22,50,223,22.42%,23,23,2,48
"Judge, Court of Criminal Appeals, Place 3",0685,110,29,139,307,45.28%,64,66,3,133
"Judge, Court of Criminal Appeals, Place 3",0686,17,12,29,208,13.94%,10,15,4,29
"Judge, Court of Criminal Appeals, Place 3",0687,549,537,1086,2609,41.63%,728,264,42,1034
"Judge, Court of Criminal Appeals, Place 3",0688,999,617,1616,3504,46.12%,1281,250,38,1569
"Judge, Court of Criminal Appeals, Place 3",0689,211,387,598,2346,25.49%,296,263,21,580
"Judge, Court of Criminal Appeals, Place 3",0690,926,1104,2030,5102,39.79%,1630,294,61,1985
"Judge, Court of Criminal Appeals, Place 3",0691,2,5,7,25,28.00%,4,3,0,7
"Judge, Court of Criminal Appeals, Place 3",0692,444,548,992,2847,34.84%,752,190,28,970
"Judge, Court of Criminal Appeals, Place 3",0693,167,91,258,666,38.74%,70,168,15,253
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0694,260,120,380,845,44.97%,260,90,11,361
"Judge, Court of Criminal Appeals, Place 3",0695,232,193,425,1724,24.65%,267,130,16,413
"Judge, Court of Criminal Appeals, Place 3",0696,261,207,468,1982,23.61%,297,142,19,458
"Judge, Court of Criminal Appeals, Place 3",0697,605,613,1218,4413,27.60%,304,861,21,1186
"Judge, Court of Criminal Appeals, Place 3",0698,448,489,937,3189,29.38%,100,810,8,918
"Judge, Court of Criminal Appeals, Place 3",0699,568,414,982,2343,41.91,%,664,247,22,933
"Judge, Court of Criminal Appeals, Place 3",0700,255,251,506,1371,36.91%,430,59,4,493
"Judge, Court of Criminal Appeals, Place 3",0701,56,43,99,588,16.84%,60,29,5,94
"Judge, Court of Criminal Appeals, Place 3",0702,64,70,134,539,24.86%,16,116,0,132
"Judge, Court of Criminal Appeals, Place 3",0703,372,490,862,1882,45.80%,629,178,22,829
"Judge, Court of Criminal Appeals, Place 3",0704,569,599,1168,3064,38.12%,946,163,26,1135
"Judge, Court of Criminal Appeals, Place 3",0705,114,113,227,1523,14.90%,32,186,3,221
"Judge, Court of Criminal Appeals, Place 3",0706,115,71,186,610,30.49%,94,75,8,177
"Judge, Court of Criminal Appeals, Place 3",0707,153,86,239,707,33.80%,151,66,12,229
"Judge, Court of Criminal Appeals, Place 3",0708,54,52,106,563,18.83%,52,48,3,103
"Judge, Court of Criminal Appeals, Place 3",0709,1375,947,2322,6848,33.91%,1382,838,63,2283
"Judge, Court of Criminal Appeals, Place 3",0710,371,462,833,2082,40.01%,453,302,36,791
"Judge, Court of Criminal Appeals, Place 3",0711,703,506,1209,3484,34.70%,730,386,43,1159
"Judge, Court of Criminal Appeals, Place 3",0712,491,463,954,3670,25.99%,402,507,29,938
"Judge, Court of Criminal Appeals, Place 3",0713,228,262,490,1907,25.69%,242,218,16,476
"Judge, Court of Criminal Appeals, Place 3",0714,36,19,55,296,18.58%,32,19,2,53
"Judge, Court of Criminal Appeals, Place 3",0715,176,187,363,1408,25.78%,211,131,7,349
"Judge, Court of Criminal Appeals, Place 3",0716,449,407,856,2680,31.94%,599,214,30,843
"Judge, Court of Criminal Appeals, Place 3",0717,373,250,623,2002,31.12%,75,528,7,610
"Judge, Court of Criminal Appeals, Place 3",0718,1017,806,1823,4229,43.11%,1287,410,46,1743
"Judge, Court of Criminal Appeals, Place 3",0719,247,137,384,1589,24.17%,233,133,8,374
"Judge, Court of Criminal Appeals, Place 3",0720,995,780,1775,4282,41.45%,1317,355,51,1723
"Judge, Court of Criminal Appeals, Place 3",0721,754,532,1286,2870,44.81%,846,347,40,1233
"Judge, Court of Criminal Appeals, Place 3",0722,873,494,1367,4479,30.52%,98,1212,22,1332
"Judge, Court of Criminal Appeals, Place 3",0723,401,202,603,1858,32.45%,130,448,8,586
"Judge, Court of Criminal Appeals, Place 3",0724,151,128,279,766,36.42%,213,44,8,265
"Judge, Court of Criminal Appeals, Place 3",0725,423,237,660,2237,29.50%,308,325,11,644
"Judge, Court of Criminal Appeals, Place 3",0726,592,402,994,2087,47.63%,868,91,15,974
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0727,338,290,628,2488,25.24%,201,376,20,597
"Judge, Court of Criminal Appeals, Place 3",0728,209,151,360,880,40.91%,224,113,13,350
"Judge, Court of Criminal Appeals, Place 3",0729,136,59,195,464,42.03%,119,70,4,193
"Judge, Court of Criminal Appeals, Place 3",0730,428,359,787,1747,45.05%,510,215,22,747
"Judge, Court of Criminal Appeals, Place 3",0731,58,27,85,352,24.15%,26,57,0,83
"Judge, Court of Criminal Appeals, Place 3",0732,441,324,765,1924,39.76%,472,233,32,737
"Judge, Court of Criminal Appeals, Place 3",0733,13,7,20,215,9.30%,7,10,2,19
"Judge, Court of Criminal Appeals, Place 3",0734,1558,962,2520,7005,35.97%,1728,678,55,2461
"Judge, Court of Criminal Appeals, Place 3",0735,6,0,6,18,33.33%,5,0,1,6
"Judge, Court of Criminal Appeals, Place 3",0736,3,1,4,22,18.18%,0,3,0,3
"Judge, Court of Criminal Appeals, Place 3",0737,11,7,18,51,35.29%,13,5,0,18
"Judge, Court of Criminal Appeals, Place 3",0738,139,100,239,1361,17.56%,44,182,8,234
"Judge, Court of Criminal Appeals, Place 3",0739,353,301,654,2955,22.13%,341,273,18,632
"Judge, Court of Criminal Appeals, Place 3",0740,96,98,194,939,20.66%,125,56,7,188
"Judge, Court of Criminal Appeals, Place 3",0741,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0742,0,11,11,0,0.00%,6,5,0,11
"Judge, Court of Criminal Appeals, Place 3",0743,15,18,33,210,15.71%,16,11,3,30
"Judge, Court of Criminal Appeals, Place 3",0744,456,392,848,2027,41.84%,544,241,28,813
"Judge, Court of Criminal Appeals, Place 3",0745,683,372,1055,2494,42.30%,656,334,27,1017
"Judge, Court of Criminal Appeals, Place 3",0746,114,77,191,691,27.64%,90,89,10,189
"Judge, Court of Criminal Appeals, Place 3",0747,551,467,1018,3743,27.20%,484,469,42,995
"Judge, Court of Criminal Appeals, Place 3",0748,172,140,312,1403,22.24%,162,128,16,306
"Judge, Court of Criminal Appeals, Place 3",0749,30,17,47,377,12.47%,8,38,0,46
"Judge, Court of Criminal Appeals, Place 3",0750,111,96,207,767,26.99%,128,72,5,205
"Judge, Court of Criminal Appeals, Place 3",0751,925,964,1889,5084,37.16%,1243,527,66,1836
"Judge, Court of Criminal Appeals, Place 3",0752,286,200,486,1483,32.77%,365,90,13,468
"Judge, Court of Criminal Appeals, Place 3",0753,55,73,128,259,49.42%,79,38,7,124
"Judge, Court of Criminal Appeals, Place 3",0754,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0755,442,584,1026,4294,23.89%,447,513,28,988
"Judge, Court of Criminal Appeals, Place 3",0756,251,177,428,1600,26.75%,168,239,8,415
"Judge, Court of Criminal Appeals, Place 3",0757,520,508,1028,4035,25.48%,186,808,14,1008
"Judge, Court of Criminal Appeals, Place 3",0758,1114,692,1806,4096,44.09%,1431,273,53,1757
"Judge, Court of Criminal Appeals, Place 3",0759,465,413,878,2730,32.16%,550,272,30,852
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0760,1432,639,2071,4367,47.42%,1725,243,37,2005
"Judge, Court of Criminal Appeals, Place 3",0761,548,253,801,1550,51.68%,559,173,30,762
"Judge, Court of Criminal Appeals, Place 3",0762,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0763,108,146,254,1212,20.96%,101,132,14,247
"Judge, Court of Criminal Appeals, Place 3",0764,1133,774,1907,5217,36.55%,1193,615,50,1858
"Judge, Court of Criminal Appeals, Place 3",0765,848,426,1074,4055,26.49%,437,557,44,1038
"Judge, Court of Criminal Appeals, Place 3",0766,40,25,65,392,16.58%,17,41,2,60
"Judge, Court of Criminal Appeals, Place 3",0767,10,2,12,86,13.95%,6,6,0,12
"Judge, Court of Criminal Appeals, Place 3",0768,1359,1015,2374,5857,40.53%,1923,346,58,2327
"Judge, Court of Criminal Appeals, Place 3",0769,54,16,70,183,38.25%,3,64,1,68
"Judge, Court of Criminal Appeals, Place 3",0770,31,25,56,323,17.34%,24,26,5,55
"Judge, Court of Criminal Appeals, Place 3",0771,324,254,578,2426,23.83%,327,207,26,560
"Judge, Court of Criminal Appeals, Place 3",0772,1792,851,2643,5709,46.30%,2011,468,71,2550
"Judge, Court of Criminal Appeals, Place 3",0773,473,312,785,2918,26.90%,213,501,12,726
"Judge, Court of Criminal Appeals, Place 3",0774,30,41,71,378,18.78%,15,51,3,69
"Judge, Court of Criminal Appeals, Place 3",0775,18,3,21,92,22.83%,0,21,0,21
"Judge, Court of Criminal Appeals, Place 3",0776,551,496,1047,3053,34.29%,603,371,37,1011
"Judge, Court of Criminal Appeals, Place 3",0777,48,40,86,652,13.19%,32,53,0,85
"Judge, Court of Criminal Appeals, Place 3",0778,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0779,64,51,115,940,12.23%,40,67,2,109
"Judge, Court of Criminal Appeals, Place 3",0780,83,59,122,595,20.50%,71,48,0,119
"Judge, Court of Criminal Appeals, Place 3",0781,666,273,939,3603,26.06%,422,407,26,855
"Judge, Court of Criminal Appeals, Place 3",0782,368,370,738,2236,33.01%,461,237,23,721
"Judge, Court of Criminal Appeals, Place 3",0783,49,13,62,294,21.09%,44,14,2,60
"Judge, Court of Criminal Appeals, Place 3",0784,208,128,336,1079,31.14%,6,316,2,324
"Judge, Court of Criminal Appeals, Place 3",0785,28,25,53,296,17.91%,27,24,2,53
"Judge, Court of Criminal Appeals, Place 3",0786,100,98,198,1251,15.83%,71,115,7,193
"Judge, Court of Criminal Appeals, Place 3",0787,48,52,98,488,20.08%,35,57,3,95
"Judge, Court of Criminal Appeals, Place 3",0788,74,32,106,454,23.35%,47,52,6,105
"Judge, Court of Criminal Appeals, Place 3",0789,0,3,3,3,100.00%,0,2,1,3
"Judge, Court of Criminal Appeals, Place 3",0790,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0791,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0792,269,239,508,1865,27.24%,122,357,7,486
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0793,448,247,695,2484,27.98%,420,232,24,676
"Judge, Court of Criminal Appeals, Place 3",0794,124,144,268,2710,9.89%,30,222,8,260
"Judge, Court of Criminal Appeals, Place 3",0795,90,125,215,1217,17.67%,76,123,4,203
"Judge, Court of Criminal Appeals, Place 3",0796,83,51,134,476,28.15%,74,52,4,130
"Judge, Court of Criminal Appeals, Place 3",0797,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0798,99,111,210,500,42.00%,75,118,11,204
"Judge, Court of Criminal Appeals, Place 3",0799,28,15,43,161,26.71%,8,34,1,43
"Judge, Court of Criminal Appeals, Place 3",0800,588,642,1230,2932,41.95%,838,324,22,1184
"Judge, Court of Criminal Appeals, Place 3",0801,32,14,46,258,17.83%,15,29,1,45
"Judge, Court of Criminal Appeals, Place 3",0802,51,27,78,312,25.00%,15,59,3,77
"Judge, Court of Criminal Appeals, Place 3",0803,725,511,1236,2893,42.72%,911,272,25,1208
"Judge, Court of Criminal Appeals, Place 3",0804,933,591,1524,4768,31.96%,950,494,46,1490
"Judge, Court of Criminal Appeals, Place 3",0805,765,533,1298,2866,45.29%,1038,188,37,1263
"Judge, Court of Criminal Appeals, Place 3",0806,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0807,211,204,415,2028,20.46%,87,296,20,403
"Judge, Court of Criminal Appeals, Place 3",0808,12,17,29,131,22.14%,11,18,0,29
"Judge, Court of Criminal Appeals, Place 3",0809,7,6,13,92,14.13%,5,6,0,11
"Judge, Court of Criminal Appeals, Place 3",0810,9,16,25,211,11.85%,7,16,1,24
"Judge, Court of Criminal Appeals, Place 3",0811,29,50,79,270,29.26%,25,47,4,76
"Judge, Court of Criminal Appeals, Place 3",0812,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0813,938,761,1699,5807,29.26%,822,788,57,1667
"Judge, Court of Criminal Appeals, Place 3",0814,673,533,1206,5102,23.64%,298,850,28,1176
"Judge, Court of Criminal Appeals, Place 3",0815,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0816,10,0,10,73,13.70%,3,7,0,10
"Judge, Court of Criminal Appeals, Place 3",0817,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0818,86,39,125,616,20.29%,27,92,0,119
"Judge, Court of Criminal Appeals, Place 3",0819,64,30,94,240,39.17%,54,31,3,88
"Judge, Court of Criminal Appeals, Place 3",0820,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0821,124,120,244,1242,19.65%,30,201,6,237
"Judge, Court of Criminal Appeals, Place 3",0822,332,167,499,1535,32.51%,13,470,4,487
