Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0166,158,233,391,1028,38.04%,150,150
"Judge, County Criminal Court No. 9",0167,3,0,3,24,12.50%,1,1
"Judge, County Criminal Court No. 9",0168,92,58,150,503,29.82%,7,7
"Judge, County Criminal Court No. 9",0169,516,251,767,2513,30.52%,51,51
"Judge, County Criminal Court No. 9",0170,271,141,412,1869,22.04%,243,243
"Judge, County Criminal Court No. 9",0171,202,198,400,1604,24.94%,24,24
"Judge, County Criminal Court No. 9",0172,86,80,166,621,26.73%,76,76
"Judge, County Criminal Court No. 9",0173,817,739,1556,3599,43.23%,1300,1300
"Judge, County Criminal Court No. 9",0174,829,733,1562,3296,47.39%,1146,1146
"Judge, County Criminal Court No. 9",0175,557,749,1306,2618,49.89%,728,728
"Judge, County Criminal Court No. 9",0176,344,451,795,1602,49.63%,442,442
"Judge, County Criminal Court No. 9",0177,278,326,604,1496,40.37%,365,365
"Judge, County Criminal Court No. 9",0178,504,365,869,1765,49.24%,605,605
"Judge, County Criminal Court No. 9",0179,256,188,444,1575,28.19%,259,259
"Judge, County Criminal Court No. 9",0180,470,343,813,2834,28.69%,63,63
"Judge, County Criminal Court No. 9",0181,175,262,437,2061,21.20%,196,196
"Judge, County Criminal Court No. 9",0182,590,974,1564,3405,45.93%,1036,1036
"Judge, County Criminal Court No. 9",0183,519,794,1313,2491,52.71%,902,902
"Judge, County Criminal Court No. 9",0184,106,135,241,994,24.25%,108,108
"Judge, County Criminal Court No. 9",0185,283,292,575,1933,29.75%,250,250
"Judge, County Criminal Court No. 9",0186,97,106,203,798,25.44%,49,49
"Judge, County Criminal Court No. 9",0187,21,25,46,311,14.79%,20,20
"Judge, County Criminal Court No. 9",0188,153,146,299,1637,18.27%,158,158
"Judge, County Criminal Court No. 9",0189,239,360,599,1465,40.89%,341,341
"Judge, County Criminal Court No. 9",0190,120,177,297,1723,17.24%,148,148
"Judge, County Criminal Court No. 9",0191,79,126,205,1366,15.01%,109,109
"Judge, County Criminal Court No. 9",0192,380,225,605,1959,30.88%,62,62
"Judge, County Criminal Court No. 9",0193,173,187,360,1074,33.52%,31,31
"Judge, County Criminal Court No. 9",0194,350,431,781,1912,40.85%,303,303
"Judge, County Criminal Court No. 9",0195,269,278,547,1694,32.29%,49,49
"Judge, County Criminal Court No. 9",0196,52,32,84,316,26.58%,13,13
"Judge, County Criminal Court No. 9",0197,543,309,852,2914,29.24%,65,65
"Judge, County Criminal Court No. 9",0198,53,74,127,642,19.78%,12,12
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0199,812,661,1473,3216,45.80%,1188,1188
"Judge, County Criminal Court No. 9",0200,962,536,1498,3382,44.29%,765,765
"Judge, County Criminal Court No. 9",0201,98,87,185,724,25.55%,10,10
"Judge, County Criminal Court No. 9",0202,217,189,406,1464,27.73%,29,29
"Judge, County Criminal Court No. 9",0203,107,68,175,960,18.23%,58,58
"Judge, County Criminal Court No. 9",0204,816,784,1600,3487,45.88%,966,966
"Judge, County Criminal Court No. 9",0205,464,171,635,1664,38.16%,40,40
"Judge, County Criminal Court No. 9",0206,362,462,824,2779,29.65%,316,316
"Judge, County Criminal Court No. 9",0207,265,261,526,1188,44.28%,218,218
"Judge, County Criminal Court No. 9",0208,322,262,584,2195,26.61%,214,214
"Judge, County Criminal Court No. 9",0209,0,2,2,0,0.00%,2,2
