Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0680,21,14,35,162,21.60%,14,14
"Judge, County Criminal Court No. 9",0681,1,0,1,5,20.00%,1,1
"Judge, County Criminal Court No. 9",0682,711,654,1365,4216,32.38%,1068,1068
"Judge, County Criminal Court No. 9",0683,29,20,49,276,17.75%,14,14
"Judge, County Criminal Court No. 9",0684,27,22,49,223,21.97%,31,31
"Judge, County Criminal Court No. 9",0685,110,29,139,307,45.28%,70,70
"Judge, County Criminal Court No. 9",0686,17,12,29,208,13.94%,12,12
"Judge, County Criminal Court No. 9",0687,549,537,1086,2609,41.63%,779,779
"Judge, County Criminal Court No. 9",0688,999,617,1616,3504,46.12%,1331,1331
"Judge, County Criminal Court No. 9",0689,211,387,598,2346,25.49%,335,335
"Judge, County Criminal Court No. 9",0690,926,1104,2030,5102,39.79%,1713,1713
"Judge, County Criminal Court No. 9",0691,2,5,7,25,28.00%,5,5
"Judge, County Criminal Court No. 9",0692,444,548,992,2847,34.84%,786,786
"Judge, County Criminal Court No. 9",0693,167,91,258,666,38.74%,89,89
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0894,280,120,380,845,44.97%,278,278
"Judge, County Criminal Court No. 9",0895,232,193,425,1724,24.85%,293,293
"Judge, County Criminal Court No. 9",0898,281,207,488,1982,23.81%,322,322
"Judge, County Criminal Court No. 9",0897,805,813,1218,4413,27.80%,389,389
"Judge, County Criminal Court No. 9",0898,448,489,937,3189,29.38%,183,183
"Judge, County Criminal Court No. 9",0899,588,414,982,2343,41.91%,709,709
"Judge, County Criminal Court No. 9",0700,255,251,508,1371,38.91%,433,433
"Judge, County Criminal Court No. 9",0701,58,43,99,588,18.84%,87,87
"Judge, County Criminal Court No. 9",0702,84,70,134,539,24.88%,38,38
"Judge, County Criminal Court No. 9",0703,372,490,882,1882,45.80%,888,888
"Judge, County Criminal Court No. 9",0704,589,599,1188,3064,38.12%,988,988
"Judge, County Criminal Court No. 9",0705,114,113,227,1523,14.90%,43,43
"Judge, County Criminal Court No. 9",0708,115,71,188,810,30.49%,103,103
"Judge, County Criminal Court No. 9",0707,153,88,239,707,33.80%,183,183
"Judge, County Criminal Court No. 9",0708,54,52,108,583,18.83%,58,58
"Judge, County Criminal Court No. 9",0709,1375,947,2322,8848,33.91%,1528,1528
"Judge, County Criminal Court No. 9",0710,371,482,833,2082,40.01%,499,499
"Judge, County Criminal Court No. 9",0711,702,508,1208,3484,34.87%,801,801
"Judge, County Criminal Court No. 9",0712,491,483,954,3870,25.99%,491,491
"Judge, County Criminal Court No. 9",0713,228,282,490,1907,25.89%,279,279
"Judge, County Criminal Court No. 9",0714,38,19,55,298,18.58%,37,37
"Judge, County Criminal Court No. 9",0715,178,187,383,1408,25.78%,220,220
"Judge, County Criminal Court No. 9",0718,449,407,858,2880,31.94%,838,838
"Judge, County Criminal Court No. 9",0717,373,250,823,2002,31.12%,108,108
"Judge, County Criminal Court No. 9",0718,1017,808,1823,4229,43.11%,1385,1385
"Judge, County Criminal Court No. 9",0719,247,137,384,1589,24.17%,257,257
"Judge, County Criminal Court No. 9",0720,994,780,1774,4282,41.43%,1415,1415
"Judge, County Criminal Court No. 9",0721,754,532,1288,2870,44.81%,911,911
"Judge, County Criminal Court No. 9",0722,871,494,1385,4479,30.48%,183,183
"Judge, County Criminal Court No. 9",0723,401,202,803,1858,32.45%,172,172
"Judge, County Criminal Court No. 9",0724,151,128,279,788,38.42%,223,223
"Judge, County Criminal Court No. 9",0725,423,237,880,2237,29.50%,348,348
"Judge, County Criminal Court No. 9",0728,592,402,994,2087,47.83%,890,890
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0727,338,290,628,2488,25.24%,261,261
"Judge, County Criminal Court No. 9",0728,209,151,360,880,40.91%,236,236
"Judge, County Criminal Court No. 9",0729,136,59,195,464,42.03%,121,121
"Judge, County Criminal Court No. 9",0730,428,359,787,1747,45.05%,548,548
"Judge, County Criminal Court No. 9",0731,58,27,85,352,24.15%,32,32
"Judge, County Criminal Court No. 9",0732,441,324,765,1924,39.76%,521,521
"Judge, County Criminal Court No. 9",0733,13,7,20,215,9.30%,10,10
"Judge, County Criminal Court No. 9",0734,1558,962,2520,7005,35.97%,1856,1856
"Judge, County Criminal Court No. 9",0735,e,0,6,18,33.33%,6,6
"Judge, County Criminal Court No. 9",0736,3,1,4,22,18.18%,0,0
"Judge, County Criminal Court No. 9",0737,11,7,18,51,35.29%,14,14
"Judge, County Criminal Court No. 9",0738,139,100,239,1361,17.56%,59,59
"Judge, County Criminal Court No. 9",0739,353,301,654,2955,22.13%,370,370
"Judge, County Criminal Court No. 9",0740,96,98,194,939,20.66%,132,132
"Judge, County Criminal Court No. 9",0741,0,1,1,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0742,0,11,11,0,0.00%,6,6
"Judge, County Criminal Court No. 9",0743,15,18,33,210,15.71%,22,22
"Judge, County Criminal Court No. 9",0744,456,392,848,2027,41.84%,579,579
"Judge, County Criminal Court No. 9",0745,683,372,1055,2494,42.30%,694,694
"Judge, County Criminal Court No. 9",0746,114,77,191,691,27.64%,109,109
"Judge, County Criminal Court No. 9",0747,550,467,1017,3743,27.17%,574,574
"Judge, County Criminal Court No. 9",0748,170,140,310,1403,22.10%,192,192
"Judge, County Criminal Court No. 9",0749,30,17,47,377,12.47%,10,10
"Judge, County Criminal Court No. 9",0750,111,96,207,767,26.99%,139,139
"Judge, County Criminal Court No. 9",0751,925,964,1889,5084,37.16%,1359,1359
"Judge, County Criminal Court No. 9",0752,286,200,486,1483,32.77%,386,386
"Judge, County Criminal Court No. 9",0753,55,73,128,259,49.42%,91,91
"Judge, County Criminal Court No. 9",0754,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0755,442,584,1026,4294,23.89%,542,542
"Judge, County Criminal Court No. 9",0756,251,177,428,1600,26.75%,195,195
"Judge, County Criminal Court No. 9",0757,520,508,1028,4035,25.48%,278,278
"Judge, County Criminal Court No. 9",0758,1114,692,1806,4096,44.09%,1514,1514
"Judge, County Criminal Court No. 9",0759,465,413,878,2730,32.16%,613,613
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0760,1432,639,2071,4367,47.42%,1768,1768
"Judge, County Criminal Court No. 9",0761,548,253,801,1550,51.68%,595,595
"Judge, County Criminal Court No. 9",0762,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0763,108,146,254,1212,20.96%,124,124
"Judge, County Criminal Court No. 9",0764,1133,774,1907,5217,36.55%,1289,1289
"Judge, County Criminal Court No. 9",0765,647,426,1073,4055,26.46%,524,524
"Judge, County Criminal Court No. 9",0766,40,25,65,392,16.58%,22,22
"Judge, County Criminal Court No. 9",0767,10,2,12,86,13.95%,7,7
"Judge, County Criminal Court No. 9",0768,1359,1015,2374,5857,40.53%,2006,2006
"Judge, County Criminal Court No. 9",0769,54,16,70,183,38.25%,4,4
"Judge, County Criminal Court No. 9",0770,31,25,56,323,17.34%,36,36
"Judge, County Criminal Court No. 9",0771,324,254,578,2426,23.83%,367,367
"Judge, County Criminal Court No. 9",0772,1792,851,2643,5709,46.30%,2097,2097
"Judge, County Criminal Court No. 9",0773,473,312,785,2918,26.90%,278,278
"Judge, County Criminal Court No. 9",0774,30,41,71,378,18.78%,22,22
"Judge, County Criminal Court No. 9",0775,18,3,21,92,22.83%,2,2
"Judge, County Criminal Court No. 9",0776,551,496,1047,3053,34.29%,671,671
"Judge, County Criminal Court No. 9",0777,46,40,86,652,13.19%,39,39
"Judge, County Criminal Court No. 9",0778,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0779,64,51,115,940,12.23%,51,51
"Judge, County Criminal Court No. 9",0780,63,59,122,595,20.50%,76,76
"Judge, County Criminal Court No. 9",0781,666,273,939,3603,26.06%,484,484
"Judge, County Criminal Court No. 9",0782,368,370,738,2236,33.01%,504,504
"Judge, County Criminal Court No. 9",0783,49,13,62,294,21.09%,46,46
"Judge, County Criminal Court No. 9",0784,208,128,336,1079,31.14%,13,13
"Judge, County Criminal Court No. 9",0785,28,25,53,296,17.91%,32,32
"Judge, County Criminal Court No. 9",0786,100,98,198,1251,15.83%,94,94
"Judge, County Criminal Court No. 9",0787,46,52,98,488,20.08%,47,47
"Judge, County Criminal Court No. 9",0788,74,32,106,454,23.35%,52,52
"Judge, County Criminal Court No. 9",0789,0,3,3,3,100.00%,1,1
"Judge, County Criminal Court No. 9",0790,0,0,0,3,0.00%,0,0
"Judge, County Criminal Court No. 9",0791,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0792,269,239,508,1865,27.24%,163,163
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0793,448,247,695,2484,27.98%,456,456
"Judge, County Criminal Court No. 9",0794,124,144,268,2710,9.89%,62,62
"Judge, County Criminal Court No. 9",0795,90,125,215,1217,17.67%,106,106
"Judge, County Criminal Court No. 9",0796,83,51,134,476,28.15%,85,85
"Judge, County Criminal Court No. 9",0797,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0798,99,111,210,500,42.00%,101,101
"Judge, County Criminal Court No. 9",0799,28,15,43,161,26.71%,13,13
"Judge, County Criminal Court No. 9",0800,588,642,1230,2932,41.95%,897,897
"Judge, County Criminal Court No. 9",0801,32,14,46,258,17.83%,20,20
"Judge, County Criminal Court No. 9",0802,51,27,78,312,25.00%,21,21
"Judge, County Criminal Court No. 9",0803,725,511,1236,2893,42.72%,957,957
"Judge, County Criminal Court No. 9",0804,932,591,1523,4768,31.94%,1053,1053
"Judge, County Criminal Court No. 9",0805,765,533,1298,2866,45.29%,1077,1077
"Judge, County Criminal Court No. 9",0806,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0807,211,204,415,2028,20.46%,125,125
"Judge, County Criminal Court No. 9",0808,12,17,29,131,22.14%,12,12
"Judge, County Criminal Court No. 9",0809,7,6,13,92,14.13%,5,5
"Judge, County Criminal Court No. 9",0810,9,16,25,211,11.85%,9,9
"Judge, County Criminal Court No. 9",0811,29,50,79,270,29.26%,32,32
"Judge, County Criminal Court No. 9",0812,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0813,938,761,1699,5807,29.26%,967,967
"Judge, County Criminal Court No. 9",0814,673,533,1206,5102,23.64%,415,415
"Judge, County Criminal Court No. 9",0815,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0816,10,0,10,73,13.70%,3,3
"Judge, County Criminal Court No. 9",0817,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0818,85,39,125,616,20.29%,39,39
"Judge, County Criminal Court No. 9",0819,64,30,94,240,39.17%,57,57
"Judge, County Criminal Court No. 9",0820,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0821,124,120,244,1242,19.65%,47,47
"Judge, County Criminal Court No. 9",0822,332,167,499,1535,32.51%,36,36
"Judge, County Criminal Court No. 9",0823,821,564,1385,5087,27.23%,880,880
"Judge, County Criminal Court No. 9",0824,428,282,710,2700,26.30%,199,199
"Judge, County Criminal Court No. 9",0825,0,0,0,0,0.00%,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0826,73,50,123,358,34.36%,68,68
"Judge, County Criminal Court No. 9",0827,60,98,158,979,16.14%,90,90
"Judge, County Criminal Court No. 9",0828,541,388,929,1916,48.49%,764,764
"Judge, County Criminal Court No. 9",0829,54,22,76,264,28.79%,28,28
"Judge, County Criminal Court No. 9",0830,0,0,0,2,0.00%,0,0
"Judge, County Criminal Court No. 9",0831,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0832,34,28,62,352,17.61%,23,23
"Judge, County Criminal Court No. 9",0833,0,1,1,20,5.00%,0,0
"Judge, County Criminal Court No. 9",0834,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0835,38,19,57,290,19.66%,14,14
"Judge, County Criminal Court No. 9",0836,3,0,3,19,15.79%,2,2
"Judge, County Criminal Court No. 9",0837,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0838,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0839,136,118,254,1128,22.52%,74,74
"Judge, County Criminal Court No. 9",0840,381,174,555,1705,32.55%,224,224
"Judge, County Criminal Court No. 9",0841,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0842,421,434,855,3259,26.24%,475,475
"Judge, County Criminal Court No. 9",0843,0,1,1,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0844,1,0,1,11,9.09%,0,0
"Judge, County Criminal Court No. 9",0845,54,9,63,134,47.01%,41,41
"Judge, County Criminal Court No. 9",0846,23,24,47,229,20.52%,7,7
"Judge, County Criminal Court No. 9",0847,305,211,516,2015,25.61%,181,181
"Judge, County Criminal Court No. 9",0848,489,266,755,1856,40.68%,269,269
"Judge, County Criminal Court No. 9",0849,201,291,492,2124,23.16%,226,226
"Judge, County Criminal Court No. 9",0850,45,41,87,210,41.43%,36,36
"Judge, County Criminal Court No. 9",0851,1029,657,1686,4709,35.80%,1220,1220
"Judge, County Criminal Court No. 9",0852,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 9",0853,575,620,1296,2882,44.97%,1031,1031
"Judge, County Criminal Court No. 9",0854,15,26,41,172,23.84%,12,12
"Judge, County Criminal Court No. 9",0855,5,9,14,16,87.50%,6,6
"Judge, County Criminal Court No. 9",0856,0,1,1,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0857,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 9",0858,63,34,97,343,28.28%,4,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0859,157,106,263,890,29.55%,84,84
"Judge, County Criminal Court No. 9",0860,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0861,315,199,514,1842,27.90%,122,122
"Judge, County Criminal Court No. 9",0862,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0863,101,54,155,584,26.54%,14,14
"Judge, County Criminal Court No. 9",0864,193,299,492,2569,19.15%,187,187
"Judge, County Criminal Court No. 9",0865,2,3,5,21,23.81%,0,0
"Judge, County Criminal Court No. 9",0866,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0867,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0868,236,271,507,2326,21.80%,203,203
"Judge, County Criminal Court No. 9",0869,53,39,92,470,19.57%,28,28
"Judge, County Criminal Court No. 9",0870,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0871,1,0,1,3,33.33%,0,0
"Judge, County Criminal Court No. 9",0872,5,3,8,59,13.56%,5,5
"Judge, County Criminal Court No. 9",0873,98,75,173,737,23.47%,55,55
"Judge, County Criminal Court No. 9",0874,763,707,1470,3223,45.61%,1172,1172
"Judge, County Criminal Court No. 9",0875,904,527,1431,5147,27.80%,799,799
"Judge, County Criminal Court No. 9",0876,698,641,1339,3265,41.01%,1066,1066
"Judge, County Criminal Court No. 9",0877,476,382,858,3032,28.30%,417,417
"Judge, County Criminal Court No. 9",0878,427,354,781,1666,46.88%,670,670
"Judge, County Criminal Court No. 9",0879,407,294,701,2667,26.28%,411,411
"Judge, County Criminal Court No. 9",0880,543,447,990,2352,42.09%,824,824
"Judge, County Criminal Court No. 9",0881,593,540,1133,4479,25.30%,479,479
"Judge, County Criminal Court No. 9",0882,426,291,717,2422,29.60%,471,471
"Judge, County Criminal Court No. 9",0883,643,702,1345,5408,24.87%,364,364
"Judge, County Criminal Court No. 9",0884,57,25,82,377,21.75%,11,11
"Judge, County Criminal Court No. 9",0885,562,368,930,2619,35.51%,601,601
"Judge, County Criminal Court No. 9",0886,128,108,236,675,34.96%,149,149
"Judge, County Criminal Court No. 9",0887,50,67,117,418,27.99%,66,66
"Judge, County Criminal Court No. 9",0888,0,3,3,0,0.00%,3,3
"Judge, County Criminal Court No. 9",0889,14,0,14,57,24.56%,7,7
"Judge, County Criminal Court No. 9",0890,164,103,267,1095,24.38%,108,108
"Judge, County Criminal Court No. 9",0891,317,243,560,1331,42.07%,251,251
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0892,115,86,201,808,24.88%,93,93
"Judge, County Criminal Court No. 9",0893,0,2,2,6,33.33%,0,0
"Judge, County Criminal Court No. 9",0894,0,3,3,0,0.00%,2,2
"Judge, County Criminal Court No. 9",0895,156,286,442,793,55.74%,210,210
"Judge, County Criminal Court No. 9",0896,370,297,667,1459,45.72%,282,282
"Judge, County Criminal Court No. 9",0897,252,297,549,1701,32.28%,352,352
"Judge, County Criminal Court No. 9",0898,0,0,0,3,0.00%,0,0
"Judge, County Criminal Court No. 9",0899,2,0,2,8,25.00%,0,0
"Judge, County Criminal Court No. 9",0900,0,2,2,10,20.00%,2,2
"Judge, County Criminal Court No. 9",0901,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0902,394,486,880,2139,41.14%,534,534
"Judge, County Criminal Court No. 9",0903,3,7,10,50,20.00%,2,2
"Judge, County Criminal Court No. 9",0904,1,0,1,7,14.29%,1,1
"Judge, County Criminal Court No. 9",0905,123,100,223,904,24.67%,111,111
"Judge, County Criminal Court No. 9",0906,8,6,14,25,56.00%,8,8
"Judge, County Criminal Court No. 9",0907,12,19,31,181,17.13%,9,9
"Judge, County Criminal Court No. 9",0908,0,1,1,0,0.00%,1,1
"Judge, County Criminal Court No. 9",0909,2,1,3,18,16.67%,1,1
"Judge, County Criminal Court No. 9",0910,25,24,49,217,22.58%,23,23
"Judge, County Criminal Court No. 9",0911,118,60,178,551,32.30%,126,126
"Judge, County Criminal Court No. 9",0912,316,201,517,1273,40.61%,360,360
"Judge, County Criminal Court No. 9",0913,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0914,169,179,348,701,49.64%,288,288
"Judge, County Criminal Court No. 9",0915,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0916,417,240,657,1491,44.06%,538,538
"Judge, County Criminal Court No. 9",0917,177,62,239,483,49.48%,157,157
"Judge, County Criminal Court No. 9",0918,304,168,472,883,53.45%,375,375
"Judge, County Criminal Court No. 9",0919,0,0,0,3,0.00%,0,0
"Judge, County Criminal Court No. 9",0920,22,12,34,71,47.89%,26,26
"Judge, County Criminal Court No. 9",0921,32,15,47,119,39.50%,36,36
"Judge, County Criminal Court No. 9",0922,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0923,470,137,607,1511,40.17%,478,478
"Judge, County Criminal Court No. 9",0924,0,0,0,0,0.00%,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0925,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0926,171,128,299,796,37.56%,240,240
"Judge, County Criminal Court No. 9",0927,44,30,74,270,27.41%,36,36
"Judge, County Criminal Court No. 9",0928,3,0,3,8,37.50%,0,0
"Judge, County Criminal Court No. 9",0929,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0930,109,54,163,584,27.91%,9,9
"Judge, County Criminal Court No. 9",0931,30,40,70,130,53.85%,40,40
"Judge, County Criminal Court No. 9",0932,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0933,115,85,200,627,31.90%,76,76
"Judge, County Criminal Court No. 9",0934,2,0,2,63,3.17%,1,1
"Judge, County Criminal Court No. 9",0935,3,2,5,54,9.26%,1,1
"Judge, County Criminal Court No. 9",0936,8,2,10,81,12.35%,5,5
"Judge, County Criminal Court No. 9",0937,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0938,30,14,44,231,19.05%,16,16
"Judge, County Criminal Court No. 9",0939,0,0,0,2,0.00%,0,0
"Judge, County Criminal Court No. 9",0940,0,0,0,10,0.00%,0,0
"Judge, County Criminal Court No. 9",0941,9,10,19,25,76.00%,18,18
"Judge, County Criminal Court No. 9",0942,53,27,80,156,51.28%,69,69
"Judge, County Criminal Court No. 9",0943,164,80,244,547,44.61%,168,168
"Judge, County Criminal Court No. 9",0944,20,4,24,45,53.33%,18,18
"Judge, County Criminal Court No. 9",0945,1,2,3,17,17.65%,2,2
"Judge, County Criminal Court No. 9",0946,0,1,1,13,7.69%,0,0
"Judge, County Criminal Court No. 9",0947,177,246,423,799,52.94%,234,234
"Judge, County Criminal Court No. 9",0948,0,14,14,1,1400.00%,10,10
"Judge, County Criminal Court No. 9",0949,34,27,61,193,31.61%,39,39
"Judge, County Criminal Court No. 9",0950,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 9",0951,33,30,63,277,22.74%,20,20
"Judge, County Criminal Court No. 9",0952,15,15,31,71,43.66%,21,21
"Judge, County Criminal Court No. 9",0953,18,9,27,275,9.82%,5,5
"Judge, County Criminal Court No. 9",0954,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 9",0955,3,2,5,19,26.32%,4,4
"Judge, County Criminal Court No. 9",0956,2,4,6,11,54.55%,3,3
"Judge, County Criminal Court No. 9",0957,97,95,192,562,34.16%,42,42
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0958,81,129,210,1081,19.43%,69,69
"Judge, County Criminal Court No. 9",0959,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0960,196,157,353,976,36.17%,107,107
"Judge, County Criminal Court No. 9",0961,15,0,16,56,28.57%,1,1
"Judge, County Criminal Court No. 9",0962,10,17,27,88,30.68%,7,7
"Judge, County Criminal Court No. 9",0963,54,41,105,426,24.65%,63,63
"Judge, County Criminal Court No. 9",0964,568,437,1005,2372,42.37%,660,660
"Judge, County Criminal Court No. 9",0965,31,21,52,343,15.16%,35,35
"Judge, County Criminal Court No. 9",0966,129,83,212,1148,18.47%,89,89
"Judge, County Criminal Court No. 9",0967,15,48,63,165,38.18%,23,23
"Judge, County Criminal Court No. 9",0968,119,30,149,692,21.53%,41,41
"Judge, County Criminal Court No. 9",0969,156,73,229,604,37.91%,15,15
"Judge, County Criminal Court No. 9",0970,83,36,119,731,16.28%,25,25
"Judge, County Criminal Court No. 9",0971,11,8,19,147,12.93%,3,3
"Judge, County Criminal Court No. 9",0972,e,8,14,31,45.16%,13,13
"Judge, County Criminal Court No. 9",0973,24,19,43,111,38.74%,22,22
"Judge, County Criminal Court No. 9",0974,57,36,93,299,31.10%,65,65
"Judge, County Criminal Court No. 9",0975,55,30,85,193,44.04%,44,44
"Judge, County Criminal Court No. 9",0976,68,62,130,683,19.03%,94,94
"Judge, County Criminal Court No. 9",0977,50,43,93,572,16.26%,48,48
"Judge, County Criminal Court No. 9",0978,77,79,156,546,28.57%,45,45
"Judge, County Criminal Court No. 9",0979,2,6,8,27,29.63%,4,4
"Judge, County Criminal Court No. 9",0980,280,321,601,1389,43.27%,473,473
"Judge, County Criminal Court No. 9",0981,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0982,312,312,624,1567,39.82%,524,524
"Judge, County Criminal Court No. 9",0983,11,21,32,161,19.88%,21,21
"Judge, County Criminal Court No. 9",0984,18,9,27,192,14.06%,6,6
"Judge, County Criminal Court No. 9",0985,117,63,180,351,51.28%,107,107
"Judge, County Criminal Court No. 9",0986,43,30,73,463,15.77%,16,16
"Judge, County Criminal Court No. 9",0987,231,90,321,1155,27.79%,47,47
"Judge, County Criminal Court No. 9",0988,24,12,36,123,29.27%,33,33
"Judge, County Criminal Court No. 9",0989,e,6,12,43,27.91%,7,7
"Judge, County Criminal Court No. 9",0990,16,1,17,140,12.14%,10,10
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0991,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 9",0992,157,107,264,1048,25.19%,158,158
"Judge, County Criminal Court No. 9",0993,169,101,270,568,47.54%,220,220
"Judge, County Criminal Court No. 9",0994,6,5,11,25,44.00%,2,2
"Judge, County Criminal Court No. 9",0995,295,156,451,1393,32.38%,55,55
"Judge, County Criminal Court No. 9",0996,135,140,275,694,39.63%,173,173
"Judge, County Criminal Court No. 9",0997,101,163,264,1656,15.94%,89,89
"Judge, County Criminal Court No. 9",0998,5,1,6,57,10.53%,3,3
"Judge, County Criminal Court No. 9",0999,17,10,27,68,39.71%,21,21
"Judge, County Criminal Court No. 9",1000,42,6,48,405,11.85%,17,17
"Judge, County Criminal Court No. 9",1001,228,136,364,1565,23.26%,126,126
"Judge, County Criminal Court No. 9",1002,170,139,309,1744,17.72%,76,76
"Judge, County Criminal Court No. 9",1003,1,0,1,0,0.00%,1,1
"Judge, County Criminal Court No. 9",1004,111,139,250,654,38.23%,130,130
"Judge, County Criminal Court No. 9",1005,0,8,8,0,0.00%,4,4
"Judge, County Criminal Court No. 9",1006,1,0,1,5,20.00%,1,1
"Judge, County Criminal Court No. 9",1007,208,188,396,1547,25.60%,124,124
"Judge, County Criminal Court No. 9",1008,32,12,44,151,29.14%,35,35
"Judge, County Criminal Court No. 9",1009,0,0,0,9,0.00%,0,0
"Judge, County Criminal Court No. 9",1010,59,35,94,459,20.48%,24,24
"Judge, County Criminal Court No. 9",1011,8,1,9,26,34.62%,7,7
"Judge, County Criminal Court No. 9",1012,134,201,335,1365,24.54%,117,117
"Judge, County Criminal Court No. 9",1013,0,6,6,58,10.34%,4,4
"Judge, County Criminal Court No. 9",1014,4,6,10,31,32.26%,1,1
"Judge, County Criminal Court No. 9",1015,5,4,9,25,36.00%,3,3
"Judge, County Criminal Court No. 9",1016,252,212,464,1691,27.44%,266,266
"Judge, County Criminal Court No. 9",1017,51,44,105,330,31.82%,39,39
"Judge, County Criminal Court No. 9",1018,93,64,157,494,31.78%,78,78
"Judge, County Criminal Court No. 9",1019,130,107,237,1456,16.28%,28,28
"Judge, County Criminal Court No. 9",1020,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 9",1021,0,0,0,2,0.00%,0,0
"Judge, County Criminal Court No. 9",1022,97,79,176,441,39.91%,140,140
"Judge, County Criminal Court No. 9",1023,430,315,745,2026,36.77%,559,559
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",1024,55,61,116,249,46.59%,65,65
"Judge, County Criminal Court No. 9",1025,0,1,1,14,7.14%,1,1
"Judge, County Criminal Court No. 9",1026,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1027,1,0,1,8,12.50%,1,1
"Judge, County Criminal Court No. 9",1028,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1029,537,719,1256,2927,42.91%,1039,1039
