Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0138,296,199,495,1699,29.13%,14,471,3,2,0,490
Governor,0139,700,551,1251,3037,41.19%,496,724,16,8,0,1244
Governor,0140,701,480,1181,3214,36.75%,132,1027,12,1,0,1172
Governor,0141,s0,80,160,855,18.71%,94,57,5,0,0,155
Governor,0142,87,103,190,902,21.06%,65,112,3,2,0,182
Governor,0143,1962,580,2542,6386,39.81%,1798,697,26,2,0,2523
Governor,0144,216,158,374,1093,34.22%,6,363,0,1,0,370
Governor,0145,264,213,477,1538,31.01%,10,454,0,0,0,464
Governor,0146,426,519,945,2008,47.06%,382,535,11,5,0,933
Governor,0147,689,329,1018,3008,33.84%,119,882,3,1,0,1005
Governor,0148,500,780,1280,2540,50.39%,449,802,15,3,0,1269
Governor,0149,1621,737,2358,7993,29.50%,1203,1111,32,1,0,2347
Governor,0150,236,169,405,1256,32.25%,13,387,0,1,0,401
Governor,0151,137,79,216,826,26.15%,9,201,1,0,0,211
Governor,0152,214,299,513,2788,18.40%,138,355,3,4,0,500
Governor,0153,125,206,331,1808,18.31%,101,213,7,2,0,323
Governor,0154,249,183,432,2190,19.73%,116,297,6,5,0,424
Governor,0155,1022,619,1641,4109,39.94%,1130,479,12,3,0,1624
Governor,0156,800,326,1126,3071,36.67%,43,1057,9,3,0,1112
Governor,0157,448,214,662,2236,29.61%,26,622,4,1,0,553
Governor,0158,600,315,915,3035,30.15%,28,870,4,2,0,904
Governor,0159,116,127,243,998,24.35%,35,207,1,0,0,243
Governor,0160,122,73,195,696,28.02%,8,183,2,1,0,194
Governor,0161,163,141,304,991,30.68%,5,289,0,0,0,294
Governor,0162,101,83,184,1265,14.55%,74,103,0,1,0,178
Governor,0163,230,320,550,3037,18.11%,237,292,1,2,0,532
Governor,0164,182,205,387,1420,27.25%,12,371,0,0,0,383
Governor,0165,535,483,1018,2334,43.62%,657,330,11,7,0,1005
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0166,158,233,391,1028,38.04%,100,274,10,2,0,386
Governor,0167,3,0,3,24,12.50%,0,3,0,0,0,3
