Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Harmon,DEM Harold J. Landreneau,Totals
"Judge, County Criminal Court No. 2",0678,166,108,274,735,37.28%,184,68,252
"Judge, County Criminal Court No. 2",0679,635,520,1155,3381,34.16%,891,213,1104
"Judge, County Criminal Court No. 2",0680,21,14,35,162,21.60%,13,21,34
"Judge, County Criminal Court No. 2",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 2",0682,711,654,1365,4216,32.38%,1019,300,1319
"Judge, County Criminal Court No. 2",0683,29,20,49,276,17.75%,9,35,44
"Judge, County Criminal Court No. 2",0684,27,22,49,223,21.97%,27,20,47
"Judge, County Criminal Court No. 2",0685,110,29,139,307,45.28%,64,65,129
"Judge, County Criminal Court No. 2",0686,17,12,29,208,13.94%,13,15,28
"Judge, County Criminal Court No. 2",0687,549,537,1085,2609,41.63%,741,274,1015
"Judge, County Criminal Court No. 2",0688,999,617,1616,3504,46.12%,1311,239,1550
"Judge, County Criminal Court No. 2",0689,211,387,598,2346,25.49%,309,258,567
"Judge, County Criminal Court No. 2",0690,926,1104,2030,5102,39.79%,1655,305,1960
"Judge, County Criminal Court No. 2",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Criminal Court No. 2",0692,444,548,992,2847,34.84%,753,198,951
"Judge, County Criminal Court No. 2",0693,167,91,258,666,38.74%,74,172,246
"Judge, County Criminal Court No. 2",0694,260,120,380,845,44.97%,263,93,356
"Judge, County Criminal Court No. 2",0695,232,193,425,1724,24.65%,274,136,410
"Judge, County Criminal Court No. 2",0696,261,207,468,1982,23.61%,303,141,444
"Judge, County Criminal Court No. 2",0697,605,613,1218,4413,27.60%,311,860,1171
"Judge, County Criminal Court No. 2",0698,448,489,937,3189,29.38%,106,807,913
"Judge, County Criminal Court No. 2",0699,568,414,982,2343,41.91%,671,248,919
"Judge, County Criminal Court No. 2",0700,255,251,506,1371,36.91%,431,53,484
"Judge, County Criminal Court No. 2",0701,56,43,99,588,16.84%,62,30,92
"Judge, County Criminal Court No. 2",0702,54,70,134,539,24.86%,19,113,132
"Judge, County Criminal Court No. 2",0703,372,490,862,1882,45.80%,643,175,818
"Judge, County Criminal Court No. 2",0704,569,599,1168,3064,38.12%,957,160,1117
"Judge, County Criminal Court No. 2",0705,114,113,227,1523,14.90%,32,186,218
"Judge, County Criminal Court No. 2",0706,115,71,186,610,30.49%,95,78,173
"Judge, County Criminal Court No. 2",0707,153,86,239,707,33.80%,157,66,223
"Judge, County Criminal Court No. 2",0708,54,52,106,563,18.83%,49,49,98
"Judge, County Criminal Court No. 2",0709,1375,947,2322,6848,33.91%,1427,826,2253
"Judge, County Criminal Court No. 2",0710,371,462,833,2082,40.01%,465,304,769
"Judge, County Criminal Court No. 2",0711,702,506,1208,3484,34.67%,752,387,1139
"Judge, County Criminal Court No. 2",0712,491,463,954,3670,25.99%,419,515,934
"Judge, County Criminal Court No. 2",0713,228,262,490,1907,25.69%,248,219,467
"Judge, County Criminal Court No. 2",0714,35,19,55,296,18.58%,34,19,53
"Judge, County Criminal Court No. 2",0715,176,187,363,1408,25.78%,209,135,344
"Judge, County Criminal Court No. 2",0716,449,407,856,2680,31.94%,614,219,833
"Judge, County Criminal Court No. 2",0717,373,250,623,2002,31.12%,77,532,609
"Judge, County Criminal Court No. 2",0718,1017,806,1823,4229,43.11%,1298,419,1717
"Judge, County Criminal Court No. 2",0719,247,137,384,1589,24.17%,236,131,367
"Judge, County Criminal Court No. 2",0720,994,780,1774,4282,41.43%,1352,360,1712
"Judge, County Criminal Court No. 2",0721,754,532,1286,2870,44.81%,861,358,1219
"Judge, County Criminal Court No. 2",0722,871,494,1365,4479,30.48%,104,1218,1322
"Judge, County Criminal Court No. 2",0723,401,202,603,1858,32.45%,135,444,579
"Judge, County Criminal Court No. 2",0724,151,128,279,766,36.42%,215,50,265
"Judge, County Criminal Court No. 2",0725,423,237,660,2237,29.50%,317,320,637
"Judge, County Criminal Court No. 2",0726,592,402,994,2087,47.63%,875,92,967
"Judge, County Criminal Court No. 2",0727,338,290,628,2488,25.24%,212,377,589
"Judge, County Criminal Court No. 2",0728,209,151,360,880,40.91%,223,113,336
"Judge, County Criminal Court No. 2",0729,136,59,195,464,42.03%,124,66,190
"Judge, County Criminal Court No. 2",0730,428,359,787,1747,45.05%,518,223,741
"Judge, County Criminal Court No. 2",0731,58,27,85,352,24.15%,28,55,83
"Judge, County Criminal Court No. 2",0732,441,324,765,1924,39.76%,483,239,722
"Judge, County Criminal Court No. 2",0733,13,7,20,215,9.30%,8,10,18
"Judge, County Criminal Court No. 2",0734,1558,962,2520,7005,35.97%,1759,682,2441
"Judge, County Criminal Court No. 2",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Criminal Court No. 2",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Criminal Court No. 2",0737,11,7,18,51,35.29%,14,4,18
"Judge, County Criminal Court No. 2",0738,139,100,239,1361,17.56%,47,184,231
"Judge, County Criminal Court No. 2",0739,353,301,654,2955,22.13%,342,283,625
"Judge, County Criminal Court No. 2",0740,98,98,194,939,20.66%,134,52,186
"Judge, County Criminal Court No. 2",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Criminal Court No. 2",0743,15,18,33,210,15.71%,18,13,31
"Judge, County Criminal Court No. 2",0744,456,392,848,2027,41.84%,565,230,795
"Judge, County Criminal Court No. 2",0745,683,372,1055,2494,42.30%,655,350,1005
"Judge, County Criminal Court No. 2",0746,114,77,191,691,27.64%,92,96,188
"Judge, County Criminal Court No. 2",0747,550,467,1017,3743,27.17%,511,477,988
"Judge, County Criminal Court No. 2",0748,170,140,310,1403,22.10%,161,135,296
"Judge, County Criminal Court No. 2",0749,30,17,47,377,12.47%,10,35,45
"Judge, County Criminal Court No. 2",0750,111,96,207,767,26.99%,129,74,203
"Judge, County Criminal Court No. 2",0751,925,964,1889,5084,37.16%,1265,546,1811
"Judge, County Criminal Court No. 2",0752,286,200,486,1483,32.77%,377,89,466
"Judge, County Criminal Court No. 2",0753,55,73,128,259,49.42%,81,39,120
"Judge, County Criminal Court No. 2",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0755,442,584,1026,4294,23.89%,468,515,983
"Judge, County Criminal Court No. 2",0756,251,177,428,1600,26.75%,172,237,409
"Judge, County Criminal Court No. 2",0757,520,508,1028,4035,25.48%,193,803,996
"Judge, County Criminal Court No. 2",0758,1114,692,1806,4096,44.09%,1468,273,1741
"Judge, County Criminal Court No. 2",0759,465,413,878,2730,32.16%,565,278,843
"Judge, County Criminal Court No. 2",0760,1432,639,2071,4367,47.42%,1742,239,1981
"Judge, County Criminal Court No. 2",0761,548,253,801,1550,51.68%,578,169,747
"Judge, County Criminal Court No. 2",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0763,108,146,254,1212,20.96%,107,134,241
"Judge, County Criminal Court No. 2",0764,1133,774,1907,5217,36.55%,1220,622,1842
"Judge, County Criminal Court No. 2",0765,647,426,1073,4055,26.46%,461,557,1018
"Judge, County Criminal Court No. 2",0766,40,25,65,392,16.58%,17,40,57
"Judge, County Criminal Court No. 2",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Criminal Court No. 2",0768,1359,1015,2374,5857,40.53%,1954,351,2305
"Judge, County Criminal Court No. 2",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Criminal Court No. 2",0770,31,25,56,323,17.34%,27,25,52
"Judge, County Criminal Court No. 2",0771,324,254,578,2426,23.83%,346,212,558
"Judge, County Criminal Court No. 2",0772,1792,851,2643,5709,46.30%,2038,483,2521
"Judge, County Criminal Court No. 2",0773,473,312,785,2918,26.90%,220,499,719
"Judge, County Criminal Court No. 2",0774,30,41,71,378,18.78%,15,54,69
"Judge, County Criminal Court No. 2",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Criminal Court No. 2",0776,551,496,1047,3053,34.29%,622,376,998
"Judge, County Criminal Court No. 2",0777,46,40,86,652,13.19%,32,52,84
"Judge, County Criminal Court No. 2",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0779,64,51,115,940,12.23%,42,68,110
"Judge, County Criminal Court No. 2",0780,63,59,122,595,20.50%,71,47,118
"Judge, County Criminal Court No. 2",0781,666,273,939,3603,26.06%,440,404,844
"Judge, County Criminal Court No. 2",0782,368,370,738,2236,33.01%,467,240,707
"Judge, County Criminal Court No. 2",0783,49,13,62,294,21.09%,46,14,60
"Judge, County Criminal Court No. 2",0784,208,128,336,1079,31.14%,10,310,320
"Judge, County Criminal Court No. 2",0785,28,25,53,296,17.91%,31,22,53
"Judge, County Criminal Court No. 2",0786,100,98,198,1251,15.83%,79,112,191
"Judge, County Criminal Court No. 2",0787,46,52,98,488,20.08%,34,60,94
"Judge, County Criminal Court No. 2",0788,74,32,106,454,23.35%,52,52,104
"Judge, County Criminal Court No. 2",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Criminal Court No. 2",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0792,269,239,508,1865,27.24%,124,359,483
"Judge, County Criminal Court No. 2",0793,448,247,695,2484,27.98%,433,242,675
"Judge, County Criminal Court No. 2",0794,124,144,268,2710,9.89%,35,224,259
"Judge, County Criminal Court No. 2",0795,90,125,215,1217,17.67%,78,125,203
"Judge, County Criminal Court No. 2",0796,83,51,134,476,28.15%,76,53,129
"Judge, County Criminal Court No. 2",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0798,99,111,210,500,42.00%,84,114,198
"Judge, County Criminal Court No. 2",0799,28,15,43,161,26.71%,8,35,43
"Judge, County Criminal Court No. 2",0800,588,642,1230,2932,41.95%,850,317,1167
"Judge, County Criminal Court No. 2",0801,32,14,46,258,17.83%,16,26,42
"Judge, County Criminal Court No. 2",0802,51,27,78,312,25.00%,16,60,76
"Judge, County Criminal Court No. 2",0803,725,511,1236,2893,42.72%,925,268,1193
"Judge, County Criminal Court No. 2",0804,932,591,1523,4768,31.94%,977,501,1478
"Judge, County Criminal Court No. 2",0805,765,533,1298,2866,45.29%,1064,189,1253
"Judge, County Criminal Court No. 2",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0807,211,204,415,2028,20.46%,95,302,397
"Judge, County Criminal Court No. 2",0808,12,17,29,131,22.14%,10,18,28
"Judge, County Criminal Court No. 2",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Criminal Court No. 2",0810,9,16,25,211,11.85%,8,16,24
"Judge, County Criminal Court No. 2",0811,29,50,79,270,29.26%,27,50,77
"Judge, County Criminal Court No. 2",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0813,938,761,1699,5807,29.26%,858,789,1647
"Judge, County Criminal Court No. 2",0814,673,533,1206,5102,23.64%,316,851,1167
"Judge, County Criminal Court No. 2",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Criminal Court No. 2",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0818,86,39,125,616,20.29%,29,91,120
"Judge, County Criminal Court No. 2",0819,64,30,94,240,39.17%,53,30,83
"Judge, County Criminal Court No. 2",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0821,124,120,244,1242,19.65%,32,202,234
"Judge, County Criminal Court No. 2",0822,332,167,499,1535,32.51%,14,466,480
"Judge, County Criminal Court No. 2",0823,821,564,1385,5087,27.23%,810,530,1340
"Judge, County Criminal Court No. 2",0824,428,282,710,2700,26.30%,163,526,689
"Judge, County Criminal Court No. 2",0825,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0826,73,50,123,358,34.36%,65,48,113
"Judge, County Criminal Court No. 2",0827,60,98,158,979,16.14%,77,75,152
"Judge, County Criminal Court No. 2",0828,541,388,929,1916,48.49%,752,132,884
"Judge, County Criminal Court No. 2",0829,54,22,76,264,28.79%,20,54,74
"Judge, County Criminal Court No. 2",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0832,34,28,62,352,17.61%,17,42,59
"Judge, County Criminal Court No. 2",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Criminal Court No. 2",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0835,38,19,57,290,19.66%,12,40,52
"Judge, County Criminal Court No. 2",0836,3,0,3,19,15.79%,2,1,3
"Judge, County Criminal Court No. 2",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0839,136,118,254,1128,22.52%,56,187,243
"Judge, County Criminal Court No. 2",0840,381,174,555,1705,32.55%,193,349,542
"Judge, County Criminal Court No. 2",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0842,421,434,855,3259,26.24%,405,414,819
"Judge, County Criminal Court No. 2",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 2",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Criminal Court No. 2",0845,54,9,63,134,47.01%,38,21,59
"Judge, County Criminal Court No. 2",0846,23,24,47,229,20.52%,3,42,45
"Judge, County Criminal Court No. 2",0847,305,211,516,2015,25.61%,144,354,498
"Judge, County Criminal Court No. 2",0848,489,266,755,1856,40.68%,226,492,718
"Judge, County Criminal Court No. 2",0849,201,291,492,2124,23.16%,196,276,472
"Judge, County Criminal Court No. 2",0850,45,41,87,210,41.43%,32,53,85
"Judge, County Criminal Court No. 2",0851,1029,657,1686,4709,35.80%,1144,473,1617
"Judge, County Criminal Court No. 2",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0853,575,620,1296,2882,44.97%,1006,230,1236
"Judge, County Criminal Court No. 2",0854,15,26,41,172,23.84%,7,32,39
"Judge, County Criminal Court No. 2",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Criminal Court No. 2",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 2",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0858,63,34,97,343,28.28%,3,90,93
"Judge, County Criminal Court No. 2",0859,157,108,283,890,29.55%,70,188,258
"Judge, County Criminal Court No. 2",0880,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0881,315,199,514,1842,27.90%,89,410,499
"Judge, County Criminal Court No. 2",0882,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0883,101,54,155,584,28.54%,7,147,154
"Judge, County Criminal Court No. 2",0884,193,299,492,2589,19.15%,145,323,488
"Judge, County Criminal Court No. 2",0885,2,3,5,21,23.81%,0,5,5
"Judge, County Criminal Court No. 2",0888,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0887,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0888,238,271,507,2328,21.80%,170,318,488
"Judge, County Criminal Court No. 2",0889,53,39,92,470,19.57%,25,84,89
"Judge, County Criminal Court No. 2",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Criminal Court No. 2",0872,5,3,8,59,13.58%,4,4,8
"Judge, County Criminal Court No. 2",0873,98,75,173,737,23.47%,45,124,189
"Judge, County Criminal Court No. 2",0874,783,707,1470,3223,45.81%,1125,288,1411
"Judge, County Criminal Court No. 2",0875,904,527,1431,5147,27.80%,712,874,1388
"Judge, County Criminal Court No. 2",0878,898,841,1339,3285,41.01%,1035,283,1298
"Judge, County Criminal Court No. 2",0877,478,382,858,3032,28.30%,357,480,837
"Judge, County Criminal Court No. 2",0878,427,354,781,1888,48.88%,855,103,758
"Judge, County Criminal Court No. 2",0879,407,294,701,2887,28.28%,387,299,888
"Judge, County Criminal Court No. 2",0880,543,447,990,2352,42.09%,805,150,955
"Judge, County Criminal Court No. 2",0881,593,540,1133,4479,25.30%,402,899,1101
"Judge, County Criminal Court No. 2",0882,428,291,717,2422,29.80%,438,258,892
"Judge, County Criminal Court No. 2",0883,843,702,1345,5408,24.87%,245,1083,1308
"Judge, County Criminal Court No. 2",0884,57,25,82,377,21.75%,9,70,79
"Judge, County Criminal Court No. 2",0885,582,388,930,2819,35.51%,557,349,908
"Judge, County Criminal Court No. 2",0888,128,108,238,875,34.98%,140,80,220
"Judge, County Criminal Court No. 2",0887,50,87,117,418,27.99%,58,51,107
"Judge, County Criminal Court No. 2",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 2",0889,14,0,14,57,24.58%,5,8,13
"Judge, County Criminal Court No. 2",0890,184,103,287,1095,24.38%,88,157,245
"Judge, County Criminal Court No. 2",0891,317,243,580,1331,42.07%,224,297,521
"Judge, County Criminal Court No. 2",0892,115,86,201,808,24.88%,73,117,190
"Judge, County Criminal Court No. 2",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Criminal Court No. 2",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 2",0895,156,286,442,793,55.74%,194,203,397
"Judge, County Criminal Court No. 2",0896,370,297,667,1459,45.72%,261,353,614
"Judge, County Criminal Court No. 2",0897,252,297,549,1701,32.28%,322,207,529
"Judge, County Criminal Court No. 2",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Criminal Court No. 2",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Criminal Court No. 2",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0902,394,486,880,2139,41.14%,492,330,822
"Judge, County Criminal Court No. 2",0903,3,7,10,50,20.00%,2,6,8
"Judge, County Criminal Court No. 2",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Criminal Court No. 2",0905,123,100,223,904,24.67%,101,108,209
"Judge, County Criminal Court No. 2",0906,8,6,14,25,56.00%,8,4,12
"Judge, County Criminal Court No. 2",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Criminal Court No. 2",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 2",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Criminal Court No. 2",0910,25,24,49,217,22.58%,20,26,46
"Judge, County Criminal Court No. 2",0911,118,60,178,551,32.30%,121,49,170
"Judge, County Criminal Court No. 2",0912,316,201,517,1273,40.61%,341,148,489
"Judge, County Criminal Court No. 2",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0914,169,179,348,701,49.64%,285,50,335
"Judge, County Criminal Court No. 2",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0916,417,240,657,1491,44.06%,530,104,634
"Judge, County Criminal Court No. 2",0917,177,62,239,483,49.48%,160,61,221
"Judge, County Criminal Court No. 2",0918,304,168,472,883,53.45%,368,80,448
"Judge, County Criminal Court No. 2",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Criminal Court No. 2",0921,32,15,47,119,39.50%,34,12,46
"Judge, County Criminal Court No. 2",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0923,470,137,607,1511,40.17%,455,134,589
"Judge, County Criminal Court No. 2",0924,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0926,171,128,299,796,37.56%,229,60,289
"Judge, County Criminal Court No. 2",0927,44,30,74,270,27.41%,31,36,67
"Judge, County Criminal Court No. 2",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Criminal Court No. 2",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0930,109,54,163,584,27.91%,6,154,160
"Judge, County Criminal Court No. 2",0931,30,40,70,130,53.85%,37,23,60
"Judge, County Criminal Court No. 2",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0933,115,85,200,627,31.90%,59,134,193
"Judge, County Criminal Court No. 2",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Criminal Court No. 2",0935,3,2,5,54,9.26%,3,1,4
"Judge, County Criminal Court No. 2",0936,s,2,10,81,12.35%,3,6,9
"Judge, County Criminal Court No. 2",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0938,30,14,44,231,19.05%,15,28,43
"Judge, County Criminal Court No. 2",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Criminal Court No. 2",0942,53,27,80,156,51.28%,67,10,77
"Judge, County Criminal Court No. 2",0943,164,80,244,547,44.61%,173,55,228
"Judge, County Criminal Court No. 2",0944,20,4,24,45,53.33%,20,0,20
"Judge, County Criminal Court No. 2",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Criminal Court No. 2",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Criminal Court No. 2",0947,177,246,423,799,52.94%,224,174,398
"Judge, County Criminal Court No. 2",0948,0,14,14,1,1400.00%,9,2,11
"Judge, County Criminal Court No. 2",0949,34,27,61,193,31.61%,33,28,61
"Judge, County Criminal Court No. 2",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Criminal Court No. 2",0952,15,15,31,71,43.66%,16,13,29
"Judge, County Criminal Court No. 2",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Criminal Court No. 2",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Criminal Court No. 2",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Criminal Court No. 2",0957,97,95,192,562,34.16%,25,164,189
"Judge, County Criminal Court No. 2",0958,81,129,210,1081,19.43%,55,149,204
"Judge, County Criminal Court No. 2",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0960,196,157,353,976,36.17%,69,271,340
"Judge, County Criminal Court No. 2",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Criminal Court No. 2",0962,10,17,27,88,30.68%,3,24,27
"Judge, County Criminal Court No. 2",0963,54,41,105,426,24.65%,56,44,100
"Judge, County Criminal Court No. 2",0964,568,437,1005,2372,42.37%,620,348,968
"Judge, County Criminal Court No. 2",0965,31,21,52,343,15.16%,29,22,51
"Judge, County Criminal Court No. 2",0966,129,83,212,1148,18.47%,78,129,207
"Judge, County Criminal Court No. 2",0967,15,48,63,165,38.18%,19,43,62
"Judge, County Criminal Court No. 2",0968,119,30,149,692,21.53%,32,113,145
"Judge, County Criminal Court No. 2",0969,156,73,229,604,37.91%,1,226,227
"Judge, County Criminal Court No. 2",0970,83,36,119,731,16.28%,18,98,116
"Judge, County Criminal Court No. 2",0971,11,8,19,147,12.93%,2,15,17
"Judge, County Criminal Court No. 2",09726,8,14,31,45.16%,13,0,13
"Judge, County Criminal Court No. 2",0973,24,19,43,111,38.74%,21,18,39
"Judge, County Criminal Court No. 2",0974,57,36,93,299,31.10%,59,32,91
"Judge, County Criminal Court No. 2",0975,55,30,85,193,44.04%,41,38,79
"Judge, County Criminal Court No. 2",0976,58,62,130,683,19.03%,89,39,128
"Judge, County Criminal Court No. 2",0977,50,43,93,572,16.26%,42,50,92
"Judge, County Criminal Court No. 2",0978,77,79,156,546,28.57%,31,122,153
"Judge, County Criminal Court No. 2",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Criminal Court No. 2",0980,280,321,601,1389,43.27%,456,117,573
"Judge, County Criminal Court No. 2",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0982,312,312,624,1567,39.82%,513,87,600
"Judge, County Criminal Court No. 2",0983,11,21,32,161,19.88%,20,12,32
"Judge, County Criminal Court No. 2",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Criminal Court No. 2",0985,117,63,180,351,51.28%,97,71,168
"Judge, County Criminal Court No. 2",0986,43,30,73,463,15.77%,12,60,72
"Judge, County Criminal Court No. 2",0987,231,90,321,1155,27.79%,30,282,312
"Judge, County Criminal Court No. 2",0988,24,12,36,123,29.27%,33,3,36
"Judge, County Criminal Court No. 2",09896,6,12,43,27.91%,8,4,12
"Judge, County Criminal Court No. 2",0990,16,1,17,140,12.14%,8,8,16
"Judge, County Criminal Court No. 2",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0992,157,107,264,1048,25.19%,151,98,249
"Judge, County Criminal Court No. 2",0993,169,101,270,568,47.54%,223,37,260
"Judge, County Criminal Court No. 2",09946,5,11,25,44.00%,2,9,11
"Judge, County Criminal Court No. 2",0995,295,156,451,1393,32.38%,29,410,439
"Judge, County Criminal Court No. 2",0996,135,140,275,694,39.63%,159,96,255
"Judge, County Criminal Court No. 2",0997,101,163,264,1656,15.94%,59,201,260
"Judge, County Criminal Court No. 2",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Criminal Court No. 2",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Criminal Court No. 2",1000,42,6,48,405,11.85%,13,34,47
"Judge, County Criminal Court No. 2",1001,228,136,364,1565,23.26%,98,249,347
"Judge, County Criminal Court No. 2",1002,170,139,309,1744,17.72%,57,235,292
"Judge, County Criminal Court No. 2",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 2",1004,111,139,250,654,38.23%,123,104,227
"Judge, County Criminal Court No. 2",1005,0,8,8,0,0.00%,3,4,7
"Judge, County Criminal Court No. 2",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 2",1007,208,188,396,1547,25.60%,96,284,380
"Judge, County Criminal Court No. 2",1008,32,12,44,151,29.14%,34,8,42
"Judge, County Criminal Court No. 2",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Criminal Court No. 2",1010,59,35,94,459,20.48%,16,76,92
"Judge, County Criminal Court No. 2",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Criminal Court No. 2",1012,134,201,335,1365,24.54%,103,223,326
"Judge, County Criminal Court No. 2",1013,0,6,6,58,10.34%,4,2,6
"Judge, County Criminal Court No. 2",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Criminal Court No. 2",1015,5,4,9,25,36.00%,3,5,8
"Judge, County Criminal Court No. 2",1016,252,212,464,1691,27.44%,235,210,445
"Judge, County Criminal Court No. 2",1017,51,44,105,330,31.82%,32,71,103
"Judge, County Criminal Court No. 2",1018,93,64,157,494,31.78%,72,80,152
"Judge, County Criminal Court No. 2",1019,130,107,237,1456,16.28%,12,221,233
"Judge, County Criminal Court No. 2",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 2",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 2",1022,97,79,176,441,39.91%,131,34,165
"Judge, County Criminal Court No. 2",1023,430,315,745,2026,36.77%,537,176,713
"Judge, County Criminal Court No. 2",1024,55,61,116,249,46.59%,63,41,104
"Judge, County Criminal Court No. 2",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Criminal Court No. 2",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",1027,1,0,1,8,12.50%,1,0,1
"Judge, County Criminal Court No. 2",1028,0,0,0,0,0.00%,0,0,0
