Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Harmon,DEM Harold J. Landreneau,Totals
"Judge, County Criminal Court No. 2",0180,470,343,813,2834,28.69%,26,751,777
"Judge, County Criminal Court No. 2",0181,175,262,437,2061,21.20%,147,267,414
"Judge, County Criminal Court No. 2",0182,590,974,1564,3405,45.93%,980,446,1426
"Judge, County Criminal Court No. 2",0183,519,794,1313,2491,52.71%,898,316,1214
"Judge, County Criminal Court No. 2",0184,106,135,241,994,24.25%,89,130,219
"Judge, County Criminal Court No. 2",0185,283,292,575,1933,29.75%,216,334,550
"Judge, County Criminal Court No. 2",0186,97,106,203,798,25.44%,36,159,195
"Judge, County Criminal Court No. 2",0187,21,25,46,311,14.79%,14,30,44
"Judge, County Criminal Court No. 2",0188,153,146,299,1637,18.27%,138,144,282
"Judge, County Criminal Court No. 2",0189,239,360,599,1465,40.89%,318,233,551
"Judge, County Criminal Court No. 2",0190,120,177,297,1723,17.24%,135,149,284
"Judge, County Criminal Court No. 2",0191,79,126,205,1366,15.01%,90,106,196
"Judge, County Criminal Court No. 2",0192,380,225,605,1959,30.88%,29,559,588
"Judge, County Criminal Court No. 2",0193,173,187,360,1074,33.52%,9,337,346
"Judge, County Criminal Court No. 2",0194,350,431,781,1912,40.85%,247,486,733
"Judge, County Criminal Court No. 2",0195,269,278,547,1694,32.29%,22,509,531
"Judge, County Criminal Court No. 2",0196,52,32,84,316,26.58%,5,77,82
"Judge, County Criminal Court No. 2",0197,543,309,852,2914,29.24%,13,820,833
"Judge, County Criminal Court No. 2",0198,53,74,127,642,19.78%,2,122,124
"Judge, County Criminal Court No. 2",0199,812,661,1473,3216,45.80%,1156,254,1410
"Judge, County Criminal Court No. 2",0200,962,536,1498,3382,44.29%,697,691,1388
"Judge, County Criminal Court No. 2",0201,98,87,185,724,25.55%,3,177,180
"Judge, County Criminal Court No. 2",0202,217,189,406,1464,27.73%,13,383,396
"Judge, County Criminal Court No. 2",0203,107,68,175,960,18.23%,43,122,165
"Judge, County Criminal Court No. 2",0204,816,784,1600,3487,45.88%,905,578,1483
"Judge, County Criminal Court No. 2",0205,464,171,635,1664,38.16%,12,611,623
"Judge, County Criminal Court No. 2",0206,362,462,824,2779,29.65%,247,526,773
"Judge, County Criminal Court No. 2",0207,265,261,526,1188,44.28%,174,317,491
"Judge, County Criminal Court No. 2",0208,322,262,584,2195,26.61%,182,373,555
"Judge, County Criminal Court No. 2",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Criminal Court No. 2",0210,502,467,969,2533,38.26%,107,830,937
"Judge, County Criminal Court No. 2",0211,307,386,693,2914,23.78%,262,390,652
"Judge, County Criminal Court No. 2",0212,96,155,251,1300,19.31%,56,185,241
"Judge, County Criminal Court No. 2",0213,826,913,1739,3350,51.91%,1399,223,1622
"Judge, County Criminal Court No. 2",0214,404,491,895,1854,48.27%,586,251,837
"Judge, County Criminal Court No. 2",0215,421,711,1132,2258,50.13%,692,347,1039
"Judge, County Criminal Court No. 2",0216,362,223,585,1945,30.08%,40,533,573
"Judge, County Criminal Court No. 2",0217,844,631,1475,2678,55.08%,1000,360,1360
"Judge, County Criminal Court No. 2",0218,391,402,793,2292,34.60%,263,475,738
"Judge, County Criminal Court No. 2",0219,496,436,932,2767,33.68%,50,842,892
"Judge, County Criminal Court No. 2",0220,325,187,512,2310,22.16%,377,118,495
"Judge, County Criminal Court No. 2",0221,332,369,701,2529,27.72%,306,353,659
"Judge, County Criminal Court No. 2",0222,623,674,1297,2501,51.86%,645,546,1191
"Judge, County Criminal Court No. 2",0223,563,377,940,3582,26.24%,267,615,882
"Judge, County Criminal Court No. 2",0224,530,456,986,2238,44.06%,477,434,911
"Judge, County Criminal Court No. 2",0225,376,405,781,3305,23.63%,397,351,748
"Judge, County Criminal Court No. 2",0226,227,307,534,2436,21.92%,136,371,507
"Judge, County Criminal Court No. 2",0227,558,423,981,1785,54.96%,761,144,905
"Judge, County Criminal Court No. 2",0228,362,195,557,1050,53.05%,32,503,535
"Judge, County Criminal Court No. 2",0229,31,96,127,815,15.58%,59,61,120
"Judge, County Criminal Court No. 2",0230,185,116,301,1089,27.64%,7,284,291
"Judge, County Criminal Court No. 2",0231,233,264,497,2232,22.27%,131,338,469
"Judge, County Criminal Court No. 2",0232,351,474,835,1760,47.44%,481,295,776
"Judge, County Criminal Court No. 2",0233,890,801,1691,4445,38.04%,837,712,1549
"Judge, County Criminal Court No. 2",0234,1192,913,2105,3993,52.72%,1641,320,1961
"Judge, County Criminal Court No. 2",0235,240,158,398,1356,29.35%,12,374,386
"Judge, County Criminal Court No. 2",0236,354,235,589,2079,28.33%,15,558,573
"Judge, County Criminal Court No. 2",0237,415,253,669,2161,30.96%,10,641,651
"Judge, County Criminal Court No. 2",0238,339,245,584,1925,30.34%,18,553,571
"Judge, County Criminal Court No. 2",0239,383,236,619,1964,31.52%,23,585,608
"Judge, County Criminal Court No. 2",0240,585,243,828,2649,31.26%,17,793,810
"Judge, County Criminal Court No. 2",0241,222,229,451,2372,19.01%,189,242,431
"Judge, County Criminal Court No. 2",0242,173,162,335,1596,20.99%,203,117,320
"Judge, County Criminal Court No. 2",0243,138,43,181,457,39.61%,1,179,180
"Judge, County Criminal Court No. 2",0244,480,425,905,3117,29.03%,505,356,861
"Judge, County Criminal Court No. 2",0245,945,799,1745,5828,29.94%,1235,470,1705
"Judge, County Criminal Court No. 2",0246,584,513,1197,3315,36.11%,857,300,1157
"Judge, County Criminal Court No. 2",0247,173,254,427,1582,26.99%,13,409,422
"Judge, County Criminal Court No. 2",0248,161,167,328,2100,15.62%,94,217,311
"Judge, County Criminal Court No. 2",0249,461,348,809,2719,29.75%,569,213,782
"Judge, County Criminal Court No. 2",0250,109,164,273,964,28.32%,8,260,268
"Judge, County Criminal Court No. 2",0251,278,436,714,2089,34.18%,28,672,700
"Judge, County Criminal Court No. 2",0252,504,312,816,2377,34.33%,14,784,798
"Judge, County Criminal Court No. 2",0253,379,222,601,2177,27.61%,10,576,586
"Judge, County Criminal Court No. 2",0254,93,112,205,1550,13.23%,70,126,196
"Judge, County Criminal Court No. 2",0255,525,648,1173,2482,47.26%,560,523,1083
"Judge, County Criminal Court No. 2",0256,575,449,1024,3254,31.47%,493,466,959
"Judge, County Criminal Court No. 2",0257,204,245,449,2523,17.80%,142,287,429
"Judge, County Criminal Court No. 2",0258,839,800,1539,3322,49.34%,1220,307,1527
"Judge, County Criminal Court No. 2",0259,555,382,1038,2361,43.96%,32,975,1007
"Judge, County Criminal Court No. 2",0260,152,145,307,1260,24.37%,179,106,285
"Judge, County Criminal Court No. 2",0261,124,120,244,1417,17.22%,104,131,235
"Judge, County Criminal Court No. 2",0262,758,600,1358,4397,30.88%,857,415,1272
"Judge, County Criminal Court No. 2",0263,858,712,1570,3693,42.51%,1220,298,1518
"Judge, County Criminal Court No. 2",0264,480,457,937,2963,31.62%,588,287,875
"Judge, County Criminal Court No. 2",0265,988,759,1747,3584,48.74%,1349,284,1633
"Judge, County Criminal Court No. 2",0266,259,257,516,2104,24.52%,265,220,485
"Judge, County Criminal Court No. 2",0267,146,166,312,1327,23.51%,162,127,289
"Judge, County Criminal Court No. 2",0268,435,717,1152,2493,46.21%,674,357,1031
"Judge, County Criminal Court No. 2",0269,702,453,1155,2030,56.90%,928,161,1089
"Judge, County Criminal Court No. 2",0270,817,672,1489,3605,41.30%,846,556,1402
"Judge, County Criminal Court No. 2",0271,656,382,1038,2518,41.22%,29,994,1023
"Judge, County Criminal Court No. 2",0272,264,292,556,2162,25.72%,222,305,527
"Judge, County Criminal Court No. 2",0273,548,689,1237,2470,50.08%,1016,157,1173
"Judge, County Criminal Court No. 2",0274,588,346,934,2153,43.38%,654,217,871
"Judge, County Criminal Court No. 2",0275,207,236,443,1850,23.95%,112,313,425
"Judge, County Criminal Court No. 2",0276,572,231,803,2536,31.66%,9,775,784
"Judge, County Criminal Court No. 2",0277,170,186,356,1492,23.86%,172,166,338
"Judge, County Criminal Court No. 2",0278,421,320,741,2454,30.20%,425,285,710
"Judge, County Criminal Court No. 2",0279,250,223,473,1941,24.37%,289,167,456
"Judge, County Criminal Court No. 2",0280,130,188,318,1524,20.87%,141,160,301
"Judge, County Criminal Court No. 2",0281,655,742,1397,2633,53.06%,694,557,1251
"Judge, County Criminal Court No. 2",0282,314,455,769,2042,37.66%,492,231,723
"Judge, County Criminal Court No. 2",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0284,574,336,910,3172,28.69%,427,443,870
"Judge, County Criminal Court No. 2",0285,448,378,826,2540,32.52%,79,717,796
"Judge, County Criminal Court No. 2",0286,1255,821,2076,6170,33.65%,197,1810,2007
"Judge, County Criminal Court No. 2",0287,370,477,847,1621,52.25%,421,367,788
"Judge, County Criminal Court No. 2",0288,532,313,845,2210,38.24%,17,814,831
"Judge, County Criminal Court No. 2",0289,186,212,398,1564,25.45%,206,168,374
"Judge, County Criminal Court No. 2",0290,245,298,543,1642,33.07%,408,117,525
"Judge, County Criminal Court No. 2",0291,325,235,560,1225,45.71%,290,232,522
"Judge, County Criminal Court No. 2",0292,207,147,354,1356,26.11%,41,304,345
"Judge, County Criminal Court No. 2",0293,356,447,803,1759,45.65%,379,369,748
"Judge, County Criminal Court No. 2",0294,488,221,709,2097,33.81%,8,686,694
"Judge, County Criminal Court No. 2",0295,148,103,251,885,28.36%,7,238,245
"Judge, County Criminal Court No. 2",0296,327,340,667,1713,38.94%,389,224,613
"Judge, County Criminal Court No. 2",0297,280,249,529,2012,26.29%,237,257,494
"Judge, County Criminal Court No. 2",0298,415,358,773,2121,36.45%,462,264,726
"Judge, County Criminal Court No. 2",0299,178,117,295,1353,21.80%,115,157,272
"Judge, County Criminal Court No. 2",0300,1389,1016,2405,5406,44.49%,1923,381,2304
"Judge, County Criminal Court No. 2",0301,210,255,465,2352,19.77%,192,248,440
"Judge, County Criminal Court No. 2",0302,353,343,696,2720,25.59%,415,255,670
"Judge, County Criminal Court No. 2",0303,922,784,1706,3245,52.57%,1392,230,1622
"Judge, County Criminal Court No. 2",0304,606,505,1111,2298,48.35%,633,389,1022
"Judge, County Criminal Court No. 2",0305,524,432,956,4191,22.81%,406,518,924
