Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Sitton,DEM Steve Brown,LIB Mark A. Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0611,495,242,737,2488,29.62%,20,695,5,3,723
Railroad Commissioner,0612,996,497,1493,3307,45.15%,1126,272,34,16,1448
Railroad Commissioner,0613,186,204,390,1554,25.10%,60,312,6,7,385
Railroad Commissioner,0514,737,555,1303,4207,30.97%,491,747,15,17,1270
Railroad Commissioner,0615,450,299,779,1967,39.60%,488,245,19,11,763
Railroad Commissioner,0616,739,663,1402,3436,40.80%,977,348,30,14,1369
Railroad Commissioner,0617,541,393,934,3809,24.52%,375,516,19,13,923
Railroad Commissioner,0618,946,567,1513,6003,25.20%,736,683,29,30,1478
Railroad Commissioner,0619,1219,803,2022,4297,47.06%,1495,390,60,29,1974
Railroad Commissioner,0620,689,264,953,2897,32.90%,614,299,10,7,930
Railroad Commissioner,0621,154,101,255,1133,22.51%,131,108,5,4,248
Railroad Commissioner,0622,881,524,1405,4403,31.91%,844,468,36,22,1370
Railroad Commissioner,0623,887,487,1374,3691,37.23%,940,362,22,17,1341
Railroad Commissioner,0624,1,1,2,3,66.67%,1,1,0,0,2
Railroad Commissioner,0625,477,362,839,1820,46.10%,475,304,25,10,814
Railroad Commissioner,0626,551,440,1021,2861,35.69%,566,381,25,12,984
Railroad Commissioner,0627,345,322,668,3049,21.91%,236,382,11,18,647
Railroad Commissioner,0628,152,219,371,1675,22.15%,191,162,6,5,364
Railroad Commissioner,0629,37,53,90,696,12.93%,15,72,1,2,90
Railroad Commissioner,0630,975,600,1576,3905,40.36%,102,1416,17,17,1552
Railroad Commissioner,0631,822,404,1226,2846,43.08%,894,277,24,11,1206
Railroad Commissioner,0632,7,4,11,343,3.21%,4,7,0,0,11
Railroad Commissioner,0633,945,731,1676,3559,47.09%,1186,406,35,15,1642
Railroad Commissioner,0634,458,442,900,3029,29.71%,573,266,31,13,883
Railroad Commissioner,0635,743,485,1228,3393,36.19%,895,247,37,21,1200
Railroad Commissioner,0636,836,874,1710,4140,41.30%,1457,178,37,10,1682
Railroad Commissioner,0637,409,362,771,2512,30.69%,179,506,18,35,738
Railroad Commissioner,0638,304,245,549,2204,24.91%,42,477,6,7,532
Railroad Commissioner,0639,549,547,1096,2526,43.39%,855,169,34,11,1069
Railroad Commissioner,0640,641,459,1100,3733,29.47%,677,364,29,10,1080
Railroad Commissioner,0641,649,596,1245,3650,34.11%,820,365,26,15,1226
Railroad Commissioner,0642,472,394,866,1764,49.09%,705,130,15,3,853
Railroad Commissioner,0643,934,653,1587,5945,26.69%,615,880,30,23,1548
Railroad Commissioner,0644,1020,823,1843,5523,33.37%,1201,533,46,16,1796
Railroad Commissioner,0645,655,594,1249,4185,29.84%,666,497,30,22,1215
Railroad Commissioner,0646,364,287,651,2220,29.32%,205,395,9,11,620
Railroad Commissioner,0647,904,470,1374,6084,22.58%,374,860,12,20,1266
Railroad Commissioner,0648,838,579,1417,3367,42.08%,1013,339,25,14,1391
Railroad Commissioner,0649,687,434,1121,4576,24.50%,361,673,24,23,1081
Railroad Commissioner,0650,906,766,1672,3888,43.00%,1208,373,42,14,1637
Railroad Commissioner,0651,963,766,1729,5128,33.72%,1099,530,32,28,1689
Railroad Commissioner,0652,467,515,982,2815,34.88%,164,781,7,11,963
Railroad Commissioner,0653,0,4,4,0,0.00%,0,4,0,0,4
Railroad Commissioner,0654,950,1005,1955,6208,31.49%,1055,776,40,42,1913
Railroad Commissioner,0655,1116,1079,2195,6855,32.02%,1351,706,67,26,2150
Railroad Commissioner,0656,579,393,972,2674,36.35%,37,905,6,6,954
Railroad Commissioner,0657,247,172,419,1292,32.43%,173,231,3,7,414
Railroad Commissioner,0658,540,426,966,2807,34.41%,614,312,18,9,953
Railroad Commissioner,0659,1150,788,1938,4856,39.91%,1375,474,41,17,1907
Railroad Commissioner,0660,950,825,1775,5372,33.04%,161,1558,11,16,1746
Railroad Commissioner,0661,675,765,1440,4567,31.53%,828,507,34,38,1407
Railroad Commissioner,0662,1148,890,2038,4874,41.81%,1619,332,31,18,2000
Railroad Commissioner,0663,719,797,1515,3346,45.31%,741,634,41,35,1451
Railroad Commissioner,0664,352,250,602,2869,20.98%,127,428,8,21,584
Railroad Commissioner,0665,484,348,832,2154,38.63%,686,98,27,11,822
Railroad Commissioner,0666,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0667,488,502,990,2149,46.07%,769,169,25,8,971
Railroad Commissioner,0668,399,509,908,2775,32.72%,580,264,37,13,894
Railroad Commissioner,0669,850,738,1,588,3425,46.36%,1150,362,25,11,1548
Railroad Commissioner,0670,957,471,1428,2983,47.87%,1122,226,40,8,1396
Railroad Commissioner,0671,403,565,968,3037,31.87%,582,313,30,14,939
Railroad Commissioner,0672,960,862,1822,5706,31.93%,1220,513,32,20,1785
Railroad Commissioner,0673,729,516,1245,2995,41.57%,975,200,24,17,1216
Railroad Commissioner,0674,1071,618,1689,4091,41.29%,1246,339,37,26,1648
Railroad Commissioner,0675,0,1,1,0,0.00%,1,0,0,0,1
Railroad Commissioner,0676,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0677,127,127,254,1266,20.06%,90,138,4,12,244
Railroad Commissioner,0678,166,108,274,735,37.28%,171,77,9,7,264
Railroad Commissioner,0679,635,520,1155,3381,34.16%,863,228,19,14,1124
Railroad Commissioner,0680,21,14,35,162,21.60%,12,19,1,3,35
Railroad Commissioner,0681,1,0,1,5,20.00%,1,0,0,0,1
Railroad Commissioner,0682,711,654,1365,4216,32.38%,1001,290,29,15,1335
Railroad Commissioner,0683,29,20,49,276,17.75%,10,33,0,4,47
Railroad Commissioner,0684,28,22,50,223,22.42%,25,22,2,0,49
Railroad Commissioner,0685,110,29,139,307,45.28%,61,70,2,2,135
Railroad Commissioner,0686,17,12,29,208,13.94%,10,17,2,0,29
Railroad Commissioner,0687,549,537,1086,2609,41.63%,725,283,29,13,1050
Railroad Commissioner,0688,999,617,1616,3504,46.12%,1287,262,27,9,1585
Railroad Commissioner,0689,211,387,598,2346,25.49%,299,261,12,15,587
Railroad Commissioner,0690,926,1104,2030,5102,39.79%,1629,292,57,13,1991
Railroad Commissioner,0691,2,5,7,25,28.00%,4,3,0,0,7
Railroad Commissioner,0692,444,548,992,2847,34.84%,744,189,29,9,971
Railroad Commissioner,0693,167,91,258,666,38.74%,66,170,12,2,250
Railroad Commissioner,0694,260,120,380,845,44.97%,259,98,7,3,367
Railroad Commissioner,0695,232,193,425,1724,24.65%,268,132,12,5,417
Railroad Commissioner,0696,261,207,468,1982,23.61%,292,140,13,12,457
Railroad Commissioner,0697,605,613,1218,4413,27.60%,295,861,11,25,1192
Railroad Commissioner,0698,448,489,937,3189,29.38%,92,803,6,15,916
Railroad Commissioner,0699,568,414,982,2343,41.91%,663,252,20,10,945
Railroad Commissioner,0700,255,251,506,1371,36.91%,423,59,7,6,495
Railroad Commissioner,0701,56,43,99,588,16.84%,57,34,3,1,95
Railroad Commissioner,0702,54,70,134,539,24.86%,16,113,0,4,133
Railroad Commissioner,0703,372,490,862,1882,45.80%,612,179,27,13,831
Railroad Commissioner,0704,569,599,1168,3064,38.12%,939,174,20,8,1141
Railroad Commissioner,0705,114,113,227,1523,14.90%,30,186,0,5,221
Railroad Commissioner,0706,115,71,186,610,30.49%,98,78,3,3,182
Railroad Commissioner,0707,153,86,239,707,33.80%,155,61,8,5,229
Railroad Commissioner,0708,54,52,106,563,18.83%,48,47,2,4,101
Railroad Commissioner,0709,1375,947,2322,6848,33.91%,1383,827,53,22,2285
Railroad Commissioner,0710,371,462,833,2082,40.01%,462,296,31,9,798
Railroad Commissioner,0711,703,506,1209,3484,34.70%,727,395,36,18,1176
Railroad Commissioner,0712,491,463,954,3670,25.99%,400,501,17,21,939
Railroad Commissioner,0713,228,262,490,1907,25.69%,246,212,15,7,480
Railroad Commissioner,0714,35,19,55,296,18.58%,34,19,0,0,53
Railroad Commissioner,0715,176,187,363,1408,25.78%,203,134,6,8,351
Railroad Commissioner,0716,449,407,856,2680,31.94%,605,211,22,9,847
Railroad Commissioner,0717,373,250,623,2002,31.12%,76,520,5,11,612
