Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Sitton,DEM Steve Brown,LIB Mark A. Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0001,417,466,883,2358,37.45%,283,511,33,29,856
Railroad Commissioner,0002,334,313,647,1961,32.99%,266,318,19,18,621
Railroad Commissioner,0003,326,405,731,1560,46.86%,260,389,23,21,693
Railroad Commissioner,0004,369,487,856,1668,51.32%,306,467,26,24,823
Railroad Commissioner,0005,280,448,728,1417,51.38%,257,398,20,22,697
Railroad Commissioner,0006,656,456,1112,3702,30.04%,606,413,43,27,1089
Railroad Commissioner,0007,209,110,319,1017,31.37%,13,295,2,2,312
Railroad Commissioner,0008,393,310,703,1744,40.31%,349,297,23,23,692
Railroad Commissioner,0009,206,223,429,1874,22.89%,110,260,13,22,405
Railroad Commissioner,0010,255,171,426,1753,24.30%,110,263,8,29,410
Railroad Commissioner,0011,184,176,360,1785,20.17%,66,247,9,16,338
Railroad Commissioner,0012,86,66,152,735,20.68%,83,60,4,1,148
Railroad Commissioner,0013,548,361,909,2689,33.80%,651,206,19,12,888
Railroad Commissioner,0014,442,495,937,1870,50.11%,504,376,16,11,907
Railroad Commissioner,0015,597,898,1495,2878,51.95%,864,517,22,20,1423
Railroad Commissioner,0016,243,137,380,1071,35.48%,171,171,17,8,367
Railroad Commissioner,0017,185,215,400,1162,34.42%,170,190,15,5,380
Railroad Commissioner,0018,371,351,722,1443,50.03%,330,333,19,9,691
Railroad Commissioner,0019,172,207,379,1170,32.39%,118,226,10,7,361
Railroad Commissioner,0020,313,287,600,2646,22.68%,160,379,29,14,582
Railroad Commissioner,0021,179,184,363,1122,32.35%,74,255,14,8,351
Railroad Commissioner,0022,397,322,719,2473,29.07%,136,551,7,14,708
Railroad Commissioner,0023,31,22,53,541,9.80%,8,40,1,2,51
Railroad Commissioner,0024,107,88,195,655,29.77%,13,171,3,4,191
Railroad Commissioner,0025,105,143,248,1086,22.84%,8,229,2,6,245
Railroad Commissioner,0026,241,277,518,1845,28.08%,122,313,9,40,484
Railroad Commissioner,0027,453,427,890,3074,28.95%,216,570,23,59,868
Railroad Commissioner,0028,637,405,1042,3029,34.40%,668,316,12,9,1005
Railroad Commissioner,0029,194,237,431,2638,16.34%,167,224,7,17,415
Railroad Commissioner,0030,369,391,760,2403,31.63%,182,511,26,20,739
Railroad Commissioner,0031,455,280,735,2511,29.27%,17,691,3,7,718
Railroad Commissioner,0032,320,405,725,2398,30.23%,282,358,46,13,699
Railroad Commissioner,0033,709,615,1324,3706,35.73%,412,779,48,39,1278
Railroad Commissioner,0034,626,579,1205,2786,43.25%,274,811,36,39,1160
Railroad Commissioner,0035,4,0,4,11,36.36%,1,3,0,0,4
Railroad Commissioner,0036,416,318,734,2927,25.08%,193,488,9,20,710
Railroad Commissioner,0037,542,436,978,2106,46.44%,278,614,30,16,938
Railroad Commissioner,0038,786,589,1375,2875,47.83%,464,781,38,42,1325
Railroad Commissioner,0039,659,575,1234,2759,44.73%,304,820,30,39,1193
Railroad Commissioner,0040,136,152,288,541,53.23%,143,119,7,5,274
Railroad Commissioner,0041,176,230,406,1334,30.43%,164,222,11,3,400
Railroad Commissioner,0042,228,109,337,1071,31.47%,5,322,1,2,330
Railroad Commissioner,0043,293,210,503,1695,29.68%,258,201,10,14,483
Railroad Commissioner,0044,204,222,426,2001,21.29%,86,277,13,31,407
Railroad Commissioner,0045,894,750,1644,6698,24.54%,305,1249,20,36,1610
Railroad Commissioner,0046,290,247,537,2511,21.39%,91,380,11,36,518
Railroad Commissioner,0047,213,218,431,1627,26.49%,14,399,3,9,425
Railroad Commissioner,0048,158,142,300,940,31.91%,26,264,5,2,297
Railroad Commissioner,0049,584,482,1066,3343,31.89%,774,246,15,9,1044
Railroad Commissioner,0050,785,771,1556,5211,29.86%,815,642,38,27,1522
Railroad Commissioner,0051,353,243,596,1689,35.29%,437,125,15,7,584
Railroad Commissioner,0052,422,447,869,2457,35.37%,408,391,26,12,837
Railroad Commissioner,0053,564,726,1290,2971,43.42%,511,660,41,31,1243
Railroad Commissioner,0054,270,364,634,1487,42.64%,309,268,19,17,613
Railroad Commissioner,0055,191,251,442,1506,29.35%,196,199,17,13,425
Railroad Commissioner,0056,282,278,560,1326,42.23%,365,151,19,6,541
Railroad Commissioner,0057,710,831,1541,3153,48.87%,601,809,39,31,1480
Railroad Commissioner,0058,470,556,1026,2690,38.14%,414,512,42,26,994
Railroad Commissioner,0059,555,609,1164,2544,45.75%,443,603,49,31,1126
Railroad Commissioner,0060,500,564,1064,2453,43.38%,261,669,42,56,1028
Railroad Commissioner,0061,172,204,376,1773,21.21%,148,195,1,11,355
Railroad Commissioner,0062,145,322,467,2181,21.41%,117,301,5,25,448
Railroad Commissioner,0063,264,354,618,1826,33.84%,486,93,19,5,603
Railroad Commissioner,0064,191,221,412,2141,19.24%,80,277,4,32,393
Railroad Commissioner,0065,172,230,402,2167,18.55%,88,260,4,33,385
Railroad Commissioner,0066,69,143,212,1098,19.31%,34,160,3,8,205
Railroad Commissioner,0067,304,282,586,2794,20.97%,152,352,13,39,556
Railroad Commissioner,0068,553,352,905,2924,30.95%,1,7,854,7,12,890
Railroad Commissioner,0069,80,124,204,1284,15.89%,43,139,2,11,195
Railroad Commissioner,0070,882,664,1546,3337,46.33%,914,517,41,24,1496
Railroad Commissioner,0071,602,722,1324,4197,31.55%,630,575,55,29,1289
Railroad Commissioner,0072,220,293,513,1924,26.66%,154,293,8,40,495
Railroad Commissioner,0073,252,414,666,1555,42.83%,368,233,14,17,632
Railroad Commissioner,0074,1153,782,1935,3583,54.01%,1510,340,25,11,1886
Railroad Commissioner,0075,254,280,534,1444,36.98%,190,282,26,16,514
Railroad Commissioner,0076,373,374,747,2362,31.63%,422,275,14,18,729
Railroad Commissioner,0077,43,46,89,566,15.72%,19,65,2,2,88
Railroad Commissioner,0078,181,201,382,1522,25.10%,119,213,7,31,370
Railroad Commissioner,0079,205,306,511,2927,17.46%,116,327,6,38,487
Railroad Commissioner,0080,501,351,852,2725,31.27%,202,592,6,22,822
Railroad Commissioner,0081,183,187,370,1835,20.16%,138,194,5,18,355
Railroad Commissioner,0082,639,671,1310,3368,38.90%,960,280,39,12,1291
Railroad Commissioner,0083,1298,888,2186,6625,33.00%,1055,1011,45,28,2139
Railroad Commissioner,0084,208,218,426,1373,31.03%,302,96,10,6,414
Railroad Commissioner,0085,271,248,519,2173,23.88%,18,480,2,11,511
Railroad Commissioner,0086,448,568,1016,2910,34.91%,451,475,34,26,986
Railroad Commissioner,0087,674,787,1461,2818,51.85%,918,457,34,7,1416
Railroad Commissioner,0088,123,118,241,693,34.78%,157,70,4,5,236
Railroad Commissioner,0089,165,371,536,1094,48.99%,284,209,14,4,511
Railroad Commissioner,0090,845,790,1635,3700,44.19%,1174,360,43,18,1595
Railroad Commissioner,0091,221,222,443,1505,29.44%,257,150,17,9,433
Railroad Commissioner,0092,695,462,1157,2242,51.61%,764,311,35,18,1128
Railroad Commissioner,0093,381,301,682,3356,20.32%,265,348,12,24,649
Railroad Commissioner,0094,51,43,94,549,17.12%,26,57,1,7,91
Railroad Commissioner,0095,917,576,1493,3177,46.99%,1079,322,43,18,1462
Railroad Commissioner,0096,83,83,166,1296,12.81%,21,138,1,4,164
Railroad Commissioner,0097,1024,725,1749,4828,36.23%,1283,391,36,11,1721
Railroad Commissioner,0098,403,488,891,2651,33.61%,712,120,29,10,871
Railroad Commissioner,0099,254,184,438,2092,20.94%,212,204,6,12,434
Railroad Commissioner,0100,185,173,338,1730,19.54%,173,147,8,7,335
Railroad Commissioner,0101,72,58,130,948,13.74%,44,78,2,4,128
Railroad Commissioner,0102,207,121,328,1872,17.52%,88,213,3,18,320
Railroad Commissioner,0103,700,714,1414,5371,28.33%,782,581,25,20,1388
Railroad Commissioner,0104,530,231,781,1905,39.95%,18,730,3,4,753
Railroad Commissioner,0105,198,210,408,2185,18.75%,125,235,7,18,385
Railroad Commissioner,0108,18,7,25,294,8.50%,18,8,0,1,25
Railroad Commissioner,0107,154,197,351,2032,17.27%,55,274,5,10,344
Railroad Commissioner,0108,558,272,940,3385,27.93%,553,339,17,10,919
Railroad Commissioner,0109,530,245,775,2824,27.44%,8,750,3,5,788
Railroad Commissioner,0110,854,494,1148,3042,37.74%,729,359,21,10,1119
Railroad Commissioner,0111,818,795,1811,4102,39.27%,1180,353,45,20,1578
Railroad Commissioner,0112,542,485,1027,2978,34.51%,748,225,27,8,1008
Railroad Commissioner,0113,552,429,991,2847,37.44%,598,322,25,18,983
Railroad Commissioner,0114,707,547,1254,3311,37.87%,1007,202,19,12,1240
Railroad Commissioner,0115,238,150,388,1800,21.58%,49,322,3,8,382
Railroad Commissioner,0118,982,778,1758,3147,55.88%,1335,313,40,9,1897
Railroad Commissioner,0117,218,228,442,1880,23.51%,215,197,8,18,434
Railroad Commissioner,0118,304,123,427,759,58.28%,358,48,9,3,418
Railroad Commissioner,0119,1290,1024,2314,5500,42.07%,1845,358,52,18,2271
Railroad Commissioner,0120,713,422,1135,3191,35.57%,730,340,20,18,1108
Railroad Commissioner,0121,92,178,270,848,31.84%,189,71,2,2,284
Railroad Commissioner,0122,352,225,577,1890,30.53%,20,538,4,8,588
Railroad Commissioner,0123,285,288,573,1392,41.18%,134,389,18,19,580
Railroad Commissioner,0124,1734,1292,3028,7254,41.71%,2382,525,55,20,2982
Railroad Commissioner,0125,415,332,747,2405,31.08%,439,254,25,15,733
Railroad Commissioner,0128,893,487,1380,3100,43.87%,1202,117,23,8,1348
Railroad Commissioner,0127,435,154,589,1838,32.08%,413,133,11,8,583
Railroad Commissioner,0128,445,707,1152,2290,50.31%,707,351,21,18,1097
Railroad Commissioner,0129,1031,1200,2231,5748,38.83%,1388,883,57,33,2181
Railroad Commissioner,0130,727,523,1250,2333,53.58%,933,283,12,9,1217
Railroad Commissioner,0131,251,259,510,1935,28.38%,118,380,8,10,492
Railroad Commissioner,0132,593,323,918,2387,38.37%,18,878,5,5,904
Railroad Commissioner,0133,514,858,1372,2662,51.54%,786,474,37,22,1319
Railroad Commissioner,0134,192,265,457,1437,31.80%,200,219,7,18,444
Railroad Commissioner,0135,730,579,1309,2671,49.01%,922,307,26,5,1260
Railroad Commissioner,0136,503,371,874,2013,43.42%,32,813,6,10,861
Railroad Commissioner,0137,166,141,307,716,42.88%,148,137,10,4,299
Railroad Commissioner,0138,296,199,495,1699,29.13%,15,465,4,4,488
Railroad Commissioner,0139,700,551,1251,3037,41.19%,548,605,38,18,1209
Railroad Commissioner,0140,701,480,1181,3214,36.75%,124,997,21,19,1161
Railroad Commissioner,0141,80,80,160,855,18.71%,95,53,3,2,153
Railroad Commissioner,0142,87,103,190,902,21.06%,63,105,3,13,184
Railroad Commissioner,0143,1962,580,2542,6386,39.81%,1813,634,48,17,2512
Railroad Commissioner,0144,216,158,374,1093,34.22%,6,357,0,2,365
Railroad Commissioner,0145,264,213,477,1538,31.01%,10,451,0,4,465
Railroad Commissioner,0146,426,519,945,2008,47.06%,417,439,21,28,905
Railroad Commissioner,0147,589,329,1018,3008,33.84%,120,858,11,9,998
Railroad Commissioner,0148,500,780,1280,2540,50.39%,500,674,35,19,1228
Railroad Commissioner,0149,1621,737,2358,7993,29.50%,1199,1039,50,33,2321
Railroad Commissioner,0150,236,169,405,1256,32.25%,11,387,1,1,400
Railroad Commissioner,0151,137,79,216,826,26.15%,9,196,4,0,209
Railroad Commissioner,0152,214,299,513,2788,18.40%,120,341,5,29,495
Railroad Commissioner,0153,125,206,331,1808,18.31%,103,200,4,16,323
Railroad Commissioner,0154,249,183,432,2190,19.73%,104,279,6,29,418
Railroad Commissioner,0155,1022,619,1641,4109,39.94%,1148,422,18,17,1605
Railroad Commissioner,0156,800,326,1126,3071,36.67%,32,1059,9,10,1110
Railroad Commissioner,0157,448,214,662,2236,29.61%,21,624,2,4,651
Railroad Commissioner,0158,600,315,915,3035,30.15%,18,873,7,3,901
Railroad Commissioner,0159,116,127,243,998,24.35%,40,187,8,4,239
Railroad Commissioner,0160,122,73,195,696,28.02%,4,187,2,0,193
Railroad Commissioner,0161,163,141,304,991,30.68%,4,291,3,0,298
Railroad Commissioner,0162,101,83,184,1265,14.55%,63,100,3,5,171
Railroad Commissioner,0163,230,320,550,3037,18.11%,229,278,3,19,529
Railroad Commissioner,0164,182,205,387,1420,27.25%,9,369,2,1,381
Railroad Commissioner,0165,535,483,1018,2334,43.62%,649,289,28,18,984
Railroad Commissioner,0166,158,233,391,1028,38.04%,112,228,12,22,374
Railroad Commissioner,0167,3,0,3,24,12.50%,0,3,0,0,3
Railroad Commissioner,0168,92,58,150,503,29.82%,3,140,1,2,146
Railroad Commissioner,0169,518,251,767,2513,30.52%,12,728,7,5,752
Railroad Commissioner,0170,271,141,412,1869,22.04%,212,163,7,18,400
Railroad Commissioner,0171,202,198,400,1604,24.94%,8,381,0,5,394
Railroad Commissioner,0172,88,80,166,621,26.73%,65,79,0,16,160
Railroad Commissioner,0173,819,739,1558,3599,43.29%,1235,251,31,11,1528
Railroad Commissioner,0174,830,733,1583,3296,47.42%,1077,389,33,17,1516
Railroad Commissioner,0175,580,749,1309,2618,50.00%,655,541,32,26,1254
Railroad Commissioner,0176,344,451,795,1602,49.63%,412,312,19,11,754
Railroad Commissioner,0177,278,326,604,1496,40.37%,346,216,14,4,580
Railroad Commissioner,0178,504,365,869,1765,49.24%,588,216,30,6,840
Railroad Commissioner,0179,256,188,444,1575,28.19%,220,175,17,21,433
Railroad Commissioner,0180,470,343,813,2834,28.69%,16,757,7,8,788
Railroad Commissioner,0181,175,262,437,2061,21.20%,133,262,6,22,423
Railroad Commissioner,0182,590,974,1564,3405,45.93%,940,490,29,18,1477
Railroad Commissioner,0183,520,794,1314,2491,52.75%,853,366,33,5,1257
Railroad Commissioner,0184,106,135,241,994,24.25%,78,130,7,6,221
Railroad Commissioner,0185,283,292,575,1933,29.75%,206,332,4,10,552
Railroad Commissioner,0186,97,106,203,798,25.44%,25,161,3,10,199
Railroad Commissioner,0187,21,25,46,311,14.79%,13,27,1,4,45
Railroad Commissioner,0188,153,146,299,1637,18.27%,135,133,11,11,290
Railroad Commissioner,0189,239,360,599,1465,40.89%,293,236,31,15,575
Railroad Commissioner,0190,120,177,297,1723,17.24%,118,150,8,12,288
Railroad Commissioner,0191,79,126,205,1366,15.01%,87,104,2,9,202
Railroad Commissioner,0192,381,225,808,1959,30.93%,28,561,3,4,596
Railroad Commissioner,0193,173,187,360,1074,33.52%,10,333,2,6,351
Railroad Commissioner,0194,351,431,782,1912,40.90%,229,473,30,30,762
Railroad Commissioner,0195,269,278,547,1694,32.29%,16,515,6,5,542
Railroad Commissioner,0196,52,32,84,316,26.58%,4,76,2,1,83
Railroad Commissioner,0197,543,309,852,2914,29.24%,17,819,3,3,842
Railroad Commissioner,0198,53,74,127,642,19.78%,2,121,2,1,126
Railroad Commissioner,0199,812,661,1473,3216,45.80%,1126,253,43,13,1435
Railroad Commissioner,0200,962,536,1498,3382,44.29%,660,711,39,20,1430
Railroad Commissioner,0201,98,87,185,724,25.55%,3,175,0,3,181
Railroad Commissioner,0202,217,189,406,1464,27.73%,11,380,2,6,399
Railroad Commissioner,0203,107,68,175,960,18.23%,36,114,3,11,164
Railroad Commissioner,0204,817,784,1601,3487,45.91%,865,572,47,35,1519
Railroad Commissioner,0205,465,171,636,1664,38.22%,12,612,5,1,630
Railroad Commissioner,0206,364,462,826,2779,29.72%,233,495,31,40,799
Railroad Commissioner,0207,265,261,526,1188,44.28%,155,316,7,30,508
Railroad Commissioner,0208,322,262,584,2195,26.61%,168,373,9,17,567
Railroad Commissioner,0209,0,2,2,0,0.00%,2,0,0,0,2
Railroad Commissioner,0210,502,467,969,2533,38.26%,100,819,14,16,949
Railroad Commissioner,0211,307,386,693,2914,23.78%,247,377,10,37,671
Railroad Commissioner,0212,95,155,251,1300,19.31%,47,187,2,9,245
Railroad Commissioner,0213,826,913,1739,3350,51.91%,1384,248,24,11,1667
Railroad Commissioner,0214,404,491,895,1854,48.27%,562,271,23,13,869
Railroad Commissioner,0215,423,711,1134,2258,50.22%,666,368,35,17,1086
Railroad Commissioner,0216,362,223,585,1945,30.08%,31,528,0,14,573
Railroad Commissioner,0217,844,631,1475,2678,55.08%,956,408,28,13,1405
Railroad Commissioner,0218,392,402,794,2292,34.64%,234,468,17,38,757
Railroad Commissioner,0219,497,436,933,2767,33.72%,46,851,5,9,911
Railroad Commissioner,0220,325,187,512,2310,22.16%,365,117,10,5,497
Railroad Commissioner,0221,332,369,701,2529,27.72%,288,333,15,39,675
Railroad Commissioner,0222,623,674,1297,2501,51.86%,603,594,21,18,1236
Railroad Commissioner,0223,563,377,940,3582,26.24%,256,600,30,22,908
Railroad Commissioner,0224,531,456,987,2238,44.10%,441,455,28,20,944
Railroad Commissioner,0225,375,405,781,3305,23.63%,389,348,19,9,765
Railroad Commissioner,0226,227,307,534,2436,21.92%,122,363,12,20,517
Railroad Commissioner,0227,558,423,981,1785,54.96%,761,176,6,8,951
Railroad Commissioner,0228,362,195,557,1050,53.05%,18,518,4,4,544
Railroad Commissioner,0229,31,96,127,815,15.58%,57,57,0,7,121
Railroad Commissioner,0230,185,116,301,1089,27.64%,7,286,3,2,298
Railroad Commissioner,0231,233,264,497,2232,22.27%,118,330,8,24,480
Railroad Commissioner,0232,361,474,835,1760,47.44%,470,307,19,9,805
Railroad Commissioner,0233,892,801,1693,4445,38.09%,806,734,53,29,1622
Railroad Commissioner,0234,1192,913,2105,3993,52.72%,1644,352,23,10,2029
Railroad Commissioner,0235,240,158,398,1356,29.35%,9,375,3,6,393
Railroad Commissioner,0236,354,235,589,2079,28.33%,8,558,3,11,580
Railroad Commissioner,0237,417,253,670,2161,31.00%,10,645,3,4,662
Railroad Commissioner,0238,340,245,585,1925,30.39%,16,548,4,5,573
Railroad Commissioner,0239,383,236,619,1964,31.52%,18,581,4,4,607
Railroad Commissioner,0240,585,243,828,2649,31.26%,13,789,4,5,811
Railroad Commissioner,0241,222,229,451,2372,19.01%,178,237,4,17,436
Railroad Commissioner,0242,173,162,335,1596,20.99%,189,118,9,7,323
Railroad Commissioner,0243,138,43,181,457,39.61%,0,177,2,2,181
Railroad Commissioner,0244,480,425,905,3117,29.03%,488,344,25,18,875
Railroad Commissioner,0245,946,799,1745,5828,29.94%,1190,455,46,22,1713
Railroad Commissioner,0246,584,513,1197,3315,36.11%,840,300,28,8,1176
Railroad Commissioner,0247,173,254,427,1582,26.99%,15,400,2,4,421
Railroad Commissioner,0248,161,167,328,2100,15.62%,86,211,14,8,319
Railroad Commissioner,0249,461,348,809,2719,29.75%,556,211,14,11,792
Railroad Commissioner,0250,109,164,273,964,28.32%,7,259,1,2,269
Railroad Commissioner,0251,278,436,714,2089,34.18%,23,673,3,5,704
Railroad Commissioner,0252,504,312,816,2377,34.33%,12,785,4,2,803
Railroad Commissioner,0253,379,222,601,2177,27.61%,9,572,5,5,591
Railroad Commissioner,0254,93,112,205,1550,13.23%,63,125,3,7,198
Railroad Commissioner,0255,526,648,1174,2482,47.30%,535,553,28,14,1130
Railroad Commissioner,0256,575,449,1024,3254,31.47%,473,452,22,31,978
Railroad Commissioner,0257,204,245,449,2523,17.80%,129,283,2,17,431
Railroad Commissioner,0258,840,800,1640,3322,49.37%,1197,336,36,15,1584
Railroad Commissioner,0259,555,382,1038,2361,43.96%,24,990,4,5,1023
Railroad Commissioner,0260,162,145,307,1260,24.37%,178,113,3,5,299
Railroad Commissioner,0261,124,120,244,1417,17.22%,100,127,3,6,236
Railroad Commissioner,0262,758,600,1358,4397,30.88%,819,421,49,24,1313
Railroad Commissioner,0263,858,712,1570,3693,42.51%,1184,310,36,10,1540
Railroad Commissioner,0264,482,457,939,2963,31.69%,577,291,29,17,914
Railroad Commissioner,0265,988,759,1747,3584,48.74%,1314,317,33,11,1675
Railroad Commissioner,0266,259,257,516,2104,24.52%,249,218,10,17,494
Railroad Commissioner,0267,146,166,312,1327,23.51%,156,119,9,14,298
Railroad Commissioner,0268,435,717,1152,2493,46.21%,671,366,28,14,1079
Railroad Commissioner,0269,702,453,1155,2030,56.90%,926,181,16,2,1125
Railroad Commissioner,0270,819,672,1491,3605,41.36%,809,562,39,41,1451
Railroad Commissioner,0271,656,382,1038,2518,41.22%,21,999,5,4,1029
Railroad Commissioner,0272,264,292,555,2162,25.72%,209,296,21,19,545
Railroad Commissioner,0273,548,689,1237,2470,50.08%,1005,162,27,5,1199
Railroad Commissioner,0274,588,346,934,2153,43.38%,638,231,21,9,899
Railroad Commissioner,0275,207,236,443,1850,23.95%,102,315,3,13,433
Railroad Commissioner,0276,572,231,803,2536,31.66%,4,775,2,8,789
Railroad Commissioner,0277,170,186,356,1492,23.86%,168,166,6,12,352
Railroad Commissioner,0278,421,320,741,2454,30.20%,409,286,10,18,723
Railroad Commissioner,0279,251,223,474,1941,24.42%,273,163,17,9,462
Railroad Commissioner,0280,130,188,318,1524,20.87%,130,157,7,12,306
Railroad Commissioner,0281,655,742,1397,2633,53.06%,679,585,31,16,1311
Railroad Commissioner,0282,314,455,769,2042,37.66%,487,233,20,8,748
Railroad Commissioner,0283,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0284,574,335,910,3172,28.69%,409,428,17,29,883
Railroad Commissioner,0285,448,378,826,2540,32.52%,73,726,4,8,811
Railroad Commissioner,0286,1255,821,2076,6170,33.65%,177,1808,13,32,2030
Railroad Commissioner,0287,371,477,848,1621,52.31%,409,380,21,8,818
Railroad Commissioner,0288,532,313,845,2210,38.24%,18,813,2,7,840
Railroad Commissioner,0289,186,212,398,1564,25.45%,200,168,7,10,385
Railroad Commissioner,0290,245,298,543,1642,33.07%,398,110,19,10,537
Railroad Commissioner,0291,325,235,560,1225,45.71%,277,242,16,10,545
Railroad Commissioner,0292,207,147,354,1356,26.11%,40,298,3,7,348
Railroad Commissioner,0293,357,447,804,1759,45.71%,353,375,22,17,767
Railroad Commissioner,0294,488,221,709,2097,33.81%,6,683,5,3,697
Railroad Commissioner,0295,148,103,251,885,28.36%,6,237,2,4,249
Railroad Commissioner,0296,327,340,667,1713,38.94%,379,226,20,18,643
Railroad Commissioner,0297,280,249,529,2012,26.29%,226,254,11,15,506
Railroad Commissioner,0298,415,358,773,2121,36.45%,444,272,23,10,749
Railroad Commissioner,0299,179,117,296,1353,21.88%,110,157,7,9,283
Railroad Commissioner,0300,1389,1016,2405,5406,44.49%,1920,375,44,11,2350
Railroad Commissioner,0301,210,255,465,2352,19.77%,174,255,5,14,448
Railroad Commissioner,0302,353,343,696,2720,25.59%,390,258,15,17,680
Railroad Commissioner,0303,924,784,1708,3245,52.63%,1372,247,30,9,1658
Railroad Commissioner,0304,606,505,1111,2298,48.35%,616,413,20,18,1067
Railroad Commissioner,0305,524,432,956,4191,22.81%,398,504,20,20,942
Railroad Commissioner,0306,550,342,992,1879,52.79%,723,228,18,5,974
Railroad Commissioner,0307,733,670,1403,3099,45.27%,938,344,51,26,1359
Railroad Commissioner,0308,199,130,329,1296,25.39%,109,189,7,14,319
Railroad Commissioner,0309,708,593,1301,2524,51.55%,1056,181,16,4,1257
Railroad Commissioner,0310,386,279,665,1435,46.34%,450,168,6,13,637
Railroad Commissioner,0311,486,421,907,2986,30.38%,479,348,14,19,860
Railroad Commissioner,0312,742,457,1199,3636,32.98%,794,342,22,17,1175
Railroad Commissioner,0313,9,0,9,62,14.52%,7,2,0,0,9
Railroad Commissioner,0314,1121,913,2034,5647,36.02%,1261,675,43,23,2002
Railroad Commissioner,0315,478,388,866,1608,53.86%,489,303,22,19,833
Railroad Commissioner,0316,412,341,753,1537,48.99%,411,275,18,21,725
Railroad Commissioner,0317,250,209,459,1588,28.90%,139,288,12,7,446
Railroad Commissioner,0318,834,568,1402,3660,38.31%,63,1291,4,18,1376
Railroad Commissioner,0319,512,230,742,2158,34.38%,42,666,3,12,723
Railroad Commissioner,0320,234,168,402,1537,26.15%,193,182,5,9,389
Railroad Commissioner,0321,262,191,453,2346,19.31%,152,252,8,27,439
Railroad Commissioner,0322,182,129,311,1226,25.37%,93,200,6,5,304
Railroad Commissioner,0323,278,211,489,1722,28.40%,227,215,11,14,467
Railroad Commissioner,0324,532,545,1178,2336,50.43%,715,361,33,20,1129
Railroad Commissioner,0325,289,193,482,2112,22.82%,99,347,12,13,471
Railroad Commissioner,0326,87,74,161,698,23.07%,71,70,5,6,152
Railroad Commissioner,0327,380,129,509,1729,29.44%,9,488,1,3,501
Railroad Commissioner,0328,151,140,291,1434,20.29%,121,137,9,15,282
Railroad Commissioner,0329,191,184,375,1397,26.84%,135,203,13,15,366
Railroad Commissioner,0330,334,253,587,1936,30.32%,315,226,14,6,561
Railroad Commissioner,0331,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0332,18,7,25,138,18.12%,12,10,0,1,23
Railroad Commissioner,0333,524,714,1238,3021,40.98%,849,294,44,13,1200
Railroad Commissioner,0334,83,42,125,742,16.85%,21,100,2,0,123
Railroad Commissioner,0335,121,98,219,1300,16.85%,82,115,9,6,212
Railroad Commissioner,0336,870,624,1494,4051,36.88%,122,1313,12,23,1470
Railroad Commissioner,0337,124,103,227,1029,22.06%,34,175,1,6,216
Railroad Commissioner,0338,731,391,1122,4934,22.74%,369,646,20,22,1057
Railroad Commissioner,0339,202,222,424,1757,24.13%,89,277,9,27,402
Railroad Commissioner,0340,1038,594,1632,3765,43.35%,1201,309,47,30,1587
Railroad Commissioner,0341,91,167,258,1290,20.00%,74,151,3,23,251
Railroad Commissioner,0342,675,605,1280,6526,19.61%,189,1024,18,29,1260
Railroad Commissioner,0343,189,271,460,1964,23.42%,126,277,7,27,437
Railroad Commissioner,0344,154,172,326,1160,28.10%,10,298,3,2,313
Railroad Commissioner,0345,156,165,321,1804,17.79%,95,200,7,8,310
Railroad Commissioner,0346,0,1,1,3,33.33%,1,0,0,0,1
Railroad Commissioner,0347,592,436,1028,3387,30.35%,675,285,26,20,1006
Railroad Commissioner,0348,438,208,646,1708,37.82%,497,120,10,7,634
Railroad Commissioner,0349,188,267,455,1349,33.73%,273,146,16,12,447
Railroad Commissioner,0350,525,526,1051,2909,36.13%,417,527,26,27,997
Railroad Commissioner,0351,1491,710,2201,4712,46.71%,1742,361,40,14,2157
Railroad Commissioner,0352,520,339,859,3205,26.80%,617,188,26,11,842
Railroad Commissioner,0353,665,451,1116,3862,28.90%,192,879,7,18,1096
Railroad Commissioner,0354,715,338,1053,3388,31.08%,248,757,8,15,1028
Railroad Commissioner,0355,301,264,565,1560,36.22%,50,498,5,0,553
Railroad Commissioner,0356,594,538,1132,2972,38.09%,723,328,30,10,1091
Railroad Commissioner,0357,837,575,1412,3517,40.15%,1019,326,25,12,1382
Railroad Commissioner,0358,213,254,467,2492,18.74%,48,399,7,3,457
Railroad Commissioner,0359,235,224,459,3061,15.00%,58,386,6,4,454
Railroad Commissioner,0360,524,380,904,2146,42.12%,469,346,25,14,854
Railroad Commissioner,0361,41,295,336,1673,20.08%,53,236,13,14,316
Railroad Commissioner,0362,1138,887,2025,5086,39.82%,1456,439,48,19,1962
Railroad Commissioner,0363,520,412,1032,3677,28.07%,457,522,14,18,1011
Railroad Commissioner,0364,489,405,894,2658,33.63%,512,323,19,22,876
Railroad Commissioner,0365,478,231,709,1305,54.33%,55,636,4,3,698
Railroad Commissioner,0366,252,270,522,2454,21.27%,127,363,10,13,513
Railroad Commissioner,0367,170,138,308,1130,27.26%,60,229,6,8,303
Railroad Commissioner,0368,178,88,266,958,27.77%,69,186,2,4,261
Railroad Commissioner,0369,32,29,61,559,10.91%,17,39,1,3,60
