Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0652,467,515,982,2815,34.88%,175,773,948
"Judge, County Probate Court No. 3",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Probate Court No. 3",0654,950,1005,1955,6208,31.49%,1108,769,1877
"Judge, County Probate Court No. 3",0655,1115,1079,2195,6855,32.02%,1381,728,2109
"Judge, County Probate Court No. 3",0656,579,393,972,2674,36.35%,38,912,950
"Judge, County Probate Court No. 3",0657,246,172,418,1292,32.35%,168,232,400
"Judge, County Probate Court No. 3",0658,540,426,966,2807,34.41%,633,309,942
"Judge, County Probate Court No. 3",0659,1149,788,1937,4856,39.89%,1394,480,1874
"Judge, County Probate Court No. 3",0660,950,825,1775,5372,33.04%,170,1558,1728
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0661,675,765,1440,4567,31.53%,843,536,1379
"Judge, County Probate Court No. 3",0662,1148,890,2038,4874,41.81%,1630,335,1965
"Judge, County Probate Court No. 3",0663,717,797,1514,3346,45.25%,735,654,1389
"Judge, County Probate Court No. 3",0664,352,250,602,2869,20.98%,144,433,577
"Judge, County Probate Court No. 3",0665,482,348,830,2154,38.53%,709,92,801
"Judge, County Probate Court No. 3",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0667,488,502,990,2149,46.07%,773,176,949
"Judge, County Probate Court No. 3",0668,399,509,908,2775,32.72%,600,279,879
"Judge, County Probate Court No. 3",0669,850,738,1,588,3425,46.36%,1128,384,1512
"Judge, County Probate Court No. 3",0670,955,471,1427,2983,47.84%,1107,259,1366
"Judge, County Probate Court No. 3",0671,403,565,968,3037,31.87%,592,331,923
"Judge, County Probate Court No. 3",0672,959,862,1821,5706,31.91%,1249,510,1759
"Judge, County Probate Court No. 3",0673,729,516,1245,2995,41.57%,989,201,1190
"Judge, County Probate Court No. 3",0674,1071,618,1689,4091,41.29%,1273,354,1627
"Judge, County Probate Court No. 3",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Probate Court No. 3",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0677,127,127,254,1266,20.06%,96,144,240
"Judge, County Probate Court No. 3",0678,166,108,274,735,37.28%,178,73,251
"Judge, County Probate Court No. 3",0679,635,520,1155,3381,34.16%,878,221,1099
"Judge, County Probate Court No. 3",0680,21,14,35,162,21.60%,13,21,34
"Judge, County Probate Court No. 3",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Probate Court No. 3",0682,711,654,1365,4216,32.38%,1021,294,1315
"Judge, County Probate Court No. 3",0683,29,20,49,276,17.75%,8,35,43
"Judge, County Probate Court No. 3",0684,27,22,49,223,21.97%,26,21,47
"Judge, County Probate Court No. 3",0685,110,29,139,307,45.28%,62,65,127
"Judge, County Probate Court No. 3",0686,17,12,29,208,13.94%,11,17,28
"Judge, County Probate Court No. 3",0687,549,537,1085,2609,41.63%,739,274,1013
"Judge, County Probate Court No. 3",0688,999,617,1616,3504,46.12%,1282,262,1544
"Judge, County Probate Court No. 3",0689,211,387,598,2346,25.49%,305,263,568
"Judge, County Probate Court No. 3",0690,926,1104,2030,5102,39.79%,1646,314,1960
"Judge, County Probate Court No. 3",0691,2,5,7,25,28.00%,2,5,7
"Judge, County Probate Court No. 3",0692,444,548,992,2847,34.84%,741,211,952
"Judge, County Probate Court No. 3",0693,167,91,258,666,38.74%,73,173,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0694,250,120,380,845,44.97%,257,96,353
"Judge, County Probate Court No. 3",0695,232,193,425,1724,24.65%,275,134,409
"Judge, County Probate Court No. 3",0696,251,207,468,1982,23.61%,304,141,445
"Judge, County Probate Court No. 3",0697,505,613,1218,4413,27.60%,316,852,1168
"Judge, County Probate Court No. 3",0698,445,489,937,3189,29.38%,99,809,908
"Judge, County Probate Court No. 3",0699,555,414,982,2343,41.91%,640,274,914
"Judge, County Probate Court No. 3",0700,255,251,506,1371,36.91%,425,57,482
"Judge, County Probate Court No. 3",0701,56,43,99,588,16.84%,63,30,93
"Judge, County Probate Court No. 3",0702,54,70,134,539,24.86%,18,113,131
"Judge, County Probate Court No. 3",0703,372,490,862,1882,45.80%,614,203,817
"Judge, County Probate Court No. 3",0704,569,599,1168,3064,38.12%,944,176,1120
"Judge, County Probate Court No. 3",0705,114,113,227,1523,14.90%,33,185,218
"Judge, County Probate Court No. 3",0706,115,71,186,610,30.49%,90,85,175
"Judge, County Probate Court No. 3",0707,153,86,239,707,33.80%,149,74,223
"Judge, County Probate Court No. 3",0708,54,52,106,563,18.83%,49,48,97
"Judge, County Probate Court No. 3",0709,1375,947,2322,6848,33.91%,1413,834,2247
"Judge, County Probate Court No. 3",0710,371,462,833,2082,40.01%,447,320,767
"Judge, County Probate Court No. 3",0711,702,506,1208,3484,34.67%,726,413,1139
"Judge, County Probate Court No. 3",0712,491,463,954,3670,25.99%,415,522,937
"Judge, County Probate Court No. 3",0713,225,262,490,1907,25.69%,251,216,467
"Judge, County Probate Court No. 3",0714,35,19,55,296,18.58%,33,20,53
"Judge, County Probate Court No. 3",0715,175,187,363,1408,25.78%,206,137,343
"Judge, County Probate Court No. 3",0716,449,407,856,2680,31.94%,603,227,830
"Judge, County Probate Court No. 3",0717,373,250,623,2002,31.12%,73,532,605
"Judge, County Probate Court No. 3",0718,1017,806,1823,4229,43.11%,1263,451,1714
"Judge, County Probate Court No. 3",0719,247,137,384,1589,24.17%,234,132,366
"Judge, County Probate Court No. 3",0720,994,780,1774,4282,41.43%,1337,370,1707
"Judge, County Probate Court No. 3",0721,754,532,1286,2870,44.81%,828,388,1216
"Judge, County Probate Court No. 3",0722,571,494,1365,4479,30.48%,98,1221,1319
"Judge, County Probate Court No. 3",0723,401,202,603,1858,32.45%,129,449,578
"Judge, County Probate Court No. 3",0724,151,128,279,766,36.42%,210,59,269
"Judge, County Probate Court No. 3",0725,423,237,660,2237,29.50%,316,321,637
"Judge, County Probate Court No. 3",0726,592,402,994,2087,47.63%,870,99,969
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0727,338,290,628,2488,25.24%,203,385,588
"Judge, County Probate Court No. 3",0728,209,151,360,880,40.91%,221,114,335
"Judge, County Probate Court No. 3",0729,136,59,195,464,42.03%,121,69,190
"Judge, County Probate Court No. 3",0730,428,359,787,1747,45.05%,504,238,742
"Judge, County Probate Court No. 3",0731,58,27,85,352,24.15%,25,57,82
"Judge, County Probate Court No. 3",0732,441,324,765,1924,39.76%,478,245,723
"Judge, County Probate Court No. 3",0733,13,7,20,215,9.30%,8,10,18
"Judge, County Probate Court No. 3",0734,1558,962,2520,7005,35.97%,1744,693,2437
"Judge, County Probate Court No. 3",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Probate Court No. 3",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Probate Court No. 3",0737,11,7,18,51,35.29%,14,4,18
"Judge, County Probate Court No. 3",0738,139,100,239,1361,17.56%,48,184,232
"Judge, County Probate Court No. 3",0739,353,301,654,2955,22.13%,342,287,629
"Judge, County Probate Court No. 3",0740,98,98,194,939,20.66%,131,54,185
"Judge, County Probate Court No. 3",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Probate Court No. 3",0743,15,18,33,210,15.71%,19,12,31
"Judge, County Probate Court No. 3",0744,456,392,848,2027,41.84%,532,262,794
"Judge, County Probate Court No. 3",0745,683,372,1055,2494,42.30%,629,365,994
"Judge, County Probate Court No. 3",0746,114,77,191,691,27.64%,92,96,188
"Judge, County Probate Court No. 3",0747,550,467,1017,3743,27.17%,505,477,982
"Judge, County Probate Court No. 3",0748,170,140,310,1403,22.10%,161,136,297
"Judge, County Probate Court No. 3",0749,30,17,47,377,12.47%,9,36,45
"Judge, County Probate Court No. 3",0750,111,96,207,767,26.99%,128,75,203
"Judge, County Probate Court No. 3",0751,925,964,1889,5084,37.16%,1262,546,1808
"Judge, County Probate Court No. 3",0752,286,200,486,1483,32.77%,369,95,464
"Judge, County Probate Court No. 3",0753,55,73,128,259,49.42%,79,42,121
"Judge, County Probate Court No. 3",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0755,442,584,1026,4294,23.89%,463,517,980
"Judge, County Probate Court No. 3",0756,251,177,428,1600,26.75%,173,238,411
"Judge, County Probate Court No. 3",0757,520,508,1028,4035,25.48%,181,813,994
"Judge, County Probate Court No. 3",0758,1114,692,1806,4096,44.09%,1454,285,1739
"Judge, County Probate Court No. 3",0759,465,413,878,2730,32.16%,565,279,844
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0760,1432,639,2071,4367,47.42%,1700,281,1981
"Judge, County Probate Court No. 3",0761,548,253,801,1550,51.68%,544,202,746
"Judge, County Probate Court No. 3",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0763,108,146,254,1212,20.96%,103,140,243
"Judge, County Probate Court No. 3",0764,1133,774,1907,5217,36.55%,1211,627,1838
"Judge, County Probate Court No. 3",0765,647,426,1073,4055,26.46%,440,574,1014
"Judge, County Probate Court No. 3",0766,40,25,65,392,16.58%,17,40,57
"Judge, County Probate Court No. 3",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Probate Court No. 3",0768,1359,1015,2374,5857,40.53%,1940,365,2305
"Judge, County Probate Court No. 3",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Probate Court No. 3",0770,31,25,56,323,17.34%,27,25,52
"Judge, County Probate Court No. 3",0771,324,254,578,2426,23.83%,338,219,557
"Judge, County Probate Court No. 3",0772,1792,851,2643,5709,46.30%,2008,505,2513
"Judge, County Probate Court No. 3",0773,473,312,785,2918,26.90%,215,502,717
"Judge, County Probate Court No. 3",0774,30,41,71,378,18.78%,16,53,69
"Judge, County Probate Court No. 3",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Probate Court No. 3",0776,551,496,1047,3053,34.29%,616,380,996
"Judge, County Probate Court No. 3",0777,46,40,86,652,13.19%,32,51,83
"Judge, County Probate Court No. 3",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0779,64,51,115,940,12.23%,41,69,110
"Judge, County Probate Court No. 3",0780,63,59,122,595,20.50%,71,48,119
"Judge, County Probate Court No. 3",0781,666,273,939,3603,26.06%,428,421,849
"Judge, County Probate Court No. 3",0782,368,370,738,2236,33.01%,468,240,708
"Judge, County Probate Court No. 3",0783,49,13,62,294,21.09%,46,14,60
"Judge, County Probate Court No. 3",0784,208,128,336,1079,31.14%,8,311,319
"Judge, County Probate Court No. 3",0785,28,25,53,296,17.91%,28,25,53
"Judge, County Probate Court No. 3",0786,100,98,198,1251,15.83%,77,114,191
"Judge, County Probate Court No. 3",0787,46,52,98,488,20.08%,35,60,95
"Judge, County Probate Court No. 3",0788,74,32,106,454,23.35%,51,51,102
"Judge, County Probate Court No. 3",0789,0,3,3,3,100.00%,0,3,3
"Judge, County Probate Court No. 3",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 3",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0792,269,239,508,1865,27.24%,127,356,483
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0793,448,247,695,2484,27.98%,418,251,669
"Judge, County Probate Court No. 3",0794,124,144,268,2710,9.89%,36,226,262
"Judge, County Probate Court No. 3",0795,90,125,215,1217,17.67%,75,128,203
"Judge, County Probate Court No. 3",0796,83,51,134,476,28.15%,74,56,130
"Judge, County Probate Court No. 3",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0798,99,111,210,500,42.00%,84,113,197
"Judge, County Probate Court No. 3",0799,28,15,43,161,26.71%,9,34,43
"Judge, County Probate Court No. 3",0800,588,642,1230,2932,41.95%,838,327,1165
"Judge, County Probate Court No. 3",0801,32,14,46,258,17.83%,15,28,43
"Judge, County Probate Court No. 3",0802,51,27,78,312,25.00%,14,63,77
"Judge, County Probate Court No. 3",0803,725,511,1236,2893,42.72%,910,283,1193
"Judge, County Probate Court No. 3",0804,932,591,1523,4768,31.94%,966,504,1470
"Judge, County Probate Court No. 3",0805,765,533,1298,2866,45.29%,1048,202,1250
"Judge, County Probate Court No. 3",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0807,211,204,415,2028,20.46%,97,300,397
"Judge, County Probate Court No. 3",0808,12,17,29,131,22.14%,8,19,27
"Judge, County Probate Court No. 3",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Probate Court No. 3",0810,9,16,25,211,11.85%,9,15,24
"Judge, County Probate Court No. 3",0811,29,50,79,270,29.26%,27,50,77
"Judge, County Probate Court No. 3",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0813,938,761,1699,5807,29.26%,861,786,1647
"Judge, County Probate Court No. 3",0814,673,533,1206,5102,23.64%,311,855,1166
"Judge, County Probate Court No. 3",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Probate Court No. 3",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0818,86,39,125,616,20.29%,28,92,120
"Judge, County Probate Court No. 3",0819,64,30,94,240,39.17%,47,35,82
"Judge, County Probate Court No. 3",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0821,124,120,244,1242,19.65%,37,199,236
"Judge, County Probate Court No. 3",0822,332,167,499,1535,32.51%,15,467,482
"Judge, County Probate Court No. 3",0823,821,564,1385,5087,27.23%,804,535,1339
"Judge, County Probate Court No. 3",0824,428,282,710,2700,26.30%,163,525,688
"Judge, County Probate Court No. 3",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0826,73,50,123,358,34.36%,55,58,113
"Judge, County Probate Court No. 3",0827,60,98,158,979,16.14%,79,74,153
"Judge, County Probate Court No. 3",0828,541,388,929,1916,48.49%,728,156,884
"Judge, County Probate Court No. 3",0829,54,22,76,264,28.79%,18,56,74
"Judge, County Probate Court No. 3",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 3",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0832,34,28,62,352,17.61%,18,40,58
"Judge, County Probate Court No. 3",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Probate Court No. 3",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0835,38,19,57,290,19.66%,13,38,51
"Judge, County Probate Court No. 3",0836,3,0,3,19,15.79%,1,2,3
"Judge, County Probate Court No. 3",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0839,136,118,254,1128,22.52%,53,190,243
"Judge, County Probate Court No. 3",0840,381,174,555,1705,32.55%,192,350,542
"Judge, County Probate Court No. 3",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0842,421,434,855,3259,26.24%,401,415,816
"Judge, County Probate Court No. 3",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 3",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Probate Court No. 3",0845,54,9,63,134,47.01%,38,22,60
"Judge, County Probate Court No. 3",0846,23,24,47,229,20.52%,3,43,46
"Judge, County Probate Court No. 3",0847,305,211,516,2015,25.61%,145,352,497
"Judge, County Probate Court No. 3",0848,489,266,755,1856,40.68%,220,497,717
"Judge, County Probate Court No. 3",0849,201,291,492,2124,23.16%,197,272,469
"Judge, County Probate Court No. 3",0850,45,41,87,210,41.43%,34,51,85
"Judge, County Probate Court No. 3",0851,1029,657,1686,4709,35.80%,1140,474,1614
"Judge, County Probate Court No. 3",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 3",0853,575,620,1296,2882,44.97%,990,245,1235
"Judge, County Probate Court No. 3",0854,15,26,41,172,23.84%,6,33,39
"Judge, County Probate Court No. 3",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Probate Court No. 3",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 3",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 3",0858,63,34,97,343,28.28%,3,90,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0859,157,106,263,890,29.55%,73,184,257
"Judge, County Probate Court No. 3",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0861,315,199,514,1842,27.90%,87,412,499
"Judge, County Probate Court No. 3",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0863,101,54,155,584,26.54%,8,146,154
"Judge, County Probate Court No. 3",0864,193,299,492,2569,19.15%,144,325,469
"Judge, County Probate Court No. 3",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Probate Court No. 3",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0868,236,271,507,2326,21.80%,160,326,486
"Judge, County Probate Court No. 3",0869,53,39,92,470,19.57%,22,69,91
"Judge, County Probate Court No. 3",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Probate Court No. 3",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Probate Court No. 3",0873,98,75,173,737,23.47%,43,126,169
"Judge, County Probate Court No. 3",0874,763,707,1470,3223,45.61%,1100,306,1406
"Judge, County Probate Court No. 3",0875,904,527,1431,5147,27.80%,712,669,1381
"Judge, County Probate Court No. 3",0876,698,641,1339,3265,41.01%,1024,270,1294
"Judge, County Probate Court No. 3",0877,476,382,858,3032,28.30%,344,490,834
"Judge, County Probate Court No. 3",0878,427,354,781,1666,46.88%,650,111,761
"Judge, County Probate Court No. 3",0879,407,294,701,2667,26.28%,363,303,666
"Judge, County Probate Court No. 3",0880,543,447,990,2352,42.09%,791,164,955
"Judge, County Probate Court No. 3",0881,593,540,1133,4479,25.30%,398,703,1101
"Judge, County Probate Court No. 3",0882,426,291,717,2422,29.60%,430,259,689
"Judge, County Probate Court No. 3",0883,643,702,1345,5408,24.87%,249,1058,1307
"Judge, County Probate Court No. 3",0884,57,25,82,377,21.75%,9,71,80
"Judge, County Probate Court No. 3",0885,562,368,930,2619,35.51%,546,358,904
"Judge, County Probate Court No. 3",0886,128,108,236,675,34.96%,130,91,221
"Judge, County Probate Court No. 3",0887,50,67,117,418,27.99%,55,52,107
"Judge, County Probate Court No. 3",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Probate Court No. 3",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Probate Court No. 3",0890,164,103,267,1095,24.38%,81,165,246
"Judge, County Probate Court No. 3",0891,317,243,560,1331,42.07%,195,322,517
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0892,115,86,201,808,24.88%,69,120,189
"Judge, County Probate Court No. 3",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Probate Court No. 3",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Probate Court No. 3",0895,156,286,442,793,55.74%,151,239,390
"Judge, County Probate Court No. 3",0896,370,297,667,1459,45.72%,226,392,618
"Judge, County Probate Court No. 3",0897,252,297,549,1701,32.28%,324,203,527
"Judge, County Probate Court No. 3",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 3",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Probate Court No. 3",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Probate Court No. 3",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0902,394,486,880,2139,41.14%,465,357,822
"Judge, County Probate Court No. 3",0903,3,7,10,50,20.00%,3,5,8
"Judge, County Probate Court No. 3",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Probate Court No. 3",0905,123,100,223,904,24.67%,102,108,210
"Judge, County Probate Court No. 3",0906,8,6,14,25,56.00%,7,5,12
"Judge, County Probate Court No. 3",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Probate Court No. 3",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 3",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Probate Court No. 3",0910,25,24,49,217,22.58%,21,25,46
"Judge, County Probate Court No. 3",0911,118,60,178,551,32.30%,121,50,171
"Judge, County Probate Court No. 3",0912,316,201,517,1273,40.61%,336,151,487
"Judge, County Probate Court No. 3",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0914,169,179,348,701,49.64%,279,55,334
"Judge, County Probate Court No. 3",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0916,417,240,657,1491,44.06%,527,107,634
"Judge, County Probate Court No. 3",0917,177,62,239,483,49.48%,153,65,218
"Judge, County Probate Court No. 3",0918,304,168,472,883,53.45%,354,92,446
"Judge, County Probate Court No. 3",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 3",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Probate Court No. 3",0921,32,15,47,119,39.50%,34,12,46
"Judge, County Probate Court No. 3",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0923,470,137,607,1511,40.17%,457,130,587
"Judge, County Probate Court No. 3",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0926,171,128,299,796,37.56%,222,66,288
"Judge, County Probate Court No. 3",0927,44,30,74,270,27.41%,28,40,68
"Judge, County Probate Court No. 3",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Probate Court No. 3",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0930,109,54,163,584,27.91%,6,153,159
"Judge, County Probate Court No. 3",0931,30,40,70,130,53.85%,31,30,61
"Judge, County Probate Court No. 3",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0933,115,85,200,627,31.90%,58,136,194
"Judge, County Probate Court No. 3",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Probate Court No. 3",0935,3,2,5,54,9.26%,2,1,3
"Judge, County Probate Court No. 3",0936,8,2,10,81,12.35%,3,5,8
"Judge, County Probate Court No. 3",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0938,30,14,44,231,19.05%,14,29,43
"Judge, County Probate Court No. 3",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 3",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Probate Court No. 3",0941,9,10,19,25,76.00%,17,2,19
"Judge, County Probate Court No. 3",0942,53,27,80,156,51.28%,63,13,76
"Judge, County Probate Court No. 3",0943,164,80,244,547,44.61%,157,70,227
"Judge, County Probate Court No. 3",0944,20,4,24,45,53.33%,18,2,20
"Judge, County Probate Court No. 3",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Probate Court No. 3",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Probate Court No. 3",0947,177,246,423,799,52.94%,212,185,397
"Judge, County Probate Court No. 3",0948,0,14,14,1,1400.00%,10,3,13
"Judge, County Probate Court No. 3",0949,34,27,61,193,31.61%,31,30,61
"Judge, County Probate Court No. 3",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 3",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Probate Court No. 3",0952,15,15,31,71,43.66%,15,13,28
"Judge, County Probate Court No. 3",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Probate Court No. 3",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 3",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Probate Court No. 3",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Probate Court No. 3",0957,97,95,192,562,34.16%,21,169,190
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0958,81,129,210,1081,19.43%,52,151,203
"Judge, County Probate Court No. 3",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0960,196,157,353,976,36.17%,71,270,341
"Judge, County Probate Court No. 3",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Probate Court No. 3",0962,10,17,27,88,30.68%,4,23,27
"Judge, County Probate Court No. 3",0963,54,41,105,426,24.65%,59,41,100
"Judge, County Probate Court No. 3",0964,568,437,1005,2372,42.37%,620,347,967
"Judge, County Probate Court No. 3",0965,31,21,52,343,15.16%,28,23,51
"Judge, County Probate Court No. 3",0966,129,83,212,1148,18.47%,77,130,207
"Judge, County Probate Court No. 3",0967,15,48,63,165,38.18%,19,43,62
"Judge, County Probate Court No. 3",0968,119,30,149,692,21.53%,30,117,147
"Judge, County Probate Court No. 3",0969,156,73,229,604,37.91%,1,225,226
"Judge, County Probate Court No. 3",0970,83,36,119,731,16.28%,17,98,115
"Judge, County Probate Court No. 3",0971,11,8,19,147,12.93%,1,16,17
"Judge, County Probate Court No. 3",0972,e,8,14,31,45.16%,13,0,13
"Judge, County Probate Court No. 3",0973,24,19,43,111,38.74%,20,19,39
"Judge, County Probate Court No. 3",0974,57,36,93,299,31.10%,58,33,91
"Judge, County Probate Court No. 3",0975,55,30,85,193,44.04%,40,39,79
"Judge, County Probate Court No. 3",0976,58,62,130,683,19.03%,83,45,128
"Judge, County Probate Court No. 3",0977,50,43,93,572,16.26%,40,52,92
"Judge, County Probate Court No. 3",0978,77,79,156,546,28.57%,30,123,153
"Judge, County Probate Court No. 3",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Probate Court No. 3",0980,280,321,601,1389,43.27%,448,122,570
"Judge, County Probate Court No. 3",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0982,312,312,624,1567,39.82%,504,91,595
"Judge, County Probate Court No. 3",0983,11,21,32,161,19.88%,20,11,31
"Judge, County Probate Court No. 3",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Probate Court No. 3",0985,117,63,180,351,51.28%,97,72,169
"Judge, County Probate Court No. 3",0986,43,30,73,463,15.77%,12,60,72
"Judge, County Probate Court No. 3",0987,231,90,321,1155,27.79%,31,282,313
