Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0115,238,150,388,1800,21.56%,49,327,376
"Judge, County Probate Court No. 3",0116,982,776,1758,3147,55.86%,1313,327,1640
"Judge, County Probate Court No. 3",0117,215,226,441,1880,23.46%,214,202,416
"Judge, County Probate Court No. 3",0118,304,123,427,759,56.26%,350,62,412
"Judge, County Probate Court No. 3",0119,1288,1024,2312,5500,42.04%,1859,352,2211
"Judge, County Probate Court No. 3",0120,712,422,1134,3191,35.54%,733,349,1082
"Judge, County Probate Court No. 3",0121,92,178,270,848,31.84%,188,72,250
"Judge, County Probate Court No. 3",0122,352,225,577,1890,30.53%,20,532,552
"Judge, County Probate Court No. 3",0123,284,288,572,1392,41.09%,141,394,535
"Judge, County Probate Court No. 3",0124,1734,1292,3026,7254,41.71%,2394,545,2939
"Judge, County Probate Court No. 3",0125,415,332,747,2405,31.06%,456,263,719
"Judge, County Probate Court No. 3",0126,893,467,1360,3100,43.87%,1197,122,1319
"Judge, County Probate Court No. 3",0127,435,154,589,1836,32.08%,414,141,555
"Judge, County Probate Court No. 3",0128,445,707,1152,2290,50.31%,690,361,1051
"Judge, County Probate Court No. 3",0129,1030,1200,2230,5746,38.81%,1355,751,2106
"Judge, County Probate Court No. 3",0130,727,523,1250,2333,53.58%,907,272,1179
"Judge, County Probate Court No. 3",0131,251,259,510,1935,26.36%,120,363,483
"Judge, County Probate Court No. 3",0132,593,323,916,2387,38.37%,17,876,893
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0133,513,858,1371,2662,51.50%,747,500,1247
"Judge, County Probate Court No. 3",0134,192,265,457,1437,31.80%,212,224,436
"Judge, County Probate Court No. 3",0135,727,579,1305,2671,48.90%,859,366,1225
"Judge, County Probate Court No. 3",0136,503,371,874,2013,43.42%,34,810,844
"Judge, County Probate Court No. 3",0137,166,141,307,716,42.88%,145,133,278
"Judge, County Probate Court No. 3",0138,296,199,495,1699,29.13%,14,470,484
"Judge, County Probate Court No. 3",0139,699,551,1250,3037,41.16%,517,650,1167
"Judge, County Probate Court No. 3",0140,699,480,1179,3214,36.68%,141,988,1129
"Judge, County Probate Court No. 3",0141,80,80,160,855,18.71%,98,55,153
"Judge, County Probate Court No. 3",0142,87,103,190,902,21.06%,66,115,181
"Judge, County Probate Court No. 3",0143,1962,580,2542,6386,39.81%,1820,648,2468
"Judge, County Probate Court No. 3",0144,216,158,374,1093,34.22%,9,356,365
"Judge, County Probate Court No. 3",0145,264,213,477,1538,31.01%,9,455,464
"Judge, County Probate Court No. 3",0146,426,519,945,2008,47.06%,402,490,892
"Judge, County Probate Court No. 3",0147,589,329,1018,3008,33.84%,129,865,994
"Judge, County Probate Court No. 3",0148,500,780,1280,2540,50.39%,452,711,1163
"Judge, County Probate Court No. 3",0149,1621,737,2358,7993,29.50%,1236,1052,2288
"Judge, County Probate Court No. 3",0150,236,169,405,1256,32.25%,13,385,398
"Judge, County Probate Court No. 3",0151,137,79,216,826,26.15%,12,197,209
"Judge, County Probate Court No. 3",0152,213,299,512,2788,18.36%,139,347,486
"Judge, County Probate Court No. 3",0153,125,206,331,1808,18.31%,107,207,314
"Judge, County Probate Court No. 3",0154,249,183,432,2190,19.73%,119,286,405
"Judge, County Probate Court No. 3",0155,1022,619,1641,4109,39.94%,1125,454,1579
"Judge, County Probate Court No. 3",0156,799,326,1125,3071,36.63%,43,1047,1090
"Judge, County Probate Court No. 3",0157,448,214,662,2236,29.61%,27,614,641
"Judge, County Probate Court No. 3",0158,600,315,915,3035,30.15%,23,862,885
"Judge, County Probate Court No. 3",0159,116,127,243,998,24.35%,38,196,234
"Judge, County Probate Court No. 3",0160,122,73,195,696,28.02%,6,186,192
"Judge, County Probate Court No. 3",0161,163,141,304,991,30.68%,4,290,294
"Judge, County Probate Court No. 3",0162,101,83,184,1265,14.55%,69,101,170
"Judge, County Probate Court No. 3",0163,230,320,550,3037,18.11%,241,280,521
"Judge, County Probate Court No. 3",0164,182,205,387,1420,27.25%,10,370,380
"Judge, County Probate Court No. 3",0165,535,483,1018,2334,43.62%,666,300,966
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0166,158,233,391,1028,38.04%,109,259,368
"Judge, County Probate Court No. 3",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Probate Court No. 3",0168,92,58,150,503,29.82%,2,144,146
"Judge, County Probate Court No. 3",0169,518,251,767,2513,30.52%,13,735,748
"Judge, County Probate Court No. 3",0170,271,141,412,1869,22.04%,220,170,390
"Judge, County Probate Court No. 3",0171,202,198,400,1604,24.94%,12,377,389
"Judge, County Probate Court No. 3",0172,88,80,166,621,26.73%,66,85,151
"Judge, County Probate Court No. 3",0173,817,739,1556,3599,43.23%,1249,255,1504
"Judge, County Probate Court No. 3",0174,829,733,1562,3296,47.39%,1057,414,1471
"Judge, County Probate Court No. 3",0175,557,749,1306,2618,49.89%,622,562,1184
"Judge, County Probate Court No. 3",0176,344,451,795,1602,49.63%,402,316,718
"Judge, County Probate Court No. 3",0177,278,326,604,1496,40.37%,326,234,560
"Judge, County Probate Court No. 3",0178,504,365,869,1765,49.24%,561,235,796
"Judge, County Probate Court No. 3",0179,256,188,444,1575,28.19%,237,180,417
"Judge, County Probate Court No. 3",0180,470,343,813,2834,28.69%,24,749,773
"Judge, County Probate Court No. 3",0181,175,262,437,2061,21.20%,144,269,413
"Judge, County Probate Court No. 3",0182,590,974,1564,3405,45.93%,910,507,1417
"Judge, County Probate Court No. 3",0183,519,794,1313,2491,52.71%,804,410,1214
"Judge, County Probate Court No. 3",0184,106,135,241,994,24.25%,86,130,216
"Judge, County Probate Court No. 3",0185,283,292,575,1933,29.75%,209,341,550
"Judge, County Probate Court No. 3",0186,97,106,203,798,25.44%,38,158,196
"Judge, County Probate Court No. 3",0187,21,25,46,311,14.79%,15,30,45
"Judge, County Probate Court No. 3",0188,153,146,299,1637,18.27%,139,144,283
"Judge, County Probate Court No. 3",0189,239,360,599,1465,40.89%,306,244,550
"Judge, County Probate Court No. 3",0190,120,177,297,1723,17.24%,134,149,283
"Judge, County Probate Court No. 3",0191,79,126,205,1366,15.01%,88,108,196
"Judge, County Probate Court No. 3",0192,380,225,605,1959,30.88%,29,558,587
"Judge, County Probate Court No. 3",0193,173,187,360,1074,33.52%,8,338,346
"Judge, County Probate Court No. 3",0194,350,431,781,1912,40.85%,226,509,735
"Judge, County Probate Court No. 3",0195,269,278,547,1694,32.29%,19,512,531
"Judge, County Probate Court No. 3",0196,52,32,84,316,26.58%,5,76,81
"Judge, County Probate Court No. 3",0197,543,309,852,2914,29.24%,15,821,836
"Judge, County Probate Court No. 3",0198,53,74,127,642,19.78%,1,124,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0199,812,661,1473,3216,45.80%,1130,273,1403
"Judge, County Probate Court No. 3",0200,962,536,1498,3382,44.29%,643,729,1372
"Judge, County Probate Court No. 3",0201,98,87,185,724,25.55%,2,179,181
"Judge, County Probate Court No. 3",0202,217,189,406,1464,27.73%,15,382,397
"Judge, County Probate Court No. 3",0203,107,68,175,960,18.23%,47,118,165
"Judge, County Probate Court No. 3",0204,816,784,1600,3487,45.88%,870,607,1477
"Judge, County Probate Court No. 3",0205,464,171,635,1664,38.16%,13,613,626
"Judge, County Probate Court No. 3",0206,362,462,824,2779,29.65%,228,546,774
"Judge, County Probate Court No. 3",0207,265,261,526,1188,44.28%,164,330,494
"Judge, County Probate Court No. 3",0208,322,262,584,2195,26.61%,174,378,552
"Judge, County Probate Court No. 3",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Probate Court No. 3",0210,502,467,969,2533,38.26%,106,830,936
"Judge, County Probate Court No. 3",0211,307,386,693,2914,23.78%,261,384,645
"Judge, County Probate Court No. 3",0212,96,155,251,1300,19.31%,55,187,242
"Judge, County Probate Court No. 3",0213,826,913,1739,3350,51.91%,1322,295,1617
"Judge, County Probate Court No. 3",0214,404,491,895,1854,48.27%,548,284,832
"Judge, County Probate Court No. 3",0215,421,711,1132,2258,50.13%,642,397,1039
"Judge, County Probate Court No. 3",0216,362,223,585,1945,30.08%,36,536,572
"Judge, County Probate Court No. 3",0217,844,631,1475,2678,55.08%,889,457,1346
"Judge, County Probate Court No. 3",0218,391,402,793,2292,34.60%,242,489,731
