Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0116,982,776,1758,3147,55.86%,1302,345,1647
"Family District Judge, 311th Judicial District",0117,215,226,441,1880,23.46%,216,207,423
"Family District Judge, 311th Judicial District",0118,304,123,427,759,56.26%,347,66,413
"Family District Judge, 311th Judicial District",0119,1288,1024,2312,5500,42.04%,1858,370,2228
"Family District Judge, 311th Judicial District",0120,712,422,1134,3191,35.54%,726,357,1083
"Family District Judge, 311th Judicial District",0121,92,178,270,848,31.84%,189,70,259
"Family District Judge, 311th Judicial District",0122,352,225,577,1890,30.53%,22,533,555
"Family District Judge, 311th Judicial District",0123,284,288,572,1392,41.09%,141,399,540
"Family District Judge, 311th Judicial District",0124,1734,1292,3026,7254,41.71%,2384,563,2947
"Family District Judge, 311th Judicial District",0125,415,332,747,2405,31.06%,452,270,722
"Family District Judge, 311th Judicial District",0126,893,467,1360,3100,43.87%,1192,131,1323
"Family District Judge, 311th Judicial District",0127,435,154,589,1836,32.08%,413,142,555
"Family District Judge, 311th Judicial District",0128,445,707,1152,2290,50.31%,673,388,1061
"Family District Judge, 311th Judicial District",0129,1030,1200,2230,5746,38.81%,1336,776,2112
"Family District Judge, 311th Judicial District",0130,727,523,1250,2333,53.58%,899,289,1188
"Family District Judge, 311th Judicial District",0131,251,259,510,1935,26.36%,120,368,488
"Family District Judge, 311th Judicial District",0132,593,323,916,2387,38.37%,22,877,899
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0133,513,858,1371,2662,51.50%,727,524,1251
"Family District Judge, 311th Judicial District",0134,192,265,457,1437,31.80%,207,227,434
"Family District Judge, 311th Judicial District",0135,727,579,1305,2671,48.90%,825,397,1222
"Family District Judge, 311th Judicial District",0136,503,371,874,2013,43.42%,31,817,848
"Family District Judge, 311th Judicial District",0137,166,141,307,716,42.88%,139,142,281
"Family District Judge, 311th Judicial District",0138,296,199,495,1699,29.13%,16,469,485
"Family District Judge, 311th Judicial District",0139,699,551,1250,3037,41.16%,499,670,1169
"Family District Judge, 311th Judicial District",0140,699,480,1179,3214,36.68%,142,999,1141
"Family District Judge, 311th Judicial District",0141,80,80,160,855,18.71%,95,56,151
"Family District Judge, 311th Judicial District",0142,87,103,190,902,21.06%,66,116,182
"Family District Judge, 311th Judicial District",0143,1962,580,2542,6386,39.81%,1827,655,2482
"Family District Judge, 311th Judicial District",0144,216,158,374,1093,34.22%,9,355,364
"Family District Judge, 311th Judicial District",0145,264,213,477,1538,31.01%,9,454,463
"Family District Judge, 311th Judicial District",0146,426,519,945,2008,47.06%,395,493,888
"Family District Judge, 311th Judicial District",0147,589,329,1018,3008,33.84%,130,862,992
"Family District Judge, 311th Judicial District",0148,500,780,1280,2540,50.39%,447,721,1168
"Family District Judge, 311th Judicial District",0149,1621,737,2358,7993,29.50%,1231,1067,2298
"Family District Judge, 311th Judicial District",0150,236,169,405,1256,32.25%,12,387,399
"Family District Judge, 311th Judicial District",0151,137,79,216,826,26.15%,10,197,207
"Family District Judge, 311th Judicial District",0152,213,299,512,2788,18.36%,135,355,490
"Family District Judge, 311th Judicial District",0153,125,206,331,1808,18.31%,115,202,317
"Family District Judge, 311th Judicial District",0154,249,183,432,2190,19.73%,124,283,407
"Family District Judge, 311th Judicial District",0155,1022,619,1641,4109,39.94%,1129,458,1587
"Family District Judge, 311th Judicial District",0156,799,326,1125,3071,36.63%,45,1051,1096
"Family District Judge, 311th Judicial District",0157,448,214,662,2236,29.61%,24,619,643
"Family District Judge, 311th Judicial District",0158,600,315,915,3035,30.15%,25,873,898
"Family District Judge, 311th Judicial District",0159,116,127,243,998,24.35%,43,193,236
"Family District Judge, 311th Judicial District",0160,122,73,195,696,28.02%,5,187,192
"Family District Judge, 311th Judicial District",0161,163,141,304,991,30.68%,2,295,297
"Family District Judge, 311th Judicial District",0162,101,83,184,1265,14.55%,70,99,169
"Family District Judge, 311th Judicial District",0163,230,320,550,3037,18.11%,239,281,520
"Family District Judge, 311th Judicial District",0164,182,205,387,1420,27.25%,11,367,378
"Family District Judge, 311th Judicial District",0165,535,483,1018,2334,43.62%,661,310,971
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0166,158,233,391,1028,38.04%,109,260,369
"Family District Judge, 311th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"Family District Judge, 311th Judicial District",0168,92,58,150,503,29.82%,3,144,147
"Family District Judge, 311th Judicial District",0169,518,251,767,2513,30.52%,18,732,750
"Family District Judge, 311th Judicial District",0170,271,141,412,1869,22.04%,217,174,391
"Family District Judge, 311th Judicial District",0171,202,198,400,1604,24.94%,14,378,392
"Family District Judge, 311th Judicial District",0172,88,80,166,621,26.73%,63,89,152
"Family District Judge, 311th Judicial District",0173,817,739,1556,3599,43.23%,1242,265,1507
"Family District Judge, 311th Judicial District",0174,829,733,1562,3296,47.39%,1046,436,1482
"Family District Judge, 311th Judicial District",0175,557,749,1306,2618,49.89%,616,583,1199
