Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0638,304,245,549,2204,24.91%,45,481,526
"Family District Judge, 311th Judicial District",0639,549,547,1096,2526,43.39%,869,180,1049
"Family District Judge, 311th Judicial District",0640,641,459,1100,3733,29.47%,690,380,1070
"Family District Judge, 311th Judicial District",0641,649,596,1245,3650,34.11%,829,372,1201
"Family District Judge, 311th Judicial District",0642,471,394,865,1764,49.04%,694,137,831
"Family District Judge, 311th Judicial District",0643,934,653,1587,5945,26.69%,631,907,1538
"Family District Judge, 311th Judicial District",0644,1019,823,1842,5523,33.35%,1215,549,1764
"Family District Judge, 311th Judicial District",0645,654,594,1248,4185,29.82%,677,519,1196
"Family District Judge, 311th Judicial District",0646,364,287,651,2220,29.32%,210,401,611
"Family District Judge, 311th Judicial District",0647,904,470,1374,6084,22.58%,400,858,1258
"Family District Judge, 311th Judicial District",0648,838,579,1417,3367,42.08%,1019,354,1373
"Family District Judge, 311th Judicial District",0649,687,434,1121,4576,24.50%,367,681,1048
"Family District Judge, 311th Judicial District",0650,906,766,1672,3888,43.00%,1209,390,1599
"Family District Judge, 311th Judicial District",0651,963,766,1729,5128,33.72%,1108,548,1656
"Family District Judge, 311th Judicial District",0652,467,515,982,2815,34.88%,171,777,948
"Family District Judge, 311th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"Family District Judge, 311th Judicial District",0654,950,1005,1955,6208,31.49%,1089,794,1883
"Family District Judge, 311th Judicial District",0655,1115,1079,2195,6855,32.02%,1369,741,2110
"Family District Judge, 311th Judicial District",0656,579,393,972,2674,36.35%,42,910,952
"Family District Judge, 311th Judicial District",0657,246,172,418,1292,32.35%,169,232,401
"Family District Judge, 311th Judicial District",0658,540,426,966,2807,34.41%,628,315,943
"Family District Judge, 311th Judicial District",0659,1149,788,1937,4856,39.89%,1382,499,1881
"Family District Judge, 311th Judicial District",0660,950,825,1775,5372,33.04%,167,1569,1736
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0661,675,765,1440,4567,31.53%,843,539,1382
"Family District Judge, 311th Judicial District",0662,1148,890,2038,4874,41.81%,1621,351,1972
"Family District Judge, 311th Judicial District",0663,717,797,1514,3346,45.25%,734,675,1409
"Family District Judge, 311th Judicial District",0664,352,250,602,2869,20.98%,136,435,571
"Family District Judge, 311th Judicial District",0665,482,348,830,2154,38.53%,699,105,804
"Family District Judge, 311th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0667,488,502,990,2149,46.07%,768,182,950
"Family District Judge, 311th Judicial District",0668,399,509,908,2775,32.72%,592,290,882
"Family District Judge, 311th Judicial District",0669,850,738,1588,3425,46.36%,1130,394,1524
"Family District Judge, 311th Judicial District",0670,955,471,1427,2983,47.84%,1107,262,1369
"Family District Judge, 311th Judicial District",0671,403,565,968,3037,31.87%,597,331,928
"Family District Judge, 311th Judicial District",0672,959,862,1821,5706,31.91%,1248,520,1768
"Family District Judge, 311th Judicial District",0673,729,516,1245,2995,41.57%,995,200,1195
"Family District Judge, 311th Judicial District",0674,1071,618,1689,4091,41.29%,1260,368,1628
"Family District Judge, 311th Judicial District",0675,0,1,1,0,0.00%,1,0,1
"Family District Judge, 311th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0677,127,127,254,1266,20.06%,99,140,239
"Family District Judge, 311th Judicial District",0678,166,108,274,735,37.28%,176,76,252
"Family District Judge, 311th Judicial District",0679,635,520,1155,3381,34.16%,875,232,1107
"Family District Judge, 311th Judicial District",0680,21,14,35,162,21.60%,13,22,35
"Family District Judge, 311th Judicial District",0681,1,0,1,5,20.00%,1,0,1
"Family District Judge, 311th Judicial District",0682,711,654,1365,4216,32.38%,1014,307,1321
"Family District Judge, 311th Judicial District",0683,29,20,49,276,17.75%,8,36,44
"Family District Judge, 311th Judicial District",0684,27,22,49,223,21.97%,26,21,47
"Family District Judge, 311th Judicial District",0685,110,29,139,307,45.28%,63,67,130
"Family District Judge, 311th Judicial District",0686,17,12,29,208,13.94%,11,17,28
"Family District Judge, 311th Judicial District",0687,549,537,1086,2609,41.63%,729,293,1022
"Family District Judge, 311th Judicial District",0688,999,617,1616,3504,46.12%,1288,270,1558
"Family District Judge, 311th Judicial District",0689,211,387,598,2346,25.49%,309,261,570
"Family District Judge, 311th Judicial District",0690,926,1104,2030,5102,39.79%,1655,316,1971
"Family District Judge, 311th Judicial District",0691,2,5,7,25,28.00%,3,4,7
"Family District Judge, 311th Judicial District",0692,444,548,992,2847,34.84%,734,221,955
"Family District Judge, 311th Judicial District",0693,167,91,258,666,38.74%,73,175,248
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0694,260,120,380,845,44.97%,256,99,355
"Family District Judge, 311th Judicial District",0695,232,193,425,1724,24.65%,272,139,411
"Family District Judge, 311th Judicial District",0696,261,207,468,1982,23.61%,302,147,449
"Family District Judge, 311th Judicial District",0697,605,613,1218,4413,27.60%,321,854,1175
"Family District Judge, 311th Judicial District",0698,448,489,937,3189,29.38%,102,809,911
"Family District Judge, 311th Judicial District",0699,568,414,982,2343,41.91%,632,287,919
"Family District Judge, 311th Judicial District",0700,255,251,506,1371,36.91%,424,62,486
"Family District Judge, 311th Judicial District",0701,56,43,99,588,16.84%,61,33,94
"Family District Judge, 311th Judicial District",0702,54,70,134,539,24.86%,18,114,132
"Family District Judge, 311th Judicial District",0703,372,490,862,1882,45.80%,617,207,824
"Family District Judge, 311th Judicial District",0704,569,599,1168,3064,38.12%,942,177,1119
"Family District Judge, 311th Judicial District",0705,114,113,227,1523,14.90%,32,185,217
"Family District Judge, 311th Judicial District",0706,115,71,186,610,30.49%,88,86,174
"Family District Judge, 311th Judicial District",0707,153,86,239,707,33.80%,149,78,227
"Family District Judge, 311th Judicial District",0708,54,52,106,563,18.83%,52,49,101
"Family District Judge, 311th Judicial District",0709,1375,947,2322,6848,33.91%,1420,839,2259
"Family District Judge, 311th Judicial District",0710,371,462,833,2082,40.01%,443,332,775
"Family District Judge, 311th Judicial District",0711,702,506,1208,3484,34.67%,715,422,1137
"Family District Judge, 311th Judicial District",0712,491,463,954,3670,25.99%,420,515,935
"Family District Judge, 311th Judicial District",0713,228,262,490,1907,25.69%,251,219,470
"Family District Judge, 311th Judicial District",0714,35,19,55,296,18.58%,36,17,53
"Family District Judge, 311th Judicial District",0715,176,187,363,1408,25.78%,206,136,342
"Family District Judge, 311th Judicial District",0716,449,407,856,2680,31.94%,608,224,832
"Family District Judge, 311th Judicial District",0717,373,250,623,2002,31.12%,76,530,606
"Family District Judge, 311th Judicial District",0718,1017,806,1823,4229,43.11%,1250,473,1723
"Family District Judge, 311th Judicial District",0719,247,137,384,1589,24.17%,229,139,368
"Family District Judge, 311th Judicial District",0720,994,780,1774,4282,41.43%,1331,388,1719
"Family District Judge, 311th Judicial District",0721,754,532,1286,2870,44.81%,826,396,1222
"Family District Judge, 311th Judicial District",0722,871,494,1365,4479,30.48%,105,1219,1324
"Family District Judge, 311th Judicial District",0723,401,202,603,1858,32.45%,136,447,583
"Family District Judge, 311th Judicial District",0724,151,128,279,766,36.42%,204,63,267
"Family District Judge, 311th Judicial District",0725,423,237,660,2237,29.50%,317,323,640
"Family District Judge, 311th Judicial District",0726,592,402,994,2087,47.63%,875,95,970
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0727,338,290,628,2488,25.24%,208,384,592
"Family District Judge, 311th Judicial District",0728,209,151,360,880,40.91%,220,122,342
"Family District Judge, 311th Judicial District",0729,136,59,195,464,42.03%,118,71,189
"Family District Judge, 311th Judicial District",0730,428,359,787,1747,45.05%,500,243,743
"Family District Judge, 311th Judicial District",0731,58,27,85,352,24.15%,28,55,83
"Family District Judge, 311th Judicial District",0732,441,324,765,1924,39.76%,478,246,724
"Family District Judge, 311th Judicial District",0733,13,7,20,215,9.30%,8,10,18
"Family District Judge, 311th Judicial District",0734,1558,962,2520,7005,35.97%,1747,700,2447
"Family District Judge, 311th Judicial District",0735,8,0,6,18,33.33%,6,0,6
"Family District Judge, 311th Judicial District",0736,3,1,4,22,18.18%,0,3,3
"Family District Judge, 311th Judicial District",0737,11,7,18,51,35.29%,13,5,18
"Family District Judge, 311th Judicial District",0738,139,100,239,1361,17.56%,46,183,229
"Family District Judge, 311th Judicial District",0739,353,301,654,2955,22.13%,342,284,626
"Family District Judge, 311th Judicial District",0740,96,98,194,939,20.66%,128,58,186
"Family District Judge, 311th Judicial District",0741,0,1,1,0,0.00%,0,1,1
"Family District Judge, 311th Judicial District",0742,0,11,11,0,0.00%,6,5,11
"Family District Judge, 311th Judicial District",0743,15,18,33,210,15.71%,18,13,31
"Family District Judge, 311th Judicial District",0744,456,392,848,2027,41.84%,535,270,805
"Family District Judge, 311th Judicial District",0745,683,372,1055,2494,42.30%,635,361,996
"Family District Judge, 311th Judicial District",0746,114,77,191,691,27.64%,91,96,187
"Family District Judge, 311th Judicial District",0747,550,467,1017,3743,27.17%,512,476,988
"Family District Judge, 311th Judicial District",0748,170,140,310,1403,22.10%,165,135,300
"Family District Judge, 311th Judicial District",0749,30,17,47,377,12.47%,8,38,46
"Family District Judge, 311th Judicial District",0750,111,96,207,767,26.99%,127,76,203
"Family District Judge, 311th Judicial District",0751,925,964,1889,5084,37.16%,1255,562,1817
"Family District Judge, 311th Judicial District",0752,286,200,486,1483,32.77%,363,102,465
"Family District Judge, 311th Judicial District",0753,55,73,128,259,49.42%,80,43,123
"Family District Judge, 311th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0755,442,584,1026,4294,23.89%,462,521,983
"Family District Judge, 311th Judicial District",0756,251,177,428,1600,26.75%,172,238,410
"Family District Judge, 311th Judicial District",0757,520,508,1028,4035,25.48%,190,805,995
"Family District Judge, 311th Judicial District",0758,1114,692,1806,4096,44.09%,1438,311,1749
"Family District Judge, 311th Judicial District",0759,465,413,878,2730,32.16%,561,282,843
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0760,1432,639,2071,4367,47.42%,1681,295,1976
"Family District Judge, 311th Judicial District",0761,548,253,801,1550,51.68%,536,213,749
"Family District Judge, 311th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0763,108,146,254,1212,20.96%,104,137,241
"Family District Judge, 311th Judicial District",0764,1133,774,1907,5217,36.55%,1210,641,1851
"Family District Judge, 311th Judicial District",0765,647,426,1073,4055,26.46%,443,575,1018
"Family District Judge, 311th Judicial District",0766,40,25,65,392,16.58%,17,41,58
"Family District Judge, 311th Judicial District",0767,10,2,12,86,13.95%,6,6,12
"Family District Judge, 311th Judicial District",0768,1359,1015,2374,5857,40.53%,1938,381,2319
"Family District Judge, 311th Judicial District",0769,54,16,70,183,38.25%,3,66,69
"Family District Judge, 311th Judicial District",0770,31,25,56,323,17.34%,28,26,54
"Family District Judge, 311th Judicial District",0771,324,254,578,2426,23.83%,335,223,558
"Family District Judge, 311th Judicial District",0772,1792,851,2643,5709,46.30%,1990,535,2525
"Family District Judge, 311th Judicial District",0773,473,312,785,2918,26.90%,216,505,721
"Family District Judge, 311th Judicial District",0774,30,41,71,378,18.78%,16,53,69
"Family District Judge, 311th Judicial District",0775,18,3,21,92,22.83%,0,21,21
"Family District Judge, 311th Judicial District",0776,551,496,1047,3053,34.29%,615,388,1003
"Family District Judge, 311th Judicial District",0777,46,40,86,652,13.19%,31,53,84
"Family District Judge, 311th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0779,64,51,115,940,12.23%,46,65,111
"Family District Judge, 311th Judicial District",0780,63,59,122,595,20.50%,71,48,119
"Family District Judge, 311th Judicial District",0781,666,273,939,3603,26.06%,429,410,839
"Family District Judge, 311th Judicial District",0782,368,370,738,2236,33.01%,465,249,714
"Family District Judge, 311th Judicial District",0783,49,13,62,294,21.09%,46,14,60
"Family District Judge, 311th Judicial District",0784,208,128,336,1079,31.14%,5,320,325
"Family District Judge, 311th Judicial District",0785,28,25,53,296,17.91%,27,26,53
"Family District Judge, 311th Judicial District",0786,100,98,198,1251,15.83%,78,116,194
"Family District Judge, 311th Judicial District",0787,46,52,98,488,20.08%,35,60,95
"Family District Judge, 311th Judicial District",0788,74,32,106,454,23.35%,50,52,102
"Family District Judge, 311th Judicial District",0789,0,3,3,3,100.00%,0,3,3
"Family District Judge, 311th Judicial District",0790,0,0,0,3,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0792,269,239,508,1865,27.24%,126,358,484
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0793,448,247,695,2484,27.98%,413,257,670
"Family District Judge, 311th Judicial District",0794,124,144,268,2710,9.89%,37,224,261
"Family District Judge, 311th Judicial District",0795,90,125,215,1217,17.67%,81,122,203
"Family District Judge, 311th Judicial District",0796,83,51,134,476,28.15%,74,56,130
"Family District Judge, 311th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0798,99,111,210,500,42.00%,80,122,202
"Family District Judge, 311th Judicial District",0799,28,15,43,161,26.71%,9,34,43
"Family District Judge, 311th Judicial District",0800,588,642,1230,2932,41.95%,831,337,1168
"Family District Judge, 311th Judicial District",0801,32,14,46,258,17.83%,14,29,43
"Family District Judge, 311th Judicial District",0802,51,27,78,312,25.00%,15,61,76
"Family District Judge, 311th Judicial District",0803,725,511,1236,2893,42.72%,905,287,1192
"Family District Judge, 311th Judicial District",0804,932,591,1523,4768,31.94%,968,511,1479
"Family District Judge, 311th Judicial District",0805,765,533,1298,2866,45.29%,1048,207,1255
"Family District Judge, 311th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0807,211,204,415,2028,20.46%,96,301,397
"Family District Judge, 311th Judicial District",0808,12,17,29,131,22.14%,7,21,28
"Family District Judge, 311th Judicial District",0809,7,6,13,92,14.13%,5,6,11
"Family District Judge, 311th Judicial District",0810,9,16,25,211,11.85%,9,15,24
"Family District Judge, 311th Judicial District",0811,29,50,79,270,29.26%,28,49,77
"Family District Judge, 311th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0813,938,761,1699,5807,29.26%,864,786,1650
"Family District Judge, 311th Judicial District",0814,673,533,1206,5102,23.64%,310,859,1169
"Family District Judge, 311th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0816,10,0,10,73,13.70%,3,7,10
"Family District Judge, 311th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0818,86,39,125,616,20.29%,28,92,120
"Family District Judge, 311th Judicial District",0819,64,30,94,240,39.17%,46,35,81
"Family District Judge, 311th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0821,124,120,244,1242,19.65%,35,202,237
"Family District Judge, 311th Judicial District",0822,332,167,499,1535,32.51%,16,469,485
"Family District Judge, 311th Judicial District",0823,821,564,1385,5087,27.23%,802,536,1338
"Family District Judge, 311th Judicial District",0824,428,282,710,2700,26.30%,162,530,692
"Family District Judge, 311th Judicial District",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0826,73,50,123,358,34.36%,54,60,114
"Family District Judge, 311th Judicial District",0827,60,98,158,979,16.14%,72,81,153
"Family District Judge, 311th Judicial District",0828,541,388,929,1916,48.49%,725,159,884
"Family District Judge, 311th Judicial District",0829,54,22,76,264,28.79%,19,56,75
"Family District Judge, 311th Judicial District",0830,0,0,0,2,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0832,34,28,62,352,17.61%,18,43,61
"Family District Judge, 311th Judicial District",0833,0,1,1,20,5.00%,0,1,1
"Family District Judge, 311th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0835,38,19,57,290,19.66%,14,36,50
"Family District Judge, 311th Judicial District",0836,3,0,3,19,15.79%,1,2,3
"Family District Judge, 311th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0839,136,118,254,1128,22.52%,53,192,245
"Family District Judge, 311th Judicial District",0840,381,174,555,1705,32.55%,192,348,540
"Family District Judge, 311th Judicial District",0841,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0842,421,434,855,3259,26.24%,404,416,820
"Family District Judge, 311th Judicial District",0843,0,1,1,0,0.00%,0,1,1
"Family District Judge, 311th Judicial District",0844,1,0,1,11,9.09%,0,1,1
"Family District Judge, 311th Judicial District",0845,54,9,63,134,47.01%,39,21,60
"Family District Judge, 311th Judicial District",0846,23,24,47,229,20.52%,4,41,45
"Family District Judge, 311th Judicial District",0847,305,211,516,2015,25.61%,148,355,503
"Family District Judge, 311th Judicial District",0848,489,266,755,1856,40.68%,221,504,725
"Family District Judge, 311th Judicial District",0849,201,291,492,2124,23.16%,197,275,472
"Family District Judge, 311th Judicial District",0850,46,41,87,210,41.43%,33,52,85
"Family District Judge, 311th Judicial District",0851,1029,657,1686,4709,35.80%,1131,486,1617
"Family District Judge, 311th Judicial District",0852,0,0,0,1,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0853,575,620,1296,2882,44.97%,982,259,1241
"Family District Judge, 311th Judicial District",0854,15,26,41,172,23.84%,5,34,39
"Family District Judge, 311th Judicial District",0855,5,9,14,16,87.50%,5,8,13
"Family District Judge, 311th Judicial District",0856,0,1,1,0,0.00%,0,1,1
"Family District Judge, 311th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0858,63,34,97,343,28.28%,3,91,94
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0859,157,106,263,890,29.55%,72,185,257
"Family District Judge, 311th Judicial District",0860,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0861,315,199,514,1842,27.90%,84,417,501
"Family District Judge, 311th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0863,101,54,155,584,26.54%,7,147,154
"Family District Judge, 311th Judicial District",0864,193,299,492,2569,19.15%,141,330,471
"Family District Judge, 311th Judicial District",0865,2,3,5,21,23.81%,0,5,5
"Family District Judge, 311th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0868,236,271,507,2326,21.80%,169,318,487
"Family District Judge, 311th Judicial District",0869,53,39,92,470,19.57%,23,68,91
"Family District Judge, 311th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0871,1,0,1,3,33.33%,0,1,1
"Family District Judge, 311th Judicial District",0872,5,3,8,59,13.56%,4,4,8
"Family District Judge, 311th Judicial District",0873,98,75,173,737,23.47%,46,122,168
"Family District Judge, 311th Judicial District",0874,763,707,1470,3223,45.61%,1096,314,1410
"Family District Judge, 311th Judicial District",0875,904,527,1431,5147,27.80%,702,682,1384
"Family District Judge, 311th Judicial District",0876,698,641,1339,3265,41.01%,1033,270,1303
"Family District Judge, 311th Judicial District",0877,476,382,858,3032,28.30%,347,492,839
"Family District Judge, 311th Judicial District",0878,427,354,781,1666,46.88%,643,116,759
"Family District Judge, 311th Judicial District",0879,407,294,701,2667,26.28%,360,306,666
"Family District Judge, 311th Judicial District",0880,543,447,990,2352,42.09%,792,168,960
"Family District Judge, 311th Judicial District",0881,593,540,1133,4479,25.30%,404,699,1103
"Family District Judge, 311th Judicial District",0882,426,291,717,2422,29.60%,433,259,692
"Family District Judge, 311th Judicial District",0883,643,702,1345,5408,24.87%,255,1056,1311
"Family District Judge, 311th Judicial District",0884,57,25,82,377,21.75%,9,70,79
"Family District Judge, 311th Judicial District",0885,562,368,930,2619,35.51%,546,362,908
"Family District Judge, 311th Judicial District",0886,128,108,236,675,34.96%,122,100,222
"Family District Judge, 311th Judicial District",0887,50,67,117,418,27.99%,57,52,109
"Family District Judge, 311th Judicial District",0888,0,3,3,0,0.00%,2,1,3
"Family District Judge, 311th Judicial District",0889,14,0,14,57,24.56%,5,8,13
"Family District Judge, 311th Judicial District",0890,164,103,267,1095,24.38%,84,161,245
"Family District Judge, 311th Judicial District",0891,317,243,560,1331,42.07%,197,326,523
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0892,115,86,201,808,24.88%,72,118,190
"Family District Judge, 311th Judicial District",0893,0,2,2,6,33.33%,0,2,2
"Family District Judge, 311th Judicial District",0894,0,3,3,0,0.00%,2,1,3
"Family District Judge, 311th Judicial District",0895,156,286,442,793,55.74%,149,241,390
"Family District Judge, 311th Judicial District",0896,370,297,667,1459,45.72%,216,404,620
"Family District Judge, 311th Judicial District",0897,252,297,549,1701,32.28%,320,214,534
"Family District Judge, 311th Judicial District",0898,0,0,0,3,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0899,2,0,2,8,25.00%,0,2,2
"Family District Judge, 311th Judicial District",0900,0,2,2,10,20.00%,1,1,2
"Family District Judge, 311th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0902,394,486,880,2139,41.14%,467,359,826
"Family District Judge, 311th Judicial District",0903,3,7,10,50,20.00%,3,6,9
"Family District Judge, 311th Judicial District",0904,1,0,1,7,14.29%,1,0,1
"Family District Judge, 311th Judicial District",0905,123,100,223,904,24.67%,101,111,212
"Family District Judge, 311th Judicial District",0906,8,6,14,25,56.00%,6,7,13
"Family District Judge, 311th Judicial District",0907,12,19,31,181,17.13%,6,25,31
"Family District Judge, 311th Judicial District",0908,0,1,1,0,0.00%,0,1,1
"Family District Judge, 311th Judicial District",0909,2,1,3,18,16.67%,0,3,3
"Family District Judge, 311th Judicial District",0910,25,24,49,217,22.58%,22,24,46
"Family District Judge, 311th Judicial District",0911,118,60,178,551,32.30%,122,50,172
"Family District Judge, 311th Judicial District",0912,316,201,517,1273,40.61%,337,153,490
"Family District Judge, 311th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0914,169,179,348,701,49.64%,273,63,336
"Family District Judge, 311th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0916,417,240,657,1491,44.06%,529,108,637
"Family District Judge, 311th Judicial District",0917,177,62,239,483,49.48%,150,73,223
"Family District Judge, 311th Judicial District",0918,304,168,472,883,53.45%,353,96,449
"Family District Judge, 311th Judicial District",0919,0,0,0,3,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0920,22,12,34,71,47.89%,23,10,33
"Family District Judge, 311th Judicial District",0921,32,15,47,119,39.50%,34,12,46
"Family District Judge, 311th Judicial District",0922,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0923,470,137,607,1511,40.17%,453,136,589
"Family District Judge, 311th Judicial District",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0926,171,128,299,796,37.56%,221,68,289
"Family District Judge, 311th Judicial District",0927,44,30,74,270,27.41%,28,41,69
"Family District Judge, 311th Judicial District",0928,3,0,3,8,37.50%,0,3,3
"Family District Judge, 311th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0930,109,54,163,584,27.91%,6,154,160
"Family District Judge, 311th Judicial District",0931,30,40,70,130,53.85%,29,31,60
"Family District Judge, 311th Judicial District",0932,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0933,115,85,200,627,31.90%,57,136,193
"Family District Judge, 311th Judicial District",0934,2,0,2,63,3.17%,1,1,2
"Family District Judge, 311th Judicial District",0935,3,2,5,54,9.26%,2,1,3
"Family District Judge, 311th Judicial District",0936,s,2,10,81,12.35%,3,6,9
"Family District Judge, 311th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0938,30,14,44,231,19.05%,11,31,42
"Family District Judge, 311th Judicial District",0939,0,0,0,2,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0940,0,0,0,10,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0941,9,10,19,25,76.00%,17,2,19
"Family District Judge, 311th Judicial District",0942,53,27,80,156,51.28%,66,12,78
"Family District Judge, 311th Judicial District",0943,164,80,244,547,44.61%,158,71,229
"Family District Judge, 311th Judicial District",0944,20,4,24,45,53.33%,18,2,20
"Family District Judge, 311th Judicial District",0945,1,2,3,17,17.65%,1,2,3
"Family District Judge, 311th Judicial District",0946,0,1,1,13,7.69%,0,1,1
"Family District Judge, 311th Judicial District",0947,177,246,423,799,52.94%,209,192,401
"Family District Judge, 311th Judicial District",0948,0,14,14,1,1400.00%,9,2,11
"Family District Judge, 311th Judicial District",0949,34,27,61,193,31.61%,32,29,61
"Family District Judge, 311th Judicial District",0950,0,0,0,1,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0951,33,30,63,277,22.74%,16,46,62
"Family District Judge, 311th Judicial District",0952,16,15,31,71,43.66%,16,13,29
"Family District Judge, 311th Judicial District",0953,18,9,27,275,9.82%,4,22,26
"Family District Judge, 311th Judicial District",0954,0,0,0,1,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0955,3,2,5,19,26.32%,4,1,5
"Family District Judge, 311th Judicial District",0956,2,4,6,11,54.55%,1,4,5
"Family District Judge, 311th Judicial District",0957,97,95,192,562,34.16%,20,171,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0958,81,129,210,1081,19.43%,54,149,203
"Family District Judge, 311th Judicial District",0959,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0960,196,157,353,976,36.17%,71,269,340
"Family District Judge, 311th Judicial District",0961,15,0,16,56,28.57%,0,16,16
"Family District Judge, 311th Judicial District",0962,10,17,27,88,30.68%,4,23,27
"Family District Judge, 311th Judicial District",0963,64,41,105,426,24.65%,61,39,100
"Family District Judge, 311th Judicial District",0964,568,437,1005,2372,42.37%,618,353,971
