Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wood,DEM Josefina Rendon,Totals
"Judge, County Probate Court No. 2",0695,232,193,425,1724,24.65%,276,133,409
"Judge, County Probate Court No. 2",0696,261,207,468,1982,23.61%,302,145,447
"Judge, County Probate Court No. 2",0697,605,613,1218,4413,27.60%,314,859,1173
"Judge, County Probate Court No. 2",0698,448,489,937,3189,29.38%,100,810,910
"Judge, County Probate Court No. 2",0699,568,414,982,2343,41.91%,672,248,920
"Judge, County Probate Court No. 2",0700,255,251,506,1371,36.91%,429,59,488
"Judge, County Probate Court No. 2",0701,56,43,99,588,16.84%,63,30,93
"Judge, County Probate Court No. 2",0702,54,70,134,539,24.86%,18,114,132
"Judge, County Probate Court No. 2",0703,372,490,862,1882,45.80%,640,185,825
"Judge, County Probate Court No. 2",0704,569,599,1168,3064,38.12%,957,166,1123
"Judge, County Probate Court No. 2",0705,114,113,227,1523,14.90%,31,187,218
"Judge, County Probate Court No. 2",0706,115,71,186,610,30.49%,92,82,174
"Judge, County Probate Court No. 2",0707,153,86,239,707,33.80%,156,69,225
"Judge, County Probate Court No. 2",0708,54,52,106,563,18.83%,49,49,98
"Judge, County Probate Court No. 2",0709,1375,947,2322,6848,33.91%,1411,838,2249
"Judge, County Probate Court No. 2",0710,371,462,833,2082,40.01%,465,309,774
"Judge, County Probate Court No. 2",0711,702,506,1208,3484,34.67%,754,388,1142
"Judge, County Probate Court No. 2",0712,491,463,954,3670,25.99%,412,526,938
"Judge, County Probate Court No. 2",0713,228,262,490,1907,25.69%,256,213,469
"Judge, County Probate Court No. 2",0714,35,19,55,296,18.58%,33,20,53
"Judge, County Probate Court No. 2",0715,176,187,363,1408,25.78%,208,135,343
"Judge, County Probate Court No. 2",0716,449,407,856,2680,31.94%,618,215,833
"Judge, County Probate Court No. 2",0717,373,250,623,2002,31.12%,72,533,605
"Judge, County Probate Court No. 2",0718,1017,806,1823,4229,43.11%,1300,421,1721
"Judge, County Probate Court No. 2",0719,247,137,384,1589,24.17%,234,134,368
"Judge, County Probate Court No. 2",0720,994,780,1774,4282,41.43%,1354,355,1709
"Judge, County Probate Court No. 2",0721,754,532,1286,2870,44.81%,865,355,1220
"Judge, County Probate Court No. 2",0722,871,494,1365,4479,30.48%,101,1214,1315
"Judge, County Probate Court No. 2",0723,401,202,603,1858,32.45%,132,448,580
"Judge, County Probate Court No. 2",0724,151,128,279,766,36.42%,217,50,267
"Judge, County Probate Court No. 2",0725,423,237,660,2237,29.50%,312,328,640
"Judge, County Probate Court No. 2",0726,592,402,994,2087,47.63%,875,95,970
"Judge, County Probate Court No. 2",0727,338,290,628,2488,25.24%,209,382,591
"Judge, County Probate Court No. 2",0728,209,151,360,880,40.91%,233,104,337
"Judge, County Probate Court No. 2",0729,136,59,195,464,42.03%,121,68,189
"Judge, County Probate Court No. 2",0730,428,359,787,1747,45.05%,525,220,745
"Judge, County Probate Court No. 2",0731,58,27,85,352,24.15%,24,58,82
"Judge, County Probate Court No. 2",0732,441,324,765,1924,39.76%,486,237,723
"Judge, County Probate Court No. 2",0733,13,7,20,215,9.30%,8,10,18
"Judge, County Probate Court No. 2",0734,1558,962,2520,7005,35.97%,1754,692,2446
"Judge, County Probate Court No. 2",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Probate Court No. 2",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Probate Court No. 2",0737,11,7,18,51,35.29%,14,4,18
"Judge, County Probate Court No. 2",0738,139,100,239,1361,17.56%,49,183,232
"Judge, County Probate Court No. 2",0739,353,301,654,2955,22.13%,345,283,628
"Judge, County Probate Court No. 2",0740,98,98,194,939,20.66%,131,54,185
"Judge, County Probate Court No. 2",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Probate Court No. 2",0743,15,18,33,210,15.71%,17,14,31
"Judge, County Probate Court No. 2",0744,456,392,848,2027,41.84%,565,234,799
"Judge, County Probate Court No. 2",0745,683,372,1055,2494,42.30%,661,340,1001
"Judge, County Probate Court No. 2",0746,114,77,191,691,27.64%,95,93,188
"Judge, County Probate Court No. 2",0747,550,467,1017,3743,27.17%,507,480,987
"Judge, County Probate Court No. 2",0748,170,140,310,1403,22.10%,163,133,296
"Judge, County Probate Court No. 2",0749,30,17,47,377,12.47%,9,37,46
"Judge, County Probate Court No. 2",0750,111,96,207,767,26.99%,127,76,203
"Judge, County Probate Court No. 2",0751,925,964,1889,5084,37.16%,1271,543,1814
"Judge, County Probate Court No. 2",0752,286,200,486,1483,32.77%,376,88,464
"Judge, County Probate Court No. 2",0753,55,73,128,259,49.42%,81,40,121
"Judge, County Probate Court No. 2",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0755,442,584,1026,4294,23.89%,452,528,980
"Judge, County Probate Court No. 2",0756,251,177,428,1600,26.75%,175,237,412
"Judge, County Probate Court No. 2",0757,520,508,1028,4035,25.48%,186,809,995
"Judge, County Probate Court No. 2",0758,1114,692,1806,4096,44.09%,1466,276,1742
"Judge, County Probate Court No. 2",0759,465,413,878,2730,32.16%,568,276,844
"Judge, County Probate Court No. 2",0760,1432,639,2071,4367,47.42%,1732,247,1979
"Judge, County Probate Court No. 2",0761,548,253,801,1550,51.68%,577,173,750
"Judge, County Probate Court No. 2",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0763,108,146,254,1212,20.96%,100,143,243
"Judge, County Probate Court No. 2",0764,1133,774,1907,5217,36.55%,1215,624,1839
"Judge, County Probate Court No. 2",0765,647,426,1073,4055,26.46%,460,564,1024
"Judge, County Probate Court No. 2",0766,40,25,65,392,16.58%,17,42,59
"Judge, County Probate Court No. 2",0767,10,2,12,86,13.95%,6,5,11
"Judge, County Probate Court No. 2",0768,1359,1015,2374,5857,40.53%,1951,355,2306
"Judge, County Probate Court No. 2",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Probate Court No. 2",0770,31,25,56,323,17.34%,27,25,52
"Judge, County Probate Court No. 2",0771,324,254,578,2426,23.83%,342,216,558
"Judge, County Probate Court No. 2",0772,1792,851,2643,5709,46.30%,2031,482,2513
"Judge, County Probate Court No. 2",0773,473,312,785,2918,26.90%,226,497,723
"Judge, County Probate Court No. 2",0774,30,41,71,378,18.78%,16,53,69
"Judge, County Probate Court No. 2",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Probate Court No. 2",0776,551,496,1047,3053,34.29%,627,377,1004
"Judge, County Probate Court No. 2",0777,46,40,86,652,13.19%,30,55,85
"Judge, County Probate Court No. 2",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0779,64,51,115,940,12.23%,38,73,111
"Judge, County Probate Court No. 2",0780,63,59,122,595,20.50%,69,49,118
"Judge, County Probate Court No. 2",0781,666,273,939,3603,26.06%,434,410,844
"Judge, County Probate Court No. 2",0782,368,370,738,2236,33.01%,462,245,707
"Judge, County Probate Court No. 2",0783,49,13,62,294,21.09%,47,12,59
"Judge, County Probate Court No. 2",0784,208,128,336,1079,31.14%,7,314,321
"Judge, County Probate Court No. 2",0785,28,25,53,296,17.91%,31,22,53
"Judge, County Probate Court No. 2",0786,100,98,198,1251,15.83%,74,119,193
"Judge, County Probate Court No. 2",0787,46,52,98,488,20.08%,33,62,95
"Judge, County Probate Court No. 2",0788,74,32,106,454,23.35%,50,52,102
"Judge, County Probate Court No. 2",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Probate Court No. 2",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 2",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0792,269,239,508,1865,27.24%,120,362,482
"Judge, County Probate Court No. 2",0793,448,247,695,2484,27.98%,418,253,671
"Judge, County Probate Court No. 2",0794,124,144,268,2710,9.89%,33,227,260
"Judge, County Probate Court No. 2",0795,90,125,215,1217,17.67%,78,127,205
"Judge, County Probate Court No. 2",0796,83,51,134,476,28.15%,77,52,129
"Judge, County Probate Court No. 2",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0798,99,111,210,500,42.00%,82,117,199
"Judge, County Probate Court No. 2",0799,28,15,43,161,26.71%,8,35,43
"Judge, County Probate Court No. 2",0800,588,642,1230,2932,41.95%,845,323,1168
"Judge, County Probate Court No. 2",0801,32,14,46,258,17.83%,16,26,42
"Judge, County Probate Court No. 2",0802,51,27,78,312,25.00%,15,61,76
"Judge, County Probate Court No. 2",0803,725,511,1236,2893,42.72%,914,284,1198
"Judge, County Probate Court No. 2",0804,932,591,1523,4768,31.94%,970,504,1474
"Judge, County Probate Court No. 2",0805,765,533,1298,2866,45.29%,1059,194,1253
"Judge, County Probate Court No. 2",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0807,211,204,415,2028,20.46%,96,303,399
"Judge, County Probate Court No. 2",0808,12,17,29,131,22.14%,7,22,29
"Judge, County Probate Court No. 2",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Probate Court No. 2",0810,9,16,25,211,11.85%,9,15,24
"Judge, County Probate Court No. 2",0811,29,50,79,270,29.26%,26,51,77
"Judge, County Probate Court No. 2",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0813,938,761,1699,5807,29.26%,852,797,1649
"Judge, County Probate Court No. 2",0814,673,533,1206,5102,23.64%,313,853,1166
"Judge, County Probate Court No. 2",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Probate Court No. 2",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0818,86,39,125,616,20.29%,30,90,120
"Judge, County Probate Court No. 2",0819,64,30,94,240,39.17%,52,32,84
"Judge, County Probate Court No. 2",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0821,124,120,244,1242,19.65%,29,206,235
"Judge, County Probate Court No. 2",0822,332,167,499,1535,32.51%,16,466,482
"Judge, County Probate Court No. 2",0823,821,564,1385,5087,27.23%,806,532,1338
"Judge, County Probate Court No. 2",0824,428,282,710,2700,26.30%,164,524,688
"Judge, County Probate Court No. 2",0825,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0826,73,50,123,358,34.36%,66,48,114
"Judge, County Probate Court No. 2",0827,60,98,158,979,16.14%,76,77,153
"Judge, County Probate Court No. 2",0828,541,388,929,1916,48.49%,755,130,885
"Judge, County Probate Court No. 2",0829,54,22,76,264,28.79%,18,57,75
"Judge, County Probate Court No. 2",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 2",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0832,34,28,62,352,17.61%,19,41,60
"Judge, County Probate Court No. 2",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Probate Court No. 2",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0835,38,19,57,290,19.66%,12,39,51
"Judge, County Probate Court No. 2",0836,3,0,3,19,15.79%,1,2,3
"Judge, County Probate Court No. 2",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0839,136,118,254,1128,22.52%,54,189,243
"Judge, County Probate Court No. 2",0840,381,174,555,1705,32.55%,197,344,541
"Judge, County Probate Court No. 2",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0842,421,434,855,3259,26.24%,398,422,820
"Judge, County Probate Court No. 2",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 2",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Probate Court No. 2",0845,54,9,63,134,47.01%,39,21,60
"Judge, County Probate Court No. 2",0846,23,24,47,229,20.52%,2,43,45
"Judge, County Probate Court No. 2",0847,305,211,516,2015,25.61%,147,353,500
"Judge, County Probate Court No. 2",0848,489,266,755,1856,40.68%,227,489,716
"Judge, County Probate Court No. 2",0849,201,291,492,2124,23.16%,188,286,474
"Judge, County Probate Court No. 2",0850,45,41,87,210,41.43%,30,55,85
"Judge, County Probate Court No. 2",0851,1029,657,1686,4709,35.80%,1146,471,1617
"Judge, County Probate Court No. 2",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 2",0853,575,620,1296,2882,44.97%,995,241,1236
"Judge, County Probate Court No. 2",0854,15,26,41,172,23.84%,8,31,39
"Judge, County Probate Court No. 2",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Probate Court No. 2",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 2",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 2",0858,63,34,97,343,28.28%,3,90,93
"Judge, County Probate Court No. 2",0859,157,106,263,890,29.55%,71,186,257
"Judge, County Probate Court No. 2",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0861,315,199,514,1842,27.90%,87,410,497
"Judge, County Probate Court No. 2",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0863,101,54,155,584,26.54%,8,146,154
"Judge, County Probate Court No. 2",0864,193,299,492,2569,19.15%,136,335,471
"Judge, County Probate Court No. 2",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Probate Court No. 2",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0868,238,271,507,2326,21.80%,166,321,487
"Judge, County Probate Court No. 2",0869,53,39,92,470,19.57%,26,64,90
"Judge, County Probate Court No. 2",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Probate Court No. 2",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Probate Court No. 2",0873,98,75,173,737,23.47%,45,125,170
"Judge, County Probate Court No. 2",0874,783,707,1470,3223,45.61%,1114,296,1410
"Judge, County Probate Court No. 2",0875,904,527,1431,5147,27.80%,711,673,1384
"Judge, County Probate Court No. 2",0876,898,641,1339,3265,41.01%,1033,262,1295
"Judge, County Probate Court No. 2",0877,478,382,858,3032,28.30%,353,482,835
"Judge, County Probate Court No. 2",0878,427,354,781,1666,46.88%,662,101,763
"Judge, County Probate Court No. 2",0879,407,294,701,2667,26.28%,360,308,888
"Judge, County Probate Court No. 2",0880,543,447,990,2352,42.09%,802,155,957
"Judge, County Probate Court No. 2",0881,593,540,1133,4479,25.30%,402,704,1106
"Judge, County Probate Court No. 2",0882,428,291,717,2422,29.60%,438,252,690
"Judge, County Probate Court No. 2",0883,843,702,1345,5408,24.87%,245,1063,1308
"Judge, County Probate Court No. 2",0884,57,25,82,377,21.75%,9,70,79
"Judge, County Probate Court No. 2",0885,582,368,930,2619,35.51%,559,346,905
"Judge, County Probate Court No. 2",0886,128,108,236,675,34.96%,140,82,222
"Judge, County Probate Court No. 2",0887,50,67,117,418,27.99%,56,51,107
"Judge, County Probate Court No. 2",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Probate Court No. 2",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Probate Court No. 2",0890,184,103,267,1095,24.38%,91,157,248
"Judge, County Probate Court No. 2",0891,317,243,560,1331,42.07%,225,297,522
"Judge, County Probate Court No. 2",0892,115,86,201,808,24.88%,74,114,188
"Judge, County Probate Court No. 2",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Probate Court No. 2",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Probate Court No. 2",0895,156,286,442,793,55.74%,193,205,398
"Judge, County Probate Court No. 2",0896,370,297,667,1459,45.72%,263,357,620
"Judge, County Probate Court No. 2",0897,252,297,549,1701,32.28%,322,206,528
"Judge, County Probate Court No. 2",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 2",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Probate Court No. 2",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Probate Court No. 2",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0902,394,486,880,2139,41.14%,491,332,823
"Judge, County Probate Court No. 2",0903,3,7,10,50,20.00%,3,5,8
"Judge, County Probate Court No. 2",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Probate Court No. 2",0905,123,100,223,904,24.67%,101,111,212
"Judge, County Probate Court No. 2",0906,8,6,14,25,56.00%,9,3,12
"Judge, County Probate Court No. 2",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Probate Court No. 2",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Probate Court No. 2",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Probate Court No. 2",0910,25,24,49,217,22.58%,19,26,45
"Judge, County Probate Court No. 2",0911,118,60,178,551,32.30%,120,53,173
"Judge, County Probate Court No. 2",0912,316,201,517,1273,40.61%,340,149,489
"Judge, County Probate Court No. 2",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0914,169,179,348,701,49.64%,281,53,334
"Judge, County Probate Court No. 2",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0916,417,240,657,1491,44.06%,529,104,633
"Judge, County Probate Court No. 2",0917,177,62,239,483,49.48%,163,61,224
"Judge, County Probate Court No. 2",0918,304,168,472,883,53.45%,372,75,447
"Judge, County Probate Court No. 2",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Probate Court No. 2",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Probate Court No. 2",0921,32,15,47,119,39.50%,34,12,46
"Judge, County Probate Court No. 2",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0923,470,137,607,1511,40.17%,457,133,590
"Judge, County Probate Court No. 2",0924,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0926,171,128,299,796,37.56%,225,63,288
"Judge, County Probate Court No. 2",0927,44,30,74,270,27.41%,30,38,68
"Judge, County Probate Court No. 2",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Probate Court No. 2",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0930,109,54,163,584,27.91%,7,153,160
"Judge, County Probate Court No. 2",0931,30,40,70,130,53.85%,35,26,61
"Judge, County Probate Court No. 2",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0933,115,85,200,627,31.90%,58,134,192
"Judge, County Probate Court No. 2",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Probate Court No. 2",0935,3,2,5,54,9.26%,2,1,3
"Judge, County Probate Court No. 2",0936,8,2,10,81,12.35%,3,6,9
"Judge, County Probate Court No. 2",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0938,30,14,44,231,19.05%,16,27,43
"Judge, County Probate Court No. 2",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 2",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Probate Court No. 2",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Probate Court No. 2",0942,53,27,80,156,51.28%,68,8,76
"Judge, County Probate Court No. 2",0943,164,80,244,547,44.61%,172,55,227
"Judge, County Probate Court No. 2",0944,20,4,24,45,53.33%,21,0,21
"Judge, County Probate Court No. 2",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Probate Court No. 2",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Probate Court No. 2",0947,177,246,423,799,52.94%,227,173,400
"Judge, County Probate Court No. 2",0948,0,14,14,1,1400.00%,9,3,12
"Judge, County Probate Court No. 2",0949,34,27,61,193,31.61%,34,27,61
"Judge, County Probate Court No. 2",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 2",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Probate Court No. 2",0952,16,15,31,71,43.66%,17,12,29
"Judge, County Probate Court No. 2",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Probate Court No. 2",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 2",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Probate Court No. 2",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Probate Court No. 2",0957,97,95,192,562,34.16%,22,168,190
"Judge, County Probate Court No. 2",0958,81,129,210,1081,19.43%,53,150,203
"Judge, County Probate Court No. 2",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0960,196,157,353,976,36.17%,73,268,341
"Judge, County Probate Court No. 2",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Probate Court No. 2",0962,10,17,27,88,30.68%,4,23,27
"Judge, County Probate Court No. 2",0963,54,41,105,426,24.65%,57,41,98
"Judge, County Probate Court No. 2",0964,568,437,1005,2372,42.37%,618,352,970
"Judge, County Probate Court No. 2",0965,31,21,52,343,15.16%,27,24,51
"Judge, County Probate Court No. 2",0966,129,83,212,1148,18.47%,75,131,206
"Judge, County Probate Court No. 2",0967,15,48,63,165,38.18%,19,43,62
"Judge, County Probate Court No. 2",0968,119,30,149,692,21.53%,32,115,147
"Judge, County Probate Court No. 2",0969,156,73,229,604,37.91%,3,222,225
"Judge, County Probate Court No. 2",0970,83,36,119,731,16.28%,17,99,116
"Judge, County Probate Court No. 2",0971,11,8,19,147,12.93%,1,16,17
"Judge, County Probate Court No. 2",09726,8,14,31,45.16%,13,0,13
"Judge, County Probate Court No. 2",0973,24,19,43,111,38.74%,20,20,40
"Judge, County Probate Court No. 2",0974,57,36,93,299,31.10%,57,34,91
"Judge, County Probate Court No. 2",0975,55,30,85,193,44.04%,39,40,79
"Judge, County Probate Court No. 2",0976,58,62,130,683,19.03%,89,39,128
"Judge, County Probate Court No. 2",0977,50,43,93,572,16.26%,41,51,92
"Judge, County Probate Court No. 2",0978,77,79,156,546,28.57%,29,124,153
"Judge, County Probate Court No. 2",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Probate Court No. 2",0980,280,321,601,1389,43.27%,450,120,570
"Judge, County Probate Court No. 2",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0982,312,312,624,1567,39.82%,505,90,595
"Judge, County Probate Court No. 2",0983,11,21,32,161,19.88%,21,10,31
"Judge, County Probate Court No. 2",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Probate Court No. 2",0985,117,63,180,351,51.28%,99,69,168
"Judge, County Probate Court No. 2",0986,43,30,73,463,15.77%,11,61,72
"Judge, County Probate Court No. 2",0987,231,90,321,1155,27.79%,33,280,313
"Judge, County Probate Court No. 2",0988,24,12,36,123,29.27%,34,2,36
"Judge, County Probate Court No. 2",09896,6,12,43,27.91%,9,3,12
"Judge, County Probate Court No. 2",0990,16,1,17,140,12.14%,9,7,16
"Judge, County Probate Court No. 2",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 2",0992,157,107,264,1048,25.19%,150,103,253
"Judge, County Probate Court No. 2",0993,169,101,270,568,47.54%,224,37,261
"Judge, County Probate Court No. 2",09946,5,11,25,44.00%,2,9,11
"Judge, County Probate Court No. 2",0995,295,156,451,1393,32.38%,29,411,440
"Judge, County Probate Court No. 2",0996,135,140,275,694,39.63%,157,99,256
"Judge, County Probate Court No. 2",0997,101,163,264,1656,15.94%,57,202,259
"Judge, County Probate Court No. 2",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Probate Court No. 2",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Probate Court No. 2",1000,42,6,48,405,11.85%,12,35,47
"Judge, County Probate Court No. 2",1001,228,136,364,1565,23.26%,99,247,346
"Judge, County Probate Court No. 2",1002,170,139,309,1744,17.72%,56,237,293
"Judge, County Probate Court No. 2",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Probate Court No. 2",1004,111,139,250,654,38.23%,128,95,223
"Judge, County Probate Court No. 2",1005,0,8,8,0,0.00%,3,4,7
"Judge, County Probate Court No. 2",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Probate Court No. 2",1007,208,188,396,1547,25.60%,93,287,380
"Judge, County Probate Court No. 2",1008,32,12,44,151,29.14%,34,8,42
"Judge, County Probate Court No. 2",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Probate Court No. 2",1010,59,35,94,459,20.48%,15,77,92
"Judge, County Probate Court No. 2",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Probate Court No. 2",1012,134,201,335,1365,24.54%,103,225,328
"Judge, County Probate Court No. 2",1013,0,6,6,58,10.34%,3,3,6
"Judge, County Probate Court No. 2",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Probate Court No. 2",1015,5,4,9,25,36.00%,3,5,8
"Judge, County Probate Court No. 2",1016,252,212,464,1691,27.44%,229,220,449
"Judge, County Probate Court No. 2",1017,61,44,105,330,31.82%,32,71,103
"Judge, County Probate Court No. 2",1018,93,64,157,494,31.78%,71,82,153
"Judge, County Probate Court No. 2",1019,130,107,237,1456,16.28%,14,219,233
"Judge, County Probate Court No. 2",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 2",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 2",1022,97,79,176,441,39.91%,132,32,164
"Judge, County Probate Court No. 2",1023,430,315,745,2026,36.77%,534,182,716
"Judge, County Probate Court No. 2",1024,55,61,116,249,46.59%,62,45,107
"Judge, County Probate Court No. 2",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Probate Court No. 2",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",1027,1,0,1,8,12.50%,0,1,1
"Judge, County Probate Court No. 2",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",1029,537,719,1256,2927,42.91%,988,212,1200
"Judge, County Probate Court No. 2",1030,231,151,382,785,48.66%,336,41,377
"Judge, County Probate Court No. 2",1031,59,71,130,792,16.41%,36,86,122
"Judge, County Probate Court No. 2",1032,31,25,56,244,22.95%,34,18,52
"Judge, County Probate Court No. 2",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Probate Court No. 2",1036,65,24,89,449,19.82%,73,14,87
"Judge, County Probate Court No. 2",1037,19,11,30,76,39.47%,17,9,26
"Judge, County Probate Court No. 2",1038,62,6,68,327,20.80%,9,55,64
"Judge, County Probate Court No. 2",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Probate Court No. 2",1040,91,66,157,771,20.36%,76,75,151
"Judge, County Probate Court No. 2",1041,0,2,2,0,0.00%,0,2,2
"Judge, County Probate Court No. 2",1042,105,67,172,521,33.01%,52,112,164
"Judge, County Probate Court No. 2",1043,5,6,12,33,36.36%,4,8,12
"Judge, County Probate Court No. 2",1044,16,6,22,55,40.00%,7,14,21
"Judge, County Probate Court No. 2",1045,197,173,370,1788,20.69%,50,307,357
"Judge, County Probate Court No. 2",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Probate Court No. 2",1047,255,186,441,1568,28.13%,162,266,428
"Judge, County Probate Court No. 2",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Probate Court No. 2",1049,14,45,59,290,20.34%,20,37,57
"Judge, County Probate Court No. 2",1050,60,63,123,537,22.91%,32,86,118
"Judge, County Probate Court No. 2",1051,0,31,31,0,0.00%,16,11,27
"Judge, County Probate Court No. 2",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",1054,0,0,0,1,0.00%,0,0,0
