Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wood,DEM Josefina Rendon,Totals
"Judge, County Probate Court No. 2",0111,815,795,1611,4102,39.27%,1188,349,1537
"Judge, County Probate Court No. 2",0112,542,485,1027,2976,34.51%,760,222,982
"Judge, County Probate Court No. 2",0113,552,429,991,2647,37.44%,611,333,944
"Judge, County Probate Court No. 2",0114,707,547,1254,3311,37.87%,1017,202,1219
"Judge, County Probate Court No. 2",0115,238,150,388,1800,21.56%,50,327,377
"Judge, County Probate Court No. 2",0116,982,776,1758,3147,55.86%,1352,301,1653
"Judge, County Probate Court No. 2",0117,215,226,441,1880,23.46%,215,200,415
"Judge, County Probate Court No. 2",0118,304,123,427,759,56.26%,360,54,414
"Judge, County Probate Court No. 2",0119,1288,1024,2312,5500,42.04%,1880,334,2214
"Judge, County Probate Court No. 2",0120,712,422,1134,3191,35.54%,747,333,1080
"Judge, County Probate Court No. 2",0121,92,178,270,848,31.84%,191,68,259
"Judge, County Probate Court No. 2",0122,352,225,577,1890,30.53%,19,537,556
"Judge, County Probate Court No. 2",0123,284,288,572,1392,41.09%,147,391,538
"Judge, County Probate Court No. 2",0124,1734,1292,3026,7254,41.71%,2413,527,2940
"Judge, County Probate Court No. 2",0125,415,332,747,2405,31.06%,464,256,720
"Judge, County Probate Court No. 2",0126,893,467,1360,3100,43.87%,1210,112,1322
"Judge, County Probate Court No. 2",0127,435,154,589,1836,32.08%,425,128,553
"Judge, County Probate Court No. 2",0128,445,707,1152,2290,50.31%,738,314,1052
"Judge, County Probate Court No. 2",0129,1030,1200,2230,5746,38.81%,1419,694,2113
"Judge, County Probate Court No. 2",0130,727,523,1250,2333,53.58%,937,241,1178
"Judge, County Probate Court No. 2",0131,251,259,510,1935,26.36%,126,358,484
"Judge, County Probate Court No. 2",0132,593,323,916,2387,38.37%,24,868,892
"Judge, County Probate Court No. 2",0133,513,858,1371,2662,51.50%,818,446,1264
"Judge, County Probate Court No. 2",0134,192,265,457,1437,31.80%,210,226,436
"Judge, County Probate Court No. 2",0135,727,579,1306,2671,48.90%,938,295,1233
"Judge, County Probate Court No. 2",0136,503,371,874,2013,43.42%,39,804,843
"Judge, County Probate Court No. 2",0137,166,141,307,716,42.88%,154,124,278
"Judge, County Probate Court No. 2",0138,296,199,495,1699,29.13%,16,465,481
"Judge, County Probate Court No. 2",0139,699,551,1250,3037,41.16%,562,609,1171
"Judge, County Probate Court No. 2",0140,699,480,1179,3214,36.68%,145,992,1137
"Judge, County Probate Court No. 2",0141,80,80,160,855,18.71%,97,55,152
"Judge, County Probate Court No. 2",0142,87,103,190,902,21.06%,63,117,180
"Judge, County Probate Court No. 2",0143,1962,580,2542,6386,39.81%,1836,638,2474
"Judge, County Probate Court No. 2",0144,216,158,374,1093,34.22%,9,355,364
"Judge, County Probate Court No. 2",0145,264,213,477,1538,31.01%,10,454,464
"Judge, County Probate Court No. 2",0146,426,519,945,2008,47.06%,426,466,892
"Judge, County Probate Court No. 2",0147,689,329,1018,3008,33.84%,130,865,995
"Judge, County Probate Court No. 2",0148,500,780,1280,2540,50.39%,514,656,1170
"Judge, County Probate Court No. 2",0149,1621,737,2358,7993,29.50%,1227,1069,2296
"Judge, County Probate Court No. 2",0150,236,169,405,1256,32.25%,14,383,397
"Judge, County Probate Court No. 2",0151,137,79,216,826,26.15%,9,200,209
"Judge, County Probate Court No. 2",0152,213,299,512,2788,18.36%,134,353,487
"Judge, County Probate Court No. 2",0153,125,206,331,1808,18.31%,106,213,319
"Judge, County Probate Court No. 2",0154,249,183,432,2190,19.73%,108,301,409
"Judge, County Probate Court No. 2",0155,1022,619,1641,4109,39.94%,1151,432,1583
"Judge, County Probate Court No. 2",0156,799,326,1125,3071,36.63%,41,1053,1094
"Judge, County Probate Court No. 2",0157,448,214,662,2236,29.61%,22,618,640
"Judge, County Probate Court No. 2",0158,600,315,915,3035,30.15%,21,867,888
"Judge, County Probate Court No. 2",0159,116,127,243,998,24.35%,37,195,232
"Judge, County Probate Court No. 2",0160,122,73,195,696,28.02%,6,185,191
"Judge, County Probate Court No. 2",0161,163,141,304,991,30.68%,4,290,294
"Judge, County Probate Court No. 2",0162,101,83,184,1265,14.55%,71,99,170
"Judge, County Probate Court No. 2",0163,230,320,550,3037,18.11%,237,286,523
"Judge, County Probate Court No. 2",0164,182,205,387,1420,27.25%,11,368,379
"Judge, County Probate Court No. 2",0165,535,483,1018,2334,43.62%,672,295,967
"Judge, County Probate Court No. 2",0166,158,233,391,1028,38.04%,122,247,369
"Judge, County Probate Court No. 2",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Probate Court No. 2",0168,92,58,150,503,29.82%,2,142,144
"Judge, County Probate Court No. 2",0169,518,251,767,2513,30.52%,14,731,745
"Judge, County Probate Court No. 2",0170,271,141,412,1869,22.04%,212,178,390
"Judge, County Probate Court No. 2",0171,202,198,400,1604,24.94%,10,378,388
"Judge, County Probate Court No. 2",0172,88,80,166,621,26.73%,60,95,155
"Judge, County Probate Court No. 2",0173,817,739,1556,3599,43.23%,1257,248,1505
"Judge, County Probate Court No. 2",0174,829,733,1562,3296,47.39%,1090,385,1475
"Judge, County Probate Court No. 2",0175,557,749,1306,2618,49.89%,676,520,1196
"Judge, County Probate Court No. 2",0176,344,451,795,1602,49.63%,428,289,717
"Judge, County Probate Court No. 2",0177,278,326,604,1496,40.37%,352,215,567
"Judge, County Probate Court No. 2",0178,504,365,869,1765,49.24%,612,186,798
"Judge, County Probate Court No. 2",0179,256,188,444,1575,28.19%,238,182,420
"Judge, County Probate Court No. 2",0180,470,343,813,2834,28.69%,19,757,776
"Judge, County Probate Court No. 2",0181,175,262,437,2061,21.20%,140,275,415
"Judge, County Probate Court No. 2",0182,590,974,1564,3405,45.93%,966,455,1421
"Judge, County Probate Court No. 2",0183,519,794,1313,2491,52.71%,891,331,1222
"Judge, County Probate Court No. 2",0184,106,135,241,994,24.25%,83,135,218
"Judge, County Probate Court No. 2",0185,283,292,575,1933,29.75%,207,345,552
"Judge, County Probate Court No. 2",0186,97,106,203,798,25.44%,32,165,197
"Judge, County Probate Court No. 2",0187,21,25,46,311,14.79%,13,31,44
"Judge, County Probate Court No. 2",0188,153,146,299,1637,18.27%,138,151,289
"Judge, County Probate Court No. 2",0189,239,360,599,1465,40.89%,316,235,551
"Judge, County Probate Court No. 2",0190,120,177,297,1723,17.24%,125,158,283
"Judge, County Probate Court No. 2",0191,79,126,205,1366,15.01%,84,114,198
"Judge, County Probate Court No. 2",0192,380,225,605,1959,30.88%,25,560,585
"Judge, County Probate Court No. 2",0193,173,187,360,1074,33.52%,7,339,346
"Judge, County Probate Court No. 2",0194,350,431,781,1912,40.85%,251,485,736
"Judge, County Probate Court No. 2",0195,269,278,547,1694,32.29%,20,509,529
"Judge, County Probate Court No. 2",0196,52,32,84,316,26.58%,5,77,82
"Judge, County Probate Court No. 2",0197,543,309,852,2914,29.24%,14,819,833
"Judge, County Probate Court No. 2",0198,53,74,127,642,19.78%,3,122,125
"Judge, County Probate Court No. 2",0199,812,661,1473,3216,45.80%,1154,250,1404
"Judge, County Probate Court No. 2",0200,962,536,1498,3382,44.29%,683,702,1385
"Judge, County Probate Court No. 2",0201,98,87,185,724,25.55%,5,176,181
"Judge, County Probate Court No. 2",0202,217,189,406,1464,27.73%,19,377,396
"Judge, County Probate Court No. 2",0203,107,68,175,960,18.23%,42,124,166
"Judge, County Probate Court No. 2",0204,816,784,1600,3487,45.88%,901,580,1481
"Judge, County Probate Court No. 2",0205,464,171,635,1664,38.16%,10,614,624
"Judge, County Probate Court No. 2",0206,362,462,824,2779,29.65%,232,544,776
"Judge, County Probate Court No. 2",0207,265,261,526,1188,44.28%,167,332,499
"Judge, County Probate Court No. 2",0208,322,262,584,2195,26.61%,174,381,555
"Judge, County Probate Court No. 2",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Probate Court No. 2",0210,502,467,969,2533,38.26%,106,829,935
"Judge, County Probate Court No. 2",0211,307,386,693,2914,23.78%,256,398,654
"Judge, County Probate Court No. 2",0212,96,155,251,1300,19.31%,52,191,243
"Judge, County Probate Court No. 2",0213,826,913,1739,3350,51.91%,1408,226,1634
"Judge, County Probate Court No. 2",0214,404,491,895,1854,48.27%,587,246,833
"Judge, County Probate Court No. 2",0215,421,711,1132,2258,50.13%,694,353,1047
"Judge, County Probate Court No. 2",0216,362,223,585,1945,30.08%,40,531,571
"Judge, County Probate Court No. 2",0217,844,631,1475,2678,55.08%,999,370,1369
"Judge, County Probate Court No. 2",0218,391,402,793,2292,34.60%,241,498,739
"Judge, County Probate Court No. 2",0219,496,436,932,2767,33.68%,46,846,892
"Judge, County Probate Court No. 2",0220,325,187,512,2310,22.16%,372,123,495
"Judge, County Probate Court No. 2",0221,332,369,701,2529,27.72%,296,372,668
"Judge, County Probate Court No. 2",0222,623,674,1297,2501,51.86%,648,548,1196
"Judge, County Probate Court No. 2",0223,563,377,940,3582,26.24%,258,625,883
"Judge, County Probate Court No. 2",0224,530,456,986,2238,44.06%,469,442,911
"Judge, County Probate Court No. 2",0225,376,405,781,3305,23.63%,396,354,750
"Judge, County Probate Court No. 2",0226,227,307,534,2436,21.92%,120,387,507
"Judge, County Probate Court No. 2",0227,558,423,981,1785,54.96%,758,147,905
"Judge, County Probate Court No. 2",0228,362,195,557,1050,53.05%,29,509,538
"Judge, County Probate Court No. 2",0229,31,96,127,815,15.58%,57,65,122
"Judge, County Probate Court No. 2",0230,185,116,301,1089,27.64%,7,283,290
"Judge, County Probate Court No. 2",0231,233,264,497,2232,22.27%,122,347,469
"Judge, County Probate Court No. 2",0232,351,474,835,1760,47.44%,485,295,780
"Judge, County Probate Court No. 2",0233,890,801,1691,4445,38.04%,830,723,1553
"Judge, County Probate Court No. 2",0234,1192,913,2105,3993,52.72%,1636,334,1970
"Judge, County Probate Court No. 2",0235,240,158,398,1356,29.35%,13,373,386
"Judge, County Probate Court No. 2",0236,354,235,589,2079,28.33%,13,561,574
"Judge, County Probate Court No. 2",0237,415,253,669,2161,30.96%,12,641,653
"Judge, County Probate Court No. 2",0238,339,245,584,1925,30.34%,13,554,567
"Judge, County Probate Court No. 2",0239,383,236,619,1964,31.52%,25,582,607
"Judge, County Probate Court No. 2",0240,585,243,828,2649,31.26%,18,786,804
"Judge, County Probate Court No. 2",0241,222,229,451,2372,19.01%,185,244,429
"Judge, County Probate Court No. 2",0242,173,162,335,1596,20.99%,194,123,317
"Judge, County Probate Court No. 2",0243,138,43,181,457,39.61%,2,178,180
"Judge, County Probate Court No. 2",0244,480,425,905,3117,29.03%,508,353,861
"Judge, County Probate Court No. 2",0245,945,799,1745,5828,29.94%,1229,474,1703
"Judge, County Probate Court No. 2",0246,584,513,1197,3315,36.11%,858,297,1155
"Judge, County Probate Court No. 2",0247,173,254,427,1582,26.99%,13,407,420
"Judge, County Probate Court No. 2",0248,161,167,328,2100,15.62%,95,219,314
"Judge, County Probate Court No. 2",0249,461,348,809,2719,29.75%,573,215,788
"Judge, County Probate Court No. 2",0250,109,164,273,964,28.32%,9,258,267
"Judge, County Probate Court No. 2",0251,278,436,714,2089,34.18%,26,674,700
"Judge, County Probate Court No. 2",0252,504,312,816,2377,34.33%,16,783,799
"Judge, County Probate Court No. 2",0253,379,222,601,2177,27.61%,11,573,584
"Judge, County Probate Court No. 2",0254,93,112,205,1550,13.23%,63,131,194
"Judge, County Probate Court No. 2",0255,525,648,1173,2482,47.26%,561,525,1086
"Judge, County Probate Court No. 2",0256,575,449,1024,3254,31.47%,489,472,961
"Judge, County Probate Court No. 2",0257,204,245,449,2523,17.80%,131,299,430
"Judge, County Probate Court No. 2",0258,839,800,1539,3322,49.34%,1223,310,1533
"Judge, County Probate Court No. 2",0259,555,382,1038,2361,43.96%,28,981,1009
"Judge, County Probate Court No. 2",0260,152,145,307,1260,24.37%,175,111,286
"Judge, County Probate Court No. 2",0261,124,120,244,1417,17.22%,102,132,234
"Judge, County Probate Court No. 2",0262,758,600,1358,4397,30.88%,854,422,1276
"Judge, County Probate Court No. 2",0263,858,712,1570,3693,42.51%,1208,299,1507
"Judge, County Probate Court No. 2",0264,480,457,937,2963,31.62%,578,299,877
"Judge, County Probate Court No. 2",0265,988,759,1747,3584,48.74%,1339,290,1629
"Judge, County Probate Court No. 2",0266,259,257,516,2104,24.52%,261,226,487
"Judge, County Probate Court No. 2",0267,146,166,312,1327,23.51%,159,131,290
"Judge, County Probate Court No. 2",0268,435,717,1152,2493,46.21%,673,356,1029
"Judge, County Probate Court No. 2",0269,702,453,1155,2030,56.90%,933,162,1095
"Judge, County Probate Court No. 2",0270,817,672,1489,3605,41.30%,827,572,1399
"Judge, County Probate Court No. 2",0271,656,382,1038,2518,41.22%,25,995,1020
"Judge, County Probate Court No. 2",0272,264,292,555,2162,25.72%,219,311,530
"Judge, County Probate Court No. 2",0273,548,689,1237,2470,50.08%,1008,172,1180
"Judge, County Probate Court No. 2",0274,588,346,934,2153,43.38%,646,224,870
"Judge, County Probate Court No. 2",0275,207,236,443,1850,23.95%,107,319,426
"Judge, County Probate Court No. 2",0276,572,231,803,2536,31.66%,12,773,785
"Judge, County Probate Court No. 2",0277,170,186,356,1492,23.86%,165,174,339
"Judge, County Probate Court No. 2",0278,421,320,741,2454,30.20%,416,297,713
"Judge, County Probate Court No. 2",0279,250,223,473,1941,24.37%,276,176,452
"Judge, County Probate Court No. 2",0280,130,188,318,1524,20.87%,135,164,299
"Judge, County Probate Court No. 2",0281,655,742,1397,2633,53.06%,706,553,1259
"Judge, County Probate Court No. 2",0282,314,455,769,2042,37.66%,501,222,723
"Judge, County Probate Court No. 2",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0284,574,335,910,3172,28.69%,436,431,867
"Judge, County Probate Court No. 2",0285,448,378,826,2540,32.52%,73,725,798
"Judge, County Probate Court No. 2",0286,1255,821,2076,6170,33.65%,194,1806,2000
"Judge, County Probate Court No. 2",0287,370,477,847,1621,52.25%,421,371,792
"Judge, County Probate Court No. 2",0288,532,313,845,2210,38.24%,18,812,830
"Judge, County Probate Court No. 2",0289,186,212,398,1564,25.45%,194,183,377
"Judge, County Probate Court No. 2",0290,245,298,543,1642,33.07%,412,113,525
"Judge, County Probate Court No. 2",0291,325,235,560,1225,45.71%,289,234,523
"Judge, County Probate Court No. 2",0292,207,147,354,1356,26.11%,39,308,347
"Judge, County Probate Court No. 2",0293,356,447,803,1759,45.65%,383,366,749
"Judge, County Probate Court No. 2",0294,488,221,709,2097,33.81%,9,684,693
"Judge, County Probate Court No. 2",0295,148,103,251,885,28.36%,7,238,245
"Judge, County Probate Court No. 2",0296,327,340,667,1713,38.94%,385,227,612
"Judge, County Probate Court No. 2",0297,280,249,529,2012,26.29%,233,260,493
"Judge, County Probate Court No. 2",0298,415,358,773,2121,36.45%,456,265,721
"Judge, County Probate Court No. 2",0299,178,117,295,1353,21.80%,116,159,275
"Judge, County Probate Court No. 2",0300,1,1389,1015,2405,5406,44.49%,1922,383,2305
"Judge, County Probate Court No. 2",0301,210,255,465,2352,19.77%,191,250,441
"Judge, County Probate Court No. 2",0302,353,343,696,2720,25.59%,413,258,671
"Judge, County Probate Court No. 2",0303,922,784,1706,3245,52.57%,1375,245,1620
"Judge, County Probate Court No. 2",0304,606,505,1111,2298,48.35%,634,390,1024
"Judge, County Probate Court No. 2",0305,524,432,956,4191,22.81%,410,519,929
