Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0202,217,189,406,1464,27.73%,11,381,4,4,400
Attorney General,0203,107,68,175,960,18.23%,43,121,2,3,169
Attorney General,0204,817,784,1601,3487,45.91%,855,653,51,16,1575
Attorney General,0205,465,171,636,1664,38.22%,12,616,1,1,630
Attorney General,0206,364,462,826,2779,29.72%,225,530,38,17,810
Attorney General,0207,265,261,526,1188,44.28%,162,330,15,3,510
Attorney General,0208,322,262,584,2195,26.61%,175,382,7,6,570
Attorney General,0209,0,2,2,0,0.00%,2,0,0,0,2
Attorney General,0210,502,467,969,2533,38.26%,90,838,18,13,959
Attorney General,0211,307,386,693,2914,23.78%,250,394,21,12,677
Attorney General,0212,95,155,251,1300,19.31%,51,186,2,3,242
Attorney General,0213,826,913,1739,3350,51.91%,1296,383,19,3,1701
Attorney General,0214,404,491,895,1854,48.27%,524,339,14,5,882
Attorney General,0215,423,711,1134,2258,50.22%,605,463,34,6,1108
Attorney General,0216,362,223,585,1945,30.08%,37,523,5,4,569
Attorney General,0217,844,631,1475,2678,55.08%,867,548,33,8,1456
Attorney General,0218,392,402,794,2292,34.64%,228,507,19,11,765
Attorney General,0219,497,436,933,2767,33.72%,55,849,7,8,919
Attorney General,0220,325,187,512,2310,22.16%,372,125,7,2,506
Attorney General,0221,332,369,701,2529,27.72%,293,361,20,2,676
Attorney General,0222,623,674,1297,2501,51.86%,511,717,24,15,1267
Attorney General,0223,563,377,940,3582,26.24%,238,650,29,8,925
Attorney General,0224,531,456,987,2238,44.10%,428,515,19,9,971
Attorney General,0225,376,405,781,3305,23.63%,393,357,14,6,770
Attorney General,0226,227,307,534,2436,21.92%,126,369,17,4,516
Attorney General,0227,558,423,981,1785,54.96%,688,266,10,4,968
Attorney General,0228,362,195,557,1050,53.05%,22,514,7,7,550
Attorney General,0229,31,96,127,815,15.58%,57,62,2,1,122
Attorney General,0230,185,116,301,1089,27.64%,7,284,5,2,298
Attorney General,0231,233,264,497,2232,22.27%,128,335,10,6,479
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0232,361,474,835,1760,47.44%,423,373,17,10,823
Attorney General,0233,892,801,1693,4445,38.09%,744,858,45,11,1658
Attorney General,0234,1192,913,2105,3993,52.72%,1512,521,15,9,2057
Attorney General,0235,240,158,398,1356,29.35%,13,372,4,5,394
Attorney General,0236,354,235,589,2079,28.33%,10,560,4,8,582
Attorney General,0237,417,253,670,2161,31.00%,14,646,4,0,664
Attorney General,0238,340,245,585,1925,30.39%,18,544,5,7,574
Attorney General,0239,383,236,619,1964,31.52%,20,579,3,6,608
Attorney General,0240,585,243,828,2649,31.26%,17,785,5,4,811
Attorney General,0241,222,229,451,2372,19.01%,186,248,4,0,438
Attorney General,0242,173,162,335,1596,20.99%,189,125,10,4,328
Attorney General,0243,138,43,181,457,39.61%,0,179,1,1,181
Attorney General,0244,480,425,905,3117,29.03%,511,357,14,6,888
Attorney General,0245,946,799,1745,5828,29.94%,1202,480,37,8,1727
Attorney General,0246,684,513,1197,3315,36.11%,858,308,16,4,1186
Attorney General,0247,173,254,427,1582,26.99%,16,401,2,4,423
Attorney General,0248,161,167,328,2100,15.62%,90,215,12,2,319
Attorney General,0249,461,348,809,2719,29.75%,556,225,11,7,799
Attorney General,0250,109,164,273,964,28.32%,10,253,4,2,269
Attorney General,0251,278,436,714,2089,34.18%,26,670,6,4,706
Attorney General,0252,504,312,816,2377,34.33%,13,787,3,5,808
