Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0470,185,176,361,1326,27.22%,290,290
"County Commissioner, Precinct 2",0471,375,380,755,2387,31.63%,637,637
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0473,599,391,990,1806,54.82%,723,723
"County Commissioner, Precinct 2",0502,477,350,827,2501,33.07%,701,701
"County Commissioner, Precinct 2",0526,58,84,152,780,19.49%,56,56
"County Commissioner, Precinct 2",0527,37,40,77,574,13.41%,48,48
"County Commissioner, Precinct 2",0530,114,107,221,1196,18.48%,79,79
"County Commissioner, Precinct 2",0531,363,174,537,1145,46.90%,436,436
"County Commissioner, Precinct 2",0532,205,146,351,1048,33.49%,277,277
"County Commissioner, Precinct 2",0533,124,108,232,1119,20.73%,144,144
"County Commissioner, Precinct 2",0534,783,524,1307,3837,34.06%,1066,1066
"County Commissioner, Precinct 2",0535,33,29,62,416,14.90%,38,38
"County Commissioner, Precinct 2",0543,141,213,354,1565,22.62%,161,161
"County Commissioner, Precinct 2",0560,72,131,203,1120,18.13%,77,77
"County Commissioner, Precinct 2",0561,362,436,798,3064,26.04%,531,531
"County Commissioner, Precinct 2",0568,876,685,1561,3594,43.43%,1090,1090
"County Commissioner, Precinct 2",0571,155,149,304,1827,16.64%,146,146
"County Commissioner, Precinct 2",0591,183,231,414,2121,19.52%,160,160
"County Commissioner, Precinct 2",0604,702,518,1220,3005,40.60%,1052,1052
"County Commissioner, Precinct 2",0608,31,47,78,537,14.53%,49,49
"County Commissioner, Precinct 2",0636,836,874,1710,4140,41.30%,1515,1515
"County Commissioner, Precinct 2",0637,409,362,771,2512,30.69%,251,251
"County Commissioner, Precinct 2",0658,540,426,966,2807,34.41%,684,684
"County Commissioner, Precinct 2",0659,1149,788,1937,4856,39.89%,1457,1457
"County Commissioner, Precinct 2",0662,1148,890,2038,4874,41.81%,1700,1700
"County Commissioner, Precinct 2",0664,352,250,602,2869,20.98%,186,186
"County Commissioner, Precinct 2",0665,482,348,830,2154,38.53%,730,730
"County Commissioner, Precinct 2",0673,729,516,1245,2995,41.57%,1030,1030
"County Commissioner, Precinct 2",0674,1071,618,1689,4091,41.29%,1336,1336
"County Commissioner, Precinct 2",0675,0,1,1,0,0.00%,1,1
"County Commissioner, Precinct 2",0676,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0677,127,127,254,1266,20.06%,113,113
"County Commissioner, Precinct 2",0679,635,520,1155,3381,34.16%,930,930
"County Commissioner, Precinct 2",0682,711,654,1365,4216,32.38%,1072,1072
"County Commissioner, Precinct 2",0683,29,20,49,276,17.75%,17,17
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0692,444,548,992,2847,34.84%,784,784
"County Commissioner, Precinct 2",0695,232,193,425,1724,24.65%,294,294
"County Commissioner, Precinct 2",0696,261,207,468,1982,23.61%,324,324
"County Commissioner, Precinct 2",0699,558,414,982,2343,41.91%,715,715
"County Commissioner, Precinct 2",0700,255,251,506,1371,36.91%,445,445
"County Commissioner, Precinct 2",0703,372,490,862,1882,45.80%,675,675
"County Commissioner, Precinct 2",0704,569,599,1168,3064,38.12%,983,983
"County Commissioner, Precinct 2",0708,54,52,106,563,18.83%,60,60
"County Commissioner, Precinct 2",0714,36,19,55,296,18.58%,37,37
"County Commissioner, Precinct 2",0715,175,187,363,1408,25.78%,221,221
"County Commissioner, Precinct 2",0716,449,407,856,2680,31.94%,641,641
"County Commissioner, Precinct 2",0718,1017,806,1823,4229,43.11%,1376,1376
"County Commissioner, Precinct 2",0719,247,137,384,1589,24.17%,264,264
"County Commissioner, Precinct 2",0721,754,532,1286,2870,44.81%,922,922
"County Commissioner, Precinct 2",0724,151,128,279,766,36.42%,226,226
"County Commissioner, Precinct 2",0725,423,237,660,2237,29.50%,349,349
"County Commissioner, Precinct 2",0728,209,151,360,880,40.91%,232,232
"County Commissioner, Precinct 2",0732,441,324,765,1924,39.76%,522,522
"County Commissioner, Precinct 2",0736,3,1,4,22,18.18%,0,0
"County Commissioner, Precinct 2",0737,11,7,18,51,35.29%,14,14
"County Commissioner, Precinct 2",0739,353,301,654,2955,22.13%,377,377
"County Commissioner, Precinct 2",0740,96,98,194,939,20.66%,133,133
"County Commissioner, Precinct 2",0744,456,392,848,2027,41.84%,584,584
"County Commissioner, Precinct 2",0745,683,372,1055,2494,42.30%,706,706
"County Commissioner, Precinct 2",0746,114,77,191,691,27.64%,109,109
"County Commissioner, Precinct 2",0748,170,140,310,1403,22.10%,192,192
"County Commissioner, Precinct 2",0749,30,17,47,377,12.47%,10,10
"County Commissioner, Precinct 2",0750,111,96,207,767,26.99%,139,139
"County Commissioner, Precinct 2",0752,286,200,486,1483,32.77%,393,393
"County Commissioner, Precinct 2",0755,442,584,1026,4294,23.89%,542,542
"County Commissioner, Precinct 2",0762,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0763,108,146,254,1212,20.96%,125,125
"County Commissioner, Precinct 2",0764,1133,774,1907,5217,36.55%,1298,1298
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0766,40,25,65,392,16.58%,23,23
"County Commissioner, Precinct 2",0769,54,16,70,183,38.25%,5,5
"County Commissioner, Precinct 2",0770,31,25,56,323,17.34%,36,36
"County Commissioner, Precinct 2",0777,46,40,86,652,13.19%,41,41
"County Commissioner, Precinct 2",0778,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0779,54,51,115,940,12.23%,51,51
"County Commissioner, Precinct 2",0785,28,25,53,296,17.91%,33,33
"County Commissioner, Precinct 2",0786,100,98,198,1251,15.83%,93,93
"County Commissioner, Precinct 2",0787,45,52,98,488,20.08%,46,46
"County Commissioner, Precinct 2",0790,0,0,0,3,0.00%,0,0
"County Commissioner, Precinct 2",0791,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0792,269,239,508,1865,27.24%,168,168
"County Commissioner, Precinct 2",0793,448,247,695,2484,27.98%,461,461
"County Commissioner, Precinct 2",0795,90,125,215,1217,17.67%,107,107
"County Commissioner, Precinct 2",0796,83,51,134,476,28.15%,85,85
"County Commissioner, Precinct 2",0797,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0806,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0810,9,16,25,211,11.85%,10,10
"County Commissioner, Precinct 2",0811,29,50,79,270,29.26%,32,32
"County Commissioner, Precinct 2",0817,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0818,85,39,125,616,20.29%,40,40
"County Commissioner, Precinct 2",0821,124,120,244,1242,19.65%,45,45
"County Commissioner, Precinct 2",0824,428,282,710,2700,26.30%,197,197
"County Commissioner, Precinct 2",0827,60,98,158,979,16.14%,95,95
"County Commissioner, Precinct 2",0833,0,1,1,20,5.00%,0,0
"County Commissioner, Precinct 2",0850,45,41,87,210,41.43%,37,37
"County Commissioner, Precinct 2",0856,0,1,1,0,0.00%,0,0
"County Commissioner, Precinct 2",0860,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0862,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0866,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0867,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0872,5,3,8,59,13.56%,5,5
"County Commissioner, Precinct 2",0885,562,368,930,2619,35.51%,603,603
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0889,14,0,14,57,24.56%,6,6
"County Commissioner, Precinct 2",0899,2,0,2,8,25.00%,0,0
"County Commissioner, Precinct 2",0905,123,100,223,904,24.67%,117,117
"County Commissioner, Precinct 2",0907,12,19,31,181,17.13%,8,8
"County Commissioner, Precinct 2",0908,0,1,1,0,0.00%,1,1
"County Commissioner, Precinct 2",0909,2,1,3,18,16.67%,1,1
"County Commissioner, Precinct 2",0910,25,24,49,217,22.58%,23,23
"County Commissioner, Precinct 2",0925,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0935,3,2,5,54,9.26%,1,1
"County Commissioner, Precinct 2",0936,8,2,10,81,12.35%,5,5
"County Commissioner, Precinct 2",0937,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",0950,0,0,0,1,0.00%,0,0
"County Commissioner, Precinct 2",0962,10,17,27,88,30.68%,7,7
"County Commissioner, Precinct 2",0967,15,48,63,165,38.18%,25,25
"County Commissioner, Precinct 2",0968,119,30,149,692,21.53%,43,43
"County Commissioner, Precinct 2",0988,24,12,36,123,29.27%,33,33
"County Commissioner, Precinct 2",1008,32,12,44,151,29.14%,37,37
"County Commissioner, Precinct 2",1009,0,0,0,9,0.00%,0,0
"County Commissioner, Precinct 2",1032,31,25,56,244,22.95%,38,38
"County Commissioner, Precinct 2",1034,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",1037,19,11,30,76,39.47%,18,18
"County Commissioner, Precinct 2",1039,2,0,2,25,8.00%,0,0
"County Commissioner, Precinct 2",1040,91,66,157,771,20.36%,85,85
"County Commissioner, Precinct 2",1041,0,2,2,0,0.00%,1,1
"County Commissioner, Precinct 2",1046,11,5,16,62,25.81%,1,1
"County Commissioner, Precinct 2",1048,1,0,1,17,5.88%,1,1
"County Commissioner, Precinct 2",1049,14,45,59,290,20.34%,25,25
"County Commissioner, Precinct 2",1053,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",1060,5,2,7,42,16.67%,5,5
"County Commissioner, Precinct 2",1065,1,0,1,28,3.57%,0,0
"County Commissioner, Precinct 2",1066,72,0,72,229,31.44%,7,7
"County Commissioner, Precinct 2",1067,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 2",1068,22,8,30,121,24.79%,16,16
