Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0332,18,7,25,138,18.12%,14,7,21
"District Judge, 295th Judicial District",0333,524,714,1238,3021,40.98%,897,282,1179
"District Judge, 295th Judicial District",0334,83,42,125,742,16.85%,22,99,121
"District Judge, 295th Judicial District",0335,121,98,219,1300,16.85%,87,115,202
"District Judge, 295th Judicial District",0336,866,624,1490,4051,36.78%,141,1316,1457
"District Judge, 295th Judicial District",0337,124,103,227,1029,22.06%,45,172,217
"District Judge, 295th Judicial District",0338,730,391,1121,4934,22.72%,397,648,1045
"District Judge, 295th Judicial District",0339,202,222,424,1757,24.13%,99,297,396
"District Judge, 295th Judicial District",0340,1038,594,1632,3765,43.35%,1246,313,1559
"District Judge, 295th Judicial District",0341,91,167,258,1290,20.00%,92,157,249
"District Judge, 295th Judicial District",0342,675,605,1280,6526,19.61%,220,1027,1247
"District Judge, 295th Judicial District",0343,189,271,460,1964,23.42%,148,284,432
"District Judge, 295th Judicial District",0344,154,172,326,1160,28.10%,14,298,312
"District Judge, 295th Judicial District",0345,156,165,321,1804,17.79%,100,204,304
"District Judge, 295th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 295th Judicial District",0347,592,436,1028,3387,30.35%,712,282,994
"District Judge, 295th Judicial District",0348,438,208,646,1708,37.82%,506,113,619
"District Judge, 295th Judicial District",0349,188,267,455,1349,33.73%,284,146,430
"District Judge, 295th Judicial District",0350,524,526,1050,2909,36.09%,457,506,963
"District Judge, 295th Judicial District",0351,1491,710,2201,4712,46.71%,1763,354,2117
"District Judge, 295th Judicial District",0352,520,339,859,3205,26.80%,645,180,825
"District Judge, 295th Judicial District",0353,665,451,1116,3862,28.90%,212,868,1080
"District Judge, 295th Judicial District",0354,715,338,1053,3388,31.08%,271,753,1024
"District Judge, 295th Judicial District",0355,301,264,565,1560,36.22%,49,502,551
"District Judge, 295th Judicial District",0356,594,538,1132,2972,38.09%,762,318,1080
"District Judge, 295th Judicial District",0357,837,575,1412,3517,40.15%,1056,308,1364
"District Judge, 295th Judicial District",0358,212,254,466,2492,18.70%,57,395,452
"District Judge, 295th Judicial District",0359,234,224,458,3061,14.96%,67,382,449
"District Judge, 295th Judicial District",0360,522,380,902,2146,42.03%,507,318,825
"District Judge, 295th Judicial District",0361,41,295,336,1673,20.08%,54,240,294
"District Judge, 295th Judicial District",0362,1138,887,2025,5086,39.82%,1519,398,1917
"District Judge, 295th Judicial District",0363,620,412,1032,3677,28.07%,481,521,1002
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0364,488,405,893,2658,33.60%,535,315,850
"District Judge, 295th Judicial District",0365,478,231,709,1305,54.33%,57,635,692
"District Judge, 295th Judicial District",0366,252,270,522,2454,21.27%,145,361,506
"District Judge, 295th Judicial District",0367,170,138,308,1130,27.26%,73,228,301
"District Judge, 295th Judicial District",0368,178,88,266,958,27.77%,74,181,255
"District Judge, 295th Judicial District",0369,32,29,61,559,10.91%,19,40,59
"District Judge, 295th Judicial District",0370,1532,1105,2637,6593,40.00%,2024,524,2548
"District Judge, 295th Judicial District",0371,122,52,174,502,34.66%,6,162,168
"District Judge, 295th Judicial District",0372,221,170,391,1224,31.94%,50,328,378
"District Judge, 295th Judicial District",0373,21,12,33,157,21.02%,3,28,31
"District Judge, 295th Judicial District",0374,65,93,158,738,21.41%,61,93,154
"District Judge, 295th Judicial District",0375,254,220,474,2645,17.92%,250,189,439
"District Judge, 295th Judicial District",0376,278,205,483,1910,25.29%,225,237,462
"District Judge, 295th Judicial District",0377,525,583,1109,2920,37.98%,828,225,1053
"District Judge, 295th Judicial District",0378,232,354,586,1829,32.04%,382,178,560
"District Judge, 295th Judicial District",0379,431,289,720,2027,35.52%,77,625,702
"District Judge, 295th Judicial District",0380,1299,995,2294,5666,40.49%,1279,942,2221
"District Judge, 295th Judicial District",0381,412,248,660,2855,23.12%,317,317,634
"District Judge, 295th Judicial District",0382,132,157,289,922,31.34%,220,61,281
"District Judge, 295th Judicial District",0383,289,263,552,2173,25.40%,236,296,532
"District Judge, 295th Judicial District",0384,573,373,946,2657,35.60%,204,709,913
"District Judge, 295th Judicial District",0385,583,670,1253,2207,56.77%,1005,174,1179
"District Judge, 295th Judicial District",0386,662,469,1131,2922,38.71%,838,248,1086
"District Judge, 295th Judicial District",0387,555,672,1227,3935,31.18%,899,286,1185
"District Judge, 295th Judicial District",0388,1430,1010,2440,6888,35.42%,1429,938,2367
"District Judge, 295th Judicial District",0389,91,208,299,1026,29.14%,44,231,275
"District Judge, 295th Judicial District",0390,356,263,619,1480,41.82%,75,517,592
"District Judge, 295th Judicial District",0391,508,260,768,1883,40.79%,500,230,730
"District Judge, 295th Judicial District",0392,387,155,542,1446,37.48%,7,527,534
"District Judge, 295th Judicial District",0393,165,185,350,1292,27.09%,173,167,340
"District Judge, 295th Judicial District",0394,69,73,142,834,17.03%,76,60,136
"District Judge, 295th Judicial District",0395,469,404,873,1846,47.29%,654,171,825
"District Judge, 295th Judicial District",0396,622,216,838,2082,40.25%,15,811,826
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0397,86,78,164,760,21,58%,82,77,159
"District Judge, 295th Judicial District",0398,615,521,1136,4022,28.24%,630,481,1111
"District Judge, 295th Judicial District",0399,402,366,768,2791,27.52%,434,310,744
"District Judge, 295th Judicial District",0400,520,359,979,2411,40.61%,734,197,931
"District Judge, 295th Judicial District",0401,330,205,535,1913,27.97%,18,506,524
"District Judge, 295th Judicial District",0402,466,266,732,1794,40.80%,38,678,716
"District Judge, 295th Judicial District",0403,475,498,973,1715,56.73%,578,304,882
"District Judge, 295th Judicial District",0404,419,330,749,2585,28.97%,460,259,719
"District Judge, 295th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 295th Judicial District",0406,137,67,204,628,32.48%,5,195,200
"District Judge, 295th Judicial District",0407,688,793,1481,3769,39.29%,1029,368,1397
"District Judge, 295th Judicial District",0408,146,153,299,1691,17.68%,145,139,284
"District Judge, 295th Judicial District",0409,122,149,271,1459,18.57%,116,147,263
"District Judge, 295th Judicial District",0410,132,80,212,899,23.58%,45,157,202
"District Judge, 295th Judicial District",0411,235,200,435,2339,18.60%,167,249,416
"District Judge, 295th Judicial District",0412,74,44,118,468,25.21%,6,108,114
"District Judge, 295th Judicial District",0413,767,386,1153,2992,38.54%,476,631,1107
"District Judge, 295th Judicial District",0414,654,480,1134,3453,32.84%,900,191,1091
"District Judge, 295th Judicial District",0415,539,598,1137,2203,51.61%,793,286,1079
"District Judge, 295th Judicial District",0416,538,558,1096,3791,28.91%,638,417,1055
"District Judge, 295th Judicial District",0417,353,385,738,2448,30.15%,381,323,704
"District Judge, 295th Judicial District",0418,403,469,872,3584,24.33%,388,444,832
"District Judge, 295th Judicial District",0419,571,324,895,2658,33.67%,614,242,856
"District Judge, 295th Judicial District",0420,1036,874,1910,4762,40.11%,1591,245,1836
"District Judge, 295th Judicial District",0421,35,37,73,410,17.80%,27,40,67
"District Judge, 295th Judicial District",0422,731,402,1133,3345,33.87%,30,1083,1113
"District Judge, 295th Judicial District",0423,108,120,228,1376,16.57%,81,139,220
"District Judge, 295th Judicial District",0424,240,111,351,967,36.30%,223,113,336
"District Judge, 295th Judicial District",0425,107,123,230,883,26.05%,93,129,222
"District Judge, 295th Judicial District",0426,260,183,443,1218,36.37%,281,137,418
"District Judge, 295th Judicial District",0427,179,134,313,1092,28.66%,147,142,289
"District Judge, 295th Judicial District",0428,619,421,1040,4538,22.92%,340,621,961
"District Judge, 295th Judicial District",0429,445,314,759,3197,23.74%,222,493,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0430,161,133,294,1657,17.74%,96,184,280
"District Judge, 295th Judicial District",0431,327,84,411,3417,12.03%,158,231,389
"District Judge, 295th Judicial District",0432,123,157,280,1455,19.24%,114,157,271
"District Judge, 295th Judicial District",0433,50,63,113,581,19.45%,26,82,108
"District Judge, 295th Judicial District",0434,370,289,659,1503,43.85%,440,183,623
"District Judge, 295th Judicial District",0435,855,636,1491,3252,45.85%,1034,377,1411
"District Judge, 295th Judicial District",0436,629,531,1160,2933,39.55%,759,332,1091
"District Judge, 295th Judicial District",0437,521,512,1033,2033,50.81%,746,224,970
"District Judge, 295th Judicial District",0438,517,389,1006,1861,54.06%,790,157,947
"District Judge, 295th Judicial District",0439,710,884,1594,3554,44.85%,1205,297,1502
"District Judge, 295th Judicial District",0440,664,858,1522,2930,51.95%,1242,186,1428
"District Judge, 295th Judicial District",0441,345,420,765,1669,45.84%,603,119,722
"District Judge, 295th Judicial District",0442,612,574,1186,2575,46.06%,996,144,1140
"District Judge, 295th Judicial District",0443,225,138,354,646,56.35%,275,69,344
"District Judge, 295th Judicial District",0444,587,583,1270,3262,38.93%,845,352,1197
"District Judge, 295th Judicial District",0445,499,348,847,2026,41.81%,597,216,813
"District Judge, 295th Judicial District",0446,31,22,53,291,18.21%,28,22,50
"District Judge, 295th Judicial District",0447,93,86,179,637,28.10%,58,114,172
"District Judge, 295th Judicial District",0448,590,778,1368,3138,43.59%,814,472,1286
"District Judge, 295th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"District Judge, 295th Judicial District",0450,435,328,763,2635,28.96%,255,480,735
"District Judge, 295th Judicial District",0451,1002,510,1512,2687,56.27%,1269,173,1442
"District Judge, 295th Judicial District",0452,554,444,998,3048,32.74%,753,213,966
"District Judge, 295th Judicial District",0453,231,262,493,1937,25.45%,209,261,470
"District Judge, 295th Judicial District",0454,594,248,842,2561,32.88%,13,818,831
"District Judge, 295th Judicial District",0455,367,165,532,1689,31.50%,22,503,525
"District Judge, 295th Judicial District",0456,482,362,844,3513,24.03%,500,318,818
"District Judge, 295th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 295th Judicial District",0458,471,237,708,1924,36.80%,34,654,688
"District Judge, 295th Judicial District",0459,951,474,1425,3021,47.17%,1153,228,1381
"District Judge, 295th Judicial District",0460,554,331,885,2837,31.19%,234,630,864
"District Judge, 295th Judicial District",0461,1155,735,1900,3871,49.08%,1360,410,1770
"District Judge, 295th Judicial District",0462,674,619,1293,3384,38.21%,500,734,1234
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0463,480,404,884,3326,26.58%,415,439,854
"District Judge, 295th Judicial District",0464,356,430,786,2257,34.82%,578,178,756
"District Judge, 295th Judicial District",0465,687,520,1207,3564,33.87%,711,454,1165
"District Judge, 295th Judicial District",0466,1058,614,1672,4184,39.96%,1001,613,1614
"District Judge, 295th Judicial District",0467,213,189,402,1270,31.65%,99,289,388
"District Judge, 295th Judicial District",0468,352,443,795,3598,22.10%,264,502,766
"District Judge, 295th Judicial District",0469,1294,547,1841,3985,46.20%,1497,264,1761
"District Judge, 295th Judicial District",0470,185,176,361,1326,27.22%,274,69,343
"District Judge, 295th Judicial District",0471,375,380,755,2387,31.63%,623,112,735
"District Judge, 295th Judicial District",0472,198,278,476,1081,44.03%,226,213,439
"District Judge, 295th Judicial District",0473,599,391,990,1806,54.82%,711,230,941
"District Judge, 295th Judicial District",0474,559,588,1147,3037,37.77%,824,283,1107
"District Judge, 295th Judicial District",0475,189,267,456,1809,25.21%,228,205,433
"District Judge, 295th Judicial District",0476,404,473,877,2430,36.09%,517,327,844
"District Judge, 295th Judicial District",0477,737,567,1304,3505,37.20%,1008,247,1255
"District Judge, 295th Judicial District",0478,958,657,1615,4461,36.20%,1119,416,1535
"District Judge, 295th Judicial District",0479,638,612,1250,2714,46.06%,954,246,1200
"District Judge, 295th Judicial District",0480,493,450,943,2415,39.05%,704,203,907
"District Judge, 295th Judicial District",0481,770,623,1393,3482,40.01%,1086,250,1336
"District Judge, 295th Judicial District",0482,878,630,1508,4373,34.48%,1110,346,1456
"District Judge, 295th Judicial District",0483,1042,478,1520,4308,35.28%,919,538,1457
"District Judge, 295th Judicial District",0484,1107,930,2037,4979,40.91%,1513,451,1964
"District Judge, 295th Judicial District",0485,1095,911,2006,5388,37.23%,1588,360,1948
"District Judge, 295th Judicial District",0486,873,855,1728,3866,44.70%,1383,270,1653
"District Judge, 295th Judicial District",0487,570,294,864,3860,22.38%,320,475,795
"District Judge, 295th Judicial District",0488,268,254,522,1719,30.37%,210,274,484
"District Judge, 295th Judicial District",0489,350,290,640,1893,33.81%,223,383,606
"District Judge, 295th Judicial District",0490,444,368,812,1975,41.11%,309,465,774
"District Judge, 295th Judicial District",0491,314,372,686,1888,36.33%,438,218,656
"District Judge, 295th Judicial District",0492,556,410,966,2335,41.37%,607,309,916
"District Judge, 295th Judicial District",0493,479,322,801,1853,43.23%,565,191,756
"District Judge, 295th Judicial District",0494,381,247,628,2467,25.46%,88,523,611
"District Judge, 295th Judicial District",0495,522,523,1045,2375,44.00%,772,207,979
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0496,190,315,505,2160,23.38%,205,281,486
"District Judge, 295th Judicial District",0497,526,243,769,2257,34.07%,26,723,749
"District Judge, 295th Judicial District",0498,363,323,686,2297,29.87%,318,352,670
"District Judge, 295th Judicial District",0499,750,518,1268,2326,54.51%,972,224,1196
"District Judge, 295th Judicial District",0500,729,715,1444,3507,41.17%,1026,362,1388
"District Judge, 295th Judicial District",0501,341,417,758,1801,42.09%,301,401,702
"District Judge, 295th Judicial District",0502,477,350,827,2501,33.07%,681,118,799
"District Judge, 295th Judicial District",0503,174,116,290,1374,21.11%,114,156,270
"District Judge, 295th Judicial District",0504,624,527,1151,2288,50.31%,785,299,1084
"District Judge, 295th Judicial District",0505,531,562,1193,3773,31.62%,580,532,1112
"District Judge, 295th Judicial District",0506,665,670,1335,3502,38.12%,245,1042,1287
"District Judge, 295th Judicial District",0507,221,149,370,2452,15.09%,78,226,304
"District Judge, 295th Judicial District",0508,492,412,904,3287,27.50%,361,476,837
"District Judge, 295th Judicial District",0509,753,596,1349,3732,36.15%,974,309,1283
"District Judge, 295th Judicial District",0510,687,514,1201,3590,33.45%,630,520,1150
"District Judge, 295th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 295th Judicial District",0512,602,660,1262,5057,24.96%,628,600,1228
"District Judge, 295th Judicial District",0513,1019,487,1506,2894,52.04%,1185,248,1433
"District Judge, 295th Judicial District",0514,953,720,1673,4275,39.13%,1298,306,1604
"District Judge, 295th Judicial District",0515,942,683,1625,3455,47.03%,1342,214,1556
"District Judge, 295th Judicial District",0516,1000,800,1800,5356,33.61%,984,736,1720
"District Judge, 295th Judicial District",0517,481,256,737,2954,24.95%,437,278,715
"District Judge, 295th Judicial District",0518,635,693,1328,3943,33.68%,897,382,1279
"District Judge, 295th Judicial District",0519,623,493,1116,2966,37.63%,852,227,1079
"District Judge, 295th Judicial District",0520,473,457,930,4580,20.31%,173,733,906
"District Judge, 295th Judicial District",0521,471,464,935,2866,32.62%,514,383,897
"District Judge, 295th Judicial District",0522,715,572,1288,2689,47.90%,1026,214,1240
"District Judge, 295th Judicial District",0523,751,415,1166,3052,38.20%,818,293,1111
"District Judge, 295th Judicial District",0524,567,459,1026,3410,30.09%,374,618,992
"District Judge, 295th Judicial District",0525,707,482,1189,3091,38.47%,284,853,1137
"District Judge, 295th Judicial District",0526,68,84,152,780,19.49%,48,94,142
"District Judge, 295th Judicial District",0527,37,40,77,574,13.41%,44,31,75
"District Judge, 295th Judicial District",0528,14,12,26,90,28.89%,1,24,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0529,1043,491,1534,3710,41.35%,1335,143,1478
"District Judge, 295th Judicial District",0530,114,107,221,1196,18.48%,60,144,204
"District Judge, 295th Judicial District",0531,363,174,537,1145,46.90%,425,91,516
"District Judge, 295th Judicial District",0532,205,146,351,1048,33.49%,264,77,341
"District Judge, 295th Judicial District",0533,124,108,232,1119,20.73%,138,81,219
"District Judge, 295th Judicial District",0534,783,524,1,307,3837,34.06%,1025,224,1249
"District Judge, 295th Judicial District",0535,33,29,62,416,14.90%,31,29,60
"District Judge, 295th Judicial District",0536,554,780,1334,5139,25.96%,549,737,1286
"District Judge, 295th Judicial District",0537,855,778,1633,3050,53.54%,1225,333,1558
"District Judge, 295th Judicial District",0538,204,160,364,1303,27.94%,9,351,360
"District Judge, 295th Judicial District",0539,15,241,256,64,400.00%,76,163,239
"District Judge, 295th Judicial District",0540,378,316,694,1567,44.29%,318,325,643
"District Judge, 295th Judicial District",0541,784,505,1289,4599,28.03%,195,1045,1240
"District Judge, 295th Judicial District",0542,360,382,742,2557,29.02%,51,661,712
"District Judge, 295th Judicial District",0543,141,213,354,1565,22.62%,127,203,330
"District Judge, 295th Judicial District",0544,35,41,77,310,24.84%,12,64,76
"District Judge, 295th Judicial District",0545,596,620,1216,3629,33.51%,643,530,1173
"District Judge, 295th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"District Judge, 295th Judicial District",0547,501,466,967,2406,40.19%,703,220,923
"District Judge, 295th Judicial District",0548,286,293,579,2215,26.14%,310,251,561
"District Judge, 295th Judicial District",0549,343,418,761,2663,28.58%,118,626,744
"District Judge, 295th Judicial District",0550,501,431,932,3031,30.75%,554,345,899
"District Judge, 295th Judicial District",0551,1288,1394,2682,7034,38.13%,2064,537,2601
"District Judge, 295th Judicial District",0552,847,883,1730,3415,50.66%,1473,203,1676
"District Judge, 295th Judicial District",0553,578,529,1107,4686,23.62%,520,553,1073
"District Judge, 295th Judicial District",0554,261,199,460,1757,26.18%,106,321,427
"District Judge, 295th Judicial District",0555,225,277,502,2219,22.62%,113,370,483
"District Judge, 295th Judicial District",0556,276,186,462,2319,19.92%,145,300,445
"District Judge, 295th Judicial District",0557,455,183,638,2830,22.54%,273,287,560
"District Judge, 295th Judicial District",0558,693,463,1156,4380,26.39%,431,680,1111
"District Judge, 295th Judicial District",0559,640,494,1134,4969,22.82%,358,732,1090
"District Judge, 295th Judicial District",0560,72,131,203,1120,18.13%,57,132,189
"District Judge, 295th Judicial District",0561,362,436,798,3064,26.04%,505,260,765
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0562,113,68,181,694,26.08%,29,148,177
"District Judge, 295th Judicial District",0563,1107,376,1483,3105,47.76%,1194,224,1418
"District Judge, 295th Judicial District",0564,470,426,896,3155,28.40%,249,608,857
"District Judge, 295th Judicial District",0565,108,78,186,1354,13.74%,45,128,173
"District Judge, 295th Judicial District",0566,417,324,741,2882,25.71%,252,468,720
"District Judge, 295th Judicial District",0567,301,193,494,2238,22.07%,178,275,453
"District Judge, 295th Judicial District",0568,876,685,1561,3594,43.43%,1070,402,1472
"District Judge, 295th Judicial District",0569,572,667,1239,3525,35.15%,691,470,1161
"District Judge, 295th Judicial District",0570,238,210,448,1562,28.68%,164,250,414
"District Judge, 295th Judicial District",0571,155,149,304,1827,16.64%,131,163,294
"District Judge, 295th Judicial District",0572,555,375,930,3108,29.92%,505,387,892
"District Judge, 295th Judicial District",0573,290,151,441,1619,27.24%,7,428,435
"District Judge, 295th Judicial District",0574,31,42,73,402,18.16%,10,63,73
"District Judge, 295th Judicial District",0575,13,11,24,74,32.43%,20,3,23
"District Judge, 295th Judicial District",0576,485,318,803,2734,29.37%,24,766,790
"District Judge, 295th Judicial District",0577,147,88,235,608,38.65%,149,74,223
"District Judge, 295th Judicial District",0578,409,538,947,1799,52.64%,608,284,892
"District Judge, 295th Judicial District",0579,75,101,176,1056,16.67%,35,134,169
"District Judge, 295th Judicial District",0580,179,118,297,1031,28.81%,5,282,287
"District Judge, 295th Judicial District",0581,212,174,386,1032,37.40%,7,368,375
"District Judge, 295th Judicial District",0582,258,171,429,1588,27.02%,21,397,418
"District Judge, 295th Judicial District",0583,225,131,356,1262,28.21%,11,337,348
"District Judge, 295th Judicial District",0584,182,93,275,1014,27.12%,12,259,271
"District Judge, 295th Judicial District",0585,417,172,589,2511,23.46%,17,566,583
"District Judge, 295th Judicial District",0586,638,680,1318,4316,30.54%,820,448,1268
"District Judge, 295th Judicial District",0587,436,284,720,2598,27.71%,290,411,701
"District Judge, 295th Judicial District",0588,758,674,1432,3645,39.29%,1042,343,1385
"District Judge, 295th Judicial District",0589,500,386,886,3420,25.91%,509,349,858
"District Judge, 295th Judicial District",0590,772,399,1171,2162,54.16%,949,183,1132
"District Judge, 295th Judicial District",0591,183,231,414,2121,19.52%,132,265,397
"District Judge, 295th Judicial District",0592,133,157,290,1350,21.48%,83,193,276
"District Judge, 295th Judicial District",0593,543,564,1107,4380,25.27%,571,483,1054
"District Judge, 295th Judicial District",0594,561,326,887,2490,35.62%,256,602,858
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0595,201,178,379,1693,22.39%,72,299,371
"District Judge, 295th Judicial District",0596,441,348,789,3007,26.24%,458,305,763
"District Judge, 295th Judicial District",0597,367,394,761,3653,20.83%,342,404,746
"District Judge, 295th Judicial District",0598,195,57,252,728,34.62%,212,35,247
"District Judge, 295th Judicial District",0599,850,578,1428,4950,28.85%,529,856,1385
"District Judge, 295th Judicial District",0600,667,429,1096,3957,27.70%,463,584,1047
"District Judge, 295th Judicial District",0601,1073,756,1829,4057,45.08%,1420,341,1761
"District Judge, 295th Judicial District",0602,293,235,528,1326,39.82%,388,124,512
"District Judge, 295th Judicial District",0603,884,794,1678,4843,34.65%,1097,541,1638
"District Judge, 295th Judicial District",0604,702,518,1220,3005,40.60%,1022,156,1178
"District Judge, 295th Judicial District",0605,907,556,1463,5582,26.21%,388,1034,1422
"District Judge, 295th Judicial District",0606,176,70,246,937,26.25%,3,239,242
"District Judge, 295th Judicial District",0607,62,51,113,728,15.52%,12,95,107
"District Judge, 295th Judicial District",0608,31,47,78,537,14.53%,48,24,72
"District Judge, 295th Judicial District",0609,557,680,1347,3384,39.80%,881,399,1280
"District Judge, 295th Judicial District",0610,231,188,419,1927,21.74%,233,152,385
"District Judge, 295th Judicial District",0611,495,242,737,2488,29.62%,23,703,726
"District Judge, 295th Judicial District",0612,996,497,1493,3307,45.15%,1145,266,1411
"District Judge, 295th Judicial District",0613,186,204,390,1554,25.10%,62,316,378
"District Judge, 295th Judicial District",0614,737,566,1303,4207,30.97%,520,729,1249
"District Judge, 295th Judicial District",0615,480,299,779,1967,39.60%,509,247,756
"District Judge, 295th Judicial District",0616,739,663,1402,3436,40.80%,1015,330,1345
"District Judge, 295th Judicial District",0617,541,393,934,3809,24.52%,403,510,913
"District Judge, 295th Judicial District",0618,946,567,1513,6003,25.20%,793,675,1468
"District Judge, 295th Judicial District",0619,1219,803,2022,4297,47.06%,1534,395,1929
"District Judge, 295th Judicial District",0620,689,264,953,2897,32.90%,622,286,908
"District Judge, 295th Judicial District",0621,154,101,255,1133,22.51%,139,102,241
"District Judge, 295th Judicial District",0622,881,524,1405,4403,31.91%,902,455,1357
"District Judge, 295th Judicial District",0623,887,487,1374,3691,37.23%,957,355,1312
"District Judge, 295th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 295th Judicial District",0625,477,362,839,1820,46.10%,500,291,791
"District Judge, 295th Judicial District",0626,581,440,1021,2861,35.69%,598,363,961
"District Judge, 295th Judicial District",0627,346,322,668,3049,21.91%,250,388,638
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0628,152,219,371,1675,22.15%,209,148,357
"District Judge, 295th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"District Judge, 295th Judicial District",0630,974,600,1574,3905,40.31%,123,1406,1529
"District Judge, 295th Judicial District",0631,822,404,1226,2846,43.08%,916,263,1179
"District Judge, 295th Judicial District",0632,7,4,11,343,3.21%,4,7,11
"District Judge, 295th Judicial District",0633,943,731,1674,3559,47.04%,1215,394,1609
"District Judge, 295th Judicial District",0634,458,442,900,3029,29.71%,611,259,870
"District Judge, 295th Judicial District",0635,743,485,1228,3393,36.19%,956,240,1196
"District Judge, 295th Judicial District",0636,835,874,1710,4140,41.30%,1497,160,1657
"District Judge, 295th Judicial District",0637,409,362,771,2512,30.69%,211,508,719
"District Judge, 295th Judicial District",0638,304,245,549,2204,24.91%,43,480,523
"District Judge, 295th Judicial District",0639,549,547,1096,2526,43.39%,894,156,1050
"District Judge, 295th Judicial District",0640,641,459,1100,3733,29.47%,718,353,1071
"District Judge, 295th Judicial District",0641,649,596,1245,3650,34.11%,843,352,1195
"District Judge, 295th Judicial District",0642,471,394,865,1764,49.04%,707,121,828
"District Judge, 295th Judicial District",0643,934,653,1587,5945,26.69%,642,894,1536
"District Judge, 295th Judicial District",0644,1019,823,1842,5523,33.35%,1248,515,1763
"District Judge, 295th Judicial District",0645,654,594,1248,4185,29.82%,710,488,1198
"District Judge, 295th Judicial District",0646,364,287,651,2220,29.32%,218,393,611
"District Judge, 295th Judicial District",0647,904,470,1374,6084,22.58%,405,854,1259
"District Judge, 295th Judicial District",0648,838,579,1417,3367,42.08%,1042,329,1371
"District Judge, 295th Judicial District",0649,687,434,1121,4576,24.50%,380,667,1047
"District Judge, 295th Judicial District",0650,906,766,1672,3888,43.00%,1263,336,1599
"District Judge, 295th Judicial District",0651,963,766,1729,5128,33.72%,1142,512,1654
"District Judge, 295th Judicial District",0652,467,515,982,2815,34.88%,181,769,950
"District Judge, 295th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 295th Judicial District",0654,950,1005,1955,6208,31.49%,1137,750,1887
"District Judge, 295th Judicial District",0655,1115,1079,2195,6855,32.02%,1406,706,2112
"District Judge, 295th Judicial District",0656,579,393,972,2674,36.35%,41,911,952
"District Judge, 295th Judicial District",0657,246,172,418,1292,32.35%,174,225,399
"District Judge, 295th Judicial District",0658,540,426,966,2807,34.41%,648,296,944
"District Judge, 295th Judicial District",0659,1149,788,1937,4856,39.89%,1425,455,1880
"District Judge, 295th Judicial District",0660,950,825,1775,5372,33.04%,170,1567,1737
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0661,675,765,1440,4567,31.53%,874,512,1386
"District Judge, 295th Judicial District",0662,1148,890,2038,4874,41.81%,1670,302,1972
"District Judge, 295th Judicial District",0663,717,797,1514,3346,45.25%,814,588,1402
"District Judge, 295th Judicial District",0664,352,250,602,2869,20.98%,148,426,574
"District Judge, 295th Judicial District",0665,482,348,830,2154,38.53%,713,88,801
"District Judge, 295th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 295th Judicial District",0667,488,502,990,2149,46.07%,793,156,949
"District Judge, 295th Judicial District",0668,399,509,908,2775,32.72%,614,266,880
