Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0166,158,233,391,1028,38.04%,130,239,369
"District Judge, 295th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 295th Judicial District",0168,92,58,150,503,29.82%,3,144,147
"District Judge, 295th Judicial District",0169,518,251,767,2513,30.52%,15,735,750
"District Judge, 295th Judicial District",0170,271,141,412,1869,22.04%,221,169,390
"District Judge, 295th Judicial District",0171,202,198,400,1604,24.94%,13,380,393
"District Judge, 295th Judicial District",0172,88,80,166,621,26.73%,66,86,152
"District Judge, 295th Judicial District",0173,817,739,1556,3599,43.23%,1278,228,1506
"District Judge, 295th Judicial District",0174,829,733,1562,3296,47.39%,1127,345,1472
"District Judge, 295th Judicial District",0175,557,749,1306,2618,49.89%,727,479,1206
"District Judge, 295th Judicial District",0176,344,451,795,1602,49.63%,450,270,720
"District Judge, 295th Judicial District",0177,278,326,604,1496,40.37%,365,205,570
"District Judge, 295th Judicial District",0178,504,365,869,1765,49.24%,630,177,807
"District Judge, 295th Judicial District",0179,256,188,444,1575,28.19%,249,170,419
"District Judge, 295th Judicial District",0180,470,343,813,2834,28.69%,18,761,779
"District Judge, 295th Judicial District",0181,175,262,437,2061,21.20%,148,266,414
"District Judge, 295th Judicial District",0182,590,974,1564,3405,45.93%,1018,408,1426
"District Judge, 295th Judicial District",0183,519,794,1313,2491,52.71%,936,288,1224
"District Judge, 295th Judicial District",0184,106,135,241,994,24.25%,90,133,223
"District Judge, 295th Judicial District",0185,283,292,575,1933,29.75%,218,328,546
"District Judge, 295th Judicial District",0186,97,106,203,798,25.44%,40,157,197
"District Judge, 295th Judicial District",0187,21,25,46,311,14.79%,14,30,44
"District Judge, 295th Judicial District",0188,153,146,299,1637,18.27%,143,140,283
"District Judge, 295th Judicial District",0189,239,360,599,1465,40.89%,321,230,551
"District Judge, 295th Judicial District",0190,120,177,297,1723,17.24%,136,150,286
"District Judge, 295th Judicial District",0191,79,126,205,1366,15.01%,98,99,197
"District Judge, 295th Judicial District",0192,380,225,605,1959,30.88%,27,564,591
"District Judge, 295th Judicial District",0193,173,187,360,1074,33.52%,9,338,347
"District Judge, 295th Judicial District",0194,350,431,781,1912,40.85%,266,477,743
"District Judge, 295th Judicial District",0195,269,278,547,1694,32.29%,20,514,534
"District Judge, 295th Judicial District",0196,52,32,84,316,26.58%,5,77,82
"District Judge, 295th Judicial District",0197,543,309,852,2914,29.24%,12,827,839
"District Judge, 295th Judicial District",0198,53,74,127,642,19.78%,3,123,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0199,812,661,1473,3216,45.80%,1169,243,1412
"District Judge, 295th Judicial District",0200,962,536,1498,3382,44.29%,723,664,1387
"District Judge, 295th Judicial District",0201,98,87,185,724,25.55%,2,178,180
"District Judge, 295th Judicial District",0202,217,189,406,1464,27.73%,14,385,399
