Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0120,713,422,1135,3191,35.57%,723,356,22,8,1109
Comptroller of Public Accounts,0121,92,178,270,848,31.84%,191,69,3,2,265
Comptroller of Public Accounts,0122,352,225,577,1890,30.53%,17,536,9,3,565
Comptroller of Public Accounts,0123,285,288,573,1392,41.16%,131,406,12,11,560
Comptroller of Public Accounts,0124,1734,1292,3026,7254,41.71%,2348,576,56,8,2988
Comptroller of Public Accounts,0125,415,332,747,2405,31.06%,446,259,20,10,735
Comptroller of Public Accounts,0126,893,467,1360,3100,43.87%,1192,129,20,7,1348
Comptroller of Public Accounts,0127,435,154,589,1836,32.08%,404,151,12,3,570
Comptroller of Public Accounts,0128,445,707,1152,2290,50.31%,650,426,28,7,1111
Comptroller of Public Accounts,0129,1031,1200,2231,5746,38.83%,1343,761,50,26,2180
Comptroller of Public Accounts,0130,727,523,1250,2333,53.58%,899,312,9,0,1220
Comptroller of Public Accounts,0131,251,259,510,1935,26.36%,112,362,9,8,491
Comptroller of Public Accounts,0132,593,323,916,2387,38.37%,15,877,6,5,903
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0133,514,858,1372,2662,51.54%,739,539,33,12,1323
Comptroller of Public Accounts,0134,192,265,457,1437,31.80%,203,232,9,6,450
Comptroller of Public Accounts,0135,730,579,1309,2671,49.01%,836,415,23,2,1276
Comptroller of Public Accounts,0136,503,371,874,2013,43.42%,32,809,5,9,855
Comptroller of Public Accounts,0137,166,141,307,716,42.88%,145,141,12,3,301
Comptroller of Public Accounts,0138,296,199,495,1699,29.13%,15,464,4,3,486
Comptroller of Public Accounts,0139,700,551,1251,3037,41.19%,508,661,31,17,1217
Comptroller of Public Accounts,0140,701,480,1181,3214,36.75%,128,994,21,15,1158
Comptroller of Public Accounts,0141,80,80,160,855,18.71%,93,55,4,0,152
Comptroller of Public Accounts,0142,87,103,190,902,21.06%,64,117,3,2,186
Comptroller of Public Accounts,0143,1962,580,2542,6386,39.81%,1796,665,45,4,2510
Comptroller of Public Accounts,0144,216,158,374,1093,34.22%,7,353,2,2,364
Comptroller of Public Accounts,0145,264,213,477,1538,31.01%,10,450,0,1,461
Comptroller of Public Accounts,0146,426,519,945,2008,47.06%,396,488,19,18,921
Comptroller of Public Accounts,0147,589,329,1018,3008,33.84%,121,864,7,7,999
Comptroller of Public Accounts,0148,500,780,1280,2540,50.39%,440,748,34,12,1234
Comptroller of Public Accounts,0149,1621,737,2358,7993,29.50%,1189,1060,53,16,2318
Comptroller of Public Accounts,0150,236,169,405,1256,32.25%,13,387,0,1,401
Comptroller of Public Accounts,0151,137,79,216,826,26.15%,10,197,4,0,211
Comptroller of Public Accounts,0152,214,299,513,2788,18.40%,126,350,13,6,495
Comptroller of Public Accounts,0153,125,206,331,1808,18.31%,97,210,7,4,318
Comptroller of Public Accounts,0154,249,183,432,2190,19.73%,103,289,13,10,415
Comptroller of Public Accounts,0155,1022,619,1641,4109,39.94%,1116,473,15,8,1612
Comptroller of Public Accounts,0156,800,326,1126,3071,36.67%,35,1050,9,7,1101
Comptroller of Public Accounts,0157,448,214,662,2236,29.61%,20,620,8,2,650
Comptroller of Public Accounts,0158,600,315,915,3035,30.15%,16,868,7,8,899
Comptroller of Public Accounts,0159,115,127,243,998,24.35%,41,190,5,2,238
Comptroller of Public Accounts,0160,122,73,195,696,28.02%,7,185,2,0,194
Comptroller of Public Accounts,0161,163,141,304,991,30.68%,4,289,1,1,295
Comptroller of Public Accounts,0162,101,83,184,1265,14.55%,69,101,4,1,175
Comptroller of Public Accounts,0163,230,320,550,3037,18.11%,229,289,6,7,531
Comptroller of Public Accounts,0164,182,205,387,1420,27.25%,9,370,1,0,380
Comptroller of Public Accounts,0165,535,483,1018,2334,43.62%,626,321,27,12,986
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0166,158,233,391,1028,38.04%,103,248,17,10,378
Comptroller of Public Accounts,0167,3,0,3,24,12.50%,0,3,0,0,3
Comptroller of Public Accounts,0168,92,58,150,503,29.82%,2,139,3,0,144
Comptroller of Public Accounts,0169,516,251,767,2513,30.52%,12,732,5,3,752
Comptroller of Public Accounts,0170,271,141,412,1869,22.04%,208,181,11,3,403
Comptroller of Public Accounts,0171,202,198,400,1604,24.94%,8,381,2,1,392
Comptroller of Public Accounts,0172,86,80,166,621,26.73%,59,95,3,5,162
Comptroller of Public Accounts,0173,819,739,1558,3599,43.29%,1216,283,31,4,1534
Comptroller of Public Accounts,0174,830,733,1563,3296,47.42%,1032,441,29,10,1512
Comptroller of Public Accounts,0175,560,749,1309,2618,50.00%,608,616,27,14,1265
Comptroller of Public Accounts,0176,344,451,795,1602,49.63%,377,357,15,8,757
Comptroller of Public Accounts,0177,278,326,604,1496,40.37%,322,255,12,2,591
Comptroller of Public Accounts,0178,504,365,869,1765,49.24%,544,277,19,2,842
Comptroller of Public Accounts,0179,256,188,444,1575,28.19%,230,179,13,11,433
Comptroller of Public Accounts,0180,470,343,813,2834,28.69%,23,745,11,5,784
Comptroller of Public Accounts,0181,175,262,437,2061,21.20%,132,274,10,9,425
Comptroller of Public Accounts,0182,590,974,1564,3405,45.93%,885,571,24,9,1489
Comptroller of Public Accounts,0183,520,794,1314,2491,52.75%,775,452,24,8,1259
Comptroller of Public Accounts,0184,106,135,241,994,24.25%,76,137,7,3,223
Comptroller of Public Accounts,0185,283,292,575,1933,29.75%,195,354,7,1,557
Comptroller of Public Accounts,0186,97,106,203,798,25.44%,29,164,4,1,198
Comptroller of Public Accounts,0187,21,25,46,311,14.79%,14,29,0,1,44
Comptroller of Public Accounts,0188,153,146,299,1637,18.27%,133,146,12,1,292
Comptroller of Public Accounts,0189,239,360,599,1465,40.89%,295,254,24,9,582
Comptroller of Public Accounts,0190,120,177,297,1723,17.24%,119,153,8,4,284
Comptroller of Public Accounts,0191,79,126,205,1366,15.01%,91,100,4,6,201
Comptroller of Public Accounts,0192,381,225,606,1959,30.93%,27,554,10,1,592
Comptroller of Public Accounts,0193,173,187,360,1074,33.52%,13,327,4,7,351
Comptroller of Public Accounts,0194,351,431,782,1912,40.90%,212,511,20,19,762
Comptroller of Public Accounts,0195,269,278,547,1694,32.29%,15,511,12,2,540
Comptroller of Public Accounts,0196,52,32,84,316,26.58%,6,75,2,0,83
Comptroller of Public Accounts,0197,543,309,852,2914,29.24%,14,822,4,1,841
Comptroller of Public Accounts,0198,53,74,127,642,19.78%,2,122,2,0,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0199,812,661,1473,3216,45.80%,1106,274,47,13,1440
Comptroller of Public Accounts,0200,962,536,1498,3382,44.29%,637,762,33,11,1443
Comptroller of Public Accounts,0201,98,87,185,724,25.55%,1,176,1,2,180
Comptroller of Public Accounts,0202,217,189,406,1464,27.73%,10,382,3,4,399
Comptroller of Public Accounts,0203,107,68,175,960,18.23%,37,126,2,2,167
Comptroller of Public Accounts,0204,817,784,1601,3487,45.91%,856,627,44,19,1546
Comptroller of Public Accounts,0205,465,171,636,1664,38.22%,10,616,3,1,630
Comptroller of Public Accounts,0206,364,462,826,2779,29.72%,232,527,32,19,810
Comptroller of Public Accounts,0207,265,261,526,1188,44.28%,149,339,12,4,504
Comptroller of Public Accounts,0208,322,262,584,2195,26.61%,167,393,8,4,572
Comptroller of Public Accounts,0209,0,2,2,0,0.00%,2,0,0,0,2
Comptroller of Public Accounts,0210,502,467,969,2533,38.26%,92,830,14,12,948
Comptroller of Public Accounts,0211,307,386,693,2914,23.78%,247,391,16,14,668
Comptroller of Public Accounts,0212,95,155,251,1300,19.31%,52,186,2,3,243
Comptroller of Public Accounts,0213,826,913,1739,3350,51.91%,1311,347,20,3,1681
Comptroller of Public Accounts,0214,404,491,895,1854,48.27%,533,311,22,7,873
Comptroller of Public Accounts,0215,423,711,1134,2258,50.22%,615,440,33,11,1099
Comptroller of Public Accounts,0216,362,223,585,1945,30.08%,36,534,1,1,572
Comptroller of Public Accounts,0217,844,631,1475,2678,55.08%,867,520,24,7,1418
Comptroller of Public Accounts,0218,392,402,794,2292,34.64%,222,502,16,21,761
Comptroller of Public Accounts,0219,497,436,933,2767,33.72%,44,854,9,7,914
Comptroller of Public Accounts,0220,325,187,512,2310,22.16%,358,128,7,4,497
Comptroller of Public Accounts,0221,332,369,701,2529,27.72%,289,359,15,12,675
Comptroller of Public Accounts,0222,623,674,1297,2501,51.86%,514,698,15,18,1245
Comptroller of Public Accounts,0223,563,377,940,3582,26.24%,243,624,29,20,916
Comptroller of Public Accounts,0224,531,456,987,2238,44.10%,410,502,22,12,946
Comptroller of Public Accounts,0225,375,405,781,3305,23.63%,386,356,18,5,765
Comptroller of Public Accounts,0226,227,307,534,2436,21.92%,126,373,15,9,523
Comptroller of Public Accounts,0227,558,423,981,1785,54.96%,681,258,8,7,954
Comptroller of Public Accounts,0228,362,195,557,1050,53.05%,21,513,6,3,543
Comptroller of Public Accounts,0229,31,96,127,815,15.58%,57,61,1,2,121
Comptroller of Public Accounts,0230,185,116,301,1089,27.64%,8,285,5,1,299
