Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0627,346,322,668,3049,21.91%,234,396,9,11,650
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0628,152,219,371,1675,22.15%,192,163,8,2,365
Comptroller of Public Accounts,0629,37,53,90,696,12.93%,14,75,0,1,90
Comptroller of Public Accounts,0630,975,600,1576,3905,40.36%,110,1416,15,10,1551
Comptroller of Public Accounts,0631,822,404,1226,2846,43.08%,870,302,26,7,1205
Comptroller of Public Accounts,0632,7,4,11,343,3.21%,2,8,1,0,11
Comptroller of Public Accounts,0633,945,731,1676,3559,47.09%,1164,446,25,15,1650
Comptroller of Public Accounts,0634,458,442,900,3029,29.71%,572,282,23,5,882
Comptroller of Public Accounts,0635,743,485,1228,3393,36.19%,894,270,33,10,1207
Comptroller of Public Accounts,0636,836,874,1710,4140,41.30%,1472,191,20,4,1687
Comptroller of Public Accounts,0637,409,362,771,2512,30.69%,186,527,13,10,736
Comptroller of Public Accounts,0638,304,245,549,2204,24.91%,43,483,6,3,535
Comptroller of Public Accounts,0639,549,547,1096,2526,43.39%,893,162,23,1,1079
Comptroller of Public Accounts,0640,641,459,1100,3733,29.47%,671,375,31,9,1086
Comptroller of Public Accounts,0641,649,596,1245,3650,34.11%,818,373,24,11,1226
Comptroller of Public Accounts,0642,472,394,866,1764,49.09%,688,149,13,2,852
Comptroller of Public Accounts,0643,934,653,1587,5945,26.69%,607,902,34,9,1552
Comptroller of Public Accounts,0644,1020,823,1843,5523,33.37%,1195,553,43,10,1801
Comptroller of Public Accounts,0645,655,594,1249,4185,29.84%,642,527,32,17,1218
Comptroller of Public Accounts,0646,364,287,651,2220,29.32%,203,399,12,6,620
Comptroller of Public Accounts,0647,904,470,1374,6084,22.58%,377,872,18,8,1275
Comptroller of Public Accounts,0648,838,579,1417,3367,42.08%,989,370,31,6,1396
Comptroller of Public Accounts,0649,687,434,1121,4576,24.50%,357,695,24,6,1082
Comptroller of Public Accounts,0650,906,766,1672,3888,43.00%,1188,418,39,7,1652
Comptroller of Public Accounts,0651,963,766,1729,5128,33.72%,1088,559,32,10,1689
Comptroller of Public Accounts,0652,467,515,982,2815,34.88%,164,781,9,10,964
Comptroller of Public Accounts,0653,0,4,4,0,0.00%,1,3,0,0,4
Comptroller of Public Accounts,0654,950,1005,1955,6208,31.49%,1060,804,39,9,1912
Comptroller of Public Accounts,0655,1116,1079,2195,6855,32.02%,1338,727,65,19,2149
Comptroller of Public Accounts,0656,579,393,972,2674,36.35%,36,908,6,2,952
Comptroller of Public Accounts,0657,247,172,419,1292,32.43%,171,230,7,1,409
Comptroller of Public Accounts,0658,540,426,966,2807,34.41%,611,318,19,3,951
Comptroller of Public Accounts,0659,1150,788,1938,4856,39.91%,1365,490,37,12,1904
Comptroller of Public Accounts,0660,950,825,1775,5372,33.04%,159,1568,15,8,1750
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0661,675,765,1440,4567,31.53%,822,539,30,15,1406
Comptroller of Public Accounts,0662,1148,890,2038,4874,41.81%,1608,363,27,5,2003
Comptroller of Public Accounts,0663,719,797,1515,3346,45.31%,725,687,41,15,1468
Comptroller of Public Accounts,0664,352,250,602,2869,20.98%,124,438,13,7,582
Comptroller of Public Accounts,0665,484,348,832,2154,38.63%,692,100,21,8,821
Comptroller of Public Accounts,0666,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0667,488,502,990,2149,46.07%,755,193,25,1,974
Comptroller of Public Accounts,0668,399,509,908,2775,32.72%,577,275,33,7,892
Comptroller of Public Accounts,0669,850,738,1,588,3425,46.36%,1108,414,26,10,1558
Comptroller of Public Accounts,0670,957,471,1428,2983,47.87%,1071,293,33,8,1405
Comptroller of Public Accounts,0671,403,565,968,3037,31.87%,588,329,21,6,944
Comptroller of Public Accounts,0672,960,862,1822,5706,31.93%,1224,519,37,13,1793
Comptroller of Public Accounts,0673,729,516,1245,2995,41.57%,968,222,31,3,1224
Comptroller of Public Accounts,0674,1071,618,1689,4091,41.29%,1228,380,30,13,1651
Comptroller of Public Accounts,0675,0,1,1,0,0.00%,1,0,0,0,1
Comptroller of Public Accounts,0676,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0677,127,127,254,1266,20.06%,94,144,7,2,247
Comptroller of Public Accounts,0678,166,108,274,735,37.28%,173,81,8,4,266
Comptroller of Public Accounts,0679,635,520,1155,3381,34.16%,861,238,21,4,1124
Comptroller of Public Accounts,0680,21,14,35,162,21.60%,11,22,0,2,35
Comptroller of Public Accounts,0681,1,0,1,5,20.00%,1,0,0,0,1
Comptroller of Public Accounts,0682,711,654,1365,4216,32.38%,993,308,27,8,1336
Comptroller of Public Accounts,0683,29,20,49,276,17.75%,12,33,0,2,47
Comptroller of Public Accounts,0684,28,22,50,223,22.42%,24,24,1,0,49
Comptroller of Public Accounts,0685,110,29,139,307,45.28%,61,70,3,1,135
Comptroller of Public Accounts,0686,17,12,29,208,13.94%,9,16,4,0,29
Comptroller of Public Accounts,0687,549,537,1086,2609,41.63%,718,293,29,9,1049
Comptroller of Public Accounts,0688,999,617,1616,3504,46.12%,1267,290,28,9,1594
Comptroller of Public Accounts,0689,211,387,598,2346,25.49%,298,264,13,8,583
Comptroller of Public Accounts,0690,926,1104,2030,5102,39.79%,1611,324,58,7,2000
Comptroller of Public Accounts,0691,2,5,7,25,28.00%,3,4,0,0,7
Comptroller of Public Accounts,0692,444,548,992,2847,34.84%,731,210,25,10,976
Comptroller of Public Accounts,0693,167,91,258,666,38.74%,70,174,9,1,254
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0694,260,120,380,845,44.97%,252,108,5,3,368
Comptroller of Public Accounts,0695,232,193,425,1724,24.65%,266,136,9,4,415
Comptroller of Public Accounts,0696,261,207,468,1982,23.61%,295,149,8,6,458
Comptroller of Public Accounts,0697,605,613,1218,4413,27.60%,294,874,17,9,1194
Comptroller of Public Accounts,0698,448,489,937,3189,29.38%,95,803,9,4,911
Comptroller of Public Accounts,0699,568,414,982,2343,41.91%,623,305,16,3,947
Comptroller of Public Accounts,0700,255,251,506,1371,36.91%,426,64,7,2,499
Comptroller of Public Accounts,0701,56,43,99,588,16.84%,60,33,1,1,95
Comptroller of Public Accounts,0702,54,70,134,539,24.86%,18,110,2,2,132
Comptroller of Public Accounts,0703,372,490,862,1882,45.80%,602,202,24,9,837
Comptroller of Public Accounts,0704,569,599,1168,3064,38.12%,936,195,18,2,1151
Comptroller of Public Accounts,0705,114,113,227,1523,14.90%,31,188,1,2,222
Comptroller of Public Accounts,0706,115,71,186,610,30.49%,91,81,4,4,180
Comptroller of Public Accounts,0707,153,86,239,707,33.80%,144,73,8,3,228
Comptroller of Public Accounts,0708,54,52,106,563,18.83%,52,47,3,1,103
Comptroller of Public Accounts,0709,1375,947,2322,6848,33.91%,1383,843,54,13,2293
Comptroller of Public Accounts,0710,371,462,833,2082,40.01%,440,328,26,8,802
Comptroller of Public Accounts,0711,703,506,1209,3484,34.70%,712,424,32,10,1178
Comptroller of Public Accounts,0712,491,463,954,3670,25.99%,400,510,19,10,939
Comptroller of Public Accounts,0713,228,262,490,1907,25.69%,243,221,13,5,482
Comptroller of Public Accounts,0714,35,19,55,296,18.58%,32,23,0,0,55
Comptroller of Public Accounts,0715,176,187,363,1408,25.78%,206,140,6,2,354
Comptroller of Public Accounts,0716,449,407,856,2680,31.94%,593,224,16,12,845
Comptroller of Public Accounts,0717,373,250,623,2002,31.12%,74,530,4,3,611
Comptroller of Public Accounts,0718,1017,806,1823,4229,43.11%,1245,477,46,11,1779
Comptroller of Public Accounts,0719,247,137,384,1589,24.17%,228,142,3,3,376
Comptroller of Public Accounts,0720,995,780,1775,4282,41.45%,1317,383,37,5,1742
Comptroller of Public Accounts,0721,754,532,1286,2870,44.81%,806,410,29,10,1255
Comptroller of Public Accounts,0722,873,494,1367,4479,30.52%,92,1219,17,12,1340
Comptroller of Public Accounts,0723,401,202,603,1858,32.45%,130,449,7,2,588
Comptroller of Public Accounts,0724,151,128,279,766,36.42%,206,64,5,2,277
Comptroller of Public Accounts,0725,423,237,660,2237,29.50%,296,339,6,10,651
Comptroller of Public Accounts,0726,592,402,994,2087,47.63%,854,105,22,2,983
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0727,338,290,628,2488,25.24%,203,381,15,7,606
Comptroller of Public Accounts,0728,209,151,360,880,40.91%,209,128,11,3,351
Comptroller of Public Accounts,0729,136,59,195,464,42.03%,119,68,4,1,192
Comptroller of Public Accounts,0730,428,359,787,1747,45.05%,499,234,17,7,757
Comptroller of Public Accounts,0731,58,27,85,352,24.15%,25,58,0,1,84
Comptroller of Public Accounts,0732,441,324,765,1924,39.76%,450,261,29,6,746
Comptroller of Public Accounts,0733,13,7,20,215,9.30%,8,10,1,0,19
Comptroller of Public Accounts,0734,1558,962,2520,7005,35.97%,1726,703,54,8,2491
Comptroller of Public Accounts,0735,5,0,6,18,33.33%,6,0,0,0,6
Comptroller of Public Accounts,0736,3,1,4,22,18.18%,0,3,0,1,4
Comptroller of Public Accounts,0737,11,7,18,51,35.29%,13,5,0,0,18
Comptroller of Public Accounts,0738,139,100,239,1361,17.56%,43,178,7,1,229
Comptroller of Public Accounts,0739,353,301,654,2955,22.13%,332,288,13,5,638
Comptroller of Public Accounts,0740,96,98,194,939,20.66%,123,57,5,2,187
Comptroller of Public Accounts,0741,0,1,1,0,0.00%,0,1,0,0,1
Comptroller of Public Accounts,0742,0,11,11,0,0.00%,6,5,0,0,11
Comptroller of Public Accounts,0743,15,18,33,210,15.71%,15,10,2,3,30
Comptroller of Public Accounts,0744,456,392,848,2027,41.84%,516,281,21,8,826
Comptroller of Public Accounts,0745,683,372,1055,2494,42.30%,625,367,33,7,1032
Comptroller of Public Accounts,0746,114,77,191,691,27.64%,89,94,2,5,190
Comptroller of Public Accounts,0747,551,467,1018,3743,27.20%,473,470,44,9,996
Comptroller of Public Accounts,0748,172,140,312,1403,22.24%,162,126,15,4,307
Comptroller of Public Accounts,0749,30,17,47,377,12.47%,8,38,0,0,46
Comptroller of Public Accounts,0750,111,96,207,767,26.99%,126,72,5,2,205
Comptroller of Public Accounts,0751,925,964,1889,5084,37.16%,1253,535,45,16,1849
Comptroller of Public Accounts,0752,286,200,486,1483,32.77%,351,112,11,0,474
Comptroller of Public Accounts,0753,55,73,128,259,49.42%,74,43,7,1,125
Comptroller of Public Accounts,0754,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0755,442,584,1026,4294,23.89%,442,525,17,13,997
Comptroller of Public Accounts,0756,251,177,428,1600,26.75%,164,240,9,3,416
Comptroller of Public Accounts,0757,520,508,1028,4035,25.48%,177,806,14,8,1005
Comptroller of Public Accounts,0758,1114,692,1806,4096,44.09%,1364,355,47,13,1779
Comptroller of Public Accounts,0759,465,413,878,2730,32.16%,543,287,23,9,862
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0760,1432,639,2071,4367,47.42%,1646,351,33,5,2035
Comptroller of Public Accounts,0761,548,253,801,1550,51.68%,517,240,15,5,777
Comptroller of Public Accounts,0762,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0763,108,146,254,1212,20.96%,100,131,10,5,246
Comptroller of Public Accounts,0764,1133,774,1907,5217,36.55%,1174,651,37,11,1873
Comptroller of Public Accounts,0765,648,426,1074,4055,26.49%,420,577,37,14,1048
Comptroller of Public Accounts,0766,40,25,65,392,16.58%,16,44,3,0,63
Comptroller of Public Accounts,0767,10,2,12,86,13.95%,5,6,0,0,11
Comptroller of Public Accounts,0768,1359,1015,2374,5857,40.53%,1904,377,42,16,2339
Comptroller of Public Accounts,0769,54,16,70,183,38.25%,3,64,1,0,68
Comptroller of Public Accounts,0770,31,25,56,323,17.34%,22,29,3,1,55
Comptroller of Public Accounts,0771,324,254,578,2426,23.83%,320,215,21,7,563
Comptroller of Public Accounts,0772,1792,851,2643,5709,46.30%,1974,539,54,19,2586
Comptroller of Public Accounts,0773,473,312,785,2918,26.90%,220,499,11,5,735
Comptroller of Public Accounts,0774,30,41,71,378,18.78%,15,52,2,0,69
Comptroller of Public Accounts,0775,18,3,21,92,22.83%,0,20,0,0,20
Comptroller of Public Accounts,0776,551,496,1047,3053,34.29%,600,378,35,11,1024
Comptroller of Public Accounts,0777,46,40,86,652,13.19%,32,52,0,0,84
Comptroller of Public Accounts,0778,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0779,64,51,115,940,12.23%,42,65,2,1,110
Comptroller of Public Accounts,0780,63,59,122,595,20.50%,68,50,0,4,122
Comptroller of Public Accounts,0781,666,273,939,3603,26.06%,415,414,19,9,857
Comptroller of Public Accounts,0782,368,370,738,2236,33.01%,457,246,22,5,730
Comptroller of Public Accounts,0783,49,13,62,294,21.09%,44,16,0,1,61
Comptroller of Public Accounts,0784,208,128,336,1079,31.14%,7,316,1,1,325
Comptroller of Public Accounts,0785,28,25,53,296,17.91%,25,25,2,1,53
Comptroller of Public Accounts,0786,100,98,198,1251,15.83%,74,115,3,1,193
Comptroller of Public Accounts,0787,46,52,98,488,20.08%,35,58,2,1,96
Comptroller of Public Accounts,0788,74,32,106,454,23.35%,50,51,5,0,106
Comptroller of Public Accounts,0789,0,3,3,3,100.00%,0,3,0,0,3
Comptroller of Public Accounts,0790,0,0,0,3,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0791,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0792,269,239,508,1865,27.24%,125,356,7,5,493
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0793,448,247,695,2484,27.98%,408,240,26,7,681
Comptroller of Public Accounts,0794,124,144,268,2710,9.89%,28,223,8,2,261
Comptroller of Public Accounts,0795,90,125,215,1217,17.67%,79,119,6,3,207
Comptroller of Public Accounts,0796,83,51,134,476,28.15%,73,53,3,1,130
Comptroller of Public Accounts,0797,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0798,99,111,210,500,42.00%,74,116,4,9,203
Comptroller of Public Accounts,0799,28,15,43,161,26.71%,9,33,0,1,43
Comptroller of Public Accounts,0800,588,642,1230,2932,41.95%,830,339,25,5,1199
Comptroller of Public Accounts,0801,32,14,46,258,17.83%,13,29,2,1,45
Comptroller of Public Accounts,0802,51,27,78,312,25.00%,16,55,2,5,78
Comptroller of Public Accounts,0803,725,511,1236,2893,42.72%,874,306,27,7,1214
Comptroller of Public Accounts,0804,933,591,1524,4768,31.96%,946,512,33,9,1500
Comptroller of Public Accounts,0805,765,533,1298,2866,45.29%,1014,218,34,10,1276
Comptroller of Public Accounts,0806,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0807,211,204,415,2028,20.46%,92,294,14,8,408
Comptroller of Public Accounts,0808,12,17,29,131,22.14%,6,21,1,0,28
Comptroller of Public Accounts,0809,7,6,13,92,14.13%,5,6,0,0,11
Comptroller of Public Accounts,0810,9,16,25,211,11.85%,8,16,0,0,24
Comptroller of Public Accounts,0811,29,50,79,270,29.26%,24,49,3,0,76
Comptroller of Public Accounts,0812,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0813,938,761,1699,5807,29.26%,826,785,44,9,1664
Comptroller of Public Accounts,0814,673,533,1206,5102,23.64%,296,851,22,10,1179
Comptroller of Public Accounts,0815,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0816,10,0,10,73,13.70%,2,8,0,0,10
Comptroller of Public Accounts,0817,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0818,86,39,125,616,20.29%,27,93,0,1,121
Comptroller of Public Accounts,0819,64,30,94,240,39.17%,53,32,2,1,88
Comptroller of Public Accounts,0820,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0821,124,120,244,1242,19.65%,27,199,5,5,236
Comptroller of Public Accounts,0822,332,167,499,1535,32.51%,15,471,0,1,487
Comptroller of Public Accounts,0823,821,564,1385,5087,27.23%,781,540,30,12,1363
Comptroller of Public Accounts,0824,428,282,710,2700,26.30%,145,534,15,5,699
Comptroller of Public Accounts,0825,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0826,73,50,123,358,34.36%,58,56,2,2,118
Comptroller of Public Accounts,0827,60,98,158,979,16.14%,68,77,5,5,155
Comptroller of Public Accounts,0828,541,388,929,1916,48.49%,723,164,25,5,917
Comptroller of Public Accounts,0829,54,22,76,264,28.79%,20,52,2,1,75
Comptroller of Public Accounts,0830,0,0,0,2,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0831,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0832,34,28,62,352,17.61%,16,41,3,0,60
Comptroller of Public Accounts,0833,0,1,1,20,5.00%,0,1,0,0,1
Comptroller of Public Accounts,0834,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0835,38,19,57,290,19.66%,14,38,1,0,53
Comptroller of Public Accounts,0836,3,0,3,19,15.79%,0,3,0,0,3
Comptroller of Public Accounts,0837,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0838,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0839,136,118,254,1128,22.52%,45,181,16,5,247
Comptroller of Public Accounts,0840,381,174,555,1705,32.55%,189,341,7,3,540
Comptroller of Public Accounts,0841,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0842,421,434,855,3259,26.24%,389,426,13,5,833
Comptroller of Public Accounts,0843,0,1,1,0,0.00%,0,1,0,0,1
Comptroller of Public Accounts,0844,1,0,1,11,9.09%,0,1,0,0,1
Comptroller of Public Accounts,0845,54,9,63,134,47.01%,37,22,1,0,60
Comptroller of Public Accounts,0846,23,24,47,229,20.52%,2,43,1,0,46
Comptroller of Public Accounts,0847,306,211,517,2015,25.66%,135,359,9,6,509
Comptroller of Public Accounts,0848,489,266,755,1856,40.68%,210,509,10,8,737
Comptroller of Public Accounts,0849,201,291,492,2124,23.16%,180,275,16,5,476
Comptroller of Public Accounts,0850,45,41,87,210,41.43%,32,52,0,1,85
Comptroller of Public Accounts,0851,1029,657,1686,4709,35.80%,1118,486,38,15,1657
Comptroller of Public Accounts,0852,0,0,0,1,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0853,575,620,1296,2882,44.97%,980,256,19,8,1263
Comptroller of Public Accounts,0854,15,26,41,172,23.84%,6,32,1,0,39
Comptroller of Public Accounts,0855,5,9,14,16,87.50%,5,7,0,1,13
Comptroller of Public Accounts,0856,0,1,1,0,0.00%,0,1,0,0,1
Comptroller of Public Accounts,0857,0,0,0,1,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0858,63,34,97,343,28.28%,3,93,0,0,96
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0859,157,106,263,890,29.55%,65,189,4,0,258
Comptroller of Public Accounts,0860,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0861,315,199,514,1842,27.90%,88,414,4,2,508
Comptroller of Public Accounts,0862,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0863,101,54,155,584,26.54%,8,144,0,2,154
Comptroller of Public Accounts,0864,193,299,492,2569,19.15%,133,328,9,6,476
Comptroller of Public Accounts,0865,2,3,5,21,23.81%,0,5,0,0,5
Comptroller of Public Accounts,0866,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0867,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0868,236,271,507,2326,21.80%,164,319,3,6,492
Comptroller of Public Accounts,0869,53,39,92,470,19.57%,19,67,3,1,90
Comptroller of Public Accounts,0870,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0871,1,0,1,3,33.33%,0,1,0,0,1
Comptroller of Public Accounts,0872,5,3,8,59,13.56%,4,4,0,0,8
Comptroller of Public Accounts,0873,98,75,173,737,23.47%,41,124,5,0,170
Comptroller of Public Accounts,0874,764,707,1471,3223,45.64%,1095,316,23,8,1442
Comptroller of Public Accounts,0875,905,527,1432,5147,27.82%,670,683,36,11,1400
Comptroller of Public Accounts,0876,698,641,1339,3265,41.01%,1010,285,22,7,1324
Comptroller of Public Accounts,0877,476,382,858,3032,28.30%,338,474,24,6,842
Comptroller of Public Accounts,0878,428,354,782,1666,46.94%,618,123,22,7,770
Comptroller of Public Accounts,0879,407,294,701,2667,26.28%,361,301,19,5,686
Comptroller of Public Accounts,0880,543,447,990,2352,42.09%,786,172,15,5,978
Comptroller of Public Accounts,0881,596,540,1136,4479,25.36%,383,706,20,8,1117
Comptroller of Public Accounts,0882,426,291,717,2422,29.60%,415,263,21,3,702
Comptroller of Public Accounts,0883,643,702,1345,5408,24.87%,233,1058,16,14,1321
Comptroller of Public Accounts,0884,57,25,82,377,21.75%,8,71,0,1,80
Comptroller of Public Accounts,0885,582,368,930,2619,35.51%,528,366,25,4,923
Comptroller of Public Accounts,0886,128,108,236,675,34.96%,118,100,7,3,228
Comptroller of Public Accounts,0887,51,67,118,418,28.23%,58,52,5,2,117
Comptroller of Public Accounts,0888,0,3,3,0,0.00%,2,1,0,0,3
Comptroller of Public Accounts,0889,14,0,14,57,24.56%,5,8,0,0,13
Comptroller of Public Accounts,0890,164,103,267,1095,24.38%,78,168,7,4,257
Comptroller of Public Accounts,0891,319,243,562,1331,42.22%,186,335,11,5,537
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0892,115,86,201,808,24.88%,64,117,14,2,197
Comptroller of Public Accounts,0893,0,2,2,6,33.33%,0,2,0,0,2
Comptroller of Public Accounts,0894,0,3,3,0,0.00%,2,1,0,0,3
Comptroller of Public Accounts,0895,156,286,442,793,55.74%,151,253,11,5,420
Comptroller of Public Accounts,0896,370,297,667,1459,45.72%,228,387,17,10,642
Comptroller of Public Accounts,0897,253,297,550,1701,32.33%,310,210,17,5,542
Comptroller of Public Accounts,0898,0,0,0,3,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0899,2,0,2,8,25.00%,0,2,0,0,2
Comptroller of Public Accounts,0900,0,2,2,10,20.00%,1,1,0,0,2
Comptroller of Public Accounts,0901,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0902,396,486,882,2139,41.23%,456,369,23,8,856
Comptroller of Public Accounts,0903,3,7,10,50,20.00%,3,5,1,0,9
Comptroller of Public Accounts,0904,1,0,1,7,14.29%,1,0,0,0,1
Comptroller of Public Accounts,0905,123,100,223,904,24.67%,99,111,3,2,215
Comptroller of Public Accounts,0906,8,6,14,25,56.00%,7,7,0,0,14
Comptroller of Public Accounts,0907,12,19,31,181,17.13%,5,26,0,0,31
Comptroller of Public Accounts,0908,0,1,1,0,0.00%,0,1,0,0,1
Comptroller of Public Accounts,0909,2,1,3,18,16.67%,0,3,0,0,3
Comptroller of Public Accounts,0910,25,24,49,217,22.58%,18,26,1,0,45
Comptroller of Public Accounts,0911,118,60,178,551,32.30%,120,50,1,2,173
Comptroller of Public Accounts,0912,316,201,517,1273,40.61%,328,159,15,2,504
Comptroller of Public Accounts,0913,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0914,169,179,348,701,49.64%,274,58,11,0,343
Comptroller of Public Accounts,0915,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0916,417,240,657,1491,44.06%,522,109,10,4,645
Comptroller of Public Accounts,0917,177,62,239,483,49.48%,158,70,7,0,235
Comptroller of Public Accounts,0918,304,168,472,883,53.45%,353,106,2,3,464
Comptroller of Public Accounts,0919,0,0,0,3,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0920,22,12,34,71,47.89%,24,10,0,0,34
Comptroller of Public Accounts,0921,32,15,47,119,39.50%,34,11,1,0,46
Comptroller of Public Accounts,0922,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0923,470,137,607,1511,40.17%,447,139,10,2,598
Comptroller of Public Accounts,0924,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0925,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0926,171,128,299,796,37.56%,220,69,5,2,296
Comptroller of Public Accounts,0927,44,30,74,270,27.41%,29,41,1,1,72
Comptroller of Public Accounts,0928,3,0,3,8,37.50%,0,3,0,0,3
Comptroller of Public Accounts,0929,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0930,109,54,163,584,27.91%,7,153,2,1,163
Comptroller of Public Accounts,0931,30,40,70,130,53.85%,34,32,0,1,67
Comptroller of Public Accounts,0932,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0933,115,85,200,627,31.90%,51,136,5,5,197
Comptroller of Public Accounts,0934,2,0,2,63,3.17%,1,1,0,0,2
Comptroller of Public Accounts,0935,3,2,5,54,9.26%,2,1,0,1,4
Comptroller of Public Accounts,0936,8,2,10,81,12.35%,3,6,0,0,9
Comptroller of Public Accounts,0937,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0938,30,14,44,231,19.05%,10,32,0,1,43
Comptroller of Public Accounts,0939,0,0,0,2,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0940,0,0,0,10,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0941,9,10,19,25,76.00%,17,2,0,0,19
Comptroller of Public Accounts,0942,53,27,80,156,51.28%,62,13,2,1,78
Comptroller of Public Accounts,0943,166,80,246,547,44.97%,160,75,2,0,237
Comptroller of Public Accounts,0944,20,4,24,45,53.33%,19,2,0,0,21
Comptroller of Public Accounts,0945,1,2,3,17,17.65%,0,2,0,0,2
Comptroller of Public Accounts,0946,0,1,1,13,7.69%,0,1,0,0,1
Comptroller of Public Accounts,0947,177,246,423,799,52.94%,200,198,14,3,415
Comptroller of Public Accounts,0948,0,14,14,1,1400.00%,8,4,0,0,12
