Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0537,857,778,1635,3050,53.61%,1233,71,60,1364
"Judge, Court of Criminal Appeals, Place 4",0538,204,160,364,1,303,27.94%,23,42,24,89
"Judge, Court of Criminal Appeals, Place 4",0539,15,241,256,64,400.00%,87,27,41,155
"Judge, Court of Criminal Appeals, Place 4",0540,378,316,694,1567,44.29%,302,58,120,480
"Judge, Court of Criminal Appeals, Place 4",0541,789,505,1294,4599,28.14%,252,237,173,662
"Judge, Court of Criminal Appeals, Place 4",0542,360,382,742,2557,29.02%,69,84,77,230
"Judge, Court of Criminal Appeals, Place 4",0543,141,213,354,1565,22.62%,135,26,69,230
"Judge, Court of Criminal Appeals, Place 4",0544,35,41,77,310,24.84%,14,8,5,27
"Judge, Court of Criminal Appeals, Place 4",0545,596,620,1216,3629,33.51%,663,103,83,849
"Judge, Court of Criminal Appeals, Place 4",0546,2,2,4,37,10.81%,2,0,1,3
"Judge, Court of Criminal Appeals, Place 4",0547,501,466,967,2406,40.19%,697,73,64,834
"Judge, Court of Criminal Appeals, Place 4",0548,286,293,579,2215,26.14%,327,54,47,428
"Judge, Court of Criminal Appeals, Place 4",0549,343,418,761,2663,28.58%,137,99,67,303
"Judge, Court of Criminal Appeals, Place 4",0550,501,431,932,3031,30.75%,544,82,85,711
"Judge, Court of Criminal Appeals, Place 4",0551,1288,1394,2682,7034,38.13%,2082,165,123,2370
"Judge, Court of Criminal Appeals, Place 4",0552,847,883,1730,3415,50.66%,1456,65,72,1593
"Judge, Court of Criminal Appeals, Place 4",0553,579,529,1108,4686,23.64%,543,139,113,795
"Judge, Court of Criminal Appeals, Place 4",0554,261,199,460,1757,26.18%,118,43,47,208
"Judge, Court of Criminal Appeals, Place 4",0555,225,277,502,2219,22.62%,116,67,55,238
"Judge, Court of Criminal Appeals, Place 4",0556,276,186,462,2319,19.92%,153,37,51,241
"Judge, Court of Criminal Appeals, Place 4",0557,455,183,638,2830,22.54%,288,55,52,395
"Judge, Court of Criminal Appeals, Place 4",0558,694,463,1157,4380,26.42%,448,162,147,757
"Judge, Court of Criminal Appeals, Place 4",0559,541,494,1135,4969,22.84%,384,178,137,699
"Judge, Court of Criminal Appeals, Place 4",0560,72,131,203,1120,18.13%,61,19,28,108
"Judge, Court of Criminal Appeals, Place 4",0561,362,436,798,3064,26.04%,495,55,54,604
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0562,113,68,181,694,26.08%,30,18,15,63
"Judge, Court of Criminal Appeals, Place 4",0563,1108,376,1484,3105,47.79%,1193,63,71,1327
"Judge, Court of Criminal Appeals, Place 4",0564,471,426,897,3155,28.43%,263,168,151,582
"Judge, Court of Criminal Appeals, Place 4",0565,108,78,186,1354,13.74%,49,23,26,98
"Judge, Court of Criminal Appeals, Place 4",0566,418,324,742,2882,25.75%,266,108,114,488
"Judge, Court of Criminal Appeals, Place 4",0567,301,193,494,2238,22.07%,176,52,53,281
"Judge, Court of Criminal Appeals, Place 4",0568,876,685,1561,3594,43.43%,1064,112,137,1313
"Judge, Court of Criminal Appeals, Place 4",0569,575,667,1242,3525,35.23%,705,152,139,996
"Judge, Court of Criminal Appeals, Place 4",0570,239,210,449,1562,28.75%,169,66,93,328
"Judge, Court of Criminal Appeals, Place 4",0571,155,149,304,1827,16.64%,137,10,27,174
"Judge, Court of Criminal Appeals, Place 4",0572,556,375,931,3108,29.95%,516,103,98,717
"Judge, Court of Criminal Appeals, Place 4",0573,290,151,441,1619,27.24%,19,40,26,85
"Judge, Court of Criminal Appeals, Place 4",0574,31,42,73,402,18.16%,13,3,4,20
"Judge, Court of Criminal Appeals, Place 4",0575,13,11,24,74,32.43%,19,1,2,22
"Judge, Court of Criminal Appeals, Place 4",0576,485,318,804,2734,29.41%,34,97,63,194
"Judge, Court of Criminal Appeals, Place 4",0577,148,88,236,608,38.82%,150,22,25,197
"Judge, Court of Criminal Appeals, Place 4",0578,409,538,947,1799,52.64%,612,71,110,793
"Judge, Court of Criminal Appeals, Place 4",0579,76,101,177,1056,16.76%,43,14,21,78
"Judge, Court of Criminal Appeals, Place 4",0580,179,118,297,1031,28.81%,9,32,19,60
"Judge, Court of Criminal Appeals, Place 4",0581,212,174,386,1032,37.40%,16,57,22,95
"Judge, Court of Criminal Appeals, Place 4",0582,258,171,429,1588,27.02%,27,58,28,113
"Judge, Court of Criminal Appeals, Place 4",0583,225,131,356,1262,28.21%,20,41,20,81
"Judge, Court of Criminal Appeals, Place 4",0584,182,93,275,1014,27.12%,14,34,17,65
"Judge, Court of Criminal Appeals, Place 4",0585,417,172,589,2511,23.46%,26,82,45,153
"Judge, Court of Criminal Appeals, Place 4",0586,638,680,1318,4316,30.54%,817,115,97,1029
"Judge, Court of Criminal Appeals, Place 4",0587,439,284,723,2598,27.83%,310,83,66,459
"Judge, Court of Criminal Appeals, Place 4",0588,758,674,1432,3645,39.29%,1040,105,92,1237
"Judge, Court of Criminal Appeals, Place 4",0589,500,386,886,3420,25.91%,518,89,73,680
"Judge, Court of Criminal Appeals, Place 4",0590,773,399,1172,2162,54.21%,941,53,41,1035
"Judge, Court of Criminal Appeals, Place 4",0591,183,231,414,2121,19.52%,134,25,57,216
"Judge, Court of Criminal Appeals, Place 4",0592,133,157,290,1350,21.48%,87,28,32,147
"Judge, Court of Criminal Appeals, Place 4",0593,544,564,1108,4380,25.30%,576,101,117,794
"Judge, Court of Criminal Appeals, Place 4",0594,561,326,887,2490,35.62%,273,104,96,473
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0595,201,178,379,1693,22.39%,86,36,32,154
"Judge, Court of Criminal Appeals, Place 4",0596,441,348,789,3007,26.24%,460,70,85,615
"Judge, Court of Criminal Appeals, Place 4",0597,367,394,761,3653,20.83%,359,88,56,503
"Judge, Court of Criminal Appeals, Place 4",0598,195,57,252,728,34.62%,200,19,9,228
"Judge, Court of Criminal Appeals, Place 4",0599,850,578,1428,4950,28.85%,552,172,137,861
"Judge, Court of Criminal Appeals, Place 4",0600,667,429,1096,3957,27.70%,470,116,87,673
"Judge, Court of Criminal Appeals, Place 4",0601,1074,756,1830,4057,45.11%,1405,94,113,1612
"Judge, Court of Criminal Appeals, Place 4",0602,293,235,528,1326,39.82%,400,36,32,468
"Judge, Court of Criminal Appeals, Place 4",0603,884,794,1678,4843,34.65%,1095,163,131,1389
"Judge, Court of Criminal Appeals, Place 4",0604,702,518,1220,3005,40.60%,1027,56,30,1113
"Judge, Court of Criminal Appeals, Place 4",0605,907,556,1463,5582,26.21%,413,173,161,747
"Judge, Court of Criminal Appeals, Place 4",0606,176,70,246,937,26.25%,11,21,18,50
"Judge, Court of Criminal Appeals, Place 4",0607,52,51,113,728,15.52%,14,7,10,31
"Judge, Court of Criminal Appeals, Place 4",0608,31,47,78,537,14.53%,46,3,3,52
"Judge, Court of Criminal Appeals, Place 4",0609,557,680,1347,3384,39.80%,884,99,115,1098
"Judge, Court of Criminal Appeals, Place 4",0610,231,188,419,1927,21.74%,230,44,37,311
"Judge, Court of Criminal Appeals, Place 4",0611,495,242,737,2488,29.62%,38,66,54,158
"Judge, Court of Criminal Appeals, Place 4",0612,996,497,1493,3307,45.15%,1157,72,87,1316
"Judge, Court of Criminal Appeals, Place 4",0613,186,204,390,1554,25.10%,82,60,23,165
"Judge, Court of Criminal Appeals, Place 4",0614,737,566,1303,4207,30.97%,534,158,106,798
"Judge, Court of Criminal Appeals, Place 4",0615,480,299,779,1967,39.60%,510,63,57,630
"Judge, Court of Criminal Appeals, Place 4",0616,739,663,1402,3436,40.80%,1023,91,81,1195
"Judge, Court of Criminal Appeals, Place 4",0617,541,393,934,3809,24.52%,426,108,105,639
"Judge, Court of Criminal Appeals, Place 4",0618,946,567,1513,6003,25.20%,819,182,110,1111
"Judge, Court of Criminal Appeals, Place 4",0619,1219,803,2022,4297,47.06%,1534,133,118,1785
"Judge, Court of Criminal Appeals, Place 4",0620,689,264,953,2897,32.90%,617,82,52,751
"Judge, Court of Criminal Appeals, Place 4",0621,154,101,255,1133,22.51%,140,25,36,201
"Judge, Court of Criminal Appeals, Place 4",0622,881,524,1405,4403,31.91%,910,111,118,1139
"Judge, Court of Criminal Appeals, Place 4",0623,887,487,1374,3691,37.23%,958,94,79,1131
"Judge, Court of Criminal Appeals, Place 4",0624,1,1,2,3,66.67%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 4",0625,477,362,839,1820,46.10%,501,70,87,658
"Judge, Court of Criminal Appeals, Place 4",0626,581,440,1021,2861,35.69%,598,99,95,792
"Judge, Court of Criminal Appeals, Place 4",0627,346,322,668,3049,21.91%,264,58,71,393
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0628,152,219,371,1675,22.15%,212,28,31,271
"Judge, Court of Criminal Appeals, Place 4",0629,37,53,90,696,12.93%,20,13,7,40
"Judge, Court of Criminal Appeals, Place 4",0630,976,600,1576,3905,40.36%,174,308,195,677
"Judge, Court of Criminal Appeals, Place 4",0631,822,404,1226,2846,43.08%,916,81,57,1054
"Judge, Court of Criminal Appeals, Place 4",0632,7,4,11,343,3.21%,3,1,0,4
"Judge, Court of Criminal Appeals, Place 4",0633,945,731,1676,3559,47.09%,1240,117,99,1456
"Judge, Court of Criminal Appeals, Place 4",0634,458,442,900,3029,29.71%,614,84,77,775
"Judge, Court of Criminal Appeals, Place 4",0635,743,485,1228,3393,36.19%,939,71,76,1086
"Judge, Court of Criminal Appeals, Place 4",0636,836,874,1710,4140,41.30%,1493,66,32,1591
"Judge, Court of Criminal Appeals, Place 4",0637,409,362,771,2512,30.69%,220,68,128,416
"Judge, Court of Criminal Appeals, Place 4",0638,304,245,549,2204,24.91%,73,76,57,206
"Judge, Court of Criminal Appeals, Place 4",0639,549,547,1096,2526,43.39%,889,56,39,984
"Judge, Court of Criminal Appeals, Place 4",0640,641,459,1100,3733,29.47%,707,107,75,889
"Judge, Court of Criminal Appeals, Place 4",0641,649,596,1245,3650,34.11%,861,87,66,1014
"Judge, Court of Criminal Appeals, Place 4",0642,472,394,866,1764,49.09%,716,35,31,782
"Judge, Court of Criminal Appeals, Place 4",0643,934,653,1587,5945,26.69%,689,210,155,1054
"Judge, Court of Criminal Appeals, Place 4",0644,1020,823,1843,5523,33.37%,1282,120,120,1522
"Judge, Court of Criminal Appeals, Place 4",0645,655,594,1249,4185,29.84%,719,133,133,985
"Judge, Court of Criminal Appeals, Place 4",0646,364,287,651,2220,29.32%,233,75,66,374
"Judge, Court of Criminal Appeals, Place 4",0647,904,470,1374,6084,22.58%,452,120,99,671
"Judge, Court of Criminal Appeals, Place 4",0648,838,579,1417,3367,42.08%,1044,91,83,1218
"Judge, Court of Criminal Appeals, Place 4",0649,687,434,1121,4576,24.50%,403,140,109,652
"Judge, Court of Criminal Appeals, Place 4",0650,906,766,1672,3888,43.00%,1272,114,71,1457
"Judge, Court of Criminal Appeals, Place 4",0651,963,766,1729,5128,33.72%,1166,132,116,1414
"Judge, Court of Criminal Appeals, Place 4",0652,467,515,982,2815,34.88%,218,150,106,474
"Judge, Court of Criminal Appeals, Place 4",0653,0,4,4,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0654,950,1005,1955,6208,31.49%,1150,174,165,1489
"Judge, Court of Criminal Appeals, Place 4",0655,1116,1079,2195,6855,32.02%,1413,183,158,1754
"Judge, Court of Criminal Appeals, Place 4",0656,579,393,972,2674,36.35%,52,102,54,208
"Judge, Court of Criminal Appeals, Place 4",0657,247,172,419,1292,32.43%,188,42,35,265
"Judge, Court of Criminal Appeals, Place 4",0658,540,426,966,2807,34.41%,655,75,45,775
"Judge, Court of Criminal Appeals, Place 4",0659,1150,788,1938,4856,39.91%,1431,120,112,1663
"Judge, Court of Criminal Appeals, Place 4",0660,950,825,1775,5372,33.04%,229,333,158,720
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0661,675,765,1440,4567,31.53%,875,129,152,1156
"Judge, Court of Criminal Appeals, Place 4",0662,1148,890,2038,4874,41.81%,1681,74,74,1829
"Judge, Court of Criminal Appeals, Place 4",0663,719,797,1516,3346,45.31%,794,153,232,1179
"Judge, Court of Criminal Appeals, Place 4",0664,352,250,602,2869,20.98%,166,37,58,261
"Judge, Court of Criminal Appeals, Place 4",0665,484,348,832,2154,38.63%,715,36,24,775
"Judge, Court of Criminal Appeals, Place 4",0666,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0667,488,502,990,2149,46.07%,788,46,47,881
"Judge, Court of Criminal Appeals, Place 4",0668,399,509,908,2775,32.72%,607,91,62,760
"Judge, Court of Criminal Appeals, Place 4",0669,850,738,1588,3425,46.36%,1185,103,85,1373
"Judge, Court of Criminal Appeals, Place 4",0670,957,471,1428,2983,47.87%,1160,66,74,1300
"Judge, Court of Criminal Appeals, Place 4",0671,403,565,968,3037,31.87%,632,86,85,803
"Judge, Court of Criminal Appeals, Place 4",0672,960,862,1822,5706,31.93%,1282,162,88,1532
"Judge, Court of Criminal Appeals, Place 4",0673,729,516,1245,2995,41.57%,1016,47,39,1102
"Judge, Court of Criminal Appeals, Place 4",0674,1071,618,1689,4091,41.29%,1289,91,91,1471
"Judge, Court of Criminal Appeals, Place 4",0675,0,1,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0676,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0677,127,127,254,1266,20.06%,105,12,30,147
"Judge, Court of Criminal Appeals, Place 4",0678,166,108,274,735,37.28%,183,19,20,222
"Judge, Court of Criminal Appeals, Place 4",0679,635,520,1155,3381,34.16%,904,55,49,1008
"Judge, Court of Criminal Appeals, Place 4",0680,21,14,35,162,21.60%,15,4,10,29
"Judge, Court of Criminal Appeals, Place 4",0681,1,0,1,5,20.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0682,711,654,1365,4216,32.38%,1027,79,74,1180
"Judge, Court of Criminal Appeals, Place 4",0683,29,20,49,276,17.75%,12,2,12,26
"Judge, Court of Criminal Appeals, Place 4",0684,28,22,50,223,22.42%,26,8,8,42
"Judge, Court of Criminal Appeals, Place 4",0685,110,29,139,307,45.28%,69,8,8,85
"Judge, Court of Criminal Appeals, Place 4",0686,17,12,29,208,13.94%,12,8,3,23
"Judge, Court of Criminal Appeals, Place 4",0687,549,537,1086,2609,41.63%,766,80,78,924
"Judge, Court of Criminal Appeals, Place 4",0688,999,617,1616,3504,46.12%,1321,67,75,1463
"Judge, Court of Criminal Appeals, Place 4",0689,211,387,598,2346,25.49%,326,55,60,441
"Judge, Court of Criminal Appeals, Place 4",0690,926,1104,2030,5102,39.79%,1675,118,71,1864
"Judge, Court of Criminal Appeals, Place 4",0691,2,5,7,25,28.00%,4,0,1,5
"Judge, Court of Criminal Appeals, Place 4",0692,444,548,992,2847,34.84%,763,61,63,887
"Judge, Court of Criminal Appeals, Place 4",0693,167,91,258,666,38.74%,84,43,33,160
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0694,260,120,380,845,44.97%,278,19,32,329
"Judge, Court of Criminal Appeals, Place 4",0695,232,193,425,1724,24.65%,280,25,29,334
"Judge, Court of Criminal Appeals, Place 4",0696,261,207,468,1982,23.61%,310,37,29,376
"Judge, Court of Criminal Appeals, Place 4",0697,605,613,1218,4413,27.60%,365,124,117,606
"Judge, Court of Criminal Appeals, Place 4",0698,448,489,937,3189,29.38%,141,115,78,334
"Judge, Court of Criminal Appeals, Place 4",0699,568,414,982,2343,41.91%,686,59,65,810
"Judge, Court of Criminal Appeals, Place 4",0700,255,251,506,1371,36.91%,437,15,20,472
"Judge, Court of Criminal Appeals, Place 4",0701,56,43,99,588,16.84%,65,11,8,84
"Judge, Court of Criminal Appeals, Place 4",0702,64,70,134,539,24.86%,24,10,16,50
"Judge, Court of Criminal Appeals, Place 4",0703,372,490,862,1882,45.80%,658,44,49,751
"Judge, Court of Criminal Appeals, Place 4",0704,569,599,1168,3064,38.12%,971,42,38,1051
"Judge, Court of Criminal Appeals, Place 4",0705,114,113,227,1523,14.90%,34,27,20,81
"Judge, Court of Criminal Appeals, Place 4",0706,115,71,186,610,30.49%,96,25,21,142
"Judge, Court of Criminal Appeals, Place 4",0707,153,86,239,707,33.80%,161,17,25,203
"Judge, Court of Criminal Appeals, Place 4",0708,54,52,106,563,18.83%,53,10,8,71
"Judge, Court of Criminal Appeals, Place 4",0709,1375,947,2322,6848,33.91%,1463,224,186,1873
"Judge, Court of Criminal Appeals, Place 4",0710,371,462,833,2082,40.01%,495,77,116,688
"Judge, Court of Criminal Appeals, Place 4",0711,703,506,1209,3484,34.70%,765,97,126,988
"Judge, Court of Criminal Appeals, Place 4",0712,491,463,954,3670,25.99%,451,116,93,660
"Judge, Court of Criminal Appeals, Place 4",0713,228,262,490,1907,25.69%,266,61,36,363
"Judge, Court of Criminal Appeals, Place 4",0714,36,19,55,296,18.58%,34,2,3,39
"Judge, Court of Criminal Appeals, Place 4",0715,176,187,363,1408,25.78%,217,35,32,284
"Judge, Court of Criminal Appeals, Place 4",0716,449,407,856,2680,31.94%,617,56,50,723
"Judge, Court of Criminal Appeals, Place 4",0717,373,250,623,2002,31.12%,95,78,50,223
"Judge, Court of Criminal Appeals, Place 4",0718,1017,806,1823,4229,43.11%,1332,110,101,1543
"Judge, Court of Criminal Appeals, Place 4",0719,247,137,384,1589,24.17%,252,20,30,302
"Judge, Court of Criminal Appeals, Place 4",0720,995,780,1775,4282,41.45%,1359,115,84,1558
"Judge, Court of Criminal Appeals, Place 4",0721,754,532,1286,2870,44.81%,884,98,112,1094
"Judge, Court of Criminal Appeals, Place 4",0722,873,494,1367,4479,30.52%,138,168,132,438
"Judge, Court of Criminal Appeals, Place 4",0723,401,202,603,1858,32.45%,153,78,61,292
"Judge, Court of Criminal Appeals, Place 4",0724,151,128,279,766,36.42%,222,8,17,247
"Judge, Court of Criminal Appeals, Place 4",0725,423,237,660,2237,29.50%,327,69,47,443
"Judge, Court of Criminal Appeals, Place 4",0726,592,402,994,2087,47.63%,874,41,26,941
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0727,338,290,628,2488,25.24%,230,100,78,408
"Judge, Court of Criminal Appeals, Place 4",0728,209,151,360,880,40.91%,233,30,34,297
"Judge, Court of Criminal Appeals, Place 4",0729,136,59,195,464,42.03%,128,5,19,152
"Judge, Court of Criminal Appeals, Place 4",0730,428,359,787,1747,45.05%,539,51,56,646
"Judge, Court of Criminal Appeals, Place 4",0731,58,27,85,352,24.15%,30,11,7,48
"Judge, Court of Criminal Appeals, Place 4",0732,441,324,765,1924,39.76%,484,76,64,624
"Judge, Court of Criminal Appeals, Place 4",0733,13,7,20,215,9.30%,7,2,3,12
"Judge, Court of Criminal Appeals, Place 4",0734,1558,962,2520,7005,35.97%,1797,185,150,2132
"Judge, Court of Criminal Appeals, Place 4",0735,6,0,6,18,33.33%,5,0,1,6
"Judge, Court of Criminal Appeals, Place 4",0736,3,1,4,22,18.18%,0,0,1,1
"Judge, Court of Criminal Appeals, Place 4",0737,11,7,18,51,35.29%,13,1,2,16
"Judge, Court of Criminal Appeals, Place 4",0738,139,100,239,1361,17.56%,54,32,13,99
"Judge, Court of Criminal Appeals, Place 4",0739,353,301,654,2955,22.13%,352,34,52,438
"Judge, Court of Criminal Appeals, Place 4",0740,96,98,194,939,20.66%,129,6,12,147
"Judge, Court of Criminal Appeals, Place 4",0741,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 4",0742,0,11,11,0,0.00%,6,1,1,8
"Judge, Court of Criminal Appeals, Place 4",0743,15,18,33,210,15.71%,17,5,6,28
"Judge, Court of Criminal Appeals, Place 4",0744,456,392,848,2027,41.84%,568,62,73,703
"Judge, Court of Criminal Appeals, Place 4",0745,683,372,1055,2494,42.30%,680,77,113,870
"Judge, Court of Criminal Appeals, Place 4",0746,114,77,191,691,27.64%,105,17,24,146
"Judge, Court of Criminal Appeals, Place 4",0747,551,467,1018,3743,27.20%,521,137,85,743
"Judge, Court of Criminal Appeals, Place 4",0748,172,140,312,1403,22.24%,176,31,50,257
"Judge, Court of Criminal Appeals, Place 4",0749,30,17,47,377,12.47%,12,7,2,21
"Judge, Court of Criminal Appeals, Place 4",0750,111,96,207,767,26.99%,128,20,18,166
"Judge, Court of Criminal Appeals, Place 4",0751,925,964,1889,5084,37.16%,1307,148,142,1597
"Judge, Court of Criminal Appeals, Place 4",0752,286,200,486,1483,32.77%,380,22,18,420
"Judge, Court of Criminal Appeals, Place 4",0753,55,73,128,259,49.42%,85,8,17,110
"Judge, Court of Criminal Appeals, Place 4",0754,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0755,442,584,1026,4294,23.89%,490,114,121,725
"Judge, Court of Criminal Appeals, Place 4",0756,251,177,428,1600,26.75%,181,50,22,253
"Judge, Court of Criminal Appeals, Place 4",0757,520,508,1028,4035,25.48%,232,165,106,503
"Judge, Court of Criminal Appeals, Place 4",0758,1114,692,1806,4096,44.09%,1477,106,68,1651
"Judge, Court of Criminal Appeals, Place 4",0759,465,413,878,2730,32.16%,572,81,55,708
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0760,1432,639,2071,4367,47.42%,1760,70,67,1897
"Judge, Court of Criminal Appeals, Place 4",0761,548,253,801,1550,51.68%,586,50,58,694
"Judge, Court of Criminal Appeals, Place 4",0762,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0763,108,146,254,1212,20.96%,113,22,29,164
"Judge, Court of Criminal Appeals, Place 4",0764,1133,774,1907,5217,36.55%,1251,160,107,1518
"Judge, Court of Criminal Appeals, Place 4",0765,648,426,1074,4055,26.49%,473,138,133,744
"Judge, Court of Criminal Appeals, Place 4",0766,40,25,65,392,16.58%,20,4,10,34
"Judge, Court of Criminal Appeals, Place 4",0767,10,2,12,86,13.95%,7,3,1,11
"Judge, Court of Criminal Appeals, Place 4",0768,1359,1015,2374,5857,40.53%,1980,102,91,2173
"Judge, Court of Criminal Appeals, Place 4",0769,54,16,70,183,38.25%,4,8,2,14
"Judge, Court of Criminal Appeals, Place 4",0770,31,25,56,323,17.34%,28,8,6,42
"Judge, Court of Criminal Appeals, Place 4",0771,324,254,578,2426,23.83%,340,62,52,454
"Judge, Court of Criminal Appeals, Place 4",0772,1792,851,2643,5709,46.30%,2082,143,122,2347
"Judge, Court of Criminal Appeals, Place 4",0773,473,312,785,2918,26.90%,247,88,83,418
"Judge, Court of Criminal Appeals, Place 4",0774,30,41,71,378,18.78%,17,15,4,36
"Judge, Court of Criminal Appeals, Place 4",0775,18,3,21,92,22.83%,2,0,2,4
"Judge, Court of Criminal Appeals, Place 4",0776,551,496,1047,3053,34.29%,654,96,68,818
"Judge, Court of Criminal Appeals, Place 4",0777,45,40,86,652,13.19%,37,1,8,46
"Judge, Court of Criminal Appeals, Place 4",0778,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0779,64,51,115,940,12.23%,43,7,11,61
"Judge, Court of Criminal Appeals, Place 4",0780,53,59,122,595,20.50%,73,11,6,90
"Judge, Court of Criminal Appeals, Place 4",0781,666,273,939,3603,26.06%,461,69,87,617
"Judge, Court of Criminal Appeals, Place 4",0782,368,370,738,2236,33.01%,484,68,52,604
"Judge, Court of Criminal Appeals, Place 4",0783,49,13,62,294,21.09%,46,4,3,53
"Judge, Court of Criminal Appeals, Place 4",0784,208,128,336,1079,31.14%,10,33,13,56
"Judge, Court of Criminal Appeals, Place 4",0785,28,25,53,296,17.91%,32,3,5,40
"Judge, Court of Criminal Appeals, Place 4",0786,100,98,198,1251,15.83%,84,12,20,116
"Judge, Court of Criminal Appeals, Place 4",0787,45,52,98,488,20.08%,38,8,14,60
"Judge, Court of Criminal Appeals, Place 4",0788,74,32,106,454,23.35%,51,13,6,70
"Judge, Court of Criminal Appeals, Place 4",0789,0,3,3,3,100.00%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 4",0790,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0791,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0792,269,239,508,1865,27.24%,143,44,42,229
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0793,448,247,695,2484,27.98%,426,54,50,530
"Judge, Court of Criminal Appeals, Place 4",0794,124,144,268,2710,9.89%,35,46,31,112
"Judge, Court of Criminal Appeals, Place 4",0795,90,125,215,1217,17.67%,96,16,26,138
"Judge, Court of Criminal Appeals, Place 4",0796,83,51,134,476,28.15%,80,8,10,98
"Judge, Court of Criminal Appeals, Place 4",0797,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0798,99,111,210,500,42.00%,84,24,44,152
"Judge, Court of Criminal Appeals, Place 4",0799,28,15,43,161,26.71%,8,10,10,28
"Judge, Court of Criminal Appeals, Place 4",0800,588,642,1230,2932,41.95%,874,72,89,1035
"Judge, Court of Criminal Appeals, Place 4",0801,32,14,46,258,17.83%,18,7,3,28
"Judge, Court of Criminal Appeals, Place 4",0802,51,27,78,312,25.00%,18,13,26,57
"Judge, Court of Criminal Appeals, Place 4",0803,725,511,1236,2893,42.72%,924,85,72,1081
"Judge, Court of Criminal Appeals, Place 4",0804,933,591,1524,4768,31.96%,1000,133,119,1252
"Judge, Court of Criminal Appeals, Place 4",0805,765,533,1298,2866,45.29%,1058,73,59,1190
"Judge, Court of Criminal Appeals, Place 4",0806,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0807,211,204,415,2028,20.46%,106,86,63,255
"Judge, Court of Criminal Appeals, Place 4",0808,12,17,29,131,22.14%,10,4,7,21
"Judge, Court of Criminal Appeals, Place 4",0809,7,6,13,92,14.13%,6,1,1,8
"Judge, Court of Criminal Appeals, Place 4",0810,9,16,25,211,11.85%,8,1,4,13
"Judge, Court of Criminal Appeals, Place 4",0811,29,50,79,270,29.26%,29,6,13,48
"Judge, Court of Criminal Appeals, Place 4",0812,0,0,0,0,0.00%,0,0,0,0
