Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0134,192,265,457,1437,31.80%,226,33,66,325
"Judge, Court of Criminal Appeals, Place 4",0135,730,579,1309,2671,49.01%,947,65,88,1100
"Judge, Court of Criminal Appeals, Place 4",0136,503,371,874,2013,43.42%,62,143,138,343
"Judge, Court of Criminal Appeals, Place 4",0137,166,141,307,716,42.88%,159,37,43,239
"Judge, Court of Criminal Appeals, Place 4",0138,296,199,495,1699,29.13%,29,48,30,107
"Judge, Court of Criminal Appeals, Place 4",0139,700,551,1251,3037,41.19%,589,131,208,928
"Judge, Court of Criminal Appeals, Place 4",0140,701,480,1181,3214,36.75%,193,201,188,582
"Judge, Court of Criminal Appeals, Place 4",0141,80,80,160,855,18.71%,101,6,9,116
"Judge, Court of Criminal Appeals, Place 4",0142,87,103,190,902,21.06%,68,23,28,119
"Judge, Court of Criminal Appeals, Place 4",0143,1962,580,2542,6386,39.81%,1896,165,113,2174
"Judge, Court of Criminal Appeals, Place 4",0144,216,158,374,1093,34.22%,15,34,18,67
"Judge, Court of Criminal Appeals, Place 4",0145,264,213,477,1538,31.01%,19,40,28,87
"Judge, Court of Criminal Appeals, Place 4",0146,426,519,945,2008,47.06%,435,116,168,719
"Judge, Court of Criminal Appeals, Place 4",0147,689,329,1018,3008,33.84%,154,143,100,397
"Judge, Court of Criminal Appeals, Place 4",0148,500,780,1280,2540,50.39%,541,133,266,940
"Judge, Court of Criminal Appeals, Place 4",0149,1621,737,2358,7993,29.50%,1274,270,199,1743
"Judge, Court of Criminal Appeals, Place 4",0150,236,169,405,1256,32.25%,23,46,32,101
"Judge, Court of Criminal Appeals, Place 4",0151,137,79,216,826,26.15%,16,23,18,57
"Judge, Court of Criminal Appeals, Place 4",0152,214,299,513,2788,18.40%,158,46,67,271
"Judge, Court of Criminal Appeals, Place 4",0153,125,206,331,1808,18.31%,125,26,46,197
"Judge, Court of Criminal Appeals, Place 4",0154,249,183,432,2190,19.73%,133,37,59,229
"Judge, Court of Criminal Appeals, Place 4",0155,1022,619,1641,4109,39.94%,1191,95,99,1385
"Judge, Court of Criminal Appeals, Place 4",0156,800,326,1126,3071,36.67%,76,160,108,344
"Judge, Court of Criminal Appeals, Place 4",0157,448,214,662,2236,29.61%,41,85,49,175
"Judge, Court of Criminal Appeals, Place 4",0158,600,315,915,3035,30.15%,42,89,58,189
"Judge, Court of Criminal Appeals, Place 4",0159,116,127,243,998,24.35%,48,52,29,129
"Judge, Court of Criminal Appeals, Place 4",0160,122,73,195,696,28.02%,9,27,9,45
"Judge, Court of Criminal Appeals, Place 4",0161,163,141,304,991,30.68%,8,42,21,71
"Judge, Court of Criminal Appeals, Place 4",0162,101,83,184,1265,14.55%,76,10,15,101
"Judge, Court of Criminal Appeals, Place 4",0163,230,320,550,3037,18.11%,260,26,50,336
"Judge, Court of Criminal Appeals, Place 4",0164,182,205,387,1420,27.25%,17,38,23,78
"Judge, Court of Criminal Appeals, Place 4",0165,535,483,1018,2334,43.62%,693,80,89,862
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0166,158,233,391,1028,38.04%,135,70,91,296
"Judge, Court of Criminal Appeals, Place 4",0167,3,0,3,24,12.50%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 4",0168,92,58,150,503,29.82%,4,13,13,30
"Judge, Court of Criminal Appeals, Place 4",0169,518,251,767,2513,30.52%,32,82,45,159
"Judge, Court of Criminal Appeals, Place 4",0170,271,141,412,1869,22.04%,226,30,38,294
"Judge, Court of Criminal Appeals, Place 4",0171,202,198,400,1604,24.94%,14,38,30,82
"Judge, Court of Criminal Appeals, Place 4",0172,86,80,166,621,26.73%,68,15,29,112
"Judge, Court of Criminal Appeals, Place 4",0173,819,739,1558,3599,43.29%,1266,81,67,1414
"Judge, Court of Criminal Appeals, Place 4",0174,830,733,1563,3296,47.42%,1127,87,103,1317
"Judge, Court of Criminal Appeals, Place 4",0175,580,749,1309,2618,50.00%,724,115,175,1014
"Judge, Court of Criminal Appeals, Place 4",0176,344,451,795,1602,49.63%,445,56,97,598
"Judge, Court of Criminal Appeals, Place 4",0177,278,326,604,1496,40.37%,366,64,61,491
"Judge, Court of Criminal Appeals, Place 4",0178,504,365,869,1765,49.24%,608,62,55,725
"Judge, Court of Criminal Appeals, Place 4",0179,256,188,444,1575,28.19%,246,45,58,349
"Judge, Court of Criminal Appeals, Place 4",0180,470,343,813,2834,28.69%,42,106,55,203
"Judge, Court of Criminal Appeals, Place 4",0181,175,262,437,2061,21.20%,166,32,55,253
"Judge, Court of Criminal Appeals, Place 4",0182,590,974,1564,3405,45.93%,1025,105,166,1296
"Judge, Court of Criminal Appeals, Place 4",0183,520,794,1314,2491,52.75%,928,79,102,1109
"Judge, Court of Criminal Appeals, Place 4",0184,106,135,241,994,24.25%,83,24,28,135
"Judge, Court of Criminal Appeals, Place 4",0185,283,292,575,1933,29.75%,229,46,52,327
"Judge, Court of Criminal Appeals, Place 4",0186,97,106,203,798,25.44%,39,21,12,72
"Judge, Court of Criminal Appeals, Place 4",0187,21,25,46,311,14.79%,14,2,9,25
"Judge, Court of Criminal Appeals, Place 4",0188,153,146,299,1637,18.27%,145,24,27,196
"Judge, Court of Criminal Appeals, Place 4",0189,239,360,599,1465,40.89%,331,64,92,487
