Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0607,52,51,113,728,15.52%,15,5,9,29
"Justice, Supreme Court, Place 8",0608,31,47,78,537,14.53%,49,4,2,55
"Justice, Supreme Court, Place 8",0609,557,680,1347,3384,39.80%,891,106,92,1089
"Justice, Supreme Court, Place 8",0610,231,188,419,1927,21.74%,239,40,26,305
"Justice, Supreme Court, Place 8",0611,495,242,737,2488,29.62%,46,55,51,152
"Justice, Supreme Court, Place 8",0612,996,497,1493,3307,45.15%,1153,72,81,1306
"Justice, Supreme Court, Place 8",0613,186,204,390,1554,25.10%,87,43,24,154
"Justice, Supreme Court, Place 8",0614,737,566,1303,4207,30.97%,545,130,99,774
"Justice, Supreme Court, Place 8",0615,450,299,779,1967,39.60%,513,61,44,618
"Justice, Supreme Court, Place 8",0616,739,663,1402,3436,40.80%,1021,92,63,1176
"Justice, Supreme Court, Place 8",0617,541,393,934,3809,24.52%,435,110,84,629
"Justice, Supreme Court, Place 8",0618,946,567,1513,6003,25.20%,826,165,103,1094
"Justice, Supreme Court, Place 8",0619,1219,803,2022,4297,47.06%,1541,136,101,1778
"Justice, Supreme Court, Place 8",0620,689,264,953,2897,32.90%,632,70,46,748
"Justice, Supreme Court, Place 8",0621,154,101,255,1133,22.51%,142,28,29,199
"Justice, Supreme Court, Place 8",0622,881,524,1405,4403,31.91%,911,116,99,1126
"Justice, Supreme Court, Place 8",0623,887,487,1374,3691,37.23%,965,91,70,1126
"Justice, Supreme Court, Place 8",0624,1,1,2,3,66.67%,1,0,0,1
"Justice, Supreme Court, Place 8",0625,477,362,839,1820,46.10%,510,70,74,654
"Justice, Supreme Court, Place 8",0626,551,440,1021,2861,35.69%,607,103,77,787
"Justice, Supreme Court, Place 8",0627,345,322,668,3049,21.91%,270,58,60,388
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0628,152,219,371,1675,22.15%,216,24,26,266
"Justice, Supreme Court, Place 8",0629,37,53,90,696,12.93%,19,13,6,38
"Justice, Supreme Court, Place 8",0630,976,600,1576,3905,40.36%,194,263,200,657
"Justice, Supreme Court, Place 8",0631,822,404,1226,2846,43.08%,919,81,52,1052
"Justice, Supreme Court, Place 8",0632,7,4,11,343,3.21%,3,1,0,4
"Justice, Supreme Court, Place 8",0633,945,731,1676,3559,47.09%,1248,118,83,1449
"Justice, Supreme Court, Place 8",0634,458,442,900,3029,29.71%,608,94,61,763
"Justice, Supreme Court, Place 8",0635,743,485,1228,3393,36.19%,939,72,69,1080
"Justice, Supreme Court, Place 8",0636,835,874,1710,4140,41.30%,1501,55,34,1590
"Justice, Supreme Court, Place 8",0637,409,362,771,2512,30.69%,232,91,87,410
"Justice, Supreme Court, Place 8",0638,304,245,549,2204,24.91%,84,53,54,191
"Justice, Supreme Court, Place 8",0639,549,547,1096,2526,43.39%,893,59,29,981
"Justice, Supreme Court, Place 8",0640,641,459,1100,3733,29.47%,718,94,72,884
"Justice, Supreme Court, Place 8",0641,649,596,1245,3650,34.11%,870,75,63,1008
"Justice, Supreme Court, Place 8",0642,472,394,866,1764,49.09%,719,39,24,782
"Justice, Supreme Court, Place 8",0643,934,653,1587,5945,26.69%,699,192,137,1028
"Justice, Supreme Court, Place 8",0644,1020,823,1843,5523,33.37%,1280,126,107,1513
"Justice, Supreme Court, Place 8",0645,655,594,1249,4185,29.84%,724,127,115,966
"Justice, Supreme Court, Place 8",0646,364,287,651,2220,29.32%,237,76,51,364
"Justice, Supreme Court, Place 8",0647,904,470,1374,6084,22.58%,470,111,89,670
"Justice, Supreme Court, Place 8",0648,838,579,1417,3367,42.08%,1051,74,80,1205
"Justice, Supreme Court, Place 8",0649,687,434,1121,4576,24.50%,404,129,102,635
"Justice, Supreme Court, Place 8",0650,906,766,1672,3888,43.00%,1274,102,73,1449
"Justice, Supreme Court, Place 8",0651,963,766,1729,5128,33.72%,1178,125,107,1410
"Justice, Supreme Court, Place 8",0652,467,515,982,2815,34.88%,230,123,109,462
"Justice, Supreme Court, Place 8",0653,0,4,4,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 8",0654,950,1005,1955,6208,31.49%,1183,162,119,1464
"Justice, Supreme Court, Place 8",0655,1115,1079,2195,6855,32.02%,1431,175,146,1752
"Justice, Supreme Court, Place 8",0656,579,393,972,2674,36.35%,68,70,52,190
"Justice, Supreme Court, Place 8",0657,247,172,419,1292,32.43%,191,38,28,257
"Justice, Supreme Court, Place 8",0658,540,426,966,2807,34.41%,661,63,48,772
"Justice, Supreme Court, Place 8",0659,1150,788,1938,4856,39.91%,1432,129,95,1656
"Justice, Supreme Court, Place 8",0660,950,825,1775,5372,33.04%,234,279,172,685
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0661,675,765,1440,4567,31.53%,892,122,125,1139
"Justice, Supreme Court, Place 8",0662,1148,890,2038,4874,41.81%,1688,69,63,1820
"Justice, Supreme Court, Place 8",0663,719,797,1516,3346,45.31%,790,164,205,1159
"Justice, Supreme Court, Place 8",0664,352,250,602,2869,20.98%,169,46,41,256
"Justice, Supreme Court, Place 8",0665,484,348,832,2154,38.63%,725,34,19,778
"Justice, Supreme Court, Place 8",0666,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0667,488,502,990,2149,46.07%,791,53,37,881
"Justice, Supreme Court, Place 8",0668,399,509,908,2775,32.72%,607,90,53,750
"Justice, Supreme Court, Place 8",0669,850,738,1588,3425,46.36%,1188,100,79,1367
"Justice, Supreme Court, Place 8",0670,957,471,1428,2983,47.87%,1162,63,73,1298
"Justice, Supreme Court, Place 8",0671,403,565,968,3037,31.87%,640,89,63,792
"Justice, Supreme Court, Place 8",0672,960,862,1822,5706,31.93%,1291,161,77,1529
"Justice, Supreme Court, Place 8",0673,729,516,1245,2995,41.57%,1012,46,36,1094
"Justice, Supreme Court, Place 8",0674,1071,618,1689,4091,41.29%,1294,97,70,1461
"Justice, Supreme Court, Place 8",0675,0,1,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 8",0676,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0677,127,127,254,1266,20.06%,108,18,21,147
"Justice, Supreme Court, Place 8",0678,166,108,274,735,37.28%,184,18,19,221
"Justice, Supreme Court, Place 8",0679,635,520,1155,3381,34.16%,913,44,44,1001
"Justice, Supreme Court, Place 8",0680,21,14,35,162,21.60%,15,6,7,28
"Justice, Supreme Court, Place 8",0681,1,0,1,5,20.00%,1,0,0,1
"Justice, Supreme Court, Place 8",0682,711,654,1365,4216,32.38%,1050,77,51,1178
"Justice, Supreme Court, Place 8",0683,29,20,49,276,17.75%,12,6,8,26
"Justice, Supreme Court, Place 8",0684,28,22,50,223,22.42%,25,11,6,42
"Justice, Supreme Court, Place 8",0685,110,29,139,307,45.28%,69,9,6,84
"Justice, Supreme Court, Place 8",0686,17,12,29,208,13.94%,11,6,4,21
"Justice, Supreme Court, Place 8",0687,549,537,1086,2609,41.63%,771,81,72,924
"Justice, Supreme Court, Place 8",0688,999,617,1616,3504,46.12%,1333,55,77,1465
"Justice, Supreme Court, Place 8",0689,211,387,598,2346,25.49%,334,52,52,438
"Justice, Supreme Court, Place 8",0690,926,1104,2030,5102,39.79%,1688,118,57,1863
"Justice, Supreme Court, Place 8",0691,2,5,7,25,28.00%,5,0,0,5
"Justice, Supreme Court, Place 8",0692,444,548,992,2847,34.84%,759,60,65,884
"Justice, Supreme Court, Place 8",0693,167,91,258,666,38.74%,89,36,29,154
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0694,260,120,380,845,44.97%,279,19,28,326
"Justice, Supreme Court, Place 8",0695,232,193,425,1724,24.65%,286,25,23,334
"Justice, Supreme Court, Place 8",0696,261,207,468,1982,23.61%,312,32,27,371
"Justice, Supreme Court, Place 8",0697,605,613,1218,4413,27.60%,362,120,100,582
"Justice, Supreme Court, Place 8",0698,448,489,937,3189,29.38%,150,86,77,313
"Justice, Supreme Court, Place 8",0699,568,414,982,2343,41.91,%,695,53,54,802
"Justice, Supreme Court, Place 8",0700,255,251,506,1371,36.91%,437,12,20,469
"Justice, Supreme Court, Place 8",0701,56,43,99,588,16.84%,63,11,6,80
"Justice, Supreme Court, Place 8",0702,64,70,134,539,24.86%,24,16,7,47
"Justice, Supreme Court, Place 8",0703,372,490,862,1882,45.80%,658,37,50,745
"Justice, Supreme Court, Place 8",0704,569,599,1168,3064,38.12%,971,46,28,1045
"Justice, Supreme Court, Place 8",0705,114,113,227,1523,14.90%,35,21,23,79
"Justice, Supreme Court, Place 8",0706,115,71,186,610,30.49%,103,17,23,143
"Justice, Supreme Court, Place 8",0707,153,86,239,707,33.80%,164,20,20,204
"Justice, Supreme Court, Place 8",0708,54,52,106,563,18.83%,52,12,9,73
"Justice, Supreme Court, Place 8",0709,1375,947,2322,6848,33.91%,1465,230,152,1847
"Justice, Supreme Court, Place 8",0710,371,462,833,2082,40.01%,488,88,104,680
"Justice, Supreme Court, Place 8",0711,703,506,1209,3484,34.70%,774,93,109,976
"Justice, Supreme Court, Place 8",0712,491,463,954,3670,25.99%,456,98,89,643
"Justice, Supreme Court, Place 8",0713,228,262,490,1907,25.69%,266,56,34,356
"Justice, Supreme Court, Place 8",0714,36,19,55,296,18.58%,35,4,0,39
"Justice, Supreme Court, Place 8",0715,176,187,363,1408,25.78%,215,40,23,278
"Justice, Supreme Court, Place 8",0716,449,407,856,2680,31.94%,622,50,45,717
"Justice, Supreme Court, Place 8",0717,373,250,623,2002,31.12%,104,73,38,215
"Justice, Supreme Court, Place 8",0718,1017,806,1823,4229,43.11%,1346,102,85,1533
"Justice, Supreme Court, Place 8",0719,247,137,384,1589,24.17%,254,22,22,298
"Justice, Supreme Court, Place 8",0720,995,780,1775,4282,41.45%,1374,105,76,1555
"Justice, Supreme Court, Place 8",0721,754,532,1286,2870,44.81%,880,98,100,1078
"Justice, Supreme Court, Place 8",0722,873,494,1367,4479,30.52%,141,159,124,424
"Justice, Supreme Court, Place 8",0723,401,202,603,1858,32.45%,158,63,55,276
"Justice, Supreme Court, Place 8",0724,151,128,279,766,36.42%,227,11,14,252
"Justice, Supreme Court, Place 8",0725,423,237,660,2237,29.50%,334,52,50,436
"Justice, Supreme Court, Place 8",0726,592,402,994,2087,47.63%,876,37,26,939
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0727,338,290,628,2488,25.24%,238,84,78,400
"Justice, Supreme Court, Place 8",0728,209,151,360,880,40.91%,235,31,32,298
"Justice, Supreme Court, Place 8",0729,136,59,195,464,42.03%,128,11,11,150
"Justice, Supreme Court, Place 8",0730,428,359,787,1747,45.05%,546,53,47,646
"Justice, Supreme Court, Place 8",0731,58,27,85,352,24.15%,30,12,7,49
"Justice, Supreme Court, Place 8",0732,441,324,765,1924,39.76%,493,70,55,618
"Justice, Supreme Court, Place 8",0733,13,7,20,215,9.30%,8,2,2,12
"Justice, Supreme Court, Place 8",0734,1558,962,2520,7005,35.97%,1799,189,131,2119
"Justice, Supreme Court, Place 8",0735,6,0,6,18,33.33%,6,0,0,6
"Justice, Supreme Court, Place 8",0736,3,1,4,22,18.18%,0,0,1,1
"Justice, Supreme Court, Place 8",0737,11,7,18,51,35.29%,13,1,2,16
"Justice, Supreme Court, Place 8",0738,139,100,239,1361,17.56%,58,25,15,98
"Justice, Supreme Court, Place 8",0739,353,301,654,2955,22.13%,357,39,41,437
"Justice, Supreme Court, Place 8",0740,96,98,194,939,20.66%,132,8,8,148
"Justice, Supreme Court, Place 8",0741,0,1,1,0,0.00%,0,1,0,1
"Justice, Supreme Court, Place 8",0742,0,11,11,0,0.00%,6,1,1,8
"Justice, Supreme Court, Place 8",0743,15,18,33,210,15.71%,16,6,6,28
"Justice, Supreme Court, Place 8",0744,456,392,848,2027,41.84%,581,57,65,703
"Justice, Supreme Court, Place 8",0745,683,372,1055,2494,42.30%,683,70,100,853
"Justice, Supreme Court, Place 8",0746,114,77,191,691,27.64%,99,20,22,141
"Justice, Supreme Court, Place 8",0747,551,467,1018,3743,27.20%,535,101,90,726
"Justice, Supreme Court, Place 8",0748,172,140,312,1403,22.24%,173,38,46,257
"Justice, Supreme Court, Place 8",0749,30,17,47,377,12.47%,11,5,5,21
"Justice, Supreme Court, Place 8",0750,111,96,207,767,26.99%,135,14,18,167
"Justice, Supreme Court, Place 8",0751,925,964,1889,5084,37.16%,1314,158,119,1591
"Justice, Supreme Court, Place 8",0752,286,200,486,1483,32.77%,383,23,16,422
"Justice, Supreme Court, Place 8",0753,55,73,128,259,49.42%,89,8,12,109
"Justice, Supreme Court, Place 8",0754,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0755,442,584,1026,4294,23.89%,509,116,94,719
"Justice, Supreme Court, Place 8",0756,251,177,428,1600,26.75%,180,43,22,245
"Justice, Supreme Court, Place 8",0757,520,508,1028,4035,25.48%,242,123,121,486
"Justice, Supreme Court, Place 8",0758,1114,692,1806,4096,44.09%,1486,98,64,1648
"Justice, Supreme Court, Place 8",0759,465,413,878,2730,32.16%,587,69,50,706
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0760,1432,639,2071,4367,47.42%,1763,72,61,1896
"Justice, Supreme Court, Place 8",0761,548,253,801,1550,51.68%,581,61,48,690
"Justice, Supreme Court, Place 8",0762,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0763,108,146,254,1212,20.96%,122,25,13,160
"Justice, Supreme Court, Place 8",0764,1133,774,1907,5217,36.55%,1274,131,100,1505
"Justice, Supreme Court, Place 8",0765,648,426,1074,4055,26.49%,493,128,114,735
"Justice, Supreme Court, Place 8",0766,40,25,65,392,16.58%,21,7,5,33
"Justice, Supreme Court, Place 8",0767,10,2,12,86,13.95%,6,3,1,10
"Justice, Supreme Court, Place 8",0768,1359,1015,2374,5857,40.53%,1979,109,81,2169
"Justice, Supreme Court, Place 8",0769,54,16,70,183,38.25%,4,8,2,14
"Justice, Supreme Court, Place 8",0770,31,25,56,323,17.34%,27,12,3,42
"Justice, Supreme Court, Place 8",0771,324,254,578,2426,23.83%,343,65,41,449
"Justice, Supreme Court, Place 8",0772,1792,851,2643,5709,46.30%,2099,142,104,2345
"Justice, Supreme Court, Place 8",0773,473,312,785,2918,26.90%,252,90,69,411
"Justice, Supreme Court, Place 8",0774,30,41,71,378,18.78%,17,13,6,36
"Justice, Supreme Court, Place 8",0775,18,3,21,92,22.83%,1,2,2,5
"Justice, Supreme Court, Place 8",0776,551,496,1047,3053,34.29%,653,96,61,810
"Justice, Supreme Court, Place 8",0777,46,40,86,652,13.19%,37,4,5,46
"Justice, Supreme Court, Place 8",0778,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0779,64,51,115,940,12.23%,45,9,5,59
"Justice, Supreme Court, Place 8",0780,63,59,122,595,20.50%,78,4,7,89
"Justice, Supreme Court, Place 8",0781,666,273,939,3603,26.06%,470,66,70,606
"Justice, Supreme Court, Place 8",0782,368,370,738,2236,33.01%,489,57,51,597
"Justice, Supreme Court, Place 8",0783,49,13,62,294,21.09%,45,2,4,51
"Justice, Supreme Court, Place 8",0784,208,128,336,1079,31.14%,12,22,13,47
"Justice, Supreme Court, Place 8",0785,28,25,53,296,17.91%,33,3,3,39
"Justice, Supreme Court, Place 8",0786,100,98,198,1251,15.83%,80,17,14,111
"Justice, Supreme Court, Place 8",0787,46,52,98,488,20.08%,41,11,7,59
"Justice, Supreme Court, Place 8",0788,74,32,106,454,23.35%,52,10,7,69
"Justice, Supreme Court, Place 8",0789,0,3,3,3,100.00%,1,0,1,2
"Justice, Supreme Court, Place 8",0790,0,0,0,3,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0791,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0792,269,239,508,1865,27.24%,154,44,30,228
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0793,448,247,695,2484,27.98%,439,54,37,530
"Justice, Supreme Court, Place 8",0794,124,144,268,2710,9.89%,39,41,31,111
"Justice, Supreme Court, Place 8",0795,90,125,215,1217,17.67%,102,15,19,136
"Justice, Supreme Court, Place 8",0796,83,51,134,476,28.15%,80,8,10,98
"Justice, Supreme Court, Place 8",0797,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0798,99,111,210,500,42.00%,86,28,36,150
"Justice, Supreme Court, Place 8",0799,28,15,43,161,26.71%,9,13,6,28
"Justice, Supreme Court, Place 8",0800,588,642,1230,2932,41.95%,885,71,72,1028
"Justice, Supreme Court, Place 8",0801,32,14,46,258,17.83%,15,9,5,29
"Justice, Supreme Court, Place 8",0802,51,27,78,312,25.00%,17,12,25,54
"Justice, Supreme Court, Place 8",0803,725,511,1236,2893,42.72%,940,74,69,1083
"Justice, Supreme Court, Place 8",0804,933,591,1524,4768,31.96%,1013,125,101,1239
"Justice, Supreme Court, Place 8",0805,765,533,1298,2866,45.29%,1069,69,46,1184
"Justice, Supreme Court, Place 8",0806,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0807,211,204,415,2028,20.46%,110,77,58,245
"Justice, Supreme Court, Place 8",0808,12,17,29,131,22.14%,9,5,8,22
"Justice, Supreme Court, Place 8",0809,7,6,13,92,14.13%,5,1,1,7
"Justice, Supreme Court, Place 8",0810,9,16,25,211,11.85%,9,1,3,13
"Justice, Supreme Court, Place 8",0811,29,50,79,270,29.26%,29,8,11,48
"Justice, Supreme Court, Place 8",0812,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0813,938,761,1699,5807,29.26%,898,181,116,1195
"Justice, Supreme Court, Place 8",0814,673,533,1206,5102,23.64%,353,176,132,661
"Justice, Supreme Court, Place 8",0815,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0816,10,0,10,73,13.70%,3,0,3,6
"Justice, Supreme Court, Place 8",0817,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0818,86,39,125,616,20.29%,34,14,15,63
"Justice, Supreme Court, Place 8",0819,64,30,94,240,39.17%,57,7,8,72
"Justice, Supreme Court, Place 8",0820,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0821,124,120,244,1242,19.65%,46,11,25,82
"Justice, Supreme Court, Place 8",0822,332,167,499,1535,32.51%,33,35,31,99
"Justice, Supreme Court, Place 8",0823,821,564,1385,5087,27.23%,864,111,104,1079
"Justice, Supreme Court, Place 8",0824,428,282,710,2700,26.30%,187,79,60,326
"Justice, Supreme Court, Place 8",0825,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0826,73,50,123,358,34.36%,66,10,13,89
"Justice, Supreme Court, Place 8",0827,60,98,158,979,16.14%,77,18,8,103
"Justice, Supreme Court, Place 8",0828,541,388,929,1916,48.49%,771,43,40,854
"Justice, Supreme Court, Place 8",0829,54,22,76,264,28.79%,22,8,10,40
"Justice, Supreme Court, Place 8",0830,0,0,0,2,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0831,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0832,34,28,62,352,17.61%,17,10,5,32
"Justice, Supreme Court, Place 8",0833,0,1,1,20,5.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0834,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0835,38,19,57,290,19.66%,14,8,10,32
"Justice, Supreme Court, Place 8",0836,3,0,3,19,15.79%,2,0,0,2
"Justice, Supreme Court, Place 8",0837,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0838,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0839,136,118,254,1128,22.52%,61,47,30,138
"Justice, Supreme Court, Place 8",0840,381,174,555,1705,32.55%,215,47,43,305
"Justice, Supreme Court, Place 8",0841,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0842,421,434,855,3259,26.24%,450,102,64,616
"Justice, Supreme Court, Place 8",0843,0,1,1,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0844,1,0,1,11,9.09%,0,0,0,0
"Justice, Supreme Court, Place 8",0845,54,9,63,134,47.01%,42,1,3,46
"Justice, Supreme Court, Place 8",0846,23,24,47,229,20.52%,5,7,4,16
"Justice, Supreme Court, Place 8",0847,306,211,517,2015,25.66%,163,68,52,283
"Justice, Supreme Court, Place 8",0848,489,266,755,1856,40.68%,262,78,79,419
"Justice, Supreme Court, Place 8",0849,201,291,492,2124,23.16%,220,50,36,306
"Justice, Supreme Court, Place 8",0850,45,41,87,210,41.43%,35,4,11,50
"Justice, Supreme Court, Place 8",0851,1029,657,1686,4709,35.80%,1167,144,95,1406
"Justice, Supreme Court, Place 8",0852,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0853,575,620,1296,2882,44.97%,1016,60,67,1143
"Justice, Supreme Court, Place 8",0854,15,26,41,172,23.84%,10,3,1,14
"Justice, Supreme Court, Place 8",0855,5,9,14,16,87.50%,4,0,2,6
"Justice, Supreme Court, Place 8",0856,0,1,1,0,0.00%,0,1,0,1
"Justice, Supreme Court, Place 8",0857,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0858,63,34,97,343,28.28%,5,7,3,15
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0859,157,106,263,890,29.55%,78,34,12,124
"Justice, Supreme Court, Place 8",0860,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0861,315,199,514,1842,27.90%,110,39,52,201
"Justice, Supreme Court, Place 8",0862,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0863,101,54,155,584,26.54%,13,8,4,25
"Justice, Supreme Court, Place 8",0864,193,299,492,2569,19.15%,172,31,36,239
"Justice, Supreme Court, Place 8",0865,2,3,5,21,23.81,%,0,0,0,0
"Justice, Supreme Court, Place 8",0866,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0867,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0868,236,271,507,2326,21.80%,190,40,37,267
"Justice, Supreme Court, Place 8",0869,53,39,92,470,19.57%,27,9,7,43
"Justice, Supreme Court, Place 8",0870,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0871,1,0,1,3,33.33%,0,1,0,1
"Justice, Supreme Court, Place 8",0872,5,3,8,59,13.56%,4,0,1,5
"Justice, Supreme Court, Place 8",0873,98,75,173,737,23.4,7%,58,23,15,96
"Justice, Supreme Court, Place 8",0874,764,707,1471,3223,45.64%,1141,87,67,1295
"Justice, Supreme Court, Place 8",0875,905,527,1432,5147,27.82%,746,160,114,1020
"Justice, Supreme Court, Place 8",0876,698,641,1339,3265,41.01%,1070,78,47,1195
"Justice, Supreme Court, Place 8",0877,476,382,858,3032,28.30%,385,115,93,593
"Justice, Supreme Court, Place 8",0878,428,354,782,1666,46.94%,659,37,27,723
"Justice, Supreme Court, Place 8",0879,407,294,701,2667,26.28%,377,75,57,509
"Justice, Supreme Court, Place 8",0880,543,447,990,2352,42.09%,827,42,25,894
"Justice, Supreme Court, Place 8",0881,596,540,1136,4479,25.36%,439,140,117,696
"Justice, Supreme Court, Place 8",0882,426,291,717,2422,29.60%,455,71,33,559
"Justice, Supreme Court, Place 8",0883,643,702,1345,5408,24.87%,332,168,132,632
"Justice, Supreme Court, Place 8",0884,57,25,82,377,21.75%,9,5,9,23
"Justice, Supreme Court, Place 8",0885,562,368,930,2619,35.51%,570,76,53,699
"Justice, Supreme Court, Place 8",0886,128,108,236,675,34.96%,143,27,22,192
"Justice, Supreme Court, Place 8",0887,51,67,118,418,28.23%,59,21,16,96
"Justice, Supreme Court, Place 8",0888,0,3,3,0,0.00%,2,0,1,3
"Justice, Supreme Court, Place 8",0889,14,0,14,57,24.56%,5,1,4,10
"Justice, Supreme Court, Place 8",0890,164,103,267,1095,24.38%,100,33,49,182
"Justice, Supreme Court, Place 8",0891,319,243,562,1331,42.22%,238,52,79,369
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0892,115,86,201,808,24.88%,72,40,33,145
"Justice, Supreme Court, Place 8",0893,0,2,2,6,33.33%,0,0,0,0
"Justice, Supreme Court, Place 8",0894,0,3,3,0,0.00%,2,0,1,3
"Justice, Supreme Court, Place 8",0895,156,286,442,793,55.74%,207,41,84,332
"Justice, Supreme Court, Place 8",0896,370,297,667,1459,45.72%,266,81,123,470
"Justice, Supreme Court, Place 8",0897,253,297,550,1701,32.33%,344,44,41,429
"Justice, Supreme Court, Place 8",0898,0,0,0,3,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0899,2,0,2,8,25.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0900,0,2,2,10,20.00%,1,0,0,1
"Justice, Supreme Court, Place 8",0901,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0902,396,486,882,2139,41.23%,510,106,101,717
"Justice, Supreme Court, Place 8",0903,3,7,10,50,20.00%,3,0,5,8
"Justice, Supreme Court, Place 8",0904,1,0,1,7,14.29%,1,0,0,1
"Justice, Supreme Court, Place 8",0905,123,100,223,904,24.67%,119,19,9,147
"Justice, Supreme Court, Place 8",0906,8,6,14,25,56.00%,9,0,2,11
"Justice, Supreme Court, Place 8",0907,12,19,31,181,17.13%,6,4,4,14
"Justice, Supreme Court, Place 8",0908,0,1,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 8",0909,2,1,3,18,16.67%,1,0,1,2
"Justice, Supreme Court, Place 8",0910,25,24,49,217,22.58%,19,6,4,29
"Justice, Supreme Court, Place 8",0911,118,60,178,551,32.30%,127,11,8,146
"Justice, Supreme Court, Place 8",0912,316,201,517,1273,40.61%,351,35,33,419
"Justice, Supreme Court, Place 8",0913,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0914,169,179,348,701,49.64%,281,23,14,318
"Justice, Supreme Court, Place 8",0915,0,0,0,0,0.00%,0,0,0,0
