Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0244,480,425,905,3117,29.03%,543,88,71,702
"Justice, Supreme Court, Place 8",0245,946,799,1745,5828,29.94%,1232,151,100,1483
"Justice, Supreme Court, Place 8",0246,584,513,1197,3315,36.11%,877,79,52,1008
"Justice, Supreme Court, Place 8",0247,173,254,427,1582,26.99%,31,47,37,115
"Justice, Supreme Court, Place 8",0248,161,167,328,2100,15.62%,107,32,20,159
"Justice, Supreme Court, Place 8",0249,461,348,809,2719,29.75%,572,48,46,666
"Justice, Supreme Court, Place 8",0250,109,164,273,964,28.32%,16,34,18,68
"Justice, Supreme Court, Place 8",0251,278,435,714,2089,34.18%,46,48,46,140
"Justice, Supreme Court, Place 8",0252,504,312,816,2377,34.33%,38,55,54,147
"Justice, Supreme Court, Place 8",0253,379,222,601,2177,27.61%,23,43,45,111
"Justice, Supreme Court, Place 8",0254,93,112,205,1550,13.23%,68,18,16,102
"Justice, Supreme Court, Place 8",0255,526,648,1174,2482,47.30%,586,115,161,862
"Justice, Supreme Court, Place 8",0256,575,449,1024,3254,31.47%,514,87,117,718
"Justice, Supreme Court, Place 8",0257,204,245,449,2523,17.80%,160,43,26,229
"Justice, Supreme Court, Place 8",0258,840,800,1540,3322,49.37%,1232,84,93,1409
"Justice, Supreme Court, Place 8",0259,555,382,1038,2361,43.96%,69,83,71,223
"Justice, Supreme Court, Place 8",0260,162,145,307,1260,24.37%,193,22,23,238
"Justice, Supreme Court, Place 8",0261,124,120,244,1417,17.22%,112,24,14,150
"Justice, Supreme Court, Place 8",0262,758,600,1358,4397,30.88%,876,127,116,1119
"Justice, Supreme Court, Place 8",0263,858,712,1570,3693,42.51%,1229,86,79,1394
"Justice, Supreme Court, Place 8",0264,482,457,939,2963,31.69%,607,76,74,757
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0265,988,759,1747,3584,48.74%,1353,79,64,1496
"Justice, Supreme Court, Place 8",0266,259,257,516,2104,24.52%,289,38,34,361
"Justice, Supreme Court, Place 8",0267,146,166,312,1327,23.51%,176,23,27,226
"Justice, Supreme Court, Place 8",0268,435,717,1152,2493,46.21%,735,80,92,907
"Justice, Supreme Court, Place 8",0269,702,453,1155,2030,56.90%,950,48,35,1033
"Justice, Supreme Court, Place 8",0270,819,672,1491,3605,41.36%,884,143,164,1191
"Justice, Supreme Court, Place 8",0271,656,382,1038,2518,41.22%,60,88,66,214
"Justice, Supreme Court, Place 8",0272,264,292,556,2162,25.72%,234,90,82,406
"Justice, Supreme Court, Place 8",0273,548,689,1237,2470,50.08%,1020,54,40,1114
"Justice, Supreme Court, Place 8",0274,588,346,934,2153,43.38%,660,69,64,793
"Justice, Supreme Court, Place 8",0275,207,236,443,1850,23.95%,129,48,53,230
"Justice, Supreme Court, Place 8",0276,572,231,803,2536,31.66%,32,61,58,151
"Justice, Supreme Court, Place 8",0277,170,186,356,1492,23.86%,185,21,25,231
"Justice, Supreme Court, Place 8",0278,421,320,741,2454,30.20%,449,43,49,541
"Justice, Supreme Court, Place 8",0279,251,223,474,1941,24.42%,301,38,23,362
"Justice, Supreme Court, Place 8",0280,130,188,318,1524,20.87%,148,36,23,207
"Justice, Supreme Court, Place 8",0281,655,742,1397,2633,53.06%,774,97,156,1027
"Justice, Supreme Court, Place 8",0282,314,455,769,2042,37.66%,513,69,49,631
"Justice, Supreme Court, Place 8",0283,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0284,574,336,910,3172,28.69%,457,76,92,625
"Justice, Supreme Court, Place 8",0285,448,378,826,2540,32.52%,107,62,58,227
"Justice, Supreme Court, Place 8",0286,1255,821,2076,6170,33.65%,287,272,196,755
"Justice, Supreme Court, Place 8",0287,371,477,848,1621,52.31%,443,72,123,638
