Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0610,231,188,419,1927,21.74%,211,161,12,384
"Judge, County Criminal Court No. 13",0611,495,242,737,2488,29.62%,23,695,6,724
"Judge, County Criminal Court No. 13",0612,995,497,1493,3307,45.15%,1121,266,23,1410
"Judge, County Criminal Court No. 13",0613,185,204,390,1554,25.10%,56,315,8,379
"Judge, County Criminal Court No. 13",0614,737,566,1303,4207,30.97%,479,745,28,1252
"Judge, County Criminal Court No. 13",0615,480,299,779,1967,39.60%,501,244,10,755
"Judge, County Criminal Court No. 13",0616,739,663,1402,3436,40.80%,982,334,30,1346
"Judge, County Criminal Court No. 13",0617,541,393,934,3809,24.52%,388,505,17,910
"Judge, County Criminal Court No. 13",0618,945,567,1513,6003,25.20%,750,677,35,1462
"Judge, County Criminal Court No. 13",0619,1219,803,2022,4297,47.06%,1496,397,34,1927
"Judge, County Criminal Court No. 13",0620,589,264,953,2897,32.90%,605,292,9,906
"Judge, County Criminal Court No. 13",0621,154,101,255,1133,22.51%,129,101,11,241
"Judge, County Criminal Court No. 13",0622,881,524,1405,4403,31.91%,868,465,26,1359
"Judge, County Criminal Court No. 13",0623,887,487,1374,3691,37.23%,936,354,16,1306
"Judge, County Criminal Court No. 13",0624,1,1,2,3,66.67%,1,1,0,2
"Judge, County Criminal Court No. 13",0625,477,362,839,1820,46.10%,479,289,21,789
"Judge, County Criminal Court No. 13",0626,581,440,1021,2861,35.69%,564,372,24,960
"Judge, County Criminal Court No. 13",0627,345,322,658,3049,21.91%,231,389,16,636
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0628,152,219,371,1675,22.15%,196,152,10,358
"Judge, County Criminal Court No. 13",0629,37,53,90,696,12.93%,15,74,0,89
"Judge, County Criminal Court No. 13",0630,974,600,1574,3905,40.31%,125,1385,22,1532
"Judge, County Criminal Court No. 13",0631,822,404,1226,2846,43.08%,907,258,12,1177
"Judge, County Criminal Court No. 13",0632,7,4,11,343,3.21%,3,7,1,11
"Judge, County Criminal Court No. 13",0633,943,731,1674,3559,47.04%,1190,395,23,1608
"Judge, County Criminal Court No. 13",0634,458,442,900,3029,29.71%,597,252,21,870
"Judge, County Criminal Court No. 13",0635,743,485,1228,3393,36.19%,909,242,37,1188
"Judge, County Criminal Court No. 13",0636,836,874,1710,4140,41.30%,1475,163,15,1653
"Judge, County Criminal Court No. 13",0637,409,362,771,2512,30.69%,188,507,22,717
"Judge, County Criminal Court No. 13",0638,304,245,549,2204,24.91%,44,476,6,526
"Judge, County Criminal Court No. 13",0639,549,547,1096,2526,43.39%,879,153,17,1049
"Judge, County Criminal Court No. 13",0640,641,459,1100,3733,29.47%,692,349,23,1064
"Judge, County Criminal Court No. 13",0641,649,596,1245,3650,34.11%,828,355,20,1203
"Judge, County Criminal Court No. 13",0642,471,394,865,1764,49.04%,686,116,15,817
"Judge, County Criminal Court No. 13",0643,934,653,1587,5945,26.69%,616,893,30,1539
"Judge, County Criminal Court No. 13",0644,1019,823,1842,5523,33.35%,1222,513,31,1766
"Judge, County Criminal Court No. 13",0645,654,594,1248,4185,29.82%,678,491,28,1197
"Judge, County Criminal Court No. 13",0646,364,287,651,2220,29.32%,197,411,8,616
"Judge, County Criminal Court No. 13",0647,904,470,1374,6084,22.58%,350,918,18,1286
"Judge, County Criminal Court No. 13",0648,838,579,1417,3367,42.08%,1020,335,11,1366
"Judge, County Criminal Court No. 13",0649,687,434,1121,4576,24.50%,351,680,19,1050
"Judge, County Criminal Court No. 13",0650,906,766,1672,3888,43.00%,1220,351,26,1597
"Judge, County Criminal Court No. 13",0651,963,766,1729,5128,33.72%,1111,515,24,1650
"Judge, County Criminal Court No. 13",0652,467,515,982,2815,34.88%,167,763,15,945
"Judge, County Criminal Court No. 13",0653,0,4,4,0,0.00%,0,4,0,4
"Judge, County Criminal Court No. 13",0654,950,1005,1955,6208,31.49%,1067,773,42,1882
"Judge, County Criminal Court No. 13",0655,1116,1079,2195,6855,32.02%,1367,701,40,2108
"Judge, County Criminal Court No. 13",0656,579,393,972,2674,36.35%,38,899,11,948
"Judge, County Criminal Court No. 13",0657,246,172,418,1292,32.35%,169,227,5,401
"Judge, County Criminal Court No. 13",0658,540,426,966,2807,34.41%,631,295,18,944
"Judge, County Criminal Court No. 13",0659,1149,788,1937,4856,39.89%,1392,454,32,1878
"Judge, County Criminal Court No. 13",0660,950,825,1775,5372,33.04%,162,1550,11,1723
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0661,675,765,1440,4567,31.53%,841,516,29,1386
"Judge, County Criminal Court No. 13",0662,1148,890,2038,4874,41.81%,1632,323,18,1973
"Judge, County Criminal Court No. 13",0663,717,797,1514,3346,45.25%,766,597,39,1402
"Judge, County Criminal Court No. 13",0664,352,250,602,2869,20.98%,139,421,13,573
"Judge, County Criminal Court No. 13",0665,482,348,830,2154,38.53%,690,93,19,802
"Judge, County Criminal Court No. 13",0666,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0667,488,502,990,2149,46.07%,788,155,11,954
"Judge, County Criminal Court No. 13",0668,399,509,908,2775,32.72%,590,268,25,883
"Judge, County Criminal Court No. 13",0669,850,738,1588,3425,46.36%,1148,341,27,1516
"Judge, County Criminal Court No. 13",0670,955,471,1427,2983,47.84%,1145,206,19,1370
"Judge, County Criminal Court No. 13",0671,403,565,968,3037,31.87%,583,313,27,923
"Judge, County Criminal Court No. 13",0672,959,862,1821,5706,31.91%,1228,508,25,1761
"Judge, County Criminal Court No. 13",0673,729,516,1245,2995,41.57%,994,178,19,1191
"Judge, County Criminal Court No. 13",0674,1071,618,1689,4091,41.29%,1265,337,29,1631
"Judge, County Criminal Court No. 13",0675,0,1,1,0,0.00%,1,0,0,1
"Judge, County Criminal Court No. 13",0676,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0677,127,127,254,1266,20.06%,93,143,4,240
"Judge, County Criminal Court No. 13",0678,166,108,274,735,37.28%,178,68,5,251
"Judge, County Criminal Court No. 13",0679,635,520,1155,3381,34.16%,881,213,12,1106
"Judge, County Criminal Court No. 13",0680,21,14,35,162,21.60%,13,19,2,34
"Judge, County Criminal Court No. 13",0681,1,0,1,5,20.00%,1,0,0,1
"Judge, County Criminal Court No. 13",0682,711,654,1365,4216,32.38%,1010,291,19,1320
"Judge, County Criminal Court No. 13",0683,29,20,49,276,17.75%,8,34,2,44
"Judge, County Criminal Court No. 13",0684,27,22,49,223,21.97%,26,20,0,46
"Judge, County Criminal Court No. 13",0685,110,29,139,307,45.28%,63,64,1,128
"Judge, County Criminal Court No. 13",0686,17,12,29,208,13.94%,12,15,1,28
"Judge, County Criminal Court No. 13",0687,549,537,1086,2609,41.63%,724,280,19,1023
"Judge, County Criminal Court No. 13",0688,999,617,1616,3504,46.12%,1297,230,23,1550
"Judge, County Criminal Court No. 13",0689,211,387,598,2346,25.49%,294,265,9,568
"Judge, County Criminal Court No. 13",0690,926,1104,2030,5102,39.79%,1644,291,26,1961
"Judge, County Criminal Court No. 13",0691,2,5,7,25,28.00%,3,4,0,7
"Judge, County Criminal Court No. 13",0692,444,548,992,2847,34.84%,750,186,14,950
"Judge, County Criminal Court No. 13",0693,167,91,258,666,38.74%,73,169,4,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0694,260,120,380,845,44.97%,261,87,7,355
"Judge, County Criminal Court No. 13",0695,232,193,425,1724,24.65%,272,133,4,409
"Judge, County Criminal Court No. 13",0696,261,207,468,1982,23.61%,299,133,14,446
"Judge, County Criminal Court No. 13",0697,605,613,1218,4413,27.60%,295,850,28,1173
"Judge, County Criminal Court No. 13",0698,448,489,937,3189,29.38%,98,802,11,911
"Judge, County Criminal Court No. 13",0699,568,414,982,2343,41.91%,664,244,13,921
"Judge, County Criminal Court No. 13",0700,255,251,506,1371,36.91%,421,51,11,483
"Judge, County Criminal Court No. 13",0701,56,43,99,588,16.84%,62,28,2,92
"Judge, County Criminal Court No. 13",0702,64,70,134,539,24.86%,17,114,1,132
"Judge, County Criminal Court No. 13",0703,372,490,862,1882,45.80%,635,173,12,820
"Judge, County Criminal Court No. 13",0704,569,599,1168,3064,38.12%,943,156,18,1117
"Judge, County Criminal Court No. 13",0705,114,113,227,1523,14.90%,31,180,7,218
"Judge, County Criminal Court No. 13",0706,115,71,186,610,30.49%,92,77,4,173
"Judge, County Criminal Court No. 13",0707,153,86,239,707,33.80%,153,62,8,223
"Judge, County Criminal Court No. 13",0708,54,52,106,563,18.83%,48,47,2,97
"Judge, County Criminal Court No. 13",0709,1375,947,2322,6848,33.91%,1399,814,38,2251
"Judge, County Criminal Court No. 13",0710,371,462,833,2082,40.01%,459,291,17,767
"Judge, County Criminal Court No. 13",0711,702,506,1208,3484,34.67%,735,375,28,1138
"Judge, County Criminal Court No. 13",0712,491,463,954,3670,25.99%,408,504,25,937
"Judge, County Criminal Court No. 13",0713,228,262,490,1907,25.69%,247,211,9,467
"Judge, County Criminal Court No. 13",0714,36,19,55,296,18.58%,34,18,1,53
"Judge, County Criminal Court No. 13",0715,176,187,363,1408,25.78%,206,132,5,343
"Judge, County Criminal Court No. 13",0716,449,407,856,2680,31.94%,607,200,27,834
"Judge, County Criminal Court No. 13",0717,373,250,623,2002,31.12%,70,522,11,603
"Judge, County Criminal Court No. 13",0718,1017,806,1823,4229,43.11%,1290,409,20,1719
"Judge, County Criminal Court No. 13",0719,247,137,384,1589,24.17%,236,124,8,368
"Judge, County Criminal Court No. 13",0720,994,780,1774,4282,41.43%,1336,351,24,1711
"Judge, County Criminal Court No. 13",0721,754,532,1286,2870,44.81%,843,350,23,1216
"Judge, County Criminal Court No. 13",0722,871,494,1365,4479,30.48%,98,1206,17,1321
"Judge, County Criminal Court No. 13",0723,401,202,603,1858,32.45%,126,446,9,581
"Judge, County Criminal Court No. 13",0724,151,128,279,766,36.42%,212,51,5,268
"Judge, County Criminal Court No. 13",0725,423,237,660,2237,29.50%,311,317,10,638
"Judge, County Criminal Court No. 13",0726,592,402,994,2087,47.63%,872,89,6,967
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0727,338,290,628,2488,25.24%,203,374,16,593
"Judge, County Criminal Court No. 13",0728,209,151,360,880,40.91%,222,102,10,334
"Judge, County Criminal Court No. 13",0729,136,59,195,464,42.03%,118,68,3,189
"Judge, County Criminal Court No. 13",0730,428,359,787,1747,45.05%,509,216,15,740
"Judge, County Criminal Court No. 13",0731,58,27,85,352,24.15%,25,57,0,82
"Judge, County Criminal Court No. 13",0732,441,324,765,1924,39.76%,474,231,18,723
"Judge, County Criminal Court No. 13",0733,13,7,20,215,9.30%,8,10,0,18
"Judge, County Criminal Court No. 13",0734,1558,962,2520,7005,35.97%,1723,681,33,2437
"Judge, County Criminal Court No. 13",0735,6,0,6,18,33.33%,6,0,0,6
"Judge, County Criminal Court No. 13",0736,3,1,4,22,18.18%,0,3,1,4
"Judge, County Criminal Court No. 13",0737,11,7,18,51,35.29%,13,4,1,18
"Judge, County Criminal Court No. 13",0738,139,100,239,1361,17.56%,46,182,5,233
"Judge, County Criminal Court No. 13",0739,353,301,654,2955,22.13%,335,276,17,628
"Judge, County Criminal Court No. 13",0740,96,98,194,939,20.66%,129,53,4,186
"Judge, County Criminal Court No. 13",0741,0,1,1,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0742,0,11,11,0,0.00%,6,5,0,11
"Judge, County Criminal Court No. 13",0743,15,18,33,210,15.71%,17,13,1,31
"Judge, County Criminal Court No. 13",0744,456,392,848,2027,41.84%,556,222,20,798
"Judge, County Criminal Court No. 13",0745,683,372,1055,2494,42.30%,647,326,28,1001
"Judge, County Criminal Court No. 13",0746,114,77,191,691,27.64%,92,88,8,188
"Judge, County Criminal Court No. 13",0747,550,467,1017,3743,27.17%,495,459,32,986
"Judge, County Criminal Court No. 13",0748,170,140,310,1403,22.10%,158,132,5,295
"Judge, County Criminal Court No. 13",0749,30,17,47,377,12.47%,9,37,0,46
"Judge, County Criminal Court No. 13",0750,111,96,207,767,26.99%,127,71,5,203
"Judge, County Criminal Court No. 13",0751,925,964,1889,5084,37.16%,1262,515,35,1812
"Judge, County Criminal Court No. 13",0752,286,200,486,1483,32.77%,369,87,7,463
"Judge, County Criminal Court No. 13",0753,55,73,128,259,49.42%,81,35,6,122
"Judge, County Criminal Court No. 13",0754,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0755,442,584,1026,4294,23.89%,450,509,23,982
"Judge, County Criminal Court No. 13",0756,251,177,428,1600,26.75%,172,234,6,412
"Judge, County Criminal Court No. 13",0757,520,508,1028,4035,25.48%,176,797,21,994
"Judge, County Criminal Court No. 13",0758,1114,692,1806,4096,44.09%,1458,256,27,1741
"Judge, County Criminal Court No. 13",0759,465,413,878,2730,32.16%,554,274,14,842
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0760,1432,639,2071,4367,47.42%,1727,232,18,1977
"Judge, County Criminal Court No. 13",0761,548,253,801,1550,51.68%,560,172,13,745
"Judge, County Criminal Court No. 13",0762,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0763,108,146,254,1212,20.96%,99,138,6,243
"Judge, County Criminal Court No. 13",0764,1133,774,1907,5217,36.55%,1201,609,30,1840
"Judge, County Criminal Court No. 13",0765,647,426,1073,4055,26.46%,448,546,31,1025
"Judge, County Criminal Court No. 13",0766,40,25,65,392,16.58%,17,38,2,57
"Judge, County Criminal Court No. 13",0767,10,2,12,86,13.95%,6,6,0,12
"Judge, County Criminal Court No. 13",0768,1359,1015,2374,5857,40.53%,1936,333,37,2306
"Judge, County Criminal Court No. 13",0769,54,16,70,183,38.25%,3,63,2,68
"Judge, County Criminal Court No. 13",0770,31,25,56,323,17.34%,26,22,4,52
"Judge, County Criminal Court No. 13",0771,324,254,578,2426,23.83%,333,208,17,558
"Judge, County Criminal Court No. 13",0772,1792,851,2643,5709,46.30%,2017,463,38,2518
"Judge, County Criminal Court No. 13",0773,473,312,785,2918,26.90%,199,514,12,725
"Judge, County Criminal Court No. 13",0774,30,41,71,378,18.78%,16,51,2,69
"Judge, County Criminal Court No. 13",0775,18,3,21,92,22.83%,0,21,0,21
"Judge, County Criminal Court No. 13",0776,551,496,1047,3053,34.29%,616,362,19,997
"Judge, County Criminal Court No. 13",0777,45,40,86,652,13.19%,33,50,0,83
"Judge, County Criminal Court No. 13",0778,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0779,64,51,115,940,12.23%,41,66,4,111
"Judge, County Criminal Court No. 13",0780,53,59,122,595,20.50%,69,46,3,118
"Judge, County Criminal Court No. 13",0781,666,273,939,3603,26.06%,415,431,7,853
"Judge, County Criminal Court No. 13",0782,368,370,738,2236,33.01%,461,234,13,708
"Judge, County Criminal Court No. 13",0783,49,13,62,294,21.09%,46,14,1,61
"Judge, County Criminal Court No. 13",0784,208,128,336,1079,31.14%,6,310,3,319
"Judge, County Criminal Court No. 13",0785,28,25,53,296,17.91%,30,21,2,53
"Judge, County Criminal Court No. 13",0786,100,98,198,1251,15.83%,78,111,2,191
"Judge, County Criminal Court No. 13",0787,45,52,98,488,20.08%,34,60,1,95
"Judge, County Criminal Court No. 13",0788,74,32,106,454,23.35%,50,48,4,102
"Judge, County Criminal Court No. 13",0789,0,3,3,3,100.00%,1,2,0,3
"Judge, County Criminal Court No. 13",0790,0,0,0,3,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0791,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0792,269,239,508,1865,27.24%,117,359,10,486
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0793,448,247,695,2484,27.98%,411,240,22,673
"Judge, County Criminal Court No. 13",0794,124,144,268,2710,9.89%,33,220,7,260
"Judge, County Criminal Court No. 13",0795,90,125,215,1217,17.67%,77,125,1,203
"Judge, County Criminal Court No. 13",0796,83,51,134,476,28.15%,76,52,2,130
"Judge, County Criminal Court No. 13",0797,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0798,99,111,210,500,42.00%,80,109,10,199
"Judge, County Criminal Court No. 13",0799,28,15,43,161,26.71%,9,34,0,43
"Judge, County Criminal Court No. 13",0800,588,642,1230,2932,41.95%,837,309,22,1168
"Judge, County Criminal Court No. 13",0801,32,14,46,258,17.83%,14,30,0,44
"Judge, County Criminal Court No. 13",0802,51,27,78,312,25.00%,14,55,6,75
"Judge, County Criminal Court No. 13",0803,725,511,1236,2893,42.72%,911,260,21,1192
"Judge, County Criminal Court No. 13",0804,932,591,1523,4768,31.94%,962,483,29,1474
"Judge, County Criminal Court No. 13",0805,765,533,1298,2866,45.29%,1048,182,27,1257
"Judge, County Criminal Court No. 13",0806,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0807,211,204,415,2028,20.46%,88,300,14,402
"Judge, County Criminal Court No. 13",0808,12,17,29,131,22.14%,8,18,1,27
"Judge, County Criminal Court No. 13",0809,7,6,13,92,14.13%,5,6,0,11
"Judge, County Criminal Court No. 13",0810,9,16,25,211,11.85%,7,16,1,24
"Judge, County Criminal Court No. 13",0811,29,50,79,270,29.26%,27,48,1,76
"Judge, County Criminal Court No. 13",0812,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0813,938,761,1699,5807,29.26%,833,777,42,1652
"Judge, County Criminal Court No. 13",0814,673,533,1206,5102,23.64%,304,844,24,1172
"Judge, County Criminal Court No. 13",0815,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0816,10,0,10,73,13.70%,3,7,0,10
"Judge, County Criminal Court No. 13",0817,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0818,86,39,125,616,20.29%,28,90,3,121
"Judge, County Criminal Court No. 13",0819,64,30,94,240,39.17%,53,28,2,83
"Judge, County Criminal Court No. 13",0820,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0821,124,120,244,1242,19.65%,29,201,5,235
"Judge, County Criminal Court No. 13",0822,332,167,499,1535,32.51%,14,463,5,482
"Judge, County Criminal Court No. 13",0823,821,564,1385,5087,27.23%,794,522,28,1344
"Judge, County Criminal Court No. 13",0824,428,282,710,2700,26.30%,159,510,18,687
"Judge, County Criminal Court No. 13",0825,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0826,73,50,123,358,34.36%,68,43,2,113
"Judge, County Criminal Court No. 13",0827,60,98,158,979,16.14%,73,75,6,154
"Judge, County Criminal Court No. 13",0828,541,388,929,1916,48.49%,747,128,9,884
"Judge, County Criminal Court No. 13",0829,54,22,76,264,28.79%,18,56,0,74
"Judge, County Criminal Court No. 13",0830,0,0,0,2,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0831,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0832,34,28,62,352,17.61%,16,40,2,58
"Judge, County Criminal Court No. 13",0833,0,1,1,20,5.00%,0,1,0,1
"Judge, County Criminal Court No. 13",0834,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0835,38,19,57,290,19.66%,12,39,0,51
"Judge, County Criminal Court No. 13",0836,3,0,3,19,15.79%,2,1,0,3
"Judge, County Criminal Court No. 13",0837,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0838,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0839,136,118,254,1128,22.52%,48,185,11,244
"Judge, County Criminal Court No. 13",0840,381,174,555,1705,32.55%,190,343,9,542
"Judge, County Criminal Court No. 13",0841,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0842,421,434,855,3259,26.24%,397,404,20,821
"Judge, County Criminal Court No. 13",0843,0,1,1,0,0.00%,0,1,0,1
"Judge, County Criminal Court No. 13",0844,1,0,1,11,9.09%,0,1,0,1
"Judge, County Criminal Court No. 13",0845,54,9,63,134,47.01%,37,23,0,60
"Judge, County Criminal Court No. 13",0846,23,24,47,229,20.52%,2,43,0,45
"Judge, County Criminal Court No. 13",0847,305,211,516,2015,25.61%,145,344,12,501
"Judge, County Criminal Court No. 13",0848,489,266,755,1856,40.68%,223,484,13,720
"Judge, County Criminal Court No. 13",0849,201,291,492,2124,23.16%,186,267,19,472
"Judge, County Criminal Court No. 13",0850,45,41,87,210,41.43%,32,50,3,85
"Judge, County Criminal Court No. 13",0851,1029,657,1686,4709,35.80%,1133,446,33,1612
"Judge, County Criminal Court No. 13",0852,0,0,0,1,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0853,575,620,1296,2882,44.97%,997,229,13,1239
"Judge, County Criminal Court No. 13",0854,15,26,41,172,23.84%,7,31,1,39
"Judge, County Criminal Court No. 13",0855,5,9,14,16,87.50%,3,9,1,13
"Judge, County Criminal Court No. 13",0856,0,1,1,0,0.00%,0,1,0,1
"Judge, County Criminal Court No. 13",0857,0,0,0,1,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0858,63,34,97,343,28.28%,3,90,0,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0859,157,106,263,890,29.55%,70,184,3,257
"Judge, County Criminal Court No. 13",0860,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0861,315,199,514,1842,27.90%,82,412,7,501
"Judge, County Criminal Court No. 13",0862,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0863,101,54,155,584,26.54%,6,148,0,154
"Judge, County Criminal Court No. 13",0864,193,299,492,2569,19.15%,138,329,8,475
"Judge, County Criminal Court No. 13",0865,2,3,5,21,23.81%,0,5,0,5
"Judge, County Criminal Court No. 13",0866,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0867,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0868,236,271,507,2326,21.80%,162,318,7,487
"Judge, County Criminal Court No. 13",0869,53,39,92,470,19.57%,25,64,2,91
"Judge, County Criminal Court No. 13",0870,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0871,1,0,1,3,33.33%,0,1,0,1
"Judge, County Criminal Court No. 13",0872,5,3,8,59,13.56%,4,3,1,8
"Judge, County Criminal Court No. 13",0873,98,75,173,737,23.4,7%,43,126,0,169
"Judge, County Criminal Court No. 13",0874,763,707,1470,3223,45.61%,1111,276,20,1407
"Judge, County Criminal Court No. 13",0875,904,527,1431,5147,27.80%,695,672,20,1387
"Judge, County Criminal Court No. 13",0876,698,641,1339,3265,41.01%,1026,253,17,1296
"Judge, County Criminal Court No. 13",0877,476,382,858,3032,28.30%,354,461,20,835
"Judge, County Criminal Court No. 13",0878,427,354,781,1666,46.88%,654,95,11,760
"Judge, County Criminal Court No. 13",0879,407,294,701,2667,26.28%,357,293,19,669
"Judge, County Criminal Court No. 13",0880,543,447,990,2352,42.09%,798,149,10,957
"Judge, County Criminal Court No. 13",0881,593,540,1133,4479,25.30%,396,685,24,1105
"Judge, County Criminal Court No. 13",0882,426,291,717,2422,29.60%,427,253,12,692
"Judge, County Criminal Court No. 13",0883,643,702,1345,5408,24.87%,243,1044,20,1307
"Judge, County Criminal Court No. 13",0884,57,25,82,377,21.75%,9,68,1,78
"Judge, County Criminal Court No. 13",0885,562,368,930,2619,35.51%,553,337,16,906
"Judge, County Criminal Court No. 13",0886,128,108,236,675,34.96%,138,76,6,220
"Judge, County Criminal Court No. 13",0887,50,67,117,418,27.99%,53,51,4,108
"Judge, County Criminal Court No. 13",0888,0,3,3,0,0.00%,2,1,0,3
"Judge, County Criminal Court No. 13",0889,14,0,14,57,24.56%,5,8,0,13
"Judge, County Criminal Court No. 13",0890,164,103,267,1095,24.38%,87,150,8,245
"Judge, County Criminal Court No. 13",0891,317,243,560,1331,42.07%,209,293,13,515
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0892,115,86,201,808,24.88%,71,105,11,187
"Judge, County Criminal Court No. 13",0893,0,2,2,6,33.33%,0,2,0,2
"Judge, County Criminal Court No. 13",0894,0,3,3,0,0.00%,2,1,0,3
"Judge, County Criminal Court No. 13",0895,156,286,442,793,55.74%,184,192,11,387
"Judge, County Criminal Court No. 13",0896,370,297,667,1459,45.72%,257,343,16,616
"Judge, County Criminal Court No. 13",0897,252,297,549,1701,32.28%,321,201,6,528
"Judge, County Criminal Court No. 13",0898,0,0,0,3,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0899,2,0,2,8,25.00%,0,2,0,2
"Judge, County Criminal Court No. 13",0900,0,2,2,10,20.00%,1,1,0,2
"Judge, County Criminal Court No. 13",0901,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0902,394,486,880,2139,41.14%,489,316,20,825
"Judge, County Criminal Court No. 13",0903,3,7,10,50,20.00%,2,6,1,9
"Judge, County Criminal Court No. 13",0904,1,0,1,7,14.29%,1,0,0,1
"Judge, County Criminal Court No. 13",0905,123,100,223,904,24.67%,101,108,1,210
"Judge, County Criminal Court No. 13",0906,8,6,14,25,56.00%,6,6,1,13
"Judge, County Criminal Court No. 13",0907,12,19,31,181,17.13%,6,25,0,31
"Judge, County Criminal Court No. 13",0908,0,1,1,0,0.00%,0,1,0,1
"Judge, County Criminal Court No. 13",0909,2,1,3,18,16.67%,0,3,0,3
"Judge, County Criminal Court No. 13",0910,25,24,49,217,22.58%,19,26,1,46
"Judge, County Criminal Court No. 13",0911,118,60,178,551,32.30%,120,48,2,170
"Judge, County Criminal Court No. 13",0912,316,201,517,1273,40.61%,340,141,8,489
"Judge, County Criminal Court No. 13",0913,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0914,169,179,348,701,49.64%,281,54,1,336
"Judge, County Criminal Court No. 13",0915,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0916,417,240,657,1491,44.06%,529,100,4,633
"Judge, County Criminal Court No. 13",0917,177,62,239,483,49.48%,157,64,2,223
"Judge, County Criminal Court No. 13",0918,304,168,472,883,53.45%,366,72,7,445
"Judge, County Criminal Court No. 13",0919,0,0,0,3,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0920,22,12,34,71,47.89%,23,10,0,33
