Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0156,799,326,1125,3071,36.63%,37,1038,17,1092
"Judge, County Criminal Court No. 13",0157,448,214,662,2236,29.61%,24,612,5,641
"Judge, County Criminal Court No. 13",0158,600,315,915,3035,30.15%,23,854,8,885
"Judge, County Criminal Court No. 13",0159,115,127,243,998,24.35%,37,194,4,235
"Judge, County Criminal Court No. 13",0160,122,73,195,696,28.02%,7,183,2,192
"Judge, County Criminal Court No. 13",0161,163,141,304,991,30.68%,3,288,3,294
"Judge, County Criminal Court No. 13",0162,101,83,184,1265,14.55%,69,98,5,172
"Judge, County Criminal Court No. 13",0163,230,320,550,3037,18.11%,236,272,8,516
"Judge, County Criminal Court No. 13",0164,182,205,387,1420,27.25%,12,368,0,380
"Judge, County Criminal Court No. 13",0165,535,483,1018,2334,43.62%,670,266,27,963
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0166,158,233,391,1028,38.04%,119,232,14,365
"Judge, County Criminal Court No. 13",0167,3,0,3,24,12.50%,0,3,0,3
"Judge, County Criminal Court No. 13",0168,92,58,150,503,29.82%,5,141,0,146
"Judge, County Criminal Court No. 13",0169,518,251,767,2513,30.52%,15,721,10,746
"Judge, County Criminal Court No. 13",0170,271,141,412,1869,22.04%,214,165,11,390
"Judge, County Criminal Court No. 13",0171,202,198,400,1604,24.94%,11,375,3,389
"Judge, County Criminal Court No. 13",0172,88,80,166,621,26.73%,65,81,7,153
"Judge, County Criminal Court No. 13",0173,817,739,1556,3599,43.23%,1249,236,24,1509
"Judge, County Criminal Court No. 13",0174,829,733,1562,3296,47.39%,1083,372,18,1473
"Judge, County Criminal Court No. 13",0175,557,749,1306,2618,49.89%,655,513,25,1193
"Judge, County Criminal Court No. 13",0176,344,451,795,1602,49.63%,416,284,14,714
"Judge, County Criminal Court No. 13",0177,278,326,604,1496,40.37%,335,210,11,556
"Judge, County Criminal Court No. 13",0178,504,365,869,1765,49.24%,595,191,8,794
"Judge, County Criminal Court No. 13",0179,256,188,444,1575,28.19%,231,173,12,416
"Judge, County Criminal Court No. 13",0180,470,343,813,2834,28.69%,16,743,11,770
"Judge, County Criminal Court No. 13",0181,175,262,437,2061,21.20%,140,263,11,414
"Judge, County Criminal Court No. 13",0182,590,974,1564,3405,45.93%,950,449,18,1417
"Judge, County Criminal Court No. 13",0183,519,794,1313,2491,52.71%,881,318,13,1212
"Judge, County Criminal Court No. 13",0184,106,135,241,994,24.25%,82,125,8,215
"Judge, County Criminal Court No. 13",0185,283,292,575,1933,29.75%,197,341,12,550
"Judge, County Criminal Court No. 13",0186,97,106,203,798,25.44%,36,154,5,195
"Judge, County Criminal Court No. 13",0187,21,25,46,311,14.79%,15,29,1,45
"Judge, County Criminal Court No. 13",0188,153,146,299,1637,18.27%,137,143,9,289
"Judge, County Criminal Court No. 13",0189,239,360,599,1465,40.89%,311,220,19,550
"Judge, County Criminal Court No. 13",0190,120,177,297,1723,17.24%,124,149,11,284
"Judge, County Criminal Court No. 13",0191,79,126,205,1366,15.01%,82,105,9,196
"Judge, County Criminal Court No. 13",0192,380,225,605,1959,30.88%,27,556,3,586
"Judge, County Criminal Court No. 13",0193,173,187,360,1074,33.52%,8,333,6,347
"Judge, County Criminal Court No. 13",0194,350,431,781,1912,40.85%,241,464,31,736
"Judge, County Criminal Court No. 13",0195,269,278,547,1694,32.29%,14,507,9,530
"Judge, County Criminal Court No. 13",0196,52,32,84,316,26.58%,5,76,1,82
"Judge, County Criminal Court No. 13",0197,543,309,852,2914,29.24%,13,816,7,836
"Judge, County Criminal Court No. 13",0198,53,74,127,642,19.78%,2,123,0,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0199,812,661,1473,3216,45.80%,1131,246,31,1408
"Judge, County Criminal Court No. 13",0200,962,536,1498,3382,44.29%,675,665,29,1369
"Judge, County Criminal Court No. 13",0201,98,87,185,724,25.55%,2,177,2,181
"Judge, County Criminal Court No. 13",0202,217,189,406,1464,27.73%,17,373,6,396
"Judge, County Criminal Court No. 13",0203,107,68,175,960,18.23%,43,119,4,166
"Judge, County Criminal Court No. 13",0204,816,784,1600,3487,45.88%,886,540,46,1472
"Judge, County Criminal Court No. 13",0205,464,171,635,1664,38.16%,11,606,5,622
"Judge, County Criminal Court No. 13",0206,362,462,824,2779,29.65%,230,501,43,774
"Judge, County Criminal Court No. 13",0207,265,261,526,1188,44.28%,170,309,13,492
"Judge, County Criminal Court No. 13",0208,322,262,584,2195,26.61%,175,371,7,553
"Judge, County Criminal Court No. 13",0209,0,2,2,0,0.00%,2,0,0,2
"Judge, County Criminal Court No. 13",0210,502,467,969,2533,38.26%,104,810,21,935
"Judge, County Criminal Court No. 13",0211,307,386,693,2914,23.78%,251,381,24,656
"Judge, County Criminal Court No. 13",0212,96,155,251,1300,19.31%,52,185,5,242
"Judge, County Criminal Court No. 13",0213,826,913,1739,3350,51.91%,1385,214,9,1608
"Judge, County Criminal Court No. 13",0214,404,491,895,1854,48.27%,569,252,15,836
"Judge, County Criminal Court No. 13",0215,421,711,1132,2258,50.13%,681,328,34,1043
"Judge, County Criminal Court No. 13",0216,362,223,585,1945,30.08%,37,531,5,573
"Judge, County Criminal Court No. 13",0217,844,631,1475,2678,55.08%,976,346,18,1340
"Judge, County Criminal Court No. 13",0218,391,402,793,2292,34.60%,237,471,29,737
"Judge, County Criminal Court No. 13",0219,496,436,932,2767,33.68%,47,832,14,893
"Judge, County Criminal Court No. 13",0220,325,187,512,2310,22.16%,372,117,6,495
"Judge, County Criminal Court No. 13",0221,332,369,701,2529,27.72%,299,342,22,663
"Judge, County Criminal Court No. 13",0222,623,674,1297,2501,51.86%,647,524,26,1197
"Judge, County Criminal Court No. 13",0223,563,377,940,3582,26.24%,257,598,26,881
"Judge, County Criminal Court No. 13",0224,530,456,986,2238,44.06%,464,423,25,912
"Judge, County Criminal Court No. 13",0225,376,405,781,3305,23.63%,395,342,13,750
"Judge, County Criminal Court No. 13",0226,227,307,534,2436,21.92%,124,366,16,506
"Judge, County Criminal Court No. 13",0227,558,423,981,1785,54.96%,739,135,9,883
"Judge, County Criminal Court No. 13",0228,362,195,557,1050,53.05%,24,502,11,537
"Judge, County Criminal Court No. 13",0229,31,96,127,815,15.58%,59,59,4,122
"Judge, County Criminal Court No. 13",0230,185,116,301,1089,27.64%,7,280,4,291
"Judge, County Criminal Court No. 13",0231,233,264,497,2232,22.27%,124,332,15,471
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0232,361,474,835,1760,47.44%,463,296,16,775
"Judge, County Criminal Court No. 13",0233,890,801,1691,4445,38.04%,820,687,40,1547
"Judge, County Criminal Court No. 13",0234,1192,913,2105,3993,52.72%,1605,329,10,1944
"Judge, County Criminal Court No. 13",0235,240,158,398,1356,29.35%,12,372,3,387
"Judge, County Criminal Court No. 13",0236,354,235,589,2079,28.33%,10,555,9,574
"Judge, County Criminal Court No. 13",0237,416,253,669,2161,30.96%,11,635,3,649
"Judge, County Criminal Court No. 13",0238,339,245,584,1925,30.34%,14,551,5,570
"Judge, County Criminal Court No. 13",0239,383,236,619,1964,31.52%,19,578,4,601
"Judge, County Criminal Court No. 13",0240,585,243,828,2649,31.26%,17,785,7,809
"Judge, County Criminal Court No. 13",0241,222,229,451,2372,19.01%,185,233,10,428
"Judge, County Criminal Court No. 13",0242,173,162,335,1596,20.99%,191,112,13,316
"Judge, County Criminal Court No. 13",0243,138,43,181,457,39.61%,1,175,4,180
"Judge, County Criminal Court No. 13",0244,480,425,905,3117,29.03%,495,335,31,861
"Judge, County Criminal Court No. 13",0245,945,799,1745,5828,29.94%,1214,455,37,1706
"Judge, County Criminal Court No. 13",0246,584,513,1197,3315,36.11%,850,292,15,1157
"Judge, County Criminal Court No. 13",0247,173,254,427,1582,26.99%,14,397,5,416
"Judge, County Criminal Court No. 13",0248,161,167,328,2100,15.62%,92,208,12,312
"Judge, County Criminal Court No. 13",0249,461,348,809,2719,29.75%,565,202,15,782
"Judge, County Criminal Court No. 13",0250,109,164,273,964,28.32%,9,256,4,269
"Judge, County Criminal Court No. 13",0251,278,436,714,2089,34.18%,27,666,8,701
"Judge, County Criminal Court No. 13",0252,504,312,816,2377,34.33%,15,773,9,797
"Judge, County Criminal Court No. 13",0253,379,222,601,2177,27.61%,11,572,4,587
"Judge, County Criminal Court No. 13",0254,93,112,205,1550,13.23%,67,126,1,194
"Judge, County Criminal Court No. 13",0255,525,648,1173,2482,47.26%,558,504,20,1082
"Judge, County Criminal Court No. 13",0256,575,449,1024,3254,31.47%,482,455,29,966
"Judge, County Criminal Court No. 13",0257,204,245,449,2523,17.80%,133,285,12,430
"Judge, County Criminal Court No. 13",0258,839,800,1639,3322,49.34%,1200,296,32,1528
"Judge, County Criminal Court No. 13",0259,555,382,1038,2361,43.96%,27,975,8,1010
"Judge, County Criminal Court No. 13",0260,162,145,307,1260,24.37%,174,109,4,287
"Judge, County Criminal Court No. 13",0261,124,120,244,1417,17.22%,101,132,2,235
"Judge, County Criminal Court No. 13",0262,758,600,1358,4397,30.88%,837,408,29,1274
"Judge, County Criminal Court No. 13",0263,858,712,1570,3693,42.51%,1206,287,21,1514
"Judge, County Criminal Court No. 13",0264,480,457,937,2963,31.62%,567,285,25,877
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0265,988,759,1747,3584,48.74%,1303,284,23,1610
"Judge, County Criminal Court No. 13",0266,259,257,516,2104,24.52%,258,222,6,486
"Judge, County Criminal Court No. 13",0267,146,166,312,1327,23.51%,156,119,15,290
"Judge, County Criminal Court No. 13",0268,435,717,1152,2493,46.21%,667,341,16,1024
"Judge, County Criminal Court No. 13",0269,702,453,1155,2030,56.90%,924,151,6,1081
"Judge, County Criminal Court No. 13",0270,817,672,1489,3605,41.30%,815,547,40,1402
"Judge, County Criminal Court No. 13",0271,656,382,1038,2518,41.22%,26,984,10,1020
"Judge, County Criminal Court No. 13",0272,264,292,556,2162,25.72%,216,292,21,529
"Judge, County Criminal Court No. 13",0273,548,689,1237,2470,50.08%,1003,158,15,1176
"Judge, County Criminal Court No. 13",0274,588,346,934,2153,43.38%,641,206,11,858
"Judge, County Criminal Court No. 13",0275,207,236,443,1850,23.95%,109,308,9,426
"Judge, County Criminal Court No. 13",0276,572,231,803,2536,31.66%,6,762,15,783
