Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0328,151,140,291,1434,20.29%,137,142,279
"Member, State Board of Education, District 4",0329,189,184,373,1397,26.70%,153,210,363
"Member, State Board of Education, District 4",0331,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0334,83,42,125,742,16.85%,22,100,122
"Member, State Board of Education, District 4",0336,866,624,1490,4051,36.78%,139,1324,1463
"Member, State Board of Education, District 4",0337,124,103,227,1029,22.06%,40,175,215
"Member, State Board of Education, District 4",0339,202,222,424,1757,24.13%,111,291,402
"Member, State Board of Education, District 4",0341,91,167,258,1290,20.00%,96,154,250
"Member, State Board of Education, District 4",0342,675,605,1280,6526,19.61%,216,1040,1256
"Member, State Board of Education, District 4",0343,189,271,460,1964,23.42%,151,285,436
"Member, State Board of Education, District 4",0344,154,172,326,1160,28.10%,17,298,315
"Member, State Board of Education, District 4",0353,665,451,1116,3862,28.90%,212,875,1087
"Member, State Board of Education, District 4",0354,715,338,1053,3388,31.08%,268,758,1026
"Member, State Board of Education, District 4",0355,301,264,565,1560,36.22%,50,503,553
"Member, State Board of Education, District 4",0358,212,254,466,2492,18.70%,53,402,455
"Member, State Board of Education, District 4",0359,234,224,458,3061,14.96%,65,387,452
"Member, State Board of Education, District 4",0363,620,412,1032,3677,28.07%,472,537,1009
"Member, State Board of Education, District 4",0365,478,231,709,1305,54.33%,49,646,695
"Member, State Board of Education, District 4",0366,252,270,522,2454,21.27%,139,370,509
"Member, State Board of Education, District 4",0367,170,138,308,1130,27.26%,73,230,303
"Member, State Board of Education, District 4",0368,178,88,266,958,27.77%,77,182,259
"Member, State Board of Education, District 4",0369,32,29,61,559,10.91%,17,43,60
"Member, State Board of Education, District 4",0371,122,52,174,502,34.66%,4,166,170
"Member, State Board of Education, District 4",0372,221,170,391,1224,31.94%,52,329,381
