Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0103,700,714,1414,5371,26.33%,811,569,1380
"District Judge, 190th Judicial District",0104,530,231,761,1905,39.95%,25,724,749
"District Judge, 190th Judicial District",0105,195,210,406,2165,18.75%,133,244,377
"District Judge, 190th Judicial District",0106,15,7,25,294,8.50%,17,8,25
"District Judge, 190th Judicial District",0107,154,197,351,2032,17.27%,59,276,335
"District Judge, 190th Judicial District",0108,558,272,940,3365,27.93%,577,328,905
"District Judge, 190th Judicial District",0109,529,245,774,2824,27.41%,9,749,758
"District Judge, 190th Judicial District",0110,554,494,1148,3042,37.74%,755,358,1113
"District Judge, 190th Judicial District",0111,815,795,1611,4102,39.27%,1201,349,1550
"District Judge, 190th Judicial District",0112,542,485,1027,2976,34.51%,768,225,993
"District Judge, 190th Judicial District",0113,552,429,991,2647,37.44%,622,321,943
"District Judge, 190th Judicial District",0114,707,547,1254,3311,37.87%,1021,200,1221
"District Judge, 190th Judicial District",0115,238,150,388,1800,21.56%,51,326,377
"District Judge, 190th Judicial District",0116,982,776,1758,3147,55.86%,1374,282,1656
"District Judge, 190th Judicial District",0117,215,226,441,1880,23.46%,226,199,425
"District Judge, 190th Judicial District",0118,304,123,427,759,56.26%,366,48,414
"District Judge, 190th Judicial District",0119,1288,1024,2312,5500,42.04%,1891,341,2232
"District Judge, 190th Judicial District",0120,712,422,1134,3191,35.54%,757,331,1088
"District Judge, 190th Judicial District",0121,92,178,270,848,31.84%,194,65,259
"District Judge, 190th Judicial District",0122,352,225,577,1890,30.53%,23,541,564
"District Judge, 190th Judicial District",0123,284,288,572,1392,41.09%,160,371,531
"District Judge, 190th Judicial District",0124,1734,1292,3026,7254,41.71%,2424,524,2948
"District Judge, 190th Judicial District",0125,415,332,747,2405,31.06%,468,255,723
"District Judge, 190th Judicial District",0126,893,467,1360,3100,43.87%,1214,113,1327
"District Judge, 190th Judicial District",0127,435,154,589,1836,32.08%,431,126,557
"District Judge, 190th Judicial District",0128,445,707,1152,2290,50.31%,804,276,1080
"District Judge, 190th Judicial District",0129,1030,1200,2230,5746,38.81%,1443,676,2119
"District Judge, 190th Judicial District",0130,727,523,1250,2333,53.58%,946,236,1182
"District Judge, 190th Judicial District",0131,251,259,510,1935,26.36%,124,363,487
"District Judge, 190th Judicial District",0132,593,323,916,2387,38.37%,17,876,893
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0133,513,858,1371,2662,51.50%,828,435,1263
"District Judge, 190th Judicial District",0134,192,265,457,1437,31.80%,207,229,436
"District Judge, 190th Judicial District",0135,727,579,1306,2671,48.90%,952,280,1232
"District Judge, 190th Judicial District",0136,503,371,874,2013,43.42%,48,801,849
"District Judge, 190th Judicial District",0137,166,141,307,716,42.88%,166,116,282
"District Judge, 190th Judicial District",0138,296,199,495,1699,29.13%,14,467,481
"District Judge, 190th Judicial District",0139,699,551,1250,3037,41.16%,585,589,1174
"District Judge, 190th Judicial District",0140,699,480,1179,3214,36.68%,152,984,1136
"District Judge, 190th Judicial District",0141,80,80,160,855,18.71%,99,52,151
"District Judge, 190th Judicial District",0142,87,103,190,902,21.06%,61,116,177
"District Judge, 190th Judicial District",0143,1962,580,2542,6386,39.81%,1853,633,2486
"District Judge, 190th Judicial District",0144,216,158,374,1093,34.22%,11,355,366
"District Judge, 190th Judicial District",0145,264,213,477,1538,31.01%,8,456,464
"District Judge, 190th Judicial District",0146,426,519,945,2008,47.06%,432,458,890
"District Judge, 190th Judicial District",0147,689,329,1018,3008,33.84%,136,855,991
"District Judge, 190th Judicial District",0148,500,780,1280,2540,50.39%,553,618,1171
"District Judge, 190th Judicial District",0149,1621,737,2358,7993,29.50%,1242,1056,2298
"District Judge, 190th Judicial District",0150,236,169,405,1256,32.25%,15,384,399
"District Judge, 190th Judicial District",0151,137,79,216,826,26.15%,9,198,207
"District Judge, 190th Judicial District",0152,213,299,512,2788,18.36%,134,354,488
"District Judge, 190th Judicial District",0153,125,206,331,1808,18.31%,103,217,320
"District Judge, 190th Judicial District",0154,249,183,432,2190,19.73%,101,312,413
"District Judge, 190th Judicial District",0155,1022,619,1641,4109,39.94%,1174,415,1589
"District Judge, 190th Judicial District",0156,799,326,1125,3071,36.63%,51,1041,1092
"District Judge, 190th Judicial District",0157,448,214,662,2236,29.61%,26,618,644
"District Judge, 190th Judicial District",0158,600,315,915,3035,30.15%,25,874,899
"District Judge, 190th Judicial District",0159,116,127,243,998,24.35%,39,197,236
"District Judge, 190th Judicial District",0160,122,73,195,696,28.02%,5,187,192
"District Judge, 190th Judicial District",0161,163,141,304,991,30.68%,6,291,297
"District Judge, 190th Judicial District",0162,101,83,184,1265,14.55%,72,99,171
"District Judge, 190th Judicial District",0163,230,320,550,3037,18.11%,232,291,523
"District Judge, 190th Judicial District",0164,182,205,387,1420,27.25%,12,366,378
"District Judge, 190th Judicial District",0165,535,483,1018,2334,43.62%,689,282,971
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0166,158,233,391,1028,38.04%,121,248,369
"District Judge, 190th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 190th Judicial District",0168,92,58,150,503,29.82%,2,144,146
"District Judge, 190th Judicial District",0169,518,251,767,2513,30.52%,16,733,749
"District Judge, 190th Judicial District",0170,271,141,412,1869,22.04%,218,175,393
"District Judge, 190th Judicial District",0171,202,198,400,1604,24.94%,11,382,393
"District Judge, 190th Judicial District",0172,88,80,166,621,26.73%,63,90,153
"District Judge, 190th Judicial District",0173,817,739,1556,3599,43.23%,1270,243,1513
"District Judge, 190th Judicial District",0174,829,733,1562,3296,47.39%,1107,377,1484
"District Judge, 190th Judicial District",0175,557,749,1306,2618,49.89%,699,510,1209
"District Judge, 190th Judicial District",0176,344,451,795,1602,49.63%,447,275,722
"District Judge, 190th Judicial District",0177,278,326,604,1496,40.37%,360,206,566
"District Judge, 190th Judicial District",0178,504,365,869,1765,49.24%,621,185,806
"District Judge, 190th Judicial District",0179,256,188,444,1575,28.19%,237,186,423
"District Judge, 190th Judicial District",0180,470,343,813,2834,28.69%,21,756,777
"District Judge, 190th Judicial District",0181,175,262,437,2061,21.20%,143,271,414
"District Judge, 190th Judicial District",0182,590,974,1564,3405,45.93%,1003,436,1439
"District Judge, 190th Judicial District",0183,519,794,1313,2491,52.71%,916,312,1228
"District Judge, 190th Judicial District",0184,106,135,241,994,24.25%,84,139,223
"District Judge, 190th Judicial District",0185,283,292,575,1933,29.75%,207,346,553
"District Judge, 190th Judicial District",0186,97,106,203,798,25.44%,30,167,197
"District Judge, 190th Judicial District",0187,21,25,46,311,14.79%,16,30,46
"District Judge, 190th Judicial District",0188,153,146,299,1637,18.27%,140,148,288
"District Judge, 190th Judicial District",0189,239,360,599,1465,40.89%,321,231,552
"District Judge, 190th Judicial District",0190,120,177,297,1723,17.24%,127,159,286
"District Judge, 190th Judicial District",0191,79,126,205,1366,15.01%,86,114,200
"District Judge, 190th Judicial District",0192,380,225,605,1959,30.88%,34,555,589
"District Judge, 190th Judicial District",0193,173,187,360,1074,33.52%,11,336,347
"District Judge, 190th Judicial District",0194,350,431,781,1912,40.85%,257,487,744
"District Judge, 190th Judicial District",0195,269,278,547,1694,32.29%,20,512,532
"District Judge, 190th Judicial District",0196,52,32,84,316,26.58%,6,76,82
"District Judge, 190th Judicial District",0197,543,309,852,2914,29.24%,15,820,835
"District Judge, 190th Judicial District",0198,53,74,127,642,19.78%,3,123,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0199,812,661,1473,3216,45.80%,1159,252,1411
"District Judge, 190th Judicial District",0200,962,536,1498,3382,44.29%,720,665,1385
"District Judge, 190th Judicial District",0201,98,87,185,724,25.55%,3,178,181
"District Judge, 190th Judicial District",0202,217,189,406,1464,27.73%,20,377,397
"District Judge, 190th Judicial District",0203,107,68,175,960,18.23%,39,127,166
"District Judge, 190th Judicial District",0204,816,784,1600,3487,45.88%,907,579,1486
"District Judge, 190th Judicial District",0205,464,171,635,1664,38.16%,17,606,623
"District Judge, 190th Judicial District",0206,362,462,824,2779,29.65%,236,544,780
"District Judge, 190th Judicial District",0207,265,261,526,1188,44.28%,165,339,504
"District Judge, 190th Judicial District",0208,322,262,584,2195,26.61%,173,380,553
"District Judge, 190th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 190th Judicial District",0210,502,467,969,2533,38.26%,113,828,941
"District Judge, 190th Judicial District",0211,307,386,693,2914,23.78%,263,401,664
"District Judge, 190th Judicial District",0212,96,155,251,1300,19.31%,52,191,243
"District Judge, 190th Judicial District",0213,826,913,1739,3350,51.91%,1420,215,1635
"District Judge, 190th Judicial District",0214,404,491,895,1854,48.27%,599,244,843
"District Judge, 190th Judicial District",0215,421,711,1132,2258,50.13%,715,339,1054
"District Judge, 190th Judicial District",0216,362,223,585,1945,30.08%,40,529,569
"District Judge, 190th Judicial District",0217,844,631,1475,2678,55.08%,1024,345,1369
"District Judge, 190th Judicial District",0218,391,402,793,2292,34.60%,249,491,740
"District Judge, 190th Judicial District",0219,496,436,932,2767,33.68%,48,848,896
"District Judge, 190th Judicial District",0220,325,187,512,2310,22.16%,374,120,494
"District Judge, 190th Judicial District",0221,332,369,701,2529,27.72%,302,362,664
"District Judge, 190th Judicial District",0222,623,674,1297,2501,51.86%,671,518,1189
"District Judge, 190th Judicial District",0223,563,377,940,3582,26.24%,274,614,888
"District Judge, 190th Judicial District",0224,530,456,986,2238,44.06%,480,429,909
"District Judge, 190th Judicial District",0225,375,405,781,3305,23.63%,404,352,756
"District Judge, 190th Judicial District",0226,227,307,534,2436,21.92%,124,385,509
"District Judge, 190th Judicial District",0227,558,423,981,1785,54.96%,769,135,904
"District Judge, 190th Judicial District",0228,362,195,557,1050,53.05%,29,505,534
"District Judge, 190th Judicial District",0229,31,96,127,815,15.58%,58,63,121
"District Judge, 190th Judicial District",0230,185,116,301,1089,27.64%,8,283,291
"District Judge, 190th Judicial District",0231,233,264,497,2232,22.27%,121,352,473
