Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0090,844,790,1634,3700,44.16%,1174,399,1573
"District Judge, 184th Judicial District",0091,219,222,441,1505,29.30%,271,153,424
"District Judge, 184th Judicial District",0092,695,462,1157,2242,51.61%,753,331,1084
"District Judge, 184th Judicial District",0093,381,301,682,3356,20.32%,274,369,643
"District Judge, 184th Judicial District",0094,51,43,94,549,17.12%,27,64,91
"District Judge, 184th Judicial District",0095,917,576,1493,3177,46.99%,1072,355,1427
"District Judge, 184th Judicial District",0096,83,83,166,1296,12.81%,21,144,165
"District Judge, 184th Judicial District",0097,1024,725,1749,4828,36.23%,1296,392,1688
"District Judge, 184th Judicial District",0098,403,488,891,2651,33.61%,736,126,862
"District Judge, 184th Judicial District",0099,254,184,438,2092,20.94%,213,212,425
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0100,155,173,338,1730,19.54%,181,152,333
"District Judge, 184th Judicial District",0101,72,58,130,946,13.74%,47,80,127
"District Judge, 184th Judicial District",0102,207,121,328,1872,17.52%,90,225,315
"District Judge, 184th Judicial District",0103,700,714,1414,5371,26.33%,798,578,1376
"District Judge, 184th Judicial District",0104,530,231,761,1905,39.95%,24,727,751
"District Judge, 184th Judicial District",0105,195,210,406,2165,18.75%,136,245,381
"District Judge, 184th Judicial District",0106,15,7,25,294,8.50%,16,8,24
"District Judge, 184th Judicial District",0107,154,197,351,2032,17.27%,57,275,332
"District Judge, 184th Judicial District",0108,558,272,940,3365,27.93%,563,344,907
"District Judge, 184th Judicial District",0109,529,245,774,2824,27.41%,11,748,759
"District Judge, 184th Judicial District",0110,554,494,1148,3042,37.74%,734,376,1110
"District Judge, 184th Judicial District",0111,815,795,1611,4102,39.27%,1187,364,1551
"District Judge, 184th Judicial District",0112,542,485,1027,2976,34.51%,755,238,993
"District Judge, 184th Judicial District",0113,552,429,991,2647,37.44%,601,344,945
"District Judge, 184th Judicial District",0114,707,547,1254,3311,37.87%,1010,212,1222
"District Judge, 184th Judicial District",0115,238,150,388,1800,21.56%,51,325,376
"District Judge, 184th Judicial District",0116,982,776,1758,3147,55.86%,1320,337,1657
"District Judge, 184th Judicial District",0117,215,226,441,1880,23.46%,212,206,418
"District Judge, 184th Judicial District",0118,304,123,427,759,56.26%,349,62,411
"District Judge, 184th Judicial District",0119,1288,1024,2312,5500,42.04%,1873,358,2231
"District Judge, 184th Judicial District",0120,712,422,1134,3191,35.54%,733,353,1085
"District Judge, 184th Judicial District",0121,92,178,270,848,31.84%,190,67,257
"District Judge, 184th Judicial District",0122,352,225,577,1890,30.53%,21,539,560
"District Judge, 184th Judicial District",0123,284,288,572,1392,41.09%,140,392,532
"District Judge, 184th Judicial District",0124,1734,1292,3026,7254,41.71%,2396,554,2950
"District Judge, 184th Judicial District",0125,415,332,747,2405,31.06%,463,257,720
"District Judge, 184th Judicial District",0126,893,467,1360,3100,43.87%,1202,125,1327
"District Judge, 184th Judicial District",0127,435,154,589,1836,32.08%,417,141,558
"District Judge, 184th Judicial District",0128,445,707,1152,2290,50.31%,687,367,1054
"District Judge, 184th Judicial District",0129,1030,1200,2230,5746,38.81%,1352,763,2115
"District Judge, 184th Judicial District",0130,727,523,1250,2333,53.58%,907,279,1186
"District Judge, 184th Judicial District",0131,251,259,510,1935,26.36%,125,362,487
"District Judge, 184th Judicial District",0132,593,323,916,2387,38.37%,18,880,898
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0133,513,858,1371,2662,51.50%,771,493,1264
"District Judge, 184th Judicial District",0134,192,265,457,1437,31.80%,210,227,437
"District Judge, 184th Judicial District",0135,727,579,1306,2671,48.90%,856,373,1229
"District Judge, 184th Judicial District",0136,503,371,874,2013,43.42%,42,803,845
"District Judge, 184th Judicial District",0137,166,141,307,716,42.88%,143,138,281
"District Judge, 184th Judicial District",0138,296,199,495,1699,29.13%,13,471,484
"District Judge, 184th Judicial District",0139,699,551,1250,3037,41.16%,526,645,1171
"District Judge, 184th Judicial District",0140,699,480,1179,3214,36.68%,140,998,1138
"District Judge, 184th Judicial District",0141,80,80,160,855,18.71%,99,53,152
"District Judge, 184th Judicial District",0142,87,103,190,902,21.06%,63,117,180
"District Judge, 184th Judicial District",0143,1962,580,2542,6386,39.81%,1835,645,2480
"District Judge, 184th Judicial District",0144,216,158,374,1093,34.22%,9,355,364
"District Judge, 184th Judicial District",0145,264,213,477,1538,31.01%,9,456,465
"District Judge, 184th Judicial District",0146,426,519,945,2008,47.06%,404,494,898
"District Judge, 184th Judicial District",0147,689,329,1018,3008,33.84%,135,859,994
"District Judge, 184th Judicial District",0148,500,780,1280,2540,50.39%,463,711,1174
"District Judge, 184th Judicial District",0149,1621,737,2358,7993,29.50%,1229,1068,2297
"District Judge, 184th Judicial District",0150,236,169,405,1256,32.25%,12,388,400
"District Judge, 184th Judicial District",0151,137,79,216,826,26.15%,9,195,204
"District Judge, 184th Judicial District",0152,213,299,512,2788,18.36%,142,347,489
"District Judge, 184th Judicial District",0153,125,206,331,1808,18.31%,114,196,310
"District Judge, 184th Judicial District",0154,249,183,432,2190,19.73%,124,284,408
