Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0183,520,794,1314,2491,52.75%,913,328,27,7,1275
Commissioner of the General Land Office,0184,106,135,241,994,24.25%,82,129,8,4,223
Commissioner of the General Land Office,0185,283,292,575,1933,29.75%,221,325,7,2,555
Commissioner of the General Land Office,0186,97,106,203,798,25.44%,34,161,2,2,199
Commissioner of the General Land Office,0187,21,25,46,311,14.79%,15,28,0,2,45
Commissioner of the General Land Office,0188,153,146,299,1637,18.27%,138,144,7,3,292
Commissioner of the General Land Office,0189,239,360,599,1465,40.89%,308,233,25,12,578
Commissioner of the General Land Office,0190,120,177,297,1723,17.24%,123,150,7,7,287
Commissioner of the General Land Office,0191,79,126,205,1366,15.01%,91,99,3,5,198
Commissioner of the General Land Office,0192,381,225,606,1959,30.93%,28,556,5,6,595
Commissioner of the General Land Office,0193,173,187,360,1074,33.52%,11,332,1,7,351
Commissioner of the General Land Office,0194,351,431,782,1912,40.90%,249,468,25,26,768
Commissioner of the General Land Office,0195,269,278,547,1694,32.29%,16,515,6,4,541
Commissioner of the General Land Office,0196,52,32,84,316,26.58%,5,75,2,1,83
Commissioner of the General Land Office,0197,543,309,852,2914,29.24%,19,815,4,3,841
Commissioner of the General Land Office,0198,53,74,127,642,19.78%,3,121,2,0,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0199,812,661,1473,3216,45.80%,1130,251,48,15,1444
Commissioner of the General Land Office,0200,962,536,1498,3382,44.29%,714,678,30,24,1446
Commissioner of the General Land Office,0201,98,87,185,724,25.55%,5,173,1,2,181
Commissioner of the General Land Office,0202,217,189,406,1464,27.73%,13,377,1,9,400
Commissioner of the General Land Office,0203,107,68,175,960,18.23%,45,116,3,2,166
Commissioner of the General Land Office,0204,817,784,1601,3487,45.91%,938,545,40,34,1557
Commissioner of the General Land Office,0205,465,171,636,1664,38.22%,10,617,0,3,630
Commissioner of the General Land Office,0206,364,462,826,2779,29.72%,252,501,27,30,810
Commissioner of the General Land Office,0207,265,261,526,1188,44.28%,193,301,6,11,511
Commissioner of the General Land Office,0208,322,262,584,2195,26.61%,182,374,8,6,570
Commissioner of the General Land Office,0209,0,2,2,0,0.00%,2,0,0,0,2
Commissioner of the General Land Office,0210,502,467,969,2533,38.26%,111,811,11,18,951
Commissioner of the General Land Office,0211,307,386,693,2914,23.78%,275,368,14,14,671
Commissioner of the General Land Office,0212,96,155,251,1300,19.31%,57,179,3,5,244
Commissioner of the General Land Office,0213,826,913,1739,3350,51.91%,1454,210,30,6,1700
Commissioner of the General Land Office,0214,404,491,895,1854,48.27%,591,262,24,6,883
Commissioner of the General Land Office,0215,423,711,1134,2258,50.22%,713,345,31,19,1108
Commissioner of the General Land Office,0216,362,223,585,1945,30.08%,42,523,1,6,572
