Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0628,152,219,371,1675,22.15%,195,156,5,8,364
Commissioner of the General Land Office,0629,37,53,90,696,12.93%,17,73,0,0,90
Commissioner of the General Land Office,0630,975,600,1575,3905,40.36%,121,1398,17,16,1552
Commissioner of the General Land Office,0631,822,404,1226,2846,43.08%,916,268,21,9,1214
Commissioner of the General Land Office,0632,7,4,11,343,3.21%,3,7,0,1,11
Commissioner of the General Land Office,0633,945,731,1676,3559,47.09%,1198,409,37,12,1656
Commissioner of the General Land Office,0634,458,442,900,3029,29.71%,592,257,29,11,889
Commissioner of the General Land Office,0635,743,485,1228,3393,36.19%,901,251,40,14,1206
Commissioner of the General Land Office,0636,835,874,1710,4140,41.30%,1490,167,30,4,1691
Commissioner of the General Land Office,0637,409,362,771,2512,30.69%,209,499,17,16,741
Commissioner of the General Land Office,0638,304,245,549,2204,24.91%,47,483,4,1,535
Commissioner of the General Land Office,0639,549,547,1096,2526,43.39%,879,168,26,6,1079
Commissioner of the General Land Office,0640,641,459,1100,3733,29.47%,683,364,29,9,1085
Commissioner of the General Land Office,0641,649,596,1245,3650,34.11%,837,357,24,12,1230
Commissioner of the General Land Office,0642,472,394,866,1764,49.09%,715,128,9,5,857
Commissioner of the General Land Office,0643,934,653,1587,5945,26.69%,633,879,28,17,1557
Commissioner of the General Land Office,0644,1020,823,1843,5523,33.37%,1213,517,53,16,1799
Commissioner of the General Land Office,0645,655,594,1249,4185,29.84%,681,488,37,17,1223
Commissioner of the General Land Office,0646,364,287,651,2220,29.32%,223,389,6,7,625
Commissioner of the General Land Office,0647,904,470,1374,6084,22.58%,411,846,10,16,1283
Commissioner of the General Land Office,0648,838,579,1417,3367,42.08%,1020,332,40,10,1402
Commissioner of the General Land Office,0649,687,434,1121,4576,24.50%,381,666,21,13,1081
Commissioner of the General Land Office,0650,906,766,1672,3888,43.00%,1246,352,39,11,1648
Commissioner of the General Land Office,0651,963,766,1729,5128,33.72%,1134,518,39,11,1702
Commissioner of the General Land Office,0652,467,515,982,2815,34.88%,180,764,11,11,966
Commissioner of the General Land Office,0653,0,4,4,0,0.00%,0,4,0,0,4
Commissioner of the General Land Office,0654,950,1005,1955,6208,31.49%,1113,762,39,11,1925
Commissioner of the General Land Office,0655,1115,1079,2195,6855,32.02%,1371,694,72,18,2155
Commissioner of the General Land Office,0656,579,393,972,2674,36.35%,42,900,5,6,953
Commissioner of the General Land Office,0657,247,172,419,1292,32.43%,173,228,8,3,412
Commissioner of the General Land Office,0658,540,426,966,2807,34.41%,628,297,21,9,955
Commissioner of the General Land Office,0659,1150,788,1938,4856,39.91%,1397,458,44,15,1914
Commissioner of the General Land Office,0660,950,825,1775,5372,33.04%,171,1555,12,14,1752
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0661,675,765,1440,4567,31.53%,842,519,29,22,1412
Commissioner of the General Land Office,0662,1148,890,2038,4874,41.81%,1653,315,30,10,2008
Commissioner of the General Land Office,0663,719,797,1515,3346,45.31%,777,616,42,34,1469
Commissioner of the General Land Office,0664,352,250,602,2869,20.98%,148,418,6,8,580
Commissioner of the General Land Office,0665,484,348,832,2154,38.63%,703,91,22,10,826
Commissioner of the General Land Office,0666,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0667,488,502,990,2149,46.07%,791,158,25,6,980
Commissioner of the General Land Office,0668,399,509,908,2775,32.72%,586,270,28,10,894
Commissioner of the General Land Office,0669,850,738,1,588,3425,46.36%,1176,346,30,10,1562
Commissioner of the General Land Office,0670,957,471,1428,2983,47.87%,1161,200,38,10,1409
Commissioner of the General Land Office,0671,403,565,968,3037,31.87%,604,311,19,14,948
Commissioner of the General Land Office,0672,960,862,1822,5706,31.93%,1244,499,33,14,1790
Commissioner of the General Land Office,0673,729,516,1245,2995,41.57%,1001,193,27,8,1229
Commissioner of the General Land Office,0674,1071,618,1689,4091,41.29%,1268,342,30,15,1655
Commissioner of the General Land Office,0675,0,1,1,0,0.00%,1,0,0,0,1
Commissioner of the General Land Office,0676,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0677,127,127,254,1266,20.06%,99,139,7,2,247
Commissioner of the General Land Office,0678,166,108,274,735,37.28%,186,67,10,3,266
Commissioner of the General Land Office,0679,635,520,1155,3381,34.16%,885,219,18,9,1131
Commissioner of the General Land Office,0680,21,14,35,162,21.60%,13,19,0,3,35
Commissioner of the General Land Office,0681,1,0,1,5,20.00%,1,0,0,0,1
Commissioner of the General Land Office,0682,711,654,1365,4216,32.38%,1019,288,28,12,1347
Commissioner of the General Land Office,0683,29,20,49,276,17.75%,11,35,0,1,47
Commissioner of the General Land Office,0684,28,22,50,223,22.42%,25,21,3,0,49
Commissioner of the General Land Office,0685,110,29,139,307,45.28%,67,66,3,1,137
Commissioner of the General Land Office,0686,17,12,29,208,13.94%,11,15,3,0,29
Commissioner of the General Land Office,0687,549,537,1085,2609,41.63%,751,277,24,9,1061
Commissioner of the General Land Office,0688,999,617,1616,3504,46.12%,1327,234,30,10,1601
Commissioner of the General Land Office,0689,211,387,598,2346,25.49%,312,257,15,3,587
Commissioner of the General Land Office,0690,926,1104,2030,5102,39.79%,1637,301,48,14,2000
Commissioner of the General Land Office,0691,2,5,7,25,28.00%,3,4,0,0,7
Commissioner of the General Land Office,0692,444,548,992,2847,34.84%,754,186,25,11,976
Commissioner of the General Land Office,0693,167,91,258,666,38.74%,74,170,9,1,254
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0694,260,120,380,845,44.97%,262,94,7,5,368
Commissioner of the General Land Office,0695,232,193,425,1724,24.65%,269,138,7,4,418
Commissioner of the General Land Office,0696,261,207,468,1982,23.61%,303,143,12,6,464
Commissioner of the General Land Office,0697,605,613,1218,4413,27.60%,317,846,15,15,1193
Commissioner of the General Land Office,0698,448,489,937,3189,29.38%,110,787,5,13,915
Commissioner of the General Land Office,0699,568,414,982,2343,41.91%,678,252,19,4,953
Commissioner of the General Land Office,0700,255,251,506,1371,36.91%,433,57,6,2,498
Commissioner of the General Land Office,0701,56,43,99,588,16.84%,59,34,2,2,97
Commissioner of the General Land Office,0702,64,70,134,539,24.86%,20,109,0,1,130
Commissioner of the General Land Office,0703,372,490,862,1882,45.80%,640,169,19,13,841
Commissioner of the General Land Office,0704,569,599,1168,3064,38.12%,952,178,19,4,1153
Commissioner of the General Land Office,0705,114,113,227,1523,14.90%,31,187,0,3,221
Commissioner of the General Land Office,0706,115,71,186,610,30.49%,99,75,3,4,181
Commissioner of the General Land Office,0707,153,86,239,707,33.80%,160,64,6,2,232
Commissioner of the General Land Office,0708,54,52,106,563,18.83%,51,46,2,3,102
Commissioner of the General Land Office,0709,1375,947,2322,6848,33.91%,1410,815,52,14,2291
Commissioner of the General Land Office,0710,371,462,833,2082,40.01%,500,289,17,7,813
Commissioner of the General Land Office,0711,703,506,1209,3484,34.70%,766,373,30,21,1190
Commissioner of the General Land Office,0712,491,463,954,3670,25.99%,411,501,21,7,940
Commissioner of the General Land Office,0713,228,262,490,1907,25.69%,249,212,16,5,482
Commissioner of the General Land Office,0714,36,19,55,296,18.58%,34,20,1,0,55
Commissioner of the General Land Office,0715,176,187,363,1408,25.78%,222,132,0,0,354
Commissioner of the General Land Office,0716,449,407,856,2680,31.94%,612,203,22,9,846
Commissioner of the General Land Office,0717,373,250,623,2002,31.12%,82,524,2,6,614
Commissioner of the General Land Office,0718,1017,806,1823,4229,43.11%,1326,407,46,10,1789
Commissioner of the General Land Office,0719,247,137,384,1589,24.17%,231,129,10,6,376
Commissioner of the General Land Office,0720,995,780,1775,4282,41.45%,1339,350,44,12,1745
Commissioner of the General Land Office,0721,754,532,1286,2870,44.81%,866,346,29,16,1257
Commissioner of the General Land Office,0722,873,494,1367,4479,30.52%,101,1208,11,18,1338
Commissioner of the General Land Office,0723,401,202,603,1858,32.45%,133,445,6,7,591
Commissioner of the General Land Office,0724,151,128,279,766,36.42%,219,51,5,2,277
Commissioner of the General Land Office,0725,423,237,660,2237,29.50%,312,322,9,7,650
Commissioner of the General Land Office,0726,592,402,994,2087,47.63%,868,95,14,5,982
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0727,338,290,628,2488,25.24%,214,367,14,12,607
Commissioner of the General Land Office,0728,209,151,360,880,40.91%,227,113,7,4,351
Commissioner of the General Land Office,0729,135,59,195,464,42.03%,125,66,4,0,195
Commissioner of the General Land Office,0730,428,359,787,1747,45.05%,529,209,16,10,764
Commissioner of the General Land Office,0731,58,27,85,352,24.15%,24,59,1,0,84
Commissioner of the General Land Office,0732,441,324,765,1924,39.76%,482,238,28,6,754
Commissioner of the General Land Office,0733,13,7,20,215,9.30%,9,10,1,0,20
Commissioner of the General Land Office,0734,1558,962,2520,7005,35.97%,1749,666,58,23,2496
Commissioner of the General Land Office,0735,8,0,8,18,33.33%,5,0,1,0,6
Commissioner of the General Land Office,0736,3,1,4,22,18.18%,0,3,0,1,4
Commissioner of the General Land Office,0737,11,7,18,51,35.29%,12,5,0,0,17
Commissioner of the General Land Office,0738,139,100,239,1361,17.56%,44,180,4,4,232
Commissioner of the General Land Office,0739,353,301,654,2955,22.13%,339,276,13,10,638
Commissioner of the General Land Office,0740,96,98,194,939,20.66%,125,56,4,4,189
Commissioner of the General Land Office,0741,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of the General Land Office,0742,0,11,11,0,0.00%,6,5,0,0,11
Commissioner of the General Land Office,0743,15,18,33,210,15.71%,14,13,0,3,30
Commissioner of the General Land Office,0744,456,392,848,2027,41.84%,557,234,25,9,825
Commissioner of the General Land Office,0745,683,372,1055,2494,42.30%,661,335,31,13,1040
Commissioner of the General Land Office,0746,114,77,191,691,27.64%,91,89,6,5,191
Commissioner of the General Land Office,0747,551,467,1018,3743,27.20%,486,460,35,19,1000
Commissioner of the General Land Office,0748,172,140,312,1403,22.24%,158,130,13,6,307
Commissioner of the General Land Office,0749,30,17,47,377,12.47%,10,34,0,0,44
Commissioner of the General Land Office,0750,111,96,207,767,26.99%,130,69,6,0,205
Commissioner of the General Land Office,0751,925,964,1889,5084,37.16%,1266,519,49,23,1857
Commissioner of the General Land Office,0752,286,200,486,1483,32.77%,373,89,14,2,478
Commissioner of the General Land Office,0753,55,73,128,259,49.42%,83,37,5,0,125
Commissioner of the General Land Office,0754,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0755,442,584,1026,4294,23.89%,466,504,19,10,999
Commissioner of the General Land Office,0756,251,177,428,1600,26.75%,176,237,4,1,418
Commissioner of the General Land Office,0757,520,508,1028,4035,25.48%,183,799,10,15,1007
Commissioner of the General Land Office,0758,1114,692,1806,4096,44.09%,1453,267,47,16,1783
Commissioner of the General Land Office,0759,465,413,878,2730,32.16%,563,269,17,8,857
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0760,1432,639,2071,4367,47.42%,1774,228,35,5,2042
Commissioner of the General Land Office,0761,548,253,801,1550,51.68%,587,175,17,7,786
Commissioner of the General Land Office,0762,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0763,108,146,254,1212,20.96%,106,128,9,2,245
Commissioner of the General Land Office,0764,1133,774,1907,5217,36.55%,1216,619,33,15,1883
Commissioner of the General Land Office,0765,648,426,1074,4055,26.49%,450,542,40,20,1052
Commissioner of the General Land Office,0766,40,25,65,392,16.58%,19,42,1,0,62
Commissioner of the General Land Office,0767,10,2,12,86,13.95%,6,6,0,0,12
Commissioner of the General Land Office,0768,1359,1015,2374,5857,40.53%,1945,330,56,15,2346
Commissioner of the General Land Office,0769,54,16,70,183,38.25%,3,66,0,0,69
Commissioner of the General Land Office,0770,31,25,56,323,17.34%,23,28,3,2,56
Commissioner of the General Land Office,0771,324,254,578,2426,23.83%,333,205,18,11,567
Commissioner of the General Land Office,0772,1792,851,2643,5709,46.30%,2046,460,66,22,2594
Commissioner of the General Land Office,0773,473,312,785,2918,26.90%,235,485,10,10,740
Commissioner of the General Land Office,0774,30,41,71,378,18.78%,15,51,1,2,69
Commissioner of the General Land Office,0775,18,3,21,92,22.83%,0,20,0,0,20
Commissioner of the General Land Office,0776,551,496,1047,3053,34.29%,618,366,31,11,1026
Commissioner of the General Land Office,0777,45,40,86,652,13.19%,34,50,1,0,85
Commissioner of the General Land Office,0778,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0779,64,51,115,940,12.23%,44,64,2,1,111
Commissioner of the General Land Office,0780,53,59,122,595,20.50%,71,49,1,0,121
Commissioner of the General Land Office,0781,666,273,939,3603,26.06%,435,391,19,21,866
Commissioner of the General Land Office,0782,368,370,738,2236,33.01%,471,232,21,9,733
Commissioner of the General Land Office,0783,49,13,62,294,21.09%,46,13,1,1,61
Commissioner of the General Land Office,0784,208,128,336,1079,31.14%,10,316,1,1,328
Commissioner of the General Land Office,0785,28,25,53,296,17.91%,32,19,2,0,53
Commissioner of the General Land Office,0786,100,98,198,1251,15.83%,72,115,4,3,194
Commissioner of the General Land Office,0787,45,52,98,488,20.08%,37,55,1,2,95
Commissioner of the General Land Office,0788,74,32,106,454,23.35%,52,48,4,1,105
Commissioner of the General Land Office,0789,0,3,3,3,100.00%,1,2,0,0,3
Commissioner of the General Land Office,0790,0,0,0,3,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0791,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0792,269,239,508,1865,27.24%,136,349,5,5,495
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0793,448,247,695,2484,27.98%,424,233,21,8,686
Commissioner of the General Land Office,0794,124,144,268,2710,9.89%,34,218,5,5,262
Commissioner of the General Land Office,0795,90,125,215,1217,17.67%,89,114,3,3,209
Commissioner of the General Land Office,0796,83,51,134,476,28.15%,75,50,4,1,130
Commissioner of the General Land Office,0797,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0798,99,111,210,500,42.00%,85,105,4,10,204
Commissioner of the General Land Office,0799,28,15,43,161,26.71%,10,32,0,1,43
Commissioner of the General Land Office,0800,588,642,1230,2932,41.95%,846,325,23,7,1201
Commissioner of the General Land Office,0801,32,14,46,258,17.83%,16,26,2,0,44
Commissioner of the General Land Office,0802,51,27,78,312,25.00%,16,54,3,5,78
Commissioner of the General Land Office,0803,725,511,1236,2893,42.72%,917,263,29,8,1217
Commissioner of the General Land Office,0804,933,591,1524,4768,31.96%,969,481,34,12,1496
Commissioner of the General Land Office,0805,765,533,1298,2866,45.29%,1047,189,38,10,1284
Commissioner of the General Land Office,0806,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0807,211,204,415,2028,20.46%,91,291,16,10,408
Commissioner of the General Land Office,0808,12,17,29,131,22.14%,10,18,0,1,29
Commissioner of the General Land Office,0809,7,6,13,92,14.13%,5,7,0,0,12
Commissioner of the General Land Office,0810,9,16,25,211,11.85%,7,17,0,0,24
Commissioner of the General Land Office,0811,29,50,79,270,29.26%,27,45,2,0,74
Commissioner of the General Land Office,0812,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0813,938,761,1699,5807,29.26%,838,770,45,24,1677
Commissioner of the General Land Office,0814,673,533,1206,5102,23.64%,319,830,18,14,1181
Commissioner of the General Land Office,0815,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0816,10,0,10,73,13.70%,3,7,0,0,10
Commissioner of the General Land Office,0817,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0818,86,39,125,616,20.29%,28,91,1,3,123
Commissioner of the General Land Office,0819,64,30,94,240,39.17%,52,32,4,1,89
Commissioner of the General Land Office,0820,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0821,124,120,244,1242,19.65%,37,197,1,6,241
Commissioner of the General Land Office,0822,332,167,499,1535,32.51%,16,469,3,1,489
Commissioner of the General Land Office,0823,821,564,1385,5087,27.23%,810,514,28,14,1366
Commissioner of the General Land Office,0824,428,282,710,2700,26.30%,162,508,11,14,695
Commissioner of the General Land Office,0825,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0826,73,50,123,358,34.36%,69,49,3,0,121
Commissioner of the General Land Office,0827,60,98,158,979,16.14%,64,77,5,9,155
Commissioner of the General Land Office,0828,541,388,929,1916,48.49%,763,125,28,4,920
Commissioner of the General Land Office,0829,54,22,76,264,28.79%,16,52,2,4,74
Commissioner of the General Land Office,0830,0,0,0,2,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0831,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0832,34,28,62,352,17.61%,16,42,2,1,61
Commissioner of the General Land Office,0833,0,1,1,20,5.00%,0,1,0,0,1
Commissioner of the General Land Office,0834,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0835,38,19,57,290,19.66%,13,39,0,1,53
Commissioner of the General Land Office,0836,3,0,3,19,15.79%,0,3,0,0,3
Commissioner of the General Land Office,0837,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0838,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0839,136,118,254,1128,22.52%,50,178,13,7,248
Commissioner of the General Land Office,0840,381,174,555,1705,32.55%,197,339,4,5,545
Commissioner of the General Land Office,0841,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0842,421,434,855,3259,26.24%,409,406,10,11,836
Commissioner of the General Land Office,0843,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of the General Land Office,0844,1,0,1,11,9.09%,0,1,0,0,1
Commissioner of the General Land Office,0845,54,9,63,134,47.01%,39,19,2,1,61
Commissioner of the General Land Office,0846,23,24,47,229,20.52%,2,43,1,0,46
Commissioner of the General Land Office,0847,306,211,517,2015,25.66%,140,357,8,7,512
Commissioner of the General Land Office,0848,489,266,755,1856,40.68%,231,489,10,8,738
Commissioner of the General Land Office,0849,201,291,492,2124,23.16%,190,264,15,8,477
Commissioner of the General Land Office,0850,45,41,87,210,41.43%,31,51,1,1,84
Commissioner of the General Land Office,0851,1029,657,1686,4709,35.80%,1138,459,40,19,1656
Commissioner of the General Land Office,0852,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0853,575,620,1296,2882,44.97%,1001,231,26,8,1266
Commissioner of the General Land Office,0854,15,26,41,172,23.84%,7,31,1,0,39
Commissioner of the General Land Office,0855,5,9,14,16,87.50%,5,8,0,0,13
Commissioner of the General Land Office,0856,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of the General Land Office,0857,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0858,63,34,97,343,28.28%,4,92,0,0,96
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0859,157,106,263,890,29.55%,70,187,2,0,259
Commissioner of the General Land Office,0860,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0861,315,199,514,1842,27.90%,86,415,3,3,507
Commissioner of the General Land Office,0862,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0863,101,54,155,584,26.54%,7,145,0,0,152
Commissioner of the General Land Office,0864,193,299,492,2569,19.15%,141,321,6,10,478
Commissioner of the General Land Office,0865,2,3,5,21,23.81%,0,5,0,0,5
Commissioner of the General Land Office,0866,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0867,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0868,236,271,507,2326,21.80%,163,318,9,5,495
Commissioner of the General Land Office,0869,53,39,92,470,19.57%,22,63,3,1,89
Commissioner of the General Land Office,0870,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0871,1,0,1,3,33.33%,0,1,0,0,1
Commissioner of the General Land Office,0872,5,3,8,59,13.56%,5,3,0,0,8
Commissioner of the General Land Office,0873,98,75,173,737,23.47%,46,120,3,1,170
Commissioner of the General Land Office,0874,764,707,1471,3223,45.64%,1127,280,28,11,1446
Commissioner of the General Land Office,0875,905,527,1432,5147,27.82%,674,667,45,16,1402
Commissioner of the General Land Office,0876,698,641,1339,3265,41.01%,1038,253,22,11,1324
Commissioner of the General Land Office,0877,476,382,858,3032,28.30%,350,465,17,11,843
Commissioner of the General Land Office,0878,428,354,782,1666,46.94%,649,101,18,6,774
Commissioner of the General Land Office,0879,407,294,701,2667,26.28%,359,298,16,13,686
Commissioner of the General Land Office,0880,543,447,990,2352,42.09%,816,138,17,7,978
Commissioner of the General Land Office,0881,596,540,1136,4479,25.36%,394,697,20,9,1120
Commissioner of the General Land Office,0882,426,291,717,2422,29.60%,418,259,21,6,704
Commissioner of the General Land Office,0883,643,702,1345,5408,24.87%,248,1040,21,16,1325
Commissioner of the General Land Office,0884,57,25,82,377,21.75%,7,71,1,1,80
Commissioner of the General Land Office,0885,582,368,930,2619,35.51%,552,349,18,5,924
Commissioner of the General Land Office,0886,128,108,236,675,34.96%,130,91,4,3,228
Commissioner of the General Land Office,0887,51,67,118,418,28.23%,62,46,7,3,118
Commissioner of the General Land Office,0888,0,3,3,0,0.00%,2,1,0,0,3
Commissioner of the General Land Office,0889,14,0,14,57,24.56%,5,8,0,0,13
Commissioner of the General Land Office,0890,164,103,267,1095,24.38%,99,147,7,6,259
Commissioner of the General Land Office,0891,319,243,562,1331,42.22%,228,296,12,8,544
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0892,115,86,201,808,24.88%,77,107,11,4,199
Commissioner of the General Land Office,0893,0,2,2,6,33.33%,0,2,0,0,2
Commissioner of the General Land Office,0894,0,3,3,0,0.00%,3,0,0,0,3
Commissioner of the General Land Office,0895,156,286,442,793,55.74%,196,208,10,9,423
Commissioner of the General Land Office,0896,370,297,667,1459,45.72%,276,339,18,15,648
Commissioner of the General Land Office,0897,253,297,550,1701,32.33%,313,211,17,2,543
Commissioner of the General Land Office,0898,0,0,0,3,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0899,2,0,2,8,25.00%,0,2,0,0,2
Commissioner of the General Land Office,0900,0,2,2,10,20.00%,1,1,0,0,2
Commissioner of the General Land Office,0901,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0902,396,486,882,2139,41.23%,495,328,21,14,858
Commissioner of the General Land Office,0903,3,7,10,50,20.00%,2,6,1,0,9
Commissioner of the General Land Office,0904,1,0,1,7,14.29%,0,0,1,0,1
Commissioner of the General Land Office,0905,123,100,223,904,24.67%,106,107,2,1,216
Commissioner of the General Land Office,0906,8,6,14,25,56.00%,8,6,0,0,14
Commissioner of the General Land Office,0907,12,19,31,181,17.13%,6,25,0,0,31
Commissioner of the General Land Office,0908,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of the General Land Office,0909,2,1,3,18,16.67%,0,3,0,0,3
Commissioner of the General Land Office,0910,25,24,49,217,22.58%,19,24,0,1,44
Commissioner of the General Land Office,0911,118,60,178,551,32.30%,124,47,1,3,175
Commissioner of the General Land Office,0912,316,201,517,1273,40.61%,341,144,13,4,502
Commissioner of the General Land Office,0913,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0914,169,179,348,701,49.64%,279,49,13,0,341
Commissioner of the General Land Office,0915,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0916,417,240,657,1491,44.06%,519,110,14,2,645
Commissioner of the General Land Office,0917,177,62,239,483,49.48%,162,64,6,2,234
Commissioner of the General Land Office,0918,304,168,472,883,53.45%,376,76,8,4,464
Commissioner of the General Land Office,0919,0,0,0,3,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0920,22,12,34,71,47.89%,22,9,0,1,32
Commissioner of the General Land Office,0921,32,15,47,119,39.50%,32,12,2,0,46
Commissioner of the General Land Office,0922,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0923,470,137,607,1511,40.17%,461,129,9,2,601
Commissioner of the General Land Office,0924,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0925,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0926,171,128,299,796,37.56%,230,61,5,0,296
Commissioner of the General Land Office,0927,44,30,74,270,27.41%,32,39,0,3,74
Commissioner of the General Land Office,0928,3,0,3,8,37.50%,0,3,0,0,3
Commissioner of the General Land Office,0929,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0930,109,54,163,584,27.91%,5,156,1,0,162
Commissioner of the General Land Office,0931,30,40,70,130,53.85%,39,28,0,1,68
Commissioner of the General Land Office,0932,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0933,115,85,200,627,31.90%,53,128,4,11,196
Commissioner of the General Land Office,0934,2,0,2,63,3.17%,1,1,0,0,2
Commissioner of the General Land Office,0935,3,2,5,54,9.26%,2,2,0,0,4
Commissioner of the General Land Office,0936,s,2,10,81,12.35%,3,6,0,0,9
Commissioner of the General Land Office,0937,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0938,30,14,44,231,19.05%,15,26,1,0,42
Commissioner of the General Land Office,0939,0,0,0,2,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0940,0,0,0,10,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0941,9,10,19,25,76.00%,19,0,0,0,19
Commissioner of the General Land Office,0942,53,27,80,156,51.28%,67,12,0,0,79
Commissioner of the General Land Office,0943,166,80,246,547,44.97%,184,53,1,2,240
Commissioner of the General Land Office,0944,20,4,24,45,53.33%,22,1,0,0,23
Commissioner of the General Land Office,0945,1,2,3,17,17.65%,1,2,0,0,3
Commissioner of the General Land Office,0946,0,1,1,13,7.69%,0,1,0,0,1
Commissioner of the General Land Office,0947,177,246,423,799,52.94%,222,174,15,4,415
Commissioner of the General Land Office,0948,0,14,14,1,1400.00%,8,4,0,0,12
Commissioner of the General Land Office,0949,34,27,61,193,31.61%,33,23,1,3,60
Commissioner of the General Land Office,0950,0,0,0,1,0.00%,0,0,0,0,0
