Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0859,157,106,263,890,29.55%,70,187,257
County Clerk,0860,0,0,0,0,0.00%,0,0,0
County Clerk,0861,315,199,514,1842,27.90%,90,412,502
County Clerk,0862,0,0,0,0,0.00%,0,0,0
County Clerk,0863,101,54,155,584,26.54%,8,146,154
County Clerk,0864,193,299,492,2569,19.15%,133,338,471
County Clerk,0865,2,3,5,21,23.81%,0,5,5
County Clerk,0866,0,0,0,0,0.00%,0,0,0
County Clerk,0867,0,0,0,0,0.00%,0,0,0
County Clerk,0868,236,271,507,2326,21.80%,166,324,490
County Clerk,0869,53,39,92,470,19.57%,24,67,91
County Clerk,0870,0,0,0,0,0.00%,0,0,0
County Clerk,0871,1,0,1,3,33.33%,0,1,1
County Clerk,0872,5,3,8,59,13.56%,4,4,8
County Clerk,0873,98,75,173,737,23.47%,44,127,171
County Clerk,0874,763,707,1470,3223,45.61%,1107,315,1422
County Clerk,0875,904,527,1431,5147,27.80%,695,696,1391
County Clerk,0876,698,641,1339,3265,41.01%,1033,268,1301
County Clerk,0877,476,382,858,3032,28.30%,347,491,838
County Clerk,0878,427,354,781,1666,46.88%,654,108,762
County Clerk,0879,407,294,701,2667,26.28%,357,318,675
County Clerk,0880,543,447,990,2352,42.09%,803,159,962
County Clerk,0881,593,540,1133,4479,25.30%,387,725,1112
County Clerk,0882,426,291,717,2422,29.60%,434,262,696
County Clerk,0883,643,702,1345,5408,24.87%,242,1067,1309
County Clerk,0884,57,25,82,377,21.75%,9,71,80
County Clerk,0885,562,368,930,2619,35.51%,550,360,910
County Clerk,0886,128,108,236,675,34.96%,140,88,228
County Clerk,0887,50,67,117,418,27.99%,57,53,110
County Clerk,0888,0,3,3,0,0.00%,2,1,3
County Clerk,0889,14,0,14,57,24.56%,5,8,13
County Clerk,0890,164,103,267,1095,24.38%,87,164,251
County Clerk,0891,317,243,560,1331,42.07%,213,316,529
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0892,115,86,201,808,24.88%,69,122,191
County Clerk,0893,0,2,2,6,33.33%,0,2,2
County Clerk,0894,0,3,3,0,0.00%,2,1,3
County Clerk,0895,156,286,442,793,55.74%,183,221,404
County Clerk,0896,370,297,667,1459,45.72%,259,368,627
County Clerk,0897,252,297,549,1701,32.28%,314,221,535
County Clerk,0898,0,0,0,3,0.00%,0,0,0
County Clerk,0899,2,0,2,8,25.00%,0,2,2
County Clerk,0900,0,2,2,10,20.00%,1,1,2
County Clerk,0901,0,0,0,0,0.00%,0,0,0
County Clerk,0902,394,486,880,2139,41.14%,499,341,840
County Clerk,0903,3,7,10,50,20.00%,2,7,9
County Clerk,0904,1,0,1,7,14.29%,0,1,1
County Clerk,0905,123,100,223,904,24.67%,100,112,212
County Clerk,0906,8,6,14,25,56.00%,6,6,12
County Clerk,0907,12,19,31,181,17.13%,7,24,31
County Clerk,0908,0,1,1,0,0.00%,0,1,1
County Clerk,0909,2,1,3,18,16.67%,0,3,3
County Clerk,0910,25,24,49,217,22.58%,22,24,46
County Clerk,0911,118,60,178,551,32.30%,123,48,171
County Clerk,0912,316,201,517,1273,40.61%,337,156,493
County Clerk,0913,0,0,0,0,0.00%,0,0,0
County Clerk,0914,169,179,348,701,49.64%,278,61,339
County Clerk,0915,0,0,0,0,0.00%,0,0,0
County Clerk,0916,417,240,657,1491,44.06%,530,107,637
County Clerk,0917,177,62,239,483,49.48%,166,62,228
County Clerk,0918,304,168,472,883,53.45%,363,85,448
County Clerk,0919,0,0,0,3,0.00%,0,0,0
County Clerk,0920,22,12,34,71,47.89%,24,9,33
County Clerk,0921,32,15,47,119,39.50%,33,13,46
County Clerk,0922,0,0,0,0,0.00%,0,0,0
County Clerk,0923,470,137,607,1511,40.17%,459,135,594
County Clerk,0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0925,0,0,0,0,0.00%,0,0,0
County Clerk,0926,171,128,299,796,37.56%,224,64,288
County Clerk,0927,44,30,74,270,27.41%,31,37,68
County Clerk,0928,3,0,3,8,37.50%,0,3,3
County Clerk,0929,0,0,0,0,0.00%,0,0,0
County Clerk,0930,109,54,163,584,27.91%,6,155,161
County Clerk,0931,30,40,70,130,53.85%,38,26,64
County Clerk,0932,0,0,0,0,0.00%,0,0,0
County Clerk,0933,115,85,200,627,31.90%,57,138,195
County Clerk,0934,2,0,2,63,3.17%,1,1,2
County Clerk,0935,3,2,5,54,9.26%,2,1,3
County Clerk,0936,s,2,10,81,12.35%,3,6,9
County Clerk,0937,0,0,0,0,0.00%,0,0,0
County Clerk,0938,30,14,44,231,19.05%,13,30,43
County Clerk,0939,0,0,0,2,0.00%,0,0,0
County Clerk,0940,0,0,0,10,0.00%,0,0,0
County Clerk,0941,9,10,19,25,76.00%,19,0,19
County Clerk,0942,53,27,80,156,51.28%,64,12,76
County Clerk,0943,164,80,244,547,44.61%,167,62,229
County Clerk,0944,20,4,24,45,53.33%,20,0,20
County Clerk,0945,1,2,3,17,17.65%,1,2,3
County Clerk,0946,0,1,1,13,7.69%,0,1,1
County Clerk,0947,177,246,423,799,52.94%,224,177,401
County Clerk,0948,0,14,14,1,1400.00%,10,2,12
County Clerk,0949,34,27,61,193,31.61%,31,30,61
County Clerk,0950,0,0,0,1,0.00%,0,0,0
County Clerk,0951,33,30,63,277,22.74%,18,45,63
County Clerk,0952,16,15,31,71,43.66%,16,13,29
County Clerk,0953,18,9,27,275,9.82%,4,22,26
County Clerk,0954,0,0,0,1,0.00%,0,0,0
County Clerk,0955,3,2,5,19,26.32%,4,1,5
County Clerk,0956,2,4,6,11,54.55%,2,4,6
County Clerk,0957,97,95,192,562,34.16%,20,171,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0958,81,129,210,1081,19.43%,51,152,203
County Clerk,0959,0,0,0,0,0.00%,0,0,0
County Clerk,0960,196,157,353,976,36.17%,73,270,343
County Clerk,0961,15,0,16,56,28.57%,0,16,16
County Clerk,0962,10,17,27,88,30.68%,5,22,27
County Clerk,0963,54,41,105,426,24.65%,55,45,100
County Clerk,0964,568,437,1005,2372,42.37%,618,358,976
County Clerk,0965,31,21,52,343,15.16%,27,24,51
County Clerk,0966,129,83,212,1148,18.47%,79,129,208
County Clerk,0967,15,48,63,165,38.18%,19,43,62
County Clerk,0968,119,30,149,692,21.53%,31,115,146
County Clerk,0969,156,73,229,604,37.91%,1,225,226
County Clerk,0970,83,36,119,731,16.28%,17,98,115
County Clerk,0971,11,8,19,147,12.93%,1,16,17
County Clerk,0972,e,8,14,31,45.16%,13,1,14
County Clerk,0973,24,19,43,111,38.74%,20,19,39
County Clerk,0974,57,36,93,299,31.10%,59,33,92
County Clerk,0975,55,30,85,193,44.04%,40,40,80
County Clerk,0976,58,62,130,683,19.03%,86,42,128
County Clerk,0977,50,43,93,572,16.26%,39,53,92
County Clerk,0978,77,79,156,546,28.57%,31,122,153
County Clerk,0979,2,6,8,27,29.63%,4,3,7
County Clerk,0980,280,321,601,1389,43.27%,452,130,582
County Clerk,0981,0,0,0,0,0.00%,0,0,0
County Clerk,0982,312,312,624,1567,39.82%,511,89,600
County Clerk,0983,11,21,32,161,19.88%,20,11,31
County Clerk,0984,18,9,27,192,14.06%,4,22,26
County Clerk,0985,117,63,180,351,51.28%,97,74,171
County Clerk,0986,43,30,73,463,15.77%,12,60,72
County Clerk,0987,231,90,321,1155,27.79%,27,288,315
County Clerk,0988,24,12,36,123,29.27%,34,2,36
County Clerk,0989,e,6,12,43,27.91%,8,4,12
County Clerk,0990,16,1,17,140,12.14%,7,9,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0991,0,0,0,1,0.00%,0,0,0
County Clerk,0992,157,107,264,1048,25.19%,149,105,254
County Clerk,0993,169,101,270,568,47.54%,222,41,263
County Clerk,0994,e,5,11,25,44.00%,2,9,11
County Clerk,0995,295,156,451,1393,32.38%,31,412,443
County Clerk,0996,135,140,275,694,39.63%,157,99,256
County Clerk,0997,101,163,264,1656,15.94%,59,201,260
County Clerk,0998,5,1,6,57,10.53%,3,3,6
County Clerk,0999,17,10,27,68,39.71%,23,3,26
County Clerk,1000,42,6,48,405,11.85%,12,35,47
County Clerk,1001,228,136,364,1565,23.26%,92,256,348
County Clerk,1002,170,139,309,1744,17.72%,56,239,295
County Clerk,1003,1,0,1,0,0.00%,1,0,1
County Clerk,1004,111,139,250,654,38.23%,121,109,230
County Clerk,1005,0,8,8,0,0.00%,3,4,7
County Clerk,1006,1,0,1,5,20.00%,1,0,1
County Clerk,1007,208,188,396,1547,25.60%,89,295,384
County Clerk,1008,32,12,44,151,29.14%,33,9,42
County Clerk,1009,0,0,0,9,0.00%,0,0,0
County Clerk,1010,59,35,94,459,20.48%,16,76,92
County Clerk,1011,8,1,9,26,34.62%,6,2,8
County Clerk,1012,134,201,335,1365,24.54%,101,227,328
County Clerk,1013,0,6,6,58,10.34%,2,4,6
County Clerk,1014,4,6,10,31,32.26%,1,9,10
County Clerk,1015,5,4,9,25,36.00%,2,6,8
County Clerk,1016,252,212,464,1691,27.44%,225,224,449
County Clerk,1017,61,44,105,330,31.82%,32,71,103
County Clerk,1018,93,64,157,494,31.78%,69,85,154
County Clerk,1019,130,107,237,1456,16.28%,12,222,234
County Clerk,1020,0,0,0,1,0.00%,0,0,0
County Clerk,1021,0,0,0,2,0.00%,0,0,0
County Clerk,1022,97,79,176,441,39.91%,135,31,166
County Clerk,1023,430,315,745,2026,36.77%,538,186,724
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,1024,55,61,116,249,46.59%,62,47,109
County Clerk,1025,0,1,1,14,7.14%,1,0,1
County Clerk,1026,0,0,0,0,0.00%,0,0,0
County Clerk,1027,1,0,1,8,12.50%,1,0,1
County Clerk,1028,0,0,0,0,0.00%,0,0,0
County Clerk,1029,537,719,1256,2927,42.91%,995,218,1213
County Clerk,1030,231,151,382,785,48.66%,335,41,376
County Clerk,1031,59,71,130,792,16.41%,34,89,123
County Clerk,1032,31,25,56,244,22.95%,34,18,52
County Clerk,1033,0,0,0,0,0.00%,0,0,0
County Clerk,1034,0,0,0,0,0.00%,0,0,0
County Clerk,1035,2,4,6,138,4.35%,1,4,5
County Clerk,1036,65,24,89,449,19.82%,75,13,88
County Clerk,1037,19,11,30,76,39.47%,18,11,29
County Clerk,1038,62,6,68,327,20.80%,9,56,65
County Clerk,1039,2,0,2,25,8.00%,0,2,2
County Clerk,1040,91,66,157,771,20.36%,73,78,151
County Clerk,1041,0,2,2,0,0.00%,1,1,2
County Clerk,1042,105,67,172,521,33.01%,53,111,164
County Clerk,1043,5,6,12,33,36.36%,4,8,12
County Clerk,1044,16,6,22,55,40.00%,7,14,21
County Clerk,1045,197,173,370,1788,20.69%,52,305,357
County Clerk,1046,11,5,16,62,25.81%,1,15,16
County Clerk,1047,255,186,441,1568,28.13%,157,271,428
County Clerk,1048,1,0,1,17,5.88%,1,0,1
County Clerk,1049,14,45,59,290,20.34%,21,36,57
County Clerk,1050,60,63,123,537,22.91%,32,86,118
County Clerk,1051,0,31,31,0,0.00%,16,13,29
County Clerk,1052,0,0,0,0,0.00%,0,0,0
County Clerk,1053,0,0,0,0,0.00%,0,0,0
County Clerk,1054,0,0,0,1,0.00%,0,0,0
County Clerk,1055,0,0,0,0,0.00%,0,0,0
County Clerk,1056,4,2,6,8,75.00%,0,6,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,1057,7,9,16,118,13.56%,3,12,15
County Clerk,1058,241,285,526,1243,42.32%,103,412,515
County Clerk,1059,3,3,6,28,21.43%,1,5,6
County Clerk,1060,5,2,7,42,16.67%,5,2,7
County Clerk,1061,332,184,516,1716,30.07%,273,225,498
County Clerk,1062,17,6,23,201,11.44%,3,17,20
County Clerk,1063,66,59,125,857,14.59%,21,100,121
County Clerk,1064,25,11,36,119,30.25%,29,7,36
County Clerk,1065,1,0,1,28,3.57%,0,1,1
County Clerk,1066,72,0,72,229,31.44%,4,65,69
County Clerk,1067,0,0,0,0,0.00%,0,0,0
County Clerk,1068,22,8,30,121,24.79%,12,17,29
County Clerk,1069,434,256,690,2580,26.74%,313,340,653
County Clerk,Totals:,378846,308736,687582,2044361,358709,302025,660734
