Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0165,535,483,1018,2334,43.62%,671,305,976
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0166,158,233,391,1028,38.04%,114,253,367
County Clerk,0167,3,0,3,24,12.50%,1,2,3
County Clerk,0168,92,58,150,503,29.82%,3,143,146
County Clerk,0169,518,251,767,2513,30.52%,16,735,751
County Clerk,0170,271,141,412,1869,22.04%,212,180,392
County Clerk,0171,202,198,400,1604,24.94%,9,381,390
County Clerk,0172,88,80,166,621,26.73%,65,91,156
County Clerk,0173,817,739,1556,3599,43.23%,1262,255,1517
County Clerk,0174,829,733,1562,3296,47.39%,1080,413,1493
County Clerk,0175,557,749,1306,2618,49.89%,663,551,1214
County Clerk,0176,344,451,795,1602,49.63%,409,317,726
County Clerk,0177,278,326,604,1496,40.37%,349,231,580
County Clerk,0178,504,365,869,1765,49.24%,600,209,809
County Clerk,0179,256,188,444,1575,28.19%,238,184,422
County Clerk,0180,470,343,813,2834,28.69%,19,758,777
County Clerk,0181,175,262,437,2061,21.20%,141,275,416
County Clerk,0182,590,974,1564,3405,45.93%,954,494,1448
County Clerk,0183,519,794,1313,2491,52.71%,858,367,1225
County Clerk,0184,106,135,241,994,24.25%,78,139,217
County Clerk,0185,283,292,575,1933,29.75%,210,345,555
County Clerk,0186,97,106,203,798,25.44%,36,161,197
County Clerk,0187,21,25,46,311,14.79%,15,29,44
County Clerk,0188,153,146,299,1637,18.27%,141,150,291
County Clerk,0189,239,360,599,1465,40.89%,320,244,564
County Clerk,0190,120,177,297,1723,17.24%,123,163,286
County Clerk,0191,79,126,205,1366,15.01%,84,114,198
County Clerk,0192,380,225,605,1959,30.88%,29,557,586
County Clerk,0193,173,187,360,1074,33.52%,8,341,349
County Clerk,0194,350,431,781,1912,40.85%,243,505,748
County Clerk,0195,269,278,547,1694,32.29%,24,510,534
County Clerk,0196,52,32,84,316,26.58%,6,76,82
County Clerk,0197,543,309,852,2914,29.24%,12,825,837
County Clerk,0198,53,74,127,642,19.78%,2,123,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0199,812,661,1473,3216,45.80%,1146,267,1413
County Clerk,0200,962,536,1498,3382,44.29%,698,713,1411
County Clerk,0201,98,87,185,724,25.55%,3,176,179
County Clerk,0202,217,189,406,1464,27.73%,14,383,397
County Clerk,0203,107,68,175,960,18.23%,42,124,166
County Clerk,0204,816,784,1600,3487,45.88%,893,614,1507
County Clerk,0205,464,171,635,1664,38.16%,14,612,626
County Clerk,0206,362,462,824,2779,29.65%,238,548,786
County Clerk,0207,265,261,526,1188,44.28%,171,324,495
County Clerk,0208,322,262,584,2195,26.61%,179,387,566
County Clerk,0209,0,2,2,0,0.00%,2,0,2
County Clerk,0210,502,467,969,2533,38.26%,106,839,945
County Clerk,0211,307,386,693,2914,23.78%,261,390,651
County Clerk,0212,96,155,251,1300,19.31%,54,190,244
County Clerk,0213,826,913,1739,3350,51.91%,1368,261,1629
County Clerk,0214,404,491,895,1854,48.27%,579,270,849
County Clerk,0215,421,711,1132,2258,50.13%,687,370,1057
County Clerk,0216,362,223,585,1945,30.08%,36,537,573
County Clerk,0217,844,631,1475,2678,55.08%,954,416,1370
County Clerk,0218,391,402,793,2292,34.60%,247,499,746
County Clerk,0219,496,436,932,2767,33.68%,51,850,901
County Clerk,0220,325,187,512,2310,22.16%,365,133,498
County Clerk,0221,332,369,701,2529,27.72%,296,376,672
County Clerk,0222,623,674,1297,2501,51.86%,609,595,1204
County Clerk,0223,563,377,940,3582,26.24%,252,633,885
County Clerk,0224,530,456,986,2238,44.06%,467,451,918
County Clerk,0225,376,405,781,3305,23.63%,396,362,758
County Clerk,0226,227,307,534,2436,21.92%,132,376,508
County Clerk,0227,558,423,981,1785,54.96%,732,170,902
County Clerk,0228,362,195,557,1050,53.05%,26,515,541
County Clerk,0229,31,96,127,815,15.58%,57,66,123
County Clerk,0230,185,116,301,1089,27.64%,7,285,292
County Clerk,0231,233,264,497,2232,22.27%,121,346,467
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0232,351,474,835,1760,47.44%,469,319,788
County Clerk,0233,890,801,1691,4445,38.04%,812,764,1576
County Clerk,0234,1192,913,2105,3993,52.72%,1622,354,1976
County Clerk,0235,240,158,398,1356,29.35%,11,374,385
County Clerk,0236,354,235,589,2079,28.33%,10,564,574
County Clerk,0237,415,253,669,2161,30.96%,13,640,653
County Clerk,0238,339,245,584,1925,30.34%,13,558,571
County Clerk,0239,383,236,619,1964,31.52%,20,589,609
County Clerk,0240,585,243,828,2649,31.26%,22,792,814
County Clerk,0241,222,229,451,2372,19.01%,186,243,429
County Clerk,0242,173,162,335,1596,20.99%,193,125,318
County Clerk,0243,138,43,181,457,39.61%,2,178,180
County Clerk,0244,480,425,905,3117,29.03%,499,368,867
County Clerk,0245,945,799,1745,5828,29.94%,1223,482,1705
County Clerk,0246,584,513,1197,3315,36.11%,863,304,1167
County Clerk,0247,173,254,427,1582,26.99%,17,404,421
County Clerk,0248,161,167,328,2100,15.62%,85,227,312
County Clerk,0249,461,348,809,2719,29.75%,564,220,784
County Clerk,0250,109,164,273,964,28.32%,8,259,267
County Clerk,0251,278,436,714,2089,34.18%,27,674,701
County Clerk,0252,504,312,816,2377,34.33%,15,787,802
County Clerk,0253,379,222,601,2177,27.61%,9,577,586
County Clerk,0254,93,112,205,1550,13.23%,64,130,194
County Clerk,0255,525,648,1173,2482,47.26%,553,553,1106
County Clerk,0256,575,449,1024,3254,31.47%,484,488,972
County Clerk,0257,204,245,449,2523,17.80%,132,298,430
County Clerk,0258,839,800,1539,3322,49.34%,1213,334,1547
County Clerk,0259,555,382,1038,2361,43.96%,23,986,1009
County Clerk,0260,152,145,307,1260,24.37%,177,117,294
County Clerk,0261,124,120,244,1417,17.22%,102,133,235
County Clerk,0262,758,600,1358,4397,30.88%,848,441,1289
County Clerk,0263,858,712,1570,3693,42.51%,1199,317,1516
County Clerk,0264,480,457,937,2963,31.62%,592,301,893
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0265,988,759,1747,3584,48.74%,1328,316,1644
County Clerk,0266,259,257,516,2104,24.52%,256,233,489
County Clerk,0267,146,166,312,1327,23.51%,160,131,291
County Clerk,0268,435,717,1152,2493,46.21%,663,383,1046
County Clerk,0269,702,453,1155,2030,56.90%,922,174,1096
County Clerk,0270,817,672,1489,3605,41.30%,831,585,1416
County Clerk,0271,656,382,1038,2518,41.22%,28,998,1026
County Clerk,0272,264,292,555,2162,25.72%,216,318,534
County Clerk,0273,548,689,1237,2470,50.08%,1008,171,1179
County Clerk,0274,588,346,934,2153,43.38%,633,244,877
County Clerk,0275,207,236,443,1850,23.95%,111,319,430
County Clerk,0276,572,231,803,2536,31.66%,9,780,789
County Clerk,0277,170,186,356,1492,23.86%,165,174,339
County Clerk,0278,421,320,741,2454,30.20%,425,289,714
County Clerk,0279,250,223,473,1941,24.37%,277,177,454
County Clerk,0280,130,188,318,1524,20.87%,135,169,304
County Clerk,0281,655,742,1397,2633,53.06%,674,603,1277
County Clerk,0282,314,455,769,2042,37.66%,499,236,735
County Clerk,0283,0,0,0,0,0.00%,0,0,0
County Clerk,0284,574,336,910,3172,28.69%,427,445,872
County Clerk,0285,448,378,826,2540,32.52%,76,723,799
County Clerk,0286,1255,821,2076,6170,33.65%,189,1823,2012
County Clerk,0287,370,477,847,1621,52.25%,414,387,801
County Clerk,0288,532,313,845,2210,38.24%,16,814,830
County Clerk,0289,186,212,398,1564,25.45%,203,181,384
County Clerk,0290,245,298,543,1642,33.07%,410,118,528
County Clerk,0291,325,235,560,1225,45.71%,285,247,532
County Clerk,0292,207,147,354,1356,26.11%,41,302,343
County Clerk,0293,356,447,803,1759,45.65%,373,384,757
County Clerk,0294,488,221,709,2097,33.81%,11,687,698
County Clerk,0295,148,103,251,885,28.36%,6,239,245
County Clerk,0296,327,340,667,1713,38.94%,384,235,619
County Clerk,0297,280,249,529,2012,26.29%,229,263,492
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0298,415,358,773,2121,36.45%,456,276,732
County Clerk,0299,178,117,295,1353,21.80%,118,155,273
County Clerk,0300,1389,1016,2405,5406,44.49%,1912,401,2313
County Clerk,0301,210,255,465,2352,19.77%,179,261,440
County Clerk,0302,353,343,696,2720,25.59%,396,277,673
County Clerk,0303,922,784,1706,3245,52.57%,1374,261,1635
County Clerk,0304,606,505,1111,2298,48.35%,624,411,1035
County Clerk,0305,524,432,956,4191,22.81%,405,527,932
County Clerk,0306,649,342,991,1879,52.74%,723,224,947
County Clerk,0307,733,670,1403,3099,45.27%,963,366,1329
County Clerk,0308,199,130,329,1296,25.39%,115,202,317
County Clerk,0309,708,593,1301,2524,51.55%,1046,191,1237
County Clerk,0310,386,279,665,1435,46.34%,451,178,629
County Clerk,0311,486,421,907,2986,30.38%,498,356,854
County Clerk,0312,742,457,1199,3636,32.98%,791,361,1152
County Clerk,0313,9,0,9,62,14.52%,7,1,8
County Clerk,0314,1121,913,2034,5647,36.02%,1284,692,1976
County Clerk,0315,478,388,866,1608,53.86%,495,322,817
County Clerk,0316,412,341,753,1537,48.99%,417,289,706
County Clerk,0317,248,209,457,1588,28.78%,149,286,435
County Clerk,0318,834,568,1402,3660,38.31%,64,1305,1369
County Clerk,0319,512,230,742,2158,34.38%,45,671,716
County Clerk,0320,234,168,402,1537,26.15%,207,177,384
County Clerk,0321,262,191,453,2346,19.31%,172,260,432
County Clerk,0322,181,129,310,1226,25.29%,100,199,299
County Clerk,0323,278,211,489,1722,28.40%,238,228,466
County Clerk,0324,532,646,1178,2336,50.43%,724,375,1099
County Clerk,0325,289,193,482,2112,22.82%,109,354,463
County Clerk,0326,87,74,161,698,23.07%,78,76,154
County Clerk,0327,380,129,509,1729,29.44%,8,486,494
County Clerk,0328,151,140,291,1434,20.29%,126,153,279
County Clerk,0329,189,184,373,1397,26.70%,146,213,359
County Clerk,0330,334,253,587,1936,30.32%,324,235,559
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0331,0,0,0,0,0.00%,0,0,0
County Clerk,0332,18,7,25,138,18.12%,11,13,24
County Clerk,0333,524,714,1238,3021,40.98%,852,320,1172
County Clerk,0334,83,42,125,742,16.85%,22,98,120
County Clerk,0335,121,98,219,1300,16.85%,85,121,206
County Clerk,0336,866,624,1490,4051,36.78%,134,1324,1458
County Clerk,0337,124,103,227,1029,22.06%,40,176,216
County Clerk,0338,730,391,1121,4934,22.72%,387,665,1052
County Clerk,0339,202,222,424,1757,24.13%,87,307,394
County Clerk,0340,1038,594,1632,3765,43.35%,1230,335,1565
County Clerk,0341,91,167,258,1290,20.00%,82,167,249
County Clerk,0342,675,605,1280,6526,19.61%,212,1039,1251
County Clerk,0343,189,271,460,1964,23.42%,136,297,433
County Clerk,0344,154,172,326,1160,28.10%,15,298,313
County Clerk,0345,156,165,321,1804,17.79%,98,206,304
County Clerk,0346,0,1,1,3,33.33%,1,0,1
County Clerk,0347,592,436,1028,3387,30.35%,690,304,994
County Clerk,0348,438,208,646,1708,37.82%,498,121,619
County Clerk,0349,188,267,455,1349,33.73%,280,154,434
County Clerk,0350,524,526,1050,2909,36.09%,423,551,974
County Clerk,0351,1491,710,2201,4712,46.71%,1749,393,2142
County Clerk,0352,520,339,859,3205,26.80%,631,202,833
County Clerk,0353,665,451,1116,3862,28.90%,200,885,1085
County Clerk,0354,715,338,1053,3388,31.08%,258,765,1023
County Clerk,0355,301,264,565,1560,36.22%,48,503,551
County Clerk,0356,594,538,1132,2972,38.09%,752,340,1092
County Clerk,0357,837,575,1412,3517,40.15%,1037,338,1375
County Clerk,0358,212,254,466,2492,18.70%,54,400,454
County Clerk,0359,234,224,458,3061,14.96%,60,392,452
County Clerk,0360,522,380,902,2146,42.03%,482,354,836
County Clerk,0361,41,295,336,1673,20.08%,53,241,294
County Clerk,0362,1138,887,2025,5086,39.82%,1486,449,1935
County Clerk,0363,620,412,1032,3677,28.07%,461,546,1007
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0364,488,405,893,2658,33.60%,516,342,858
County Clerk,0365,478,231,709,1305,54.33%,54,640,694
County Clerk,0366,252,270,522,2454,21.27%,130,379,509
County Clerk,0367,170,138,308,1130,27.26%,65,235,300
County Clerk,0368,178,88,266,958,27.77%,73,184,257
County Clerk,0369,32,29,61,559,10.91%,17,42,59
County Clerk,0370,1532,1105,2637,6593,40.00%,1991,566,2557
County Clerk,0371,122,52,174,502,34.66%,8,162,170
County Clerk,0372,221,170,391,1224,31.94%,49,329,378
County Clerk,0373,21,12,33,157,21.02%,2,29,31
County Clerk,0374,85,93,158,738,21.41%,52,101,153
County Clerk,0375,254,220,474,2645,17.92%,237,208,445
County Clerk,0376,278,205,483,1910,25.29%,216,250,466
County Clerk,0377,525,583,1109,2920,37.98%,806,250,1056
County Clerk,0378,232,354,586,1829,32.04%,361,198,559
County Clerk,0379,431,289,720,2027,35.52%,71,630,701
