Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0142,87,103,190,902,21.06%,46,90,1,1,138
Straight Party,0143,1962,580,2542,6386,39.81%,1414,440,9,0,1863
Straight Party,0144,216,158,374,1093,34.22%,6,305,1,1,313
Straight Party,0145,264,213,477,1538,31.01%,9,394,0,1,404
Straight Party,0146,426,519,945,2008,47.06%,264,261,2,4,531
Straight Party,0147,690,329,1019,3008,33.88%,81,683,2,0,766
Straight Party,0148,501,780,1281,2540,50.43%,276,381,7,1,665
Straight Party,0149,1622,737,2359,7993,29.51%,887,784,12,3,1686
Straight Party,0150,236,169,405,1256,32.25%,10,326,0,0,336
Straight Party,0151,137,79,216,826,26.15%,7,170,0,0,177
Straight Party,0152,214,299,513,2788,18.40%,99,272,2,3,376
Straight Party,0153,125,206,331,1808,18.31%,67,156,2,0,225
Straight Party,0154,249,183,432,2190,19.73%,64,219,3,3,289
Straight Party,0155,1023,619,1642,4109,39.96%,870,298,1,1,1170
Straight Party,0156,802,326,1128,3071,36.73%,20,828,1,2,851
Straight Party,0157,448,214,662,2236,29.61%,17,526,1,2,546
Straight Party,0158,600,315,915,3035,30.15%,13,758,1,2,774
Straight Party,0159,116,127,243,998,24.35%,20,139,1,0,160
Straight Party,0160,122,73,195,696,28.02%,2,163,0,0,165
Straight Party,0161,163,141,304,991,30.68%,1,238,0,0,239
Straight Party,0162,101,83,184,1265,14.55%,41,73,0,1,115
Straight Party,0163,230,320,550,3037,18.11%,147,216,0,0,363
Straight Party,0164,182,205,387,1420,27.25%,6,329,0,0,335
Straight Party,0165,535,483,1018,2334,43.62%,471,172,7,0,650
Straight Party,0166,158,233,391,1028,38.04%,57,139,3,1,200
Straight Party,0167,3,0,3,24,12.50%,0,1,0,0,1
Straight Party,0168,92,58,150,503,29.82%,0,129,1,0,130
Straight Party,0169,518,251,767,2513,30.52%,6,634,0,2,642
Straight Party,0170,271,141,412,1869,22.04%,155,125,4,1,285
Straight Party,0171,202,198,400,1604,24.94%,7,328,0,0,335
Straight Party,0172,86,80,166,621,26.73%,41,62,0,1,104
Straight Party,0173,819,739,1558,3599,43.29%,944,164,10,0,1118
Straight Party,0174,830,733,1583,3296,47.42%,742,232,7,2,983
Straight Party,0175,582,749,1311,2618,50.08%,371,291,3,6,671
Straight Party,0176,346,451,797,1602,49.75%,225,153,0,0,378
Straight Party,0177,278,326,604,1496,40.37%,224,131,0,1,356
