Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0138,296,199,495,1699,29.13%,19,464,483
"District Judge, 208th Judicial District",0139,699,551,1250,3037,41.16%,564,604,1168
"District Judge, 208th Judicial District",0140,699,480,1179,3214,36.68%,150,982,1132
"District Judge, 208th Judicial District",0141,80,80,160,855,18.71%,100,51,151
"District Judge, 208th Judicial District",0142,87,103,190,902,21.06%,68,111,179
"District Judge, 208th Judicial District",0143,1962,580,2542,6386,39.81%,1853,627,2480
"District Judge, 208th Judicial District",0144,216,158,374,1093,34.22%,13,351,364
"District Judge, 208th Judicial District",0145,264,213,477,1538,31.01%,9,456,465
"District Judge, 208th Judicial District",0146,426,519,945,2008,47.06%,432,461,893
"District Judge, 208th Judicial District",0147,589,329,1018,3008,33.84%,131,860,991
"District Judge, 208th Judicial District",0148,500,780,1280,2540,50.39%,533,636,1169
"District Judge, 208th Judicial District",0149,1621,737,2358,7993,29.50%,1251,1045,2296
"District Judge, 208th Judicial District",0150,236,169,405,1256,32.25%,12,388,400
"District Judge, 208th Judicial District",0151,137,79,216,826,26.15%,11,196,207
"District Judge, 208th Judicial District",0152,213,299,512,2788,18.36%,142,353,495
"District Judge, 208th Judicial District",0153,125,206,331,1808,18.31%,114,200,314
"District Judge, 208th Judicial District",0154,249,183,432,2190,19.73%,122,285,407
"District Judge, 208th Judicial District",0155,1022,619,1641,4109,39.94%,1168,420,1588
"District Judge, 208th Judicial District",0156,799,326,1125,3071,36.63%,52,1044,1096
"District Judge, 208th Judicial District",0157,448,214,662,2236,29.61%,25,618,643
"District Judge, 208th Judicial District",0158,600,315,915,3035,30.15%,30,867,897
"District Judge, 208th Judicial District",0159,116,127,243,998,24.35%,41,195,236
"District Judge, 208th Judicial District",0160,122,73,195,696,28.02%,5,188,193
"District Judge, 208th Judicial District",0161,163,141,304,991,30.68%,5,292,297
"District Judge, 208th Judicial District",0162,101,83,184,1265,14.55%,69,104,173
"District Judge, 208th Judicial District",0163,230,320,550,3037,18.11%,236,286,522
"District Judge, 208th Judicial District",0164,182,205,387,1420,27.25%,13,363,376
"District Judge, 208th Judicial District",0165,535,483,1018,2334,43.62%,698,274,972
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0166,158,233,391,1028,38.04%,118,250,368
"District Judge, 208th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 208th Judicial District",0168,92,58,150,503,29.82%,5,141,146
"District Judge, 208th Judicial District",0169,518,251,767,2513,30.52%,14,734,748
"District Judge, 208th Judicial District",0170,271,141,412,1869,22.04%,226,165,391
"District Judge, 208th Judicial District",0171,202,198,400,1604,24.94%,13,377,390
"District Judge, 208th Judicial District",0172,88,80,166,621,26.73%,68,86,154
"District Judge, 208th Judicial District",0173,817,739,1556,3599,43.23%,1265,244,1509
"District Judge, 208th Judicial District",0174,829,733,1562,3296,47.39%,1105,372,1477
"District Judge, 208th Judicial District",0175,557,749,1306,2618,49.89%,700,512,1212
"District Judge, 208th Judicial District",0176,344,451,795,1602,49.63%,418,303,721
"District Judge, 208th Judicial District",0177,278,326,604,1496,40.37%,355,206,561
"District Judge, 208th Judicial District",0178,504,365,869,1765,49.24%,614,193,807
"District Judge, 208th Judicial District",0179,256,188,444,1575,28.19%,244,179,423
"District Judge, 208th Judicial District",0180,470,343,813,2834,28.69%,26,749,775
"District Judge, 208th Judicial District",0181,175,262,437,2061,21.20%,142,272,414
"District Judge, 208th Judicial District",0182,590,974,1564,3405,45.93%,977,472,1449
"District Judge, 208th Judicial District",0183,519,794,1313,2491,52.71%,883,336,1219
"District Judge, 208th Judicial District",0184,106,135,241,994,24.25%,86,137,223
"District Judge, 208th Judicial District",0185,283,292,575,1933,29.75%,212,338,550
"District Judge, 208th Judicial District",0186,97,106,203,798,25.44%,34,162,196
