Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,"DEM Scot ""Dolli"" Dollinger",Totals
"Judge, County Court at Law No. 2",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Court at Law No. 2",0692,444,548,992,2847,34.84%,757,195,952
"Judge, County Court at Law No. 2",0693,167,91,258,666,38.74%,74,171,245
"Judge, County Court at Law No. 2",0694,260,120,380,845,44.97%,263,94,357
"Judge, County Court at Law No. 2",0695,232,193,425,1724,24.65%,269,142,411
"Judge, County Court at Law No. 2",0696,261,207,468,1982,23.61%,292,152,444
"Judge, County Court at Law No. 2",0697,605,613,1218,4413,27.60%,331,841,1172
"Judge, County Court at Law No. 2",0698,448,489,937,3189,29.38%,113,798,911
"Judge, County Court at Law No. 2",0699,568,414,982,2343,41.91%,685,239,924
"Judge, County Court at Law No. 2",0700,255,251,506,1371,36.91%,424,58,482
"Judge, County Court at Law No. 2",0701,56,43,99,588,16.84%,61,32,93
"Judge, County Court at Law No. 2",0702,54,70,134,539,24.86%,18,114,132
"Judge, County Court at Law No. 2",0703,372,490,862,1882,45.80%,643,180,823
"Judge, County Court at Law No. 2",0704,569,599,1168,3064,38.12%,943,171,1114
"Judge, County Court at Law No. 2",0705,114,113,227,1523,14.90%,31,186,217
"Judge, County Court at Law No. 2",0706,115,71,186,610,30.49%,96,80,176
"Judge, County Court at Law No. 2",0707,153,86,239,707,33.80%,157,70,227
"Judge, County Court at Law No. 2",0708,54,52,106,563,18.83%,52,47,99
"Judge, County Court at Law No. 2",0709,1375,947,2322,6848,33.91%,1433,825,2258
"Judge, County Court at Law No. 2",0710,371,462,833,2082,40.01%,473,294,767
"Judge, County Court at Law No. 2",0711,702,506,1208,3484,34.67%,766,376,1142
"Judge, County Court at Law No. 2",0712,491,463,954,3670,25.99%,423,511,934
"Judge, County Court at Law No. 2",0713,228,262,490,1907,25.69%,246,221,467
"Judge, County Court at Law No. 2",0714,35,19,55,296,18.58%,34,18,52
"Judge, County Court at Law No. 2",0715,176,187,363,1408,25.78%,209,134,343
"Judge, County Court at Law No. 2",0716,449,407,856,2680,31.94%,613,222,835
"Judge, County Court at Law No. 2",0717,373,250,623,2002,31.12%,84,525,609
"Judge, County Court at Law No. 2",0718,1017,806,1823,4229,43.11%,1305,413,1718
"Judge, County Court at Law No. 2",0719,247,137,384,1589,24.17%,234,132,366
"Judge, County Court at Law No. 2",0720,994,780,1774,4282,41.43%,1357,358,1715
"Judge, County Court at Law No. 2",0721,754,532,1286,2870,44.81%,875,346,1221
"Judge, County Court at Law No. 2",0722,871,494,1365,4479,30.48%,115,1209,1324
"Judge, County Court at Law No. 2",0723,401,202,603,1858,32.45%,135,444,579
"Judge, County Court at Law No. 2",0724,151,128,279,766,36.42%,223,45,268
"Judge, County Court at Law No. 2",0725,423,237,660,2237,29.50%,322,317,639
"Judge, County Court at Law No. 2",0726,592,402,994,2087,47.63%,874,95,969
"Judge, County Court at Law No. 2",0727,338,290,628,2488,25.24%,220,376,596
"Judge, County Court at Law No. 2",0728,209,151,360,880,40.91%,233,106,339
"Judge, County Court at Law No. 2",0729,136,59,195,464,42.03%,122,68,190
"Judge, County Court at Law No. 2",0730,428,359,787,1747,45.05%,525,214,739
"Judge, County Court at Law No. 2",0731,58,27,85,352,24.15%,26,57,83
"Judge, County Court at Law No. 2",0732,441,324,765,1924,39.76%,489,233,722
"Judge, County Court at Law No. 2",0733,13,7,20,215,9.30%,8,10,18
"Judge, County Court at Law No. 2",0734,1558,962,2520,7005,35.97%,1750,695,2445
"Judge, County Court at Law No. 2",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Court at Law No. 2",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Court at Law No. 2",0737,11,7,18,51,35.29%,13,5,18
"Judge, County Court at Law No. 2",0738,139,100,239,1361,17.56%,46,184,230
"Judge, County Court at Law No. 2",0739,353,301,654,2955,22.13%,350,276,626
"Judge, County Court at Law No. 2",0740,96,98,194,939,20.66%,127,59,186
"Judge, County Court at Law No. 2",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Court at Law No. 2",0743,15,18,33,210,15.71%,19,12,31
"Judge, County Court at Law No. 2",0744,456,392,848,2027,41.84%,569,228,797
"Judge, County Court at Law No. 2",0745,683,372,1055,2494,42.30%,658,342,1000
"Judge, County Court at Law No. 2",0746,114,77,191,691,27.64%,94,93,187
"Judge, County Court at Law No. 2",0747,550,467,1017,3743,27.17%,523,466,989
"Judge, County Court at Law No. 2",0748,170,140,310,1403,22.10%,166,134,300
"Judge, County Court at Law No. 2",0749,30,17,47,377,12.47%,9,37,46
"Judge, County Court at Law No. 2",0750,111,96,207,767,26.99%,129,75,204
"Judge, County Court at Law No. 2",0751,925,964,1889,5084,37.16%,1284,536,1820
"Judge, County Court at Law No. 2",0752,286,200,486,1483,32.77%,376,89,465
"Judge, County Court at Law No. 2",0753,55,73,128,259,49.42%,81,40,121
"Judge, County Court at Law No. 2",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0755,442,584,1026,4294,23.89%,480,506,986
"Judge, County Court at Law No. 2",0756,251,177,428,1600,26.75%,177,234,411
"Judge, County Court at Law No. 2",0757,520,508,1028,4035,25.48%,196,800,996
"Judge, County Court at Law No. 2",0758,1114,692,1806,4096,44.09%,1480,264,1744
"Judge, County Court at Law No. 2",0759,465,413,878,2730,32.16%,571,274,845
"Judge, County Court at Law No. 2",0760,1432,639,2071,4367,47.42%,1750,233,1983
"Judge, County Court at Law No. 2",0761,548,253,801,1550,51.68%,569,177,746
"Judge, County Court at Law No. 2",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0763,108,146,254,1212,20.96%,102,140,242
"Judge, County Court at Law No. 2",0764,1133,774,1907,5217,36.55%,1230,615,1845
"Judge, County Court at Law No. 2",0765,647,426,1073,4055,26.46%,473,545,1018
"Judge, County Court at Law No. 2",0766,40,25,65,392,16.58%,17,41,58
"Judge, County Court at Law No. 2",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Court at Law No. 2",0768,1359,1015,2374,5857,40.53%,1969,342,2311
"Judge, County Court at Law No. 2",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Court at Law No. 2",0770,31,25,56,323,17.34%,29,23,52
"Judge, County Court at Law No. 2",0771,324,254,578,2426,23.83%,349,214,563
"Judge, County Court at Law No. 2",0772,1792,851,2643,5709,46.30%,2056,477,2533
"Judge, County Court at Law No. 2",0773,473,312,785,2918,26.90%,234,490,724
"Judge, County Court at Law No. 2",0774,30,41,71,378,18.78%,16,53,69
"Judge, County Court at Law No. 2",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Court at Law No. 2",0776,551,496,1047,3053,34.29%,626,375,1001
"Judge, County Court at Law No. 2",0777,46,40,86,652,13.19%,33,51,84
"Judge, County Court at Law No. 2",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0779,64,51,115,940,12.23%,42,68,110
"Judge, County Court at Law No. 2",0780,63,59,122,595,20.50%,72,46,118
"Judge, County Court at Law No. 2",0781,666,273,939,3603,26.06%,453,391,844
"Judge, County Court at Law No. 2",0782,368,370,738,2236,33.01%,472,236,708
"Judge, County Court at Law No. 2",0783,49,13,62,294,21.09%,45,15,60
"Judge, County Court at Law No. 2",0784,208,128,336,1079,31.14%,7,313,320
"Judge, County Court at Law No. 2",0785,28,25,53,296,17.91%,29,24,53
"Judge, County Court at Law No. 2",0786,100,98,198,1251,15.83%,81,110,191
"Judge, County Court at Law No. 2",0787,46,52,98,488,20.08%,38,58,96
"Judge, County Court at Law No. 2",0788,74,32,106,454,23.35%,50,53,103
"Judge, County Court at Law No. 2",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Court at Law No. 2",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Court at Law No. 2",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0792,269,239,508,1865,27.24%,126,356,482
"Judge, County Court at Law No. 2",0793,448,247,695,2484,27.98%,418,250,668
"Judge, County Court at Law No. 2",0794,124,144,268,2710,9.89%,39,222,261
"Judge, County Court at Law No. 2",0795,90,125,215,1217,17.67%,86,118,204
"Judge, County Court at Law No. 2",0796,83,51,134,476,28.15%,78,51,129
"Judge, County Court at Law No. 2",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0798,99,111,210,500,42.00%,85,113,198
"Judge, County Court at Law No. 2",0799,28,15,43,161,26.71%,11,32,43
"Judge, County Court at Law No. 2",0800,588,642,1230,2932,41.95%,854,317,1171
"Judge, County Court at Law No. 2",0801,32,14,46,258,17.83%,19,25,44
"Judge, County Court at Law No. 2",0802,51,27,78,312,25.00%,16,60,76
"Judge, County Court at Law No. 2",0803,725,511,1236,2893,42.72%,920,274,1194
"Judge, County Court at Law No. 2",0804,932,591,1523,4768,31.94%,989,491,1480
"Judge, County Court at Law No. 2",0805,765,533,1298,2866,45.29%,1062,193,1255
"Judge, County Court at Law No. 2",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0807,211,204,415,2028,20.46%,100,295,395
"Judge, County Court at Law No. 2",0808,12,17,29,131,22.14%,9,19,28
"Judge, County Court at Law No. 2",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Court at Law No. 2",0810,9,16,25,211,11.85%,8,17,25
"Judge, County Court at Law No. 2",0811,29,50,79,270,29.26%,31,46,77
"Judge, County Court at Law No. 2",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0813,938,761,1699,5807,29.26%,864,786,1650
"Judge, County Court at Law No. 2",0814,673,533,1206,5102,23.64%,331,841,1172
"Judge, County Court at Law No. 2",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Court at Law No. 2",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0818,86,39,125,616,20.29%,31,90,121
"Judge, County Court at Law No. 2",0819,64,30,94,240,39.17%,53,31,84
"Judge, County Court at Law No. 2",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0821,124,120,244,1242,19.65%,36,202,238
"Judge, County Court at Law No. 2",0822,332,167,499,1535,32.51%,14,469,483
"Judge, County Court at Law No. 2",0823,821,564,1385,5087,27.23%,820,521,1341
"Judge, County Court at Law No. 2",0824,428,282,710,2700,26.30%,168,521,689
"Judge, County Court at Law No. 2",0825,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0826,73,50,123,358,34.36%,66,48,114
"Judge, County Court at Law No. 2",0827,60,98,158,979,16.14%,74,78,152
"Judge, County Court at Law No. 2",0828,541,388,929,1916,48.49%,753,130,883
"Judge, County Court at Law No. 2",0829,54,22,76,264,28.79%,20,54,74
"Judge, County Court at Law No. 2",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Court at Law No. 2",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0832,34,28,62,352,17.61%,18,41,59
"Judge, County Court at Law No. 2",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Court at Law No. 2",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0835,38,19,57,290,19.66%,14,37,51
"Judge, County Court at Law No. 2",0836,3,0,3,19,15.79%,1,2,3
"Judge, County Court at Law No. 2",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0839,136,118,254,1128,22.52%,62,183,245
"Judge, County Court at Law No. 2",0840,381,174,555,1705,32.55%,194,348,542
"Judge, County Court at Law No. 2",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0842,421,434,855,3259,26.24%,408,412,820
"Judge, County Court at Law No. 2",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Court at Law No. 2",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Court at Law No. 2",0845,54,9,63,134,47.01%,39,21,60
"Judge, County Court at Law No. 2",0846,23,24,47,229,20.52%,4,40,44
"Judge, County Court at Law No. 2",0847,305,211,516,2015,25.61%,149,350,499
"Judge, County Court at Law No. 2",0848,489,266,755,1856,40.68%,237,487,724
"Judge, County Court at Law No. 2",0849,201,291,492,2124,23.16%,197,276,473
"Judge, County Court at Law No. 2",0850,46,41,87,210,41.43%,34,51,85
"Judge, County Court at Law No. 2",0851,1029,657,1686,4709,35.80%,1145,473,1618
"Judge, County Court at Law No. 2",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2",0853,575,620,1296,2882,44.97%,1012,231,1243
"Judge, County Court at Law No. 2",0854,15,26,41,172,23.84%,8,31,39
"Judge, County Court at Law No. 2",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Court at Law No. 2",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Court at Law No. 2",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2",0858,63,34,97,343,28.28%,3,91,94
"Judge, County Court at Law No. 2",0859,157,106,263,890,29.55%,73,183,256
"Judge, County Court at Law No. 2",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0861,315,199,514,1842,27.90%,93,409,502
"Judge, County Court at Law No. 2",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0863,101,54,155,584,26.54%,8,146,154
"Judge, County Court at Law No. 2",0864,193,299,492,2569,19.15%,156,317,473
"Judge, County Court at Law No. 2",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Court at Law No. 2",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0868,236,271,507,2326,21.80%,166,322,488
"Judge, County Court at Law No. 2",0869,53,39,92,470,19.57%,24,65,89
"Judge, County Court at Law No. 2",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Court at Law No. 2",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Court at Law No. 2",0873,98,75,173,737,23.47%,47,122,169
"Judge, County Court at Law No. 2",0874,763,707,1470,3223,45.61%,1115,298,1413
"Judge, County Court at Law No. 2",0875,904,527,1431,5147,27.80%,718,669,1387
"Judge, County Court at Law No. 2",0876,698,641,1339,3265,41.01%,1051,246,1297
"Judge, County Court at Law No. 2",0877,476,382,858,3032,28.30%,352,484,836
"Judge, County Court at Law No. 2",0878,427,354,781,1666,46.88%,655,105,760
"Judge, County Court at Law No. 2",0879,407,294,701,2667,26.28%,364,303,667
"Judge, County Court at Law No. 2",0880,543,447,990,2352,42.09%,811,145,956
"Judge, County Court at Law No. 2",0881,593,540,1133,4479,25.30%,405,698,1103
"Judge, County Court at Law No. 2",0882,426,291,717,2422,29.60%,434,257,691
"Judge, County Court at Law No. 2",0883,643,702,1345,5408,24.87%,264,1046,1310
"Judge, County Court at Law No. 2",0884,57,25,82,377,21.75%,9,70,79
"Judge, County Court at Law No. 2",0885,562,368,930,2619,35.51%,559,347,906
"Judge, County Court at Law No. 2",0886,128,108,236,675,34.96%,140,82,222
"Judge, County Court at Law No. 2",0887,50,67,117,418,27.99%,62,49,111
"Judge, County Court at Law No. 2",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Court at Law No. 2",0889,14,0,14,57,24.56%,4,9,13
"Judge, County Court at Law No. 2",0890,164,103,267,1095,24.38%,96,152,248
"Judge, County Court at Law No. 2",0891,317,243,560,1331,42.07%,229,293,522
"Judge, County Court at Law No. 2",0892,115,86,201,808,24.88%,77,112,189
"Judge, County Court at Law No. 2",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Court at Law No. 2",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Court at Law No. 2",0895,156,286,442,793,55.74%,196,201,397
"Judge, County Court at Law No. 2",0896,370,297,667,1459,45.72%,272,343,615
"Judge, County Court at Law No. 2",0897,252,297,549,1701,32.28%,323,205,528
"Judge, County Court at Law No. 2",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Court at Law No. 2",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Court at Law No. 2",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Court at Law No. 2",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0902,394,486,880,2139,41.14%,497,326,823
"Judge, County Court at Law No. 2",0903,3,7,10,50,20.00%,2,6,8
"Judge, County Court at Law No. 2",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Court at Law No. 2",0905,123,100,223,904,24.67%,101,111,212
"Judge, County Court at Law No. 2",0906,8,6,14,25,56.00%,7,5,12
"Judge, County Court at Law No. 2",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Court at Law No. 2",0908,0,1,1,0,0.00%,1,0,1
"Judge, County Court at Law No. 2",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Court at Law No. 2",0910,25,24,49,217,22.58%,21,24,45
"Judge, County Court at Law No. 2",0911,118,60,178,551,32.30%,121,50,171
"Judge, County Court at Law No. 2",0912,316,201,517,1273,40.61%,341,149,490
"Judge, County Court at Law No. 2",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0914,169,179,348,701,49.64%,282,51,333
"Judge, County Court at Law No. 2",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0916,417,240,657,1491,44.06%,529,107,636
"Judge, County Court at Law No. 2",0917,177,62,239,483,49.48%,162,62,224
"Judge, County Court at Law No. 2",0918,304,168,472,883,53.45%,377,72,449
"Judge, County Court at Law No. 2",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Court at Law No. 2",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Court at Law No. 2",0921,32,15,47,119,39.50%,34,12,46
"Judge, County Court at Law No. 2",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0923,470,137,607,1511,40.17%,460,130,590
"Judge, County Court at Law No. 2",0924,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0926,171,128,299,796,37.56%,231,57,288
"Judge, County Court at Law No. 2",0927,44,30,74,270,27.41%,31,38,69
"Judge, County Court at Law No. 2",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Court at Law No. 2",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0930,109,54,163,584,27.91%,6,153,159
"Judge, County Court at Law No. 2",0931,30,40,70,130,53.85%,38,25,63
"Judge, County Court at Law No. 2",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0933,115,85,200,627,31.90%,61,133,194
"Judge, County Court at Law No. 2",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Court at Law No. 2",0935,3,2,5,54,9.26%,1,3,4
"Judge, County Court at Law No. 2",0936,s,2,10,81,12.35%,3,6,9
"Judge, County Court at Law No. 2",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0938,30,14,44,231,19.05%,16,27,43
"Judge, County Court at Law No. 2",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Court at Law No. 2",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Court at Law No. 2",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Court at Law No. 2",0942,53,27,80,156,51.28%,69,9,78
"Judge, County Court at Law No. 2",0943,164,80,244,547,44.61%,169,61,230
"Judge, County Court at Law No. 2",0944,20,4,24,45,53.33%,20,0,20
"Judge, County Court at Law No. 2",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Court at Law No. 2",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Court at Law No. 2",0947,177,246,423,799,52.94%,233,168,401
"Judge, County Court at Law No. 2",0948,0,14,14,1,1400.00%,8,3,11
"Judge, County Court at Law No. 2",0949,34,27,61,193,31.61%,34,27,61
"Judge, County Court at Law No. 2",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Court at Law No. 2",0952,16,15,31,71,43.66%,17,12,29
"Judge, County Court at Law No. 2",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Court at Law No. 2",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Court at Law No. 2",0956,2,4,6,11,54.55%,3,3,6
"Judge, County Court at Law No. 2",0957,97,95,192,562,34.16%,24,166,190
"Judge, County Court at Law No. 2",0958,81,129,210,1081,19.43%,55,149,204
"Judge, County Court at Law No. 2",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0960,196,157,353,976,36.17%,75,266,341
"Judge, County Court at Law No. 2",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Court at Law No. 2",0962,10,17,27,88,30.68%,4,23,27
"Judge, County Court at Law No. 2",0963,54,41,105,426,24.65%,57,43,100
"Judge, County Court at Law No. 2",0964,568,437,1005,2372,42.37%,632,339,971
"Judge, County Court at Law No. 2",0965,31,21,52,343,15.16%,27,24,51
"Judge, County Court at Law No. 2",0966,129,83,212,1148,18.47%,81,126,207
"Judge, County Court at Law No. 2",0967,15,48,63,165,38.18%,19,43,62
"Judge, County Court at Law No. 2",0968,119,30,149,692,21.53%,32,115,147
"Judge, County Court at Law No. 2",0969,156,73,229,604,37.91%,3,223,226
"Judge, County Court at Law No. 2",0970,83,36,119,731,16.28%,18,99,117
"Judge, County Court at Law No. 2",0971,11,8,19,147,12.93%,2,15,17
"Judge, County Court at Law No. 2",09726,8,14,31,45.16%,13,0,13
"Judge, County Court at Law No. 2",0973,24,19,43,111,38.74%,20,19,39
"Judge, County Court at Law No. 2",0974,57,36,93,299,31.10%,59,31,90
"Judge, County Court at Law No. 2",0975,55,30,85,193,44.04%,39,39,78
"Judge, County Court at Law No. 2",0976,58,62,130,683,19.03%,84,44,128
"Judge, County Court at Law No. 2",0977,50,43,93,572,16.26%,40,52,92
"Judge, County Court at Law No. 2",0978,77,79,156,546,28.57%,31,123,154
"Judge, County Court at Law No. 2",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Court at Law No. 2",0980,280,321,601,1389,43.27%,457,114,571
"Judge, County Court at Law No. 2",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0982,312,312,624,1567,39.82%,514,85,599
"Judge, County Court at Law No. 2",0983,11,21,32,161,19.88%,19,12,31
"Judge, County Court at Law No. 2",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Court at Law No. 2",0985,117,63,180,351,51.28%,97,73,170
"Judge, County Court at Law No. 2",0986,43,30,73,463,15.77%,11,61,72
"Judge, County Court at Law No. 2",0987,231,90,321,1155,27.79%,33,283,316
"Judge, County Court at Law No. 2",0988,24,12,36,123,29.27%,33,3,36
"Judge, County Court at Law No. 2",09896,6,12,43,27.91%,9,3,12
"Judge, County Court at Law No. 2",0990,16,1,17,140,12.14%,9,7,16
"Judge, County Court at Law No. 2",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2",0992,157,107,264,1048,25.19%,151,100,251
"Judge, County Court at Law No. 2",0993,169,101,270,568,47.54%,223,39,262
"Judge, County Court at Law No. 2",0994,5,5,11,25,44.00%,2,9,11
"Judge, County Court at Law No. 2",0995,295,156,451,1393,32.38%,31,410,441
"Judge, County Court at Law No. 2",0996,135,140,275,694,39.63%,156,96,252
"Judge, County Court at Law No. 2",0997,101,163,264,1656,15.94%,62,197,259
"Judge, County Court at Law No. 2",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Court at Law No. 2",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Court at Law No. 2",1000,42,6,48,405,11.85%,13,34,47
"Judge, County Court at Law No. 2",1001,228,136,364,1565,23.26%,100,248,348
"Judge, County Court at Law No. 2",1002,170,139,309,1744,17.72%,62,230,292
"Judge, County Court at Law No. 2",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Court at Law No. 2",1004,111,139,250,654,38.23%,125,101,226
"Judge, County Court at Law No. 2",1005,0,8,8,0,0.00%,3,3,6
"Judge, County Court at Law No. 2",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Court at Law No. 2",1007,208,188,396,1547,25.60%,103,277,380
"Judge, County Court at Law No. 2",1008,32,12,44,151,29.14%,33,8,41
"Judge, County Court at Law No. 2",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Court at Law No. 2",1010,59,35,94,459,20.48%,19,73,92
"Judge, County Court at Law No. 2",1011,8,1,9,26,34.62%,4,4,8
"Judge, County Court at Law No. 2",1012,134,201,335,1365,24.54%,105,221,326
"Judge, County Court at Law No. 2",1013,0,6,6,58,10.34%,3,3,6
"Judge, County Court at Law No. 2",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Court at Law No. 2",1015,5,4,9,25,36.00%,3,5,8
"Judge, County Court at Law No. 2",1016,252,212,464,1691,27.44%,239,211,450
"Judge, County Court at Law No. 2",1017,61,44,105,330,31.82%,32,71,103
"Judge, County Court at Law No. 2",1018,93,64,157,494,31.78%,74,79,153
"Judge, County Court at Law No. 2",1019,130,107,237,1456,16.28%,11,222,233
"Judge, County Court at Law No. 2",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 2",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Court at Law No. 2",1022,97,79,176,441,39.91%,133,32,165
"Judge, County Court at Law No. 2",1023,430,315,745,2026,36.77%,533,184,717
"Judge, County Court at Law No. 2",1024,55,61,116,249,46.59%,68,40,108
"Judge, County Court at Law No. 2",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Court at Law No. 2",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",1027,1,0,1,8,12.50%,1,0,1
"Judge, County Court at Law No. 2",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",1029,537,719,1256,2927,42.91%,1007,197,1204
"Judge, County Court at Law No. 2",1030,231,151,382,785,48.66%,337,39,376
"Judge, County Court at Law No. 2",1031,59,71,130,792,16.41%,36,87,123
"Judge, County Court at Law No. 2",1032,31,25,56,244,22.95%,35,17,52
"Judge, County Court at Law No. 2",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Court at Law No. 2",1036,65,24,89,449,19.82%,74,13,87
"Judge, County Court at Law No. 2",1037,19,11,30,76,39.47%,18,10,28
"Judge, County Court at Law No. 2",1038,62,6,68,327,20.80%,9,54,63
"Judge, County Court at Law No. 2",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Court at Law No. 2",1040,91,66,157,771,20.36%,76,76,152
"Judge, County Court at Law No. 2",1041,0,2,2,0,0.00%,1,1,2
"Judge, County Court at Law No. 2",1042,105,67,172,521,33.01%,52,111,163
"Judge, County Court at Law No. 2",1043,5,6,12,33,36.36%,4,8,12
"Judge, County Court at Law No. 2",1044,16,6,22,55,40.00%,7,14,21
"Judge, County Court at Law No. 2",1045,197,173,370,1788,20.69%,55,301,356
"Judge, County Court at Law No. 2",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Court at Law No. 2",1047,255,186,441,1568,28.13%,163,265,428
"Judge, County Court at Law No. 2",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Court at Law No. 2",1049,14,45,59,290,20.34%,22,35,57
"Judge, County Court at Law No. 2",1050,60,63,123,537,22.91%,36,83,119
