Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,"DEM Scot ""Dolli"" Dollinger",Totals
"Judge, County Court at Law No. 2",0110,554,494,1148,3042,37.74%,766,348,1114
"Judge, County Court at Law No. 2",0111,815,795,1611,4102,39.27%,1193,346,1539
"Judge, County Court at Law No. 2",0112,542,485,1027,2976,34.51%,766,218,984
"Judge, County Court at Law No. 2",0113,552,429,991,2647,37.44%,618,328,946
"Judge, County Court at Law No. 2",0114,707,547,1254,3311,37.87%,1016,207,1223
"Judge, County Court at Law No. 2",0115,238,150,388,1800,21.56%,54,321,375
"Judge, County Court at Law No. 2",0116,982,776,1758,3147,55.86%,1371,290,1661
"Judge, County Court at Law No. 2",0117,215,226,441,1880,23.46%,226,197,423
"Judge, County Court at Law No. 2",0118,304,123,427,759,56.26%,365,50,415
"Judge, County Court at Law No. 2",0119,1288,1024,2312,5500,42.04%,1872,336,2208
"Judge, County Court at Law No. 2",0120,712,422,1134,3191,35.54%,755,333,1088
"Judge, County Court at Law No. 2",0121,92,178,270,848,31.84%,187,70,257
"Judge, County Court at Law No. 2",0122,352,225,577,1890,30.53%,24,529,553
"Judge, County Court at Law No. 2",0123,284,288,572,1392,41.09%,157,379,536
"Judge, County Court at Law No. 2",0124,1734,1292,3026,7254,41.71%,2415,526,2941
"Judge, County Court at Law No. 2",0125,415,332,747,2405,31.06%,459,261,720
"Judge, County Court at Law No. 2",0126,893,467,1360,3100,43.87%,1195,127,1322
"Judge, County Court at Law No. 2",0127,435,154,589,1836,32.08%,421,133,554
"Judge, County Court at Law No. 2",0128,445,707,1152,2290,50.31%,750,306,1056
"Judge, County Court at Law No. 2",0129,1030,1200,2230,5746,38.81%,1420,688,2108
"Judge, County Court at Law No. 2",0130,727,523,1250,2333,53.58%,945,241,1186
"Judge, County Court at Law No. 2",0131,251,259,510,1935,26.36%,128,358,485
"Judge, County Court at Law No. 2",0132,593,323,916,2387,38.37%,24,870,894
"Judge, County Court at Law No. 2",0133,513,858,1371,2662,51.50%,806,453,1259
"Judge, County Court at Law No. 2",0134,192,265,457,1437,31.80%,210,222,432
"Judge, County Court at Law No. 2",0135,727,579,1306,2671,48.90%,931,292,1223
"Judge, County Court at Law No. 2",0136,503,371,874,2013,43.42%,46,800,846
"Judge, County Court at Law No. 2",0137,166,141,307,716,42.88%,160,121,281
"Judge, County Court at Law No. 2",0138,296,199,495,1699,29.13%,19,463,482
"Judge, County Court at Law No. 2",0139,699,551,1250,3037,41.16%,566,605,1171
"Judge, County Court at Law No. 2",0140,699,480,1179,3214,36.68%,151,979,1130
"Judge, County Court at Law No. 2",0141,80,80,160,855,18.71%,100,52,152
"Judge, County Court at Law No. 2",0142,87,103,190,902,21.06%,65,117,182
"Judge, County Court at Law No. 2",0143,1962,580,2542,6386,39.81%,1847,628,2475
"Judge, County Court at Law No. 2",0144,216,158,374,1093,34.22%,10,353,363
"Judge, County Court at Law No. 2",0145,264,213,477,1538,31.01%,10,452,462
"Judge, County Court at Law No. 2",0146,426,519,945,2008,47.06%,432,455,887
"Judge, County Court at Law No. 2",0147,689,329,1018,3008,33.84%,137,856,993
"Judge, County Court at Law No. 2",0148,500,780,1280,2540,50.39%,529,641,1170
"Judge, County Court at Law No. 2",0149,1621,737,2358,7993,29.50%,1267,1029,2296
"Judge, County Court at Law No. 2",0150,236,169,405,1256,32.25%,14,386,400
"Judge, County Court at Law No. 2",0151,137,79,216,826,26.15%,9,197,206
"Judge, County Court at Law No. 2",0152,213,299,512,2788,18.36%,147,342,489
"Judge, County Court at Law No. 2",0153,125,206,331,1808,18.31%,109,208,317
"Judge, County Court at Law No. 2",0154,249,183,432,2190,19.73%,127,284,411
"Judge, County Court at Law No. 2",0155,1022,619,1641,4109,39.94%,1171,413,1584
"Judge, County Court at Law No. 2",0156,799,326,1125,3071,36.63%,52,1042,1094
"Judge, County Court at Law No. 2",0157,448,214,662,2236,29.61%,26,618,644
"Judge, County Court at Law No. 2",0158,600,315,915,3035,30.15%,23,866,889
"Judge, County Court at Law No. 2",0159,116,127,243,998,24.35%,46,190,236
"Judge, County Court at Law No. 2",0160,122,73,195,696,28.02%,5,185,190
"Judge, County Court at Law No. 2",0161,163,141,304,991,30.68%,6,290,296
"Judge, County Court at Law No. 2",0162,101,83,184,1265,14.55%,73,98,171
"Judge, County Court at Law No. 2",0163,230,320,550,3037,18.11%,238,284,522
"Judge, County Court at Law No. 2",0164,182,205,387,1420,27.25%,12,368,380
"Judge, County Court at Law No. 2",0165,535,483,1018,2334,43.62%,690,283,973
"Judge, County Court at Law No. 2",0166,158,233,391,1028,38.04%,121,250,371
"Judge, County Court at Law No. 2",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Court at Law No. 2",0168,92,58,150,503,29.82%,3,143,146
"Judge, County Court at Law No. 2",0169,518,251,767,2513,30.52%,17,730,747
"Judge, County Court at Law No. 2",0170,271,141,412,1869,22.04%,220,170,390
"Judge, County Court at Law No. 2",0171,202,198,400,1604,24.94%,10,379,389
"Judge, County Court at Law No. 2",0172,88,80,166,621,26.73%,65,87,152
"Judge, County Court at Law No. 2",0173,817,739,1556,3599,43.23%,1254,253,1507
"Judge, County Court at Law No. 2",0174,829,733,1562,3296,47.39%,1110,367,1477
"Judge, County Court at Law No. 2",0175,557,749,1306,2618,49.89%,692,508,1200
"Judge, County Court at Law No. 2",0176,344,451,795,1602,49.63%,437,292,729
"Judge, County Court at Law No. 2",0177,278,326,604,1496,40.37%,356,212,568
"Judge, County Court at Law No. 2",0178,504,365,869,1765,49.24%,610,196,806
"Judge, County Court at Law No. 2",0179,256,188,444,1575,28.19%,244,174,418
"Judge, County Court at Law No. 2",0180,470,343,813,2834,28.69%,28,749,777
"Judge, County Court at Law No. 2",0181,175,262,437,2061,21.20%,138,275,413
"Judge, County Court at Law No. 2",0182,590,974,1564,3405,45.93%,978,455,1433
"Judge, County Court at Law No. 2",0183,519,794,1313,2491,52.71%,914,309,1223
"Judge, County Court at Law No. 2",0184,106,135,241,994,24.25%,83,135,218
"Judge, County Court at Law No. 2",0185,283,292,575,1933,29.75%,214,333,547
"Judge, County Court at Law No. 2",0186,97,106,203,798,25.44%,37,158,195
"Judge, County Court at Law No. 2",0187,21,25,46,311,14.79%,14,29,43
"Judge, County Court at Law No. 2",0188,153,146,299,1637,18.27%,140,146,286
"Judge, County Court at Law No. 2",0189,239,360,599,1465,40.89%,316,235,551
"Judge, County Court at Law No. 2",0190,120,177,297,1723,17.24%,128,156,284
"Judge, County Court at Law No. 2",0191,79,126,205,1366,15.01%,90,106,196
"Judge, County Court at Law No. 2",0192,380,225,605,1959,30.88%,29,556,585
"Judge, County Court at Law No. 2",0193,173,187,360,1074,33.52%,12,333,345
"Judge, County Court at Law No. 2",0194,350,431,781,1912,40.85%,263,475,738
"Judge, County Court at Law No. 2",0195,269,278,547,1694,32.29%,23,507,530
"Judge, County Court at Law No. 2",0196,52,32,84,316,26.58%,5,76,81
"Judge, County Court at Law No. 2",0197,543,309,852,2914,29.24%,17,818,835
"Judge, County Court at Law No. 2",0198,53,74,127,642,19.78%,5,120,125
"Judge, County Court at Law No. 2",0199,812,661,1473,3216,45.80%,1154,250,1404
"Judge, County Court at Law No. 2",0200,962,536,1498,3382,44.29%,710,682,1392
"Judge, County Court at Law No. 2",0201,98,87,185,724,25.55%,4,176,180
"Judge, County Court at Law No. 2",0202,217,189,406,1464,27.73%,15,381,396
"Judge, County Court at Law No. 2",0203,107,68,175,960,18.23%,47,118,165
"Judge, County Court at Law No. 2",0204,816,784,1600,3487,45.88%,915,567,1482
"Judge, County Court at Law No. 2",0205,464,171,635,1664,38.16%,10,614,624
"Judge, County Court at Law No. 2",0206,362,462,824,2779,29.65%,258,515,773
"Judge, County Court at Law No. 2",0207,265,261,526,1188,44.28%,185,309,494
"Judge, County Court at Law No. 2",0208,322,262,584,2195,26.61%,178,378,556
"Judge, County Court at Law No. 2",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Court at Law No. 2",0210,502,467,969,2533,38.26%,111,825,936
"Judge, County Court at Law No. 2",0211,307,386,693,2914,23.78%,279,372,651
"Judge, County Court at Law No. 2",0212,96,155,251,1300,19.31%,55,187,242
"Judge, County Court at Law No. 2",0213,826,913,1739,3350,51.91%,1398,223,1621
"Judge, County Court at Law No. 2",0214,404,491,895,1854,48.27%,587,251,838
"Judge, County Court at Law No. 2",0215,421,711,1132,2258,50.13%,714,335,1049
"Judge, County Court at Law No. 2",0216,362,223,585,1945,30.08%,40,532,572
"Judge, County Court at Law No. 2",0217,844,631,1475,2678,55.08%,996,364,1360
"Judge, County Court at Law No. 2",0218,391,402,793,2292,34.60%,276,460,736
"Judge, County Court at Law No. 2",0219,496,436,932,2767,33.68%,56,835,891
"Judge, County Court at Law No. 2",0220,325,187,512,2310,22.16%,369,127,496
"Judge, County Court at Law No. 2",0221,332,369,701,2529,27.72%,316,343,659
"Judge, County Court at Law No. 2",0222,623,674,1297,2501,51.86%,643,541,1184
"Judge, County Court at Law No. 2",0223,563,377,940,3582,26.24%,284,596,880
"Judge, County Court at Law No. 2",0224,530,456,986,2238,44.06%,490,427,917
"Judge, County Court at Law No. 2",0225,376,405,781,3305,23.63%,394,353,747
"Judge, County Court at Law No. 2",0226,227,307,534,2436,21.92%,143,363,506
"Judge, County Court at Law No. 2",0227,558,423,981,1785,54.96%,748,148,896
"Judge, County Court at Law No. 2",0228,362,195,557,1050,53.05%,38,497,535
"Judge, County Court at Law No. 2",0229,31,96,127,815,15.58%,60,58,118
