Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0226,227,307,534,2436,21.92%,185,185
"Judge, County Criminal Court No. 12",0227,558,423,981,1785,54.96%,723,723
"Judge, County Criminal Court No. 12",0228,362,195,557,1050,53.05%,55,55
"Judge, County Criminal Court No. 12",0229,31,96,127,815,15.58%,68,68
"Judge, County Criminal Court No. 12",0230,185,116,301,1089,27.64%,18,18
"Judge, County Criminal Court No. 12",0231,233,264,497,2232,22.27%,179,179
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0232,361,474,835,1760,47.44%,504,504
"Judge, County Criminal Court No. 12",0233,890,801,1691,4445,38.04%,916,916
"Judge, County Criminal Court No. 12",0234,1192,913,2105,3993,52.72%,1623,1623
"Judge, County Criminal Court No. 12",0235,240,158,398,1356,29.35%,26,26
"Judge, County Criminal Court No. 12",0236,354,235,589,2079,28.33%,44,44
"Judge, County Criminal Court No. 12",0237,416,253,669,2161,30.96%,35,35
"Judge, County Criminal Court No. 12",0238,339,245,584,1925,30.34%,39,39
"Judge, County Criminal Court No. 12",0239,383,236,619,1964,31.52%,39,39
"Judge, County Criminal Court No. 12",0240,585,243,828,2649,31.26%,64,64
"Judge, County Criminal Court No. 12",0241,222,229,451,2372,19.01%,216,216
"Judge, County Criminal Court No. 12",0242,173,162,335,1596,20.99%,213,213
"Judge, County Criminal Court No. 12",0243,138,43,181,457,39.61%,14,14
"Judge, County Criminal Court No. 12",0244,480,425,905,3117,29.03%,562,562
"Judge, County Criminal Court No. 12",0245,946,799,1745,5828,29.94%,1293,1293
"Judge, County Criminal Court No. 12",0246,684,513,1197,3315,36.11%,899,899
"Judge, County Criminal Court No. 12",0247,173,254,427,1582,26.99%,44,44
"Judge, County Criminal Court No. 12",0248,161,167,328,2100,15.62%,113,113
"Judge, County Criminal Court No. 12",0249,461,348,809,2719,29.75%,597,597
