Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Katherine Cabaniss,DEM Shawna L. Reagin,Totals
"District Judge, 248th Judicial District",0352,520,339,859,3205,26.80%,631,196,827
"District Judge, 248th Judicial District",0353,665,451,1116,3862,28.90%,207,873,1080
"District Judge, 248th Judicial District",0354,715,338,1053,3388,31.08%,263,756,1019
"District Judge, 248th Judicial District",0355,301,264,565,1560,36.22%,50,499,549
"District Judge, 248th Judicial District",0356,594,538,1132,2972,38.09%,729,356,1085
"District Judge, 248th Judicial District",0357,837,575,1412,3517,40.15%,1038,329,1367
"District Judge, 248th Judicial District",0358,212,254,466,2492,18.70%,53,398,451
"District Judge, 248th Judicial District",0359,234,224,458,3061,14.96%,63,385,448
"District Judge, 248th Judicial District",0360,522,380,902,2146,42.03%,455,368,823
"District Judge, 248th Judicial District",0361,41,295,336,1673,20.08%,52,246,298
"District Judge, 248th Judicial District",0362,1138,887,2025,5086,39.82%,1490,427,1917
"District Judge, 248th Judicial District",0363,620,412,1032,3677,28.07%,472,534,1006
"District Judge, 248th Judicial District",0364,488,405,893,2658,33.60%,518,335,853
"District Judge, 248th Judicial District",0365,478,231,709,1305,54.33%,48,642,690
"District Judge, 248th Judicial District",0366,252,270,522,2454,21.27%,138,369,507
"District Judge, 248th Judicial District",0367,170,138,308,1130,27.26%,70,229,299
"District Judge, 248th Judicial District",0368,178,88,266,958,27.77%,72,184,256
"District Judge, 248th Judicial District",0369,32,29,61,559,10.91%,17,42,59
"District Judge, 248th Judicial District",0370,1532,1105,2637,6593,40.00%,2005,541,2546
"District Judge, 248th Judicial District",0371,122,52,174,502,34.66%,6,162,168
"District Judge, 248th Judicial District",0372,221,170,391,1224,31.94%,56,322,378
"District Judge, 248th Judicial District",0373,21,12,33,157,21.02%,2,29,31
"District Judge, 248th Judicial District",0374,85,93,158,738,21.41%,60,95,155
"District Judge, 248th Judicial District",0375,254,220,474,2645,17.92%,238,200,438
"District Judge, 248th Judicial District",0376,278,205,483,1910,25.29%,217,244,461
"District Judge, 248th Judicial District",0377,525,583,1109,2920,37.98%,817,238,1055
"District Judge, 248th Judicial District",0378,232,354,586,1829,32.04%,369,195,564
"District Judge, 248th Judicial District",0379,431,289,720,2027,35.52%,73,629,702
"District Judge, 248th Judicial District",0380,1299,995,2294,5666,40.49%,1259,962,2221
"District Judge, 248th Judicial District",0381,412,248,660,2855,23.12%,309,326,635
"District Judge, 248th Judicial District",0382,132,157,289,922,31.34%,214,67,281
"District Judge, 248th Judicial District",0383,289,263,552,2173,25.40%,227,306,533
"District Judge, 248th Judicial District",0384,573,373,946,2657,35.60%,189,723,912
"District Judge, 248th Judicial District",0385,583,670,1253,2207,56.77%,944,238,1182
"District Judge, 248th Judicial District",0386,662,469,1131,2922,38.71%,834,248,1082
"District Judge, 248th Judicial District",0387,555,672,1227,3935,31.18%,892,293,1185
"District Judge, 248th Judicial District",0388,1430,1010,2440,6888,35.42%,1412,959,2371
"District Judge, 248th Judicial District",0389,91,208,299,1026,29.14%,43,232,275
"District Judge, 248th Judicial District",0390,356,263,619,1480,41.82%,74,526,600
"District Judge, 248th Judicial District",0391,508,260,768,1883,40.79%,479,255,734
"District Judge, 248th Judicial District",0392,387,155,542,1446,37.48%,7,526,533
"District Judge, 248th Judicial District",0393,165,185,350,1292,27.09%,167,174,341
"District Judge, 248th Judicial District",0394,69,73,142,834,17.03%,71,63,134
"District Judge, 248th Judicial District",0395,469,404,873,1846,47.29%,615,209,824
"District Judge, 248th Judicial District",0396,622,216,838,2082,40.25%,20,805,825
"District Judge, 248th Judicial District",0397,86,78,164,760,21,58%,80,80,160
"District Judge, 248th Judicial District",0398,615,521,1136,4022,28.24%,614,493,1107
"District Judge, 248th Judicial District",0399,402,366,768,2791,27.52%,417,326,743
"District Judge, 248th Judicial District",0400,520,359,979,2411,40.61%,715,216,931
"District Judge, 248th Judicial District",0401,330,205,535,1913,27.97%,17,505,522
"District Judge, 248th Judicial District",0402,466,266,732,1794,40.80%,37,677,714
"District Judge, 248th Judicial District",0403,475,498,973,1715,56.73%,524,361,885
"District Judge, 248th Judicial District",0404,419,330,749,2585,28.97%,440,280,720
"District Judge, 248th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 248th Judicial District",0406,137,67,204,628,32.48%,3,198,201
"District Judge, 248th Judicial District",0407,688,793,1481,3769,39.29%,981,414,1395
"District Judge, 248th Judicial District",0408,146,153,299,1691,17.68%,141,143,284
"District Judge, 248th Judicial District",0409,122,149,271,1459,18.57%,114,148,262
"District Judge, 248th Judicial District",0410,132,80,212,899,23.58%,45,157,202
"District Judge, 248th Judicial District",0411,235,200,435,2339,18.60%,167,247,414
"District Judge, 248th Judicial District",0412,74,44,118,468,25.21%,9,106,115
"District Judge, 248th Judicial District",0413,767,386,1153,2992,38.54%,465,643,1108
"District Judge, 248th Judicial District",0414,654,480,1134,3453,32.84%,879,211,1090
"District Judge, 248th Judicial District",0415,539,598,1137,2203,51.61%,757,325,1082
"District Judge, 248th Judicial District",0416,538,558,1096,3791,28.91%,621,432,1053
"District Judge, 248th Judicial District",0417,353,385,738,2448,30.15%,374,329,703
"District Judge, 248th Judicial District",0418,403,469,872,3584,24.33%,371,462,833
"District Judge, 248th Judicial District",0419,571,324,895,2658,33.67%,595,256,851
"District Judge, 248th Judicial District",0420,1036,874,1910,4762,40.11%,1560,274,1834
"District Judge, 248th Judicial District",0421,35,37,73,410,17.80%,24,43,67
"District Judge, 248th Judicial District",0422,731,402,1133,3345,33.87%,29,1081,1110
"District Judge, 248th Judicial District",0423,108,120,228,1376,16.57%,79,138,217
"District Judge, 248th Judicial District",0424,240,111,351,967,36.30%,209,127,336
"District Judge, 248th Judicial District",0425,107,123,230,883,26.05%,91,129,220
"District Judge, 248th Judicial District",0426,260,183,443,1218,36.37%,265,153,418
"District Judge, 248th Judicial District",0427,179,134,313,1092,28.66%,135,151,286
"District Judge, 248th Judicial District",0428,619,421,1040,4538,22.92%,334,626,960
"District Judge, 248th Judicial District",0429,445,314,759,3197,23.74%,212,500,712
"District Judge, 248th Judicial District",0430,161,133,294,1657,17.74%,90,190,280
"District Judge, 248th Judicial District",0431,327,84,411,3417,12.03%,149,242,391
"District Judge, 248th Judicial District",0432,123,157,280,1455,19.24%,108,162,270
"District Judge, 248th Judicial District",0433,50,63,113,581,19.45%,27,82,109
"District Judge, 248th Judicial District",0434,370,289,659,1503,43.85%,410,210,620
"District Judge, 248th Judicial District",0435,855,636,1491,3252,45.85%,969,442,1411
"District Judge, 248th Judicial District",0436,629,531,1160,2933,39.55%,724,368,1092
"District Judge, 248th Judicial District",0437,521,512,1033,2033,50.81%,711,257,968
"District Judge, 248th Judicial District",0438,517,389,1006,1861,54.06%,739,203,942
"District Judge, 248th Judicial District",0439,710,884,1594,3554,44.85%,1136,369,1505
"District Judge, 248th Judicial District",0440,664,858,1522,2930,51.95%,1190,242,1432
"District Judge, 248th Judicial District",0441,345,420,765,1669,45.84%,577,144,721
"District Judge, 248th Judicial District",0442,612,574,1186,2575,46.06%,972,166,1138
"District Judge, 248th Judicial District",0443,225,138,354,646,56.35%,258,84,342
"District Judge, 248th Judicial District",0444,587,583,1270,3262,38.93%,799,396,1195
"District Judge, 248th Judicial District",0445,499,348,847,2026,41.81%,567,242,809
"District Judge, 248th Judicial District",0446,31,22,53,291,18.21%,25,24,49
"District Judge, 248th Judicial District",0447,93,86,179,637,28.10%,53,118,171
"District Judge, 248th Judicial District",0448,590,778,1368,3138,43.59%,772,512,1284
"District Judge, 248th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"District Judge, 248th Judicial District",0450,435,328,763,2635,28.96%,236,498,734
"District Judge, 248th Judicial District",0451,1002,510,1512,2687,56.27%,1226,220,1446
"District Judge, 248th Judicial District",0452,554,444,998,3048,32.74%,740,228,968
"District Judge, 248th Judicial District",0453,231,262,493,1937,25.45%,202,269,471
"District Judge, 248th Judicial District",0454,594,248,842,2561,32.88%,13,817,830
"District Judge, 248th Judicial District",0455,367,165,532,1689,31.50%,25,500,525
"District Judge, 248th Judicial District",0456,482,362,844,3513,24.03%,497,321,818
"District Judge, 248th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 248th Judicial District",0458,471,237,708,1924,36.80%,36,651,687
"District Judge, 248th Judicial District",0459,951,474,1425,3021,47.17%,1125,253,1378
"District Judge, 248th Judicial District",0460,554,331,885,2837,31.19%,237,631,868
"District Judge, 248th Judicial District",0461,1155,735,1900,3871,49.08%,1289,487,1776
"District Judge, 248th Judicial District",0462,674,619,1293,3384,38.21%,479,752,1231
"District Judge, 248th Judicial District",0463,480,404,884,3326,26.58%,408,447,855
"District Judge, 248th Judicial District",0464,356,430,786,2257,34.82%,568,191,759
"District Judge, 248th Judicial District",0465,687,520,1207,3564,33.87%,690,477,1167
"District Judge, 248th Judicial District",0466,1058,614,1672,4184,39.96%,981,634,1615
"District Judge, 248th Judicial District",0467,213,189,402,1270,31.65%,101,291,392
"District Judge, 248th Judicial District",0468,352,443,795,3598,22.10%,254,509,763
"District Judge, 248th Judicial District",0469,1294,547,1841,3985,46.20%,1447,318,1765
"District Judge, 248th Judicial District",0470,185,176,361,1326,27.22%,270,72,342
"District Judge, 248th Judicial District",0471,375,380,755,2387,31.63%,610,123,733
"District Judge, 248th Judicial District",0472,198,278,476,1081,44.03%,193,246,439
"District Judge, 248th Judicial District",0473,599,391,990,1806,54.82%,685,257,942
"District Judge, 248th Judicial District",0474,559,588,1147,3037,37.77%,802,305,1107
"District Judge, 248th Judicial District",0475,189,267,456,1809,25.21%,217,217,434
"District Judge, 248th Judicial District",0476,404,473,877,2430,36.09%,497,345,842
"District Judge, 248th Judicial District",0477,737,567,1304,3505,37.20%,991,265,1256
"District Judge, 248th Judicial District",0478,958,657,1615,4461,36.20%,1083,454,1537
"District Judge, 248th Judicial District",0479,638,612,1250,2714,46.06%,925,273,1198
"District Judge, 248th Judicial District",0480,493,450,943,2415,39.05%,686,218,904
"District Judge, 248th Judicial District",0481,770,623,1393,3482,40.01%,1071,265,1336
"District Judge, 248th Judicial District",0482,878,630,1508,4373,34.48%,1094,362,1456
"District Judge, 248th Judicial District",0483,1042,478,1520,4308,35.28%,892,567,1459
"District Judge, 248th Judicial District",0484,1107,930,2037,4979,40.91%,1478,494,1972
"District Judge, 248th Judicial District",0485,1095,911,2006,5388,37.23%,1568,386,1954
"District Judge, 248th Judicial District",0486,873,855,1728,3866,44.70%,1356,301,1657
"District Judge, 248th Judicial District",0487,570,294,864,3860,22.38%,326,468,794
"District Judge, 248th Judicial District",0488,268,254,522,1719,30.37%,202,281,483
"District Judge, 248th Judicial District",0489,350,290,640,1893,33.81%,216,391,607
"District Judge, 248th Judicial District",0490,444,368,812,1975,41.11%,293,488,781
"District Judge, 248th Judicial District",0491,314,372,686,1888,36.33%,413,244,657
"District Judge, 248th Judicial District",0492,556,410,966,2335,41.37%,581,339,920
"District Judge, 248th Judicial District",0493,479,322,801,1853,43.23%,549,208,757
"District Judge, 248th Judicial District",0494,381,247,628,2467,25.46%,83,531,614
"District Judge, 248th Judicial District",0495,522,523,1045,2375,44.00%,753,227,980
"District Judge, 248th Judicial District",0496,190,315,505,2160,23.38%,199,286,485
"District Judge, 248th Judicial District",0497,526,243,769,2257,34.07%,27,723,750
"District Judge, 248th Judicial District",0498,363,323,686,2297,29.87%,310,360,670
"District Judge, 248th Judicial District",0499,750,518,1268,2326,54.51%,928,269,1197
"District Judge, 248th Judicial District",0500,729,715,1444,3507,41.17%,1001,389,1390
"District Judge, 248th Judicial District",0501,341,417,758,1801,42.09%,282,423,705
"District Judge, 248th Judicial District",0502,477,350,827,2501,33.07%,674,124,798
"District Judge, 248th Judicial District",0503,174,116,290,1374,21.11%,113,155,268
"District Judge, 248th Judicial District",0504,524,527,1151,2288,50.31%,730,356,1086
"District Judge, 248th Judicial District",0505,531,562,1193,3773,31.62%,551,566,1117
"District Judge, 248th Judicial District",0506,665,670,1335,3502,38.12%,247,1036,1283
"District Judge, 248th Judicial District",0507,221,149,370,2452,15.09%,77,226,303
"District Judge, 248th Judicial District",0508,492,412,904,3287,27.50%,354,483,837
"District Judge, 248th Judicial District",0509,753,596,1349,3732,36.15%,965,323,1288
"District Judge, 248th Judicial District",0510,687,514,1201,3590,33.45%,607,541,1148
"District Judge, 248th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 248th Judicial District",0512,602,660,1262,5057,24.96%,615,612,1227
"District Judge, 248th Judicial District",0513,1019,487,1506,2894,52.04%,1138,297,1435
"District Judge, 248th Judicial District",0514,953,720,1673,4275,39.13%,1267,340,1607
"District Judge, 248th Judicial District",0515,942,683,1625,3455,47.03%,1310,243,1553
"District Judge, 248th Judicial District",0516,1000,800,1800,5356,33.61%,965,756,1721
"District Judge, 248th Judicial District",0517,481,256,737,2954,24.95%,425,289,714
"District Judge, 248th Judicial District",0518,635,693,1328,3943,33.68%,873,400,1273
"District Judge, 248th Judicial District",0519,623,493,1116,2966,37.63%,840,238,1078
"District Judge, 248th Judicial District",0520,473,457,930,4580,20.31%,175,732,907
"District Judge, 248th Judicial District",0521,471,464,935,2866,32.62%,508,394,902
"District Judge, 248th Judicial District",0522,716,572,1288,2689,47.90%,1000,244,1244
"District Judge, 248th Judicial District",0523,751,415,1166,3052,38.20%,788,324,1112
"District Judge, 248th Judicial District",0524,567,459,1026,3410,30.09%,351,640,991
"District Judge, 248th Judicial District",0525,707,482,1189,3091,38.47%,272,864,1136
"District Judge, 248th Judicial District",0526,68,84,152,780,19.49%,44,97,141
"District Judge, 248th Judicial District",0527,37,40,77,574,13.41%,41,33,74
"District Judge, 248th Judicial District",0528,14,12,26,90,28.89%,3,22,25
"District Judge, 248th Judicial District",0529,1043,491,1534,3710,41.35%,1319,159,1478
"District Judge, 248th Judicial District",0530,114,107,221,1196,18.48%,57,148,205
"District Judge, 248th Judicial District",0531,363,174,537,1145,46.90%,419,96,515
"District Judge, 248th Judicial District",0532,205,146,351,1048,33.49%,256,84,340
"District Judge, 248th Judicial District",0533,124,108,232,1119,20.73%,136,85,221
"District Judge, 248th Judicial District",0534,783,524,1,307,3837,34.06%,1000,252,1252
"District Judge, 248th Judicial District",0535,33,29,62,416,14.90%,30,30,60
"District Judge, 248th Judicial District",0536,554,780,1334,5139,25.96%,532,758,1290
"District Judge, 248th Judicial District",0537,855,778,1633,3050,53.54%,1187,369,1556
"District Judge, 248th Judicial District",0538,204,160,364,1303,27.94%,7,350,357
"District Judge, 248th Judicial District",0539,15,241,256,64,400.00%,73,162,235
"District Judge, 248th Judicial District",0540,378,316,694,1567,44.29%,265,380,645
"District Judge, 248th Judicial District",0541,784,505,1289,4599,28.03%,193,1045,1238
"District Judge, 248th Judicial District",0542,360,382,742,2557,29.02%,46,667,713
"District Judge, 248th Judicial District",0543,141,213,354,1565,22.62%,125,208,333
"District Judge, 248th Judicial District",0544,35,41,77,310,24.84%,11,64,75
"District Judge, 248th Judicial District",0545,596,620,1216,3629,33.51%,620,547,1167
"District Judge, 248th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"District Judge, 248th Judicial District",0547,501,466,967,2406,40.19%,687,237,924
"District Judge, 248th Judicial District",0548,286,293,579,2215,26.14%,306,257,563
"District Judge, 248th Judicial District",0549,343,418,761,2663,28.58%,113,630,743
"District Judge, 248th Judicial District",0550,501,431,932,3031,30.75%,539,362,901
"District Judge, 248th Judicial District",0551,1288,1394,2682,7034,38.13%,2028,575,2603
"District Judge, 248th Judicial District",0552,847,883,1730,3415,50.66%,1435,241,1676
"District Judge, 248th Judicial District",0553,578,529,1107,4686,23.62%,510,562,1072
"District Judge, 248th Judicial District",0554,261,199,460,1757,26.18%,98,327,425
"District Judge, 248th Judicial District",0555,225,277,502,2219,22.62%,105,378,483
"District Judge, 248th Judicial District",0556,276,186,462,2319,19.92%,138,307,445
"District Judge, 248th Judicial District",0557,455,183,638,2830,22.54%,267,294,561
"District Judge, 248th Judicial District",0558,693,463,1156,4380,26.39%,418,693,1111
"District Judge, 248th Judicial District",0559,640,494,1134,4969,22.82%,345,743,1088
"District Judge, 248th Judicial District",0560,72,131,203,1120,18.13%,57,133,190
"District Judge, 248th Judicial District",0561,362,436,798,3064,26.04%,492,276,768
"District Judge, 248th Judicial District",0562,113,68,181,694,26.08%,28,149,177
"District Judge, 248th Judicial District",0563,1107,376,1483,3105,47.76%,1154,267,1421
"District Judge, 248th Judicial District",0564,470,426,896,3155,28.40%,233,624,857
"District Judge, 248th Judicial District",0565,108,78,186,1354,13.74%,43,129,172
"District Judge, 248th Judicial District",0566,417,324,741,2882,25.71%,240,479,719
"District Judge, 248th Judicial District",0567,301,193,494,2238,22.07%,165,284,449
"District Judge, 248th Judicial District",0568,876,685,1561,3594,43.43%,1025,445,1470
"District Judge, 248th Judicial District",0569,572,667,1239,3525,35.15%,647,516,1163
"District Judge, 248th Judicial District",0570,238,210,448,1562,28.68%,157,259,416
"District Judge, 248th Judicial District",0571,155,149,304,1827,16.64%,123,169,292
"District Judge, 248th Judicial District",0572,555,375,930,3108,29.92%,473,414,887
"District Judge, 248th Judicial District",0573,290,151,441,1619,27.24%,7,427,434
"District Judge, 248th Judicial District",0574,31,42,73,402,18.16%,10,63,73
"District Judge, 248th Judicial District",0575,13,11,24,74,32.43%,19,4,23
"District Judge, 248th Judicial District",0576,485,318,803,2734,29.37%,28,759,787
"District Judge, 248th Judicial District",0577,147,88,235,608,38.65%,141,85,226
"District Judge, 248th Judicial District",0578,409,538,947,1799,52.64%,582,316,898
"District Judge, 248th Judicial District",0579,75,101,176,1056,16.67%,38,131,169
"District Judge, 248th Judicial District",0580,179,118,297,1031,28.81%,4,285,289
"District Judge, 248th Judicial District",0581,212,174,386,1032,37.40%,7,369,376
"District Judge, 248th Judicial District",0582,258,171,429,1588,27.02%,19,398,417
"District Judge, 248th Judicial District",0583,225,131,356,1262,28.21%,11,333,344
"District Judge, 248th Judicial District",0584,182,93,275,1014,27.12%,11,258,269
"District Judge, 248th Judicial District",0585,417,172,589,2511,23.46%,16,566,582
"District Judge, 248th Judicial District",0586,638,680,1318,4316,30.54%,814,452,1266
"District Judge, 248th Judicial District",0587,436,284,720,2598,27.71%,284,416,700
"District Judge, 248th Judicial District",0588,758,674,1432,3645,39.29%,1022,363,1385
"District Judge, 248th Judicial District",0589,500,386,886,3420,25.91%,499,359,858
"District Judge, 248th Judicial District",0590,772,399,1171,2162,54.16%,904,225,1129
"District Judge, 248th Judicial District",0591,183,231,414,2121,19.52%,132,262,394
"District Judge, 248th Judicial District",0592,133,157,290,1350,21.48%,78,199,277
"District Judge, 248th Judicial District",0593,543,564,1107,4380,25.27%,544,508,1052
"District Judge, 248th Judicial District",0594,561,326,887,2490,35.62%,245,610,855
"District Judge, 248th Judicial District",0595,201,178,379,1693,22.39%,73,297,370
"District Judge, 248th Judicial District",0596,441,348,789,3007,26.24%,447,320,767
"District Judge, 248th Judicial District",0597,367,394,761,3653,20.83%,336,413,749
"District Judge, 248th Judicial District",0598,195,57,252,728,34.62%,207,41,248
"District Judge, 248th Judicial District",0599,850,578,1428,4950,28.85%,519,865,1384
"District Judge, 248th Judicial District",0600,667,429,1096,3957,27.70%,454,592,1046
"District Judge, 248th Judicial District",0601,1073,756,1829,4057,45.08%,1387,376,1763
"District Judge, 248th Judicial District",0602,293,235,528,1326,39.82%,388,125,513
"District Judge, 248th Judicial District",0603,884,794,1678,4843,34.65%,1086,552,1638
"District Judge, 248th Judicial District",0604,702,518,1220,3005,40.60%,1013,168,1181
"District Judge, 248th Judicial District",0605,907,556,1463,5582,26.21%,371,1054,1425
"District Judge, 248th Judicial District",0606,176,70,246,937,26.25%,4,238,242
"District Judge, 248th Judicial District",0607,62,51,113,728,15.52%,13,94,107
"District Judge, 248th Judicial District",0608,31,47,78,537,14.53%,46,26,72
"District Judge, 248th Judicial District",0609,557,680,1347,3384,39.80%,846,428,1274
"District Judge, 248th Judicial District",0610,231,188,419,1927,21.74%,219,166,385
"District Judge, 248th Judicial District",0611,495,242,737,2488,29.62%,26,699,725
"District Judge, 248th Judicial District",0612,996,497,1493,3307,45.15%,1122,292,1414
"District Judge, 248th Judicial District",0613,186,204,390,1554,25.10%,69,310,379
"District Judge, 248th Judicial District",0614,737,566,1303,4207,30.97%,503,750,1253
"District Judge, 248th Judicial District",0615,480,299,779,1967,39.60%,496,263,759
"District Judge, 248th Judicial District",0616,739,663,1402,3436,40.80%,987,360,1347
"District Judge, 248th Judicial District",0617,541,393,934,3809,24.52%,390,523,913
"District Judge, 248th Judicial District",0618,946,567,1513,6003,25.20%,771,695,1466
"District Judge, 248th Judicial District",0619,1219,803,2022,4297,47.06%,1519,408,1927
"District Judge, 248th Judicial District",0620,689,264,953,2897,32.90%,597,312,909
"District Judge, 248th Judicial District",0621,154,101,255,1133,22.51%,134,107,241
"District Judge, 248th Judicial District",0622,881,524,1405,4403,31.91%,872,484,1356
"District Judge, 248th Judicial District",0623,887,487,1374,3691,37.23%,942,373,1315
"District Judge, 248th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 248th Judicial District",0625,477,362,839,1820,46.10%,484,310,794
"District Judge, 248th Judicial District",0626,581,440,1021,2861,35.69%,563,396,959
"District Judge, 248th Judicial District",0627,346,322,668,3049,21.91%,242,396,638
"District Judge, 248th Judicial District",0628,152,219,371,1675,22.15%,203,155,358
"District Judge, 248th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"District Judge, 248th Judicial District",0630,974,600,1574,3905,40.31%,127,1405,1532
"District Judge, 248th Judicial District",0631,822,404,1226,2846,43.08%,901,280,1181
"District Judge, 248th Judicial District",0632,7,4,11,343,3.21%,3,8,11
"District Judge, 248th Judicial District",0633,943,731,1674,3559,47.04%,1204,409,1613
"District Judge, 248th Judicial District",0634,458,442,900,3029,29.71%,602,268,870
"District Judge, 248th Judicial District",0635,743,485,1228,3393,36.19%,935,260,1195
"District Judge, 248th Judicial District",0636,835,874,1710,4140,41.30%,1484,176,1660
"District Judge, 248th Judicial District",0637,409,362,771,2512,30.69%,195,522,717
"District Judge, 248th Judicial District",0638,304,245,549,2204,24.91%,46,478,524
"District Judge, 248th Judicial District",0639,549,547,1096,2526,43.39%,890,162,1052
"District Judge, 248th Judicial District",0640,641,459,1100,3733,29.47%,693,372,1065
"District Judge, 248th Judicial District",0641,649,596,1245,3650,34.11%,838,360,1198
"District Judge, 248th Judicial District",0642,471,394,865,1764,49.04%,702,129,831
"District Judge, 248th Judicial District",0643,934,653,1587,5945,26.69%,632,904,1536
"District Judge, 248th Judicial District",0644,1019,823,1842,5523,33.35%,1232,532,1764
"District Judge, 248th Judicial District",0645,654,594,1248,4185,29.82%,675,522,1197
"District Judge, 248th Judicial District",0646,364,287,651,2220,29.32%,212,398,610
"District Judge, 248th Judicial District",0647,904,470,1374,6084,22.58%,394,866,1260
"District Judge, 248th Judicial District",0648,838,579,1417,3367,42.08%,1026,345,1371
"District Judge, 248th Judicial District",0649,687,434,1121,4576,24.50%,382,663,1045
"District Judge, 248th Judicial District",0650,906,766,1672,3888,43.00%,1225,377,1602
"District Judge, 248th Judicial District",0651,963,766,1729,5128,33.72%,1135,524,1659
"District Judge, 248th Judicial District",0652,467,515,982,2815,34.88%,181,766,947
"District Judge, 248th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 248th Judicial District",0654,950,1005,1955,6208,31.49%,1111,775,1886
"District Judge, 248th Judicial District",0655,1115,1079,2195,6855,32.02%,1383,728,2111
"District Judge, 248th Judicial District",0656,579,393,972,2674,36.35%,37,915,952
"District Judge, 248th Judicial District",0657,246,172,418,1292,32.35%,173,229,402
"District Judge, 248th Judicial District",0658,540,426,966,2807,34.41%,631,311,942
"District Judge, 248th Judicial District",0659,1149,788,1937,4856,39.89%,1407,477,1884
"District Judge, 248th Judicial District",0660,950,825,1775,5372,33.04%,171,1568,1739
"District Judge, 248th Judicial District",0661,675,765,1440,4567,31.53%,852,531,1383
"District Judge, 248th Judicial District",0662,1148,890,2038,4874,41.81%,1636,337,1973
"District Judge, 248th Judicial District",0663,717,797,1514,3346,45.25%,763,645,1408
"District Judge, 248th Judicial District",0664,352,250,602,2869,20.98%,142,433,575
"District Judge, 248th Judicial District",0665,482,348,830,2154,38.53%,694,106,800
"District Judge, 248th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 248th Judicial District",0667,488,502,990,2149,46.07%,773,178,951
"District Judge, 248th Judicial District",0668,399,509,908,2775,32.72%,597,284,881
"District Judge, 248th Judicial District",0669,850,738,1,588,3425,46.36%,1147,374,1521
"District Judge, 248th Judicial District",0670,955,471,1427,2983,47.84%,1123,252,1375
"District Judge, 248th Judicial District",0671,403,565,968,3037,31.87%,606,318,924
"District Judge, 248th Judicial District",0672,959,862,1821,5706,31.91%,1246,526,1772
"District Judge, 248th Judicial District",0673,729,516,1245,2995,41.57%,988,205,1193
"District Judge, 248th Judicial District",0674,1071,618,1689,4091,41.29%,1264,363,1627
"District Judge, 248th Judicial District",0675,0,1,1,0,0.00%,1,0,1
"District Judge, 248th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 248th Judicial District",0677,127,127,254,1266,20.06%,95,144,239
"District Judge, 248th Judicial District",0678,166,108,274,735,37.28%,184,70,254
"District Judge, 248th Judicial District",0679,635,520,1155,3381,34.16%,881,221,1102
"District Judge, 248th Judicial District",0680,21,14,35,162,21.60%,14,20,34
"District Judge, 248th Judicial District",0681,1,0,1,5,20.00%,1,0,1
"District Judge, 248th Judicial District",0682,711,654,1365,4216,32.38%,1023,296,1319
"District Judge, 248th Judicial District",0683,29,20,49,276,17.75%,10,33,43
"District Judge, 248th Judicial District",0684,27,22,49,223,21.97%,26,21,47
"District Judge, 248th Judicial District",0685,110,29,139,307,45.28%,62,66,128
"District Judge, 248th Judicial District",0686,17,12,29,208,13.94%,11,17,28
"District Judge, 248th Judicial District",0687,549,537,1085,2609,41.63%,740,278,1018
"District Judge, 248th Judicial District",0688,999,617,1616,3504,46.12%,1306,252,1558
"District Judge, 248th Judicial District",0689,211,387,598,2346,25.49%,303,266,569
"District Judge, 248th Judicial District",0690,926,1104,2030,5102,39.79%,1655,309,1964
"District Judge, 248th Judicial District",0691,2,5,7,25,28.00%,3,4,7
"District Judge, 248th Judicial District",0692,444,548,992,2847,34.84%,745,208,953
"District Judge, 248th Judicial District",0693,167,91,258,666,38.74%,78,171,249
"District Judge, 248th Judicial District",0694,260,120,380,845,44.97%,263,93,356
"District Judge, 248th Judicial District",0695,232,193,425,1724,24.65%,275,136,411
"District Judge, 248th Judicial District",0696,261,207,468,1982,23.61%,300,150,450
"District Judge, 248th Judicial District",0697,605,613,1218,4413,27.60%,320,859,1179
"District Judge, 248th Judicial District",0698,448,489,937,3189,29.38%,102,810,912
"District Judge, 248th Judicial District",0699,568,414,982,2343,41.91%,647,276,923
"District Judge, 248th Judicial District",0700,255,251,506,1371,36.91%,429,57,486
"District Judge, 248th Judicial District",0701,56,43,99,588,16.84%,62,31,93
"District Judge, 248th Judicial District",0702,54,70,134,539,24.86%,18,114,132
"District Judge, 248th Judicial District",0703,372,490,862,1882,45.80%,625,198,823
"District Judge, 248th Judicial District",0704,569,599,1168,3064,38.12%,954,165,1119
"District Judge, 248th Judicial District",0705,114,113,227,1523,14.90%,34,186,220
"District Judge, 248th Judicial District",0706,115,71,186,610,30.49%,91,82,173
"District Judge, 248th Judicial District",0707,153,86,239,707,33.80%,147,76,223
"District Judge, 248th Judicial District",0708,54,52,106,563,18.83%,51,48,99
"District Judge, 248th Judicial District",0709,1375,947,2322,6848,33.91%,1418,840,2258
