Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Katherine Cabaniss,DEM Shawna L. Reagin,Totals
"District Judge, 248th Judicial District",0217,844,631,1475,2678,55.08%,968,399,1367
"District Judge, 248th Judicial District",0218,391,402,793,2292,34.60%,254,472,726
"District Judge, 248th Judicial District",0219,496,436,932,2767,33.68%,48,845,893
"District Judge, 248th Judicial District",0220,325,187,512,2310,22.16%,371,125,496
"District Judge, 248th Judicial District",0221,332,369,701,2529,27.72%,311,348,659
"District Judge, 248th Judicial District",0222,623,674,1297,2501,51.86%,576,615,1191
"District Judge, 248th Judicial District",0223,563,377,940,3582,26.24%,258,621,879
"District Judge, 248th Judicial District",0224,530,456,986,2238,44.06%,447,466,913
"District Judge, 248th Judicial District",0225,376,405,781,3305,23.63%,396,353,749
"District Judge, 248th Judicial District",0226,227,307,534,2436,21.92%,136,372,508
"District Judge, 248th Judicial District",0227,558,423,981,1785,54.96%,720,187,907
"District Judge, 248th Judicial District",0228,362,195,557,1050,53.05%,22,511,533
"District Judge, 248th Judicial District",0229,31,96,127,815,15.58%,58,63,121
"District Judge, 248th Judicial District",0230,185,116,301,1089,27.64%,7,287,294
"District Judge, 248th Judicial District",0231,233,264,497,2232,22.27%,132,338,470
"District Judge, 248th Judicial District",0232,351,474,835,1760,47.44%,450,323,773
"District Judge, 248th Judicial District",0233,890,801,1691,4445,38.04%,805,760,1565
"District Judge, 248th Judicial District",0234,1192,913,2105,3993,52.72%,1553,403,1956
"District Judge, 248th Judicial District",0235,240,158,398,1356,29.35%,11,378,389
"District Judge, 248th Judicial District",0236,354,235,589,2079,28.33%,12,564,576
"District Judge, 248th Judicial District",0237,415,253,669,2161,30.96%,10,644,654
"District Judge, 248th Judicial District",0238,339,245,584,1925,30.34%,14,554,568
"District Judge, 248th Judicial District",0239,383,236,619,1964,31.52%,22,588,610
"District Judge, 248th Judicial District",0240,585,243,828,2649,31.26%,16,794,810
"District Judge, 248th Judicial District",0241,222,229,451,2372,19.01%,192,241,433
"District Judge, 248th Judicial District",0242,173,162,335,1596,20.99%,199,122,321
"District Judge, 248th Judicial District",0243,138,43,181,457,39.61%,3,177,180
"District Judge, 248th Judicial District",0244,480,425,905,311,7,29.03%,500,365,865
"District Judge, 248th Judicial District",0245,945,799,1745,5828,29.94%,1228,477,1705
"District Judge, 248th Judicial District",0246,584,513,1197,3315,36.11%,858,302,1160
"District Judge, 248th Judicial District",0247,173,254,427,1582,26.99%,14,407,421
"District Judge, 248th Judicial District",0248,161,167,328,2100,15.62%,96,218,314
"District Judge, 248th Judicial District",0249,461,348,809,2719,29.75%,573,210,783
"District Judge, 248th Judicial District",0250,109,164,273,964,28.32%,8,261,269
"District Judge, 248th Judicial District",0251,278,436,714,2089,34.18%,26,675,701
"District Judge, 248th Judicial District",0252,504,312,816,2377,34.33%,17,781,798
"District Judge, 248th Judicial District",0253,379,222,601,2177,27.61%,12,577,589
"District Judge, 248th Judicial District",0254,93,112,205,1550,13.23%,68,128,196
"District Judge, 248th Judicial District",0255,525,648,1173,2482,47.26%,537,557,1094
"District Judge, 248th Judicial District",0256,575,449,1024,3254,31.47%,504,469,973
"District Judge, 248th Judicial District",0257,204,245,449,2523,17.80%,136,289,425
"District Judge, 248th Judicial District",0258,839,800,1539,3322,49.34%,1174,354,1528
"District Judge, 248th Judicial District",0259,555,382,1038,2361,43.96%,25,990,1015
"District Judge, 248th Judicial District",0260,152,145,307,1260,24.37%,180,106,286
"District Judge, 248th Judicial District",0261,124,120,244,1417,17.22%,104,131,235
"District Judge, 248th Judicial District",0262,758,600,1358,4397,30.88%,846,434,1280
"District Judge, 248th Judicial District",0263,858,712,1570,3693,42.51%,1203,308,1511
"District Judge, 248th Judicial District",0264,480,457,937,2963,31.62%,575,302,877
"District Judge, 248th Judicial District",0265,988,759,1747,3584,48.74%,1286,347,1633
"District Judge, 248th Judicial District",0266,259,257,516,2104,24.52%,261,225,486
"District Judge, 248th Judicial District",0267,146,166,312,1327,23.51%,160,131,291
"District Judge, 248th Judicial District",0268,435,717,1152,2493,46.21%,656,382,1038
"District Judge, 248th Judicial District",0269,702,453,1155,2030,56.90%,894,189,1083
"District Judge, 248th Judicial District",0270,817,672,1489,3605,41.30%,821,586,1407
"District Judge, 248th Judicial District",0271,656,382,1038,2518,41.22%,23,1002,1025
"District Judge, 248th Judicial District",0272,264,292,555,2162,25.72%,225,306,531
"District Judge, 248th Judicial District",0273,548,689,1237,2470,50.08%,987,183,1170
"District Judge, 248th Judicial District",0274,588,346,934,2153,43.38%,629,236,865
"District Judge, 248th Judicial District",0275,207,236,443,1850,23.95%,112,315,427
"District Judge, 248th Judicial District",0276,572,231,803,2536,31.66%,10,778,788
"District Judge, 248th Judicial District",0277,170,186,356,1492,23.86%,166,176,342
"District Judge, 248th Judicial District",0278,421,320,741,2454,30.20%,414,295,709
"District Judge, 248th Judicial District",0279,250,223,473,1941,24.37%,281,170,451
"District Judge, 248th Judicial District",0280,130,188,318,1524,20.87%,131,168,299
"District Judge, 248th Judicial District",0281,655,742,1397,2633,53.06%,637,620,1257
"District Judge, 248th Judicial District",0282,314,455,769,2042,37.66%,484,244,728
"District Judge, 248th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 248th Judicial District",0284,574,336,910,3172,28.69%,421,446,867
