Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 3",0992,157,107,264,1048,25.19%,150,100,250
"Judge, County Court at Law No. 3",0993,169,101,270,568,47.54%,219,40,259
"Judge, County Court at Law No. 3",0994,5,5,11,25,44.00%,2,9,11
"Judge, County Court at Law No. 3",0995,295,156,451,1393,32.38%,28,412,440
"Judge, County Court at Law No. 3",0996,135,140,275,694,39.63%,153,102,255
"Judge, County Court at Law No. 3",0997,101,163,264,1656,15.94%,59,201,260
"Judge, County Court at Law No. 3",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Court at Law No. 3",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Court at Law No. 3",1000,42,6,48,405,11.85%,12,35,47
"Judge, County Court at Law No. 3",1001,228,136,364,1565,23.26%,98,248,346
"Judge, County Court at Law No. 3",1002,170,139,309,1744,17.72%,56,237,293
"Judge, County Court at Law No. 3",1003,1,0,1,0,0.00%,0,1,1
"Judge, County Court at Law No. 3",1004,111,139,250,654,38.23%,123,101,224
"Judge, County Court at Law No. 3",1005,0,8,8,0,0.00%,5,2,7
"Judge, County Court at Law No. 3",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Court at Law No. 3",1007,208,188,396,1547,25.60%,96,284,380
"Judge, County Court at Law No. 3",1008,32,12,44,151,29.14%,34,7,41
"Judge, County Court at Law No. 3",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Court at Law No. 3",1010,59,35,94,459,20.48%,16,76,92
"Judge, County Court at Law No. 3",1011,8,1,9,26,34.62%,3,4,7
"Judge, County Court at Law No. 3",1012,134,201,335,1365,24.54%,103,223,326
"Judge, County Court at Law No. 3",1013,0,6,6,58,10.34%,3,3,6
"Judge, County Court at Law No. 3",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Court at Law No. 3",1015,5,4,9,25,36.00%,3,5,8
"Judge, County Court at Law No. 3",1016,252,212,464,1691,27.44%,229,219,448
"Judge, County Court at Law No. 3",1017,61,44,105,330,31.82%,32,72,104
"Judge, County Court at Law No. 3",1018,93,64,157,494,31.78%,72,81,153
"Judge, County Court at Law No. 3",1019,130,107,237,1456,16.28%,11,223,234
"Judge, County Court at Law No. 3",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 3",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Court at Law No. 3",1022,97,79,176,441,39.91%,131,34,165
"Judge, County Court at Law No. 3",1023,430,315,745,2026,36.77%,527,191,718
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",1024,55,61,116,249,46.59%,62,44,106
"Judge, County Court at Law No. 3",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Court at Law No. 3",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1027,1,0,1,8,12.50%,0,1,1
"Judge, County Court at Law No. 3",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1029,537,719,1256,2927,42.91%,982,225,1207
"Judge, County Court at Law No. 3",1030,231,151,382,785,48.66%,332,45,377
"Judge, County Court at Law No. 3",1031,59,71,130,792,16.41%,35,88,123
"Judge, County Court at Law No. 3",1032,31,25,56,244,22.95%,34,18,52
"Judge, County Court at Law No. 3",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Court at Law No. 3",1036,55,24,89,449,19.82%,71,16,87
"Judge, County Court at Law No. 3",1037,19,11,30,76,39.47%,16,11,27
"Judge, County Court at Law No. 3",1038,52,6,68,327,20.80%,10,54,64
"Judge, County Court at Law No. 3",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Court at Law No. 3",1040,91,66,157,771,20.36%,73,78,151
"Judge, County Court at Law No. 3",1041,0,2,2,0,0.00%,1,1,2
"Judge, County Court at Law No. 3",1042,105,67,172,521,33.01%,51,113,164
"Judge, County Court at Law No. 3",1043,6,5,12,33,36.36%,4,8,12
"Judge, County Court at Law No. 3",1044,15,6,22,55,40.00%,8,13,21
"Judge, County Court at Law No. 3",1045,197,173,370,1788,20.69%,55,303,358
"Judge, County Court at Law No. 3",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Court at Law No. 3",1047,255,186,441,1568,28.13%,160,269,429
"Judge, County Court at Law No. 3",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Court at Law No. 3",1049,14,45,59,290,20.34%,20,37,57
"Judge, County Court at Law No. 3",1050,60,63,123,537,22.91%,35,84,119
"Judge, County Court at Law No. 3",1051,0,31,31,0,0.00%,17,12,29
"Judge, County Court at Law No. 3",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 3",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1056,4,2,6,8,75.00%,0,6,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",1057,7,9,16,118,13.56%,3,12,15
"Judge, County Court at Law No. 3",1058,241,285,526,1243,42.32%,107,404,511
"Judge, County Court at Law No. 3",1059,3,3,6,28,21.43%,1,5,6
"Judge, County Court at Law No. 3",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Court at Law No. 3",1061,332,184,516,1716,30.07%,277,218,495
"Judge, County Court at Law No. 3",1062,17,6,23,201,11.44%,4,16,20
"Judge, County Court at Law No. 3",1063,66,59,125,857,14.59%,20,101,121
"Judge, County Court at Law No. 3",1064,25,11,36,119,30.25%,28,8,36
"Judge, County Court at Law No. 3",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Court at Law No. 3",1066,72,0,72,229,31.44%,3,65,68
"Judge, County Court at Law No. 3",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",1068,22,8,30,121,24.79%,12,17,29
"Judge, County Court at Law No. 3",1069,434,256,690,2580,26.74%,310,337,647
"Judge, County Court at Law No. 3",Totals:,378846,308736,687582,2044361,355315,300383,655698
