Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0206,362,462,824,2779,29.65%,229,544,773
"Judge, County Court at Law No. 3",0207,265,261,526,1188,44.28%,155,342,497
"Judge, County Court at Law No. 3",0208,322,262,584,2195,26.61%,172,383,555
"Judge, County Court at Law No. 3",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Court at Law No. 3",0210,502,467,969,2533,38.26%,99,832,931
"Judge, County Court at Law No. 3",0211,307,386,693,2914,23.78%,256,400,656
"Judge, County Court at Law No. 3",0212,96,155,251,1300,19.31%,57,186,243
"Judge, County Court at Law No. 3",0213,826,913,1739,3350,51.91%,1346,278,1624
"Judge, County Court at Law No. 3",0214,404,491,895,1854,48.27%,552,289,841
"Judge, County Court at Law No. 3",0215,421,711,1132,2258,50.13%,659,385,1044
"Judge, County Court at Law No. 3",0216,362,223,585,1945,30.08%,38,534,572
"Judge, County Court at Law No. 3",0217,844,631,1475,2678,55.08%,925,432,1357
"Judge, County Court at Law No. 3",0218,391,402,793,2292,34.60%,238,498,736
"Judge, County Court at Law No. 3",0219,496,436,932,2767,33.68%,47,844,891
"Judge, County Court at Law No. 3",0220,325,187,512,2310,22.16%,371,124,495
"Judge, County Court at Law No. 3",0221,332,369,701,2529,27.72%,296,367,663
"Judge, County Court at Law No. 3",0222,623,674,1297,2501,51.86%,566,619,1185
"Judge, County Court at Law No. 3",0223,563,377,940,3582,26.24%,254,625,879
"Judge, County Court at Law No. 3",0224,530,456,986,2238,44.06%,440,474,914
"Judge, County Court at Law No. 3",0225,376,405,781,3305,23.63%,392,354,746
"Judge, County Court at Law No. 3",0226,227,307,534,2436,21.92%,124,382,506
"Judge, County Court at Law No. 3",0227,558,423,981,1785,54.96%,696,194,890
"Judge, County Court at Law No. 3",0228,362,195,557,1050,53.05%,28,507,535
"Judge, County Court at Law No. 3",0229,31,96,127,815,15.58%,55,65,120
"Judge, County Court at Law No. 3",0230,185,116,301,1089,27.64%,6,285,291
"Judge, County Court at Law No. 3",0231,233,264,497,2232,22.27%,118,349,467
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0232,351,474,835,1760,47.44%,437,338,775
"Judge, County Court at Law No. 3",0233,890,801,1691,4445,38.04%,786,761,1547
"Judge, County Court at Law No. 3",0234,1192,913,2105,3993,52.72%,1552,396,1948
"Judge, County Court at Law No. 3",0235,240,158,398,1356,29.35%,12,375,387
"Judge, County Court at Law No. 3",0236,354,235,589,2079,28.33%,13,560,573
"Judge, County Court at Law No. 3",0237,415,253,669,2161,30.96%,8,643,651
"Judge, County Court at Law No. 3",0238,339,245,584,1925,30.34%,15,554,569
"Judge, County Court at Law No. 3",0239,383,236,619,1964,31.52%,22,584,606
"Judge, County Court at Law No. 3",0240,585,243,828,2649,31.26%,21,787,808
"Judge, County Court at Law No. 3",0241,222,229,451,2372,19.01%,190,239,429
"Judge, County Court at Law No. 3",0242,173,162,335,1596,20.99%,195,121,316
"Judge, County Court at Law No. 3",0243,138,43,181,457,39.61%,1,178,179
"Judge, County Court at Law No. 3",0244,480,425,905,3117,29.03%,509,356,865
"Judge, County Court at Law No. 3",0245,945,799,1745,5828,29.94%,1228,475,1703
"Judge, County Court at Law No. 3",0246,584,513,1197,3315,36.11%,852,303,1155
"Judge, County Court at Law No. 3",0247,173,254,427,1582,26.99%,14,407,421
"Judge, County Court at Law No. 3",0248,161,167,328,2100,15.62%,91,221,312
"Judge, County Court at Law No. 3",0249,461,348,809,2719,29.75%,563,217,780
"Judge, County Court at Law No. 3",0250,109,164,273,964,28.32%,9,260,269
"Judge, County Court at Law No. 3",0251,278,436,714,2089,34.18%,29,670,699
"Judge, County Court at Law No. 3",0252,504,312,816,2377,34.33%,13,785,798
"Judge, County Court at Law No. 3",0253,379,222,601,2177,27.61%,12,571,583
"Judge, County Court at Law No. 3",0254,93,112,205,1550,13.23%,64,131,195
"Judge, County Court at Law No. 3",0255,525,648,1173,2482,47.26%,531,552,1083
"Judge, County Court at Law No. 3",0256,575,449,1024,3254,31.47%,482,484,966
"Judge, County Court at Law No. 3",0257,204,245,449,2523,17.80%,132,292,424
"Judge, County Court at Law No. 3",0258,839,800,1539,3322,49.34%,1170,353,1523
"Judge, County Court at Law No. 3",0259,555,382,1038,2361,43.96%,23,985,1008
"Judge, County Court at Law No. 3",0260,152,145,307,1260,24.37%,182,106,288
"Judge, County Court at Law No. 3",0261,124,120,244,1417,17.22%,102,131,233
"Judge, County Court at Law No. 3",0262,758,600,1358,4397,30.88%,846,434,1280
"Judge, County Court at Law No. 3",0263,858,712,1570,3693,42.51%,1203,307,1510
"Judge, County Court at Law No. 3",0264,480,457,937,2963,31.62%,581,295,876
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0265,988,759,1747,3584,48.74%,1274,352,1626
"Judge, County Court at Law No. 3",0266,259,257,516,2104,24.52%,252,232,484
"Judge, County Court at Law No. 3",0267,146,166,312,1327,23.51%,163,128,291
"Judge, County Court at Law No. 3",0268,435,717,1152,2493,46.21%,643,382,1025
"Judge, County Court at Law No. 3",0269,702,453,1155,2030,56.90%,892,192,1084
"Judge, County Court at Law No. 3",0270,817,672,1489,3605,41.30%,826,580,1406
"Judge, County Court at Law No. 3",0271,656,382,1038,2518,41.22%,27,994,1021
"Judge, County Court at Law No. 3",0272,264,292,556,2162,25.72%,221,306,527
"Judge, County Court at Law No. 3",0273,548,689,1237,2470,50.08%,978,195,1173
"Judge, County Court at Law No. 3",0274,588,346,934,2153,43.38%,625,248,873
"Judge, County Court at Law No. 3",0275,207,236,443,1850,23.95%,103,324,427
"Judge, County Court at Law No. 3",0276,572,231,803,2536,31.66%,8,777,785
"Judge, County Court at Law No. 3",0277,170,186,356,1492,23.86%,166,175,341
"Judge, County Court at Law No. 3",0278,421,320,741,2454,30.20%,407,302,709
"Judge, County Court at Law No. 3",0279,250,223,473,1941,24.37%,282,171,453
"Judge, County Court at Law No. 3",0280,130,188,318,1524,20.87%,132,166,298
"Judge, County Court at Law No. 3",0281,655,742,1397,2633,53.06%,619,637,1256
"Judge, County Court at Law No. 3",0282,314,455,769,2042,37.66%,486,239,725
"Judge, County Court at Law No. 3",0283,0,0,0,0,0.00%,0,0,0
