Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Newell,"LIB William Bryan Strange, |||",GRN George Joseph Altgelt,Totals
"Judge, Court of Criminal Appeals, Place 9",0650,906,766,1672,3888,43.00%,1286,103,71,1460
"Judge, Court of Criminal Appeals, Place 9",0651,963,766,1729,5128,33.72%,1171,135,105,1411
"Judge, Court of Criminal Appeals, Place 9",0652,467,515,982,2815,34.88%,225,149,97,471
"Judge, Court of Criminal Appeals, Place 9",0653,0,4,4,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0654,950,1005,1955,6208,31.49%,1181,166,136,1483
"Judge, Court of Criminal Appeals, Place 9",0655,1115,1079,2195,6855,32.02%,1418,193,141,1752
"Judge, Court of Criminal Appeals, Place 9",0656,579,393,972,2674,36.35%,58,99,50,207
"Judge, Court of Criminal Appeals, Place 9",0657,247,172,419,1292,32.43%,189,43,29,261
"Judge, Court of Criminal Appeals, Place 9",0658,540,426,966,2807,34.41%,659,72,45,776
"Judge, Court of Criminal Appeals, Place 9",0659,1150,788,1938,4856,39.91%,1448,130,92,1670
"Judge, Court of Criminal Appeals, Place 9",0660,950,825,1775,5372,33.04%,240,316,149,705
"Judge, Court of Criminal Appeals, Place 9",0661,675,765,1440,4567,31.53%,897,125,124,1146
"Judge, Court of Criminal Appeals, Place 9",0662,1148,890,2038,4874,41.81%,1699,71,60,1830
"Judge, Court of Criminal Appeals, Place 9",0663,719,797,1516,3346,45.31%,811,160,204,1175
"Judge, Court of Criminal Appeals, Place 9",0664,352,250,602,2869,20.98%,177,41,37,255
"Judge, Court of Criminal Appeals, Place 9",0665,484,348,832,2154,38.63%,718,41,16,775
"Judge, Court of Criminal Appeals, Place 9",0666,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0667,488,502,990,2149,46.07%,797,41,39,877
"Judge, Court of Criminal Appeals, Place 9",0668,399,509,908,2775,32.72%,610,95,54,759
"Judge, Court of Criminal Appeals, Place 9",0669,850,738,1588,3425,46.36%,1187,106,82,1375
"Judge, Court of Criminal Appeals, Place 9",0670,957,471,1428,2983,47.87%,1159,70,71,1300
"Judge, Court of Criminal Appeals, Place 9",0671,403,565,968,3037,31.87%,637,102,61,800
"Judge, Court of Criminal Appeals, Place 9",0672,960,862,1822,5706,31.93%,1294,157,77,1528
"Judge, Court of Criminal Appeals, Place 9",0673,729,516,1245,2995,41.57%,1019,44,38,1101
"Judge, Court of Criminal Appeals, Place 9",0674,1071,618,1689,4091,41.29%,1284,108,76,1468
"Judge, Court of Criminal Appeals, Place 9",0675,0,1,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0676,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0677,127,127,254,1266,20.06%,107,19,20,146
"Judge, Court of Criminal Appeals, Place 9",0678,166,108,274,735,37.28%,186,20,15,221
"Judge, Court of Criminal Appeals, Place 9",0679,635,520,1155,3381,34.16%,911,57,39,1007
"Judge, Court of Criminal Appeals, Place 9",0680,21,14,35,162,21.60%,16,4,9,29
"Judge, Court of Criminal Appeals, Place 9",0681,1,0,1,5,20.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0682,711,654,1365,4216,32.38%,1044,81,54,1179
"Judge, Court of Criminal Appeals, Place 9",0683,29,20,49,276,17.75%,12,2,10,24
"Judge, Court of Criminal Appeals, Place 9",0684,28,22,50,223,22.42%,26,9,7,42
"Judge, Court of Criminal Appeals, Place 9",0685,110,29,139,307,45.28%,68,8,8,84
"Judge, Court of Criminal Appeals, Place 9",0686,17,12,29,208,13.94%,12,7,4,23
"Judge, Court of Criminal Appeals, Place 9",0687,549,537,1086,2609,41.63%,769,85,69,923
"Judge, Court of Criminal Appeals, Place 9",0688,999,617,1616,3504,46.12%,1326,60,75,1461
"Judge, Court of Criminal Appeals, Place 9",0689,211,387,598,2346,25.49%,331,52,58,441
"Judge, Court of Criminal Appeals, Place 9",0690,926,1104,2030,5102,39.79%,1689,117,56,1862
"Judge, Court of Criminal Appeals, Place 9",0691,2,5,7,25,28.00%,4,1,0,5
