Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Newell,"LIB William Bryan Strange, |||",GRN George Joseph Altgelt,Totals
"Judge, Court of Criminal Appeals, Place 9",1047,255,186,441,1568,28.13%,183,63,35,281
"Judge, Court of Criminal Appeals, Place 9",1048,1,0,1,17,5.88%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",1049,14,45,59,290,20.34%,22,4,3,29
"Judge, Court of Criminal Appeals, Place 9",1050,60,63,123,537,22.91%,40,14,8,62
"Judge, Court of Criminal Appeals, Place 9",1051,0,31,31,0,0.00%,18,5,5,28
"Judge, Court of Criminal Appeals, Place 9",1052,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1053,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1054,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1055,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1056,4,2,6,8,75.00%,2,0,2,4
"Judge, Court of Criminal Appeals, Place 9",1057,7,9,16,118,13.56%,2,3,1,6
"Judge, Court of Criminal Appeals, Place 9",1058,241,285,526,1243,42.32%,118,77,39,234
"Judge, Court of Criminal Appeals, Place 9",1059,3,3,6,28,21.43%,2,0,0,2
"Judge, Court of Criminal Appeals, Place 9",1060,5,2,7,42,16.67%,5,0,0,5
"Judge, Court of Criminal Appeals, Place 9",1061,332,184,516,1716,30.07%,292,57,33,382
"Judge, Court of Criminal Appeals, Place 9",1062,17,6,23,201,11.44%,5,7,1,13
"Judge, Court of Criminal Appeals, Place 9",1063,66,59,125,857,14.59%,23,16,12,51
"Judge, Court of Criminal Appeals, Place 9",1064,25,11,36,119,30.25%,31,3,1,35
"Judge, Court of Criminal Appeals, Place 9",1065,1,0,1,28,3.57%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1066,72,0,72,229,31.44%,7,4,4,15
"Judge, Court of Criminal Appeals, Place 9",1067,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1068,22,8,30,121,24.79%,12,2,2,16
"Judge, Court of Criminal Appeals, Place 9",1069,434,256,690,2580,26.74%,336,86,71,493
"Judge, Court of Criminal Appeals, Place 9",Totals;,379077,308736,687813,2044361,,379654,62143,51816,493613
