Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Boyd,DEM Gina Benavides,LIB Don Fulton,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 7",0190,120,177,297,1723,17.24%,114,161,9,2,286
"Justice, Supreme Court, Place 7",0191,79,126,205,1366,15.01%,83,114,2,4,203
"Justice, Supreme Court, Place 7",0192,381,225,808,1959,30.93%,26,558,5,3,592
"Justice, Supreme Court, Place 7",0193,173,187,360,1074,33.52%,10,336,2,3,351
"Justice, Supreme Court, Place 7",0194,351,431,782,1912,40.90%,215,508,20,15,758
"Justice, Supreme Court, Place 7",0195,269,278,547,1694,32.29%,19,509,5,2,535
"Justice, Supreme Court, Place 7",0196,52,32,84,316,26.58%,5,74,2,0,81
"Justice, Supreme Court, Place 7",0197,543,309,852,2914,29.24%,13,813,7,3,836
"Justice, Supreme Court, Place 7",0198,53,74,127,642,19.78%,1,123,2,0,126
"Justice, Supreme Court, Place 7",0199,812,661,1473,3216,45.80%,1109,259,49,12,1429
"Justice, Supreme Court, Place 7",0200,962,536,1498,3382,44.29%,625,747,30,15,1417
"Justice, Supreme Court, Place 7",0201,98,87,185,724,25.55%,2,176,2,2,182
"Justice, Supreme Court, Place 7",0202,217,189,406,1464,27.73%,12,380,3,5,400
"Justice, Supreme Court, Place 7",0203,107,68,175,960,18.23%,35,125,2,4,166
"Justice, Supreme Court, Place 7",0204,817,784,1601,3487,45.91%,844,604,53,18,1519
"Justice, Supreme Court, Place 7",0205,465,171,636,1664,38.22%,15,605,6,2,628
"Justice, Supreme Court, Place 7",0206,364,462,826,2779,29.72%,215,545,28,15,803
"Justice, Supreme Court, Place 7",0207,265,261,526,1188,44.28%,139,357,11,5,512
"Justice, Supreme Court, Place 7",0208,322,262,584,2195,26.61%,170,384,9,2,565
"Justice, Supreme Court, Place 7",0209,0,2,2,0,0.00%,2,0,0,0,2
"Justice, Supreme Court, Place 7",0210,502,467,969,2533,38.26%,97,836,13,7,953
"Justice, Supreme Court, Place 7",0211,307,386,693,2914,23.78%,249,398,15,9,671
"Justice, Supreme Court, Place 7",0212,95,155,251,1300,19.31%,51,186,3,3,243
"Justice, Supreme Court, Place 7",0213,826,913,1739,3350,51.91%,1340,313,20,2,1675
"Justice, Supreme Court, Place 7",0214,404,491,895,1854,48.27%,537,301,23,5,866
"Justice, Supreme Court, Place 7",0215,423,711,1134,2258,50.22%,630,410,35,15,1090
"Justice, Supreme Court, Place 7",0216,362,223,585,1945,30.08%,37,529,2,2,570
"Justice, Supreme Court, Place 7",0217,844,631,1475,2678,55.08%,930,455,27,3,1415
"Justice, Supreme Court, Place 7",0218,392,402,794,2292,34.64%,220,509,14,12,755
"Justice, Supreme Court, Place 7",0219,497,436,933,2767,33.72%,44,855,4,3,906
"Justice, Supreme Court, Place 7",0220,325,187,512,2310,22.16%,360,123,8,4,495
"Justice, Supreme Court, Place 7",0221,332,369,701,2529,27.72%,277,377,11,4,669
"Justice, Supreme Court, Place 7",0222,623,674,1297,2501,51.86%,540,667,12,10,1229
"Justice, Supreme Court, Place 7",0223,563,377,940,3582,26.24%,242,630,25,14,911
"Justice, Supreme Court, Place 7",0224,531,456,987,2238,44.10%,424,484,21,9,938
"Justice, Supreme Court, Place 7",0225,375,405,781,3305,23.63%,380,362,16,4,762
"Justice, Supreme Court, Place 7",0226,227,307,534,2436,21.92%,112,383,14,3,512
"Justice, Supreme Court, Place 7",0227,558,423,981,1785,54.96%,711,213,11,4,939
"Justice, Supreme Court, Place 7",0228,362,195,557,1050,53.05%,20,508,11,4,543
"Justice, Supreme Court, Place 7",0229,31,96,127,815,15.58%,58,58,4,1,121
"Justice, Supreme Court, Place 7",0230,185,116,301,1089,27.64%,5,285,5,2,297
"Justice, Supreme Court, Place 7",0231,233,264,497,2232,22.27%,117,349,4,7,477
"Justice, Supreme Court, Place 7",0232,361,474,835,1760,47.44%,431,351,13,9,804
"Justice, Supreme Court, Place 7",0233,892,801,1693,4445,38.09%,751,798,47,17,1613
"Justice, Supreme Court, Place 7",0234,1192,913,2105,3993,52.72%,1567,427,19,6,2019
"Justice, Supreme Court, Place 7",0235,240,158,398,1356,29.35%,13,370,5,2,390
"Justice, Supreme Court, Place 7",0236,354,235,589,2079,28.33%,8,555,4,8,575
"Justice, Supreme Court, Place 7",0237,417,253,670,2161,31.00%,13,640,3,2,658
"Justice, Supreme Court, Place 7",0238,340,245,585,1925,30.39%,18,549,2,4,573
"Justice, Supreme Court, Place 7",0239,383,236,619,1964,31.52%,21,584,1,3,609
"Justice, Supreme Court, Place 7",0240,585,243,828,2649,31.26%,21,784,4,2,811
"Justice, Supreme Court, Place 7",0241,222,229,451,2372,19.01%,181,249,3,1,434
"Justice, Supreme Court, Place 7",0242,173,162,335,1596,20.99%,188,122,7,6,323
"Justice, Supreme Court, Place 7",0243,138,43,181,457,39.61%,3,176,0,2,181
"Justice, Supreme Court, Place 7",0244,480,425,905,311,7,29.03%,492,350,24,4,870
"Justice, Supreme Court, Place 7",0245,946,799,1745,5828,29.94%,1183,469,44,15,1711
"Justice, Supreme Court, Place 7",0246,584,513,1197,3315,36.11%,841,298,26,2,1167
"Justice, Supreme Court, Place 7",0247,173,254,427,1582,26.99%,16,401,2,2,421
"Justice, Supreme Court, Place 7",0248,161,167,328,2100,15.62%,87,218,12,1,318
"Justice, Supreme Court, Place 7",0249,461,348,809,2719,29.75%,552,214,17,5,788
"Justice, Supreme Court, Place 7",0250,109,164,273,964,28.32%,9,258,2,1,270
"Justice, Supreme Court, Place 7",0251,278,436,714,2089,34.18%,25,670,1,6,702
"Justice, Supreme Court, Place 7",0252,504,312,816,2377,34.33%,17,780,2,2,801
"Justice, Supreme Court, Place 7",0253,379,222,601,2177,27.61%,8,571,3,5,587
"Justice, Supreme Court, Place 7",0254,93,112,205,1550,13.23%,60,137,1,2,200
"Justice, Supreme Court, Place 7",0255,526,648,1174,2482,47.30%,509,586,23,5,1123
"Justice, Supreme Court, Place 7",0256,575,449,1024,3254,31.47%,465,477,18,14,974
"Justice, Supreme Court, Place 7",0257,204,245,449,2523,17.80%,125,299,6,1,431
"Justice, Supreme Court, Place 7",0258,840,800,1540,3322,49.37%,1145,388,31,8,1572
"Justice, Supreme Court, Place 7",0259,555,382,1038,2361,43.96%,26,982,6,3,1017
"Justice, Supreme Court, Place 7",0260,162,145,307,1260,24.37%,175,107,7,2,291
"Justice, Supreme Court, Place 7",0261,124,120,244,1417,17.22%,100,130,2,2,234
"Justice, Supreme Court, Place 7",0262,758,600,1358,4397,30.88%,808,450,44,9,1311
"Justice, Supreme Court, Place 7",0263,858,712,1570,3693,42.51%,1181,325,28,5,1539
"Justice, Supreme Court, Place 7",0264,482,457,939,2963,31.69%,562,307,32,7,908
"Justice, Supreme Court, Place 7",0265,988,759,1747,3584,48.74%,1262,370,34,7,1673
"Justice, Supreme Court, Place 7",0266,259,257,516,2104,24.52%,249,234,5,5,493
"Justice, Supreme Court, Place 7",0267,146,166,312,1327,23.51%,151,133,10,4,298
"Justice, Supreme Court, Place 7",0268,435,717,1152,2493,46.21%,641,407,21,7,1076
