Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Boyd,DEM Gina Benavides,LIB Don Fulton,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 7",0615,480,299,779,1967,39.60%,475,263,18,3,759
"Justice, Supreme Court, Place 7",0616,739,663,1402,3436,40.80%,970,362,27,4,1363
"Justice, Supreme Court, Place 7",0617,541,393,934,3809,24.52%,378,526,14,3,921
"Justice, Supreme Court, Place 7",0618,946,567,1513,6003,25.20%,747,695,26,10,1478
"Justice, Supreme Court, Place 7",0619,1219,803,2022,4297,47.06%,1463,437,50,14,1964
"Justice, Supreme Court, Place 7",0620,689,264,953,2897,32.90%,587,324,9,5,925
"Justice, Supreme Court, Place 7",0621,154,101,255,1133,22.51%,127,104,11,3,245
"Justice, Supreme Court, Place 7",0622,881,524,1405,4403,31.91%,851,481,29,11,1372
"Justice, Supreme Court, Place 7",0623,887,487,1374,3691,37.23%,923,385,22,6,1336
"Justice, Supreme Court, Place 7",0624,1,1,2,3,66.67%,1,1,0,0,2
"Justice, Supreme Court, Place 7",0625,477,362,839,1820,46.10%,472,315,16,8,811
"Justice, Supreme Court, Place 7",0626,581,440,1021,2861,35.69%,546,408,20,9,983
"Justice, Supreme Court, Place 7",0627,346,322,668,3049,21.91%,238,390,8,8,644
"Justice, Supreme Court, Place 7",0628,152,219,371,1675,22.15%,184,170,7,1,362
"Justice, Supreme Court, Place 7",0629,37,53,90,696,12.93%,14,76,0,0,90
"Justice, Supreme Court, Place 7",0630,975,600,1575,3905,40.36%,111,1404,20,12,1547
"Justice, Supreme Court, Place 7",0631,822,404,1226,2846,43.08%,882,285,28,4,1199
"Justice, Supreme Court, Place 7",0632,7,4,11,343,3.21%,2,8,1,0,11
"Justice, Supreme Court, Place 7",0633,945,731,1676,3559,47.09%,1165,440,26,6,1637
"Justice, Supreme Court, Place 7",0634,458,442,900,3029,29.71%,582,270,26,5,883
"Justice, Supreme Court, Place 7",0635,743,485,1228,3393,36.19%,899,256,37,13,1205
"Justice, Supreme Court, Place 7",0636,835,874,1710,4140,41.30%,1482,170,23,3,1678
"Justice, Supreme Court, Place 7",0637,409,362,771,2512,30.69%,176,539,15,4,734
"Justice, Supreme Court, Place 7",0638,304,245,549,2204,24.91%,45,481,5,2,533
"Justice, Supreme Court, Place 7",0639,549,547,1096,2526,43.39%,851,176,31,7,1065
"Justice, Supreme Court, Place 7",0640,641,459,1100,3733,29.47%,676,370,28,4,1078
"Justice, Supreme Court, Place 7",0641,649,596,1245,3650,34.11%,833,357,23,7,1220
"Justice, Supreme Court, Place 7",0642,472,394,866,1764,49.09%,698,132,12,2,844
"Justice, Supreme Court, Place 7",0643,934,653,1587,5945,26.69%,606,905,30,9,1550
"Justice, Supreme Court, Place 7",0644,1020,823,1843,5523,33.37%,1186,545,41,12,1784
"Justice, Supreme Court, Place 7",0645,655,594,1249,4185,29.84%,653,520,35,10,1218
"Justice, Supreme Court, Place 7",0646,364,287,651,2220,29.32%,203,403,10,4,620
"Justice, Supreme Court, Place 7",0647,904,470,1374,6084,22.58%,382,860,13,8,1263
"Justice, Supreme Court, Place 7",0648,838,579,1417,3367,42.08%,997,357,23,6,1383
"Justice, Supreme Court, Place 7",0649,687,434,1121,4576,24.50%,357,694,17,5,1073
"Justice, Supreme Court, Place 7",0650,906,766,1672,3888,43.00%,1185,402,34,7,1628
"Justice, Supreme Court, Place 7",0651,963,766,1729,5128,33.72%,1078,553,37,11,1679
"Justice, Supreme Court, Place 7",0652,467,515,982,2815,34.88%,168,771,12,7,958
"Justice, Supreme Court, Place 7",0653,0,4,4,0,0.00%,0,4,0,0,4
"Justice, Supreme Court, Place 7",0654,950,1005,1955,6208,31.49%,1041,832,29,6,1908
"Justice, Supreme Court, Place 7",0655,1115,1079,2195,6855,32.02%,1331,734,60,17,2142
"Justice, Supreme Court, Place 7",0656,579,393,972,2674,36.35%,40,902,4,6,952
"Justice, Supreme Court, Place 7",0657,247,172,419,1292,32.43%,165,236,8,2,411
"Justice, Supreme Court, Place 7",0658,540,426,966,2807,34.41%,617,305,17,7,946
"Justice, Supreme Court, Place 7",0659,1150,788,1938,4856,39.91%,1362,482,45,11,1900
"Justice, Supreme Court, Place 7",0660,950,825,1775,5372,33.04%,165,1565,11,6,1747
"Justice, Supreme Court, Place 7",0661,675,765,1440,4567,31.53%,820,539,24,16,1399
"Justice, Supreme Court, Place 7",0662,1148,890,2038,4874,41.81%,1618,342,27,7,1994
"Justice, Supreme Court, Place 7",0663,719,797,1515,3346,45.31%,710,683,34,15,1442
"Justice, Supreme Court, Place 7",0664,352,250,602,2869,20.98%,124,442,8,9,583
"Justice, Supreme Court, Place 7",0665,484,348,832,2154,38.63%,691,100,21,7,819
"Justice, Supreme Court, Place 7",0666,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0667,488,502,990,2149,46.07%,759,185,22,1,967
"Justice, Supreme Court, Place 7",0668,399,509,908,2775,32.72%,569,278,35,6,888
"Justice, Supreme Court, Place 7",0669,850,738,1588,3425,46.36%,1114,395,25,10,1544
"Justice, Supreme Court, Place 7",0670,957,471,1428,2983,47.87%,1101,256,29,6,1392
"Justice, Supreme Court, Place 7",0671,403,565,968,3037,31.87%,585,332,24,5,946
"Justice, Supreme Court, Place 7",0672,960,862,1822,5706,31.93%,1216,525,43,7,1791
"Justice, Supreme Court, Place 7",0673,729,516,1245,2995,41.57%,973,206,21,6,1206
"Justice, Supreme Court, Place 7",0674,1071,618,1689,4091,41.29%,1240,361,33,15,1649
"Justice, Supreme Court, Place 7",0675,0,1,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 7",0676,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0677,127,127,254,1266,20.06%,90,147,6,1,244
"Justice, Supreme Court, Place 7",0678,166,108,274,735,37.28%,167,79,11,3,260
"Justice, Supreme Court, Place 7",0679,635,520,1155,3381,34.16%,859,235,20,3,1117
"Justice, Supreme Court, Place 7",0680,21,14,35,162,21.60%,13,19,1,2,35
"Justice, Supreme Court, Place 7",0681,1,0,1,5,20.00%,1,0,0,0,1
"Justice, Supreme Court, Place 7",0682,711,654,1365,4216,32.38%,991,315,25,4,1335
"Justice, Supreme Court, Place 7",0683,29,20,49,276,17.75%,10,35,0,1,46
"Justice, Supreme Court, Place 7",0684,28,22,50,223,22.42%,24,22,2,0,48
"Justice, Supreme Court, Place 7",0685,110,29,139,307,45.28%,62,67,2,1,132
"Justice, Supreme Court, Place 7",0686,17,12,29,208,13.94%,9,17,3,0,29
"Justice, Supreme Court, Place 7",0687,549,537,1086,2609,41.63%,722,283,28,7,1040
"Justice, Supreme Court, Place 7",0688,999,617,1616,3504,46.12%,1271,268,26,10,1575
"Justice, Supreme Court, Place 7",0689,211,387,598,2346,25.49%,298,270,13,4,585
"Justice, Supreme Court, Place 7",0690,926,1104,2030,5102,39.79%,1616,322,46,6,1990
"Justice, Supreme Court, Place 7",0691,2,5,7,25,28.00%,3,4,0,0,7
"Justice, Supreme Court, Place 7",0692,444,548,992,2847,34.84%,736,208,26,5,975
"Justice, Supreme Court, Place 7",0693,167,91,258,666,38.74%,69,173,10,0,252
"Justice, Supreme Court, Place 7",0694,260,120,380,845,44.97%,255,103,5,3,366
"Justice, Supreme Court, Place 7",0695,232,193,425,1724,24.65%,262,139,11,3,415
"Justice, Supreme Court, Place 7",0696,261,207,468,1982,23.61%,298,146,12,2,458
"Justice, Supreme Court, Place 7",0697,605,613,1218,4413,27.60%,301,867,11,10,1189
"Justice, Supreme Court, Place 7",0698,448,489,937,3189,29.38%,96,806,10,4,916
"Justice, Supreme Court, Place 7",0699,568,414,982,2343,41.91%,632,282,19,5,938
"Justice, Supreme Court, Place 7",0700,255,251,506,1371,36.91%,420,60,7,5,492
"Justice, Supreme Court, Place 7",0701,56,43,99,588,16.84%,61,30,1,2,94
"Justice, Supreme Court, Place 7",0702,54,70,134,539,24.86%,17,112,2,1,132
"Justice, Supreme Court, Place 7",0703,372,490,862,1882,45.80%,607,202,22,5,836
"Justice, Supreme Court, Place 7",0704,569,599,1168,3064,38.12%,941,177,18,4,1140
"Justice, Supreme Court, Place 7",0705,114,113,227,1523,14.90%,31,186,4,1,222
"Justice, Supreme Court, Place 7",0706,115,71,186,610,30.49%,91,85,2,3,181
"Justice, Supreme Court, Place 7",0707,153,86,239,707,33.80%,151,71,7,1,230
"Justice, Supreme Court, Place 7",0708,54,52,106,563,18.83%,49,51,3,1,104
"Justice, Supreme Court, Place 7",0709,1375,947,2322,6848,33.91%,1373,841,59,10,2283
"Justice, Supreme Court, Place 7",0710,371,462,833,2082,40.01%,431,334,28,6,799
"Justice, Supreme Court, Place 7",0711,703,506,1209,3484,34.70%,705,429,21,10,1165
"Justice, Supreme Court, Place 7",0712,491,463,954,3670,25.99%,393,516,20,9,938
"Justice, Supreme Court, Place 7",0713,228,262,490,1907,25.69%,241,219,15,3,478
"Justice, Supreme Court, Place 7",0714,35,19,55,296,18.58%,30,21,2,0,53
"Justice, Supreme Court, Place 7",0715,176,187,363,1408,25.78%,205,141,3,0,349
"Justice, Supreme Court, Place 7",0716,449,407,856,2680,31.94%,596,220,21,6,843
"Justice, Supreme Court, Place 7",0717,373,250,623,2002,31.12%,73,535,2,3,613
"Justice, Supreme Court, Place 7",0718,1017,806,1823,4229,43.11%,1260,451,38,9,1758
"Justice, Supreme Court, Place 7",0719,247,137,384,1589,24.17%,234,132,9,1,376
"Justice, Supreme Court, Place 7",0720,995,780,1775,4282,41.45%,1310,371,40,6,1727
"Justice, Supreme Court, Place 7",0721,754,532,1286,2870,44.81%,814,397,27,5,1243
"Justice, Supreme Court, Place 7",0722,873,494,1367,4479,30.52%,96,1221,11,8,1336
"Justice, Supreme Court, Place 7",0723,401,202,603,1858,32.45%,127,449,6,6,588
"Justice, Supreme Court, Place 7",0724,151,128,279,766,36.42%,209,59,4,1,273
"Justice, Supreme Court, Place 7",0725,423,237,660,2237,29.50%,302,330,9,3,644
"Justice, Supreme Court, Place 7",0726,592,402,994,2087,47.63%,855,104,15,3,977
"Justice, Supreme Court, Place 7",0727,338,290,628,2488,25.24%,197,380,16,6,599
"Justice, Supreme Court, Place 7",0728,209,151,360,880,40.91%,211,128,10,0,349
"Justice, Supreme Court, Place 7",0729,136,59,195,464,42.03%,121,69,1,2,193
"Justice, Supreme Court, Place 7",0730,428,359,787,1747,45.05%,501,230,16,6,753
"Justice, Supreme Court, Place 7",0731,58,27,85,352,24.15%,25,58,1,0,84
"Justice, Supreme Court, Place 7",0732,441,324,765,1924,39.76%,459,243,30,4,736
"Justice, Supreme Court, Place 7",0733,13,7,20,215,9.30%,7,10,2,0,19
"Justice, Supreme Court, Place 7",0734,1558,962,2520,7005,35.97%,1722,698,36,13,2469
"Justice, Supreme Court, Place 7",0735,6,0,8,18,33.33%,6,0,0,0,6
"Justice, Supreme Court, Place 7",0736,3,1,4,22,18.18%,0,3,0,1,4
"Justice, Supreme Court, Place 7",0737,11,7,18,51,35.29%,13,5,0,0,18
"Justice, Supreme Court, Place 7",0738,139,100,239,1361,17.56%,46,182,4,0,232
"Justice, Supreme Court, Place 7",0739,353,301,654,2955,22.13%,336,279,11,7,633
"Justice, Supreme Court, Place 7",0740,96,98,194,939,20.66%,123,59,3,2,187
"Justice, Supreme Court, Place 7",0741,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 7",0742,0,11,11,0,0.00%,6,5,0,0,11
"Justice, Supreme Court, Place 7",0743,15,18,33,210,15.71%,16,14,0,0,30
"Justice, Supreme Court, Place 7",0744,456,392,848,2027,41.84%,524,278,15,4,821
"Justice, Supreme Court, Place 7",0745,683,372,1055,2494,42.30%,626,369,24,7,1026
"Justice, Supreme Court, Place 7",0746,114,77,191,691,27.64%,85,92,5,6,188
"Justice, Supreme Court, Place 7",0747,551,467,1018,3743,27.20%,473,484,29,10,996
"Justice, Supreme Court, Place 7",0748,172,140,312,1403,22.24%,158,131,14,5,308
"Justice, Supreme Court, Place 7",0749,30,17,47,377,12.47%,9,37,0,0,46
"Justice, Supreme Court, Place 7",0750,111,96,207,767,26.99%,125,75,5,0,205
"Justice, Supreme Court, Place 7",0751,925,964,1889,5084,37.16%,1233,546,52,10,1841
"Justice, Supreme Court, Place 7",0752,286,200,486,1483,32.77%,359,98,11,1,469
"Justice, Supreme Court, Place 7",0753,55,73,128,259,49.42%,79,41,5,0,125
"Justice, Supreme Court, Place 7",0754,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0755,442,584,1026,4294,23.89%,434,531,16,8,989
"Justice, Supreme Court, Place 7",0756,251,177,428,1600,26.75%,172,236,8,0,416
"Justice, Supreme Court, Place 7",0757,520,508,1028,4035,25.48%,178,803,8,14,1003
"Justice, Supreme Court, Place 7",0758,1114,692,1806,4096,44.09%,1418,301,43,10,1772
"Justice, Supreme Court, Place 7",0759,465,413,878,2730,32.16%,542,286,20,5,853
"Justice, Supreme Court, Place 7",0760,1432,639,2071,4367,47.42%,1696,279,35,6,2016
"Justice, Supreme Court, Place 7",0761,548,253,801,1550,51.68%,532,219,22,2,775
"Justice, Supreme Court, Place 7",0762,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0763,108,146,254,1212,20.96%,97,142,7,1,247
"Justice, Supreme Court, Place 7",0764,1133,774,1907,5217,36.55%,1191,635,29,11,1866
"Justice, Supreme Court, Place 7",0765,648,426,1074,4055,26.49%,422,574,35,11,1042
"Justice, Supreme Court, Place 7",0766,40,25,65,392,16.58%,16,43,1,0,60
"Justice, Supreme Court, Place 7",0767,10,2,12,86,13.95%,6,6,0,0,12
"Justice, Supreme Court, Place 7",0768,1359,1015,2374,5857,40.53%,1903,372,46,8,2329
"Justice, Supreme Court, Place 7",0769,54,16,70,183,38.25%,3,63,1,0,67
"Justice, Supreme Court, Place 7",0770,31,25,56,323,17.34%,23,28,3,0,54
"Justice, Supreme Court, Place 7",0771,324,254,578,2426,23.83%,325,212,18,5,560
"Justice, Supreme Court, Place 7",0772,1792,851,2643,5709,46.30%,1975,521,54,11,2561
"Justice, Supreme Court, Place 7",0773,473,312,785,2918,26.90%,218,501,9,5,733
"Justice, Supreme Court, Place 7",0774,30,41,71,378,18.78%,17,51,1,0,69
"Justice, Supreme Court, Place 7",0775,18,3,21,92,22.83%,0,20,1,0,21
"Justice, Supreme Court, Place 7",0776,551,496,1047,3053,34.29%,599,376,31,7,1013
"Justice, Supreme Court, Place 7",0777,46,40,86,652,13.19%,32,53,0,0,85
"Justice, Supreme Court, Place 7",0778,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0779,64,51,115,940,12.23%,42,67,1,0,110
"Justice, Supreme Court, Place 7",0780,63,59,122,595,20.50%,73,45,0,1,119
"Justice, Supreme Court, Place 7",0781,666,273,939,3603,26.06%,408,421,19,7,855
"Justice, Supreme Court, Place 7",0782,368,370,738,2236,33.01%,456,248,19,3,726
"Justice, Supreme Court, Place 7",0783,49,13,62,294,21.09%,44,13,2,2,61
"Justice, Supreme Court, Place 7",0784,208,128,336,1079,31.14%,6,317,1,0,324
"Justice, Supreme Court, Place 7",0785,28,25,53,296,17.91%,29,23,1,0,53
"Justice, Supreme Court, Place 7",0786,100,98,198,1251,15.83%,69,119,4,3,195
"Justice, Supreme Court, Place 7",0787,46,52,98,488,20.08%,36,59,0,0,95
"Justice, Supreme Court, Place 7",0788,74,32,106,454,23.35%,46,52,4,3,105
"Justice, Supreme Court, Place 7",0789,0,3,3,3,100.00%,0,3,0,0,3
"Justice, Supreme Court, Place 7",0790,0,0,0,3,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0791,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0792,269,239,508,1865,27.24%,118,360,12,2,492
"Justice, Supreme Court, Place 7",0793,448,247,695,2484,27.98%,396,254,22,5,677
"Justice, Supreme Court, Place 7",0794,124,144,268,2710,9.89%,26,224,6,3,259
"Justice, Supreme Court, Place 7",0795,90,125,215,1217,17.67%,73,128,3,1,205
"Justice, Supreme Court, Place 7",0796,83,51,134,476,28.15%,75,51,4,0,130
"Justice, Supreme Court, Place 7",0797,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0798,99,111,210,500,42.00%,75,118,7,5,205
"Justice, Supreme Court, Place 7",0799,28,15,43,161,26.71%,7,35,1,0,43
"Justice, Supreme Court, Place 7",0800,588,642,1230,2932,41.95%,813,346,20,8,1187
"Justice, Supreme Court, Place 7",0801,32,14,46,258,17.83%,14,27,2,0,43
"Justice, Supreme Court, Place 7",0802,51,27,78,312,25.00%,15,58,2,3,78
"Justice, Supreme Court, Place 7",0803,725,511,1236,2893,42.72%,889,288,25,10,1212
"Justice, Supreme Court, Place 7",0804,933,591,1524,4768,31.96%,942,507,39,6,1494
"Justice, Supreme Court, Place 7",0805,765,533,1298,2866,45.29%,1029,201,31,9,1270
"Justice, Supreme Court, Place 7",0806,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0807,211,204,415,2028,20.46%,87,295,19,7,408
"Justice, Supreme Court, Place 7",0808,12,17,29,131,22.14%,6,22,0,1,29
"Justice, Supreme Court, Place 7",0809,7,6,13,92,14.13%,5,6,0,0,11
"Justice, Supreme Court, Place 7",0810,9,16,25,211,11.85%,7,17,0,0,24
"Justice, Supreme Court, Place 7",0811,29,50,79,270,29.26%,24,52,1,0,77
"Justice, Supreme Court, Place 7",0812,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0813,938,761,1699,5807,29.26%,817,803,41,7,1668
"Justice, Supreme Court, Place 7",0814,673,533,1206,5102,23.64%,297,853,17,12,1179
"Justice, Supreme Court, Place 7",0815,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0816,10,0,10,73,13.70%,3,7,0,0,10
"Justice, Supreme Court, Place 7",0817,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0818,88,39,125,616,20.29%,28,91,0,1,120
"Justice, Supreme Court, Place 7",0819,64,30,94,240,39.17%,52,34,2,1,89
"Justice, Supreme Court, Place 7",0820,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0821,124,120,244,1242,19.65%,30,202,1,4,237
"Justice, Supreme Court, Place 7",0822,332,167,499,1535,32.51%,15,469,2,3,489
"Justice, Supreme Court, Place 7",0823,821,564,1385,5087,27.23%,790,534,25,9,1358
"Justice, Supreme Court, Place 7",0824,428,282,710,2700,26.30%,160,514,11,8,693
"Justice, Supreme Court, Place 7",0825,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0826,73,50,123,358,34.36%,58,58,1,0,117
"Justice, Supreme Court, Place 7",0827,60,98,158,979,16.14%,67,81,2,4,154
"Justice, Supreme Court, Place 7",0828,541,388,929,1916,48.49%,726,150,24,5,905
"Justice, Supreme Court, Place 7",0829,54,22,76,264,28.79%,18,56,2,0,76
"Justice, Supreme Court, Place 7",0830,0,0,0,2,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0831,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0832,34,28,62,352,17.61%,16,39,3,0,58
"Justice, Supreme Court, Place 7",0833,0,1,1,20,5.00%,0,1,0,0,1
"Justice, Supreme Court, Place 7",0834,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0835,38,19,57,290,19.66%,14,38,1,0,53
"Justice, Supreme Court, Place 7",0836,3,0,3,19,15.79%,1,2,0,0,3
"Justice, Supreme Court, Place 7",0837,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0838,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0839,136,118,254,1128,22.52%,47,182,15,3,247
"Justice, Supreme Court, Place 7",0840,381,174,555,1705,32.55%,196,338,5,4,543
"Justice, Supreme Court, Place 7",0841,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0842,421,434,855,3259,26.24%,392,421,12,8,833
"Justice, Supreme Court, Place 7",0843,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 7",0844,1,0,1,11,9.09%,0,1,0,0,1
"Justice, Supreme Court, Place 7",0845,54,9,63,134,47.01%,41,20,0,0,61
"Justice, Supreme Court, Place 7",0846,23,24,47,229,20.52%,2,44,1,0,47
"Justice, Supreme Court, Place 7",0847,306,211,517,2015,25.66%,130,364,8,6,508
"Justice, Supreme Court, Place 7",0848,489,266,755,1856,40.68%,219,498,7,7,731
"Justice, Supreme Court, Place 7",0849,201,291,492,2124,23.16%,181,289,8,3,481
"Justice, Supreme Court, Place 7",0850,45,41,87,210,41.43%,31,52,1,2,86
"Justice, Supreme Court, Place 7",0851,1029,657,1686,4709,35.80%,1119,476,36,12,1643
"Justice, Supreme Court, Place 7",0852,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0853,575,620,1296,2882,44.97%,981,251,20,2,1254
"Justice, Supreme Court, Place 7",0854,15,26,41,172,23.84%,7,32,1,0,40
"Justice, Supreme Court, Place 7",0855,5,9,14,16,87.50%,4,8,0,1,13
"Justice, Supreme Court, Place 7",0856,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 7",0857,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0858,63,34,97,343,28.28%,3,90,0,0,93
"Justice, Supreme Court, Place 7",0859,157,106,263,890,29.55%,67,187,3,1,258
"Justice, Supreme Court, Place 7",0860,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0861,315,199,514,1842,27.90%,85,413,3,2,503
"Justice, Supreme Court, Place 7",0862,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0863,101,54,155,584,26.54%,12,142,0,0,154
"Justice, Supreme Court, Place 7",0864,193,299,492,2569,19.15%,135,328,8,4,475
"Justice, Supreme Court, Place 7",0865,2,3,5,21,23.81%,0,5,0,0,5
"Justice, Supreme Court, Place 7",0866,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0867,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0868,236,271,507,2326,21.80%,154,327,1,4,486
"Justice, Supreme Court, Place 7",0869,53,39,92,470,19.57%,17,69,4,0,90
"Justice, Supreme Court, Place 7",0870,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0871,1,0,1,3,33.33%,0,1,0,0,1
"Justice, Supreme Court, Place 7",0872,5,3,8,59,13.56%,4,4,0,0,8
"Justice, Supreme Court, Place 7",0873,98,75,173,737,23.47%,45,122,3,1,171
"Justice, Supreme Court, Place 7",0874,764,707,1471,3223,45.64%,1088,308,31,5,1432
"Justice, Supreme Court, Place 7",0875,905,527,1432,5147,27.82%,683,674,33,5,1395
"Justice, Supreme Court, Place 7",0876,698,641,1339,3265,41.01%,1015,277,16,6,1314
"Justice, Supreme Court, Place 7",0877,476,382,858,3032,28.30%,345,473,20,7,845
"Justice, Supreme Court, Place 7",0878,428,354,782,1666,46.94%,628,116,15,6,765
"Justice, Supreme Court, Place 7",0879,407,294,701,2667,26.28%,348,303,20,6,677
"Justice, Supreme Court, Place 7",0880,543,447,990,2352,42.09%,789,159,14,8,970
"Justice, Supreme Court, Place 7",0881,596,540,1136,4479,25.36%,381,713,15,7,1116
"Justice, Supreme Court, Place 7",0882,426,291,717,2422,29.60%,421,255,22,1,699
"Justice, Supreme Court, Place 7",0883,643,702,1345,5408,24.87%,228,1064,16,9,1317
"Justice, Supreme Court, Place 7",0884,57,25,82,377,21.75%,8,68,0,2,78
"Justice, Supreme Court, Place 7",0885,562,368,930,2619,35.51%,536,360,19,4,919
"Justice, Supreme Court, Place 7",0886,128,108,236,675,34.96%,125,96,6,1,228
"Justice, Supreme Court, Place 7",0887,51,67,118,418,28.23%,55,55,5,0,115
"Justice, Supreme Court, Place 7",0888,0,3,3,0,0.00%,2,1,0,0,3
"Justice, Supreme Court, Place 7",0889,14,0,14,57,24.56%,5,8,0,0,13
"Justice, Supreme Court, Place 7",0890,164,103,267,1095,24.38%,79,167,7,3,256
"Justice, Supreme Court, Place 7",0891,319,243,562,1331,42.22%,198,331,4,3,536
"Justice, Supreme Court, Place 7",0892,115,86,201,808,24.88%,65,111,14,4,194
"Justice, Supreme Court, Place 7",0893,0,2,2,6,33.33%,0,2,0,0,2
"Justice, Supreme Court, Place 7",0894,0,3,3,0,0.00%,2,1,0,0,3
"Justice, Supreme Court, Place 7",0895,155,286,442,793,55.74%,155,253,5,2,415
"Justice, Supreme Court, Place 7",0896,370,297,667,1459,45.72%,225,388,16,6,635
"Justice, Supreme Court, Place 7",0897,253,297,550,1701,32.33%,310,212,14,2,538
"Justice, Supreme Court, Place 7",0898,0,0,0,3,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0899,2,0,2,8,25.00%,0,2,0,0,2
"Justice, Supreme Court, Place 7",0900,0,2,2,10,20.00%,1,1,0,0,2
"Justice, Supreme Court, Place 7",0901,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0902,396,486,882,2139,41.23%,457,358,22,8,845
"Justice, Supreme Court, Place 7",0903,3,7,10,50,20.00%,3,6,0,0,9
"Justice, Supreme Court, Place 7",0904,1,0,1,7,14.29%,0,0,1,0,1
"Justice, Supreme Court, Place 7",0905,123,100,223,904,24.67%,100,114,3,0,217
"Justice, Supreme Court, Place 7",0906,8,6,14,25,56.00%,8,6,0,0,14
"Justice, Supreme Court, Place 7",0907,12,19,31,181,17.13%,6,25,0,0,31
"Justice, Supreme Court, Place 7",0908,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 7",0909,2,1,3,18,16.67%,0,3,0,0,3
"Justice, Supreme Court, Place 7",0910,25,24,49,217,22.58%,20,24,1,0,45
"Justice, Supreme Court, Place 7",0911,118,60,178,551,32.30%,118,48,1,4,171
"Justice, Supreme Court, Place 7",0912,316,201,517,1273,40.61%,333,151,12,1,497
"Justice, Supreme Court, Place 7",0913,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0914,169,179,348,701,49.64%,268,57,12,1,338
"Justice, Supreme Court, Place 7",0915,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0916,417,240,657,1491,44.06%,515,112,11,2,640
"Justice, Supreme Court, Place 7",0917,177,62,239,483,49.48%,155,68,7,0,230
"Justice, Supreme Court, Place 7",0918,304,168,472,883,53.45%,350,98,7,2,457
"Justice, Supreme Court, Place 7",0919,0,0,0,3,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0920,22,12,34,71,47.89%,23,10,0,0,33
"Justice, Supreme Court, Place 7",0921,32,15,47,119,39.50%,32,12,3,0,47
"Justice, Supreme Court, Place 7",0922,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0923,470,137,607,1511,40.17%,447,142,8,0,597
"Justice, Supreme Court, Place 7",0924,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0925,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0926,171,128,299,796,37.56%,217,68,7,0,292
"Justice, Supreme Court, Place 7",0927,44,30,74,270,27.41%,28,41,1,1,71
"Justice, Supreme Court, Place 7",0928,3,0,3,8,37.50%,0,3,0,0,3
