Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Lawrence Edward Meyers,LIB Mark Ash,Totals
"Justice, Supreme Court, Place 6, Unexpired Term",0543,141,213,354,1565,22.62%,130,207,6,343
"Justice, Supreme Court, Place 6, Unexpired Term",0544,35,41,77,310,24.84%,13,63,0,76
"Justice, Supreme Court, Place 6, Unexpired Term",0545,596,620,1216,3629,33.51%,626,532,27,1185
"Justice, Supreme Court, Place 6, Unexpired Term",0546,2,2,4,37,10.81%,3,0,0,3
"Justice, Supreme Court, Place 6, Unexpired Term",0547,501,466,967,2406,40.19%,671,225,42,938
"Justice, Supreme Court, Place 6, Unexpired Term",0548,286,293,579,2215,26.14%,303,253,13,569
"Justice, Supreme Court, Place 6, Unexpired Term",0549,343,418,761,2663,28.58%,109,629,4,742
"Justice, Supreme Court, Place 6, Unexpired Term",0550,501,431,932,3031,30.75%,536,353,17,906
"Justice, Supreme Court, Place 6, Unexpired Term",0551,1288,1,394,2682,7034,38.13%,2036,543,53,2632
"Justice, Supreme Court, Place 6, Unexpired Term",0552,847,883,1730,3415,50.66%,1444,228,23,1695
"Justice, Supreme Court, Place 6, Unexpired Term",0553,579,529,1108,4686,23.64%,509,545,29,1083
"Justice, Supreme Court, Place 6, Unexpired Term",0554,261,199,460,1757,26.18%,95,326,12,433
"Justice, Supreme Court, Place 6, Unexpired Term",0555,225,277,502,2219,22.62%,112,369,6,487
"Justice, Supreme Court, Place 6, Unexpired Term",0556,276,186,462,2319,19.92%,145,291,11,447
"Justice, Supreme Court, Place 6, Unexpired Term",0557,455,183,638,2830,22.54%,278,288,9,575
"Justice, Supreme Court, Place 6, Unexpired Term",0558,694,463,1157,4380,26.42%,415,676,35,1126
"Justice, Supreme Court, Place 6, Unexpired Term",0559,641,494,1135,4969,22.84%,332,732,38,1102
"Justice, Supreme Court, Place 6, Unexpired Term",0560,72,131,203,1120,18.13%,51,135,5,191
"Justice, Supreme Court, Place 6, Unexpired Term",0561,362,436,798,3064,26.04%,488,269,23,780
"Justice, Supreme Court, Place 6, Unexpired Term",0562,113,68,181,694,26.08%,26,146,5,177
"Justice, Supreme Court, Place 6, Unexpired Term",0563,1108,376,1484,3105,47.79%,1175,237,25,1437
"Justice, Supreme Court, Place 6, Unexpired Term",0564,471,426,897,3155,28.43%,243,593,36,872
"Justice, Supreme Court, Place 6, Unexpired Term",0565,108,78,186,1354,13.74%,44,128,4,176
"Justice, Supreme Court, Place 6, Unexpired Term",0566,418,324,742,2882,25.75%,232,469,28,729
"Justice, Supreme Court, Place 6, Unexpired Term",0567,301,193,494,2238,22.07%,170,279,10,459
"Justice, Supreme Court, Place 6, Unexpired Term",0568,876,685,1561,3594,43.43%,1037,423,42,1502
"Justice, Supreme Court, Place 6, Unexpired Term",0569,575,667,1242,3525,35.23%,676,487,29,1192
"Justice, Supreme Court, Place 6, Unexpired Term",0570,239,210,449,1562,28.75%,150,253,20,423
"Justice, Supreme Court, Place 6, Unexpired Term",0571,155,149,304,1827,16.64%,122,168,5,295
"Justice, Supreme Court, Place 6, Unexpired Term",0572,556,375,931,3108,29.95%,491,393,24,908
"Justice, Supreme Court, Place 6, Unexpired Term",0573,290,151,441,1619,27.24%,6,423,4,433
"Justice, Supreme Court, Place 6, Unexpired Term",0574,31,42,73,402,18.16%,11,60,2,73
"Justice, Supreme Court, Place 6, Unexpired Term",0575,13,11,24,74,32.43%,19,4,0,23
"Justice, Supreme Court, Place 6, Unexpired Term",0576,485,318,804,2734,29.41%,27,755,4,786
"Justice, Supreme Court, Place 6, Unexpired Term",0577,148,88,236,608,38.82%,143,84,2,229
"Justice, Supreme Court, Place 6, Unexpired Term",0578,409,538,947,1799,52.64%,599,297,19,915
"Justice, Supreme Court, Place 6, Unexpired Term",0579,75,101,177,1056,16.76%,32,134,3,169
"Justice, Supreme Court, Place 6, Unexpired Term",0580,179,118,297,1031,28.81%,4,284,1,289
"Justice, Supreme Court, Place 6, Unexpired Term",0581,212,174,386,1032,37.40%,9,368,2,379
"Justice, Supreme Court, Place 6, Unexpired Term",0582,258,171,429,1588,27.02%,21,390,3,414
"Justice, Supreme Court, Place 6, Unexpired Term",0583,225,131,356,1262,28.21%,14,332,3,349
"Justice, Supreme Court, Place 6, Unexpired Term",0584,182,93,275,1014,27.12%,11,258,1,270
"Justice, Supreme Court, Place 6, Unexpired Term",0585,417,172,589,2511,23.46%,16,563,3,582
"Justice, Supreme Court, Place 6, Unexpired Term",0586,638,680,1318,4316,30.54%,785,459,38,1282
"Justice, Supreme Court, Place 6, Unexpired Term",0587,439,284,723,2598,27.83%,289,408,12,709
"Justice, Supreme Court, Place 6, Unexpired Term",0588,758,674,1432,3645,39.29%,1013,341,43,1397
"Justice, Supreme Court, Place 6, Unexpired Term",0589,500,386,886,3420,25.91%,499,342,25,866
"Justice, Supreme Court, Place 6, Unexpired Term",0590,773,399,1172,2162,54.21%,926,203,18,1147
"Justice, Supreme Court, Place 6, Unexpired Term",0591,183,231,414,2121,19.52%,124,267,10,401
"Justice, Supreme Court, Place 6, Unexpired Term",0592,133,157,290,1350,21.48%,81,200,3,284
"Justice, Supreme Court, Place 6, Unexpired Term",0593,544,564,1108,4380,25.30%,538,493,37,1068
"Justice, Supreme Court, Place 6, Unexpired Term",0594,561,326,887,2490,35.62%,253,599,16,868
"Justice, Supreme Court, Place 6, Unexpired Term",0595,201,178,379,1693,22.39%,71,295,4,370
"Justice, Supreme Court, Place 6, Unexpired Term",0596,441,348,789,3007,26.24%,431,307,30,768
"Justice, Supreme Court, Place 6, Unexpired Term",0597,367,394,761,3653,20.83%,327,409,19,755
"Justice, Supreme Court, Place 6, Unexpired Term",0598,195,57,252,728,34.62%,204,34,8,246
"Justice, Supreme Court, Place 6, Unexpired Term",0599,850,578,1428,4950,28.85%,517,857,22,1396
"Justice, Supreme Court, Place 6, Unexpired Term",0600,667,429,1096,3957,27.70%,452,594,17,1063
"Justice, Supreme Court, Place 6, Unexpired Term",0601,1074,756,1830,4057,45.11%,1386,361,41,1788
"Justice, Supreme Court, Place 6, Unexpired Term",0602,293,235,528,1326,39.82%,387,117,16,520
"Justice, Supreme Court, Place 6, Unexpired Term",0603,884,794,1678,4843,34.65%,1059,534,55,1648
"Justice, Supreme Court, Place 6, Unexpired Term",0604,702,518,1220,3005,40.60%,1008,157,28,1193
"Justice, Supreme Court, Place 6, Unexpired Term",0605,907,556,1463,5582,26.21%,367,1043,22,1432
"Justice, Supreme Court, Place 6, Unexpired Term",0606,176,70,246,937,26.25%,3,237,1,241
"Justice, Supreme Court, Place 6, Unexpired Term",0607,52,51,113,728,15.52%,14,95,0,109
"Justice, Supreme Court, Place 6, Unexpired Term",0608,31,47,78,537,14.53%,42,29,2,73
"Justice, Supreme Court, Place 6, Unexpired Term",0609,557,680,1347,3384,39.80%,849,423,28,1300
"Justice, Supreme Court, Place 6, Unexpired Term",0610,231,188,419,1927,21.74%,224,163,14,401
"Justice, Supreme Court, Place 6, Unexpired Term",0611,495,242,737,2488,29.62%,25,691,4,720
"Justice, Supreme Court, Place 6, Unexpired Term",0612,996,497,1493,3307,45.15%,1137,264,36,1437
"Justice, Supreme Court, Place 6, Unexpired Term",0613,186,204,390,1554,25.10%,66,312,9,387
"Justice, Supreme Court, Place 6, Unexpired Term",0614,737,566,1303,4207,30.97%,509,738,18,1265
"Justice, Supreme Court, Place 6, Unexpired Term",0615,480,299,779,1967,39.60%,496,246,19,761
"Justice, Supreme Court, Place 6, Unexpired Term",0616,739,663,1402,3436,40.80%,989,347,25,1361
"Justice, Supreme Court, Place 6, Unexpired Term",0617,541,393,934,3809,24.52%,386,510,25,921
"Justice, Supreme Court, Place 6, Unexpired Term",0618,946,567,1513,6003,25.20%,761,685,33,1479
"Justice, Supreme Court, Place 6, Unexpired Term",0619,1219,803,2022,4297,47.06%,1511,398,54,1963
"Justice, Supreme Court, Place 6, Unexpired Term",0620,689,264,953,2897,32.90%,618,297,15,930
"Justice, Supreme Court, Place 6, Unexpired Term",0621,154,101,255,1133,22.51%,133,101,10,244
"Justice, Supreme Court, Place 6, Unexpired Term",0622,881,524,1405,4403,31.91%,873,466,33,1372
"Justice, Supreme Court, Place 6, Unexpired Term",0623,887,487,1374,3691,37.23%,940,366,25,1331
"Justice, Supreme Court, Place 6, Unexpired Term",0624,1,1,2,3,66.67%,1,1,0,2
"Justice, Supreme Court, Place 6, Unexpired Term",0625,477,362,839,1820,46.10%,494,295,23,812
"Justice, Supreme Court, Place 6, Unexpired Term",0626,581,440,1021,2861,35.69%,583,375,23,981
"Justice, Supreme Court, Place 6, Unexpired Term",0627,346,322,668,3049,21.91%,244,387,11,642
"Justice, Supreme Court, Place 6, Unexpired Term",0628,152,219,371,1675,22.15%,200,155,10,365
"Justice, Supreme Court, Place 6, Unexpired Term",0629,37,53,90,696,12.93%,17,72,1,90
"Justice, Supreme Court, Place 6, Unexpired Term",0630,975,600,1575,3905,40.36%,123,1405,20,1548
"Justice, Supreme Court, Place 6, Unexpired Term",0631,822,404,1226,2846,43.08%,899,273,25,1197
"Justice, Supreme Court, Place 6, Unexpired Term",0632,7,4,11,343,3.21%,3,7,1,11
"Justice, Supreme Court, Place 6, Unexpired Term",0633,945,731,1676,3559,47.09%,1203,402,32,1637
"Justice, Supreme Court, Place 6, Unexpired Term",0634,458,442,900,3029,29.71%,590,259,30,879
"Justice, Supreme Court, Place 6, Unexpired Term",0635,743,485,1228,3393,36.19%,916,246,37,1199
"Justice, Supreme Court, Place 6, Unexpired Term",0636,835,874,1710,4140,41.30%,1487,167,27,1681
"Justice, Supreme Court, Place 6, Unexpired Term",0637,409,362,771,2512,30.69%,192,521,21,734
"Justice, Supreme Court, Place 6, Unexpired Term",0638,304,245,549,2204,24.91%,47,484,4,535
"Justice, Supreme Court, Place 6, Unexpired Term",0639,549,547,1096,2526,43.39%,875,152,37,1064
"Justice, Supreme Court, Place 6, Unexpired Term",0640,641,459,1100,3733,29.47%,689,357,28,1074
"Justice, Supreme Court, Place 6, Unexpired Term",0641,649,596,1245,3650,34.11%,841,347,30,1218
"Justice, Supreme Court, Place 6, Unexpired Term",0642,472,394,866,1764,49.09%,706,123,12,841
"Justice, Supreme Court, Place 6, Unexpired Term",0643,934,653,1587,5945,26.69%,627,893,31,1551
"Justice, Supreme Court, Place 6, Unexpired Term",0644,1020,823,1843,5523,33.37%,1226,519,41,1786
"Justice, Supreme Court, Place 6, Unexpired Term",0645,655,594,1249,4185,29.84%,680,500,34,1214
"Justice, Supreme Court, Place 6, Unexpired Term",0646,364,287,651,2220,29.32%,213,395,7,615
"Justice, Supreme Court, Place 6, Unexpired Term",0647,904,470,1374,6084,22.58%,395,865,12,1272
"Justice, Supreme Court, Place 6, Unexpired Term",0648,838,579,1417,3367,42.08%,1021,338,27,1386
"Justice, Supreme Court, Place 6, Unexpired Term",0649,687,434,1121,4576,24.50%,380,672,24,1076
"Justice, Supreme Court, Place 6, Unexpired Term",0650,906,766,1672,3888,43.00%,1228,359,39,1626
"Justice, Supreme Court, Place 6, Unexpired Term",0651,963,766,1729,5128,33.72%,1121,527,33,1681
"Justice, Supreme Court, Place 6, Unexpired Term",0652,467,515,982,2815,34.88%,181,767,12,960
"Justice, Supreme Court, Place 6, Unexpired Term",0653,0,4,4,0,0.00%,0,4,0,4
"Justice, Supreme Court, Place 6, Unexpired Term",0654,950,1005,1955,6208,31.49%,1086,782,41,1909
"Justice, Supreme Court, Place 6, Unexpired Term",0655,1115,1079,2195,6855,32.02%,1369,703,70,2142
"Justice, Supreme Court, Place 6, Unexpired Term",0656,579,393,972,2674,36.35%,39,907,5,951
"Justice, Supreme Court, Place 6, Unexpired Term",0657,247,172,419,1292,32.43%,172,227,9,408
"Justice, Supreme Court, Place 6, Unexpired Term",0658,540,426,966,2807,34.41%,633,296,19,948
"Justice, Supreme Court, Place 6, Unexpired Term",0659,1150,788,1938,4856,39.91%,1382,467,49,1898
"Justice, Supreme Court, Place 6, Unexpired Term",0660,950,825,1775,5372,33.04%,171,1558,15,1744
"Justice, Supreme Court, Place 6, Unexpired Term",0661,675,765,1440,4567,31.53%,853,517,30,1400
"Justice, Supreme Court, Place 6, Unexpired Term",0662,1148,890,2038,4874,41.81%,1644,319,34,1997
"Justice, Supreme Court, Place 6, Unexpired Term",0663,719,797,1515,3346,45.31%,772,632,41,1445
"Justice, Supreme Court, Place 6, Unexpired Term",0664,352,250,602,2869,20.98%,138,429,15,582
"Justice, Supreme Court, Place 6, Unexpired Term",0665,484,348,832,2154,38.63%,706,87,24,817
"Justice, Supreme Court, Place 6, Unexpired Term",0666,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0667,488,502,990,2149,46.07%,781,168,22,971
"Justice, Supreme Court, Place 6, Unexpired Term",0668,399,509,908,2775,32.72%,577,276,36,889
"Justice, Supreme Court, Place 6, Unexpired Term",0669,850,738,1588,3425,46.36%,1158,351,35,1544
"Justice, Supreme Court, Place 6, Unexpired Term",0670,957,471,1428,2983,47.87%,1146,211,38,1395
"Justice, Supreme Court, Place 6, Unexpired Term",0671,403,565,968,3037,31.87%,598,315,29,942
"Justice, Supreme Court, Place 6, Unexpired Term",0672,960,862,1822,5706,31.93%,1240,512,41,1793
"Justice, Supreme Court, Place 6, Unexpired Term",0673,729,516,1245,2995,41.57%,990,196,24,1210
"Justice, Supreme Court, Place 6, Unexpired Term",0674,1071,618,1689,4091,41.29%,1262,346,36,1644
"Justice, Supreme Court, Place 6, Unexpired Term",0675,0,1,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 6, Unexpired Term",0676,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0677,127,127,254,1266,20.06%,94,143,8,245
"Justice, Supreme Court, Place 6, Unexpired Term",0678,166,108,274,735,37.28%,182,68,10,260
"Justice, Supreme Court, Place 6, Unexpired Term",0679,635,520,1155,3381,34.16%,879,224,18,1121
"Justice, Supreme Court, Place 6, Unexpired Term",0680,21,14,35,162,21.60%,13,22,0,35
"Justice, Supreme Court, Place 6, Unexpired Term",0681,1,0,1,5,20.00%,1,0,0,1
"Justice, Supreme Court, Place 6, Unexpired Term",0682,711,654,1365,4216,32.38%,1008,296,27,1331
"Justice, Supreme Court, Place 6, Unexpired Term",0683,29,20,49,276,17.75%,10,35,1,46
"Justice, Supreme Court, Place 6, Unexpired Term",0684,28,22,50,223,22.42%,26,20,2,48
"Justice, Supreme Court, Place 6, Unexpired Term",0685,110,29,139,307,45.28%,64,67,4,135
"Justice, Supreme Court, Place 6, Unexpired Term",0686,17,12,29,208,13.94%,10,16,3,29
"Justice, Supreme Court, Place 6, Unexpired Term",0687,549,537,1086,2609,41.63%,745,270,27,1042
"Justice, Supreme Court, Place 6, Unexpired Term",0688,999,617,1616,3504,46.12%,1304,241,29,1574
"Justice, Supreme Court, Place 6, Unexpired Term",0689,211,387,598,2346,25.49%,310,257,13,580
"Justice, Supreme Court, Place 6, Unexpired Term",0690,926,1104,2030,5102,39.79%,1644,296,53,1993
"Justice, Supreme Court, Place 6, Unexpired Term",0691,2,5,7,25,28.00%,3,4,0,7
"Justice, Supreme Court, Place 6, Unexpired Term",0692,444,548,992,2847,34.84%,762,186,26,974
"Justice, Supreme Court, Place 6, Unexpired Term",0693,167,91,258,666,38.74%,72,172,8,252
"Justice, Supreme Court, Place 6, Unexpired Term",0694,260,120,380,845,44.97%,263,96,6,365
"Justice, Supreme Court, Place 6, Unexpired Term",0695,232,193,425,1724,24.65%,269,132,12,413
"Justice, Supreme Court, Place 6, Unexpired Term",0696,261,207,468,1982,23.61%,297,144,15,456
"Justice, Supreme Court, Place 6, Unexpired Term",0697,605,613,1218,4413,27.60%,313,859,15,1187
"Justice, Supreme Court, Place 6, Unexpired Term",0698,448,489,937,3189,29.38%,107,799,7,913
"Justice, Supreme Court, Place 6, Unexpired Term",0699,568,414,982,2343,41.91%,669,247,22,938
"Justice, Supreme Court, Place 6, Unexpired Term",0700,255,251,506,1371,36.91%,433,54,7,494
"Justice, Supreme Court, Place 6, Unexpired Term",0701,56,43,99,588,16.84%,62,29,3,94
"Justice, Supreme Court, Place 6, Unexpired Term",0702,64,70,134,539,24.86%,18,113,0,131
"Justice, Supreme Court, Place 6, Unexpired Term",0703,372,490,862,1882,45.80%,642,166,25,833
"Justice, Supreme Court, Place 6, Unexpired Term",0704,569,599,1168,3064,38.12%,957,166,19,1142
"Justice, Supreme Court, Place 6, Unexpired Term",0705,114,113,227,1523,14.90%,30,188,5,223
"Justice, Supreme Court, Place 6, Unexpired Term",0706,115,71,186,610,30.49%,97,78,6,181
"Justice, Supreme Court, Place 6, Unexpired Term",0707,153,86,239,707,33.80%,162,60,7,229
"Justice, Supreme Court, Place 6, Unexpired Term",0708,54,52,106,563,18.83%,51,48,3,102
"Justice, Supreme Court, Place 6, Unexpired Term",0709,1375,947,2322,6848,33.91%,1391,830,62,2283
"Justice, Supreme Court, Place 6, Unexpired Term",0710,371,462,833,2082,40.01%,466,302,29,797
"Justice, Supreme Court, Place 6, Unexpired Term",0711,703,506,1209,3484,34.70%,749,391,26,1166
"Justice, Supreme Court, Place 6, Unexpired Term",0712,491,463,954,3670,25.99%,409,506,22,937
"Justice, Supreme Court, Place 6, Unexpired Term",0713,228,262,490,1907,25.69%,250,212,16,478
"Justice, Supreme Court, Place 6, Unexpired Term",0714,36,19,55,296,18.58%,31,21,1,53
"Justice, Supreme Court, Place 6, Unexpired Term",0715,176,187,363,1408,25.78%,213,135,2,350
"Justice, Supreme Court, Place 6, Unexpired Term",0716,449,407,856,2680,31.94%,599,220,23,842
"Justice, Supreme Court, Place 6, Unexpired Term",0717,373,250,623,2002,31.12%,76,525,5,606
"Justice, Supreme Court, Place 6, Unexpired Term",0718,1017,806,1823,4229,43.11%,1306,407,44,1757
"Justice, Supreme Court, Place 6, Unexpired Term",0719,247,137,384,1589,24.17%,238,130,6,374
"Justice, Supreme Court, Place 6, Unexpired Term",0720,995,780,1775,4282,41.45%,1330,357,38,1725
"Justice, Supreme Court, Place 6, Unexpired Term",0721,754,532,1286,2870,44.81%,866,345,30,1241
"Justice, Supreme Court, Place 6, Unexpired Term",0722,873,494,1367,4479,30.52%,102,1219,16,1337
"Justice, Supreme Court, Place 6, Unexpired Term",0723,401,202,603,1858,32.45%,135,448,5,588
"Justice, Supreme Court, Place 6, Unexpired Term",0724,151,128,279,766,36.42%,220,45,5,270
"Justice, Supreme Court, Place 6, Unexpired Term",0725,423,237,660,2237,29.50%,306,330,10,646
"Justice, Supreme Court, Place 6, Unexpired Term",0726,592,402,994,2087,47.63%,866,91,18,975
"Justice, Supreme Court, Place 6, Unexpired Term",0727,338,290,628,2488,25.24%,205,375,17,597
"Justice, Supreme Court, Place 6, Unexpired Term",0728,209,151,360,880,40.91%,230,108,10,348
"Justice, Supreme Court, Place 6, Unexpired Term",0729,136,59,195,464,42.03%,124,67,3,194
"Justice, Supreme Court, Place 6, Unexpired Term",0730,428,359,787,1747,45.05%,517,219,19,755
"Justice, Supreme Court, Place 6, Unexpired Term",0731,58,27,85,352,24.15%,25,58,1,84
"Justice, Supreme Court, Place 6, Unexpired Term",0732,441,324,765,1924,39.76%,479,229,30,738
"Justice, Supreme Court, Place 6, Unexpired Term",0733,13,7,20,215,9.30%,8,10,1,19
"Justice, Supreme Court, Place 6, Unexpired Term",0734,1558,962,2520,7005,35.97%,1741,683,44,2468
"Justice, Supreme Court, Place 6, Unexpired Term",0735,6,0,6,18,33.33%,6,0,0,6
"Justice, Supreme Court, Place 6, Unexpired Term",0736,3,1,4,22,18.18%,0,3,0,3
"Justice, Supreme Court, Place 6, Unexpired Term",0737,11,7,18,51,35.29%,14,4,0,18
"Justice, Supreme Court, Place 6, Unexpired Term",0738,139,100,239,1361,17.56%,46,183,4,233
"Justice, Supreme Court, Place 6, Unexpired Term",0739,353,301,654,2955,22.13%,338,282,13,633
"Justice, Supreme Court, Place 6, Unexpired Term",0740,96,98,194,939,20.66%,129,54,3,186
"Justice, Supreme Court, Place 6, Unexpired Term",0741,0,1,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 6, Unexpired Term",0742,0,11,11,0,0.00%,6,5,0,11
"Justice, Supreme Court, Place 6, Unexpired Term",0743,15,18,33,210,15.71%,17,12,1,30
"Justice, Supreme Court, Place 6, Unexpired Term",0744,456,392,848,2027,41.84%,560,235,23,818
"Justice, Supreme Court, Place 6, Unexpired Term",0745,683,372,1055,2494,42.30%,668,329,23,1020
"Justice, Supreme Court, Place 6, Unexpired Term",0746,114,77,191,691,27.64%,92,89,7,188
"Justice, Supreme Court, Place 6, Unexpired Term",0747,551,467,1018,3743,27.20%,490,465,41,996
"Justice, Supreme Court, Place 6, Unexpired Term",0748,172,140,312,1403,22.24%,162,128,17,307
"Justice, Supreme Court, Place 6, Unexpired Term",0749,30,17,47,377,12.47%,9,36,0,45
"Justice, Supreme Court, Place 6, Unexpired Term",0750,111,96,207,767,26.99%,127,73,5,205
"Justice, Supreme Court, Place 6, Unexpired Term",0751,925,964,1889,5084,37.16%,1237,543,59,1839
"Justice, Supreme Court, Place 6, Unexpired Term",0752,286,200,486,1483,32.77%,372,90,8,470
"Justice, Supreme Court, Place 6, Unexpired Term",0753,55,73,128,259,49.42%,81,38,5,124
"Justice, Supreme Court, Place 6, Unexpired Term",0754,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0755,442,584,1026,4294,23.89%,461,510,20,991
"Justice, Supreme Court, Place 6, Unexpired Term",0756,251,177,428,1600,26.75%,171,237,8,416
"Justice, Supreme Court, Place 6, Unexpired Term",0757,520,508,1028,4035,25.48%,189,806,11,1006
"Justice, Supreme Court, Place 6, Unexpired Term",0758,1114,692,1806,4096,44.09%,1452,273,46,1771
"Justice, Supreme Court, Place 6, Unexpired Term",0759,465,413,878,2730,32.16%,555,275,25,855
"Justice, Supreme Court, Place 6, Unexpired Term",0760,1432,639,2071,4367,47.42%,1742,237,40,2019
"Justice, Supreme Court, Place 6, Unexpired Term",0761,548,253,801,1550,51.68%,570,182,22,774
"Justice, Supreme Court, Place 6, Unexpired Term",0762,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0763,108,146,254,1212,20.96%,103,131,10,244
"Justice, Supreme Court, Place 6, Unexpired Term",0764,1133,774,1907,5217,36.55%,1211,615,39,1865
"Justice, Supreme Court, Place 6, Unexpired Term",0765,848,426,1074,4055,26.49%,442,559,40,1041
"Justice, Supreme Court, Place 6, Unexpired Term",0766,40,25,65,392,16.58%,16,44,0,60
"Justice, Supreme Court, Place 6, Unexpired Term",0767,10,2,12,86,13.95%,6,6,0,12
"Justice, Supreme Court, Place 6, Unexpired Term",0768,1359,1015,2374,5857,40.53%,1938,345,48,2331
"Justice, Supreme Court, Place 6, Unexpired Term",0769,54,16,70,183,38.25%,4,64,0,68
"Justice, Supreme Court, Place 6, Unexpired Term",0770,31,25,56,323,17.34%,25,27,3,55
"Justice, Supreme Court, Place 6, Unexpired Term",0771,324,254,578,2426,23.83%,338,199,22,559
"Justice, Supreme Court, Place 6, Unexpired Term",0772,1792,851,2643,5709,46.30%,2028,462,68,2558
"Justice, Supreme Court, Place 6, Unexpired Term",0773,473,312,785,2918,26.90%,226,494,13,733
"Justice, Supreme Court, Place 6, Unexpired Term",0774,30,41,71,378,18.78%,15,51,3,69
"Justice, Supreme Court, Place 6, Unexpired Term",0775,18,3,21,92,22.83%,0,21,0,21
"Justice, Supreme Court, Place 6, Unexpired Term",0776,551,496,1047,3053,34.29%,610,371,32,1013
"Justice, Supreme Court, Place 6, Unexpired Term",0777,48,40,86,652,13.19%,30,54,1,85
"Justice, Supreme Court, Place 6, Unexpired Term",0778,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0779,64,51,115,940,12.23%,41,67,1,109
"Justice, Supreme Court, Place 6, Unexpired Term",0780,83,59,122,595,20.50%,71,48,1,120
"Justice, Supreme Court, Place 6, Unexpired Term",0781,666,273,939,3603,26.06%,429,403,23,855
"Justice, Supreme Court, Place 6, Unexpired Term",0782,368,370,738,2236,33.01%,472,235,17,724
"Justice, Supreme Court, Place 6, Unexpired Term",0783,49,13,62,294,21.09%,45,15,1,61
"Justice, Supreme Court, Place 6, Unexpired Term",0784,208,128,336,1079,31.14%,8,315,2,325
"Justice, Supreme Court, Place 6, Unexpired Term",0785,28,25,53,296,17.91%,26,25,2,53
"Justice, Supreme Court, Place 6, Unexpired Term",0786,100,98,198,1251,15.83%,72,117,4,193
"Justice, Supreme Court, Place 6, Unexpired Term",0787,48,52,98,488,20.08%,33,62,0,95
"Justice, Supreme Court, Place 6, Unexpired Term",0788,74,32,106,454,23.35%,50,51,4,105
"Justice, Supreme Court, Place 6, Unexpired Term",0789,0,3,3,3,100.00%,1,2,0,3
"Justice, Supreme Court, Place 6, Unexpired Term",0790,0,0,0,3,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0791,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0792,269,239,508,1865,27.24%,126,346,13,485
"Justice, Supreme Court, Place 6, Unexpired Term",0793,448,247,695,2484,27.98%,420,240,17,677
"Justice, Supreme Court, Place 6, Unexpired Term",0794,124,144,268,2710,9.89%,32,224,5,261
"Justice, Supreme Court, Place 6, Unexpired Term",0795,90,125,215,1217,17.67%,83,116,5,204
"Justice, Supreme Court, Place 6, Unexpired Term",0796,83,51,134,476,28.15%,77,52,2,131
"Justice, Supreme Court, Place 6, Unexpired Term",0797,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0798,99,111,210,500,42.00%,78,111,13,202
"Justice, Supreme Court, Place 6, Unexpired Term",0799,28,15,43,161,26.71%,8,34,1,43
"Justice, Supreme Court, Place 6, Unexpired Term",0800,588,642,1230,2932,41.95%,846,327,18,1191
"Justice, Supreme Court, Place 6, Unexpired Term",0801,32,14,46,258,17.83%,14,29,1,44
"Justice, Supreme Court, Place 6, Unexpired Term",0802,51,27,78,312,25.00%,17,60,1,78
"Justice, Supreme Court, Place 6, Unexpired Term",0803,725,511,1236,2893,42.72%,914,267,29,1210
"Justice, Supreme Court, Place 6, Unexpired Term",0804,933,591,1524,4768,31.96%,960,492,43,1495
"Justice, Supreme Court, Place 6, Unexpired Term",0805,765,533,1298,2866,45.29%,1043,188,38,1269
"Justice, Supreme Court, Place 6, Unexpired Term",0806,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0807,211,204,415,2028,20.46%,93,288,24,405
"Justice, Supreme Court, Place 6, Unexpired Term",0808,12,17,29,131,22.14%,11,18,0,29
"Justice, Supreme Court, Place 6, Unexpired Term",0809,7,6,13,92,14.13%,5,6,0,11
"Justice, Supreme Court, Place 6, Unexpired Term",0810,9,16,25,211,11.85%,9,15,0,24
"Justice, Supreme Court, Place 6, Unexpired Term",0811,29,50,79,270,29.26%,26,48,2,76
"Justice, Supreme Court, Place 6, Unexpired Term",0812,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0813,938,761,1699,5807,29.26%,835,790,44,1669
"Justice, Supreme Court, Place 6, Unexpired Term",0814,673,533,1206,5102,23.64%,303,854,23,1180
"Justice, Supreme Court, Place 6, Unexpired Term",0815,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0816,10,0,10,73,13.70%,3,7,0,10
"Justice, Supreme Court, Place 6, Unexpired Term",0817,0,0,0,0,0.00%,0,0,0,0
