Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Lawrence Edward Meyers,LIB Mark Ash,Totals
"Justice, Supreme Court, Place 6, Unexpired Term",0098,403,488,891,2651,33.61%,722,118,30,870
"Justice, Supreme Court, Place 6, Unexpired Term",0099,254,184,438,2092,20.94%,217,205,10,432
"Justice, Supreme Court, Place 6, Unexpired Term",0100,165,173,338,1730,19.54%,181,143,6,330
"Justice, Supreme Court, Place 6, Unexpired Term",0101,72,58,130,946,13.74%,47,77,4,128
"Justice, Supreme Court, Place 6, Unexpired Term",0102,207,121,328,1872,17.52%,90,219,8,317
"Justice, Supreme Court, Place 6, Unexpired Term",0103,700,714,1414,5371,26.33%,797,558,33,1388
"Justice, Supreme Court, Place 6, Unexpired Term",0104,530,231,761,1905,39.95%,17,730,6,753
"Justice, Supreme Court, Place 6, Unexpired Term",0105,196,210,406,2165,18.75%,137,231,11,379
"Justice, Supreme Court, Place 6, Unexpired Term",0106,18,7,25,294,8.50%,17,8,0,25
"Justice, Supreme Court, Place 6, Unexpired Term",0107,154,197,351,2032,17.27%,55,279,7,341
"Justice, Supreme Court, Place 6, Unexpired Term",0108,558,272,940,3365,27.93%,569,328,16,913
"Justice, Supreme Court, Place 6, Unexpired Term",0109,530,245,775,2824,27.44%,10,752,2,764
"Justice, Supreme Court, Place 6, Unexpired Term",0110,654,494,1148,3042,37.74%,749,344,23,1116
"Justice, Supreme Court, Place 6, Unexpired Term",0111,816,795,1611,4102,39.27%,1186,346,40,1572
"Justice, Supreme Court, Place 6, Unexpired Term",0112,542,485,1027,2976,34.51%,750,227,28,1005
"Justice, Supreme Court, Place 6, Unexpired Term",0113,562,429,991,2647,37.44%,604,327,23,954
"Justice, Supreme Court, Place 6, Unexpired Term",0114,707,547,1254,3311,37.87%,1013,200,25,1238
"Justice, Supreme Court, Place 6, Unexpired Term",0115,238,150,388,1800,21.56%,52,320,8,380
"Justice, Supreme Court, Place 6, Unexpired Term",0116,982,776,1758,3147,55.86%,1369,295,34,1698
"Justice, Supreme Court, Place 6, Unexpired Term",0117,216,226,442,1880,23.51%,223,193,8,424
"Justice, Supreme Court, Place 6, Unexpired Term",0118,304,123,427,759,56.26%,369,42,8,419
"Justice, Supreme Court, Place 6, Unexpired Term",0119,1290,1024,2314,5500,42.07%,1871,334,50,2255
"Justice, Supreme Court, Place 6, Unexpired Term",0120,713,422,1135,3191,35.57%,735,330,34,1099
"Justice, Supreme Court, Place 6, Unexpired Term",0121,92,178,270,848,31.84%,189,69,4,262
"Justice, Supreme Court, Place 6, Unexpired Term",0122,352,225,577,1890,30.53%,18,534,9,561
"Justice, Supreme Court, Place 6, Unexpired Term",0123,285,288,573,1392,41.16%,143,381,22,546
"Justice, Supreme Court, Place 6, Unexpired Term",0124,1734,1292,3026,7254,41.71%,2394,518,56,2968
"Justice, Supreme Court, Place 6, Unexpired Term",0125,415,332,747,2405,31.06%,453,257,16,726
"Justice, Supreme Court, Place 6, Unexpired Term",0126,893,467,1360,3100,43.87%,1207,110,21,1338
"Justice, Supreme Court, Place 6, Unexpired Term",0127,435,154,589,1836,32.08%,414,135,16,565
"Justice, Supreme Court, Place 6, Unexpired Term",0128,445,707,1152,2290,50.31%,767,304,19,1090
"Justice, Supreme Court, Place 6, Unexpired Term",0129,1031,1200,2231,5746,38.83%,1429,671,58,2158
"Justice, Supreme Court, Place 6, Unexpired Term",0130,727,523,1250,2333,53.58%,947,252,14,1213
"Justice, Supreme Court, Place 6, Unexpired Term",0131,251,259,510,1935,26.36%,125,360,5,490
"Justice, Supreme Court, Place 6, Unexpired Term",0132,593,323,916,2387,38.37%,16,875,6,897
"Justice, Supreme Court, Place 6, Unexpired Term",0133,514,858,1372,2662,51.54%,836,451,29,1316
"Justice, Supreme Court, Place 6, Unexpired Term",0134,192,265,457,1437,31.80%,212,220,12,444
"Justice, Supreme Court, Place 6, Unexpired Term",0135,730,579,1309,2671,49.01%,937,307,19,1263
"Justice, Supreme Court, Place 6, Unexpired Term",0136,503,371,874,2013,43.42%,34,811,12,857
"Justice, Supreme Court, Place 6, Unexpired Term",0137,166,141,307,716,42.88%,156,127,11,294
"Justice, Supreme Court, Place 6, Unexpired Term",0138,296,199,495,1699,29.13%,14,470,0,484
"Justice, Supreme Court, Place 6, Unexpired Term",0139,700,551,1251,3037,41.19%,571,600,30,1201
"Justice, Supreme Court, Place 6, Unexpired Term",0140,701,480,1181,3214,36.75%,145,981,26,1152
"Justice, Supreme Court, Place 6, Unexpired Term",0141,80,80,160,855,18.71%,95,55,2,152
"Justice, Supreme Court, Place 6, Unexpired Term",0142,87,103,190,902,21.06%,70,110,4,184
"Justice, Supreme Court, Place 6, Unexpired Term",0143,1962,580,2542,6386,39.81%,1823,633,45,2501
"Justice, Supreme Court, Place 6, Unexpired Term",0144,216,158,374,1093,34.22%,11,351,3,365
"Justice, Supreme Court, Place 6, Unexpired Term",0145,264,213,477,1538,31.01%,10,450,1,461
"Justice, Supreme Court, Place 6, Unexpired Term",0146,426,519,945,2008,47.06%,425,455,29,909
"Justice, Supreme Court, Place 6, Unexpired Term",0147,589,329,1018,3008,33.84%,131,860,9,1000
"Justice, Supreme Court, Place 6, Unexpired Term",0148,500,780,1280,2540,50.39%,546,640,37,1223
"Justice, Supreme Court, Place 6, Unexpired Term",0149,1621,737,2358,7993,29.50%,1221,1032,54,2307
"Justice, Supreme Court, Place 6, Unexpired Term",0150,236,169,405,1256,32.25%,11,390,0,401
"Justice, Supreme Court, Place 6, Unexpired Term",0151,137,79,216,826,26.15%,10,197,1,208
"Justice, Supreme Court, Place 6, Unexpired Term",0152,214,299,513,2788,18.40%,132,349,16,497
"Justice, Supreme Court, Place 6, Unexpired Term",0153,125,206,331,1808,18.31%,109,202,6,317
"Justice, Supreme Court, Place 6, Unexpired Term",0154,249,183,432,2190,19.73%,119,278,14,411
"Justice, Supreme Court, Place 6, Unexpired Term",0155,1022,619,1641,4109,39.94%,1161,418,21,1600
"Justice, Supreme Court, Place 6, Unexpired Term",0156,800,326,1126,3071,36.67%,39,1052,10,1101
"Justice, Supreme Court, Place 6, Unexpired Term",0157,448,214,662,2236,29.61%,24,618,8,650
"Justice, Supreme Court, Place 6, Unexpired Term",0158,600,315,915,3035,30.15%,22,872,6,900
"Justice, Supreme Court, Place 6, Unexpired Term",0159,116,127,243,998,24.35%,37,195,6,238
"Justice, Supreme Court, Place 6, Unexpired Term",0160,122,73,195,696,28.02%,6,185,0,191
"Justice, Supreme Court, Place 6, Unexpired Term",0161,163,141,304,991,30.68%,6,294,0,300
"Justice, Supreme Court, Place 6, Unexpired Term",0162,101,83,184,1265,14.55%,69,96,5,170
"Justice, Supreme Court, Place 6, Unexpired Term",0163,230,320,550,3037,18.11%,240,282,8,530
"Justice, Supreme Court, Place 6, Unexpired Term",0164,182,205,387,1420,27.25%,11,368,1,380
"Justice, Supreme Court, Place 6, Unexpired Term",0165,535,483,1018,2334,43.62%,677,274,30,981
"Justice, Supreme Court, Place 6, Unexpired Term",0166,158,233,391,1028,38.04%,117,240,20,377
"Justice, Supreme Court, Place 6, Unexpired Term",0167,3,0,3,24,12.50%,0,3,0,3
"Justice, Supreme Court, Place 6, Unexpired Term",0168,92,58,150,503,29.82%,3,143,1,147
"Justice, Supreme Court, Place 6, Unexpired Term",0169,516,251,767,2513,30.52%,16,726,4,746
"Justice, Supreme Court, Place 6, Unexpired Term",0170,271,141,412,1869,22.04%,217,167,11,395
"Justice, Supreme Court, Place 6, Unexpired Term",0171,202,198,400,1604,24.94%,9,382,2,393
"Justice, Supreme Court, Place 6, Unexpired Term",0172,86,80,166,621,26.73%,66,90,1,157
"Justice, Supreme Court, Place 6, Unexpired Term",0173,819,739,1558,3599,43.29%,1245,242,36,1523
"Justice, Supreme Court, Place 6, Unexpired Term",0174,830,733,1563,3296,47.42%,1098,368,33,1499
"Justice, Supreme Court, Place 6, Unexpired Term",0175,560,749,1309,2618,50.00%,704,516,31,1251
"Justice, Supreme Court, Place 6, Unexpired Term",0176,344,451,795,1602,49.63%,457,275,15,747
