Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0113,552,429,991,2647,37.44%,600,342,942
"District Judge, 280th Judicial District",0114,707,547,1254,3311,37.87%,1006,215,1221
"District Judge, 280th Judicial District",0115,238,150,388,1800,21.56%,48,328,376
"District Judge, 280th Judicial District",0116,982,776,1758,3147,55.86%,1316,344,1660
"District Judge, 280th Judicial District",0117,215,226,441,1880,23.46%,212,209,421
"District Judge, 280th Judicial District",0118,304,123,427,759,56.26%,348,62,410
"District Judge, 280th Judicial District",0119,1288,1024,2312,5500,42.04%,1859,368,2227
"District Judge, 280th Judicial District",0120,712,422,1134,3191,35.54%,719,363,1082
"District Judge, 280th Judicial District",0121,92,178,270,848,31.84%,191,68,259
"District Judge, 280th Judicial District",0122,352,225,577,1890,30.53%,20,542,562
"District Judge, 280th Judicial District",0123,284,288,572,1392,41.09%,140,400,540
"District Judge, 280th Judicial District",0124,1734,1292,3026,7254,41.71%,2385,561,2946
"District Judge, 280th Judicial District",0125,415,332,747,2405,31.06%,456,263,719
"District Judge, 280th Judicial District",0126,893,467,1360,3100,43.87%,1202,125,1327
"District Judge, 280th Judicial District",0127,435,154,589,1836,32.08%,410,143,553
"District Judge, 280th Judicial District",0128,445,707,1152,2290,50.31%,676,381,1057
"District Judge, 280th Judicial District",0129,1030,1200,2230,5746,38.81%,1344,766,2110
"District Judge, 280th Judicial District",0130,727,523,1250,2333,53.58%,898,290,1188
"District Judge, 280th Judicial District",0131,251,259,510,1935,26.36%,124,365,489
"District Judge, 280th Judicial District",0132,593,323,916,2387,38.37%,23,876,899
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0133,513,858,1371,2662,51.50%,755,508,1263
"District Judge, 280th Judicial District",0134,192,265,457,1437,31.80%,207,225,432
"District Judge, 280th Judicial District",0135,727,579,1305,2671,48.90%,860,373,1233
"District Judge, 280th Judicial District",0136,503,371,874,2013,43.42%,36,812,848
"District Judge, 280th Judicial District",0137,166,141,307,716,42.88%,146,137,283
"District Judge, 280th Judicial District",0138,296,199,495,1699,29.13%,16,467,483
"District Judge, 280th Judicial District",0139,699,551,1250,3037,41.16%,520,654,1174
"District Judge, 280th Judicial District",0140,699,480,1179,3214,36.68%,140,997,1137
"District Judge, 280th Judicial District",0141,80,80,160,855,18.71%,96,56,152
"District Judge, 280th Judicial District",0142,87,103,190,902,21.06%,64,117,181
"District Judge, 280th Judicial District",0143,1962,580,2542,6386,39.81%,1828,656,2484
"District Judge, 280th Judicial District",0144,216,158,374,1093,34.22%,9,357,366
"District Judge, 280th Judicial District",0145,264,213,477,1538,31.01%,9,455,464
"District Judge, 280th Judicial District",0146,426,519,945,2008,47.06%,405,489,894
"District Judge, 280th Judicial District",0147,589,329,1018,3008,33.84%,131,861,992
