Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0640,641,459,1100,3733,29.47%,688,377,1065
"Judge, County Criminal Court No. 8",0641,649,596,1245,3650,34.11%,826,371,1197
"Judge, County Criminal Court No. 8",0642,471,394,865,1764,49.04%,683,134,817
"Judge, County Criminal Court No. 8",0643,934,653,1587,5945,26.69%,619,914,1533
"Judge, County Criminal Court No. 8",0644,1019,823,1842,5523,33.35%,1211,550,1761
"Judge, County Criminal Court No. 8",0645,654,594,1248,4185,29.82%,685,509,1194
"Judge, County Criminal Court No. 8",0646,364,287,651,2220,29.32%,211,402,613
"Judge, County Criminal Court No. 8",0647,904,470,1374,6084,22.58%,379,880,1259
"Judge, County Criminal Court No. 8",0648,838,579,1417,3367,42.08%,1020,346,1366
"Judge, County Criminal Court No. 8",0649,687,434,1121,4576,24.50%,365,681,1046
"Judge, County Criminal Court No. 8",0650,906,766,1672,3888,43.00%,1215,377,1592
"Judge, County Criminal Court No. 8",0651,963,766,1729,5128,33.72%,1104,545,1649
"Judge, County Criminal Court No. 8",0652,467,515,982,2815,34.88%,172,773,945
"Judge, County Criminal Court No. 8",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Criminal Court No. 8",0654,950,1005,1955,6208,31.49%,1086,793,1879
"Judge, County Criminal Court No. 8",0655,1115,1079,2195,6855,32.02%,1373,734,2107
"Judge, County Criminal Court No. 8",0656,579,393,972,2674,36.35%,36,913,949
"Judge, County Criminal Court No. 8",0657,246,172,418,1292,32.35%,171,229,400
"Judge, County Criminal Court No. 8",0658,540,426,966,2807,34.41%,632,311,943
"Judge, County Criminal Court No. 8",0659,1149,788,1937,4856,39.89%,1391,484,1875
"Judge, County Criminal Court No. 8",0660,950,825,1775,5372,33.04%,166,1565,1731
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0661,675,765,1440,4567,31.53%,850,533,1383
"Judge, County Criminal Court No. 8",0662,1148,890,2038,4874,41.81%,1624,348,1972
"Judge, County Criminal Court No. 8",0663,717,797,1514,3346,45.25%,757,647,1404
"Judge, County Criminal Court No. 8",0664,352,250,602,2869,20.98%,130,444,574
"Judge, County Criminal Court No. 8",0665,482,348,830,2154,38.53%,692,110,802
"Judge, County Criminal Court No. 8",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0667,488,502,990,2149,46.07%,781,172,953
"Judge, County Criminal Court No. 8",0668,399,509,908,2775,32.72%,590,292,882
"Judge, County Criminal Court No. 8",0669,850,738,1588,3425,46.36%,1146,367,1513
"Judge, County Criminal Court No. 8",0670,955,471,1427,2983,47.84%,1142,227,1369
"Judge, County Criminal Court No. 8",0671,403,565,968,3037,31.87%,593,330,923
"Judge, County Criminal Court No. 8",0672,959,862,1821,5706,31.91%,1250,512,1762
"Judge, County Criminal Court No. 8",0673,729,516,1245,2995,41.57%,979,208,1187
"Judge, County Criminal Court No. 8",0674,1071,618,1689,4091,41.29%,1259,371,1630
"Judge, County Criminal Court No. 8",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 8",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0677,127,127,254,1266,20.06%,93,146,239
"Judge, County Criminal Court No. 8",0678,166,108,274,735,37.28%,177,77,254
"Judge, County Criminal Court No. 8",0679,635,520,1155,3381,34.16%,875,230,1105
"Judge, County Criminal Court No. 8",0680,21,14,35,162,21.60%,14,21,35
"Judge, County Criminal Court No. 8",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 8",0682,711,654,1365,4216,32.38%,1006,312,1318
"Judge, County Criminal Court No. 8",0683,29,20,49,276,17.75%,9,34,43
"Judge, County Criminal Court No. 8",0684,27,22,49,223,21.97%,26,20,46
"Judge, County Criminal Court No. 8",0685,110,29,139,307,45.28%,62,67,129
"Judge, County Criminal Court No. 8",0686,17,12,29,208,13.94%,12,16,28
"Judge, County Criminal Court No. 8",0687,549,537,1085,2609,41.63%,735,281,1016
"Judge, County Criminal Court No. 8",0688,999,617,1616,3504,46.12%,1290,257,1547
"Judge, County Criminal Court No. 8",0689,211,387,598,2346,25.49%,303,264,567
"Judge, County Criminal Court No. 8",0690,926,1104,2030,5102,39.79%,1647,312,1959
"Judge, County Criminal Court No. 8",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Criminal Court No. 8",0692,444,548,992,2847,34.84%,751,200,951
"Judge, County Criminal Court No. 8",0693,167,91,258,666,38.74%,75,171,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0694,260,120,380,845,44.97%,263,93,356
"Judge, County Criminal Court No. 8",0695,232,193,425,1724,24.65%,270,138,408
"Judge, County Criminal Court No. 8",0696,261,207,468,1982,23.61%,296,152,448
"Judge, County Criminal Court No. 8",0697,605,613,1218,4413,27.60%,307,866,1173
"Judge, County Criminal Court No. 8",0698,448,489,937,3189,29.38%,101,807,908
"Judge, County Criminal Court No. 8",0699,568,414,982,2343,41.91%,657,258,915
"Judge, County Criminal Court No. 8",0700,255,251,506,1371,36.91%,424,59,483
"Judge, County Criminal Court No. 8",0701,55,43,99,588,16.84%,59,34,93
"Judge, County Criminal Court No. 8",0702,54,70,134,539,24.86%,17,115,132
"Judge, County Criminal Court No. 8",0703,372,490,862,1882,45.80%,628,189,817
"Judge, County Criminal Court No. 8",0704,569,599,1168,3064,38.12%,939,178,1117
"Judge, County Criminal Court No. 8",0705,114,113,227,1523,14.90%,32,186,218
"Judge, County Criminal Court No. 8",0706,115,71,186,610,30.49%,94,78,172
"Judge, County Criminal Court No. 8",0707,153,86,239,707,33.80%,151,73,224
"Judge, County Criminal Court No. 8",0708,54,52,106,563,18.83%,49,49,98
"Judge, County Criminal Court No. 8",0709,1375,947,2322,6848,33.91%,1410,844,2254
"Judge, County Criminal Court No. 8",0710,371,462,833,2082,40.01%,457,314,771
"Judge, County Criminal Court No. 8",0711,702,506,1208,3484,34.67%,733,405,1138
"Judge, County Criminal Court No. 8",0712,491,463,954,3670,25.99%,409,525,934
"Judge, County Criminal Court No. 8",0713,228,262,490,1907,25.69%,247,219,466
"Judge, County Criminal Court No. 8",0714,35,19,55,296,18.58%,34,19,53
"Judge, County Criminal Court No. 8",0715,176,187,363,1408,25.78%,205,137,342
"Judge, County Criminal Court No. 8",0716,449,407,856,2680,31.94%,602,230,832
"Judge, County Criminal Court No. 8",0717,373,250,623,2002,31.12%,75,530,605
"Judge, County Criminal Court No. 8",0718,1017,806,1823,4229,43.11%,1290,427,1717
"Judge, County Criminal Court No. 8",0719,247,137,384,1589,24.17%,231,136,367
"Judge, County Criminal Court No. 8",0720,994,780,1774,4282,41.43%,1337,374,1711
"Judge, County Criminal Court No. 8",0721,754,532,1286,2870,44.81%,849,367,1216
"Judge, County Criminal Court No. 8",0722,871,494,1365,4479,30.48%,102,1223,1325
"Judge, County Criminal Court No. 8",0723,401,202,603,1858,32.45%,131,450,581
"Judge, County Criminal Court No. 8",0724,151,128,279,766,36.42%,212,53,265
"Judge, County Criminal Court No. 8",0725,423,237,660,2237,29.50%,312,329,641
"Judge, County Criminal Court No. 8",0726,592,402,994,2087,47.63%,865,102,967
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0727,338,290,628,2488,25.24%,203,389,592
"Judge, County Criminal Court No. 8",0728,209,151,360,880,40.91%,218,118,336
"Judge, County Criminal Court No. 8",0729,136,59,195,464,42.03%,122,67,189
"Judge, County Criminal Court No. 8",0730,428,359,787,1747,45.05%,506,232,738
"Judge, County Criminal Court No. 8",0731,58,27,85,352,24.15%,25,58,83
"Judge, County Criminal Court No. 8",0732,441,324,765,1924,39.76%,482,239,721
"Judge, County Criminal Court No. 8",0733,13,7,20,215,9.30%,8,10,18
"Judge, County Criminal Court No. 8",0734,1558,962,2520,7005,35.97%,1732,706,2438
"Judge, County Criminal Court No. 8",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Criminal Court No. 8",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Criminal Court No. 8",0737,11,7,18,51,35.29%,13,5,18
"Judge, County Criminal Court No. 8",0738,139,100,239,1361,17.56%,45,186,231
"Judge, County Criminal Court No. 8",0739,353,301,654,2955,22.13%,339,289,628
"Judge, County Criminal Court No. 8",0740,96,98,194,939,20.66%,125,58,183
"Judge, County Criminal Court No. 8",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Criminal Court No. 8",0743,15,18,33,210,15.71%,18,13,31
"Judge, County Criminal Court No. 8",0744,456,392,848,2027,41.84%,558,238,796
"Judge, County Criminal Court No. 8",0745,683,372,1055,2494,42.30%,645,357,1002
"Judge, County Criminal Court No. 8",0746,114,77,191,691,27.64%,90,97,187
"Judge, County Criminal Court No. 8",0747,550,467,1017,3743,27.17%,501,485,986
"Judge, County Criminal Court No. 8",0748,170,140,310,1403,22.10%,161,136,297
"Judge, County Criminal Court No. 8",0749,30,17,47,377,12.47%,8,38,46
"Judge, County Criminal Court No. 8",0750,111,96,207,767,26.99%,129,74,203
"Judge, County Criminal Court No. 8",0751,925,964,1889,5084,37.16%,1242,563,1805
"Judge, County Criminal Court No. 8",0752,286,200,486,1483,32.77%,366,96,462
"Judge, County Criminal Court No. 8",0753,55,73,128,259,49.42%,79,42,121
"Judge, County Criminal Court No. 8",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0755,442,584,1026,4294,23.89%,454,530,984
"Judge, County Criminal Court No. 8",0756,251,177,428,1600,26.75%,172,241,413
"Judge, County Criminal Court No. 8",0757,520,508,1028,4035,25.48%,187,810,997
"Judge, County Criminal Court No. 8",0758,1114,692,1806,4096,44.09%,1461,281,1742
"Judge, County Criminal Court No. 8",0759,465,413,878,2730,32.16%,558,285,843
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0760,1432,639,2071,4367,47.42%,1726,253,1979
"Judge, County Criminal Court No. 8",0761,548,253,801,1550,51.68%,567,178,745
"Judge, County Criminal Court No. 8",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0763,108,146,254,1212,20.96%,104,136,240
"Judge, County Criminal Court No. 8",0764,1133,774,1907,5217,36.55%,1202,640,1842
"Judge, County Criminal Court No. 8",0765,647,426,1073,4055,26.46%,459,560,1019
"Judge, County Criminal Court No. 8",0766,40,25,65,392,16.58%,15,42,57
"Judge, County Criminal Court No. 8",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Criminal Court No. 8",0768,1359,1015,2374,5857,40.53%,1938,371,2309
"Judge, County Criminal Court No. 8",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Criminal Court No. 8",0770,31,25,56,323,17.34%,27,25,52
"Judge, County Criminal Court No. 8",0771,324,254,578,2426,23.83%,338,218,556
"Judge, County Criminal Court No. 8",0772,1792,851,2643,5709,46.30%,2023,494,2517
"Judge, County Criminal Court No. 8",0773,473,312,785,2918,26.90%,222,500,722
"Judge, County Criminal Court No. 8",0774,30,41,71,378,18.78%,15,54,69
"Judge, County Criminal Court No. 8",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Criminal Court No. 8",0776,551,496,1047,3053,34.29%,613,387,1000
"Judge, County Criminal Court No. 8",0777,46,40,86,652,13.19%,31,53,84
"Judge, County Criminal Court No. 8",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0779,64,51,115,940,12.23%,41,69,110
"Judge, County Criminal Court No. 8",0780,63,59,122,595,20.50%,70,49,119
"Judge, County Criminal Court No. 8",0781,666,273,939,3603,26.06%,427,414,841
"Judge, County Criminal Court No. 8",0782,368,370,738,2236,33.01%,457,249,706
"Judge, County Criminal Court No. 8",0783,49,13,62,294,21.09%,46,14,60
"Judge, County Criminal Court No. 8",0784,208,128,336,1079,31.14%,6,315,321
"Judge, County Criminal Court No. 8",0785,28,25,53,296,17.91%,27,26,53
"Judge, County Criminal Court No. 8",0786,100,98,198,1251,15.83%,78,113,191
"Judge, County Criminal Court No. 8",0787,46,52,98,488,20.08%,34,61,95
"Judge, County Criminal Court No. 8",0788,74,32,106,454,23.35%,48,54,102
"Judge, County Criminal Court No. 8",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Criminal Court No. 8",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0792,269,239,508,1865,27.24%,124,358,482
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0793,448,247,695,2484,27.98%,417,255,672
"Judge, County Criminal Court No. 8",0794,124,144,268,2710,9.89%,33,228,261
"Judge, County Criminal Court No. 8",0795,90,125,215,1217,17.67%,78,124,202
"Judge, County Criminal Court No. 8",0796,83,51,134,476,28.15%,74,54,128
"Judge, County Criminal Court No. 8",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0798,99,111,210,500,42.00%,82,118,200
"Judge, County Criminal Court No. 8",0799,28,15,43,161,26.71%,9,34,43
"Judge, County Criminal Court No. 8",0800,588,642,1230,2932,41.95%,836,332,1168
"Judge, County Criminal Court No. 8",0801,32,14,46,258,17.83%,16,27,43
"Judge, County Criminal Court No. 8",0802,51,27,78,312,25.00%,16,60,76
"Judge, County Criminal Court No. 8",0803,725,511,1236,2893,42.72%,916,278,1194
"Judge, County Criminal Court No. 8",0804,932,591,1523,4768,31.94%,959,515,1474
"Judge, County Criminal Court No. 8",0805,765,533,1298,2866,45.29%,1055,199,1254
"Judge, County Criminal Court No. 8",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0807,211,204,415,2028,20.46%,96,301,397
"Judge, County Criminal Court No. 8",0808,12,17,29,131,22.14%,10,18,28
"Judge, County Criminal Court No. 8",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Criminal Court No. 8",0810,9,16,25,211,11.85%,8,16,24
"Judge, County Criminal Court No. 8",0811,29,50,79,270,29.26%,26,50,76
"Judge, County Criminal Court No. 8",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0813,938,761,1699,5807,29.26%,843,802,1645
"Judge, County Criminal Court No. 8",0814,673,533,1206,5102,23.64%,309,861,1170
"Judge, County Criminal Court No. 8",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Criminal Court No. 8",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0818,86,39,125,616,20.29%,28,92,120
"Judge, County Criminal Court No. 8",0819,64,30,94,240,39.17%,53,31,84
"Judge, County Criminal Court No. 8",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0821,124,120,244,1242,19.65%,30,205,235
"Judge, County Criminal Court No. 8",0822,332,167,499,1535,32.51%,15,470,485
"Judge, County Criminal Court No. 8",0823,821,564,1385,5087,27.23%,795,547,1342
"Judge, County Criminal Court No. 8",0824,428,282,710,2700,26.30%,157,533,690
"Judge, County Criminal Court No. 8",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0826,73,50,123,358,34.36%,62,51,113
"Judge, County Criminal Court No. 8",0827,60,98,158,979,16.14%,75,78,153
"Judge, County Criminal Court No. 8",0828,541,388,929,1916,48.49%,744,139,883
"Judge, County Criminal Court No. 8",0829,54,22,76,264,28.79%,18,57,75
"Judge, County Criminal Court No. 8",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0832,34,28,62,352,17.61%,18,40,58
"Judge, County Criminal Court No. 8",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Criminal Court No. 8",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0835,38,19,57,290,19.66%,13,38,51
"Judge, County Criminal Court No. 8",0836,3,0,3,19,15.79%,1,2,3
"Judge, County Criminal Court No. 8",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0839,136,118,254,1128,22.52%,51,191,242
"Judge, County Criminal Court No. 8",0840,381,174,555,1705,32.55%,190,350,540
"Judge, County Criminal Court No. 8",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0842,421,434,855,3259,26.24%,392,428,820
"Judge, County Criminal Court No. 8",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 8",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Criminal Court No. 8",0845,54,9,63,134,47.01%,39,21,60
"Judge, County Criminal Court No. 8",0846,23,24,47,229,20.52%,2,43,45
"Judge, County Criminal Court No. 8",0847,305,211,516,2015,25.61%,144,356,500
"Judge, County Criminal Court No. 8",0848,489,266,755,1856,40.68%,223,495,718
"Judge, County Criminal Court No. 8",0849,201,291,492,2124,23.16%,197,276,473
"Judge, County Criminal Court No. 8",0850,45,41,87,210,41.43%,33,52,85
"Judge, County Criminal Court No. 8",0851,1029,657,1686,4709,35.80%,1128,488,1616
"Judge, County Criminal Court No. 8",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0853,575,620,1296,2882,44.97%,987,250,1237
"Judge, County Criminal Court No. 8",0854,15,26,41,172,23.84%,7,32,39
"Judge, County Criminal Court No. 8",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Criminal Court No. 8",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 8",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0858,63,34,97,343,28.28%,3,90,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0859,157,106,263,890,29.55%,69,187,256
"Judge, County Criminal Court No. 8",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0861,315,199,514,1842,27.90%,85,415,500
"Judge, County Criminal Court No. 8",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0863,101,54,155,584,26.54%,8,146,154
"Judge, County Criminal Court No. 8",0864,193,299,492,2569,19.15%,139,335,474
"Judge, County Criminal Court No. 8",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Criminal Court No. 8",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0868,236,271,507,2326,21.80%,160,326,486
"Judge, County Criminal Court No. 8",0869,53,39,92,470,19.57%,25,65,90
"Judge, County Criminal Court No. 8",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Criminal Court No. 8",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Criminal Court No. 8",0873,98,75,173,737,23.47%,44,125,169
"Judge, County Criminal Court No. 8",0874,763,707,1470,3223,45.61%,1099,312,1411
"Judge, County Criminal Court No. 8",0875,904,527,1431,5147,27.80%,692,692,1384
"Judge, County Criminal Court No. 8",0876,698,641,1339,3265,41.01%,1026,269,1295
"Judge, County Criminal Court No. 8",0877,476,382,858,3032,28.30%,347,489,836
"Judge, County Criminal Court No. 8",0878,427,354,781,1666,46.88%,656,104,760
"Judge, County Criminal Court No. 8",0879,407,294,701,2667,26.28%,354,314,668
"Judge, County Criminal Court No. 8",0880,543,447,990,2352,42.09%,793,159,952
"Judge, County Criminal Court No. 8",0881,593,540,1133,4479,25.30%,391,714,1105
"Judge, County Criminal Court No. 8",0882,426,291,717,2422,29.60%,423,269,692
"Judge, County Criminal Court No. 8",0883,643,702,1345,5408,24.87%,244,1063,1307
"Judge, County Criminal Court No. 8",0884,57,25,82,377,21.75%,9,70,79
"Judge, County Criminal Court No. 8",0885,562,368,930,2619,35.51%,549,356,905
"Judge, County Criminal Court No. 8",0886,128,108,236,675,34.96%,134,86,220
"Judge, County Criminal Court No. 8",0887,50,67,117,418,27.99%,56,53,109
"Judge, County Criminal Court No. 8",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 8",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Criminal Court No. 8",0890,164,103,267,1095,24.38%,89,156,245
"Judge, County Criminal Court No. 8",0891,317,243,560,1331,42.07%,211,309,520
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0892,115,86,201,808,24.88%,71,118,189
"Judge, County Criminal Court No. 8",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Criminal Court No. 8",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 8",0895,156,286,442,793,55.74%,185,204,389
"Judge, County Criminal Court No. 8",0896,370,297,667,1459,45.72%,245,368,613
"Judge, County Criminal Court No. 8",0897,252,297,549,1701,32.28%,314,217,531
"Judge, County Criminal Court No. 8",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Criminal Court No. 8",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Criminal Court No. 8",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0902,394,486,880,2139,41.14%,478,344,822
"Judge, County Criminal Court No. 8",0903,3,7,10,50,20.00%,1,7,8
"Judge, County Criminal Court No. 8",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Criminal Court No. 8",0905,123,100,223,904,24.67%,96,112,208
"Judge, County Criminal Court No. 8",0906,8,6,14,25,56.00%,8,4,12
"Judge, County Criminal Court No. 8",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Criminal Court No. 8",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 8",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Criminal Court No. 8",0910,25,24,49,217,22.58%,19,27,46
"Judge, County Criminal Court No. 8",0911,118,60,178,551,32.30%,119,51,170
"Judge, County Criminal Court No. 8",0912,316,201,517,1273,40.61%,335,153,488
"Judge, County Criminal Court No. 8",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0914,169,179,348,701,49.64%,279,56,335
"Judge, County Criminal Court No. 8",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0916,417,240,657,1491,44.06%,520,115,635
"Judge, County Criminal Court No. 8",0917,177,62,239,483,49.48%,159,64,223
"Judge, County Criminal Court No. 8",0918,304,168,472,883,53.45%,368,79,447
"Judge, County Criminal Court No. 8",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Criminal Court No. 8",0921,32,15,47,119,39.50%,33,14,47
"Judge, County Criminal Court No. 8",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0923,470,137,607,1511,40.17%,456,132,588
"Judge, County Criminal Court No. 8",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0926,171,128,299,796,37.56%,225,64,289
"Judge, County Criminal Court No. 8",0927,44,30,74,270,27.41%,27,42,69
"Judge, County Criminal Court No. 8",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Criminal Court No. 8",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0930,109,54,163,584,27.91%,6,153,159
"Judge, County Criminal Court No. 8",0931,30,40,70,130,53.85%,34,25,59
"Judge, County Criminal Court No. 8",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0933,115,85,200,627,31.90%,59,135,194
"Judge, County Criminal Court No. 8",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Criminal Court No. 8",0935,3,2,5,54,9.26%,1,2,3
"Judge, County Criminal Court No. 8",0936,8,2,10,81,12.35%,3,6,9
"Judge, County Criminal Court No. 8",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0938,30,14,44,231,19.05%,14,29,43
"Judge, County Criminal Court No. 8",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0941,9,10,19,25,76.00%,18,0,18
"Judge, County Criminal Court No. 8",0942,53,27,80,156,51.28%,67,9,76
"Judge, County Criminal Court No. 8",0943,164,80,244,547,44.61%,169,58,227
"Judge, County Criminal Court No. 8",0944,20,4,24,45,53.33%,21,0,21
"Judge, County Criminal Court No. 8",0945,1,2,3,17,17.65%,0,2,2
"Judge, County Criminal Court No. 8",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Criminal Court No. 8",0947,177,246,423,799,52.94%,224,175,399
"Judge, County Criminal Court No. 8",0948,0,14,14,1,1400.00%,8,4,12
"Judge, County Criminal Court No. 8",0949,34,27,61,193,31.61%,30,30,60
"Judge, County Criminal Court No. 8",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Criminal Court No. 8",0952,15,15,31,71,43.66%,15,14,29
"Judge, County Criminal Court No. 8",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Criminal Court No. 8",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Criminal Court No. 8",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Criminal Court No. 8",0957,97,95,192,562,34.16%,19,170,189
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0958,81,129,210,1081,19.43%,53,150,203
"Judge, County Criminal Court No. 8",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0960,196,157,353,976,36.17%,72,268,340
"Judge, County Criminal Court No. 8",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Criminal Court No. 8",0962,10,17,27,88,30.68%,3,24,27
"Judge, County Criminal Court No. 8",0963,54,41,105,426,24.65%,58,42,100
"Judge, County Criminal Court No. 8",0964,568,437,1005,2372,42.37%,620,353,973
"Judge, County Criminal Court No. 8",0965,31,21,52,343,15.16%,26,25,51
"Judge, County Criminal Court No. 8",0966,129,83,212,1148,18.47%,74,133,207
"Judge, County Criminal Court No. 8",0967,15,48,63,165,38.18%,19,43,62
